2 Mot inconnu : tablette_graphique => {{tag>matériel tablette_graphique}}

10 Il manque un espace insécable. => Les notations suivantes sont utilisées :

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * {{:icons:icon-ubuntu.png}} Fonctionne immédiatement,
11 Mot inconnu : icons =>   * {{:icons:icon-ubuntu.png}} Fonctionne immédiatement,
11 Il manque un espace. =>   * {{:icons:icon-ubuntu.png}} Fonctionne immédiatement,
11 Mot inconnu : icon-ubuntu =>   * {{:icons:icon-ubuntu.png}} Fonctionne immédiatement,

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * {{wiki:modeles:laptop_work.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**,
12 Il manque un espace. =>   * {{wiki:modeles:laptop_work.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**,
12 Mot inconnu : modeles =>   * {{wiki:modeles:laptop_work.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**,
12 Mot inconnu : laptop_work =>   * {{wiki:modeles:laptop_work.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**,
12 Il manque un espace insécable. =>   * {{wiki:modeles:laptop_work.png|Fonctionne après config}} : **Fonctionne après quelques manipulations**,

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * {{icons:process-stop.png|Ne fonctionne pas}} : **Ne fonctionne pas**,
13 Mot inconnu : icons =>   * {{icons:process-stop.png|Ne fonctionne pas}} : **Ne fonctionne pas**,
13 Il manque un espace. =>   * {{icons:process-stop.png|Ne fonctionne pas}} : **Ne fonctionne pas**,
13 Il manque un espace insécable. =>   * {{icons:process-stop.png|Ne fonctionne pas}} : **Ne fonctionne pas**,

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  

15 Mot inconnu : Huion => =====Huion=====

18 Mot inconnu : wizardpen => ===== Tablettes prises en charge par le pilote wizardpen =====

21 Mot inconnu : Acecad => | Acecad Flair II GT-504 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
24 Mot inconnu : G-pen => | G-pen | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
24 Il manque un espace. => | G-pen | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
24 Mot inconnu : modeles => | G-pen | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
24 Mot inconnu : laptop_work => | G-pen | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |

25 Mot inconnu : Genius => | Genius Wizardpen | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
25 Mot inconnu : Wizardpen => | Genius Wizardpen | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
25 Il manque un espace. => | Genius Wizardpen | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
25 Mot inconnu : modeles => | Genius Wizardpen | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
25 Mot inconnu : laptop_work => | Genius Wizardpen | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |

26 Mot inconnu : Genius => | Genius Mousepen | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
26 Mot inconnu : Mousepen => | Genius Mousepen | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
26 Il manque un espace. => | Genius Mousepen | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
26 Mot inconnu : modeles => | Genius Mousepen | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
26 Mot inconnu : laptop_work => | Genius Mousepen | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |

27 Mot inconnu : Genius => | Genius Easypen i405 |{{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
27 Mot inconnu : Easypen => | Genius Easypen i405 |{{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
27 Mot inconnu : i405 => | Genius Easypen i405 |{{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
27 Il manque un espace. => | Genius Easypen i405 |{{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
27 Mot inconnu : modeles => | Genius Easypen i405 |{{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
27 Mot inconnu : laptop_work => | Genius Easypen i405 |{{wiki:modeles:laptop_work.png|Fonctionne après config}} | |

28 Mot inconnu : Genius => | Genius | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
28 Il manque un espace. => | Genius | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
28 Mot inconnu : modeles => | Genius | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
28 Mot inconnu : laptop_work => | Genius | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |

29 Mot inconnu : iBall => | iBall | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
29 Il manque un espace. => | iBall | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
29 Mot inconnu : modeles => | iBall | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
29 Mot inconnu : laptop_work => | iBall | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |

30 Il manque un espace. => | Manhattan | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
30 Mot inconnu : modeles => | Manhattan | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
30 Mot inconnu : laptop_work => | Manhattan | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |

31 Mot inconnu : Pentagram => | Pentagram | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
31 Il manque un espace. => | Pentagram | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
31 Mot inconnu : modeles => | Pentagram | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
31 Mot inconnu : laptop_work => | Pentagram | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |

32 Mot inconnu : QWare => | QWare | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
32 Il manque un espace. => | QWare | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
32 Mot inconnu : modeles => | QWare | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
32 Mot inconnu : laptop_work => | QWare | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |

33 Mot inconnu : ThinLine => | ThinLine Série S/M/L | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
33 Il manque un espace. => | ThinLine Série S/M/L | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
33 Mot inconnu : modeles => | ThinLine Série S/M/L | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
33 Mot inconnu : laptop_work => | ThinLine Série S/M/L | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |

34 Mot inconnu : TB-3100 => | Trust TB-3100 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
34 Il manque un espace. => | Trust TB-3100 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
34 Mot inconnu : modeles => | Trust TB-3100 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
34 Mot inconnu : laptop_work => | Trust TB-3100 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |

35 Mot inconnu : TB-5300 => | Trust TB-5300 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
35 Il manque un espace. => | Trust TB-5300 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
35 Mot inconnu : modeles => | Trust TB-5300 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
35 Mot inconnu : laptop_work => | Trust TB-5300 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |

36 Mot inconnu : TB-6300 => | Trust TB-6300 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
36 Il manque un espace. => | Trust TB-6300 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
36 Mot inconnu : modeles => | Trust TB-6300 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
36 Mot inconnu : laptop_work => | Trust TB-6300 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |

37 Mot inconnu : UC-LOGIC => | UC-LOGIC | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
37 Il manque un espace. => | UC-LOGIC | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
37 Mot inconnu : modeles => | UC-LOGIC | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
37 Mot inconnu : laptop_work => | UC-LOGIC | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |

38 Mot inconnu : iBall => | iBall Tablet PF8060 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
38 Mot inconnu : Tablet => | iBall Tablet PF8060 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
38 Mot inconnu : PF8060 => | iBall Tablet PF8060 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
38 Il manque un espace. => | iBall Tablet PF8060 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
38 Mot inconnu : modeles => | iBall Tablet PF8060 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
38 Mot inconnu : laptop_work => | iBall Tablet PF8060 | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |

39 Mot inconnu : AIPTEK => | AIPTEK HyperPen 10000 U | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
39 Mot inconnu : HyperPen => | AIPTEK HyperPen 10000 U | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
39 Si “U” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => | AIPTEK HyperPen 10000 U | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
39 Il manque un espace. => | AIPTEK HyperPen 10000 U | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
39 Mot inconnu : modeles => | AIPTEK HyperPen 10000 U | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
39 Mot inconnu : laptop_work => | AIPTEK HyperPen 10000 U | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |

40 Mot inconnu : AIPTEK => | AIPTEK Slim Tablet U600 Premium II | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
40 Mot inconnu : Tablet => | AIPTEK Slim Tablet U600 Premium II | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
40 Mot inconnu : U600 => | AIPTEK Slim Tablet U600 Premium II | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
40 Il manque un espace. => | AIPTEK Slim Tablet U600 Premium II | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
40 Mot inconnu : modeles => | AIPTEK Slim Tablet U600 Premium II | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |
40 Mot inconnu : laptop_work => | AIPTEK Slim Tablet U600 Premium II | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | |

42 Mot inconnu : Wacom => =====Wacom=====

44 Mot inconnu : Model => ^Nom commercial ^ Model ^ Taille ^ Vendor ^ ProdId ^ expresskeys ^ touch strip ^ Commentaire ^
44 Mot inconnu : Vendor => ^Nom commercial ^ Model ^ Taille ^ Vendor ^ ProdId ^ expresskeys ^ touch strip ^ Commentaire ^
44 Mot inconnu : ProdId => ^Nom commercial ^ Model ^ Taille ^ Vendor ^ ProdId ^ expresskeys ^ touch strip ^ Commentaire ^
44 Mot inconnu : expresskeys => ^Nom commercial ^ Model ^ Taille ^ Vendor ^ ProdId ^ expresskeys ^ touch strip ^ Commentaire ^
44 Mot inconnu : touch => ^Nom commercial ^ Model ^ Taille ^ Vendor ^ ProdId ^ expresskeys ^ touch strip ^ Commentaire ^
44 Mot inconnu : strip => ^Nom commercial ^ Model ^ Taille ^ Vendor ^ ProdId ^ expresskeys ^ touch strip ^ Commentaire ^

45 Mot inconnu : Artpad => | Artpad Il |  |  |  |  |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |10.10. La tablette UD II fonctionne aussi avec un adaptateur série/USB, par exemple avec le TRENDNET TU-S9 (ID 067b:2303 Prolific Technology, Inc. PL2303 Serial Port). La seule différence est le remplacement de "/dev/ttyS0" par "/dev/ttyUSB0". (SEG)| 
45 Mot inconnu : icons => | Artpad Il |  |  |  |  |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |10.10. La tablette UD II fonctionne aussi avec un adaptateur série/USB, par exemple avec le TRENDNET TU-S9 (ID 067b:2303 Prolific Technology, Inc. PL2303 Serial Port). La seule différence est le remplacement de "/dev/ttyS0" par "/dev/ttyUSB0". (SEG)| 
45 Il manque un espace. => | Artpad Il |  |  |  |  |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |10.10. La tablette UD II fonctionne aussi avec un adaptateur série/USB, par exemple avec le TRENDNET TU-S9 (ID 067b:2303 Prolific Technology, Inc. PL2303 Serial Port). La seule différence est le remplacement de "/dev/ttyS0" par "/dev/ttyUSB0". (SEG)| 
45 Mot inconnu : icon-ubuntu => | Artpad Il |  |  |  |  |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |10.10. La tablette UD II fonctionne aussi avec un adaptateur série/USB, par exemple avec le TRENDNET TU-S9 (ID 067b:2303 Prolific Technology, Inc. PL2303 Serial Port). La seule différence est le remplacement de "/dev/ttyS0" par "/dev/ttyUSB0". (SEG)| 
45 Mot inconnu : TRENDNET => | Artpad Il |  |  |  |  |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |10.10. La tablette UD II fonctionne aussi avec un adaptateur série/USB, par exemple avec le TRENDNET TU-S9 (ID 067b:2303 Prolific Technology, Inc. PL2303 Serial Port). La seule différence est le remplacement de "/dev/ttyS0" par "/dev/ttyUSB0". (SEG)| 
45 Mot inconnu : TU-S9 => | Artpad Il |  |  |  |  |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |10.10. La tablette UD II fonctionne aussi avec un adaptateur série/USB, par exemple avec le TRENDNET TU-S9 (ID 067b:2303 Prolific Technology, Inc. PL2303 Serial Port). La seule différence est le remplacement de "/dev/ttyS0" par "/dev/ttyUSB0". (SEG)| 
45 Il manque un espace. => | Artpad Il |  |  |  |  |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |10.10. La tablette UD II fonctionne aussi avec un adaptateur série/USB, par exemple avec le TRENDNET TU-S9 (ID 067b:2303 Prolific Technology, Inc. PL2303 Serial Port). La seule différence est le remplacement de "/dev/ttyS0" par "/dev/ttyUSB0". (SEG)| 
45 Mot inconnu : Prolific => | Artpad Il |  |  |  |  |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |10.10. La tablette UD II fonctionne aussi avec un adaptateur série/USB, par exemple avec le TRENDNET TU-S9 (ID 067b:2303 Prolific Technology, Inc. PL2303 Serial Port). La seule différence est le remplacement de "/dev/ttyS0" par "/dev/ttyUSB0". (SEG)| 
45 Mot inconnu : Technology => | Artpad Il |  |  |  |  |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |10.10. La tablette UD II fonctionne aussi avec un adaptateur série/USB, par exemple avec le TRENDNET TU-S9 (ID 067b:2303 Prolific Technology, Inc. PL2303 Serial Port). La seule différence est le remplacement de "/dev/ttyS0" par "/dev/ttyUSB0". (SEG)| 
45 Mot inconnu : Inc => | Artpad Il |  |  |  |  |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |10.10. La tablette UD II fonctionne aussi avec un adaptateur série/USB, par exemple avec le TRENDNET TU-S9 (ID 067b:2303 Prolific Technology, Inc. PL2303 Serial Port). La seule différence est le remplacement de "/dev/ttyS0" par "/dev/ttyUSB0". (SEG)| 
45 Mot inconnu : PL2303 => | Artpad Il |  |  |  |  |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |10.10. La tablette UD II fonctionne aussi avec un adaptateur série/USB, par exemple avec le TRENDNET TU-S9 (ID 067b:2303 Prolific Technology, Inc. PL2303 Serial Port). La seule différence est le remplacement de "/dev/ttyS0" par "/dev/ttyUSB0". (SEG)| 
45 Mot inconnu : Serial => | Artpad Il |  |  |  |  |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |10.10. La tablette UD II fonctionne aussi avec un adaptateur série/USB, par exemple avec le TRENDNET TU-S9 (ID 067b:2303 Prolific Technology, Inc. PL2303 Serial Port). La seule différence est le remplacement de "/dev/ttyS0" par "/dev/ttyUSB0". (SEG)| 
45 Mot inconnu : SEG => | Artpad Il |  |  |  |  |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |10.10. La tablette UD II fonctionne aussi avec un adaptateur série/USB, par exemple avec le TRENDNET TU-S9 (ID 067b:2303 Prolific Technology, Inc. PL2303 Serial Port). La seule différence est le remplacement de "/dev/ttyS0" par "/dev/ttyUSB0". (SEG)| 
45 Espace(s) en fin de ligne à supprimer. => | Artpad Il |  |  |  |  |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |10.10. La tablette UD II fonctionne aussi avec un adaptateur série/USB, par exemple avec le TRENDNET TU-S9 (ID 067b:2303 Prolific Technology, Inc. PL2303 Serial Port). La seule différence est le remplacement de "/dev/ttyS0" par "/dev/ttyUSB0". (SEG)| 

46 Mot inconnu : One => | One Small|CTL 471 & CTL 472 | A6 | 056a |  |  |  |Out of the box 16.04| 
46 Mot inconnu : CTL => | One Small|CTL 471 & CTL 472 | A6 | 056a |  |  |  |Out of the box 16.04| 
46 Mot inconnu : CTL => | One Small|CTL 471 & CTL 472 | A6 | 056a |  |  |  |Out of the box 16.04| 
46 Mot inconnu : A6 => | One Small|CTL 471 & CTL 472 | A6 | 056a |  |  |  |Out of the box 16.04| 
46 Mot inconnu : of => | One Small|CTL 471 & CTL 472 | A6 | 056a |  |  |  |Out of the box 16.04| 
46 Mot inconnu : the => | One Small|CTL 471 & CTL 472 | A6 | 056a |  |  |  |Out of the box 16.04| 
46 Espace(s) en fin de ligne à supprimer. => | One Small|CTL 471 & CTL 472 | A6 | 056a |  |  |  |Out of the box 16.04| 

47 Mot inconnu : intuos => | intuos 5 Touch Large| | A4 |  |  | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | [[:tuto_configuration_wacom_intuos5|OK* (12.04)]] |
47 Mot inconnu : Touch => | intuos 5 Touch Large| | A4 |  |  | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | [[:tuto_configuration_wacom_intuos5|OK* (12.04)]] |
47 Mot inconnu : A4 => | intuos 5 Touch Large| | A4 |  |  | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | [[:tuto_configuration_wacom_intuos5|OK* (12.04)]] |
47 Il manque un espace. => | intuos 5 Touch Large| | A4 |  |  | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | [[:tuto_configuration_wacom_intuos5|OK* (12.04)]] |
47 Mot inconnu : modeles => | intuos 5 Touch Large| | A4 |  |  | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | [[:tuto_configuration_wacom_intuos5|OK* (12.04)]] |
47 Mot inconnu : laptop_work => | intuos 5 Touch Large| | A4 |  |  | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | [[:tuto_configuration_wacom_intuos5|OK* (12.04)]] |
47 Il manque un espace. => | intuos 5 Touch Large| | A4 |  |  | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | [[:tuto_configuration_wacom_intuos5|OK* (12.04)]] |
47 Mot inconnu : modeles => | intuos 5 Touch Large| | A4 |  |  | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | [[:tuto_configuration_wacom_intuos5|OK* (12.04)]] |
47 Mot inconnu : laptop_work => | intuos 5 Touch Large| | A4 |  |  | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | [[:tuto_configuration_wacom_intuos5|OK* (12.04)]] |

48 Mot inconnu : intuos => | intuos Pro Large | PTH 851 |  | 056a |  |  |  |
48 Mot inconnu : PTH => | intuos Pro Large | PTH 851 |  | 056a |  |  |  |

49 Mot inconnu : intuos => | intuos Pro Medium Special Edition | PTH 651/S |  | 056a |  |  |  |
49 Mot inconnu : Special => | intuos Pro Medium Special Edition | PTH 651/S |  | 056a |  |  |  |
49 Mot inconnu : Edition => | intuos Pro Medium Special Edition | PTH 651/S |  | 056a |  |  |  |
49 Mot inconnu : PTH => | intuos Pro Medium Special Edition | PTH 651/S |  | 056a |  |  |  |
49 Écriture invariable. Utilisez un point médian. => | intuos Pro Medium Special Edition | PTH 651/S |  | 056a |  |  |  |

50 Mot inconnu : intuos => | intuos Pro Medium | PTH 651/K |  | 056a | 0316 |  |  | Nativement depuis 14.04 |
50 Mot inconnu : PTH => | intuos Pro Medium | PTH 651/K |  | 056a | 0316 |  |  | Nativement depuis 14.04 |

51 Mot inconnu : intuos => | intuos Pro Small | PTh 451 |  | 056a | 0314 |  |  |
51 Mot inconnu : PTh => | intuos Pro Small | PTh 451 |  | 056a | 0314 |  |  |

52 Mot inconnu : intuos => | intuos Pen & Touch Medium | CTH 680 |  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |  | A partir de 14.04 |
52 Mot inconnu : Pen => | intuos Pen & Touch Medium | CTH 680 |  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |  | A partir de 14.04 |
52 Mot inconnu : Touch => | intuos Pen & Touch Medium | CTH 680 |  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |  | A partir de 14.04 |
52 Mot inconnu : CTH => | intuos Pen & Touch Medium | CTH 680 |  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |  | A partir de 14.04 |
52 Mot inconnu : icons => | intuos Pen & Touch Medium | CTH 680 |  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |  | A partir de 14.04 |
52 Il manque un espace. => | intuos Pen & Touch Medium | CTH 680 |  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |  | A partir de 14.04 |
52 Mot inconnu : icon-ubuntu => | intuos Pen & Touch Medium | CTH 680 |  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |  | A partir de 14.04 |
52 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => | intuos Pen & Touch Medium | CTH 680 |  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} |  | A partir de 14.04 |

53 Mot inconnu : intuos => | intuos Manga Pen & Touch Small | CTH 480|  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Mettre à jour le noyau voir page [[wacom]] |
53 Mot inconnu : Pen => | intuos Manga Pen & Touch Small | CTH 480|  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Mettre à jour le noyau voir page [[wacom]] |
53 Mot inconnu : Touch => | intuos Manga Pen & Touch Small | CTH 480|  | 056a |  | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Mettre à jour le noyau voir page [[wacom]] |
