5 Mot inconnu : Ricoh => ====== Liste des imprimantes Ricoh supportées ======

6 Espace(s) en fin de ligne à supprimer. => Cette page donne la liste des imprimantes prises en charge par Ubuntu ou nécessitant l'ajout d'un pilote extérieur. 

10 Mot inconnu : icons => | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | Les pilotes d'impression sont installés par défaut.\\ |
10 Il manque un espace. => | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | Les pilotes d'impression sont installés par défaut.\\ |
10 Mot inconnu : icon-ubuntu => | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | Les pilotes d'impression sont installés par défaut.\\ |
10 Mot inconnu : png => | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | Les pilotes d'impression sont installés par défaut.\\ |

11 Il manque un espace. => | {{wiki:modeles:laptop_work.png?nolink|Fonctionne après configuration}} | Fonctionne après quelques manipulations |
11 Mot inconnu : modeles => | {{wiki:modeles:laptop_work.png?nolink|Fonctionne après configuration}} | Fonctionne après quelques manipulations |
11 Mot inconnu : laptop_work => | {{wiki:modeles:laptop_work.png?nolink|Fonctionne après configuration}} | Fonctionne après quelques manipulations |
11 Mot inconnu : png => | {{wiki:modeles:laptop_work.png?nolink|Fonctionne après configuration}} | Fonctionne après quelques manipulations |
11 Il manque un espace insécable. => | {{wiki:modeles:laptop_work.png?nolink|Fonctionne après configuration}} | Fonctionne après quelques manipulations |
11 Il manque un espace. => | {{wiki:modeles:laptop_work.png?nolink|Fonctionne après configuration}} | Fonctionne après quelques manipulations |
11 Mot inconnu : nolink => | {{wiki:modeles:laptop_work.png?nolink|Fonctionne après configuration}} | Fonctionne après quelques manipulations |

12 Mot inconnu : icons => | {{icons:process-stop.png?36|Ne fonctionne pas}} | Ne fonctionne pas |
12 Il manque un espace. => | {{icons:process-stop.png?36|Ne fonctionne pas}} | Ne fonctionne pas |
12 Mot inconnu : png => | {{icons:process-stop.png?36|Ne fonctionne pas}} | Ne fonctionne pas |
12 Il manque un espace insécable. => | {{icons:process-stop.png?36|Ne fonctionne pas}} | Ne fonctionne pas |
12 Il manque un espace. => | {{icons:process-stop.png?36|Ne fonctionne pas}} | Ne fonctionne pas |

16 Mot inconnu : Aficio => | Aficio 220 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
33 Mot inconnu : png => | Aficio 2020 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

34 Mot inconnu : Aficio => | Aficio 2020D | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
34 Mot inconnu : icons => | Aficio 2020D | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
34 Il manque un espace. => | Aficio 2020D | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
34 Mot inconnu : icon-ubuntu => | Aficio 2020D | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
34 Mot inconnu : png => | Aficio 2020D | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

35 Mot inconnu : Aficio => | Aficio 2022 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
35 Mot inconnu : icons => | Aficio 2022 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
35 Il manque un espace. => | Aficio 2022 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
35 Mot inconnu : icon-ubuntu => | Aficio 2022 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
35 Mot inconnu : png => | Aficio 2022 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

36 Mot inconnu : Aficio => | Aficio 2027 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
36 Mot inconnu : icons => | Aficio 2027 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
36 Il manque un espace. => | Aficio 2027 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
36 Mot inconnu : icon-ubuntu => | Aficio 2027 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
36 Mot inconnu : png => | Aficio 2027 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

37 Mot inconnu : Aficio => | Aficio 2032 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
37 Mot inconnu : icons => | Aficio 2032 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
37 Il manque un espace. => | Aficio 2032 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
37 Mot inconnu : icon-ubuntu => | Aficio 2032 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
37 Mot inconnu : png => | Aficio 2032 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

38 Mot inconnu : Aficio => | Aficio 2035 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
38 Mot inconnu : icons => | Aficio 2035 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
38 Il manque un espace. => | Aficio 2035 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
38 Mot inconnu : icon-ubuntu => | Aficio 2035 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
38 Mot inconnu : png => | Aficio 2035 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

39 Mot inconnu : Aficio => | Aficio 2035e | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
39 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => | Aficio 2035e | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
39 Mot inconnu : icons => | Aficio 2035e | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
39 Il manque un espace. => | Aficio 2035e | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
39 Mot inconnu : icon-ubuntu => | Aficio 2035e | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
39 Mot inconnu : png => | Aficio 2035e | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

40 Mot inconnu : Aficio => | Aficio 2045 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
40 Mot inconnu : icons => | Aficio 2045 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
40 Il manque un espace. => | Aficio 2045 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
40 Mot inconnu : icon-ubuntu => | Aficio 2045 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
40 Mot inconnu : png => | Aficio 2045 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

41 Mot inconnu : Aficio => | Aficio 2045e | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
41 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => | Aficio 2045e | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
41 Mot inconnu : icons => | Aficio 2045e | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
41 Il manque un espace. => | Aficio 2045e | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
41 Mot inconnu : icon-ubuntu => | Aficio 2045e | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
41 Mot inconnu : png => | Aficio 2045e | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |

42 Mot inconnu : Aficio => | Aficio 2051 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
42 Mot inconnu : icons => | Aficio 2051 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
42 Il manque un espace. => | Aficio 2051 | {{:icons:icon-ubuntu.png| Les pilotes d'impression sont installés par défaut. Cliquez sur l'icône pour plus de détails.}} | |
