2 Mot inconnu : acer => {{tag>matériel portable acer}}

6 Il manque un espace insécable. => <note>Vous cherchez un autre modèle?\\ Allez sur la [[:liste_portables_acer|liste des portables Acer]] </note>
6 Mot inconnu : liste_portables_acer => <note>Vous cherchez un autre modèle?\\ Allez sur la [[:liste_portables_acer|liste des portables Acer]] </note>

8 Il manque un espace insécable. => ====== Liste des portables « Acer » Aspire 1xxx ======
8 Il manque un espace insécable. => ====== Liste des portables « Acer » Aspire 1xxx ======
8 Mot inconnu : xxx => ====== Liste des portables « Acer » Aspire 1xxx ======

10 Mot inconnu : xxx => Voici tous les micro-ordinateurs portables Acer Aspire 1xxx ayant été testés sous Ubuntu, classés par ordre alphabétique.

14 Mot inconnu : liste_portables_acer => [[liste_portables_acer#legende|Légende des icônes]]

16 Mot inconnu : liste_portables_acer => ^ Modèles ^ 64b ^ État ^ [[liste_portables_acer#legende|Versions]] ^ Commentaires ^

17 Espace(s) surnuméraire(s) à supprimer. => |  Aspire 1300  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.04]] | Pilotes Savage beaucoup mieux gérés depuis Dapper. Veille et hibernation ok |
20 Espace(s) surnuméraire(s) à supprimer. => |  Aspire 1350  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.10]] | **Hardy**: pas d'accélération vidéo (ATI) \\ **Intrepid**: Bureau 3D OK, carte wifi reconnue | 
20 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => |  Aspire 1350  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.10]] | **Hardy**: pas d'accélération vidéo (ATI) \\ **Intrepid**: Bureau 3D OK, carte wifi reconnue | 
20 Mot inconnu : icons => |  Aspire 1350  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.10]] | **Hardy**: pas d'accélération vidéo (ATI) \\ **Intrepid**: Bureau 3D OK, carte wifi reconnue | 
20 Il manque un espace. => |  Aspire 1350  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.10]] | **Hardy**: pas d'accélération vidéo (ATI) \\ **Intrepid**: Bureau 3D OK, carte wifi reconnue | 
20 Mot inconnu : icon-ubuntu => |  Aspire 1350  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.10]] | **Hardy**: pas d'accélération vidéo (ATI) \\ **Intrepid**: Bureau 3D OK, carte wifi reconnue | 
20 Mot inconnu : png => |  Aspire 1350  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.10]] | **Hardy**: pas d'accélération vidéo (ATI) \\ **Intrepid**: Bureau 3D OK, carte wifi reconnue | 
20 Il manque un espace insécable. => |  Aspire 1350  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.10]] | **Hardy**: pas d'accélération vidéo (ATI) \\ **Intrepid**: Bureau 3D OK, carte wifi reconnue | 
20 Il manque un espace. => |  Aspire 1350  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.10]] | **Hardy**: pas d'accélération vidéo (ATI) \\ **Intrepid**: Bureau 3D OK, carte wifi reconnue | 
20 Mot inconnu : nolink20 => |  Aspire 1350  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.10]] | **Hardy**: pas d'accélération vidéo (ATI) \\ **Intrepid**: Bureau 3D OK, carte wifi reconnue | 
20 Il manque un espace insécable. => |  Aspire 1350  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.10]] | **Hardy**: pas d'accélération vidéo (ATI) \\ **Intrepid**: Bureau 3D OK, carte wifi reconnue | 
20 Mot inconnu : ATI => |  Aspire 1350  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.10]] | **Hardy**: pas d'accélération vidéo (ATI) \\ **Intrepid**: Bureau 3D OK, carte wifi reconnue | 
20 Mot inconnu : Intrepid => |  Aspire 1350  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.10]] | **Hardy**: pas d'accélération vidéo (ATI) \\ **Intrepid**: Bureau 3D OK, carte wifi reconnue | 
20 Il manque un espace insécable. => |  Aspire 1350  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.10]] | **Hardy**: pas d'accélération vidéo (ATI) \\ **Intrepid**: Bureau 3D OK, carte wifi reconnue | 
20 Espace(s) en fin de ligne à supprimer. => |  Aspire 1350  | - | {{ icons:icon-ubuntu.png?nolink20 |Fonctionne immédiatement}} | [[:8.10]] | **Hardy**: pas d'accélération vidéo (ATI) \\ **Intrepid**: Bureau 3D OK, carte wifi reconnue | 

21 Mot inconnu : LC => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Espace(s) surnuméraire(s) à supprimer. => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Mot inconnu : icons => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Il manque un espace. => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Mot inconnu : png => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Il manque un espace insécable. => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Il manque un espace. => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Mot inconnu : nolink20 => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Il manque un espace insécable. => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Il manque un espace. => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Guillemets typographiques ouvrants. => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Mot inconnu : vga => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Guillemets typographiques fermants. => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Mot inconnu : F6 => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Espace(s) surnuméraire(s) à supprimer. => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Mot inconnu : xorg => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Guillemets typographiques ouvrants. => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Guillemets typographiques fermants. => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Il manque un espace insécable. => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Guillemets typographiques ouvrants. => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Mot inconnu : HorizSync => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Espace(s) surnuméraire(s) à supprimer. => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” s’il s’agit d’une soustraction [3] ou de représenter un nombre négatif [4].) => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Guillemets typographiques fermants. => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Espace(s) surnuméraire(s) à supprimer. => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Mot inconnu : OpenChrome => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 
21 Espace(s) en fin de ligne à supprimer. => |  Aspire 1353LC  | - | {{ icons:important.png?nolink20 |Nécessite quelques réglages}} | [[:8.04]] | **Hardy**: Le serveur X.org ne démarre pas par défaut, au lancement du CD, ajouter l'option ''vga=773'' (F6) sinon l'affichage sera illisible. À la fin de l'installation, lorsque le programme vous propose de redémarrer,  éditer [[:xorg]], et dans la section ''"Monitor"'' ajouter la ligne suivante: ''HorizSync       31.0 - 48.0''. Pour la carte graphique voir la page  [[:OpenChrome]]. | 

