9 Mot inconnu : ABF => | ABF Radio | %%http://www.radioabf.net/pls/hd.m3u%% |
24 Il manque un espace. => | Dolebrai | %%http://www.dolebrai.net/site_media/playlists/dolebrai_ogg.m3u%%\\ %%http://www.dolebrai.net/site_media/playlists/dolebrai_mp3.m3u%% |

25 Mot inconnu : Dogmazic => | Dogmazic | %%http://radio.dogmazic.net:8000/radio_dogmazic.ogg%% |
25 Il manque un espace. => | Dogmazic | %%http://radio.dogmazic.net:8000/radio_dogmazic.ogg%% |
25 Mot inconnu : radio_dogmazic => | Dogmazic | %%http://radio.dogmazic.net:8000/radio_dogmazic.ogg%% |
25 Mot inconnu : ogg => | Dogmazic | %%http://radio.dogmazic.net:8000/radio_dogmazic.ogg%% |

27 Mot inconnu : wpfr => | [[wpfr>Eko des Garrigues]] | %%http://91.121.159.124:8000/eko-des-garrigues-128k.mp3.m3u%% \\ %%http://91.121.159.124:8000/eko-des-garrigues-64k.ogg.m3u%% \\  %%http://91.121.159.124:8000/eko-des-garrigues-32k.mp3.m3u%% |
27 Mot inconnu : Eko => | [[wpfr>Eko des Garrigues]] | %%http://91.121.159.124:8000/eko-des-garrigues-128k.mp3.m3u%% \\ %%http://91.121.159.124:8000/eko-des-garrigues-64k.ogg.m3u%% \\  %%http://91.121.159.124:8000/eko-des-garrigues-32k.mp3.m3u%% |
27 Il manque un espace. => | [[wpfr>Eko des Garrigues]] | %%http://91.121.159.124:8000/eko-des-garrigues-128k.mp3.m3u%% \\ %%http://91.121.159.124:8000/eko-des-garrigues-64k.ogg.m3u%% \\  %%http://91.121.159.124:8000/eko-des-garrigues-32k.mp3.m3u%% |
27 Mot inconnu : eko-des-garrigues-128k => | [[wpfr>Eko des Garrigues]] | %%http://91.121.159.124:8000/eko-des-garrigues-128k.mp3.m3u%% \\ %%http://91.121.159.124:8000/eko-des-garrigues-64k.ogg.m3u%% \\  %%http://91.121.159.124:8000/eko-des-garrigues-32k.mp3.m3u%% |
27 Mot inconnu : mp3 => | [[wpfr>Eko des Garrigues]] | %%http://91.121.159.124:8000/eko-des-garrigues-128k.mp3.m3u%% \\ %%http://91.121.159.124:8000/eko-des-garrigues-64k.ogg.m3u%% \\  %%http://91.121.159.124:8000/eko-des-garrigues-32k.mp3.m3u%% |
27 Mot inconnu : m3u => | [[wpfr>Eko des Garrigues]] | %%http://91.121.159.124:8000/eko-des-garrigues-128k.mp3.m3u%% \\ %%http://91.121.159.124:8000/eko-des-garrigues-64k.ogg.m3u%% \\  %%http://91.121.159.124:8000/eko-des-garrigues-32k.mp3.m3u%% |
27 Il manque un espace. => | [[wpfr>Eko des Garrigues]] | %%http://91.121.159.124:8000/eko-des-garrigues-128k.mp3.m3u%% \\ %%http://91.121.159.124:8000/eko-des-garrigues-64k.ogg.m3u%% \\  %%http://91.121.159.124:8000/eko-des-garrigues-32k.mp3.m3u%% |
27 Mot inconnu : eko-des-garrigues-64k => | [[wpfr>Eko des Garrigues]] | %%http://91.121.159.124:8000/eko-des-garrigues-128k.mp3.m3u%% \\ %%http://91.121.159.124:8000/eko-des-garrigues-64k.ogg.m3u%% \\  %%http://91.121.159.124:8000/eko-des-garrigues-32k.mp3.m3u%% |
27 Mot inconnu : ogg => | [[wpfr>Eko des Garrigues]] | %%http://91.121.159.124:8000/eko-des-garrigues-128k.mp3.m3u%% \\ %%http://91.121.159.124:8000/eko-des-garrigues-64k.ogg.m3u%% \\  %%http://91.121.159.124:8000/eko-des-garrigues-32k.mp3.m3u%% |
27 Mot inconnu : m3u => | [[wpfr>Eko des Garrigues]] | %%http://91.121.159.124:8000/eko-des-garrigues-128k.mp3.m3u%% \\ %%http://91.121.159.124:8000/eko-des-garrigues-64k.ogg.m3u%% \\  %%http://91.121.159.124:8000/eko-des-garrigues-32k.mp3.m3u%% |
27 Il manque un espace. => | [[wpfr>Eko des Garrigues]] | %%http://91.121.159.124:8000/eko-des-garrigues-128k.mp3.m3u%% \\ %%http://91.121.159.124:8000/eko-des-garrigues-64k.ogg.m3u%% \\  %%http://91.121.159.124:8000/eko-des-garrigues-32k.mp3.m3u%% |
27 Mot inconnu : eko-des-garrigues-32k => | [[wpfr>Eko des Garrigues]] | %%http://91.121.159.124:8000/eko-des-garrigues-128k.mp3.m3u%% \\ %%http://91.121.159.124:8000/eko-des-garrigues-64k.ogg.m3u%% \\  %%http://91.121.159.124:8000/eko-des-garrigues-32k.mp3.m3u%% |
27 Mot inconnu : mp3 => | [[wpfr>Eko des Garrigues]] | %%http://91.121.159.124:8000/eko-des-garrigues-128k.mp3.m3u%% \\ %%http://91.121.159.124:8000/eko-des-garrigues-64k.ogg.m3u%% \\  %%http://91.121.159.124:8000/eko-des-garrigues-32k.mp3.m3u%% |
27 Mot inconnu : m3u => | [[wpfr>Eko des Garrigues]] | %%http://91.121.159.124:8000/eko-des-garrigues-128k.mp3.m3u%% \\ %%http://91.121.159.124:8000/eko-des-garrigues-64k.ogg.m3u%% \\  %%http://91.121.159.124:8000/eko-des-garrigues-32k.mp3.m3u%% |

28 Mot inconnu : Electra => | Electra Radio Rock & Dance | %%http://www.electraradio.com/stream/Electra-HD.m3u%% |
28 Mot inconnu : Dance => | Electra Radio Rock & Dance | %%http://www.electraradio.com/stream/Electra-HD.m3u%% |
28 Il manque un espace. => | Electra Radio Rock & Dance | %%http://www.electraradio.com/stream/Electra-HD.m3u%% |

29 Mot inconnu : EnjoyStation => | EnjoyStation | %%http://www.enjoystation.net/player/mp3.m3u%% |
29 Il manque un espace. => | EnjoyStation | %%http://www.enjoystation.net/player/mp3.m3u%% |

31 Il manque un espace. => | Fidélité Nantes | %%http://80.82.229.202/fidelite.mp3%% |

32 Mot inconnu : Mayene => | Fidélité Mayene | %%http://www.streamakaci.com/radios/radiofidelite.asx%% |
32 Il manque un espace. => | Fidélité Mayene | %%http://www.streamakaci.com/radios/radiofidelite.asx%% |

33 Il manque un espace. => | France Inter | %%http://direct.franceinter.fr/live/franceinter-midfi.mp3%% |

34 Mot inconnu : Wave => | Free Wave Online | %%http://free.wave.online.fr/xmediaplayer/php/all.m3u%% |
34 Mot inconnu : Online => | Free Wave Online | %%http://free.wave.online.fr/xmediaplayer/php/all.m3u%% |
34 Il manque un espace. => | Free Wave Online | %%http://free.wave.online.fr/xmediaplayer/php/all.m3u%% |

35 Mot inconnu : wpfr => | [[wpfr>Fréquence Banane]] | %%http://www.frequencebanane.ch/fb_128.m3u%% |
35 Il manque un espace. => | [[wpfr>Fréquence Banane]] | %%http://www.frequencebanane.ch/fb_128.m3u%% |

36 Mot inconnu : wpfr => | [[wpfr>Fréquence Paris Plurielle]] | %%http://giss.tv:8000/streamfpp.mp3.m3u%% |
36 Il manque un espace. => | [[wpfr>Fréquence Paris Plurielle]] | %%http://giss.tv:8000/streamfpp.mp3.m3u%% |

38 Il manque un espace. => | International Rare Groove | %%http://listen.radionomy.com/international-rare-groove.m3u%% |

40 Mot inconnu : Kill => | Kill The Fm | %%http://www.killthefm.net/flux/listen.asx%% |
40 Mot inconnu : The => | Kill The Fm | %%http://www.killthefm.net/flux/listen.asx%% |
40 Il manque un espace. => | Kill The Fm | %%http://www.killthefm.net/flux/listen.asx%% |

41 Mot inconnu : Kiosk => | [[https://kioskradio.com/|Kiosk Radio]] | %%https://kioskradiobxl.out.airtime.pro/kioskradiobxl_b%% |
41 Il manque un espace. => | [[https://kioskradio.com/|Kiosk Radio]] | %%https://kioskradiobxl.out.airtime.pro/kioskradiobxl_b%% |

43 Mot inconnu : wpfr => | [[wpfr>La Voix de la Russie]] | %%http://freserver.streamr.ru:8024/fre%% |
43 Il manque un espace. => | [[wpfr>La Voix de la Russie]] | %%http://freserver.streamr.ru:8024/fre%% |
43 Mot inconnu : fre => | [[wpfr>La Voix de la Russie]] | %%http://freserver.streamr.ru:8024/fre%% |

44 Mot inconnu : Live9 => | Live9 | %%http://www.Live9.fr/ecoute/192.m3u%% |
44 Il manque un espace. => | Live9 | %%http://www.Live9.fr/ecoute/192.m3u%% |

46 Avec une unité de mesure, mettez un espace insécable. => | Maxi France Webradio 100% Musique Française des années 80 à nos jours | %%http://stream.maxifrance.fr:8358/stream%% |
46 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => | Maxi France Webradio 100% Musique Française des années 80 à nos jours | %%http://stream.maxifrance.fr:8358/stream%% |
46 Il manque un espace. => | Maxi France Webradio 100% Musique Française des années 80 à nos jours | %%http://stream.maxifrance.fr:8358/stream%% |
46 Mot inconnu : stream => | Maxi France Webradio 100% Musique Française des années 80 à nos jours | %%http://stream.maxifrance.fr:8358/stream%% |

47 Mot inconnu : Meltin'pot => | Meltin'pot Webradio du bassin minier montceau-le creusot | %%http://str75.streamakaci.com:7930/listen.pls%% |
47 Mot inconnu : montceau-le => | Meltin'pot Webradio du bassin minier montceau-le creusot | %%http://str75.streamakaci.com:7930/listen.pls%% |
47 Mot inconnu : creusot => | Meltin'pot Webradio du bassin minier montceau-le creusot | %%http://str75.streamakaci.com:7930/listen.pls%% |
47 Il manque un espace. => | Meltin'pot Webradio du bassin minier montceau-le creusot | %%http://str75.streamakaci.com:7930/listen.pls%% |
47 Mot inconnu : listen => | Meltin'pot Webradio du bassin minier montceau-le creusot | %%http://str75.streamakaci.com:7930/listen.pls%% |
47 Mot inconnu : pls => | Meltin'pot Webradio du bassin minier montceau-le creusot | %%http://str75.streamakaci.com:7930/listen.pls%% |

49 Mot inconnu : Ombilikal => | Ombilikal | %%http://ombilikal.net:8004/listen.pls%% |
49 Il manque un espace. => | Ombilikal | %%http://ombilikal.net:8004/listen.pls%% |
49 Mot inconnu : listen => | Ombilikal | %%http://ombilikal.net:8004/listen.pls%% |
49 Mot inconnu : pls => | Ombilikal | %%http://ombilikal.net:8004/listen.pls%% |

50 Mot inconnu : Onde3 => | Onde3 | %%http://www.onde3.fr/listen/listen-hd.pls%% (Haut débit) \\ %%http://www.onde3.fr/listen/wmp-hd.asx%% (Haut débit) \\ %%http://www.onde3.fr/listen/listen-mobile.pls (Bas débit)%% \\ %%http://www.onde3.fr/listen/wmp-mobile.asx%% (Bas débit) \\ |
50 Il manque un espace. => | Onde3 | %%http://www.onde3.fr/listen/listen-hd.pls%% (Haut débit) \\ %%http://www.onde3.fr/listen/wmp-hd.asx%% (Haut débit) \\ %%http://www.onde3.fr/listen/listen-mobile.pls (Bas débit)%% \\ %%http://www.onde3.fr/listen/wmp-mobile.asx%% (Bas débit) \\ |
50 Il manque un espace. => | Onde3 | %%http://www.onde3.fr/listen/listen-hd.pls%% (Haut débit) \\ %%http://www.onde3.fr/listen/wmp-hd.asx%% (Haut débit) \\ %%http://www.onde3.fr/listen/listen-mobile.pls (Bas débit)%% \\ %%http://www.onde3.fr/listen/wmp-mobile.asx%% (Bas débit) \\ |
50 Il manque un espace. => | Onde3 | %%http://www.onde3.fr/listen/listen-hd.pls%% (Haut débit) \\ %%http://www.onde3.fr/listen/wmp-hd.asx%% (Haut débit) \\ %%http://www.onde3.fr/listen/listen-mobile.pls (Bas débit)%% \\ %%http://www.onde3.fr/listen/wmp-mobile.asx%% (Bas débit) \\ |
50 Il manque un espace. => | Onde3 | %%http://www.onde3.fr/listen/listen-hd.pls%% (Haut débit) \\ %%http://www.onde3.fr/listen/wmp-hd.asx%% (Haut débit) \\ %%http://www.onde3.fr/listen/listen-mobile.pls (Bas débit)%% \\ %%http://www.onde3.fr/listen/wmp-mobile.asx%% (Bas débit) \\ |

51 Mot inconnu : wpfr => | [[wpfr>OÜI FM]] | %%http://stream.ouifm.fr/ouifm-high.mp3%% (128 kbps) \\ %%http://stream.ouifm.fr/ouifm-high.aac%% (96 kbps) |
51 Mot inconnu : OÜI => | [[wpfr>OÜI FM]] | %%http://stream.ouifm.fr/ouifm-high.mp3%% (128 kbps) \\ %%http://stream.ouifm.fr/ouifm-high.aac%% (96 kbps) |
51 Il manque un espace. => | [[wpfr>OÜI FM]] | %%http://stream.ouifm.fr/ouifm-high.mp3%% (128 kbps) \\ %%http://stream.ouifm.fr/ouifm-high.aac%% (96 kbps) |
51 Mot inconnu : kbps => | [[wpfr>OÜI FM]] | %%http://stream.ouifm.fr/ouifm-high.mp3%% (128 kbps) \\ %%http://stream.ouifm.fr/ouifm-high.aac%% (96 kbps) |
51 Il manque un espace. => | [[wpfr>OÜI FM]] | %%http://stream.ouifm.fr/ouifm-high.mp3%% (128 kbps) \\ %%http://stream.ouifm.fr/ouifm-high.aac%% (96 kbps) |
51 Mot inconnu : kbps => | [[wpfr>OÜI FM]] | %%http://stream.ouifm.fr/ouifm-high.mp3%% (128 kbps) \\ %%http://stream.ouifm.fr/ouifm-high.aac%% (96 kbps) |

52 Mot inconnu : OÜI => | OÜI FM Alternatif | %%http://alternatif.stream.ouifm.fr/ouifm2.mp3%% (128 kbps) \\ %%http://alternatif.stream.ouifm.fr/ouifm2.aac%% (64 kbps) |
52 Il manque un espace. => | OÜI FM Alternatif | %%http://alternatif.stream.ouifm.fr/ouifm2.mp3%% (128 kbps) \\ %%http://alternatif.stream.ouifm.fr/ouifm2.aac%% (64 kbps) |
52 Mot inconnu : kbps => | OÜI FM Alternatif | %%http://alternatif.stream.ouifm.fr/ouifm2.mp3%% (128 kbps) \\ %%http://alternatif.stream.ouifm.fr/ouifm2.aac%% (64 kbps) |
52 Il manque un espace. => | OÜI FM Alternatif | %%http://alternatif.stream.ouifm.fr/ouifm2.mp3%% (128 kbps) \\ %%http://alternatif.stream.ouifm.fr/ouifm2.aac%% (64 kbps) |
52 Mot inconnu : kbps => | OÜI FM Alternatif | %%http://alternatif.stream.ouifm.fr/ouifm2.mp3%% (128 kbps) \\ %%http://alternatif.stream.ouifm.fr/ouifm2.aac%% (64 kbps) |

53 Mot inconnu : OÜI => | OÜI FM Classic Rock | %%http://classicrock.stream.ouifm.fr/ouifm3.mp3%% (128 kbps) \\ %%http://classicrock.stream.ouifm.fr/ouifm3.aac%% (64 kbps) |
53 Mot inconnu : Classic => | OÜI FM Classic Rock | %%http://classicrock.stream.ouifm.fr/ouifm3.mp3%% (128 kbps) \\ %%http://classicrock.stream.ouifm.fr/ouifm3.aac%% (64 kbps) |
53 Il manque un espace. => | OÜI FM Classic Rock | %%http://classicrock.stream.ouifm.fr/ouifm3.mp3%% (128 kbps) \\ %%http://classicrock.stream.ouifm.fr/ouifm3.aac%% (64 kbps) |
53 Mot inconnu : kbps => | OÜI FM Classic Rock | %%http://classicrock.stream.ouifm.fr/ouifm3.mp3%% (128 kbps) \\ %%http://classicrock.stream.ouifm.fr/ouifm3.aac%% (64 kbps) |
53 Il manque un espace. => | OÜI FM Classic Rock | %%http://classicrock.stream.ouifm.fr/ouifm3.mp3%% (128 kbps) \\ %%http://classicrock.stream.ouifm.fr/ouifm3.aac%% (64 kbps) |
53 Mot inconnu : kbps => | OÜI FM Classic Rock | %%http://classicrock.stream.ouifm.fr/ouifm3.mp3%% (128 kbps) \\ %%http://classicrock.stream.ouifm.fr/ouifm3.aac%% (64 kbps) |

54 Mot inconnu : OÜI => | OÜI FM Blues'n'Rock | %%http://bluesnrock.stream.ouifm.fr/ouifmbluesnrock-64.aac%% (64 kbps) \\ %%http://bluesnrock.stream.ouifm.fr/ouifmbluesnrock-128.mp3%% (128 kbps) |
54 Mot inconnu : Blues'n'Rock => | OÜI FM Blues'n'Rock | %%http://bluesnrock.stream.ouifm.fr/ouifmbluesnrock-64.aac%% (64 kbps) \\ %%http://bluesnrock.stream.ouifm.fr/ouifmbluesnrock-128.mp3%% (128 kbps) |
54 Il manque un espace. => | OÜI FM Blues'n'Rock | %%http://bluesnrock.stream.ouifm.fr/ouifmbluesnrock-64.aac%% (64 kbps) \\ %%http://bluesnrock.stream.ouifm.fr/ouifmbluesnrock-128.mp3%% (128 kbps) |
54 Mot inconnu : kbps => | OÜI FM Blues'n'Rock | %%http://bluesnrock.stream.ouifm.fr/ouifmbluesnrock-64.aac%% (64 kbps) \\ %%http://bluesnrock.stream.ouifm.fr/ouifmbluesnrock-128.mp3%% (128 kbps) |
54 Il manque un espace. => | OÜI FM Blues'n'Rock | %%http://bluesnrock.stream.ouifm.fr/ouifmbluesnrock-64.aac%% (64 kbps) \\ %%http://bluesnrock.stream.ouifm.fr/ouifmbluesnrock-128.mp3%% (128 kbps) |
54 Mot inconnu : kbps => | OÜI FM Blues'n'Rock | %%http://bluesnrock.stream.ouifm.fr/ouifmbluesnrock-64.aac%% (64 kbps) \\ %%http://bluesnrock.stream.ouifm.fr/ouifmbluesnrock-128.mp3%% (128 kbps) |

55 Mot inconnu : OÜI => | OÜI FM Rock Indé | %%http://rockinde.stream.ouifm.fr/ouifm5.aac%%  (64 kbps) \\ %%http://rockinde.stream.ouifm.fr/ouifm5.mp3%% (128 kbps)|
55 Mot inconnu : Indé => | OÜI FM Rock Indé | %%http://rockinde.stream.ouifm.fr/ouifm5.aac%%  (64 kbps) \\ %%http://rockinde.stream.ouifm.fr/ouifm5.mp3%% (128 kbps)|
55 Il manque un espace. => | OÜI FM Rock Indé | %%http://rockinde.stream.ouifm.fr/ouifm5.aac%%  (64 kbps) \\ %%http://rockinde.stream.ouifm.fr/ouifm5.mp3%% (128 kbps)|
55 Espace(s) surnuméraire(s) à supprimer. => | OÜI FM Rock Indé | %%http://rockinde.stream.ouifm.fr/ouifm5.aac%%  (64 kbps) \\ %%http://rockinde.stream.ouifm.fr/ouifm5.mp3%% (128 kbps)|
55 Mot inconnu : kbps => | OÜI FM Rock Indé | %%http://rockinde.stream.ouifm.fr/ouifm5.aac%%  (64 kbps) \\ %%http://rockinde.stream.ouifm.fr/ouifm5.mp3%% (128 kbps)|
55 Il manque un espace. => | OÜI FM Rock Indé | %%http://rockinde.stream.ouifm.fr/ouifm5.aac%%  (64 kbps) \\ %%http://rockinde.stream.ouifm.fr/ouifm5.mp3%% (128 kbps)|
55 Mot inconnu : kbps => | OÜI FM Rock Indé | %%http://rockinde.stream.ouifm.fr/ouifm5.aac%%  (64 kbps) \\ %%http://rockinde.stream.ouifm.fr/ouifm5.mp3%% (128 kbps)|

56 Mot inconnu : OÜI => | OÜI FM Ganja | %%http://ganja.stream.ouifm.fr/ouifmganja-128.mp3%%  (128 kbps) \\ %%http://ganja.stream.ouifm.fr/ouifmganja-96.aac%% (96 kbps)|
56 Mot inconnu : Ganja => | OÜI FM Ganja | %%http://ganja.stream.ouifm.fr/ouifmganja-128.mp3%%  (128 kbps) \\ %%http://ganja.stream.ouifm.fr/ouifmganja-96.aac%% (96 kbps)|
56 Il manque un espace. => | OÜI FM Ganja | %%http://ganja.stream.ouifm.fr/ouifmganja-128.mp3%%  (128 kbps) \\ %%http://ganja.stream.ouifm.fr/ouifmganja-96.aac%% (96 kbps)|
56 Espace(s) surnuméraire(s) à supprimer. => | OÜI FM Ganja | %%http://ganja.stream.ouifm.fr/ouifmganja-128.mp3%%  (128 kbps) \\ %%http://ganja.stream.ouifm.fr/ouifmganja-96.aac%% (96 kbps)|
56 Mot inconnu : kbps => | OÜI FM Ganja | %%http://ganja.stream.ouifm.fr/ouifmganja-128.mp3%%  (128 kbps) \\ %%http://ganja.stream.ouifm.fr/ouifmganja-96.aac%% (96 kbps)|
56 Il manque un espace. => | OÜI FM Ganja | %%http://ganja.stream.ouifm.fr/ouifmganja-128.mp3%%  (128 kbps) \\ %%http://ganja.stream.ouifm.fr/ouifmganja-96.aac%% (96 kbps)|
56 Mot inconnu : kbps => | OÜI FM Ganja | %%http://ganja.stream.ouifm.fr/ouifmganja-128.mp3%%  (128 kbps) \\ %%http://ganja.stream.ouifm.fr/ouifmganja-96.aac%% (96 kbps)|

58 Il manque un espace. => | Parenthèse radio | %%mms://vipmms9.yacast.net/prt_live01%% |
58 Mot inconnu : mms => | Parenthèse radio | %%mms://vipmms9.yacast.net/prt_live01%% |

59 Mot inconnu : Phaune => | [[https://phauneradio.com/|Phaune Radio]] | %%http://stream.phauneradio.com/phaune_256%% |
59 Il manque un espace. => | [[https://phauneradio.com/|Phaune Radio]] | %%http://stream.phauneradio.com/phaune_256%% |

60 Il manque un espace. => | Pure DJ | %%http://addicted.puredj.com:8000/listen.pls%% |
60 Mot inconnu : listen => | Pure DJ | %%http://addicted.puredj.com:8000/listen.pls%% |
60 Mot inconnu : pls => | Pure DJ | %%http://addicted.puredj.com:8000/listen.pls%% |

62 Mot inconnu : R-One => | R-One Radio | %%http://www.r-one-radio.eu/stream/r-one-radio.m3u%% |
62 Il manque un espace. => | R-One Radio | %%http://www.r-one-radio.eu/stream/r-one-radio.m3u%% |

63 Mot inconnu : wpfr => | [[wpfr>Dialogue RCF]] (Marseille)  | %%http://str10.streamakaci.com:9040%% |
63 Mot inconnu : RCF => | [[wpfr>Dialogue RCF]] (Marseille)  | %%http://str10.streamakaci.com:9040%% |
63 Il manque un espace. => | [[wpfr>Dialogue RCF]] (Marseille)  | %%http://str10.streamakaci.com:9040%% |
63 Avec une unité de mesure, mettez un espace insécable. => | [[wpfr>Dialogue RCF]] (Marseille)  | %%http://str10.streamakaci.com:9040%% |

64 Il manque un espace. => | Radio Campus Clermont-Ferrand | %%http://campus.abeille.com:8000/campus.ogg%% |
64 Mot inconnu : ogg => | Radio Campus Clermont-Ferrand | %%http://campus.abeille.com:8000/campus.ogg%% |

65 Mot inconnu : Orléan => | [[https://orleans.radiocampus.org/|Radio Campus Orléan]] | %%http://orleans.radiocampus.org:8000/stream_rco%% |
65 Il manque un espace. => | [[https://orleans.radiocampus.org/|Radio Campus Orléan]] | %%http://orleans.radiocampus.org:8000/stream_rco%% |
65 Mot inconnu : stream_rco => | [[https://orleans.radiocampus.org/|Radio Campus Orléan]] | %%http://orleans.radiocampus.org:8000/stream_rco%% |

66 Mot inconnu : wpfr => | [[wpfr>Radio Canut]] Lyon | %%http://live.francra.org:8000/radiocanut.m3u%% |
66 Il manque un espace. => | [[wpfr>Radio Canut]] Lyon | %%http://live.francra.org:8000/radiocanut.m3u%% |
66 Mot inconnu : radiocanut => | [[wpfr>Radio Canut]] Lyon | %%http://live.francra.org:8000/radiocanut.m3u%% |
66 Mot inconnu : m3u => | [[wpfr>Radio Canut]] Lyon | %%http://live.francra.org:8000/radiocanut.m3u%% |

67 Il manque un espace. => | [[https://radiocapsule.com/|Radio Capsule]] | %%http://airtime2.radiocapsule.com:15000/radio320.mp3%% |
67 Formatage des grands nombres. => | [[https://radiocapsule.com/|Radio Capsule]] | %%http://airtime2.radiocapsule.com:15000/radio320.mp3%% |
67 Mot inconnu : radio320 => | [[https://radiocapsule.com/|Radio Capsule]] | %%http://airtime2.radiocapsule.com:15000/radio320.mp3%% |
67 Mot inconnu : mp3 => | [[https://radiocapsule.com/|Radio Capsule]] | %%http://airtime2.radiocapsule.com:15000/radio320.mp3%% |

68 Mot inconnu : wpfr => | [[wpfr>Radio Courtoisie]] | %%http://www.radiocourtoisie.fr/courtoisie.m3u%% |
68 Il manque un espace. => | [[wpfr>Radio Courtoisie]] | %%http://www.radiocourtoisie.fr/courtoisie.m3u%% |

69 Mot inconnu : Dio => | Radio Dio Saint Etienne | %%http://www.hosting-serv.com:9160/listen.pls%% |
69 Mot inconnu : Etienne => | Radio Dio Saint Etienne | %%http://www.hosting-serv.com:9160/listen.pls%% |
69 Il manque un espace. => | Radio Dio Saint Etienne | %%http://www.hosting-serv.com:9160/listen.pls%% |
69 Mot inconnu : listen => | Radio Dio Saint Etienne | %%http://www.hosting-serv.com:9160/listen.pls%% |
69 Mot inconnu : pls => | Radio Dio Saint Etienne | %%http://www.hosting-serv.com:9160/listen.pls%% |

70 Mot inconnu : wpfr => | [[wpfr>Radio Espérance]] Saint Etienne | %%http://www.streamakaci.com/radios/esperance.m3u%% |
70 Mot inconnu : Etienne => | [[wpfr>Radio Espérance]] Saint Etienne | %%http://www.streamakaci.com/radios/esperance.m3u%% |
70 Il manque un espace. => | [[wpfr>Radio Espérance]] Saint Etienne | %%http://www.streamakaci.com/radios/esperance.m3u%% |

71 Il manque un espace. => | Radio Espérance al Raja | %%http://217.114.200.148:80%% |
71 Avec une unité de mesure, mettez un espace insécable. => | Radio Espérance al Raja | %%http://217.114.200.148:80%% |

72 Il manque un espace. => | Radio Espérance Au Fils du temps | %%http://str80.streamakaci.com:6990%% |
72 Avec une unité de mesure, mettez un espace insécable. => | Radio Espérance Au Fils du temps | %%http://str80.streamakaci.com:6990%% |

