2 Mot inconnu : tnt => {{tag>tnt carte_tv realtek}}
2 Mot inconnu : carte_tv => {{tag>tnt carte_tv realtek}}
2 Mot inconnu : realtek => {{tag>tnt carte_tv realtek}}

5 Mot inconnu : Chipset => ====== Chipset : Realtek RTL2832U ======
5 Il manque un espace insécable. => ====== Chipset : Realtek RTL2832U ======
5 Mot inconnu : Realtek => ====== Chipset : Realtek RTL2832U ======
5 Mot inconnu : RTL2832U => ====== Chipset : Realtek RTL2832U ======

7 Mot inconnu : Antti => <note tip>[[http://palosaari.fi/linux/|Antti Palosaari]] a découvert qu'il était possible d'utiliser ces clés en tant que récepteur radio [[SDR]] ce qui peut s'avérer très utile notamment en [[navigation_maritime|navigation maritime]]. La procédure est décrite **[[rtl-sdr|sur cette page]]**</note>
7 Mot inconnu : Palosaari => <note tip>[[http://palosaari.fi/linux/|Antti Palosaari]] a découvert qu'il était possible d'utiliser ces clés en tant que récepteur radio [[SDR]] ce qui peut s'avérer très utile notamment en [[navigation_maritime|navigation maritime]]. La procédure est décrite **[[rtl-sdr|sur cette page]]**</note>
7 Mot inconnu : SDR => <note tip>[[http://palosaari.fi/linux/|Antti Palosaari]] a découvert qu'il était possible d'utiliser ces clés en tant que récepteur radio [[SDR]] ce qui peut s'avérer très utile notamment en [[navigation_maritime|navigation maritime]]. La procédure est décrite **[[rtl-sdr|sur cette page]]**</note>
7 Mot inconnu : navigation_maritime => <note tip>[[http://palosaari.fi/linux/|Antti Palosaari]] a découvert qu'il était possible d'utiliser ces clés en tant que récepteur radio [[SDR]] ce qui peut s'avérer très utile notamment en [[navigation_maritime|navigation maritime]]. La procédure est décrite **[[rtl-sdr|sur cette page]]**</note>
7 Mot inconnu : rtl-sdr => <note tip>[[http://palosaari.fi/linux/|Antti Palosaari]] a découvert qu'il était possible d'utiliser ces clés en tant que récepteur radio [[SDR]] ce qui peut s'avérer très utile notamment en [[navigation_maritime|navigation maritime]]. La procédure est décrite **[[rtl-sdr|sur cette page]]**</note>

11 Mot inconnu : DVB-T => De nombreuses clés USB DVB-T sont fabriquées à partir du **démodulateur RTL2832U** :
11 Mot inconnu : RTL2832U => De nombreuses clés USB DVB-T sont fabriquées à partir du **démodulateur RTL2832U** :
11 Il manque un espace insécable. => De nombreuses clés USB DVB-T sont fabriquées à partir du **démodulateur RTL2832U** :

14 Espace(s) surnuméraire(s) à supprimer. => ^                        Marque                   ^   Product ID    ^  Produit                    ^  Tuner  ^
14 Mot inconnu : Product => ^                        Marque                   ^   Product ID    ^  Produit                    ^  Tuner  ^
14 Espace(s) surnuméraire(s) à supprimer. => ^                        Marque                   ^   Product ID    ^  Produit                    ^  Tuner  ^
14 Espace(s) surnuméraire(s) à supprimer. => ^                        Marque                   ^   Product ID    ^  Produit                    ^  Tuner  ^
14 Espace(s) surnuméraire(s) à supprimer. => ^                        Marque                   ^   Product ID    ^  Produit                    ^  Tuner  ^

15 Mot inconnu : Realtek => |  **Realtek Semiconductor Corp.**  |  0BDA:2832    |TRUST 16738          |              |
18 Mot inconnu : E4000 => | :::                           |  0BDA:2838    |ezcap USB 2.0 DVB-T/DAB/FM dongle       |    E4000   |
18 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2838    |ezcap USB 2.0 DVB-T/DAB/FM dongle       |    E4000   |

19 Une de ces ponctuations est superflue. => | :::                           |  0BDA:2836    |           |       |
19 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2836    |           |       |
19 Mot inconnu : BDA => | :::                           |  0BDA:2836    |           |       |
19 Il manque un espace. => | :::                           |  0BDA:2836    |           |       |
19 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2836    |           |       |

20 Une de ces ponctuations est superflue. => | :::                           |  0BDA:2839    |           |       |
20 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2839    |           |       |
20 Mot inconnu : BDA => | :::                           |  0BDA:2839    |           |       |
20 Il manque un espace. => | :::                           |  0BDA:2839    |           |       |
20 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2839    |           |       |

21 Une de ces ponctuations est superflue. => | :::                           |  0BDA:2840    |           |       |
21 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2840    |           |       |
21 Mot inconnu : BDA => | :::                           |  0BDA:2840    |           |       |
21 Il manque un espace. => | :::                           |  0BDA:2840    |           |       |
21 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2840    |           |       |

22 Une de ces ponctuations est superflue. => | :::                           |  0BDA:2841    |           |       |
22 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2841    |           |       |
22 Mot inconnu : BDA => | :::                           |  0BDA:2841    |           |       |
22 Il manque un espace. => | :::                           |  0BDA:2841    |           |       |
22 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2841    |           |       |

23 Une de ces ponctuations est superflue. => | :::                           |  0BDA:2834    |           |       |
23 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2834    |           |       |
23 Mot inconnu : BDA => | :::                           |  0BDA:2834    |           |       |
23 Il manque un espace. => | :::                           |  0BDA:2834    |           |       |
23 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2834    |           |       |

24 Une de ces ponctuations est superflue. => | :::                           |  0BDA:2837    |           |       |
24 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2837    |           |       |
24 Mot inconnu : BDA => | :::                           |  0BDA:2837    |           |       |
24 Il manque un espace. => | :::                           |  0BDA:2837    |           |       |
24 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2837    |           |       |

25 Une de ces ponctuations est superflue. => | :::                           |  0BDA:2820    |           |       |
25 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2820    |           |       |
25 Mot inconnu : BDA => | :::                           |  0BDA:2820    |           |       |
25 Il manque un espace. => | :::                           |  0BDA:2820    |           |       |
25 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2820    |           |       |

26 Une de ces ponctuations est superflue. => | :::                           |  0BDA:2821    |           |       |
26 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2821    |           |       |
26 Mot inconnu : BDA => | :::                           |  0BDA:2821    |           |       |
26 Il manque un espace. => | :::                           |  0BDA:2821    |           |       |
26 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2821    |           |       |

27 Une de ces ponctuations est superflue. => | :::                           |  0BDA:2822    |           |       |
27 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2822    |           |       |
27 Mot inconnu : BDA => | :::                           |  0BDA:2822    |           |       |
27 Il manque un espace. => | :::                           |  0BDA:2822    |           |       |
27 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2822    |           |       |

28 Une de ces ponctuations est superflue. => | :::                           |  0BDA:2833    |           |       |
28 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2833    |           |       |
28 Mot inconnu : BDA => | :::                           |  0BDA:2833    |           |       |
28 Il manque un espace. => | :::                           |  0BDA:2833    |           |       |
28 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2833    |           |       |

29 Une de ces ponctuations est superflue. => | :::                           |  0BDA:2810    |           |       |
29 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2810    |           |       |
29 Mot inconnu : BDA => | :::                           |  0BDA:2810    |           |       |
29 Il manque un espace. => | :::                           |  0BDA:2810    |           |       |
29 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2810    |           |       |

30 Une de ces ponctuations est superflue. => | :::                           |  0BDA:2811    |           |       |
30 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2811    |           |       |
30 Mot inconnu : BDA => | :::                           |  0BDA:2811    |           |       |
30 Il manque un espace. => | :::                           |  0BDA:2811    |           |       |
30 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2811    |           |       |

31 Une de ces ponctuations est superflue. => | :::                           |  0BDA:2824    |           |       |
31 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2824    |           |       |
31 Mot inconnu : BDA => | :::                           |  0BDA:2824    |           |       |
31 Il manque un espace. => | :::                           |  0BDA:2824    |           |       |
31 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2824    |           |       |

32 Une de ces ponctuations est superflue. => | :::                           |  0BDA:2825    |           |       |
32 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2825    |           |       |
32 Mot inconnu : BDA => | :::                           |  0BDA:2825    |           |       |
32 Il manque un espace. => | :::                           |  0BDA:2825    |           |       |
32 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  0BDA:2825    |           |       |

33 Mot inconnu : Dexatek => |  **Dexatek Technology Ltd.**      |  1D19:1101    |Logilink VG0002A |FC2580 |
33 Mot inconnu : Technology => |  **Dexatek Technology Ltd.**      |  1D19:1101    |Logilink VG0002A |FC2580 |
33 Mot inconnu : Ltd => |  **Dexatek Technology Ltd.**      |  1D19:1101    |Logilink VG0002A |FC2580 |
33 Mot inconnu : D19 => |  **Dexatek Technology Ltd.**      |  1D19:1101    |Logilink VG0002A |FC2580 |
33 Il manque un espace. => |  **Dexatek Technology Ltd.**      |  1D19:1101    |Logilink VG0002A |FC2580 |
33 Espace(s) surnuméraire(s) à supprimer. => |  **Dexatek Technology Ltd.**      |  1D19:1101    |Logilink VG0002A |FC2580 |
33 Mot inconnu : Logilink => |  **Dexatek Technology Ltd.**      |  1D19:1101    |Logilink VG0002A |FC2580 |
33 Mot inconnu : VG0002A => |  **Dexatek Technology Ltd.**      |  1D19:1101    |Logilink VG0002A |FC2580 |
33 Mot inconnu : FC2580 => |  **Dexatek Technology Ltd.**      |  1D19:1101    |Logilink VG0002A |FC2580 |

34 Une de ces ponctuations est superflue. => |   :::        |   :::      |DK DVB-T Dongle  | |
34 Espace(s) surnuméraire(s) à supprimer. => |   :::        |   :::      |DK DVB-T Dongle  | |
34 Une de ces ponctuations est superflue. => |   :::        |   :::      |DK DVB-T Dongle  | |
34 Espace(s) surnuméraire(s) à supprimer. => |   :::        |   :::      |DK DVB-T Dongle  | |
34 Mot inconnu : DK => |   :::        |   :::      |DK DVB-T Dongle  | |
34 Mot inconnu : DVB-T => |   :::        |   :::      |DK DVB-T Dongle  | |
34 Espace(s) surnuméraire(s) à supprimer. => |   :::        |   :::      |DK DVB-T Dongle  | |

35 Une de ces ponctuations est superflue. => |  :::       |   :::      |TX Hollywood DVTB  | |
35 Espace(s) surnuméraire(s) à supprimer. => |  :::       |   :::      |TX Hollywood DVTB  | |
35 Une de ces ponctuations est superflue. => |  :::       |   :::      |TX Hollywood DVTB  | |
35 Espace(s) surnuméraire(s) à supprimer. => |  :::       |   :::      |TX Hollywood DVTB  | |
35 Mot inconnu : TX => |  :::       |   :::      |TX Hollywood DVTB  | |
35 Mot inconnu : DVTB => |  :::       |   :::      |TX Hollywood DVTB  | |
35 Espace(s) surnuméraire(s) à supprimer. => |  :::       |   :::      |TX Hollywood DVTB  | |

36 Une de ces ponctuations est superflue. => | :::                           |  :::     |MSI DIGIVOX mini II v3.0 | |
36 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  :::     |MSI DIGIVOX mini II v3.0 | |
36 Une de ces ponctuations est superflue. => | :::                           |  :::     |MSI DIGIVOX mini II v3.0 | |
36 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  :::     |MSI DIGIVOX mini II v3.0 | |
36 Mot inconnu : MSI => | :::                           |  :::     |MSI DIGIVOX mini II v3.0 | |
36 Mot inconnu : DIGIVOX => | :::                           |  :::     |MSI DIGIVOX mini II v3.0 | |
36 Mot inconnu : v3 => | :::                           |  :::     |MSI DIGIVOX mini II v3.0 | |

37 Une de ces ponctuations est superflue. => | :::                           |  1D19:1102    |DK mini DVB-T Dongle | |
37 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:1102    |DK mini DVB-T Dongle | |
37 Mot inconnu : D19 => | :::                           |  1D19:1102    |DK mini DVB-T Dongle | |
37 Il manque un espace. => | :::                           |  1D19:1102    |DK mini DVB-T Dongle | |
37 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:1102    |DK mini DVB-T Dongle | |
37 Mot inconnu : DK => | :::                           |  1D19:1102    |DK mini DVB-T Dongle | |
37 Mot inconnu : DVB-T => | :::                           |  1D19:1102    |DK mini DVB-T Dongle | |

38 Une de ces ponctuations est superflue. => | :::                           |  :::    |MSI DIGIVOX mini II v3.0 |  |
38 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  :::    |MSI DIGIVOX mini II v3.0 |  |
38 Une de ces ponctuations est superflue. => | :::                           |  :::    |MSI DIGIVOX mini II v3.0 |  |
38 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  :::    |MSI DIGIVOX mini II v3.0 |  |
38 Mot inconnu : MSI => | :::                           |  :::    |MSI DIGIVOX mini II v3.0 |  |
38 Mot inconnu : DIGIVOX => | :::                           |  :::    |MSI DIGIVOX mini II v3.0 |  |
38 Mot inconnu : v3 => | :::                           |  :::    |MSI DIGIVOX mini II v3.0 |  |

39 Une de ces ponctuations est superflue. => | :::                           |  1D19:1103    |DK 5217 DVB-T Dongle |  FC2580 |
39 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:1103    |DK 5217 DVB-T Dongle |  FC2580 |
39 Mot inconnu : D19 => | :::                           |  1D19:1103    |DK 5217 DVB-T Dongle |  FC2580 |
39 Il manque un espace. => | :::                           |  1D19:1103    |DK 5217 DVB-T Dongle |  FC2580 |
39 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:1103    |DK 5217 DVB-T Dongle |  FC2580 |
39 Mot inconnu : DK => | :::                           |  1D19:1103    |DK 5217 DVB-T Dongle |  FC2580 |
39 Mot inconnu : DVB-T => | :::                           |  1D19:1103    |DK 5217 DVB-T Dongle |  FC2580 |
39 Mot inconnu : FC2580 => | :::                           |  1D19:1103    |DK 5217 DVB-T Dongle |  FC2580 |

40 Une de ces ponctuations est superflue. => | :::                           |  1D19:1104    |           |       |
40 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:1104    |           |       |
40 Mot inconnu : D19 => | :::                           |  1D19:1104    |           |       |
40 Il manque un espace. => | :::                           |  1D19:1104    |           |       |
40 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:1104    |           |       |

41 Une de ces ponctuations est superflue. => | :::                           |  1D19:1105    |           |       |
41 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:1105    |           |       |
41 Mot inconnu : D19 => | :::                           |  1D19:1105    |           |       |
41 Il manque un espace. => | :::                           |  1D19:1105    |           |       |
41 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:1105    |           |       |

42 Une de ces ponctuations est superflue. => | :::                           |  1D19:1106    |           |       |
42 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:1106    |           |       |
42 Mot inconnu : D19 => | :::                           |  1D19:1106    |           |       |
42 Il manque un espace. => | :::                           |  1D19:1106    |           |       |
42 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:1106    |           |       |

43 Une de ces ponctuations est superflue. => | :::                           |  1D19:1107    |           |       |
43 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:1107    |           |       |
43 Mot inconnu : D19 => | :::                           |  1D19:1107    |           |       |
43 Il manque un espace. => | :::                           |  1D19:1107    |           |       |
43 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:1107    |           |       |

44 Une de ces ponctuations est superflue. => | :::                           |  1D19:1108    |           |       |
44 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:1108    |           |       |
44 Mot inconnu : D19 => | :::                           |  1D19:1108    |           |       |
44 Il manque un espace. => | :::                           |  1D19:1108    |           |       |
44 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:1108    |           |       |

45 Une de ces ponctuations est superflue. => | :::                           |  1D19:2101    |           |       |
45 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:2101    |           |       |
45 Mot inconnu : D19 => | :::                           |  1D19:2101    |           |       |
45 Il manque un espace. => | :::                           |  1D19:2101    |           |       |
45 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:2101    |           |       |

46 Une de ces ponctuations est superflue. => | :::                           |  1D19:3103    |           |       |
46 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:3103    |           |       |
46 Mot inconnu : D19 => | :::                           |  1D19:3103    |           |       |
46 Il manque un espace. => | :::                           |  1D19:3103    |           |       |
46 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:3103    |           |       |

47 Une de ces ponctuations est superflue. => | :::                           |  1D19:8202    |DK DVBC/T DONGLE | |
47 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:8202    |DK DVBC/T DONGLE | |
47 Mot inconnu : D19 => | :::                           |  1D19:8202    |DK DVBC/T DONGLE | |
47 Il manque un espace. => | :::                           |  1D19:8202    |DK DVBC/T DONGLE | |
47 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:8202    |DK DVBC/T DONGLE | |
47 Mot inconnu : DK => | :::                           |  1D19:8202    |DK DVBC/T DONGLE | |
47 Mot inconnu : DVBC => | :::                           |  1D19:8202    |DK DVBC/T DONGLE | |

48 Une de ces ponctuations est superflue. => | :::                           |  1D19:9201    |           |       |
48 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:9201    |           |       |
48 Mot inconnu : D19 => | :::                           |  1D19:9201    |           |       |
48 Il manque un espace. => | :::                           |  1D19:9201    |           |       |
48 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:9201    |           |       |

49 Une de ces ponctuations est superflue. => | :::                           |  1D19:9202 	|           |       |
49 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1D19:9202 	|           |       |
49 Mot inconnu : D19 => | :::                           |  1D19:9202 	|           |       |
49 Il manque un espace. => | :::                           |  1D19:9202 	|           |       |
49 Incohérence : espace et tabulation. => | :::                           |  1D19:9202 	|           |       |

50 Mot inconnu : Afatek => |  **Afatek**                       |  1B80:D393    |NILOX DVB-T Stick N15          |       |
50 Mot inconnu : B80 => |  **Afatek**                       |  1B80:D393    |NILOX DVB-T Stick N15          |       |
50 Il manque un espace. => |  **Afatek**                       |  1B80:D393    |NILOX DVB-T Stick N15          |       |
50 Mot inconnu : D393 => |  **Afatek**                       |  1B80:D393    |NILOX DVB-T Stick N15          |       |
50 Espace(s) surnuméraire(s) à supprimer. => |  **Afatek**                       |  1B80:D393    |NILOX DVB-T Stick N15          |       |
50 Mot inconnu : NILOX => |  **Afatek**                       |  1B80:D393    |NILOX DVB-T Stick N15          |       |
50 Mot inconnu : DVB-T => |  **Afatek**                       |  1B80:D393    |NILOX DVB-T Stick N15          |       |
50 Mot inconnu : N15 => |  **Afatek**                       |  1B80:D393    |NILOX DVB-T Stick N15          |       |
50 Espace(s) surnuméraire(s) à supprimer. => |  **Afatek**                       |  1B80:D393    |NILOX DVB-T Stick N15          |       |

51 Une de ces ponctuations est superflue. => | :::                     |  ::: | GIGABYTE GT-U7300        |    FC0012   |
51 Espace(s) surnuméraire(s) à supprimer. => | :::                     |  ::: | GIGABYTE GT-U7300        |    FC0012   |
51 Une de ces ponctuations est superflue. => | :::                     |  ::: | GIGABYTE GT-U7300        |    FC0012   |
51 Mot inconnu : GIGABYTE => | :::                     |  ::: | GIGABYTE GT-U7300        |    FC0012   |
51 Mot inconnu : GT-U7300 => | :::                     |  ::: | GIGABYTE GT-U7300        |    FC0012   |
51 Espace(s) surnuméraire(s) à supprimer. => | :::                     |  ::: | GIGABYTE GT-U7300        |    FC0012   |
51 Mot inconnu : FC0012 => | :::                     |  ::: | GIGABYTE GT-U7300        |    FC0012   |
51 Espace(s) surnuméraire(s) à supprimer. => | :::                     |  ::: | GIGABYTE GT-U7300        |    FC0012   |

52 Une de ces ponctuations est superflue. => | :::                           |  1B80:D394    |DIKOM USB-DVBT HD     |       |
52 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D394    |DIKOM USB-DVBT HD     |       |
52 Mot inconnu : B80 => | :::                           |  1B80:D394    |DIKOM USB-DVBT HD     |       |
52 Il manque un espace. => | :::                           |  1B80:D394    |DIKOM USB-DVBT HD     |       |
52 Mot inconnu : D394 => | :::                           |  1B80:D394    |DIKOM USB-DVBT HD     |       |
52 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D394    |DIKOM USB-DVBT HD     |       |
52 Mot inconnu : DIKOM => | :::                           |  1B80:D394    |DIKOM USB-DVBT HD     |       |
52 Mot inconnu : USB-DVBT => | :::                           |  1B80:D394    |DIKOM USB-DVBT HD     |       |
52 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D394    |DIKOM USB-DVBT HD     |       |

53 Une de ces ponctuations est superflue. => | :::                           |  1B80:D395    |Peak 102569AGPK       |   FC0012    |
53 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D395    |Peak 102569AGPK       |   FC0012    |
53 Mot inconnu : B80 => | :::                           |  1B80:D395    |Peak 102569AGPK       |   FC0012    |
53 Il manque un espace. => | :::                           |  1B80:D395    |Peak 102569AGPK       |   FC0012    |
53 Mot inconnu : D395 => | :::                           |  1B80:D395    |Peak 102569AGPK       |   FC0012    |
53 Espace(s) surnuméraire(s) à supprimer. => | :::                           |  1B80:D395    |Peak 102569AGPK       |   FC0012    |
53 Mot inconnu : Peak => | :::                           |  1B80:D395    |Peak 102569AGPK       |   FC0012    |
