6 Il manque un espace insécable. => ====== Liste des portables « SONY Vaio » ======
6 Mot inconnu : Vaio => ====== Liste des portables « SONY Vaio » ======
6 Il manque un espace insécable. => ====== Liste des portables « SONY Vaio » ======

7 Il manque un espace insécable. => Voici tous les micro-ordinateurs portables « SONY Vaio » ayant été testés sous Ubuntu, classés par ordre alphabétique.
7 Mot inconnu : Vaio => Voici tous les micro-ordinateurs portables « SONY Vaio » ayant été testés sous Ubuntu, classés par ordre alphabétique.
7 Il manque un espace insécable. => Voici tous les micro-ordinateurs portables « SONY Vaio » ayant été testés sous Ubuntu, classés par ordre alphabétique.

11 Mot inconnu : icons => | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Fonctionne immédiatement. |
11 Il manque un espace. => | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Fonctionne immédiatement. |
11 Mot inconnu : icon-ubuntu => | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Fonctionne immédiatement. |

12 Il manque un espace. => | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Fonctionne après configuration. |
12 Mot inconnu : modeles => | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Fonctionne après configuration. |
12 Mot inconnu : laptop_work => | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Fonctionne après configuration. |

13 Mot inconnu : icons => | {{:icons:process-stop.png?nolink|Ne fonctionne pas}} | Le modèle ne semble pas être supporté par Ubuntu. |
13 Il manque un espace. => | {{:icons:process-stop.png?nolink|Ne fonctionne pas}} | Le modèle ne semble pas être supporté par Ubuntu. |
13 Il manque un espace insécable. => | {{:icons:process-stop.png?nolink|Ne fonctionne pas}} | Le modèle ne semble pas être supporté par Ubuntu. |
13 Il manque un espace. => | {{:icons:process-stop.png?nolink|Ne fonctionne pas}} | Le modèle ne semble pas être supporté par Ubuntu. |
13 Mot inconnu : nolink => | {{:icons:process-stop.png?nolink|Ne fonctionne pas}} | Le modèle ne semble pas être supporté par Ubuntu. |

16 Mot inconnu : Vaio => ===== Vaio PCG =====
16 Mot inconnu : PCG => ===== Vaio PCG =====

18 Espace(s) surnuméraire(s) à supprimer. => ^ Modèle ^ Installation ^ Matériel ^ Commentaires  ^  [[:versions|Version]]  ^

19 Mot inconnu : PCG-7A1M => | PCG-7A1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Marche très bien excepté la touche Fn, le pilote graphique propriétaire 173 semble plus rapide que le current. | Lucid |
20 Mot inconnu : PCG-7G1M => | PCG-7G1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Marche très bien excepté les touches sons et luminosité du clavier. | Lucid |
20 Mot inconnu : icons => | PCG-7G1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Marche très bien excepté les touches sons et luminosité du clavier. | Lucid |
20 Il manque un espace. => | PCG-7G1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Marche très bien excepté les touches sons et luminosité du clavier. | Lucid |
20 Mot inconnu : icon-ubuntu => | PCG-7G1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Marche très bien excepté les touches sons et luminosité du clavier. | Lucid |
20 Mot inconnu : icons => | PCG-7G1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Marche très bien excepté les touches sons et luminosité du clavier. | Lucid |
20 Il manque un espace. => | PCG-7G1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Marche très bien excepté les touches sons et luminosité du clavier. | Lucid |
20 Mot inconnu : icon-ubuntu => | PCG-7G1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Marche très bien excepté les touches sons et luminosité du clavier. | Lucid |
20 Mot inconnu : Lucid => | PCG-7G1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Marche très bien excepté les touches sons et luminosité du clavier. | Lucid |

21 Mot inconnu : PCG => | PCG 71313M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Marche impeccablement bien, si le scroll latéral du touchpad ne fonctionne pas, il est configurable //via// Gpointing | Oneiric |
21 Mot inconnu : icons => | PCG 71313M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Marche impeccablement bien, si le scroll latéral du touchpad ne fonctionne pas, il est configurable //via// Gpointing | Oneiric |
21 Il manque un espace. => | PCG 71313M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Marche impeccablement bien, si le scroll latéral du touchpad ne fonctionne pas, il est configurable //via// Gpointing | Oneiric |
21 Mot inconnu : icon-ubuntu => | PCG 71313M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Marche impeccablement bien, si le scroll latéral du touchpad ne fonctionne pas, il est configurable //via// Gpointing | Oneiric |
21 Mot inconnu : icons => | PCG 71313M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Marche impeccablement bien, si le scroll latéral du touchpad ne fonctionne pas, il est configurable //via// Gpointing | Oneiric |
21 Il manque un espace. => | PCG 71313M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Marche impeccablement bien, si le scroll latéral du touchpad ne fonctionne pas, il est configurable //via// Gpointing | Oneiric |
21 Mot inconnu : icon-ubuntu => | PCG 71313M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Marche impeccablement bien, si le scroll latéral du touchpad ne fonctionne pas, il est configurable //via// Gpointing | Oneiric |
21 Mot inconnu : scroll => | PCG 71313M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Marche impeccablement bien, si le scroll latéral du touchpad ne fonctionne pas, il est configurable //via// Gpointing | Oneiric |
21 Mot inconnu : touchpad => | PCG 71313M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Marche impeccablement bien, si le scroll latéral du touchpad ne fonctionne pas, il est configurable //via// Gpointing | Oneiric |
21 Mot inconnu : Gpointing => | PCG 71313M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Marche impeccablement bien, si le scroll latéral du touchpad ne fonctionne pas, il est configurable //via// Gpointing | Oneiric |
21 Mot inconnu : Oneiric => | PCG 71313M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Marche impeccablement bien, si le scroll latéral du touchpad ne fonctionne pas, il est configurable //via// Gpointing | Oneiric |

22 Mot inconnu : PCG-8P1M => | PCG-8P1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Ça marche très bien dans l'ensemble, même avec XGL et les pilotes propriétaires de nVidia. Hibernate (suspend to ram) ne fonctionne pas. Le noyau -686 ne fonctionne pas (gardez le -386 qui lui marche bien). Aucun autre problème. | Dapper |
22 Mot inconnu : icons => | PCG-8P1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Ça marche très bien dans l'ensemble, même avec XGL et les pilotes propriétaires de nVidia. Hibernate (suspend to ram) ne fonctionne pas. Le noyau -686 ne fonctionne pas (gardez le -386 qui lui marche bien). Aucun autre problème. | Dapper |
22 Il manque un espace. => | PCG-8P1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Ça marche très bien dans l'ensemble, même avec XGL et les pilotes propriétaires de nVidia. Hibernate (suspend to ram) ne fonctionne pas. Le noyau -686 ne fonctionne pas (gardez le -386 qui lui marche bien). Aucun autre problème. | Dapper |
22 Mot inconnu : icon-ubuntu => | PCG-8P1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Ça marche très bien dans l'ensemble, même avec XGL et les pilotes propriétaires de nVidia. Hibernate (suspend to ram) ne fonctionne pas. Le noyau -686 ne fonctionne pas (gardez le -386 qui lui marche bien). Aucun autre problème. | Dapper |
22 Il manque un espace. => | PCG-8P1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Ça marche très bien dans l'ensemble, même avec XGL et les pilotes propriétaires de nVidia. Hibernate (suspend to ram) ne fonctionne pas. Le noyau -686 ne fonctionne pas (gardez le -386 qui lui marche bien). Aucun autre problème. | Dapper |
22 Mot inconnu : modeles => | PCG-8P1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Ça marche très bien dans l'ensemble, même avec XGL et les pilotes propriétaires de nVidia. Hibernate (suspend to ram) ne fonctionne pas. Le noyau -686 ne fonctionne pas (gardez le -386 qui lui marche bien). Aucun autre problème. | Dapper |
22 Mot inconnu : laptop_work => | PCG-8P1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Ça marche très bien dans l'ensemble, même avec XGL et les pilotes propriétaires de nVidia. Hibernate (suspend to ram) ne fonctionne pas. Le noyau -686 ne fonctionne pas (gardez le -386 qui lui marche bien). Aucun autre problème. | Dapper |
22 Mot inconnu : XGL => | PCG-8P1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Ça marche très bien dans l'ensemble, même avec XGL et les pilotes propriétaires de nVidia. Hibernate (suspend to ram) ne fonctionne pas. Le noyau -686 ne fonctionne pas (gardez le -386 qui lui marche bien). Aucun autre problème. | Dapper |
22 Mot inconnu : nVidia => | PCG-8P1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Ça marche très bien dans l'ensemble, même avec XGL et les pilotes propriétaires de nVidia. Hibernate (suspend to ram) ne fonctionne pas. Le noyau -686 ne fonctionne pas (gardez le -386 qui lui marche bien). Aucun autre problème. | Dapper |
22 Mot inconnu : to => | PCG-8P1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Ça marche très bien dans l'ensemble, même avec XGL et les pilotes propriétaires de nVidia. Hibernate (suspend to ram) ne fonctionne pas. Le noyau -686 ne fonctionne pas (gardez le -386 qui lui marche bien). Aucun autre problème. | Dapper |
22 Mot inconnu : ram => | PCG-8P1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Ça marche très bien dans l'ensemble, même avec XGL et les pilotes propriétaires de nVidia. Hibernate (suspend to ram) ne fonctionne pas. Le noyau -686 ne fonctionne pas (gardez le -386 qui lui marche bien). Aucun autre problème. | Dapper |
22 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => | PCG-8P1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Ça marche très bien dans l'ensemble, même avec XGL et les pilotes propriétaires de nVidia. Hibernate (suspend to ram) ne fonctionne pas. Le noyau -686 ne fonctionne pas (gardez le -386 qui lui marche bien). Aucun autre problème. | Dapper |
22 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => | PCG-8P1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Ça marche très bien dans l'ensemble, même avec XGL et les pilotes propriétaires de nVidia. Hibernate (suspend to ram) ne fonctionne pas. Le noyau -686 ne fonctionne pas (gardez le -386 qui lui marche bien). Aucun autre problème. | Dapper |
22 Mot inconnu : Dapper => | PCG-8P1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Ça marche très bien dans l'ensemble, même avec XGL et les pilotes propriétaires de nVidia. Hibernate (suspend to ram) ne fonctionne pas. Le noyau -686 ne fonctionne pas (gardez le -386 qui lui marche bien). Aucun autre problème. | Dapper |

23 Mot inconnu : PCG-8V1M => | PCG-8V1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}  | | [[Karmic]] |
23 Mot inconnu : icons => | PCG-8V1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}  | | [[Karmic]] |
23 Il manque un espace. => | PCG-8V1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}  | | [[Karmic]] |
23 Mot inconnu : icon-ubuntu => | PCG-8V1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}  | | [[Karmic]] |
23 Mot inconnu : icons => | PCG-8V1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}  | | [[Karmic]] |
23 Il manque un espace. => | PCG-8V1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}  | | [[Karmic]] |
23 Mot inconnu : icon-ubuntu => | PCG-8V1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}  | | [[Karmic]] |
23 Mot inconnu : Karmic => | PCG-8V1M | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}}  | | [[Karmic]] |

24 Mot inconnu : PCG-F104K => | PCG-F104K | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Hibernate ne fonctionne pas. | Gutsy |
24 Mot inconnu : icons => | PCG-F104K | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Hibernate ne fonctionne pas. | Gutsy |
24 Il manque un espace. => | PCG-F104K | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Hibernate ne fonctionne pas. | Gutsy |
24 Mot inconnu : icon-ubuntu => | PCG-F104K | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Hibernate ne fonctionne pas. | Gutsy |
24 Il manque un espace. => | PCG-F104K | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Hibernate ne fonctionne pas. | Gutsy |
24 Mot inconnu : modeles => | PCG-F104K | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Hibernate ne fonctionne pas. | Gutsy |
24 Mot inconnu : laptop_work => | PCG-F104K | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Hibernate ne fonctionne pas. | Gutsy |
24 Mot inconnu : Gutsy => | PCG-F104K | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}} | Hibernate ne fonctionne pas. | Gutsy |

25 Mot inconnu : PCG-FR102 => | PCG-FR102 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Hibernate ne fonctionne pas | Gutsy |
25 Mot inconnu : icons => | PCG-FR102 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Hibernate ne fonctionne pas | Gutsy |
25 Il manque un espace. => | PCG-FR102 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Hibernate ne fonctionne pas | Gutsy |
25 Mot inconnu : icon-ubuntu => | PCG-FR102 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Hibernate ne fonctionne pas | Gutsy |
25 Mot inconnu : icons => | PCG-FR102 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Hibernate ne fonctionne pas | Gutsy |
25 Il manque un espace. => | PCG-FR102 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Hibernate ne fonctionne pas | Gutsy |
25 Mot inconnu : icon-ubuntu => | PCG-FR102 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Hibernate ne fonctionne pas | Gutsy |
25 Mot inconnu : Gutsy => | PCG-FR102 | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | Hibernate ne fonctionne pas | Gutsy |

26 Mot inconnu : PCG-FR215E => | PCG-FR215E | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | modem interne | Breezy |
26 Mot inconnu : icons => | PCG-FR215E | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | modem interne | Breezy |
26 Il manque un espace. => | PCG-FR215E | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | modem interne | Breezy |
26 Mot inconnu : icon-ubuntu => | PCG-FR215E | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | modem interne | Breezy |
26 Mot inconnu : icons => | PCG-FR215E | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | modem interne | Breezy |
26 Il manque un espace. => | PCG-FR215E | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | modem interne | Breezy |
26 Mot inconnu : icon-ubuntu => | PCG-FR215E | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | modem interne | Breezy |
26 Mot inconnu : Breezy => | PCG-FR215E | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | modem interne | Breezy |

27 Mot inconnu : PCG-FR315E => | PCG-FR315E | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | peut etre fn | karmic |
27 Mot inconnu : icons => | PCG-FR315E | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | peut etre fn | karmic |
27 Il manque un espace. => | PCG-FR315E | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | peut etre fn | karmic |
27 Mot inconnu : icon-ubuntu => | PCG-FR315E | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | peut etre fn | karmic |
27 Mot inconnu : icons => | PCG-FR315E | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | peut etre fn | karmic |
27 Il manque un espace. => | PCG-FR315E | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | peut etre fn | karmic |
27 Mot inconnu : icon-ubuntu => | PCG-FR315E | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | peut etre fn | karmic |
27 Mot inconnu : etre => | PCG-FR315E | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | peut etre fn | karmic |
27 Mot inconnu : fn => | PCG-FR315E | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | peut etre fn | karmic |
27 Mot inconnu : karmic => | PCG-FR315E | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{:icons:icon-ubuntu.png|Reconnue par défaut.}} | peut etre fn | karmic |

28 Mot inconnu : PCG-F400 => | PCG-F400|{{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}}| Webcam et lecteur d'empreintes digitales non reconnus |Gutsy|
28 Mot inconnu : icons => | PCG-F400|{{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}}| Webcam et lecteur d'empreintes digitales non reconnus |Gutsy|
28 Il manque un espace. => | PCG-F400|{{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}}| Webcam et lecteur d'empreintes digitales non reconnus |Gutsy|
28 Mot inconnu : icon-ubuntu => | PCG-F400|{{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}}| Webcam et lecteur d'empreintes digitales non reconnus |Gutsy|
28 Il manque un espace. => | PCG-F400|{{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}}| Webcam et lecteur d'empreintes digitales non reconnus |Gutsy|
28 Mot inconnu : modeles => | PCG-F400|{{:icons:icon-ubuntu.png|Reconnue par défaut.}} | {{wiki:modeles:laptop_work.png|Fonctionne après config}}| Webcam et lecteur d'empreintes digitales non reconnus |Gutsy|
