1 Mot inconnu : DEBUTANTS [[22:31]] => ====== ASSISTANCE AUX DEBUTANTS EN CAS DE PROBLEMES====== <|> debutants
50 Après “être”, le verbe ne devrait pas être à l’infinitif. [[96:102]] => Si, arrivé ici, vous commencez à avoir une idée sur la cause du problème, vous pouvez peut être tester cette idée. Il y a beaucoup de petites commandes simples qui peuvent vous aider à recueillir plus d’informations sur votre problème et votre système, qui vont seront d’un grand secours. lspci pour lister votre matériel, lsusb pour lister les périphériques usb, cat /proc/cpuinfo pour avoir les caractéristiques de votre CPU, free -m pour connaitre le taux de charge de votre RAM <|> tester => suggestions : testétestéetestéestestés
50 Mot inconnu : cat [[364:367]] => Si, arrivé ici, vous commencez à avoir une idée sur la cause du problème, vous pouvez peut être tester cette idée. Il y a beaucoup de petites commandes simples qui peuvent vous aider à recueillir plus d’informations sur votre problème et votre système, qui vont seront d’un grand secours. lspci pour lister votre matériel, lsusb pour lister les périphériques usb, cat /proc/cpuinfo pour avoir les caractéristiques de votre CPU, free -m pour connaitre le taux de charge de votre RAM <|> cat
50 Mot inconnu : proc [[369:373]] => Si, arrivé ici, vous commencez à avoir une idée sur la cause du problème, vous pouvez peut être tester cette idée. Il y a beaucoup de petites commandes simples qui peuvent vous aider à recueillir plus d’informations sur votre problème et votre système, qui vont seront d’un grand secours. lspci pour lister votre matériel, lsusb pour lister les périphériques usb, cat /proc/cpuinfo pour avoir les caractéristiques de votre CPU, free -m pour connaitre le taux de charge de votre RAM <|> proc
50 Mot inconnu : cpuinfo [[374:381]] => Si, arrivé ici, vous commencez à avoir une idée sur la cause du problème, vous pouvez peut être tester cette idée. Il y a beaucoup de petites commandes simples qui peuvent vous aider à recueillir plus d’informations sur votre problème et votre système, qui vont seront d’un grand secours. lspci pour lister votre matériel, lsusb pour lister les périphériques usb, cat /proc/cpuinfo pour avoir les caractéristiques de votre CPU, free -m pour connaitre le taux de charge de votre RAM <|> cpuinfo
50 Mot inconnu : free [[428:432]] => Si, arrivé ici, vous commencez à avoir une idée sur la cause du problème, vous pouvez peut être tester cette idée. Il y a beaucoup de petites commandes simples qui peuvent vous aider à recueillir plus d’informations sur votre problème et votre système, qui vont seront d’un grand secours. lspci pour lister votre matériel, lsusb pour lister les périphériques usb, cat /proc/cpuinfo pour avoir les caractéristiques de votre CPU, free -m pour connaitre le taux de charge de votre RAM <|> free
50 Il manque un espace à côté du tiret. [[432:434]] => Si, arrivé ici, vous commencez à avoir une idée sur la cause du problème, vous pouvez peut être tester cette idée. Il y a beaucoup de petites commandes simples qui peuvent vous aider à recueillir plus d’informations sur votre problème et votre système, qui vont seront d’un grand secours. lspci pour lister votre matériel, lsusb pour lister les périphériques usb, cat /proc/cpuinfo pour avoir les caractéristiques de votre CPU, free -m pour connaitre le taux de charge de votre RAM <|>  - => suggestions :  –  — 

54 Typographie : points de suspension. Utilisez le caractère dédié. [[0:3]] => ... En demandant par exemple à un amis qui s'y connaît. <|> ... => suggestions : …
54 Accord de nombre erroné avec « amis ». [[31:33]] => ... En demandant par exemple à un amis qui s'y connaît. <|> un => suggestions : uns
54 Accord de nombre erroné avec « un ». [[34:38]] => ... En demandant par exemple à un amis qui s'y connaît. <|> amis => suggestions : ami

55 Forme interrogative ? Mettez un trait d’union. [[161:174]] => Si après tout ça, vous n’avez toujours pas résolu votre problème, il est temps de demander de l’aide sur un forum d’utilisateurs. Avant de passer à cette étape, rappelez vous que les utilisateurs des forums ne sont pas payés pour répondre à vos questions. Ce sont seulement des utilisateurs ayant une certaine expérience et qui font cela bénévolement. <|> rappelez vous => suggestions : rappelez-vous

65 Guillemets typographiques ouvrants. [[183:184]] => Faites attention à ne pas poser la mauvaise question. Si vous en posez une basée sur des assomptions erronées, vous aurez sûrement une réponse qui vous prendra au mot tout en pensant "Quelle question stupide...", et espérer qu'avoir reçu ce que vous avez demandé au lieu de ce dont vous aviez besoin vous donnera une leçon. <|> " => suggestions : « “
65 Typographie : points de suspension. Utilisez le caractère dédié. [[207:210]] => Faites attention à ne pas poser la mauvaise question. Si vous en posez une basée sur des assomptions erronées, vous aurez sûrement une réponse qui vous prendra au mot tout en pensant "Quelle question stupide...", et espérer qu'avoir reçu ce que vous avez demandé au lieu de ce dont vous aviez besoin vous donnera une leçon. <|> ... => suggestions : …
65 Guillemets typographiques fermants. [[210:211]] => Faites attention à ne pas poser la mauvaise question. Si vous en posez une basée sur des assomptions erronées, vous aurez sûrement une réponse qui vous prendra au mot tout en pensant "Quelle question stupide...", et espérer qu'avoir reçu ce que vous avez demandé au lieu de ce dont vous aviez besoin vous donnera une leçon. <|> " => suggestions :  »”

70 Guillemets typographiques ouvrants. [[125:126]] => Rendre clair le fait que vous êtes capable et avez la volonté d'aider au développement de la solution est un très bon début. "Quelqu'un peut-il me donner un tuyau?", "Quel est le problème avec mon exemple?" et "Y a-t-il un site que j'aurais dû aller voir?" ont beaucoup plus de chances d'avoir une réponse que "Dites moi exactement ce que je dois faire, merci." parce que vous mettez en évidence le fait que vous voulez bien finir le travail si quelqu'un vous indique simplement la bonne direction. <|> " => suggestions : « “
70 Guillemets typographiques fermants. [[163:164]] => Rendre clair le fait que vous êtes capable et avez la volonté d'aider au développement de la solution est un très bon début. "Quelqu'un peut-il me donner un tuyau?", "Quel est le problème avec mon exemple?" et "Y a-t-il un site que j'aurais dû aller voir?" ont beaucoup plus de chances d'avoir une réponse que "Dites moi exactement ce que je dois faire, merci." parce que vous mettez en évidence le fait que vous voulez bien finir le travail si quelqu'un vous indique simplement la bonne direction. <|> " => suggestions :  »”
70 Guillemets typographiques ouvrants. [[166:167]] => Rendre clair le fait que vous êtes capable et avez la volonté d'aider au développement de la solution est un très bon début. "Quelqu'un peut-il me donner un tuyau?", "Quel est le problème avec mon exemple?" et "Y a-t-il un site que j'aurais dû aller voir?" ont beaucoup plus de chances d'avoir une réponse que "Dites moi exactement ce que je dois faire, merci." parce que vous mettez en évidence le fait que vous voulez bien finir le travail si quelqu'un vous indique simplement la bonne direction. <|> " => suggestions : « “
70 Guillemets typographiques fermants. [[205:206]] => Rendre clair le fait que vous êtes capable et avez la volonté d'aider au développement de la solution est un très bon début. "Quelqu'un peut-il me donner un tuyau?", "Quel est le problème avec mon exemple?" et "Y a-t-il un site que j'aurais dû aller voir?" ont beaucoup plus de chances d'avoir une réponse que "Dites moi exactement ce que je dois faire, merci." parce que vous mettez en évidence le fait que vous voulez bien finir le travail si quelqu'un vous indique simplement la bonne direction. <|> " => suggestions :  »”
70 Guillemets typographiques ouvrants. [[210:211]] => Rendre clair le fait que vous êtes capable et avez la volonté d'aider au développement de la solution est un très bon début. "Quelqu'un peut-il me donner un tuyau?", "Quel est le problème avec mon exemple?" et "Y a-t-il un site que j'aurais dû aller voir?" ont beaucoup plus de chances d'avoir une réponse que "Dites moi exactement ce que je dois faire, merci." parce que vous mettez en évidence le fait que vous voulez bien finir le travail si quelqu'un vous indique simplement la bonne direction. <|> " => suggestions : « “
70 Guillemets typographiques fermants. [[255:256]] => Rendre clair le fait que vous êtes capable et avez la volonté d'aider au développement de la solution est un très bon début. "Quelqu'un peut-il me donner un tuyau?", "Quel est le problème avec mon exemple?" et "Y a-t-il un site que j'aurais dû aller voir?" ont beaucoup plus de chances d'avoir une réponse que "Dites moi exactement ce que je dois faire, merci." parce que vous mettez en évidence le fait que vous voulez bien finir le travail si quelqu'un vous indique simplement la bonne direction. <|> " => suggestions :  »”
70 Guillemets typographiques ouvrants. [[310:311]] => Rendre clair le fait que vous êtes capable et avez la volonté d'aider au développement de la solution est un très bon début. "Quelqu'un peut-il me donner un tuyau?", "Quel est le problème avec mon exemple?" et "Y a-t-il un site que j'aurais dû aller voir?" ont beaucoup plus de chances d'avoir une réponse que "Dites moi exactement ce que je dois faire, merci." parce que vous mettez en évidence le fait que vous voulez bien finir le travail si quelqu'un vous indique simplement la bonne direction. <|> " => suggestions : « “
70 S’il s’agit d’un impératif, mettez un trait d’union. [[311:320]] => Rendre clair le fait que vous êtes capable et avez la volonté d'aider au développement de la solution est un très bon début. "Quelqu'un peut-il me donner un tuyau?", "Quel est le problème avec mon exemple?" et "Y a-t-il un site que j'aurais dû aller voir?" ont beaucoup plus de chances d'avoir une réponse que "Dites moi exactement ce que je dois faire, merci." parce que vous mettez en évidence le fait que vous voulez bien finir le travail si quelqu'un vous indique simplement la bonne direction. <|> dites moi => suggestions : Dites-moi
70 Guillemets typographiques fermants. [[360:361]] => Rendre clair le fait que vous êtes capable et avez la volonté d'aider au développement de la solution est un très bon début. "Quelqu'un peut-il me donner un tuyau?", "Quel est le problème avec mon exemple?" et "Y a-t-il un site que j'aurais dû aller voir?" ont beaucoup plus de chances d'avoir une réponse que "Dites moi exactement ce que je dois faire, merci." parce que vous mettez en évidence le fait que vous voulez bien finir le travail si quelqu'un vous indique simplement la bonne direction. <|> " => suggestions :  »”

73 Typographie : points de suspension. Utilisez le caractère dédié. [[68:71]] => Ne demandez pas de réponses privées, et évitez les demandes inutiles... <|> ... => suggestions : …

88 Mot inconnu : topic [[38:43]] => === Choisissez bien le titre de votre topic === <|> topic

92 Mot inconnu : Ecrivez [[4:11]] => === Ecrivez dans un langage clair === <|> ecrivez

94 Mot inconnu : language [[7:15]] => Pas de language SMS (Ça saoule! Ça n’aide pas à vous faire comprendre et on vous répondra d’autant moins), faites attention aux fautes de  grammaire et d'orthographe... <|> language
94 Espace(s) surnuméraire(s) à supprimer. [[137:139]] => Pas de language SMS (Ça saoule! Ça n’aide pas à vous faire comprendre et on vous répondra d’autant moins), faites attention aux fautes de  grammaire et d'orthographe... <|>    => suggestions :  
94 Typographie : points de suspension. Utilisez le caractère dédié. [[165:168]] => Pas de language SMS (Ça saoule! Ça n’aide pas à vous faire comprendre et on vous répondra d’autant moins), faites attention aux fautes de  grammaire et d'orthographe... <|> ... => suggestions : …
96 Mot inconnu : préferons [[333:342]] => Nous savons par expérience que les gens qui ne font pas attention à la forme de leur écrit ne font en général pas non plus attention à ce qu'ils disent et pensent (du moins, nous l'avons vu assez souvent pour le croire). Répondre aux questions de ceux qui ne font pas attention à ce qu'ils disent n'est pas vraiment valorisant; nous préferons passer notre temps à faire autre chose. <|> préferons

99 Guillemets typographiques ouvrants. [[45:46]] => Orthographiez correctement. Ne confondez pas "ce" avec "se" ou "c'est" avec "s'est". Ne TAPEZ PAS TOUT EN MAJUSCULES, c'est lu comme si vous criiez et considéré comme impoli. Si vous écrivez comme un porc, vous serez probablement ignoré. Ecrire comme un l33t hax0r équivaut à tendre le bâton pour se faire battre et est la garantie que vous ne recevrez rien sauf le silence en retour (ou alors, au mieux, on se moquera de vous). <|> " => suggestions : « “
99 Guillemets typographiques fermants. [[48:49]] => Orthographiez correctement. Ne confondez pas "ce" avec "se" ou "c'est" avec "s'est". Ne TAPEZ PAS TOUT EN MAJUSCULES, c'est lu comme si vous criiez et considéré comme impoli. Si vous écrivez comme un porc, vous serez probablement ignoré. Ecrire comme un l33t hax0r équivaut à tendre le bâton pour se faire battre et est la garantie que vous ne recevrez rien sauf le silence en retour (ou alors, au mieux, on se moquera de vous). <|> " => suggestions :  »”
99 Guillemets typographiques ouvrants. [[55:56]] => Orthographiez correctement. Ne confondez pas "ce" avec "se" ou "c'est" avec "s'est". Ne TAPEZ PAS TOUT EN MAJUSCULES, c'est lu comme si vous criiez et considéré comme impoli. Si vous écrivez comme un porc, vous serez probablement ignoré. Ecrire comme un l33t hax0r équivaut à tendre le bâton pour se faire battre et est la garantie que vous ne recevrez rien sauf le silence en retour (ou alors, au mieux, on se moquera de vous). <|> " => suggestions : « “
99 Guillemets typographiques fermants. [[58:59]] => Orthographiez correctement. Ne confondez pas "ce" avec "se" ou "c'est" avec "s'est". Ne TAPEZ PAS TOUT EN MAJUSCULES, c'est lu comme si vous criiez et considéré comme impoli. Si vous écrivez comme un porc, vous serez probablement ignoré. Ecrire comme un l33t hax0r équivaut à tendre le bâton pour se faire battre et est la garantie que vous ne recevrez rien sauf le silence en retour (ou alors, au mieux, on se moquera de vous). <|> " => suggestions :  »”
99 Incohérence avec « se » : « ou » devrait être un verbe. [[60:62]] => Orthographiez correctement. Ne confondez pas "ce" avec "se" ou "c'est" avec "s'est". Ne TAPEZ PAS TOUT EN MAJUSCULES, c'est lu comme si vous criiez et considéré comme impoli. Si vous écrivez comme un porc, vous serez probablement ignoré. Ecrire comme un l33t hax0r équivaut à tendre le bâton pour se faire battre et est la garantie que vous ne recevrez rien sauf le silence en retour (ou alors, au mieux, on se moquera de vous). <|> ou => suggestions : houehoues
99 Guillemets typographiques ouvrants. [[63:64]] => Orthographiez correctement. Ne confondez pas "ce" avec "se" ou "c'est" avec "s'est". Ne TAPEZ PAS TOUT EN MAJUSCULES, c'est lu comme si vous criiez et considéré comme impoli. Si vous écrivez comme un porc, vous serez probablement ignoré. Ecrire comme un l33t hax0r équivaut à tendre le bâton pour se faire battre et est la garantie que vous ne recevrez rien sauf le silence en retour (ou alors, au mieux, on se moquera de vous). <|> " => suggestions : « “
99 Guillemets typographiques fermants. [[69:70]] => Orthographiez correctement. Ne confondez pas "ce" avec "se" ou "c'est" avec "s'est". Ne TAPEZ PAS TOUT EN MAJUSCULES, c'est lu comme si vous criiez et considéré comme impoli. Si vous écrivez comme un porc, vous serez probablement ignoré. Ecrire comme un l33t hax0r équivaut à tendre le bâton pour se faire battre et est la garantie que vous ne recevrez rien sauf le silence en retour (ou alors, au mieux, on se moquera de vous). <|> " => suggestions :  »”
99 Guillemets typographiques ouvrants. [[76:77]] => Orthographiez correctement. Ne confondez pas "ce" avec "se" ou "c'est" avec "s'est". Ne TAPEZ PAS TOUT EN MAJUSCULES, c'est lu comme si vous criiez et considéré comme impoli. Si vous écrivez comme un porc, vous serez probablement ignoré. Ecrire comme un l33t hax0r équivaut à tendre le bâton pour se faire battre et est la garantie que vous ne recevrez rien sauf le silence en retour (ou alors, au mieux, on se moquera de vous). <|> " => suggestions : « “
99 Guillemets typographiques fermants. [[82:83]] => Orthographiez correctement. Ne confondez pas "ce" avec "se" ou "c'est" avec "s'est". Ne TAPEZ PAS TOUT EN MAJUSCULES, c'est lu comme si vous criiez et considéré comme impoli. Si vous écrivez comme un porc, vous serez probablement ignoré. Ecrire comme un l33t hax0r équivaut à tendre le bâton pour se faire battre et est la garantie que vous ne recevrez rien sauf le silence en retour (ou alors, au mieux, on se moquera de vous). <|> " => suggestions :  »”
99 Mot inconnu : Ecrire [[238:244]] => Orthographiez correctement. Ne confondez pas "ce" avec "se" ou "c'est" avec "s'est". Ne TAPEZ PAS TOUT EN MAJUSCULES, c'est lu comme si vous criiez et considéré comme impoli. Si vous écrivez comme un porc, vous serez probablement ignoré. Ecrire comme un l33t hax0r équivaut à tendre le bâton pour se faire battre et est la garantie que vous ne recevrez rien sauf le silence en retour (ou alors, au mieux, on se moquera de vous). <|> ecrire
99 Mot inconnu : l33t [[254:258]] => Orthographiez correctement. Ne confondez pas "ce" avec "se" ou "c'est" avec "s'est". Ne TAPEZ PAS TOUT EN MAJUSCULES, c'est lu comme si vous criiez et considéré comme impoli. Si vous écrivez comme un porc, vous serez probablement ignoré. Ecrire comme un l33t hax0r équivaut à tendre le bâton pour se faire battre et est la garantie que vous ne recevrez rien sauf le silence en retour (ou alors, au mieux, on se moquera de vous). <|> l33t
99 Mot inconnu : hax0r [[259:264]] => Orthographiez correctement. Ne confondez pas "ce" avec "se" ou "c'est" avec "s'est". Ne TAPEZ PAS TOUT EN MAJUSCULES, c'est lu comme si vous criiez et considéré comme impoli. Si vous écrivez comme un porc, vous serez probablement ignoré. Ecrire comme un l33t hax0r équivaut à tendre le bâton pour se faire battre et est la garantie que vous ne recevrez rien sauf le silence en retour (ou alors, au mieux, on se moquera de vous). <|> hax0r
103 Mot inconnu : symptomes [[17:26]] =>   * Décrivez les symptomes du problème ou bug consciencieusement et clairement, dans l'ordre chronologique. (Les indices les plus utiles pour trouver ce qui ne va pas se situent souvent dans ce qui s'est produit juste avant. Donc, votre explication devrait décrire précisément ce que vous avez fait, et ce que la machine a fait, pour arriver à la panne).  <|> symptomes
103 Espace(s) en fin de ligne à supprimer. [[354:355]] =>   * Décrivez les symptomes du problème ou bug consciencieusement et clairement, dans l'ordre chronologique. (Les indices les plus utiles pour trouver ce qui ne va pas se situent souvent dans ce qui s'est produit juste avant. Donc, votre explication devrait décrire précisément ce que vous avez fait, et ce que la machine a fait, pour arriver à la panne).  <|>  
104 Espace(s) en fin de ligne à supprimer. [[94:95]] =>   * Décrivez l'environnement sur lequel le problème apparaît (machine, OS, application, etc.).  <|>  
105 Il manque un trait d’union si “même” se rapporte à “vous”. [[90:99]] =>   * Décrivez les recherches que vous avez effectuées pour essayer de résoudre le problème vous même avant de poser votre question.  <|> vous même => suggestions : vous-même
105 Espace(s) en fin de ligne à supprimer. [[130:131]] =>   * Décrivez les recherches que vous avez effectuées pour essayer de résoudre le problème vous même avant de poser votre question.  <|>  
106 Espace(s) en fin de ligne à supprimer. [[116:117]] =>   * Décrivez tout changement récent dans votre ordinateur ou configuration logicielle qui pourrait être intéressant.  <|>  

109 Espace(s) en fin de ligne à supprimer. [[43:44]] => Ceci est utile pour au moins trois raisons.  <|>  
111 Espace(s) en fin de ligne à supprimer. [[112:113]] =>   * Un: voir que vous faites un effort pour simplifier la question augmentera vos chances d'obtenir une réponse.  <|>  
112 Espace(s) en fin de ligne à supprimer. [[84:85]] =>   * Deux: simplifier la question augmentera vos chances d'obtenir une réponse utile.  <|>  
113 Il manque un trait d’union si “même” se rapporte à “vous”. [[85:94]] =>   * Trois: en simplifiant le problème, vous pourriez très bien finir par le résoudre vous même. <|> vous même => suggestions : vous-même

121 Guillemets typographiques ouvrants. [[25:26]] => Soyez courtois. Utilisez "S'il vous plait" et "Merci d'avance". Mettez en évidence le fait que vous appréciez le temps que les autres ont passé à vous aider gratuitement. <|> " => suggestions : « “
