1 Mot inconnu : mp3report => ====== GUI pour mp3report ====== | mp3report
55 Guillemets typographiques fermants. =>     * Si l'utilisateur clique sur "annuler", le script s'arrête. | " => suggestions : ['\xa0»', '”']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

60 Mot inconnu : mp3report => Ce script a pour but de donner une interface graphique à mp3report. Il est composé de plusieurs fichiers : | mp3report

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      * GUImp3report.bash : script principal |       => suggestions : ['']
61 Mot inconnu : GUImp3report =>      * GUImp3report.bash : script principal | guimp3report
61 Mot inconnu : bash =>      * GUImp3report.bash : script principal | bash

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      * controldependencies.bash : contrôle de la présence de zenity et mp3report |       => suggestions : ['']
62 Mot inconnu : controldependencies =>      * controldependencies.bash : contrôle de la présence de zenity et mp3report | controldependencies
62 Mot inconnu : bash =>      * controldependencies.bash : contrôle de la présence de zenity et mp3report | bash
62 Mot inconnu : zenity =>      * controldependencies.bash : contrôle de la présence de zenity et mp3report | zenity
62 Mot inconnu : mp3report =>      * controldependencies.bash : contrôle de la présence de zenity et mp3report | mp3report

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      * init.bash : initialisation des variables |       => suggestions : ['']
63 Mot inconnu : init =>      * init.bash : initialisation des variables | init
63 Mot inconnu : bash =>      * init.bash : initialisation des variables | bash

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      * chooseoptions.bash : boite de choix des options (cases à cocher) |       => suggestions : ['']
64 Mot inconnu : chooseoptions =>      * chooseoptions.bash : boite de choix des options (cases à cocher) | chooseoptions
64 Mot inconnu : bash =>      * chooseoptions.bash : boite de choix des options (cases à cocher) | bash

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      * chooseparameters.bash : choix des paramètres pour les options cochées qui en demandent |       => suggestions : ['']
65 Mot inconnu : chooseparameters =>      * chooseparameters.bash : choix des paramètres pour les options cochées qui en demandent | chooseparameters
65 Mot inconnu : bash =>      * chooseparameters.bash : choix des paramètres pour les options cochées qui en demandent | bash

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      * choosedirectories.bash : choix des répertoires à scanner |       => suggestions : ['']
66 Mot inconnu : choosedirectories =>      * choosedirectories.bash : choix des répertoires à scanner | choosedirectories
66 Mot inconnu : bash =>      * choosedirectories.bash : choix des répertoires à scanner | bash

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      * buildcommandline.bash : construction de la commande à exécuter |       => suggestions : ['']
67 Mot inconnu : buildcommandline =>      * buildcommandline.bash : construction de la commande à exécuter | buildcommandline
67 Mot inconnu : bash =>      * buildcommandline.bash : construction de la commande à exécuter | bash

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      * executecommand.bash : confirmation de l'exactitude de la commande par l'utilisateur et exécution |       => suggestions : ['']
68 Mot inconnu : executecommand =>      * executecommand.bash : confirmation de l'exactitude de la commande par l'utilisateur et exécution | executecommand
68 Mot inconnu : bash =>      * executecommand.bash : confirmation de l'exactitude de la commande par l'utilisateur et exécution | bash

70 Mot inconnu : GUImp3report => ==== GUImp3report.bash ==== | guimp3report
70 Mot inconnu : bash => ==== GUImp3report.bash ==== | bash

106 Mot inconnu : controldependencies => ==== controldependencies.bash ==== | controldependencies
106 Mot inconnu : bash => ==== controldependencies.bash ==== | bash

146 Mot inconnu : init => ==== init.bash ==== | init
146 Mot inconnu : bash => ==== init.bash ==== | bash

205 Mot inconnu : chooseoptions => ==== chooseoptions.bash ==== | chooseoptions
205 Mot inconnu : bash => ==== chooseoptions.bash ==== | bash

249 Mot inconnu : chooseparameters => ==== chooseparameters.bash ==== | chooseparameters
249 Mot inconnu : bash => ==== chooseparameters.bash ==== | bash

335 Mot inconnu : choosedirectories => ==== choosedirectories.bash ==== | choosedirectories
335 Mot inconnu : bash => ==== choosedirectories.bash ==== | bash

364 Mot inconnu : buildcommandline => ==== buildcommandline.bash ==== | buildcommandline
364 Mot inconnu : bash => ==== buildcommandline.bash ==== | bash

419 Mot inconnu : executecommand => ==== executecommand.bash ==== | executecommand
419 Mot inconnu : bash => ==== executecommand.bash ==== | bash
