
3 Mot inconnu : SSH => ====== SSH ====== | ssh
20 Mot inconnu : SSH =>   * Et d'autres, via le tunneling: SSH permet d'accéder à un service réseau en le faisant circuler dans SSH pour profiter de toutes les protections qu'il apporte. Vous pouvez donc sécuriser n'importe quel protocole grâce à SSH, comme VNC par exemple. | ssh
20 Mot inconnu : SSH =>   * Et d'autres, via le tunneling: SSH permet d'accéder à un service réseau en le faisant circuler dans SSH pour profiter de toutes les protections qu'il apporte. Vous pouvez donc sécuriser n'importe quel protocole grâce à SSH, comme VNC par exemple. | ssh
20 Mot inconnu : SSH =>   * Et d'autres, via le tunneling: SSH permet d'accéder à un service réseau en le faisant circuler dans SSH pour profiter de toutes les protections qu'il apporte. Vous pouvez donc sécuriser n'importe quel protocole grâce à SSH, comme VNC par exemple. | ssh
20 Mot inconnu : VNC =>   * Et d'autres, via le tunneling: SSH permet d'accéder à un service réseau en le faisant circuler dans SSH pour profiter de toutes les protections qu'il apporte. Vous pouvez donc sécuriser n'importe quel protocole grâce à SSH, comme VNC par exemple. | vnc

22 Mot inconnu : SSH => SSH permet de faire, en usage de base : | ssh

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Accès à distance sur la console en ligne commande (shell), ce qui permet, entre autres, d'effectuer la totalité des opérations courantes et/ou d'administration sur la machine distante. |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Déporter l'affichage graphique de la machine distante. |    => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Transferts de fichiers en ligne de commande. |    => suggestions : ['']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Montage automatique de répertoires distants. |    => suggestions : ['']

30 Mot inconnu : openssh-server => Si vous voulez accéder à un ordinateur (votre ordinateur personnel, votre serveur local, un serveur distant dont vous effectuez l'administration, etc.) vous devez installer **openssh-server** sur la machine à joindre en SSH, qui sera le "serveur".  | openssh-server
30 Mot inconnu : SSH => Si vous voulez accéder à un ordinateur (votre ordinateur personnel, votre serveur local, un serveur distant dont vous effectuez l'administration, etc.) vous devez installer **openssh-server** sur la machine à joindre en SSH, qui sera le "serveur".  | ssh
30 Guillemets typographiques ouvrants. => Si vous voulez accéder à un ordinateur (votre ordinateur personnel, votre serveur local, un serveur distant dont vous effectuez l'administration, etc.) vous devez installer **openssh-server** sur la machine à joindre en SSH, qui sera le "serveur".  | " => suggestions : ['«\xa0', '“']
30 Guillemets typographiques fermants. => Si vous voulez accéder à un ordinateur (votre ordinateur personnel, votre serveur local, un serveur distant dont vous effectuez l'administration, etc.) vous devez installer **openssh-server** sur la machine à joindre en SSH, qui sera le "serveur".  | " => suggestions : ['\xa0»', '”']
30 Espace(s) en fin de ligne à supprimer. => Si vous voulez accéder à un ordinateur (votre ordinateur personnel, votre serveur local, un serveur distant dont vous effectuez l'administration, etc.) vous devez installer **openssh-server** sur la machine à joindre en SSH, qui sera le "serveur".  |   => suggestions : ['']

31 Guillemets typographiques ouvrants. => Il vous faudra installer sur la machine qui commande, le "client", **openssh-client**. | " => suggestions : ['«\xa0', '“']
31 Guillemets typographiques fermants. => Il vous faudra installer sur la machine qui commande, le "client", **openssh-client**. | " => suggestions : ['\xa0»', '”']
31 Mot inconnu : openssh-client => Il vous faudra installer sur la machine qui commande, le "client", **openssh-client**. | openssh-client

33 Mot inconnu : SSH => ==== Installation du serveur SSH ==== | ssh

37 Mot inconnu : SSH => === Utilisation du serveur SSH === | ssh

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * L'[[#activer]] ou l'[[#arrêter]] : par exemple si vous souhaitez désactiver momentanément le serveur SSH |    => suggestions : ['']
40 Mot inconnu : SSH =>   * L'[[#activer]] ou l'[[#arrêter]] : par exemple si vous souhaitez désactiver momentanément le serveur SSH | ssh

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le [[#relancer]] : par exemple si vous faites une modifications de configuration |    => suggestions : ['']
41 Accord de nombre erroné : « modifications » devrait être au singulier. =>   * Le [[#relancer]] : par exemple si vous faites une modifications de configuration | modifications => suggestions : ['modification']

43 Mot inconnu : SSH => Vous trouverez en fin de cette page plus d'information sur la [[#Configuration du serveur SSH]] suffisante par défaut. | ssh

53 Mot inconnu : SSH => Pour relancer le serveur SSH. | ssh

56 Mot inconnu : SSH => ==== Installation du client SSH ==== | ssh

63 Mot inconnu : sgtatham => Si vous devez prendre le contrôle depuis un poste équipé de Windows vous pouvez installer [[http://www.chiark.greenend.org.uk/~sgtatham/putty/|PuTTY]] qui est disponible sous licence MIT (une licence libre comparable à la licence BSD). | sgtatham
63 Mot inconnu : putty => Si vous devez prendre le contrôle depuis un poste équipé de Windows vous pouvez installer [[http://www.chiark.greenend.org.uk/~sgtatham/putty/|PuTTY]] qui est disponible sous licence MIT (une licence libre comparable à la licence BSD). | putty

65 Mot inconnu : ssh => Si vous voulez établir une connexion ssh depuis un smartphone Blackberry(r), vous pouvez installer [[http://bbssh.org/|bbssh]], qui est sous licence libre GPLv2, les sources sont fournies. | ssh
65 Mot inconnu : Blackberry => Si vous voulez établir une connexion ssh depuis un smartphone Blackberry(r), vous pouvez installer [[http://bbssh.org/|bbssh]], qui est sous licence libre GPLv2, les sources sont fournies. | blackberry
65 Mot inconnu : GPLv2 => Si vous voulez établir une connexion ssh depuis un smartphone Blackberry(r), vous pouvez installer [[http://bbssh.org/|bbssh]], qui est sous licence libre GPLv2, les sources sont fournies. | gplv2

68 Mot inconnu : UFW => Si UFW est actif,  vous avez intérêt à vérifier s'il laisse passer le port standard du protocole SSH, le 22. Si ce n'est pas le cas, vous ne pourrez pas utiliser SSH sur cette machine.\\ | ufw
68 Espace(s) surnuméraire(s) à supprimer. => Si UFW est actif,  vous avez intérêt à vérifier s'il laisse passer le port standard du protocole SSH, le 22. Si ce n'est pas le cas, vous ne pourrez pas utiliser SSH sur cette machine.\\ |    => suggestions : [' ']
68 Mot inconnu : SSH => Si UFW est actif,  vous avez intérêt à vérifier s'il laisse passer le port standard du protocole SSH, le 22. Si ce n'est pas le cas, vous ne pourrez pas utiliser SSH sur cette machine.\\ | ssh
68 Mot inconnu : SSH => Si UFW est actif,  vous avez intérêt à vérifier s'il laisse passer le port standard du protocole SSH, le 22. Si ce n'est pas le cas, vous ne pourrez pas utiliser SSH sur cette machine.\\ | ssh

72 Mot inconnu : SSH => ===== Utilisations de SSH===== | ssh

74 Mot inconnu : ssh => ==== Accès à distance à la console en ligne de commande (shell ssh) ==== | ssh

76 Mot inconnu : SSH => Pour ouvrir une session sur un ordinateur distant ayant un serveur SSH, vous devez écrire quelque chose comme ceci : | ssh

78 Mot inconnu : __Exemple => __Exemple :__ | __exemple
78 Mot inconnu : __ => __Exemple :__ | __

80 Mot inconnu : xxx => L'option **-p xxx** qui précise le port utilisé par le serveur est facultative. Si rien n'est précisé, c'est le port 22 qui sera utilisé par défaut. | xxx

82 Mot inconnu : ssh => Pour se connecter avec ssh en ipv6 depuis un terminal, écrire sans crochet : | ssh
82 Mot inconnu : ipv6 => Pour se connecter avec ssh en ipv6 depuis un terminal, écrire sans crochet : | ipv6

84 Mot inconnu : __Exemple__ => __Exemple__: | __exemple__

96 Mot inconnu : SSH => ==== Outils graphique pour les connexions SSH ==== | ssh

98 Mot inconnu : SSH => Il existe sous Ubuntu un outil qui permet de gérer facilement les connexions SSH avec une interface graphique GSTM. | ssh
98 Mot inconnu : GSTM => Il existe sous Ubuntu un outil qui permet de gérer facilement les connexions SSH avec une interface graphique GSTM. | gstm

100 Mot inconnu : Tunneling => ==== Affichage graphique déporté (Tunneling serveurX par ssh) - Accéder aux applications graphiques ====  | tunneling
100 Mot inconnu : serveurX => ==== Affichage graphique déporté (Tunneling serveurX par ssh) - Accéder aux applications graphiques ====  | serveurx
100 Mot inconnu : ssh => ==== Affichage graphique déporté (Tunneling serveurX par ssh) - Accéder aux applications graphiques ====  | ssh
100 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ==== Affichage graphique déporté (Tunneling serveurX par ssh) - Accéder aux applications graphiques ====  |  -  => suggestions : [' – ', ' — ', ' − ']
100 Espace(s) en fin de ligne à supprimer. => ==== Affichage graphique déporté (Tunneling serveurX par ssh) - Accéder aux applications graphiques ====  |   => suggestions : ['']

102 Mot inconnu : ssh => La commande ssh offre un joker inattendu : on peut exécuter des applications X-Windows à distance. Cela est bien pratique pour travailler loin de chez soi, partager une machine ou simplement faire de l'entretien. | ssh

105 Mot inconnu : X-Window => L'option **-X** permet la déportation de l'application X-Window (affichage graphique à distance). Ceci est possible grâce aux fonctions de tunneling réseau dont dispose SSH. N'oubliez pas que Ubuntu (et Unix en général) travaille en mode client/serveur et cela s'applique aussi à l'affichage géré par X-Window. | x-window
105 Mot inconnu : tunneling => L'option **-X** permet la déportation de l'application X-Window (affichage graphique à distance). Ceci est possible grâce aux fonctions de tunneling réseau dont dispose SSH. N'oubliez pas que Ubuntu (et Unix en général) travaille en mode client/serveur et cela s'applique aussi à l'affichage géré par X-Window. | tunneling
105 Mot inconnu : SSH => L'option **-X** permet la déportation de l'application X-Window (affichage graphique à distance). Ceci est possible grâce aux fonctions de tunneling réseau dont dispose SSH. N'oubliez pas que Ubuntu (et Unix en général) travaille en mode client/serveur et cela s'applique aussi à l'affichage géré par X-Window. | ssh
105 Mot inconnu : X-Window => L'option **-X** permet la déportation de l'application X-Window (affichage graphique à distance). Ceci est possible grâce aux fonctions de tunneling réseau dont dispose SSH. N'oubliez pas que Ubuntu (et Unix en général) travaille en mode client/serveur et cela s'applique aussi à l'affichage géré par X-Window. | x-window

108 Mot inconnu : X-Window => Attention, l'utilisation de l'option **-x** (minuscule) bloque le canal X-Window, donc plus d'affichage graphique possible.\\  | x-window
108 Espace(s) en fin de ligne à supprimer. => Attention, l'utilisation de l'option **-x** (minuscule) bloque le canal X-Window, donc plus d'affichage graphique possible.\\  |   => suggestions : ['']

112 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ==== Transfert - copie de fichiers ==== |  -  => suggestions : [' – ', ' — ', ' − ']

114 Mot inconnu : SSH => Pour copier un fichier à partir d'un ordinateur sur un autre avec SSH, vous devrez utiliser la commande **scp**. Cela ressemblera à ceci : | ssh
114 Mot inconnu : scp => Pour copier un fichier à partir d'un ordinateur sur un autre avec SSH, vous devrez utiliser la commande **scp**. Cela ressemblera à ceci : | scp

116 Mot inconnu : IPv6 => et en IPv6 | ipv6

120 Mot inconnu : __Pour => //__Pour un fichier:__// | __pour
120 Il manque un espace. => //__Pour un fichier:__// | __ => suggestions : [' __']
120 Mot inconnu : __ => //__Pour un fichier:__// | __

123 Mot inconnu : IPv6 => et en IPv6 | ipv6

126 Mot inconnu : __Pour => //__Pour un répertoire:__// | __pour
126 Il manque un espace. => //__Pour un répertoire:__// | __ => suggestions : [' __']
126 Mot inconnu : __ => //__Pour un répertoire:__// | __

129 Mot inconnu : IPv6 => et en IPv6 | ipv6
136 Mot inconnu : txt => Vous pouvez aussi le renommer en le copiant (« mon.txt ») sur le disque local (toujours dans le répertoire courant): | txt

142 Mot inconnu : SSH => Dans le cas où le port SSH du serveur ne serait pas le port par défaut (22), il faut indiquer le port distant à utiliser : | ssh

145 Mot inconnu : sftp => ==== Monter un répertoire distant, navigation via sftp (secure file transfer protocol) ==== | sftp
145 Mot inconnu : secure => ==== Monter un répertoire distant, navigation via sftp (secure file transfer protocol) ==== | secure
145 Mot inconnu : transfer => ==== Monter un répertoire distant, navigation via sftp (secure file transfer protocol) ==== | transfer
145 Mot inconnu : protocol => ==== Monter un répertoire distant, navigation via sftp (secure file transfer protocol) ==== | protocol

158 Mot inconnu : Nautilus => === Nautilus === | nautilus

161 Mot inconnu : Nautilus => Ouvrez Nautilus, puis dans la fenêtre emplacement (Ctrl + L), entrez l'URL suivante en remplaçant ''nom_utilisateur'', ''hostname'' et ''port'' en conséquence : | nautilus
161 Guillemets typographiques ouvrants. => Ouvrez Nautilus, puis dans la fenêtre emplacement (Ctrl + L), entrez l'URL suivante en remplaçant ''nom_utilisateur'', ''hostname'' et ''port'' en conséquence : | '' => suggestions : ['«\xa0', '“']
161 Mot inconnu : nom_utilisateur => Ouvrez Nautilus, puis dans la fenêtre emplacement (Ctrl + L), entrez l'URL suivante en remplaçant ''nom_utilisateur'', ''hostname'' et ''port'' en conséquence : | nom_utilisateur
161 Guillemets typographiques fermants. => Ouvrez Nautilus, puis dans la fenêtre emplacement (Ctrl + L), entrez l'URL suivante en remplaçant ''nom_utilisateur'', ''hostname'' et ''port'' en conséquence : | '' => suggestions : ['\xa0»', '”']
161 Guillemets typographiques ouvrants. => Ouvrez Nautilus, puis dans la fenêtre emplacement (Ctrl + L), entrez l'URL suivante en remplaçant ''nom_utilisateur'', ''hostname'' et ''port'' en conséquence : | '' => suggestions : ['«\xa0', '“']
161 Mot inconnu : hostname => Ouvrez Nautilus, puis dans la fenêtre emplacement (Ctrl + L), entrez l'URL suivante en remplaçant ''nom_utilisateur'', ''hostname'' et ''port'' en conséquence : | hostname
161 Guillemets typographiques fermants. => Ouvrez Nautilus, puis dans la fenêtre emplacement (Ctrl + L), entrez l'URL suivante en remplaçant ''nom_utilisateur'', ''hostname'' et ''port'' en conséquence : | '' => suggestions : ['\xa0»', '”']
161 Guillemets typographiques ouvrants. => Ouvrez Nautilus, puis dans la fenêtre emplacement (Ctrl + L), entrez l'URL suivante en remplaçant ''nom_utilisateur'', ''hostname'' et ''port'' en conséquence : | '' => suggestions : ['«\xa0', '“']
161 Guillemets typographiques fermants. => Ouvrez Nautilus, puis dans la fenêtre emplacement (Ctrl + L), entrez l'URL suivante en remplaçant ''nom_utilisateur'', ''hostname'' et ''port'' en conséquence : | '' => suggestions : ['\xa0»', '”']

164 Mot inconnu : Nautilus => La copie de fichier se fait avec le glisser-déposer dans la fenêtre de Nautilus comme sur votre système de fichiers local. | nautilus

169 Mot inconnu : Nautilus => Il est également possible d'y avoir accès dans Nautilus par  le menu //Fichier -> Se connecter à un serveur...// et choisir le ''Type de service'' « ssh ». | nautilus
169 Espace(s) surnuméraire(s) à supprimer. => Il est également possible d'y avoir accès dans Nautilus par  le menu //Fichier -> Se connecter à un serveur...// et choisir le ''Type de service'' « ssh ». |    => suggestions : [' ']
169 Typographie : points de suspension. Utilisez le caractère dédié. => Il est également possible d'y avoir accès dans Nautilus par  le menu //Fichier -> Se connecter à un serveur...// et choisir le ''Type de service'' « ssh ». | ... => suggestions : ['…']
169 Guillemets typographiques ouvrants. => Il est également possible d'y avoir accès dans Nautilus par  le menu //Fichier -> Se connecter à un serveur...// et choisir le ''Type de service'' « ssh ». | '' => suggestions : ['«\xa0', '“']
169 Guillemets typographiques fermants. => Il est également possible d'y avoir accès dans Nautilus par  le menu //Fichier -> Se connecter à un serveur...// et choisir le ''Type de service'' « ssh ». | '' => suggestions : ['\xa0»', '”']
169 Mot inconnu : ssh => Il est également possible d'y avoir accès dans Nautilus par  le menu //Fichier -> Se connecter à un serveur...// et choisir le ''Type de service'' « ssh ». | ssh

171 Mot inconnu : Konqueror => === Konqueror === | konqueror
173 Guillemets typographiques ouvrants. => Le principe est similaire à celui utilisé par [[#Nautilus]], à l'exception du nom de protocole : ''fish''.\\ | '' => suggestions : ['«\xa0', '“']
173 Mot inconnu : fish => Le principe est similaire à celui utilisé par [[#Nautilus]], à l'exception du nom de protocole : ''fish''.\\ | fish
173 Guillemets typographiques fermants. => Le principe est similaire à celui utilisé par [[#Nautilus]], à l'exception du nom de protocole : ''fish''.\\ | '' => suggestions : ['\xa0»', '”']

180 Mot inconnu : Dolphin => === Dolphin  === | dolphin
180 Espace(s) surnuméraire(s) à supprimer. => === Dolphin  === |    => suggestions : [' ']

183 Guillemets typographiques ouvrants. => Cliquez sur le raccourci ''Réseau'', puis ''Ajoutez un dossier réseau''. Remplissez ensuite les champs demandés. Pensez à mettre la racine (dossier **/**) comme dossier d'accès pour pouvoir rentrer sur l'intégralité de l'ordinateur distant. | '' => suggestions : ['«\xa0', '“']
183 Guillemets typographiques fermants. => Cliquez sur le raccourci ''Réseau'', puis ''Ajoutez un dossier réseau''. Remplissez ensuite les champs demandés. Pensez à mettre la racine (dossier **/**) comme dossier d'accès pour pouvoir rentrer sur l'intégralité de l'ordinateur distant. | '' => suggestions : ['\xa0»', '”']
183 Guillemets typographiques ouvrants. => Cliquez sur le raccourci ''Réseau'', puis ''Ajoutez un dossier réseau''. Remplissez ensuite les champs demandés. Pensez à mettre la racine (dossier **/**) comme dossier d'accès pour pouvoir rentrer sur l'intégralité de l'ordinateur distant. | '' => suggestions : ['«\xa0', '“']
183 Guillemets typographiques fermants. => Cliquez sur le raccourci ''Réseau'', puis ''Ajoutez un dossier réseau''. Remplissez ensuite les champs demandés. Pensez à mettre la racine (dossier **/**) comme dossier d'accès pour pouvoir rentrer sur l'intégralité de l'ordinateur distant. | '' => suggestions : ['\xa0»', '”']

188 Mot inconnu : WinSCP => === WinSCP === | winscp

190 Guillemets typographiques ouvrants. => Parce qu'il est parfois nécessaire de faire un transfert de fichier à partir d'une machine sous MS Windows, il existe un logiciel libre nommé ''WinSCP'' qui permet de faire du SFTP avec une interface semblable à celle des clients FTP. | '' => suggestions : ['«\xa0', '“']
190 Mot inconnu : WinSCP => Parce qu'il est parfois nécessaire de faire un transfert de fichier à partir d'une machine sous MS Windows, il existe un logiciel libre nommé ''WinSCP'' qui permet de faire du SFTP avec une interface semblable à celle des clients FTP. | winscp
190 Guillemets typographiques fermants. => Parce qu'il est parfois nécessaire de faire un transfert de fichier à partir d'une machine sous MS Windows, il existe un logiciel libre nommé ''WinSCP'' qui permet de faire du SFTP avec une interface semblable à celle des clients FTP. | '' => suggestions : ['\xa0»', '”']
190 Mot inconnu : SFTP => Parce qu'il est parfois nécessaire de faire un transfert de fichier à partir d'une machine sous MS Windows, il existe un logiciel libre nommé ''WinSCP'' qui permet de faire du SFTP avec une interface semblable à celle des clients FTP. | sftp

192 Mot inconnu : WinSCP => [[http://winscp.net/eng/docs/lang:fr|Site officiel du logiciel WinSCP]] | winscp

194 Mot inconnu : FileZilla => === FileZilla === | filezilla

198 Mot inconnu : réperoire => ==== Monter un réperoire distant de manière automatique (SFTP grâce à SSHFS) ==== | réperoire
198 Mot inconnu : SFTP => ==== Monter un réperoire distant de manière automatique (SFTP grâce à SSHFS) ==== | sftp
198 Mot inconnu : SSHFS => ==== Monter un réperoire distant de manière automatique (SFTP grâce à SSHFS) ==== | sshfs

203 Espace(s) surnuméraire(s) à supprimer. => ===== Authentification  ===== |    => suggestions : [' ']

209 Mot inconnu : openssh-server => Suite à l'installation du paquet **openssh-server** il peut parfois être nécessaire de modifier le fichier de configuration **/etc/ssh/sshd_config** notamment si vous rencontrez le problème suivant : | openssh-server

215 Mot inconnu : to => # Change to yes to enable tunnelled clear text passwords | to
215 Mot inconnu : yes => # Change to yes to enable tunnelled clear text passwords | yes
215 Mot inconnu : to => # Change to yes to enable tunnelled clear text passwords | to
215 Mot inconnu : enable => # Change to yes to enable tunnelled clear text passwords | enable
215 Mot inconnu : tunnelled => # Change to yes to enable tunnelled clear text passwords | tunnelled
215 Mot inconnu : clear => # Change to yes to enable tunnelled clear text passwords | clear
215 Mot inconnu : text => # Change to yes to enable tunnelled clear text passwords | text
215 Mot inconnu : passwords => # Change to yes to enable tunnelled clear text passwords | passwords

216 Mot inconnu : PasswordAuthentication => PasswordAuthentication **yes** | passwordauthentication
216 Mot inconnu : yes => PasswordAuthentication **yes** | yes

221 Mot inconnu : SSH => <note important>Si vous ouvrez votre serveur SSH sur Internet, par exemple pour y accéder depuis l'ordinateur d'un ami(e) ou lui permettre d'accéder à certains de vos fichiers, n'oubliez JAMAIS qu'Internet est parcouru en permanence par des robots qui scannent et testent en permanence tous les serveurs (SSH et autres) et qu'ils vont faire des tentatives pour trouver vos mots de passe de compte. L'usage des clés est donc fortement recommandé.\\ | ssh
221 Écriture épicène. Utilisez un point médian. => <note important>Si vous ouvrez votre serveur SSH sur Internet, par exemple pour y accéder depuis l'ordinateur d'un ami(e) ou lui permettre d'accéder à certains de vos fichiers, n'oubliez JAMAIS qu'Internet est parcouru en permanence par des robots qui scannent et testent en permanence tous les serveurs (SSH et autres) et qu'ils vont faire des tentatives pour trouver vos mots de passe de compte. L'usage des clés est donc fortement recommandé.\\ | ami(e) => suggestions : ['ami·e']
221 Mot inconnu : SSH => <note important>Si vous ouvrez votre serveur SSH sur Internet, par exemple pour y accéder depuis l'ordinateur d'un ami(e) ou lui permettre d'accéder à certains de vos fichiers, n'oubliez JAMAIS qu'Internet est parcouru en permanence par des robots qui scannent et testent en permanence tous les serveurs (SSH et autres) et qu'ils vont faire des tentatives pour trouver vos mots de passe de compte. L'usage des clés est donc fortement recommandé.\\ | ssh

226 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Autrefois tout le monde employait l'authentification typique par le principe //identifiant - mot de passe//. Cependant si quelqu'un connaît votre mot de passe, la sécurité est compromise.\\ |  -  => suggestions : [' – ', ' — ', ' − ']

227 Mot inconnu : SSH => Pour être débarrassé du problème, SSH offre l'**Authentification par clé publique/privée** au lieu des mots de passe « simples ». De cette manière, il faut être en possession de non plus d'une mais de deux informations pour se connecter (avoir la clé privée et connaître le mot de passe de cette clé). | ssh

230 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * à un administrateur de se connecter à des centaines de machines sans devoir connaître des centaines de mots de passe différents ; |    => suggestions : ['']

231 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * de ne pas avoir un mot de passe à saisir toutes les 2 minutes (en utilisant //ssh-agent//). |    => suggestions : ['']
231 Mot inconnu : ssh-agent =>   * de ne pas avoir un mot de passe à saisir toutes les 2 minutes (en utilisant //ssh-agent//). | ssh-agent
237 Mot inconnu : ssh => Il vous sera alors demandé où sauver la clé privée (acceptez juste l'endroit par défaut : **~/.ssh**, et ne changez pas le nom du fichier généré) puis de choisir une //passphrase// (phrase de reconnaissance). | ssh
237 Mot inconnu : passphrase => Il vous sera alors demandé où sauver la clé privée (acceptez juste l'endroit par défaut : **~/.ssh**, et ne changez pas le nom du fichier généré) puis de choisir une //passphrase// (phrase de reconnaissance). | passphrase

238 Mot inconnu : passphrase => <note warning>Bien que non obligatoire, l'utilisation d'une //passphrase// est recommandée pour protéger votre clé privée. En effet toute personne qui obtiendrait l'accès à votre clé privée (non protégée) aurait alors vos permissions sur d'autres ordinateurs. Veuillez prendre un instant et choisissez une très bonne //passphrase// c'est à dire longue et complexe.</note> | passphrase
