
6 Mot inconnu : LAMP => ====== Serveur LAMP - Créer un/des répertoires de travail ====== <|> lamp
13 Mot inconnu : root => **/var/www** est un répertoire sous droits root. Il est donc contre indiqué de travailler dans ce répertoire. <|> root

14 Mot inconnu : html => <note important>le fichier index.html "It works!" installé par défaut (apache2 version 2.4.7) stipule: "Le répertoire root par défaut sous Ubuntu est /var/www/html. Vous pouvez définir votre propre "virtual hosts" dans /var/www. C'est différent des précédentes versions qui préconisaient de se placer en dehors de ce répertoire pour des raisons de sécurité." </note> <|> html
14 Guillemets typographiques ouvrants. => <note important>le fichier index.html "It works!" installé par défaut (apache2 version 2.4.7) stipule: "Le répertoire root par défaut sous Ubuntu est /var/www/html. Vous pouvez définir votre propre "virtual hosts" dans /var/www. C'est différent des précédentes versions qui préconisaient de se placer en dehors de ce répertoire pour des raisons de sécurité." </note> <|> " => suggestions : ['«\xa0', '“']
14 Mot inconnu : It => <note important>le fichier index.html "It works!" installé par défaut (apache2 version 2.4.7) stipule: "Le répertoire root par défaut sous Ubuntu est /var/www/html. Vous pouvez définir votre propre "virtual hosts" dans /var/www. C'est différent des précédentes versions qui préconisaient de se placer en dehors de ce répertoire pour des raisons de sécurité." </note> <|> it
14 Mot inconnu : works => <note important>le fichier index.html "It works!" installé par défaut (apache2 version 2.4.7) stipule: "Le répertoire root par défaut sous Ubuntu est /var/www/html. Vous pouvez définir votre propre "virtual hosts" dans /var/www. C'est différent des précédentes versions qui préconisaient de se placer en dehors de ce répertoire pour des raisons de sécurité." </note> <|> works
14 Guillemets typographiques fermants. => <note important>le fichier index.html "It works!" installé par défaut (apache2 version 2.4.7) stipule: "Le répertoire root par défaut sous Ubuntu est /var/www/html. Vous pouvez définir votre propre "virtual hosts" dans /var/www. C'est différent des précédentes versions qui préconisaient de se placer en dehors de ce répertoire pour des raisons de sécurité." </note> <|> " => suggestions : ['\xa0»', '”']
14 Mot inconnu : apache2 => <note important>le fichier index.html "It works!" installé par défaut (apache2 version 2.4.7) stipule: "Le répertoire root par défaut sous Ubuntu est /var/www/html. Vous pouvez définir votre propre "virtual hosts" dans /var/www. C'est différent des précédentes versions qui préconisaient de se placer en dehors de ce répertoire pour des raisons de sécurité." </note> <|> apache2
14 Guillemets typographiques ouvrants. => <note important>le fichier index.html "It works!" installé par défaut (apache2 version 2.4.7) stipule: "Le répertoire root par défaut sous Ubuntu est /var/www/html. Vous pouvez définir votre propre "virtual hosts" dans /var/www. C'est différent des précédentes versions qui préconisaient de se placer en dehors de ce répertoire pour des raisons de sécurité." </note> <|> " => suggestions : ['«\xa0', '“']
14 Mot inconnu : root => <note important>le fichier index.html "It works!" installé par défaut (apache2 version 2.4.7) stipule: "Le répertoire root par défaut sous Ubuntu est /var/www/html. Vous pouvez définir votre propre "virtual hosts" dans /var/www. C'est différent des précédentes versions qui préconisaient de se placer en dehors de ce répertoire pour des raisons de sécurité." </note> <|> root
14 Guillemets typographiques ouvrants. => <note important>le fichier index.html "It works!" installé par défaut (apache2 version 2.4.7) stipule: "Le répertoire root par défaut sous Ubuntu est /var/www/html. Vous pouvez définir votre propre "virtual hosts" dans /var/www. C'est différent des précédentes versions qui préconisaient de se placer en dehors de ce répertoire pour des raisons de sécurité." </note> <|> " => suggestions : ['«\xa0', '“']
14 Mot inconnu : virtual => <note important>le fichier index.html "It works!" installé par défaut (apache2 version 2.4.7) stipule: "Le répertoire root par défaut sous Ubuntu est /var/www/html. Vous pouvez définir votre propre "virtual hosts" dans /var/www. C'est différent des précédentes versions qui préconisaient de se placer en dehors de ce répertoire pour des raisons de sécurité." </note> <|> virtual
14 Mot inconnu : hosts => <note important>le fichier index.html "It works!" installé par défaut (apache2 version 2.4.7) stipule: "Le répertoire root par défaut sous Ubuntu est /var/www/html. Vous pouvez définir votre propre "virtual hosts" dans /var/www. C'est différent des précédentes versions qui préconisaient de se placer en dehors de ce répertoire pour des raisons de sécurité." </note> <|> hosts
14 Guillemets typographiques fermants. => <note important>le fichier index.html "It works!" installé par défaut (apache2 version 2.4.7) stipule: "Le répertoire root par défaut sous Ubuntu est /var/www/html. Vous pouvez définir votre propre "virtual hosts" dans /var/www. C'est différent des précédentes versions qui préconisaient de se placer en dehors de ce répertoire pour des raisons de sécurité." </note> <|> " => suggestions : ['\xa0»', '”']
14 Guillemets typographiques fermants. => <note important>le fichier index.html "It works!" installé par défaut (apache2 version 2.4.7) stipule: "Le répertoire root par défaut sous Ubuntu est /var/www/html. Vous pouvez définir votre propre "virtual hosts" dans /var/www. C'est différent des précédentes versions qui préconisaient de se placer en dehors de ce répertoire pour des raisons de sécurité." </note> <|> " => suggestions : ['\xa0»', '”']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Attention ! Pour la version Ubuntu 14.04, apache2 est en version 2.4.7. Le nouveau répertoire racine pour le serveur est: **/var/www/html** et non ///var/www//. Voir la remarque en fin du **4. Problèmes**. <|>   => suggestions : ['']
21 Mot inconnu : apache2 =>  Attention ! Pour la version Ubuntu 14.04, apache2 est en version 2.4.7. Le nouveau répertoire racine pour le serveur est: **/var/www/html** et non ///var/www//. Voir la remarque en fin du **4. Problèmes**. <|> apache2

28 Mot inconnu : FollowSymLinks => 	Options Indexes FollowSymLinks MultiViews <|> followsymlinks
28 Mot inconnu : MultiViews => 	Options Indexes FollowSymLinks MultiViews <|> multiviews

29 Mot inconnu : AllowOverride => 	AllowOverride None <|> allowoverride

30 Mot inconnu : Order => 	Order allow,deny <|> order
30 Mot inconnu : allow => 	Order allow,deny <|> allow
30 Il manque un espace. => 	Order allow,deny <|> deny => suggestions : [' deny']
30 Mot inconnu : deny => 	Order allow,deny <|> deny

31 Mot inconnu : Allow => 	Allow from all <|> allow
31 Mot inconnu : from => 	Allow from all <|> from
31 Mot inconnu : all => 	Allow from all <|> all

35 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A partir de ubuntu 13.10 et apache 2.4  <|> a => suggestions : ['À']
35 Élision de l’article devant un mot commençant par une voyelle. => A partir de ubuntu 13.10 et apache 2.4  <|> de  => suggestions : ['d’']

38 Mot inconnu : FollowSymLinks => 	Options Indexes FollowSymLinks MultiViews <|> followsymlinks
38 Mot inconnu : MultiViews => 	Options Indexes FollowSymLinks MultiViews <|> multiviews

39 Mot inconnu : AllowOverride => 	AllowOverride None <|> allowoverride

41 Mot inconnu : Require => 		Require ip 127.0.0.1 <|> require
41 Mot inconnu : ip => 		Require ip 127.0.0.1 <|> ip

42 Mot inconnu : Require => 		Require ip 192.168.1.0 <|> require
42 Mot inconnu : ip => 		Require ip 192.168.1.0 <|> ip

51 Mot inconnu : FollowSymLinks => 	Options Indexes FollowSymLinks MultiViews <|> followsymlinks
51 Mot inconnu : MultiViews => 	Options Indexes FollowSymLinks MultiViews <|> multiviews

52 Mot inconnu : AllowOverride => 	AllowOverride None <|> allowoverride

53 Mot inconnu : Order => 	Order Deny,Allow <|> order
53 Mot inconnu : Deny => 	Order Deny,Allow <|> deny
53 Il manque un espace. => 	Order Deny,Allow <|> allow => suggestions : [' Allow']
53 Mot inconnu : Allow => 	Order Deny,Allow <|> allow

54 Mot inconnu : Deny => 	Deny from all <|> deny
54 Mot inconnu : from => 	Deny from all <|> from
54 Mot inconnu : all => 	Deny from all <|> all

55 Mot inconnu : Allow => 	Allow from 127.0.0.1		# local <|> allow
55 Mot inconnu : from => 	Allow from 127.0.0.1		# local <|> from

56 Mot inconnu : Allow => 	Allow from 192.168.1.0/24	# reseau <|> allow
56 Mot inconnu : from => 	Allow from 192.168.1.0/24	# reseau <|> from
56 Mot inconnu : reseau => 	Allow from 192.168.1.0/24	# reseau <|> reseau

65 Mot inconnu : usb => Ici nous allons placer nos répertoires dans la zone **/media** (en prévision d'une installation sur une clé usb, un disque externe, une partition séparée, etc. Libre à vous de choisir le lieu ... qu'il reste cohérent quand même :-P\\ <|> usb
65 Typographie : points de suspension. Utilisez le caractère dédié. => Ici nous allons placer nos répertoires dans la zone **/media** (en prévision d'une installation sur une clé usb, un disque externe, une partition séparée, etc. Libre à vous de choisir le lieu ... qu'il reste cohérent quand même :-P\\ <|> ... => suggestions : ['…']

72 Accord de nombre erroné avec « les droits » : « utilisateur » devrait être au pluriel. => ==== Donner les droits utilisateur aux répertoires de travail ==== <|> utilisateur => suggestions : ['utilisateurs']

74 Mot inconnu : __Attention__ => <note important>__Attention__ : la variable '**$USER**' est une variable pour l'utilisateur en cours. si vous voulez affecter ces répertoires à un autre utilisateur, donnez le nom réel de l'utilisateur.\\ <|> __attention__
74 Après un point, une majuscule est généralement requise. => <note important>__Attention__ : la variable '**$USER**' est une variable pour l'utilisateur en cours. si vous voulez affecter ces répertoires à un autre utilisateur, donnez le nom réel de l'utilisateur.\\ <|> si => suggestions : ['Si']

75 Mot inconnu : users => Le '**users**' par contre est un nom de **group** (normalement déjà présent sur votre installation). Soit vous utilisez nom_user:nom_user, soit nom_user:users.\\ <|> users
75 Mot inconnu : group => Le '**users**' par contre est un nom de **group** (normalement déjà présent sur votre installation). Soit vous utilisez nom_user:nom_user, soit nom_user:users.\\ <|> group
75 Mot inconnu : nom_user => Le '**users**' par contre est un nom de **group** (normalement déjà présent sur votre installation). Soit vous utilisez nom_user:nom_user, soit nom_user:users.\\ <|> nom_user
75 Il manque un espace. => Le '**users**' par contre est un nom de **group** (normalement déjà présent sur votre installation). Soit vous utilisez nom_user:nom_user, soit nom_user:users.\\ <|> nom_user => suggestions : [' nom_user']
75 Mot inconnu : nom_user => Le '**users**' par contre est un nom de **group** (normalement déjà présent sur votre installation). Soit vous utilisez nom_user:nom_user, soit nom_user:users.\\ <|> nom_user
75 Mot inconnu : nom_user => Le '**users**' par contre est un nom de **group** (normalement déjà présent sur votre installation). Soit vous utilisez nom_user:nom_user, soit nom_user:users.\\ <|> nom_user
75 Il manque un espace. => Le '**users**' par contre est un nom de **group** (normalement déjà présent sur votre installation). Soit vous utilisez nom_user:nom_user, soit nom_user:users.\\ <|> users => suggestions : [' users']
75 Mot inconnu : users => Le '**users**' par contre est un nom de **group** (normalement déjà présent sur votre installation). Soit vous utilisez nom_user:nom_user, soit nom_user:users.\\ <|> users

76 Mot inconnu : users => '**users**' étant souvent le **group** utilisé sur de l'hébergement mutualisé, ce qui vous permet de simuler votre hébergeur au plus près.</note> <|> users
76 Mot inconnu : group => '**users**' étant souvent le **group** utilisé sur de l'hébergement mutualisé, ce qui vous permet de simuler votre hébergeur au plus près.</note> <|> group
83 Mot inconnu : NTFS =>   * Vous ne pouvez pas utiliser des partitions NTFS et FAT, car elles ne gèrent pas les droits utilisateurs. il faut donc impérativement que votre dossier figure sur une partition Linux. <|> ntfs
83 Après un point, une majuscule est généralement requise. =>   * Vous ne pouvez pas utiliser des partitions NTFS et FAT, car elles ne gèrent pas les droits utilisateurs. il faut donc impérativement que votre dossier figure sur une partition Linux. <|> il => suggestions : ['Il']
84 Un seul point après « etc. » =>   * Si votre dossier figure sur un autre disque dur (clef USB, etc...), toutes les permissions doivent être favorables, sur chacun des dossiers, depuis le disque lui même. <|> etc... => suggestions : ['etc.']
84 Il manque un trait d’union si “même” se rapporte à “lui”. =>   * Si votre dossier figure sur un autre disque dur (clef USB, etc...), toutes les permissions doivent être favorables, sur chacun des dossiers, depuis le disque lui même. <|> lui même => suggestions : ['lui-même']
85 Mot inconnu : votre_disque => Exemple : votre site se situe sous /media/votre_disque/vos_sites/votre_site, il vous faut exécuter : <|> votre_disque
85 Mot inconnu : vos_sites => Exemple : votre site se situe sous /media/votre_disque/vos_sites/votre_site, il vous faut exécuter : <|> vos_sites
85 Mot inconnu : votre_site => Exemple : votre site se situe sous /media/votre_disque/vos_sites/votre_site, il vous faut exécuter : <|> votre_site

87 Mot inconnu : sudo => sudo chown $USER:users /media/votre_disque <|> sudo
87 Mot inconnu : chown => sudo chown $USER:users /media/votre_disque <|> chown
87 Il manque un espace. => sudo chown $USER:users /media/votre_disque <|> users => suggestions : [' users']
87 Mot inconnu : users => sudo chown $USER:users /media/votre_disque <|> users
87 Mot inconnu : votre_disque => sudo chown $USER:users /media/votre_disque <|> votre_disque

89 Mot inconnu : sudo => sudo chown $USER:users /media/votre_disque/vos_sites <|> sudo
89 Mot inconnu : chown => sudo chown $USER:users /media/votre_disque/vos_sites <|> chown
89 Il manque un espace. => sudo chown $USER:users /media/votre_disque/vos_sites <|> users => suggestions : [' users']
89 Mot inconnu : users => sudo chown $USER:users /media/votre_disque/vos_sites <|> users
89 Mot inconnu : votre_disque => sudo chown $USER:users /media/votre_disque/vos_sites <|> votre_disque
89 Mot inconnu : vos_sites => sudo chown $USER:users /media/votre_disque/vos_sites <|> vos_sites

91 Mot inconnu : sudo => sudo chown -R $USER:users  /media/votre_disque/vos_sites/votre_site <|> sudo
91 Mot inconnu : chown => sudo chown -R $USER:users  /media/votre_disque/vos_sites/votre_site <|> chown
91 Il manque un espace à côté du tiret. => sudo chown -R $USER:users  /media/votre_disque/vos_sites/votre_site <|>  - => suggestions : [' – ', ' — ']
91 Il manque un espace. => sudo chown -R $USER:users  /media/votre_disque/vos_sites/votre_site <|> users => suggestions : [' users']
91 Mot inconnu : users => sudo chown -R $USER:users  /media/votre_disque/vos_sites/votre_site <|> users
91 Espace(s) surnuméraire(s) à supprimer. => sudo chown -R $USER:users  /media/votre_disque/vos_sites/votre_site <|>    => suggestions : [' ']
91 Mot inconnu : votre_disque => sudo chown -R $USER:users  /media/votre_disque/vos_sites/votre_site <|> votre_disque
91 Mot inconnu : vos_sites => sudo chown -R $USER:users  /media/votre_disque/vos_sites/votre_site <|> vos_sites
91 Mot inconnu : votre_site => sudo chown -R $USER:users  /media/votre_disque/vos_sites/votre_site <|> votre_site

98 Espace(s) surnuméraire(s) à supprimer. => Il nous faut donc ajouter deux alias, un  pour **public** et un pour **private**. <|>    => suggestions : [' ']
98 Mot inconnu : private => Il nous faut donc ajouter deux alias, un  pour **public** et un pour **private**. <|> private

102 Mot inconnu : html => <note tip>Dans le cas ci-dessous on accorde un accès au W3C (validateur html) et à l'espace dédié aux développeurs d'application utilisant Paypal</note> <|> html
102 Mot inconnu : Paypal => <note tip>Dans le cas ci-dessous on accorde un accès au W3C (validateur html) et à l'espace dédié aux développeurs d'application utilisant Paypal</note> <|> paypal

104 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A partir de ubuntu 13.10 et apache 2.4  <|> a => suggestions : ['À']
104 Élision de l’article devant un mot commençant par une voyelle. => A partir de ubuntu 13.10 et apache 2.4  <|> de  => suggestions : ['d’']

107 Mot inconnu : www-dev => Alias /public /media/www-dev/public <|> www-dev

109 Mot inconnu : FollowSymLinks => 	Options Indexes FollowSymLinks MultiViews <|> followsymlinks
109 Mot inconnu : MultiViews => 	Options Indexes FollowSymLinks MultiViews <|> multiviews

110 Mot inconnu : AllowOverride => 	AllowOverride All <|> allowoverride
110 Mot inconnu : All => 	AllowOverride All <|> all

111 Mot inconnu : Require => 	Require all granted <|> require
111 Mot inconnu : all => 	Require all granted <|> all
111 Mot inconnu : granted => 	Require all granted <|> granted

114 Mot inconnu : PRIVEE => ## ZONE PRIVEE <|> privee

115 Mot inconnu : private => Alias /private /media/www-dev/private <|> private
115 Mot inconnu : www-dev => Alias /private /media/www-dev/private <|> www-dev
115 Mot inconnu : private => Alias /private /media/www-dev/private <|> private

117 Mot inconnu : FollowSymLinks => 	Options Indexes FollowSymLinks MultiViews <|> followsymlinks
117 Mot inconnu : MultiViews => 	Options Indexes FollowSymLinks MultiViews <|> multiviews

118 Mot inconnu : AllowOverride => 	AllowOverride All <|> allowoverride
118 Mot inconnu : All => 	AllowOverride All <|> all

120 Mot inconnu : Require => 		Require ip 127.0.0.1 <|> require
120 Mot inconnu : ip => 		Require ip 127.0.0.1 <|> ip

121 Mot inconnu : Require => 		Require ip 192.168.1 <|> require
121 Mot inconnu : ip => 		Require ip 192.168.1 <|> ip
121 Grands nombres : utilisez des espaces insécables plutôt que des points. => 		Require ip 192.168.1 <|> 192.168 => suggestions : ['192\xa0168']

122 Mot inconnu : Require => 		Require host .w3.org <|> require
122 Mot inconnu : host => 		Require host .w3.org <|> host
122 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => 		Require host .w3.org <|>  . => suggestions : ['. ', '.']
122 Mot inconnu : w3 => 		Require host .w3.org <|> w3

123 Mot inconnu : Require => 		Require host sandbox.paypal.com <|> require
123 Mot inconnu : host => 		Require host sandbox.paypal.com <|> host

131 Mot inconnu : www-dev => Alias /public /media/www-dev/public <|> www-dev

133 Mot inconnu : FollowSymLinks => 	Options Indexes FollowSymLinks MultiViews <|> followsymlinks
133 Mot inconnu : MultiViews => 	Options Indexes FollowSymLinks MultiViews <|> multiviews

134 Mot inconnu : AllowOverride => 	AllowOverride All <|> allowoverride
134 Mot inconnu : All => 	AllowOverride All <|> all

135 Mot inconnu : Order => 	Order allow,deny <|> order
135 Mot inconnu : allow => 	Order allow,deny <|> allow
135 Il manque un espace. => 	Order allow,deny <|> deny => suggestions : [' deny']
135 Mot inconnu : deny => 	Order allow,deny <|> deny

136 Mot inconnu : Allow => 	Allow from all <|> allow
136 Mot inconnu : from => 	Allow from all <|> from
136 Mot inconnu : all => 	Allow from all <|> all

139 Mot inconnu : PRIVEE => ## ZONE PRIVEE <|> privee

140 Mot inconnu : private => Alias /private /media/www-dev/private <|> private
140 Mot inconnu : www-dev => Alias /private /media/www-dev/private <|> www-dev
140 Mot inconnu : private => Alias /private /media/www-dev/private <|> private

142 Mot inconnu : FollowSymLinks => 	Options Indexes FollowSymLinks MultiViews <|> followsymlinks
142 Mot inconnu : MultiViews => 	Options Indexes FollowSymLinks MultiViews <|> multiviews

143 Mot inconnu : AllowOverride => 	AllowOverride All <|> allowoverride
143 Mot inconnu : All => 	AllowOverride All <|> all

144 Mot inconnu : Order => 	Order deny,allow <|> order
144 Mot inconnu : deny => 	Order deny,allow <|> deny
144 Il manque un espace. => 	Order deny,allow <|> allow => suggestions : [' allow']
144 Mot inconnu : allow => 	Order deny,allow <|> allow

145 Mot inconnu : Deny => 	Deny from all <|> deny
145 Mot inconnu : from => 	Deny from all <|> from
145 Mot inconnu : all => 	Deny from all <|> all

146 Mot inconnu : Allow => 	Allow from 127.0.0.1            # Local <|> allow
146 Mot inconnu : from => 	Allow from 127.0.0.1            # Local <|> from
146 Espace(s) surnuméraire(s) à supprimer. => 	Allow from 127.0.0.1            # Local <|>              => suggestions : [' ']

147 Mot inconnu : Allow => 	Allow from 192.168.1.0/24       # Réseau <|> allow
147 Mot inconnu : from => 	Allow from 192.168.1.0/24       # Réseau <|> from
147 Espace(s) surnuméraire(s) à supprimer. => 	Allow from 192.168.1.0/24       # Réseau <|>         => suggestions : [' ']

148 Mot inconnu : Allow => 	Allow from .w3.org              # W3C <|> allow
148 Mot inconnu : from => 	Allow from .w3.org              # W3C <|> from
148 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => 	Allow from .w3.org              # W3C <|>  . => suggestions : ['. ', '.']
148 Mot inconnu : w3 => 	Allow from .w3.org              # W3C <|> w3
148 Espace(s) surnuméraire(s) à supprimer. => 	Allow from .w3.org              # W3C <|>                => suggestions : [' ']

149 Mot inconnu : Allow => 	Allow from sandbox.paypal.com   # Paypal <|> allow
149 Mot inconnu : from => 	Allow from sandbox.paypal.com   # Paypal <|> from
149 Espace(s) surnuméraire(s) à supprimer. => 	Allow from sandbox.paypal.com   # Paypal <|>     => suggestions : [' ']
149 Mot inconnu : Paypal => 	Allow from sandbox.paypal.com   # Paypal <|> paypal

155 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A présent les espaces sont valides, mais non visibles depuis la racine de votre serveur (c.f.: http://localhost). Il serait donc judicieux et pratique d'y avoir accès directement, plutôt que de devoir taper manuellement 'http://localhost/public' ou 'http://localhost/private'.\\ <|> a => suggestions : ['À']
155 Sigle. Il est recommandé d’ôter les points pour les sigles. (S’il s’agit d’un prénom et d’un nom, mettez un espace.) => A présent les espaces sont valides, mais non visibles depuis la racine de votre serveur (c.f.: http://localhost). Il serait donc judicieux et pratique d'y avoir accès directement, plutôt que de devoir taper manuellement 'http://localhost/public' ou 'http://localhost/private'.\\ <|> c.f. => suggestions : ['CF', 'c.\u202ff.']
155 Guillemets typographiques ouvrants. => A présent les espaces sont valides, mais non visibles depuis la racine de votre serveur (c.f.: http://localhost). Il serait donc judicieux et pratique d'y avoir accès directement, plutôt que de devoir taper manuellement 'http://localhost/public' ou 'http://localhost/private'.\\ <|> ' => suggestions : ['“', '‘', '‹']
155 Guillemets typographiques ouvrants. => A présent les espaces sont valides, mais non visibles depuis la racine de votre serveur (c.f.: http://localhost). Il serait donc judicieux et pratique d'y avoir accès directement, plutôt que de devoir taper manuellement 'http://localhost/public' ou 'http://localhost/private'.\\ <|> ' => suggestions : ['“', '‘', '‹']

158 Mot inconnu : __Attention => <note important>__Attention:__ Ne jamais faire un '//rm -rf//' sur un lien symbolique ... cette commande aura pour effet de supprimer le contenu réel de destination du lien symbolique. Utilisez juste '//rm /dossier/nom_symbolique//' comme s'il s'agissait d'un simple fichier.\\ <|> __attention
158 Il manque un espace. => <note important>__Attention:__ Ne jamais faire un '//rm -rf//' sur un lien symbolique ... cette commande aura pour effet de supprimer le contenu réel de destination du lien symbolique. Utilisez juste '//rm /dossier/nom_symbolique//' comme s'il s'agissait d'un simple fichier.\\ <|> __ => suggestions : [' __']
158 Mot inconnu : __ => <note important>__Attention:__ Ne jamais faire un '//rm -rf//' sur un lien symbolique ... cette commande aura pour effet de supprimer le contenu réel de destination du lien symbolique. Utilisez juste '//rm /dossier/nom_symbolique//' comme s'il s'agissait d'un simple fichier.\\ <|> __
158 Mot inconnu : rm => <note important>__Attention:__ Ne jamais faire un '//rm -rf//' sur un lien symbolique ... cette commande aura pour effet de supprimer le contenu réel de destination du lien symbolique. Utilisez juste '//rm /dossier/nom_symbolique//' comme s'il s'agissait d'un simple fichier.\\ <|> rm
158 Il manque un espace à côté du tiret. => <note important>__Attention:__ Ne jamais faire un '//rm -rf//' sur un lien symbolique ... cette commande aura pour effet de supprimer le contenu réel de destination du lien symbolique. Utilisez juste '//rm /dossier/nom_symbolique//' comme s'il s'agissait d'un simple fichier.\\ <|>  - => suggestions : [' – ', ' — ']
158 Mot inconnu : rf => <note important>__Attention:__ Ne jamais faire un '//rm -rf//' sur un lien symbolique ... cette commande aura pour effet de supprimer le contenu réel de destination du lien symbolique. Utilisez juste '//rm /dossier/nom_symbolique//' comme s'il s'agissait d'un simple fichier.\\ <|> rf
158 Typographie : points de suspension. Utilisez le caractère dédié. => <note important>__Attention:__ Ne jamais faire un '//rm -rf//' sur un lien symbolique ... cette commande aura pour effet de supprimer le contenu réel de destination du lien symbolique. Utilisez juste '//rm /dossier/nom_symbolique//' comme s'il s'agissait d'un simple fichier.\\ <|> ... => suggestions : ['…']
158 Mot inconnu : rm => <note important>__Attention:__ Ne jamais faire un '//rm -rf//' sur un lien symbolique ... cette commande aura pour effet de supprimer le contenu réel de destination du lien symbolique. Utilisez juste '//rm /dossier/nom_symbolique//' comme s'il s'agissait d'un simple fichier.\\ <|> rm
158 Mot inconnu : nom_symbolique => <note important>__Attention:__ Ne jamais faire un '//rm -rf//' sur un lien symbolique ... cette commande aura pour effet de supprimer le contenu réel de destination du lien symbolique. Utilisez juste '//rm /dossier/nom_symbolique//' comme s'il s'agissait d'un simple fichier.\\ <|> nom_symbolique

159 Guillemets typographiques ouvrants. => les liens symboliques dans **/var/www** se font via 'sudo' et donc sont en //root:root//. **Ne changez pas ces droits !**</note> <|> ' => suggestions : ['“', '‘', '‹']
159 Mot inconnu : sudo => les liens symboliques dans **/var/www** se font via 'sudo' et donc sont en //root:root//. **Ne changez pas ces droits !**</note> <|> sudo
159 Guillemets typographiques fermants. => les liens symboliques dans **/var/www** se font via 'sudo' et donc sont en //root:root//. **Ne changez pas ces droits !**</note> <|> ' => suggestions : ['”', '’', '›']
159 Mot inconnu : root => les liens symboliques dans **/var/www** se font via 'sudo' et donc sont en //root:root//. **Ne changez pas ces droits !**</note> <|> root

164 Mot inconnu : html => Il vous faudra également effacer le fichier index.html pour que cela prenne effet : <|> html

