1 Mot inconnu : VirtualBox => ====== Démarrer un système physique sous VirtualBox ====== | virtualbox
70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     title        Ubuntu 9.10, kernel 2.6.31-17-generic |      => suggestions : ['']
70 Mot inconnu : title =>     title        Ubuntu 9.10, kernel 2.6.31-17-generic | title
70 Espace(s) surnuméraire(s) à supprimer. =>     title        Ubuntu 9.10, kernel 2.6.31-17-generic |          => suggestions : [' ']
70 Mot inconnu : kernel =>     title        Ubuntu 9.10, kernel 2.6.31-17-generic | kernel
70 Mot inconnu : generic =>     title        Ubuntu 9.10, kernel 2.6.31-17-generic | generic

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     uuid        bec46f24-aa91-4a42-a1e6-f34da429dfd6 |      => suggestions : ['']
71 Mot inconnu : uuid =>     uuid        bec46f24-aa91-4a42-a1e6-f34da429dfd6 | uuid
71 Espace(s) surnuméraire(s) à supprimer. =>     uuid        bec46f24-aa91-4a42-a1e6-f34da429dfd6 |          => suggestions : [' ']
71 Mot inconnu : bec46f24-aa91-4a42-a1e6-f34da429dfd6 =>     uuid        bec46f24-aa91-4a42-a1e6-f34da429dfd6 | bec46f24-aa91-4a42-a1e6-f34da429dfd6

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     kernel        /boot/vmlinuz-2.6.31-17-generic root=UUID=bec46f24-aa91-4a42-a1e6-f34da429dfd6 ro vga=791 |      => suggestions : ['']
72 Mot inconnu : kernel =>     kernel        /boot/vmlinuz-2.6.31-17-generic root=UUID=bec46f24-aa91-4a42-a1e6-f34da429dfd6 ro vga=791 | kernel
72 Espace(s) surnuméraire(s) à supprimer. =>     kernel        /boot/vmlinuz-2.6.31-17-generic root=UUID=bec46f24-aa91-4a42-a1e6-f34da429dfd6 ro vga=791 |          => suggestions : [' ']
72 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>     kernel        /boot/vmlinuz-2.6.31-17-generic root=UUID=bec46f24-aa91-4a42-a1e6-f34da429dfd6 ro vga=791 | -2 => suggestions : ['−2', '– 2', '— 2']
72 Mot inconnu : root =>     kernel        /boot/vmlinuz-2.6.31-17-generic root=UUID=bec46f24-aa91-4a42-a1e6-f34da429dfd6 ro vga=791 | root
72 Mot inconnu : UUID =>     kernel        /boot/vmlinuz-2.6.31-17-generic root=UUID=bec46f24-aa91-4a42-a1e6-f34da429dfd6 ro vga=791 | uuid
72 Mot inconnu : bec46f24-aa91-4a42-a1e6-f34da429dfd6 =>     kernel        /boot/vmlinuz-2.6.31-17-generic root=UUID=bec46f24-aa91-4a42-a1e6-f34da429dfd6 ro vga=791 | bec46f24-aa91-4a42-a1e6-f34da429dfd6
72 Mot inconnu : ro =>     kernel        /boot/vmlinuz-2.6.31-17-generic root=UUID=bec46f24-aa91-4a42-a1e6-f34da429dfd6 ro vga=791 | ro
72 Mot inconnu : vga =>     kernel        /boot/vmlinuz-2.6.31-17-generic root=UUID=bec46f24-aa91-4a42-a1e6-f34da429dfd6 ro vga=791 | vga

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     initrd        /boot/initrd.img-2.6.31-17-generic |      => suggestions : ['']
73 Mot inconnu : initrd =>     initrd        /boot/initrd.img-2.6.31-17-generic | initrd
73 Espace(s) surnuméraire(s) à supprimer. =>     initrd        /boot/initrd.img-2.6.31-17-generic |          => suggestions : [' ']
73 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>     initrd        /boot/initrd.img-2.6.31-17-generic | -2 => suggestions : ['−2', '– 2', '— 2']

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     title        Ubuntu 9.10, kernel 2.6.31-17-generic (recovery) |      => suggestions : ['']
75 Mot inconnu : title =>     title        Ubuntu 9.10, kernel 2.6.31-17-generic (recovery) | title
75 Espace(s) surnuméraire(s) à supprimer. =>     title        Ubuntu 9.10, kernel 2.6.31-17-generic (recovery) |          => suggestions : [' ']
75 Mot inconnu : kernel =>     title        Ubuntu 9.10, kernel 2.6.31-17-generic (recovery) | kernel
75 Mot inconnu : generic =>     title        Ubuntu 9.10, kernel 2.6.31-17-generic (recovery) | generic
75 Mot inconnu : recovery =>     title        Ubuntu 9.10, kernel 2.6.31-17-generic (recovery) | recovery

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     lock |      => suggestions : ['']
76 Mot inconnu : lock =>     lock | lock

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     uuid        bec46f24-aa91-4a42-a1e6-f34da429dfd6 |      => suggestions : ['']
77 Mot inconnu : uuid =>     uuid        bec46f24-aa91-4a42-a1e6-f34da429dfd6 | uuid
77 Espace(s) surnuméraire(s) à supprimer. =>     uuid        bec46f24-aa91-4a42-a1e6-f34da429dfd6 |          => suggestions : [' ']
77 Mot inconnu : bec46f24-aa91-4a42-a1e6-f34da429dfd6 =>     uuid        bec46f24-aa91-4a42-a1e6-f34da429dfd6 | bec46f24-aa91-4a42-a1e6-f34da429dfd6

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     kernel        /boot/vmlinuz-2.6.31-17-generic root=UUID=bec46f24-aa91-4a42-a1e6-f34da429dfd6 ro single vga=791 |      => suggestions : ['']
78 Mot inconnu : kernel =>     kernel        /boot/vmlinuz-2.6.31-17-generic root=UUID=bec46f24-aa91-4a42-a1e6-f34da429dfd6 ro single vga=791 | kernel
78 Espace(s) surnuméraire(s) à supprimer. =>     kernel        /boot/vmlinuz-2.6.31-17-generic root=UUID=bec46f24-aa91-4a42-a1e6-f34da429dfd6 ro single vga=791 |          => suggestions : [' ']
78 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>     kernel        /boot/vmlinuz-2.6.31-17-generic root=UUID=bec46f24-aa91-4a42-a1e6-f34da429dfd6 ro single vga=791 | -2 => suggestions : ['−2', '– 2', '— 2']
78 Mot inconnu : root =>     kernel        /boot/vmlinuz-2.6.31-17-generic root=UUID=bec46f24-aa91-4a42-a1e6-f34da429dfd6 ro single vga=791 | root
78 Mot inconnu : UUID =>     kernel        /boot/vmlinuz-2.6.31-17-generic root=UUID=bec46f24-aa91-4a42-a1e6-f34da429dfd6 ro single vga=791 | uuid
78 Mot inconnu : bec46f24-aa91-4a42-a1e6-f34da429dfd6 =>     kernel        /boot/vmlinuz-2.6.31-17-generic root=UUID=bec46f24-aa91-4a42-a1e6-f34da429dfd6 ro single vga=791 | bec46f24-aa91-4a42-a1e6-f34da429dfd6
78 Mot inconnu : ro =>     kernel        /boot/vmlinuz-2.6.31-17-generic root=UUID=bec46f24-aa91-4a42-a1e6-f34da429dfd6 ro single vga=791 | ro
78 Mot inconnu : vga =>     kernel        /boot/vmlinuz-2.6.31-17-generic root=UUID=bec46f24-aa91-4a42-a1e6-f34da429dfd6 ro single vga=791 | vga

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     initrd        /boot/initrd.img-2.6.31-17-generic |      => suggestions : ['']
79 Mot inconnu : initrd =>     initrd        /boot/initrd.img-2.6.31-17-generic | initrd
79 Espace(s) surnuméraire(s) à supprimer. =>     initrd        /boot/initrd.img-2.6.31-17-generic |          => suggestions : [' ']
79 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>     initrd        /boot/initrd.img-2.6.31-17-generic | -2 => suggestions : ['−2', '– 2', '— 2']

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     title        Fedora 12, kernel 2.6.30-17-generic |      => suggestions : ['']
81 Mot inconnu : title =>     title        Fedora 12, kernel 2.6.30-17-generic | title
81 Espace(s) surnuméraire(s) à supprimer. =>     title        Fedora 12, kernel 2.6.30-17-generic |          => suggestions : [' ']
81 Mot inconnu : kernel =>     title        Fedora 12, kernel 2.6.30-17-generic | kernel
81 Mot inconnu : generic =>     title        Fedora 12, kernel 2.6.30-17-generic | generic

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     uuid        fgh4524-gslo-gskf-hgth-f34da42gdbki |      => suggestions : ['']
82 Mot inconnu : uuid =>     uuid        fgh4524-gslo-gskf-hgth-f34da42gdbki | uuid
82 Espace(s) surnuméraire(s) à supprimer. =>     uuid        fgh4524-gslo-gskf-hgth-f34da42gdbki |          => suggestions : [' ']
82 Mot inconnu : fgh4524-gslo-gskf-hgth-f34da42gdbki =>     uuid        fgh4524-gslo-gskf-hgth-f34da42gdbki | fgh4524-gslo-gskf-hgth-f34da42gdbki

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     kernel        /boot/vmlinuz-2.6.30-17-generic root=UUID=fgh4524-gslo-gskf-hgth-f34da42gdbki ro vga=791 |      => suggestions : ['']
83 Mot inconnu : kernel =>     kernel        /boot/vmlinuz-2.6.30-17-generic root=UUID=fgh4524-gslo-gskf-hgth-f34da42gdbki ro vga=791 | kernel
83 Espace(s) surnuméraire(s) à supprimer. =>     kernel        /boot/vmlinuz-2.6.30-17-generic root=UUID=fgh4524-gslo-gskf-hgth-f34da42gdbki ro vga=791 |          => suggestions : [' ']
83 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>     kernel        /boot/vmlinuz-2.6.30-17-generic root=UUID=fgh4524-gslo-gskf-hgth-f34da42gdbki ro vga=791 | -2 => suggestions : ['−2', '– 2', '— 2']
83 Mot inconnu : root =>     kernel        /boot/vmlinuz-2.6.30-17-generic root=UUID=fgh4524-gslo-gskf-hgth-f34da42gdbki ro vga=791 | root
83 Mot inconnu : UUID =>     kernel        /boot/vmlinuz-2.6.30-17-generic root=UUID=fgh4524-gslo-gskf-hgth-f34da42gdbki ro vga=791 | uuid
83 Mot inconnu : fgh4524-gslo-gskf-hgth-f34da42gdbki =>     kernel        /boot/vmlinuz-2.6.30-17-generic root=UUID=fgh4524-gslo-gskf-hgth-f34da42gdbki ro vga=791 | fgh4524-gslo-gskf-hgth-f34da42gdbki
83 Mot inconnu : ro =>     kernel        /boot/vmlinuz-2.6.30-17-generic root=UUID=fgh4524-gslo-gskf-hgth-f34da42gdbki ro vga=791 | ro
83 Mot inconnu : vga =>     kernel        /boot/vmlinuz-2.6.30-17-generic root=UUID=fgh4524-gslo-gskf-hgth-f34da42gdbki ro vga=791 | vga

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     initrd        /boot/initrd.img-2.6.30-17-generic |      => suggestions : ['']
84 Mot inconnu : initrd =>     initrd        /boot/initrd.img-2.6.30-17-generic | initrd
84 Espace(s) surnuméraire(s) à supprimer. =>     initrd        /boot/initrd.img-2.6.30-17-generic |          => suggestions : [' ']
84 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>     initrd        /boot/initrd.img-2.6.30-17-generic | -2 => suggestions : ['−2', '– 2', '— 2']

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     title        Fedora 12, kernel 2.6.30-17-generic (recovery) |      => suggestions : ['']
86 Mot inconnu : title =>     title        Fedora 12, kernel 2.6.30-17-generic (recovery) | title
86 Espace(s) surnuméraire(s) à supprimer. =>     title        Fedora 12, kernel 2.6.30-17-generic (recovery) |          => suggestions : [' ']
86 Mot inconnu : kernel =>     title        Fedora 12, kernel 2.6.30-17-generic (recovery) | kernel
86 Mot inconnu : generic =>     title        Fedora 12, kernel 2.6.30-17-generic (recovery) | generic
86 Mot inconnu : recovery =>     title        Fedora 12, kernel 2.6.30-17-generic (recovery) | recovery

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     lock |      => suggestions : ['']
87 Mot inconnu : lock =>     lock | lock

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     uuid        fgh4524-gslo-gskf-hgth-f34da42gdbki |      => suggestions : ['']
88 Mot inconnu : uuid =>     uuid        fgh4524-gslo-gskf-hgth-f34da42gdbki | uuid
88 Espace(s) surnuméraire(s) à supprimer. =>     uuid        fgh4524-gslo-gskf-hgth-f34da42gdbki |          => suggestions : [' ']
88 Mot inconnu : fgh4524-gslo-gskf-hgth-f34da42gdbki =>     uuid        fgh4524-gslo-gskf-hgth-f34da42gdbki | fgh4524-gslo-gskf-hgth-f34da42gdbki

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     kernel        /boot/vmlinuz-2.6.30-17-generic root=UUID=fgh4524-gslo-gskf-hgth-f34da42gdbki ro single vga=791 |      => suggestions : ['']
89 Mot inconnu : kernel =>     kernel        /boot/vmlinuz-2.6.30-17-generic root=UUID=fgh4524-gslo-gskf-hgth-f34da42gdbki ro single vga=791 | kernel
89 Espace(s) surnuméraire(s) à supprimer. =>     kernel        /boot/vmlinuz-2.6.30-17-generic root=UUID=fgh4524-gslo-gskf-hgth-f34da42gdbki ro single vga=791 |          => suggestions : [' ']
89 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>     kernel        /boot/vmlinuz-2.6.30-17-generic root=UUID=fgh4524-gslo-gskf-hgth-f34da42gdbki ro single vga=791 | -2 => suggestions : ['−2', '– 2', '— 2']
89 Mot inconnu : root =>     kernel        /boot/vmlinuz-2.6.30-17-generic root=UUID=fgh4524-gslo-gskf-hgth-f34da42gdbki ro single vga=791 | root
89 Mot inconnu : UUID =>     kernel        /boot/vmlinuz-2.6.30-17-generic root=UUID=fgh4524-gslo-gskf-hgth-f34da42gdbki ro single vga=791 | uuid
89 Mot inconnu : fgh4524-gslo-gskf-hgth-f34da42gdbki =>     kernel        /boot/vmlinuz-2.6.30-17-generic root=UUID=fgh4524-gslo-gskf-hgth-f34da42gdbki ro single vga=791 | fgh4524-gslo-gskf-hgth-f34da42gdbki
89 Mot inconnu : ro =>     kernel        /boot/vmlinuz-2.6.30-17-generic root=UUID=fgh4524-gslo-gskf-hgth-f34da42gdbki ro single vga=791 | ro
89 Mot inconnu : vga =>     kernel        /boot/vmlinuz-2.6.30-17-generic root=UUID=fgh4524-gslo-gskf-hgth-f34da42gdbki ro single vga=791 | vga

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     initrd        /boot/initrd.img-2.6.30-17-generic |      => suggestions : ['']
90 Mot inconnu : initrd =>     initrd        /boot/initrd.img-2.6.30-17-generic | initrd
90 Espace(s) surnuméraire(s) à supprimer. =>     initrd        /boot/initrd.img-2.6.30-17-generic |          => suggestions : [' ']
90 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>     initrd        /boot/initrd.img-2.6.30-17-generic | -2 => suggestions : ['−2', '– 2', '— 2']

92 Si “seul” se réfère au substantif “blocs”, il faut le mettre au pluriel. => Il faut supprimer tous les blocs de texte faisant référence à Ubuntu, seul les blocs de texte qui parle de Fedora nous intéressent et doivent donc rester intact. Cependant, si en dessous des « title Fedora 12 », il y a l'option « savedefault », il faut impérativement la supprimer. | seul => suggestions : ['seuls']
92 Mot inconnu : title => Il faut supprimer tous les blocs de texte faisant référence à Ubuntu, seul les blocs de texte qui parle de Fedora nous intéressent et doivent donc rester intact. Cependant, si en dessous des « title Fedora 12 », il y a l'option « savedefault », il faut impérativement la supprimer. | title
92 Mot inconnu : savedefault => Il faut supprimer tous les blocs de texte faisant référence à Ubuntu, seul les blocs de texte qui parle de Fedora nous intéressent et doivent donc rester intact. Cependant, si en dessous des « title Fedora 12 », il y a l'option « savedefault », il faut impérativement la supprimer. | savedefault

94 Mot inconnu : Grub => c) Maintenant que notre Grub est configuré correctement, on va pouvoir créer l'image iso bootable : | grub
94 Mot inconnu : iso => c) Maintenant que notre Grub est configuré correctement, on va pouvoir créer l'image iso bootable : | iso
94 Mot inconnu : bootable => c) Maintenant que notre Grub est configuré correctement, on va pouvoir créer l'image iso bootable : | bootable

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # création de l'image iso |      => suggestions : ['']
96 Mot inconnu : iso =>     # création de l'image iso | iso

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     mkisofs -R -b boot/grub/stage2_eltorito -no-emul-boot -boot-load-size 4 -boot-info-table -o grub.iso iso |      => suggestions : ['']
97 Mot inconnu : mkisofs =>     mkisofs -R -b boot/grub/stage2_eltorito -no-emul-boot -boot-load-size 4 -boot-info-table -o grub.iso iso | mkisofs
97 Il manque un espace à côté du tiret. =>     mkisofs -R -b boot/grub/stage2_eltorito -no-emul-boot -boot-load-size 4 -boot-info-table -o grub.iso iso |  - => suggestions : [' – ', ' — ']
97 Mot inconnu : boot =>     mkisofs -R -b boot/grub/stage2_eltorito -no-emul-boot -boot-load-size 4 -boot-info-table -o grub.iso iso | boot
97 Mot inconnu : grub =>     mkisofs -R -b boot/grub/stage2_eltorito -no-emul-boot -boot-load-size 4 -boot-info-table -o grub.iso iso | grub
97 Mot inconnu : stage2_eltorito =>     mkisofs -R -b boot/grub/stage2_eltorito -no-emul-boot -boot-load-size 4 -boot-info-table -o grub.iso iso | stage2_eltorito
97 Il manque un espace à côté du tiret. =>     mkisofs -R -b boot/grub/stage2_eltorito -no-emul-boot -boot-load-size 4 -boot-info-table -o grub.iso iso |  - => suggestions : [' – ', ' — ']
97 Mot inconnu : no-emul-boot =>     mkisofs -R -b boot/grub/stage2_eltorito -no-emul-boot -boot-load-size 4 -boot-info-table -o grub.iso iso | no-emul-boot
97 Mot inconnu : boot-load-size =>     mkisofs -R -b boot/grub/stage2_eltorito -no-emul-boot -boot-load-size 4 -boot-info-table -o grub.iso iso | boot-load-size
97 Il manque un espace à côté du tiret. =>     mkisofs -R -b boot/grub/stage2_eltorito -no-emul-boot -boot-load-size 4 -boot-info-table -o grub.iso iso |  - => suggestions : [' – ', ' — ']
97 Mot inconnu : boot-info-table =>     mkisofs -R -b boot/grub/stage2_eltorito -no-emul-boot -boot-load-size 4 -boot-info-table -o grub.iso iso | boot-info-table
97 Mot inconnu : grub =>     mkisofs -R -b boot/grub/stage2_eltorito -no-emul-boot -boot-load-size 4 -boot-info-table -o grub.iso iso | grub
97 Mot inconnu : iso =>     mkisofs -R -b boot/grub/stage2_eltorito -no-emul-boot -boot-load-size 4 -boot-info-table -o grub.iso iso | iso
97 Mot inconnu : iso =>     mkisofs -R -b boot/grub/stage2_eltorito -no-emul-boot -boot-load-size 4 -boot-info-table -o grub.iso iso | iso

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     # déplacement de l'iso dans le répertoire de VirtualBox |      => suggestions : ['']
99 Mot inconnu : iso =>     # déplacement de l'iso dans le répertoire de VirtualBox | iso
99 Mot inconnu : VirtualBox =>     # déplacement de l'iso dans le répertoire de VirtualBox | virtualbox

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     mv grub.iso ~/.VirtualBox/ |      => suggestions : ['']
100 Mot inconnu : mv =>     mv grub.iso ~/.VirtualBox/ | mv
100 Mot inconnu : grub =>     mv grub.iso ~/.VirtualBox/ | grub
