
18 Mot inconnu : Gnome-disks [[4:15]] => ====Gnome-disks==== <|> gnome-disks
141 Mot inconnu : fdisk [[547:552]] => L'exemple ci-dessus est assez simple, il correspond à une installation qui ne comporte qu'un seul disque dur /dev/sda et deux clés USB, la première identifiée par « USB Flash Disk » et la seconde par « Chinese 2000 ». La taille du support qui permet de le repérer. En cas de doute retirer (proprement) la clé, lancer la commande, remettre la clé, lancer à nouveau la commande : par déduction, la clé à formater correspondra à la partition apparaissant dans la liste lors du second appel à fdisk et absente lors du premier lancement de la commande fdisk -l. <|> fdisk
141 Il manque un espace à côté du tiret. [[552:554]] => L'exemple ci-dessus est assez simple, il correspond à une installation qui ne comporte qu'un seul disque dur /dev/sda et deux clés USB, la première identifiée par « USB Flash Disk » et la seconde par « Chinese 2000 ». La taille du support qui permet de le repérer. En cas de doute retirer (proprement) la clé, lancer la commande, remettre la clé, lancer à nouveau la commande : par déduction, la clé à formater correspondra à la partition apparaissant dans la liste lors du second appel à fdisk et absente lors du premier lancement de la commande fdisk -l. <|>  - => suggestions : None

142 Mot inconnu : lsblk [[8:13]] => ===Avec lsblk=== <|> lsblk

143 Mot inconnu : lsblk [[12:17]] => La commande lsblk, qui peut s'utiliser sans privilèges root, peut également être utilisée. <|> lsblk

145 Mot inconnu : lsblk [[38:43]] => Dans l'exemple ci-dessous la commande lsblk est utilisée avec des paramètres qui facilitent le repérage de la partition à formater mais <lsblk> ou <lsblk -fs> peuvent tout à fait satisfaire les besoins des utilisateurs un peu avertis. <|> lsblk
145 Confusion. La conjonction “ou” signale une alternative. Pour évoquer un lieu, un temps ou une situation, écrivez “où”. [[144:146]] => Dans l'exemple ci-dessous la commande lsblk est utilisée avec des paramètres qui facilitent le repérage de la partition à formater mais <lsblk> ou <lsblk -fs> peuvent tout à fait satisfaire les besoins des utilisateurs un peu avertis. <|> ou => suggestions : None
145 Il manque un espace à côté du tiret. [[153:155]] => Dans l'exemple ci-dessous la commande lsblk est utilisée avec des paramètres qui facilitent le repérage de la partition à formater mais <lsblk> ou <lsblk -fs> peuvent tout à fait satisfaire les besoins des utilisateurs un peu avertis. <|>  - => suggestions : None

172 Mot inconnu : mkfs [[48:52]] => Le formatage s'effectue à l'aide de la commande mkfs complétée par le type de partition souhaitée. <|> mkfs

174 Il manque un espace à côté du tiret. [[8:10]] => L'option -n permet de préciser le nom (l'étiquette) assigné la partition. <|>  - => suggestions : None

177 Mot inconnu : VFAT [[30:34]] => Quoique propriétaire, le type VFAT est généralement le mieux adapté pour utiliser la partition avec d'autres systèmes d'exploitation. <|> vfat

183 Mot inconnu : BTRFS [[13:18]] => ===Partition BTRFS=== <|> btrfs

187 Mot inconnu : VFAT [[13:17]] => ===Partition VFAT (FAT32)=== <|> vfat
