
9 Mot inconnu : deb => ===== Intérêt d'un dépôt local de paquets deb ===== | deb
133 Mot inconnu : monDepot => Dès que vous cliquez sur la relecture des dépôts (après le changement que vous venez de faire, Synaptic le fait automatiquement) vous avez votre nouveau .deb disponible dans Synaptic. Pour chaque nouveau deb que vous téléchargez dans monDepot, exécutez le script miseAjour.sh et faites relire ses dépôts à Synaptic (en cliquant sur le bouton avec les deux flèches) ou par  | mondepot
133 Mot inconnu : miseAjour => Dès que vous cliquez sur la relecture des dépôts (après le changement que vous venez de faire, Synaptic le fait automatiquement) vous avez votre nouveau .deb disponible dans Synaptic. Pour chaque nouveau deb que vous téléchargez dans monDepot, exécutez le script miseAjour.sh et faites relire ses dépôts à Synaptic (en cliquant sur le bouton avec les deux flèches) ou par  | miseajour
133 Mot inconnu : sh => Dès que vous cliquez sur la relecture des dépôts (après le changement que vous venez de faire, Synaptic le fait automatiquement) vous avez votre nouveau .deb disponible dans Synaptic. Pour chaque nouveau deb que vous téléchargez dans monDepot, exécutez le script miseAjour.sh et faites relire ses dépôts à Synaptic (en cliquant sur le bouton avec les deux flèches) ou par  | sh
133 Mot inconnu : Synaptic => Dès que vous cliquez sur la relecture des dépôts (après le changement que vous venez de faire, Synaptic le fait automatiquement) vous avez votre nouveau .deb disponible dans Synaptic. Pour chaque nouveau deb que vous téléchargez dans monDepot, exécutez le script miseAjour.sh et faites relire ses dépôts à Synaptic (en cliquant sur le bouton avec les deux flèches) ou par  | synaptic
133 Espace(s) en fin de ligne à supprimer. => Dès que vous cliquez sur la relecture des dépôts (après le changement que vous venez de faire, Synaptic le fait automatiquement) vous avez votre nouveau .deb disponible dans Synaptic. Pour chaque nouveau deb que vous téléchargez dans monDepot, exécutez le script miseAjour.sh et faites relire ses dépôts à Synaptic (en cliquant sur le bouton avec les deux flèches) ou par  |   => suggestions : ['']

134 Guillemets typographiques ouvrants. => ''apt-get update''. | '' => suggestions : ['«\xa0', '“']
134 Mot inconnu : apt-get => ''apt-get update''. | apt-get
134 Mot inconnu : update => ''apt-get update''. | update
134 Guillemets typographiques fermants. => ''apt-get update''. | '' => suggestions : ['\xa0»', '”']

136 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => ===== Utiliser un fichier .iso comme source ===== |  . => suggestions : ['. ', '.']
136 Mot inconnu : iso => ===== Utiliser un fichier .iso comme source ===== | iso

138 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Ceci peut être utile pour installer des programmes sur un PC sans connexion internet. Vous avez votre .iso sur une clé USB par exemple : ''// /media/$USER/cle_usb/ubuntu-14.04.1-desktop-i386.iso//''. |  . => suggestions : ['. ', '.']
138 Mot inconnu : iso => Ceci peut être utile pour installer des programmes sur un PC sans connexion internet. Vous avez votre .iso sur une clé USB par exemple : ''// /media/$USER/cle_usb/ubuntu-14.04.1-desktop-i386.iso//''. | iso
138 Mot inconnu : cle_usb => Ceci peut être utile pour installer des programmes sur un PC sans connexion internet. Vous avez votre .iso sur une clé USB par exemple : ''// /media/$USER/cle_usb/ubuntu-14.04.1-desktop-i386.iso//''. | cle_usb
138 Mot inconnu : ubuntu-14 => Ceci peut être utile pour installer des programmes sur un PC sans connexion internet. Vous avez votre .iso sur une clé USB par exemple : ''// /media/$USER/cle_usb/ubuntu-14.04.1-desktop-i386.iso//''. | ubuntu-14
138 Mot inconnu : desktop-i386 => Ceci peut être utile pour installer des programmes sur un PC sans connexion internet. Vous avez votre .iso sur une clé USB par exemple : ''// /media/$USER/cle_usb/ubuntu-14.04.1-desktop-i386.iso//''. | desktop-i386
138 Mot inconnu : iso => Ceci peut être utile pour installer des programmes sur un PC sans connexion internet. Vous avez votre .iso sur une clé USB par exemple : ''// /media/$USER/cle_usb/ubuntu-14.04.1-desktop-i386.iso//''. | iso
