
3 Mot inconnu : bootable => ====== Créer une clé USB bootable de Windows (7, 8 ou 10) ====== | bootable
17 Guillemets typographiques ouvrants. => Il existe plusieurs façons plus ou moins simples et "rapides" pour y parvenir. Choisissez selon votre support de départ ou le logiciel dont vous disposez déjà. | " => suggestions : ['«\xa0', '“']
17 Guillemets typographiques fermants. => Il existe plusieurs façons plus ou moins simples et "rapides" pour y parvenir. Choisissez selon votre support de départ ou le logiciel dont vous disposez déjà. | " => suggestions : ['\xa0»', '”']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  [[#Méthode qui prend en charge uniquement une ISO de Windows]] ; |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  [[#Méthode qui prend en charge une ISO ou un DVD de Windows]]. |    => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

21 Mot inconnu : dual-boot => <note important>En cas de dual-boot, quel que soit votre choix, une fois Windows (ré)installé, vous aurez certainement perdu Grub2 au profit de l'amorçage de Windows. Il vous faudra récupérer Grub2 après l'installation de Windows. Vous pourrez vous reporter à la page [[tutoriel/comment_recuperer_ubuntu_apres_installation_windows|Comment récupérer Ubuntu après installation de Windows]].</note> | dual-boot
21 Mot inconnu : Grub2 => <note important>En cas de dual-boot, quel que soit votre choix, une fois Windows (ré)installé, vous aurez certainement perdu Grub2 au profit de l'amorçage de Windows. Il vous faudra récupérer Grub2 après l'installation de Windows. Vous pourrez vous reporter à la page [[tutoriel/comment_recuperer_ubuntu_apres_installation_windows|Comment récupérer Ubuntu après installation de Windows]].</note> | grub2
21 Mot inconnu : Grub2 => <note important>En cas de dual-boot, quel que soit votre choix, une fois Windows (ré)installé, vous aurez certainement perdu Grub2 au profit de l'amorçage de Windows. Il vous faudra récupérer Grub2 après l'installation de Windows. Vous pourrez vous reporter à la page [[tutoriel/comment_recuperer_ubuntu_apres_installation_windows|Comment récupérer Ubuntu après installation de Windows]].</note> | grub2
21 Mot inconnu : comment_recuperer_ubuntu_apres_installation_windows => <note important>En cas de dual-boot, quel que soit votre choix, une fois Windows (ré)installé, vous aurez certainement perdu Grub2 au profit de l'amorçage de Windows. Il vous faudra récupérer Grub2 après l'installation de Windows. Vous pourrez vous reporter à la page [[tutoriel/comment_recuperer_ubuntu_apres_installation_windows|Comment récupérer Ubuntu après installation de Windows]].</note> | comment_recuperer_ubuntu_apres_installation_windows

23 Si “Go” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => <note important>Pour les versions 32 bits, une clé USB de 4Go est souvent suffisante. Les versions 64 bits nécessitent une clé de plus grand taille (8 Go ou plus) </note> | 8 go => suggestions : ['8\xa0Go']

26 Mot inconnu : MultiSystem => ====Avec MultiSystem ==== | multisystem

33 Mot inconnu : Multisytem => <note>Multisytem gère l'uefi pour Windows 8 si la clé est préparée avec un système hôte en uefi. Si vous voulez démarrer en mode legacy un Windows 8, vous devrez créer votre clé à partir d'un système hôte en legacy.</note> | multisytem
33 Mot inconnu : uefi => <note>Multisytem gère l'uefi pour Windows 8 si la clé est préparée avec un système hôte en uefi. Si vous voulez démarrer en mode legacy un Windows 8, vous devrez créer votre clé à partir d'un système hôte en legacy.</note> | uefi
33 Mot inconnu : uefi => <note>Multisytem gère l'uefi pour Windows 8 si la clé est préparée avec un système hôte en uefi. Si vous voulez démarrer en mode legacy un Windows 8, vous devrez créer votre clé à partir d'un système hôte en legacy.</note> | uefi
33 Mot inconnu : legacy => <note>Multisytem gère l'uefi pour Windows 8 si la clé est préparée avec un système hôte en uefi. Si vous voulez démarrer en mode legacy un Windows 8, vous devrez créer votre clé à partir d'un système hôte en legacy.</note> | legacy
33 Mot inconnu : legacy => <note>Multisytem gère l'uefi pour Windows 8 si la clé est préparée avec un système hôte en uefi. Si vous voulez démarrer en mode legacy un Windows 8, vous devrez créer votre clé à partir d'un système hôte en legacy.</note> | legacy

35 Mot inconnu : W10 => <note warning>Cette méthode ne semble pas fonctionner avec W10 et un bios en UEFI</note> | w10
35 Accord de nombre erroné : « bios » devrait être au singulier. => <note warning>Cette méthode ne semble pas fonctionner avec W10 et un bios en UEFI</note> | bios => suggestions : ['bio']
35 Mot inconnu : UEFI => <note warning>Cette méthode ne semble pas fonctionner avec W10 et un bios en UEFI</note> | uefi

38 Espace(s) surnuméraire(s) à supprimer. => Une fois redémarré sur votre clé USB,  MultiSystem se charge automatiquement, ensuite choisissez Syslinux puis Windows Install.// |    => suggestions : [' ']
38 Mot inconnu : MultiSystem => Une fois redémarré sur votre clé USB,  MultiSystem se charge automatiquement, ensuite choisissez Syslinux puis Windows Install.// | multisystem
38 Mot inconnu : Syslinux => Une fois redémarré sur votre clé USB,  MultiSystem se charge automatiquement, ensuite choisissez Syslinux puis Windows Install.// | syslinux
38 Mot inconnu : Install => Une fois redémarré sur votre clé USB,  MultiSystem se charge automatiquement, ensuite choisissez Syslinux puis Windows Install.// | install

40 Mot inconnu : Syslinux => <note important>Si après avoir choisi Syslinux, vous ne voyez pas Windows Install ou que celui-ci laisse place à un écran de sélection de disques durs sur "fond d’étoiles filantes", recommencez mais en appuyant deux fois sur la touche entrée après vous être positionné sur Syslinux. Cela lancera Windows Install.</note> | syslinux
40 Mot inconnu : Install => <note important>Si après avoir choisi Syslinux, vous ne voyez pas Windows Install ou que celui-ci laisse place à un écran de sélection de disques durs sur "fond d’étoiles filantes", recommencez mais en appuyant deux fois sur la touche entrée après vous être positionné sur Syslinux. Cela lancera Windows Install.</note> | install
40 Guillemets typographiques ouvrants. => <note important>Si après avoir choisi Syslinux, vous ne voyez pas Windows Install ou que celui-ci laisse place à un écran de sélection de disques durs sur "fond d’étoiles filantes", recommencez mais en appuyant deux fois sur la touche entrée après vous être positionné sur Syslinux. Cela lancera Windows Install.</note> | " => suggestions : ['«\xa0', '“']
40 Guillemets typographiques fermants. => <note important>Si après avoir choisi Syslinux, vous ne voyez pas Windows Install ou que celui-ci laisse place à un écran de sélection de disques durs sur "fond d’étoiles filantes", recommencez mais en appuyant deux fois sur la touche entrée après vous être positionné sur Syslinux. Cela lancera Windows Install.</note> | " => suggestions : ['\xa0»', '”']
40 Mot inconnu : Syslinux => <note important>Si après avoir choisi Syslinux, vous ne voyez pas Windows Install ou que celui-ci laisse place à un écran de sélection de disques durs sur "fond d’étoiles filantes", recommencez mais en appuyant deux fois sur la touche entrée après vous être positionné sur Syslinux. Cela lancera Windows Install.</note> | syslinux
40 Mot inconnu : Install => <note important>Si après avoir choisi Syslinux, vous ne voyez pas Windows Install ou que celui-ci laisse place à un écran de sélection de disques durs sur "fond d’étoiles filantes", recommencez mais en appuyant deux fois sur la touche entrée après vous être positionné sur Syslinux. Cela lancera Windows Install.</note> | install

42 Mot inconnu : UNetbootin => ====Avec UNetbootin ==== | unetbootin
44 Mot inconnu : GParted => Cette solution se fait en 2 étapes : préparation de clé USB avec GParted puis la copie des fichiers de l'image de Windows avec installation du système de boot par UNetbootin | gparted
44 Mot inconnu : boot => Cette solution se fait en 2 étapes : préparation de clé USB avec GParted puis la copie des fichiers de l'image de Windows avec installation du système de boot par UNetbootin | boot
44 Mot inconnu : UNetbootin => Cette solution se fait en 2 étapes : préparation de clé USB avec GParted puis la copie des fichiers de l'image de Windows avec installation du système de boot par UNetbootin | unetbootin

48 Mot inconnu : GParted => Avec GParted, il faut formater la clé en NTFS puis la rendre bootable (Clic droit / Gérer les drapeaux / boot). | gparted
48 Mot inconnu : NTFS => Avec GParted, il faut formater la clé en NTFS puis la rendre bootable (Clic droit / Gérer les drapeaux / boot). | ntfs
48 Mot inconnu : bootable => Avec GParted, il faut formater la clé en NTFS puis la rendre bootable (Clic droit / Gérer les drapeaux / boot). | bootable
48 Mot inconnu : boot => Avec GParted, il faut formater la clé en NTFS puis la rendre bootable (Clic droit / Gérer les drapeaux / boot). | boot

50 Mot inconnu : gparted => Ensuite il faut quitter gparted et **monter** la clé USB | gparted

53 Mot inconnu : iso => === Copie des fichiers de l'iso et installation du système de boot : === | iso
53 Mot inconnu : boot => === Copie des fichiers de l'iso et installation du système de boot : === | boot

55 Mot inconnu : appeller => Il faut appeller UNetbootin en ligne de commande pour lui indiquer le type de connexion où est connecté la clé et son "device" (l'interface graphique ne reconnaît pas les clés USB formatées en NTFS). | appeller
55 Mot inconnu : UNetbootin => Il faut appeller UNetbootin en ligne de commande pour lui indiquer le type de connexion où est connecté la clé et son "device" (l'interface graphique ne reconnaît pas les clés USB formatées en NTFS). | unetbootin
55 Guillemets typographiques ouvrants. => Il faut appeller UNetbootin en ligne de commande pour lui indiquer le type de connexion où est connecté la clé et son "device" (l'interface graphique ne reconnaît pas les clés USB formatées en NTFS). | " => suggestions : ['«\xa0', '“']
55 Mot inconnu : device => Il faut appeller UNetbootin en ligne de commande pour lui indiquer le type de connexion où est connecté la clé et son "device" (l'interface graphique ne reconnaît pas les clés USB formatées en NTFS). | device
55 Guillemets typographiques fermants. => Il faut appeller UNetbootin en ligne de commande pour lui indiquer le type de connexion où est connecté la clé et son "device" (l'interface graphique ne reconnaît pas les clés USB formatées en NTFS). | " => suggestions : ['\xa0»', '”']
55 Mot inconnu : NTFS => Il faut appeller UNetbootin en ligne de commande pour lui indiquer le type de connexion où est connecté la clé et son "device" (l'interface graphique ne reconnaît pas les clés USB formatées en NTFS). | ntfs

59 Mot inconnu : GParted => X correspond à la lettre du périphérique telle qu'elle apparaît dans GParted. | gparted

61 Mot inconnu : iso => Une interface graphique s'ouvre alors. Il suffit de rechercher votre image iso de windows puis de cliquer sur OK et d'attendre la fin (approximativement une demi-heure). | iso
63 Mot inconnu : XP => //(Testé avec Lubuntu 16.04 et Windows 7 8.1 10, 32 et 64 bits. Ne fonctionne pas pour Windows XP)// | xp

65 Mot inconnu : root => <note important>Si vous obtenez une erreur, essayer avec le root.</note> | root

69 Mot inconnu : GParted => X correspond à la lettre du périphérique telle qu'elle apparaît dans GParted. | gparted

72 Mot inconnu : MBR => Testé avec Ubuntu 18.04 et Windows 10 64 bits. Le MBR est bien fabriqué même avec une exécution EFI.  | mbr
72 Mot inconnu : EFI => Testé avec Ubuntu 18.04 et Windows 10 64 bits. Le MBR est bien fabriqué même avec une exécution EFI.  | efi
72 Espace(s) en fin de ligne à supprimer. => Testé avec Ubuntu 18.04 et Windows 10 64 bits. Le MBR est bien fabriqué même avec une exécution EFI.  |   => suggestions : ['']

74 Espace(s) en fin de ligne à supprimer. => La commande est  |   => suggestions : ['']

76 Mot inconnu : __Mais => __Mais la structure de boot n'est pas reconnue tant en EFI qu'en LEGACY (A infirmer si besoin)__ | __mais
76 Mot inconnu : boot => __Mais la structure de boot n'est pas reconnue tant en EFI qu'en LEGACY (A infirmer si besoin)__ | boot
76 Mot inconnu : EFI => __Mais la structure de boot n'est pas reconnue tant en EFI qu'en LEGACY (A infirmer si besoin)__ | efi
76 Mot inconnu : LEGACY => __Mais la structure de boot n'est pas reconnue tant en EFI qu'en LEGACY (A infirmer si besoin)__ | legacy
76 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => __Mais la structure de boot n'est pas reconnue tant en EFI qu'en LEGACY (A infirmer si besoin)__ | a => suggestions : ['À']
76 Il manque un espace après la parenthèse. => __Mais la structure de boot n'est pas reconnue tant en EFI qu'en LEGACY (A infirmer si besoin)__ | ) => suggestions : [') ']
76 Mot inconnu : __ => __Mais la structure de boot n'est pas reconnue tant en EFI qu'en LEGACY (A infirmer si besoin)__ | __

78 Mot inconnu : Ventoy => ==== Ventoy ==== | ventoy

86 Mot inconnu : GParted => ====Avec GParted ==== | gparted

88 Mot inconnu : GParted => === Installation de GParted ===  | gparted
88 Espace(s) en fin de ligne à supprimer. => === Installation de GParted ===  |   => suggestions : ['']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Connectez votre clé USB à l'ordinateur; |    => suggestions : ['']
95 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Connectez votre clé USB à l'ordinateur; |  -  => suggestions : [' – ', ' — ', ' − ']

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sélectionnez votre périphérique; |    => suggestions : ['']
97 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sélectionnez votre périphérique; |  -  => suggestions : [' – ', ' — ', ' − ']

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Onglet Partition ou clic droit sur votre partition puis sélectionner '//Démonter//' |    => suggestions : ['']
98 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Onglet Partition ou clic droit sur votre partition puis sélectionner '//Démonter//' |  -  => suggestions : [' – ', ' — ', ' − ']

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ensuite toujours onglet partition ou clic droit sur la partition puis '//Formater//' et choisissez NTFS pour un boot LEGACY ou FAT32 pour un boot EFI. L'ISO Windows 10 contient un fichier volumineux qui nécessite une partition NTFS.  |    => suggestions : ['']
99 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ensuite toujours onglet partition ou clic droit sur la partition puis '//Formater//' et choisissez NTFS pour un boot LEGACY ou FAT32 pour un boot EFI. L'ISO Windows 10 contient un fichier volumineux qui nécessite une partition NTFS.  |  -  => suggestions : [' – ', ' — ', ' − ']
99 Mot inconnu : NTFS =>   - Ensuite toujours onglet partition ou clic droit sur la partition puis '//Formater//' et choisissez NTFS pour un boot LEGACY ou FAT32 pour un boot EFI. L'ISO Windows 10 contient un fichier volumineux qui nécessite une partition NTFS.  | ntfs
99 Mot inconnu : boot =>   - Ensuite toujours onglet partition ou clic droit sur la partition puis '//Formater//' et choisissez NTFS pour un boot LEGACY ou FAT32 pour un boot EFI. L'ISO Windows 10 contient un fichier volumineux qui nécessite une partition NTFS.  | boot
99 Mot inconnu : LEGACY =>   - Ensuite toujours onglet partition ou clic droit sur la partition puis '//Formater//' et choisissez NTFS pour un boot LEGACY ou FAT32 pour un boot EFI. L'ISO Windows 10 contient un fichier volumineux qui nécessite une partition NTFS.  | legacy
99 Mot inconnu : FAT32 =>   - Ensuite toujours onglet partition ou clic droit sur la partition puis '//Formater//' et choisissez NTFS pour un boot LEGACY ou FAT32 pour un boot EFI. L'ISO Windows 10 contient un fichier volumineux qui nécessite une partition NTFS.  | fat32
99 Mot inconnu : boot =>   - Ensuite toujours onglet partition ou clic droit sur la partition puis '//Formater//' et choisissez NTFS pour un boot LEGACY ou FAT32 pour un boot EFI. L'ISO Windows 10 contient un fichier volumineux qui nécessite une partition NTFS.  | boot
99 Mot inconnu : EFI =>   - Ensuite toujours onglet partition ou clic droit sur la partition puis '//Formater//' et choisissez NTFS pour un boot LEGACY ou FAT32 pour un boot EFI. L'ISO Windows 10 contient un fichier volumineux qui nécessite une partition NTFS.  | efi
99 Mot inconnu : NTFS =>   - Ensuite toujours onglet partition ou clic droit sur la partition puis '//Formater//' et choisissez NTFS pour un boot LEGACY ou FAT32 pour un boot EFI. L'ISO Windows 10 contient un fichier volumineux qui nécessite une partition NTFS.  | ntfs
99 Espace(s) en fin de ligne à supprimer. =>   - Ensuite toujours onglet partition ou clic droit sur la partition puis '//Formater//' et choisissez NTFS pour un boot LEGACY ou FAT32 pour un boot EFI. L'ISO Windows 10 contient un fichier volumineux qui nécessite une partition NTFS.  |   => suggestions : ['']

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Pour un boot UEFI de L'ISO Windows 10, il faut 2 partitions (1 FAT32 pour l'UEFI et une NTFS du fait du fichier Install.wim qui dépasse les 4Go du FAT32 requis pour UEFI...). Voir cet article en anglais: https://techbit.ca/2019/02/creating-a-bootable-windows-10-uefi-usb-drive-using-linux/ |    => suggestions : ['']
100 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Pour un boot UEFI de L'ISO Windows 10, il faut 2 partitions (1 FAT32 pour l'UEFI et une NTFS du fait du fichier Install.wim qui dépasse les 4Go du FAT32 requis pour UEFI...). Voir cet article en anglais: https://techbit.ca/2019/02/creating-a-bootable-windows-10-uefi-usb-drive-using-linux/ |  -  => suggestions : [' – ', ' — ', ' − ']
100 Mot inconnu : boot =>   - Pour un boot UEFI de L'ISO Windows 10, il faut 2 partitions (1 FAT32 pour l'UEFI et une NTFS du fait du fichier Install.wim qui dépasse les 4Go du FAT32 requis pour UEFI...). Voir cet article en anglais: https://techbit.ca/2019/02/creating-a-bootable-windows-10-uefi-usb-drive-using-linux/ | boot
100 Mot inconnu : UEFI =>   - Pour un boot UEFI de L'ISO Windows 10, il faut 2 partitions (1 FAT32 pour l'UEFI et une NTFS du fait du fichier Install.wim qui dépasse les 4Go du FAT32 requis pour UEFI...). Voir cet article en anglais: https://techbit.ca/2019/02/creating-a-bootable-windows-10-uefi-usb-drive-using-linux/ | uefi
100 Mot inconnu : FAT32 =>   - Pour un boot UEFI de L'ISO Windows 10, il faut 2 partitions (1 FAT32 pour l'UEFI et une NTFS du fait du fichier Install.wim qui dépasse les 4Go du FAT32 requis pour UEFI...). Voir cet article en anglais: https://techbit.ca/2019/02/creating-a-bootable-windows-10-uefi-usb-drive-using-linux/ | fat32
100 Mot inconnu : UEFI =>   - Pour un boot UEFI de L'ISO Windows 10, il faut 2 partitions (1 FAT32 pour l'UEFI et une NTFS du fait du fichier Install.wim qui dépasse les 4Go du FAT32 requis pour UEFI...). Voir cet article en anglais: https://techbit.ca/2019/02/creating-a-bootable-windows-10-uefi-usb-drive-using-linux/ | uefi
100 Mot inconnu : NTFS =>   - Pour un boot UEFI de L'ISO Windows 10, il faut 2 partitions (1 FAT32 pour l'UEFI et une NTFS du fait du fichier Install.wim qui dépasse les 4Go du FAT32 requis pour UEFI...). Voir cet article en anglais: https://techbit.ca/2019/02/creating-a-bootable-windows-10-uefi-usb-drive-using-linux/ | ntfs
100 Mot inconnu : Install =>   - Pour un boot UEFI de L'ISO Windows 10, il faut 2 partitions (1 FAT32 pour l'UEFI et une NTFS du fait du fichier Install.wim qui dépasse les 4Go du FAT32 requis pour UEFI...). Voir cet article en anglais: https://techbit.ca/2019/02/creating-a-bootable-windows-10-uefi-usb-drive-using-linux/ | install
100 Mot inconnu : wim =>   - Pour un boot UEFI de L'ISO Windows 10, il faut 2 partitions (1 FAT32 pour l'UEFI et une NTFS du fait du fichier Install.wim qui dépasse les 4Go du FAT32 requis pour UEFI...). Voir cet article en anglais: https://techbit.ca/2019/02/creating-a-bootable-windows-10-uefi-usb-drive-using-linux/ | wim
100 Mot inconnu : FAT32 =>   - Pour un boot UEFI de L'ISO Windows 10, il faut 2 partitions (1 FAT32 pour l'UEFI et une NTFS du fait du fichier Install.wim qui dépasse les 4Go du FAT32 requis pour UEFI...). Voir cet article en anglais: https://techbit.ca/2019/02/creating-a-bootable-windows-10-uefi-usb-drive-using-linux/ | fat32
100 Mot inconnu : UEFI =>   - Pour un boot UEFI de L'ISO Windows 10, il faut 2 partitions (1 FAT32 pour l'UEFI et une NTFS du fait du fichier Install.wim qui dépasse les 4Go du FAT32 requis pour UEFI...). Voir cet article en anglais: https://techbit.ca/2019/02/creating-a-bootable-windows-10-uefi-usb-drive-using-linux/ | uefi
100 Typographie : points de suspension. Utilisez le caractère dédié. =>   - Pour un boot UEFI de L'ISO Windows 10, il faut 2 partitions (1 FAT32 pour l'UEFI et une NTFS du fait du fichier Install.wim qui dépasse les 4Go du FAT32 requis pour UEFI...). Voir cet article en anglais: https://techbit.ca/2019/02/creating-a-bootable-windows-10-uefi-usb-drive-using-linux/ | ... => suggestions : ['…']

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  (__**Attention à ce que vous ayez bien sélectionné votre clé USB !!!**__ ); |   => suggestions : ['']
102 Mot inconnu : __ =>  (__**Attention à ce que vous ayez bien sélectionné votre clé USB !!!**__ ); | __
102 Mot inconnu : __ =>  (__**Attention à ce que vous ayez bien sélectionné votre clé USB !!!**__ ); | __
102 Pas d’espace avant ce signe. =>  (__**Attention à ce que vous ayez bien sélectionné votre clé USB !!!**__ ); |  ) => suggestions : [')']

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Une fois fini via l'onglet partition ou le fameux clic droit sur la partition choisissez '//Gérer le drapeau//' et activer '//boot//' et fermer. |    => suggestions : ['']
103 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Une fois fini via l'onglet partition ou le fameux clic droit sur la partition choisissez '//Gérer le drapeau//' et activer '//boot//' et fermer. |  -  => suggestions : [' – ', ' — ', ' − ']

112 Mot inconnu : WOEUSB => ====Avec WOEUSB ==== | woeusb

115 Mot inconnu : EDIT => (EDIT 2021 : encore possible d'installer WoeUSB via ces deux commandes dans le terminal) : | edit
115 Mot inconnu : WoeUSB => (EDIT 2021 : encore possible d'installer WoeUSB via ces deux commandes dans le terminal) : | woeusb

117 Mot inconnu : sudo => sudo apt install git p7zip-full python3-pip python3-wxgtk4.0 | sudo
117 Mot inconnu : install => sudo apt install git p7zip-full python3-pip python3-wxgtk4.0 | install
117 Mot inconnu : p7zip-full => sudo apt install git p7zip-full python3-pip python3-wxgtk4.0 | p7zip-full
117 Mot inconnu : python3-pip => sudo apt install git p7zip-full python3-pip python3-wxgtk4.0 | python3-pip
117 Mot inconnu : python3-wxgtk4 => sudo apt install git p7zip-full python3-pip python3-wxgtk4.0 | python3-wxgtk4

119 Mot inconnu : sudo => sudo pip3 install WoeUSB-ng | sudo
119 Mot inconnu : pip3 => sudo pip3 install WoeUSB-ng | pip3
119 Mot inconnu : install => sudo pip3 install WoeUSB-ng | install
119 Mot inconnu : WoeUSB-ng => sudo pip3 install WoeUSB-ng | woeusb-ng

121 Mot inconnu : edit => (Fin de l'edit, je laisse les modérateurs bien ranger cet info sur cette page si cela s'avère utile) | edit
121 Accord de genre erroné : « info » est féminin. => (Fin de l'edit, je laisse les modérateurs bien ranger cet info sur cette page si cela s'avère utile) | cet => suggestions : ['cette']

123 Mot inconnu : bootable => Il existe aussi un logiciel dédié exclusivement à la création de clé USB bootable de Windows : WOEUSB [[https://www.zupimages.net/up/20/15/z30i.jpg|(ressemble à Rufus sous Windows selon cet image jointe)]]. Il faut l'installer par PPA : | bootable
123 Mot inconnu : WOEUSB => Il existe aussi un logiciel dédié exclusivement à la création de clé USB bootable de Windows : WOEUSB [[https://www.zupimages.net/up/20/15/z30i.jpg|(ressemble à Rufus sous Windows selon cet image jointe)]]. Il faut l'installer par PPA : | woeusb
123 Mot inconnu : Rufus => Il existe aussi un logiciel dédié exclusivement à la création de clé USB bootable de Windows : WOEUSB [[https://www.zupimages.net/up/20/15/z30i.jpg|(ressemble à Rufus sous Windows selon cet image jointe)]]. Il faut l'installer par PPA : | rufus
123 Accord de genre erroné : « image » est féminin. => Il existe aussi un logiciel dédié exclusivement à la création de clé USB bootable de Windows : WOEUSB [[https://www.zupimages.net/up/20/15/z30i.jpg|(ressemble à Rufus sous Windows selon cet image jointe)]]. Il faut l'installer par PPA : | cet => suggestions : ['cette']
123 Accord de genre erroné : « cet » est un déterminant masculin. => Il existe aussi un logiciel dédié exclusivement à la création de clé USB bootable de Windows : WOEUSB [[https://www.zupimages.net/up/20/15/z30i.jpg|(ressemble à Rufus sous Windows selon cet image jointe)]]. Il faut l'installer par PPA : | image => suggestions : ['imagé']

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      * pour Nettoyer complètement tout le périphérique de stockage USB, puis créer un périphérique USB Windows amorçable à partir de zéro en ligne de commande. |       => suggestions : ['']

132 Mot inconnu : device => device correspond à la clé USB (par exemple /dev/sdc si deux disques durs sont présents dans l'unité centrale). | device

134 Mot inconnu : NTFS => Il est nécessaire d'utiliser le format NTFS car le fichier d'installation de windows10 a une taille  dépassant 4 Go. | ntfs
134 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Il est nécessaire d'utiliser le format NTFS car le fichier d'installation de windows10 a une taille  dépassant 4 Go. |  car => suggestions : [', car']
134 Mot inconnu : windows10 => Il est nécessaire d'utiliser le format NTFS car le fichier d'installation de windows10 a une taille  dépassant 4 Go. | windows10
134 Espace(s) surnuméraire(s) à supprimer. => Il est nécessaire d'utiliser le format NTFS car le fichier d'installation de windows10 a une taille  dépassant 4 Go. |    => suggestions : [' ']
134 Si “Go” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Il est nécessaire d'utiliser le format NTFS car le fichier d'installation de windows10 a une taille  dépassant 4 Go. | 4 go => suggestions : ['4\xa0Go']

