
5 Mot inconnu : __ => <note>__**Installation standard d'Ubuntu**__ | __
31 Mot inconnu : SHA256SUMS => Par exemple pour Ubuntu 20.04.3, dans le ficher SHA256SUMS disponible sur https://releases.ubuntu.com/20.04.3 , on peut voir que l'empreinte de ubuntu-20.04.3-desktop-amd64.iso est ''5fdebc435ded46ae99136ca875afc6f05bde217be7dd018e1841924f71db46b5''. | sha256sums
31 Pas d’espace avant une virgule. => Par exemple pour Ubuntu 20.04.3, dans le ficher SHA256SUMS disponible sur https://releases.ubuntu.com/20.04.3 , on peut voir que l'empreinte de ubuntu-20.04.3-desktop-amd64.iso est ''5fdebc435ded46ae99136ca875afc6f05bde217be7dd018e1841924f71db46b5''. |  , => suggestions : [',']
31 Élision de l’article devant un mot commençant par une voyelle. => Par exemple pour Ubuntu 20.04.3, dans le ficher SHA256SUMS disponible sur https://releases.ubuntu.com/20.04.3 , on peut voir que l'empreinte de ubuntu-20.04.3-desktop-amd64.iso est ''5fdebc435ded46ae99136ca875afc6f05bde217be7dd018e1841924f71db46b5''. | de  => suggestions : ['d’']
31 Mot inconnu : ubuntu-20 => Par exemple pour Ubuntu 20.04.3, dans le ficher SHA256SUMS disponible sur https://releases.ubuntu.com/20.04.3 , on peut voir que l'empreinte de ubuntu-20.04.3-desktop-amd64.iso est ''5fdebc435ded46ae99136ca875afc6f05bde217be7dd018e1841924f71db46b5''. | ubuntu-20
31 Mot inconnu : desktop-amd64 => Par exemple pour Ubuntu 20.04.3, dans le ficher SHA256SUMS disponible sur https://releases.ubuntu.com/20.04.3 , on peut voir que l'empreinte de ubuntu-20.04.3-desktop-amd64.iso est ''5fdebc435ded46ae99136ca875afc6f05bde217be7dd018e1841924f71db46b5''. | desktop-amd64
31 Mot inconnu : iso => Par exemple pour Ubuntu 20.04.3, dans le ficher SHA256SUMS disponible sur https://releases.ubuntu.com/20.04.3 , on peut voir que l'empreinte de ubuntu-20.04.3-desktop-amd64.iso est ''5fdebc435ded46ae99136ca875afc6f05bde217be7dd018e1841924f71db46b5''. | iso
31 Guillemets typographiques ouvrants. => Par exemple pour Ubuntu 20.04.3, dans le ficher SHA256SUMS disponible sur https://releases.ubuntu.com/20.04.3 , on peut voir que l'empreinte de ubuntu-20.04.3-desktop-amd64.iso est ''5fdebc435ded46ae99136ca875afc6f05bde217be7dd018e1841924f71db46b5''. | '' => suggestions : ['«\xa0', '“']
31 Mot inconnu : fdebc435ded46ae99136ca875afc6f05bde217be7dd018e1841924f71db46b5 => Par exemple pour Ubuntu 20.04.3, dans le ficher SHA256SUMS disponible sur https://releases.ubuntu.com/20.04.3 , on peut voir que l'empreinte de ubuntu-20.04.3-desktop-amd64.iso est ''5fdebc435ded46ae99136ca875afc6f05bde217be7dd018e1841924f71db46b5''. | fdebc435ded46ae99136ca875afc6f05bde217be7dd018e1841924f71db46b5
31 Guillemets typographiques fermants. => Par exemple pour Ubuntu 20.04.3, dans le ficher SHA256SUMS disponible sur https://releases.ubuntu.com/20.04.3 , on peut voir que l'empreinte de ubuntu-20.04.3-desktop-amd64.iso est ''5fdebc435ded46ae99136ca875afc6f05bde217be7dd018e1841924f71db46b5''. | '' => suggestions : ['\xa0»', '”']

35 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => ===== Vérifier l'intégrité d'un fichier .iso ===== |  . => suggestions : ['. ', '.']
35 Mot inconnu : iso => ===== Vérifier l'intégrité d'un fichier .iso ===== | iso

39 Espace(s) surnuméraire(s) à supprimer. => === Méthode graphique  === |    => suggestions : [' ']

53 Mot inconnu : shasum => shasum: ubuntu-14.04.3-desktop-i386.iso:  | shasum
53 Mot inconnu : ubuntu-14 => shasum: ubuntu-14.04.3-desktop-i386.iso:  | ubuntu-14
53 Mot inconnu : desktop-i386 => shasum: ubuntu-14.04.3-desktop-i386.iso:  | desktop-i386
53 Mot inconnu : iso => shasum: ubuntu-14.04.3-desktop-i386.iso:  | iso
53 Espace(s) en fin de ligne à supprimer. => shasum: ubuntu-14.04.3-desktop-i386.iso:  |   => suggestions : ['']

54 Mot inconnu : ubuntu-14 => ubuntu-14.04.3-desktop-i386.iso: FAILED open or read  | ubuntu-14
54 Mot inconnu : desktop-i386 => ubuntu-14.04.3-desktop-i386.iso: FAILED open or read  | desktop-i386
54 Mot inconnu : iso => ubuntu-14.04.3-desktop-i386.iso: FAILED open or read  | iso
54 Mot inconnu : FAILED => ubuntu-14.04.3-desktop-i386.iso: FAILED open or read  | failed
54 Mot inconnu : read => ubuntu-14.04.3-desktop-i386.iso: FAILED open or read  | read
54 Espace(s) en fin de ligne à supprimer. => ubuntu-14.04.3-desktop-i386.iso: FAILED open or read  |   => suggestions : ['']

55 Mot inconnu : shasum => shasum: ubuntu-14.04.3-server-amd64.iso: Aucun fichier ou dossier de ce type  | shasum
55 Mot inconnu : ubuntu-14 => shasum: ubuntu-14.04.3-server-amd64.iso: Aucun fichier ou dossier de ce type  | ubuntu-14
55 Mot inconnu : server-amd64 => shasum: ubuntu-14.04.3-server-amd64.iso: Aucun fichier ou dossier de ce type  | server-amd64
55 Mot inconnu : iso => shasum: ubuntu-14.04.3-server-amd64.iso: Aucun fichier ou dossier de ce type  | iso
55 Espace(s) en fin de ligne à supprimer. => shasum: ubuntu-14.04.3-server-amd64.iso: Aucun fichier ou dossier de ce type  |   => suggestions : ['']

56 Mot inconnu : ubuntu-14 => ubuntu-14.04.3-server-amd64.iso: FAILED open or read  | ubuntu-14
56 Mot inconnu : server-amd64 => ubuntu-14.04.3-server-amd64.iso: FAILED open or read  | server-amd64
56 Mot inconnu : iso => ubuntu-14.04.3-server-amd64.iso: FAILED open or read  | iso
56 Mot inconnu : FAILED => ubuntu-14.04.3-server-amd64.iso: FAILED open or read  | failed
56 Mot inconnu : read => ubuntu-14.04.3-server-amd64.iso: FAILED open or read  | read
56 Espace(s) en fin de ligne à supprimer. => ubuntu-14.04.3-server-amd64.iso: FAILED open or read  |   => suggestions : ['']

57 Mot inconnu : shasum => shasum: ubuntu-14.04.3-server-i386.iso: Aucun fichier ou dossier de ce type  | shasum
57 Mot inconnu : ubuntu-14 => shasum: ubuntu-14.04.3-server-i386.iso: Aucun fichier ou dossier de ce type  | ubuntu-14
57 Mot inconnu : server-i386 => shasum: ubuntu-14.04.3-server-i386.iso: Aucun fichier ou dossier de ce type  | server-i386
57 Mot inconnu : iso => shasum: ubuntu-14.04.3-server-i386.iso: Aucun fichier ou dossier de ce type  | iso
57 Espace(s) en fin de ligne à supprimer. => shasum: ubuntu-14.04.3-server-i386.iso: Aucun fichier ou dossier de ce type  |   => suggestions : ['']

58 Mot inconnu : ubuntu-14 => ubuntu-14.04.3-server-i386.iso: FAILED open or read  | ubuntu-14
58 Mot inconnu : server-i386 => ubuntu-14.04.3-server-i386.iso: FAILED open or read  | server-i386
58 Mot inconnu : iso => ubuntu-14.04.3-server-i386.iso: FAILED open or read  | iso
58 Mot inconnu : FAILED => ubuntu-14.04.3-server-i386.iso: FAILED open or read  | failed
58 Mot inconnu : read => ubuntu-14.04.3-server-i386.iso: FAILED open or read  | read
58 Espace(s) en fin de ligne à supprimer. => ubuntu-14.04.3-server-i386.iso: FAILED open or read  |   => suggestions : ['']

59 Mot inconnu : shasum => shasum: wubi.exe: Aucun fichier ou dossier de ce type  | shasum
59 Mot inconnu : wubi => shasum: wubi.exe: Aucun fichier ou dossier de ce type  | wubi
59 Mot inconnu : exe => shasum: wubi.exe: Aucun fichier ou dossier de ce type  | exe
59 Espace(s) en fin de ligne à supprimer. => shasum: wubi.exe: Aucun fichier ou dossier de ce type  |   => suggestions : ['']

60 Mot inconnu : wubi => wubi.exe: FAILED open or read  | wubi
60 Mot inconnu : exe => wubi.exe: FAILED open or read  | exe
60 Mot inconnu : FAILED => wubi.exe: FAILED open or read  | failed
60 Mot inconnu : read => wubi.exe: FAILED open or read  | read
60 Espace(s) en fin de ligne à supprimer. => wubi.exe: FAILED open or read  |   => suggestions : ['']

61 Mot inconnu : shasum => shasum: WARNING: 4 listed files could not be read </code> | shasum
61 Mot inconnu : listed => shasum: WARNING: 4 listed files could not be read </code> | listed
61 Mot inconnu : could => shasum: WARNING: 4 listed files could not be read </code> | could
61 Mot inconnu : not => shasum: WARNING: 4 listed files could not be read </code> | not
61 Mot inconnu : read => shasum: WARNING: 4 listed files could not be read </code> | read

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Repérer la ligne correspondant à votre image ISO. //(La 1ère ligne dans notre exemple)//. |    => suggestions : ['']
62 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Repérer la ligne correspondant à votre image ISO. //(La 1ère ligne dans notre exemple)//. |  -  => suggestions : [' – ', ' — ', ' − ']
62 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. =>   - Repérer la ligne correspondant à votre image ISO. //(La 1ère ligne dans notre exemple)//. | 1ère => suggestions : ['1ʳᵉ']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Si celle-ci se termine par **OK**, l'image est intègre. |      => suggestions : ['']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Si celle-ci se termine par ** FAILED** sans autre raison, l'image ISO d'Ubuntu présente des erreurs. |      => suggestions : ['']
64 Mot inconnu : FAILED =>     * Si celle-ci se termine par ** FAILED** sans autre raison, l'image ISO d'Ubuntu présente des erreurs. | failed

66 Mot inconnu : SHA256SUMS => <note>Pour les plus précautionneux, on peut vérifier également l'intégrité et la provenance du fichier SHA256SUMS grâce au fichier SHA256SUMS.gpg à télécharger également dans le même dossier et qui est la signature sécurisée du fichier SHA256SUMS. Pour cela tapez : | sha256sums
66 Mot inconnu : SHA256SUMS => <note>Pour les plus précautionneux, on peut vérifier également l'intégrité et la provenance du fichier SHA256SUMS grâce au fichier SHA256SUMS.gpg à télécharger également dans le même dossier et qui est la signature sécurisée du fichier SHA256SUMS. Pour cela tapez : | sha256sums
66 Mot inconnu : gpg => <note>Pour les plus précautionneux, on peut vérifier également l'intégrité et la provenance du fichier SHA256SUMS grâce au fichier SHA256SUMS.gpg à télécharger également dans le même dossier et qui est la signature sécurisée du fichier SHA256SUMS. Pour cela tapez : | gpg
66 Mot inconnu : SHA256SUMS => <note>Pour les plus précautionneux, on peut vérifier également l'intégrité et la provenance du fichier SHA256SUMS grâce au fichier SHA256SUMS.gpg à télécharger également dans le même dossier et qui est la signature sécurisée du fichier SHA256SUMS. Pour cela tapez : | sha256sums

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      gpg --verify SHA256SUMS.gpg SHA256SUMS |       => suggestions : ['']
68 Mot inconnu : gpg =>      gpg --verify SHA256SUMS.gpg SHA256SUMS | gpg
68 Mot inconnu : verify =>      gpg --verify SHA256SUMS.gpg SHA256SUMS | verify
68 Mot inconnu : SHA256SUMS =>      gpg --verify SHA256SUMS.gpg SHA256SUMS | sha256sums
68 Mot inconnu : gpg =>      gpg --verify SHA256SUMS.gpg SHA256SUMS | gpg
68 Mot inconnu : SHA256SUMS =>      gpg --verify SHA256SUMS.gpg SHA256SUMS | sha256sums

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   gpg --keyserver hkp://keyserver.ubuntu.com --recv-keys 0xFBB75451 |    => suggestions : ['']
71 Mot inconnu : gpg =>   gpg --keyserver hkp://keyserver.ubuntu.com --recv-keys 0xFBB75451 | gpg
71 Mot inconnu : keyserver =>   gpg --keyserver hkp://keyserver.ubuntu.com --recv-keys 0xFBB75451 | keyserver
71 Mot inconnu : hkp =>   gpg --keyserver hkp://keyserver.ubuntu.com --recv-keys 0xFBB75451 | hkp
71 Mot inconnu : recv-keys =>   gpg --keyserver hkp://keyserver.ubuntu.com --recv-keys 0xFBB75451 | recv-keys
71 Mot inconnu : xFBB75451 =>   gpg --keyserver hkp://keyserver.ubuntu.com --recv-keys 0xFBB75451 | xfbb75451

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  //NB: 0xFBB75451 est le numéro de la clé (valide en 2014) inscrit et appelé par chaque fichier gpg// |   => suggestions : ['']
73 Mot inconnu : NB =>  //NB: 0xFBB75451 est le numéro de la clé (valide en 2014) inscrit et appelé par chaque fichier gpg// | nb
73 Mot inconnu : xFBB75451 =>  //NB: 0xFBB75451 est le numéro de la clé (valide en 2014) inscrit et appelé par chaque fichier gpg// | xfbb75451
73 Mot inconnu : gpg =>  //NB: 0xFBB75451 est le numéro de la clé (valide en 2014) inscrit et appelé par chaque fichier gpg// | gpg

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   gpg --no-default-keyring --keyring /usr/share/keyrings/ubuntu-archive-keyring.gpg --verify SHA256SUMS.gpg SHA256SUMS |    => suggestions : ['']
76 Mot inconnu : gpg =>   gpg --no-default-keyring --keyring /usr/share/keyrings/ubuntu-archive-keyring.gpg --verify SHA256SUMS.gpg SHA256SUMS | gpg
76 Mot inconnu : no-default-keyring =>   gpg --no-default-keyring --keyring /usr/share/keyrings/ubuntu-archive-keyring.gpg --verify SHA256SUMS.gpg SHA256SUMS | no-default-keyring
76 Mot inconnu : keyring =>   gpg --no-default-keyring --keyring /usr/share/keyrings/ubuntu-archive-keyring.gpg --verify SHA256SUMS.gpg SHA256SUMS | keyring
76 Mot inconnu : verify =>   gpg --no-default-keyring --keyring /usr/share/keyrings/ubuntu-archive-keyring.gpg --verify SHA256SUMS.gpg SHA256SUMS | verify
76 Mot inconnu : SHA256SUMS =>   gpg --no-default-keyring --keyring /usr/share/keyrings/ubuntu-archive-keyring.gpg --verify SHA256SUMS.gpg SHA256SUMS | sha256sums
76 Mot inconnu : gpg =>   gpg --no-default-keyring --keyring /usr/share/keyrings/ubuntu-archive-keyring.gpg --verify SHA256SUMS.gpg SHA256SUMS | gpg
76 Mot inconnu : SHA256SUMS =>   gpg --no-default-keyring --keyring /usr/share/keyrings/ubuntu-archive-keyring.gpg --verify SHA256SUMS.gpg SHA256SUMS | sha256sums

77 Mot inconnu : NB => //NB: La clé apparaîtra comme n'étant pas certifiée avec une signature de confiance. Si votre système est intègre cela ne pose pas de problème.// | nb

79 Espace(s) en fin de ligne à supprimer. => </note>  |   => suggestions : ['']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://getmd5checker.com/download/|MD5Checker]]. Limitée à l'algorithme MD5 seulement. |    => suggestions : ['']
85 Mot inconnu : MD5 =>   * **(en)** [[http://getmd5checker.com/download/|MD5Checker]]. Limitée à l'algorithme MD5 seulement. | md5

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  [[https://md5summer.org/|MD5Summer]], Logiciel libre compatible avec Windows XP, Vista et Windows 7 (dans sa version 1.2.0.11). Limitée à l'algorithme MD5 seulement. |    => suggestions : ['']
86 Mot inconnu : XP =>   *  [[https://md5summer.org/|MD5Summer]], Logiciel libre compatible avec Windows XP, Vista et Windows 7 (dans sa version 1.2.0.11). Limitée à l'algorithme MD5 seulement. | xp
86 Mot inconnu : Vista =>   *  [[https://md5summer.org/|MD5Summer]], Logiciel libre compatible avec Windows XP, Vista et Windows 7 (dans sa version 1.2.0.11). Limitée à l'algorithme MD5 seulement. | vista
86 Mot inconnu : MD5 =>   *  [[https://md5summer.org/|MD5Summer]], Logiciel libre compatible avec Windows XP, Vista et Windows 7 (dans sa version 1.2.0.11). Limitée à l'algorithme MD5 seulement. | md5

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ** (en)** [[https://raylin.wordpress.com/downloads/md5-sha-1-checksum-utility/|MD5 & SHA Checksum Utility]] prenant en compte aussi l'algorithme SHA256. |    => suggestions : ['']
87 Mot inconnu : MD5 =>   * ** (en)** [[https://raylin.wordpress.com/downloads/md5-sha-1-checksum-utility/|MD5 & SHA Checksum Utility]] prenant en compte aussi l'algorithme SHA256. | md5
87 Mot inconnu : SHA =>   * ** (en)** [[https://raylin.wordpress.com/downloads/md5-sha-1-checksum-utility/|MD5 & SHA Checksum Utility]] prenant en compte aussi l'algorithme SHA256. | sha
87 Mot inconnu : Checksum =>   * ** (en)** [[https://raylin.wordpress.com/downloads/md5-sha-1-checksum-utility/|MD5 & SHA Checksum Utility]] prenant en compte aussi l'algorithme SHA256. | checksum
87 Mot inconnu : Utility =>   * ** (en)** [[https://raylin.wordpress.com/downloads/md5-sha-1-checksum-utility/|MD5 & SHA Checksum Utility]] prenant en compte aussi l'algorithme SHA256. | utility
87 Mot inconnu : SHA256 =>   * ** (en)** [[https://raylin.wordpress.com/downloads/md5-sha-1-checksum-utility/|MD5 & SHA Checksum Utility]] prenant en compte aussi l'algorithme SHA256. | sha256

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://www.mstsoftware.com/Freeware|mst MD5]]. Limitée à l'algorithme MD5 seulement. |    => suggestions : ['']
88 Mot inconnu : mst =>   * **(en)** [[http://www.mstsoftware.com/Freeware|mst MD5]]. Limitée à l'algorithme MD5 seulement. | mst
88 Mot inconnu : MD5 =>   * **(en)** [[http://www.mstsoftware.com/Freeware|mst MD5]]. Limitée à l'algorithme MD5 seulement. | md5
88 Mot inconnu : MD5 =>   * **(en)** [[http://www.mstsoftware.com/Freeware|mst MD5]]. Limitée à l'algorithme MD5 seulement. | md5

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Une méthode simple et utile en installant [[http://www.spiroo.be/7zip/|7zip]] le logiciel libre de compression/décompression vous permettra de contrôler différente somme de contrôle par un simple clic droit sur le fichier/iso à contrôler.    |    => suggestions : ['']
89 Mot inconnu : iso =>   * Une méthode simple et utile en installant [[http://www.spiroo.be/7zip/|7zip]] le logiciel libre de compression/décompression vous permettra de contrôler différente somme de contrôle par un simple clic droit sur le fichier/iso à contrôler.    | iso
89 Espace(s) en fin de ligne à supprimer. =>   * Une méthode simple et utile en installant [[http://www.spiroo.be/7zip/|7zip]] le logiciel libre de compression/décompression vous permettra de contrôler différente somme de contrôle par un simple clic droit sur le fichier/iso à contrôler.    |     => suggestions : ['']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Faites glisser votre image sur la fenêtre par cliquer-déposer |    => suggestions : ['']
102 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Faites glisser votre image sur la fenêtre par cliquer-déposer |  -  => suggestions : [' – ', ' — ', ' − ']

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Faites Entrée et attendez quelques minutes |    => suggestions : ['']
103 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Faites Entrée et attendez quelques minutes |  -  => suggestions : [' – ', ' — ', ' − ']
103 Après le verbe “faire”, ce verbe devrait être à l’infinitif. =>   - Faites Entrée et attendez quelques minutes | entrée => suggestions : ['Entrer']

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Comparez le résultat renvoyé avec les [[#liste des empreintes|empreintes données ci-dessus]]. |    => suggestions : ['']
104 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Comparez le résultat renvoyé avec les [[#liste des empreintes|empreintes données ci-dessus]]. |  -  => suggestions : [' – ', ' — ', ' − ']

107 Guillemets typographiques ouvrants. => Le fichier "iso" est un conteneur dans lequel se trouvent les fichiers nécessaires à l'exploitation de Ubuntu.  Afin de vérifier l'intégrité de ce conteneur, les distributeurs de Ubuntu mettent à votre disposition une **empreinte**, sorte d'empreinte « digitale » numérique d'un fichier informatique.\\ | " => suggestions : ['«\xa0', '“']
107 Mot inconnu : iso => Le fichier "iso" est un conteneur dans lequel se trouvent les fichiers nécessaires à l'exploitation de Ubuntu.  Afin de vérifier l'intégrité de ce conteneur, les distributeurs de Ubuntu mettent à votre disposition une **empreinte**, sorte d'empreinte « digitale » numérique d'un fichier informatique.\\ | iso
107 Guillemets typographiques fermants. => Le fichier "iso" est un conteneur dans lequel se trouvent les fichiers nécessaires à l'exploitation de Ubuntu.  Afin de vérifier l'intégrité de ce conteneur, les distributeurs de Ubuntu mettent à votre disposition une **empreinte**, sorte d'empreinte « digitale » numérique d'un fichier informatique.\\ | " => suggestions : ['\xa0»', '”']
107 Espace(s) surnuméraire(s) à supprimer. => Le fichier "iso" est un conteneur dans lequel se trouvent les fichiers nécessaires à l'exploitation de Ubuntu.  Afin de vérifier l'intégrité de ce conteneur, les distributeurs de Ubuntu mettent à votre disposition une **empreinte**, sorte d'empreinte « digitale » numérique d'un fichier informatique.\\ |    => suggestions : [' ']

108 Espace(s) surnuméraire(s) à supprimer. => Tout comme chaque personne a des empreintes digitales uniques, chaque fichier informatique a une empreinte unique.  À la moindre corruption du fichier, l'empreinte d'un fichier change.  En vérifiant l'intégrité de votre fichier, vous vous assurez de disposer d'une copie conforme, d'un clone parfait du fichier d'origine. |    => suggestions : [' ']
108 Espace(s) surnuméraire(s) à supprimer. => Tout comme chaque personne a des empreintes digitales uniques, chaque fichier informatique a une empreinte unique.  À la moindre corruption du fichier, l'empreinte d'un fichier change.  En vérifiant l'intégrité de votre fichier, vous vous assurez de disposer d'une copie conforme, d'un clone parfait du fichier d'origine. |    => suggestions : [' ']

111 Espace(s) surnuméraire(s) à supprimer. => L'utilitaire ne calcule pas, d'un point de vue mathématique, une empreinte aussi unique que ça. En d'autres termes il est possible qu'une même empreinte corresponde à plusieurs fichiers. La seule empreinte réellement unique est la suite des bits du fichier lui-même. Toutefois, la probabilité que deux fichiers non identiques partagent une même empreinte est faible.  C'est la raison pour laquelle la comparaison d'empreintes constitue une bonne méthode pour vérifier l'intégrité de l'image ISO téléchargée. |    => suggestions : [' ']

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://help.ubuntu.com/community/VerifyIsoHowto|VerifyIsoHowto]] (site officiel) |    => suggestions : ['']

116 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://help.ubuntu.com/community/UbuntuHashes|UbuntuHashes]] (empreinte à partir du site officiel) |    => suggestions : ['']
