
5 Mot inconnu : lexmark-08z-series => ======Installer le pilote lexmark-08z-series====== | lexmark-08z-series
54 Mot inconnu : sudo => L'exécution de la ligne ''sudo dpkg...'' à l'étape précédente vous a normalement donné un message vous informant d'une erreur à la **ligne 196** du fichier **/etc/apparmor.d/usr.sbin.cupsd**. | sudo
54 Mot inconnu : dpkg => L'exécution de la ligne ''sudo dpkg...'' à l'étape précédente vous a normalement donné un message vous informant d'une erreur à la **ligne 196** du fichier **/etc/apparmor.d/usr.sbin.cupsd**. | dpkg
54 Typographie : points de suspension. Utilisez le caractère dédié. => L'exécution de la ligne ''sudo dpkg...'' à l'étape précédente vous a normalement donné un message vous informant d'une erreur à la **ligne 196** du fichier **/etc/apparmor.d/usr.sbin.cupsd**. | ... => suggestions : ['…']
54 Guillemets typographiques fermants. => L'exécution de la ligne ''sudo dpkg...'' à l'étape précédente vous a normalement donné un message vous informant d'une erreur à la **ligne 196** du fichier **/etc/apparmor.d/usr.sbin.cupsd**. | '' => suggestions : ['\xa0»', '”']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -Effectuer la combinaison de touches **Ctrl + _ (tiret du 8)**, saisir le numéro de ligne **196** puis valider avec la touche **Entrée**. |    => suggestions : ['']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -Utiliser alors les flèches et la touche **Suppr** de votre clavier pour corriger la ligne comme indiqué ci-dessus. |    => suggestions : ['']
65 Mot inconnu : Suppr =>   -Utiliser alors les flèches et la touche **Suppr** de votre clavier pour corriger la ligne comme indiqué ci-dessus. | suppr

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -Enregistrer les modifications avec les touches **Ctrl + O (la lettre O)** puis valider avec **Entrée**. |    => suggestions : ['']

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -Enfin quitter **nano** avec la combinaison **Ctrl + X**. |    => suggestions : ['']
67 Mot inconnu : nano =>   -Enfin quitter **nano** avec la combinaison **Ctrl + X**. | nano

77 Mot inconnu : wi-fi => Si vous avez une imprimante wi-fi, commencez par la débrancher du port USB, si elle y est connectée, vérifiez que le wi-fi est actif sur l'imprimante (voyant vert). | wi-fi
77 Mot inconnu : wi-fi => Si vous avez une imprimante wi-fi, commencez par la débrancher du port USB, si elle y est connectée, vérifiez que le wi-fi est actif sur l'imprimante (voyant vert). | wi-fi

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //Ajouter// et saisissez l'URI : "[[socket://192.168.IP_de_votre_imprimante:9100]]" puis sur //Suivant//, |    => suggestions : ['']
79 Grands nombres : utilisez des espaces insécables plutôt que des points. =>   * //Ajouter// et saisissez l'URI : "[[socket://192.168.IP_de_votre_imprimante:9100]]" puis sur //Suivant//, | 192.168 => suggestions : ['192\xa0168']
79 Il manque un espace. =>   * //Ajouter// et saisissez l'URI : "[[socket://192.168.IP_de_votre_imprimante:9100]]" puis sur //Suivant//, | 9100 => suggestions : [' 9100']

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Fournissez le fichier **PPD** correspondant à votre imprimante, que vous trouverez dans le dossier ///usr/lexinkjet/08zero/etc///. |    => suggestions : ['']
80 Mot inconnu : PPD =>   *  Fournissez le fichier **PPD** correspondant à votre imprimante, que vous trouverez dans le dossier ///usr/lexinkjet/08zero/etc///. | ppd

84 Mot inconnu : __________ => __________ | __________
