
7 Mot inconnu : Heyu => Heyu permet de piloter le module CM11A. | heyu
27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     1. In directory /home/manu/.heyu/ |      => suggestions : ['']
27 Mot inconnu : directory =>     1. In directory /home/manu/.heyu/ | directory

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     2. In subdirectory .heyu/ under a different user home directory |      => suggestions : ['']
28 Mot inconnu : subdirectory =>     2. In subdirectory .heyu/ under a different user home directory | subdirectory
28 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>     2. In subdirectory .heyu/ under a different user home directory |  . => suggestions : ['. ', '.']
28 Mot inconnu : heyu =>     2. In subdirectory .heyu/ under a different user home directory | heyu
28 Mot inconnu : under =>     2. In subdirectory .heyu/ under a different user home directory | under
28 Mot inconnu : different =>     2. In subdirectory .heyu/ under a different user home directory | different
28 Mot inconnu : directory =>     2. In subdirectory .heyu/ under a different user home directory | directory

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     3. In directory /etc/heyu  (for system-wide access) |      => suggestions : ['']
29 Mot inconnu : directory =>     3. In directory /etc/heyu  (for system-wide access) | directory
29 Espace(s) surnuméraire(s) à supprimer. =>     3. In directory /etc/heyu  (for system-wide access) |    => suggestions : [' ']
29 Mot inconnu : system-wide =>     3. In directory /etc/heyu  (for system-wide access) | system-wide
29 Mot inconnu : access =>     3. In directory /etc/heyu  (for system-wide access) | access

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     4. No thanks, I'll take care of it myself |      => suggestions : ['']
30 Mot inconnu : thanks =>     4. No thanks, I'll take care of it myself | thanks
30 Mot inconnu : I'll =>     4. No thanks, I'll take care of it myself | i'll
30 Mot inconnu : take =>     4. No thanks, I'll take care of it myself | take
30 Mot inconnu : care =>     4. No thanks, I'll take care of it myself | care
30 Mot inconnu : of =>     4. No thanks, I'll take care of it myself | of
30 Mot inconnu : it =>     4. No thanks, I'll take care of it myself | it
30 Mot inconnu : myself =>     4. No thanks, I'll take care of it myself | myself

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Choice [1, 2, 3, or 4] ? 3 |    => suggestions : ['']
31 Mot inconnu : Choice =>   Choice [1, 2, 3, or 4] ? 3 | choice

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Specify /dev/ttyS0, /dev/ttyS1, etc.\\  |    => suggestions : ['']
33 Mot inconnu : Specify =>   Specify /dev/ttyS0, /dev/ttyS1, etc.\\  | specify
33 Espace(s) en fin de ligne à supprimer. =>   Specify /dev/ttyS0, /dev/ttyS1, etc.\\  |   => suggestions : ['']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   To which port is the CM11 attached?\\  |    => suggestions : ['']
34 Mot inconnu : which =>   To which port is the CM11 attached?\\  | which
34 Mot inconnu : is =>   To which port is the CM11 attached?\\  | is
34 Mot inconnu : the =>   To which port is the CM11 attached?\\  | the
34 Mot inconnu : CM11 =>   To which port is the CM11 attached?\\  | cm11
34 Mot inconnu : attached =>   To which port is the CM11 attached?\\  | attached
34 Espace(s) en fin de ligne à supprimer. =>   To which port is the CM11 attached?\\  |   => suggestions : ['']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /dev/ttyS0  |    => suggestions : ['']
35 Espace(s) en fin de ligne à supprimer. =>   /dev/ttyS0  |   => suggestions : ['']

45 Mot inconnu : heyu => On va vérifier que heyu fonctionne correctement. | heyu

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   heyu info |    => suggestions : ['']
47 Mot inconnu : heyu =>   heyu info | heyu

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   starting heyu_relay |    => suggestions : ['']
49 Mot inconnu : starting =>   starting heyu_relay | starting
49 Mot inconnu : heyu_relay =>   starting heyu_relay | heyu_relay

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   2007/12/18 12:20:08  Poll received unknown value (1 bytes), leading byte = a5 |    => suggestions : ['']
50 Espace(s) surnuméraire(s) à supprimer. =>   2007/12/18 12:20:08  Poll received unknown value (1 bytes), leading byte = a5 |    => suggestions : [' ']
50 Mot inconnu : Poll =>   2007/12/18 12:20:08  Poll received unknown value (1 bytes), leading byte = a5 | poll
50 Mot inconnu : received =>   2007/12/18 12:20:08  Poll received unknown value (1 bytes), leading byte = a5 | received
50 Mot inconnu : unknown =>   2007/12/18 12:20:08  Poll received unknown value (1 bytes), leading byte = a5 | unknown
50 Accord de nombre erroné avec « 1 » : « bytes » devrait être au singulier. =>   2007/12/18 12:20:08  Poll received unknown value (1 bytes), leading byte = a5 | bytes => suggestions : ['byte']
50 Mot inconnu : leading =>   2007/12/18 12:20:08  Poll received unknown value (1 bytes), leading byte = a5 | leading
50 Mot inconnu : a5 =>   2007/12/18 12:20:08  Poll received unknown value (1 bytes), leading byte = a5 | a5

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Heyu version 2.1.3 |    => suggestions : ['']
51 Mot inconnu : Heyu =>   Heyu version 2.1.3 | heyu

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Configuration at /etc/heyu/x10.conf |    => suggestions : ['']
52 Mot inconnu : at =>   Configuration at /etc/heyu/x10.conf | at

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Powerline interface on /dev/ttyS0 |    => suggestions : ['']
53 Mot inconnu : Powerline =>   Powerline interface on /dev/ttyS0 | powerline

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Firmware revision Level = 8 |    => suggestions : ['']
54 Mot inconnu : revision =>   Firmware revision Level = 8 | revision
54 Mot inconnu : Level =>   Firmware revision Level = 8 | level

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Interface battery usage = Unknown (0xFFFF) |    => suggestions : ['']
55 Mot inconnu : battery =>   Interface battery usage = Unknown (0xFFFF) | battery
55 Mot inconnu : Unknown =>   Interface battery usage = Unknown (0xFFFF) | unknown
55 Mot inconnu : xFFFF =>   Interface battery usage = Unknown (0xFFFF) | xffff

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Raw interface clock: Tue, 12:20:08, Day 351 |    => suggestions : ['']
56 Mot inconnu : Raw =>   Raw interface clock: Tue, 12:20:08, Day 351 | raw
56 Mot inconnu : clock =>   Raw interface clock: Tue, 12:20:08, Day 351 | clock
56 Mot inconnu : Day =>   Raw interface clock: Tue, 12:20:08, Day 351 | day

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   (--> Civil Time: Tue  12:20:08  Dec 18 2007 CET) |    => suggestions : ['']
57 Mot inconnu : Time =>   (--> Civil Time: Tue  12:20:08  Dec 18 2007 CET) | time
57 Espace(s) surnuméraire(s) à supprimer. =>   (--> Civil Time: Tue  12:20:08  Dec 18 2007 CET) |    => suggestions : [' ']
57 Espace(s) surnuméraire(s) à supprimer. =>   (--> Civil Time: Tue  12:20:08  Dec 18 2007 CET) |    => suggestions : [' ']
57 Mot inconnu : Dec =>   (--> Civil Time: Tue  12:20:08  Dec 18 2007 CET) | dec

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   No schedule has been uploaded by Heyu. |    => suggestions : ['']
58 Mot inconnu : schedule =>   No schedule has been uploaded by Heyu. | schedule
58 Mot inconnu : has =>   No schedule has been uploaded by Heyu. | has
58 Mot inconnu : been =>   No schedule has been uploaded by Heyu. | been
58 Mot inconnu : uploaded =>   No schedule has been uploaded by Heyu. | uploaded
58 Mot inconnu : by =>   No schedule has been uploaded by Heyu. | by
58 Mot inconnu : Heyu =>   No schedule has been uploaded by Heyu. | heyu

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Housecode = A |    => suggestions : ['']
59 Mot inconnu : Housecode =>   Housecode = A | housecode

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   0 = off, 1 = on,               unit  16.......8...4..1 |    => suggestions : ['']
60 Espace(s) surnuméraire(s) à supprimer. =>   0 = off, 1 = on,               unit  16.......8...4..1 |                 => suggestions : [' ']
60 Espace(s) surnuméraire(s) à supprimer. =>   0 = off, 1 = on,               unit  16.......8...4..1 |    => suggestions : [' ']
60 Typographie : succession de points. Utilisez le caractère dédié. =>   0 = off, 1 = on,               unit  16.......8...4..1 | ....... => suggestions : ['……']
60 Typographie : points de suspension. Utilisez le caractère dédié. =>   0 = off, 1 = on,               unit  16.......8...4..1 | ... => suggestions : ['…']
60 Typographie : un ou trois points ? =>   0 = off, 1 = on,               unit  16.......8...4..1 | .. => suggestions : ['…', '.']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Last addressed device =       0x0000 (0000000000000000) |    => suggestions : ['']
61 Mot inconnu : Last =>   Last addressed device =       0x0000 (0000000000000000) | last
61 Mot inconnu : addressed =>   Last addressed device =       0x0000 (0000000000000000) | addressed
61 Mot inconnu : device =>   Last addressed device =       0x0000 (0000000000000000) | device
61 Mot inconnu : x0000 =>   Last addressed device =       0x0000 (0000000000000000) | x0000
61 Formatage des grands nombres. =>   Last addressed device =       0x0000 (0000000000000000) | 0000000000000000 => suggestions : ['0\xa0000\xa0000\xa0000\xa0000\xa0000', '0000\xa00000\xa00000\xa00000']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Status of monitored devices = 0x0000 (0000000000000000) |    => suggestions : ['']
62 Mot inconnu : of =>   Status of monitored devices = 0x0000 (0000000000000000) | of
62 Mot inconnu : monitored =>   Status of monitored devices = 0x0000 (0000000000000000) | monitored
62 Mot inconnu : devices =>   Status of monitored devices = 0x0000 (0000000000000000) | devices
62 Mot inconnu : x0000 =>   Status of monitored devices = 0x0000 (0000000000000000) | x0000
62 Formatage des grands nombres. =>   Status of monitored devices = 0x0000 (0000000000000000) | 0000000000000000 => suggestions : ['0\xa0000\xa0000\xa0000\xa0000\xa0000', '0000\xa00000\xa00000\xa00000']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Status of dimmed devices =    0x0000 (0000000000000000) |    => suggestions : ['']
63 Mot inconnu : of =>   Status of dimmed devices =    0x0000 (0000000000000000) | of
63 Mot inconnu : dimmed =>   Status of dimmed devices =    0x0000 (0000000000000000) | dimmed
63 Mot inconnu : devices =>   Status of dimmed devices =    0x0000 (0000000000000000) | devices
63 Mot inconnu : x0000 =>   Status of dimmed devices =    0x0000 (0000000000000000) | x0000
63 Formatage des grands nombres. =>   Status of dimmed devices =    0x0000 (0000000000000000) | 0000000000000000 => suggestions : ['0\xa0000\xa0000\xa0000\xa0000\xa0000', '0000\xa00000\xa00000\xa00000']

66 Mot inconnu : Heyu => ===== Installation d'un frontal pour Heyu : domus.Link ===== | heyu
66 Mot inconnu : domus => ===== Installation d'un frontal pour Heyu : domus.Link ===== | domus
66 Mot inconnu : Link => ===== Installation d'un frontal pour Heyu : domus.Link ===== | link

67 Mot inconnu : domus => <note>domus.Link n'est pas fourni par défaut par Ubuntu, il faut le télécharger sur le site : [[http://domus.link.co.pt/|domus.Link]]</note> | domus
67 Mot inconnu : Link => <note>domus.Link n'est pas fourni par défaut par Ubuntu, il faut le télécharger sur le site : [[http://domus.link.co.pt/|domus.Link]]</note> | link
67 Mot inconnu : domus => <note>domus.Link n'est pas fourni par défaut par Ubuntu, il faut le télécharger sur le site : [[http://domus.link.co.pt/|domus.Link]]</note> | domus
67 Mot inconnu : Link => <note>domus.Link n'est pas fourni par défaut par Ubuntu, il faut le télécharger sur le site : [[http://domus.link.co.pt/|domus.Link]]</note> | link

70 Mot inconnu : Heyu => Il faut arrêter Heyu : | heyu

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   heyu stop |    => suggestions : ['']
71 Mot inconnu : heyu =>   heyu stop | heyu

75 Mot inconnu : domuslink-1 => Une fois l'archive récupérée (domuslink-1.0.1.tar.gz), on va l'installer : | domuslink-1
75 Mot inconnu : tar => Une fois l'archive récupérée (domuslink-1.0.1.tar.gz), on va l'installer : | tar
75 Mot inconnu : gz => Une fois l'archive récupérée (domuslink-1.0.1.tar.gz), on va l'installer : | gz

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo tar zxvf domuslink-1.0.1.tar.gz -C /var/www |    => suggestions : ['']
76 Mot inconnu : sudo =>   sudo tar zxvf domuslink-1.0.1.tar.gz -C /var/www | sudo
76 Mot inconnu : tar =>   sudo tar zxvf domuslink-1.0.1.tar.gz -C /var/www | tar
76 Mot inconnu : zxvf =>   sudo tar zxvf domuslink-1.0.1.tar.gz -C /var/www | zxvf
76 Mot inconnu : domuslink-1 =>   sudo tar zxvf domuslink-1.0.1.tar.gz -C /var/www | domuslink-1
76 Mot inconnu : tar =>   sudo tar zxvf domuslink-1.0.1.tar.gz -C /var/www | tar
76 Mot inconnu : gz =>   sudo tar zxvf domuslink-1.0.1.tar.gz -C /var/www | gz

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mv /etc/heyu/x10.conf /etc/heyu/x10.conf.save |    => suggestions : ['']
77 Mot inconnu : mv =>   mv /etc/heyu/x10.conf /etc/heyu/x10.conf.save | mv

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cp /var/www/domus.Link/x10.conf /etc/heyu/ |    => suggestions : ['']
78 Mot inconnu : cp =>   cp /var/www/domus.Link/x10.conf /etc/heyu/ | cp

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chmod +rw /etc/heyu/x10.conf |    => suggestions : ['']
79 Mot inconnu : sudo =>   sudo chmod +rw /etc/heyu/x10.conf | sudo
79 Mot inconnu : chmod =>   sudo chmod +rw /etc/heyu/x10.conf | chmod
79 Mot inconnu : rw =>   sudo chmod +rw /etc/heyu/x10.conf | rw

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chmod +rw /var/www/domus.Link/config.php |    => suggestions : ['']
80 Mot inconnu : sudo =>   sudo chmod +rw /var/www/domus.Link/config.php | sudo
80 Mot inconnu : chmod =>   sudo chmod +rw /var/www/domus.Link/config.php | chmod
80 Mot inconnu : rw =>   sudo chmod +rw /var/www/domus.Link/config.php | rw

83 Mot inconnu : ZoneMinder => ===== Installation de ZoneMinder ===== | zoneminder

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install -y zoneminder apache2 php5-mysql libapache2-mod-php5 mysql-server ffmpeg |    => suggestions : ['']
87 Mot inconnu : sudo =>   sudo apt-get install -y zoneminder apache2 php5-mysql libapache2-mod-php5 mysql-server ffmpeg | sudo
87 Mot inconnu : apt-get =>   sudo apt-get install -y zoneminder apache2 php5-mysql libapache2-mod-php5 mysql-server ffmpeg | apt-get
87 Mot inconnu : install =>   sudo apt-get install -y zoneminder apache2 php5-mysql libapache2-mod-php5 mysql-server ffmpeg | install
87 Il manque un espace à côté du tiret. =>   sudo apt-get install -y zoneminder apache2 php5-mysql libapache2-mod-php5 mysql-server ffmpeg |  - => suggestions : [' – ', ' — ']
87 Mot inconnu : zoneminder =>   sudo apt-get install -y zoneminder apache2 php5-mysql libapache2-mod-php5 mysql-server ffmpeg | zoneminder
87 Mot inconnu : apache2 =>   sudo apt-get install -y zoneminder apache2 php5-mysql libapache2-mod-php5 mysql-server ffmpeg | apache2
87 Mot inconnu : php5-mysql =>   sudo apt-get install -y zoneminder apache2 php5-mysql libapache2-mod-php5 mysql-server ffmpeg | php5-mysql
87 Mot inconnu : libapache2-mod-php5 =>   sudo apt-get install -y zoneminder apache2 php5-mysql libapache2-mod-php5 mysql-server ffmpeg | libapache2-mod-php5
87 Mot inconnu : mysql-server =>   sudo apt-get install -y zoneminder apache2 php5-mysql libapache2-mod-php5 mysql-server ffmpeg | mysql-server
87 Mot inconnu : ffmpeg =>   sudo apt-get install -y zoneminder apache2 php5-mysql libapache2-mod-php5 mysql-server ffmpeg | ffmpeg

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ln -s /etc/zm/apache.conf /etc/apache2/conf.d/zoneminder.conf |    => suggestions : ['']
88 Mot inconnu : sudo =>   sudo ln -s /etc/zm/apache.conf /etc/apache2/conf.d/zoneminder.conf | sudo
88 Il manque un espace à côté du tiret. =>   sudo ln -s /etc/zm/apache.conf /etc/apache2/conf.d/zoneminder.conf |  - => suggestions : [' – ', ' — ']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo /etc/init.d/apache2 force-reload |    => suggestions : ['']
89 Mot inconnu : sudo =>   sudo /etc/init.d/apache2 force-reload | sudo
89 Mot inconnu : force-reload =>   sudo /etc/init.d/apache2 force-reload | force-reload

93 Mot inconnu : email => ==== Configuration de l'envoi d'email ==== | email

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install sendmail |    => suggestions : ['']
95 Mot inconnu : sudo =>   sudo apt-get install sendmail | sudo
95 Mot inconnu : apt-get =>   sudo apt-get install sendmail | apt-get
95 Mot inconnu : install =>   sudo apt-get install sendmail | install
95 Mot inconnu : sendmail =>   sudo apt-get install sendmail | sendmail

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo perl -MCPAN -e shell |    => suggestions : ['']
96 Mot inconnu : sudo =>   sudo perl -MCPAN -e shell | sudo
96 Mot inconnu : perl =>   sudo perl -MCPAN -e shell | perl
96 Il manque un espace à côté du tiret. =>   sudo perl -MCPAN -e shell |  - => suggestions : [' – ', ' — ']
96 Mot inconnu : MCPAN =>   sudo perl -MCPAN -e shell | mcpan

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cpan> install MIME::Entity |    => suggestions : ['']
97 Mot inconnu : cpan =>   cpan> install MIME::Entity | cpan
97 Mot inconnu : install =>   cpan> install MIME::Entity | install
97 Une de ces ponctuations est superflue. =>   cpan> install MIME::Entity | :: => suggestions : [':', ':']
97 Mot inconnu : Entity =>   cpan> install MIME::Entity | entity

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cpan> install MIME::Lite |    => suggestions : ['']
98 Mot inconnu : cpan =>   cpan> install MIME::Lite | cpan
98 Mot inconnu : install =>   cpan> install MIME::Lite | install
98 Une de ces ponctuations est superflue. =>   cpan> install MIME::Lite | :: => suggestions : [':', ':']

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cpan> install Net::SMTP |    => suggestions : ['']
99 Mot inconnu : cpan =>   cpan> install Net::SMTP | cpan
99 Mot inconnu : install =>   cpan> install Net::SMTP | install
99 Une de ces ponctuations est superflue. =>   cpan> install Net::SMTP | :: => suggestions : [':', ':']

102 Mot inconnu : list => Enter a list of available SMTP hosts : [] smtp.free.fr | list
102 Mot inconnu : of => Enter a list of available SMTP hosts : [] smtp.free.fr | of
102 Mot inconnu : available => Enter a list of available SMTP hosts : [] smtp.free.fr | available
102 Mot inconnu : hosts => Enter a list of available SMTP hosts : [] smtp.free.fr | hosts
