
3 Mot inconnu : upload [[26:32]] => ====== Capture d'écran et upload simple sous Kde ====== <|> upload
66 Accord de genre erroné avec « direction ». [[19:23]] => Ensuite, direction Menu K => **Réglage du système** => **Clavier & Souris** => **Raccourcis clavier** => Onglet **Raccourcis de commande** (en haut) => On clique sur le lien "**Editeur de menu de KDE**" => On fait Nouveau => On le nomme //takeAScreen//, et on met //takeAScreen// en commande. <|> menu => suggestions : ['Menue']
66 Mot inconnu : Editeur [[177:184]] => Ensuite, direction Menu K => **Réglage du système** => **Clavier & Souris** => **Raccourcis clavier** => Onglet **Raccourcis de commande** (en haut) => On clique sur le lien "**Editeur de menu de KDE**" => On fait Nouveau => On le nomme //takeAScreen//, et on met //takeAScreen// en commande. <|> editeur
66 Mot inconnu : takeAScreen [[239:250]] => Ensuite, direction Menu K => **Réglage du système** => **Clavier & Souris** => **Raccourcis clavier** => Onglet **Raccourcis de commande** (en haut) => On clique sur le lien "**Editeur de menu de KDE**" => On fait Nouveau => On le nomme //takeAScreen//, et on met //takeAScreen// en commande. <|> takeascreen
66 Mot inconnu : takeAScreen [[266:277]] => Ensuite, direction Menu K => **Réglage du système** => **Clavier & Souris** => **Raccourcis clavier** => Onglet **Raccourcis de commande** (en haut) => On clique sur le lien "**Editeur de menu de KDE**" => On fait Nouveau => On le nomme //takeAScreen//, et on met //takeAScreen// en commande. <|> takeascreen

67 Mot inconnu : takeAScreen [[98:109]] => On sauvegarde, on ferme, on retourne au centre de contrôle **Clavier & Souris**. On sélectionne **takeAScreen** récemment créé [Si il n'est pas là, fermez et réouvrez le centre de controle], on met Personnalisé, on appuye sur //Impr Ecran//, on applique, on quitte. <|> takeascreen
67 Il faut élider “si” et l’accoler au pronom. [[128:131]] => On sauvegarde, on ferme, on retourne au centre de contrôle **Clavier & Souris**. On sélectionne **takeAScreen** récemment créé [Si il n'est pas là, fermez et réouvrez le centre de controle], on met Personnalisé, on appuye sur //Impr Ecran//, on applique, on quitte. <|> si  => suggestions : ['S’']
67 Mot inconnu : réouvrez [[158:166]] => On sauvegarde, on ferme, on retourne au centre de contrôle **Clavier & Souris**. On sélectionne **takeAScreen** récemment créé [Si il n'est pas là, fermez et réouvrez le centre de controle], on met Personnalisé, on appuye sur //Impr Ecran//, on applique, on quitte. <|> réouvrez
67 Mot inconnu : controle [[180:188]] => On sauvegarde, on ferme, on retourne au centre de contrôle **Clavier & Souris**. On sélectionne **takeAScreen** récemment créé [Si il n'est pas là, fermez et réouvrez le centre de controle], on met Personnalisé, on appuye sur //Impr Ecran//, on applique, on quitte. <|> controle
67 Mot inconnu : appuye [[215:221]] => On sauvegarde, on ferme, on retourne au centre de contrôle **Clavier & Souris**. On sélectionne **takeAScreen** récemment créé [Si il n'est pas là, fermez et réouvrez le centre de controle], on met Personnalisé, on appuye sur //Impr Ecran//, on applique, on quitte. <|> appuye
67 Mot inconnu : Impr [[228:232]] => On sauvegarde, on ferme, on retourne au centre de contrôle **Clavier & Souris**. On sélectionne **takeAScreen** récemment créé [Si il n'est pas là, fermez et réouvrez le centre de controle], on met Personnalisé, on appuye sur //Impr Ecran//, on applique, on quitte. <|> impr
67 Mot inconnu : Ecran [[233:238]] => On sauvegarde, on ferme, on retourne au centre de contrôle **Clavier & Souris**. On sélectionne **takeAScreen** récemment créé [Si il n'est pas là, fermez et réouvrez le centre de controle], on met Personnalisé, on appuye sur //Impr Ecran//, on applique, on quitte. <|> ecran
