
24 Mot inconnu : Ntfs-config [[9:20]] => ====Avec Ntfs-config==== <|> ntfs-config
44 Mot inconnu : ent [[189:192]] => Une deuxième fenêtre apparaît où vous pourrez choisir d'activer l'écriture sur les périphériques ntfs externes (usb) et/ou  les périphériques internes. Cochez la/les case(s) qui correspond(ent) à vos besoins comme sur la capture ci-contre. Le logiciel va alors monter toutes les partitions ntfs présentes sur votre ordinateur et que vous aurez cochées, avec le support de l'écriture. <|> ent

47 Mot inconnu : Disk-manager [[9:21]] => ====Avec Disk-manager==== <|> disk-manager

57 Guillemets typographiques ouvrants. [[325:326]] => <note help>Depuis la version 16.10 de Ubuntu, si le démarrage rapide de Windows n'a pas été désactivé, le montage est fait automatiquement avec accès en lecture seule. Il n'y a aucun message d'alerte pour signaler le problème. C'est seulement quand on veut enregistrer un doc après l'avoir modifié qu'on constate que la case "Enregistrer" est grisée. L'examen du résultat de la commande "mount" révèle que le montage de la partition NTFS est fait en "ro" (Read Only) au lieu de "rw"</note> <|> " => suggestions : « “
57 Guillemets typographiques fermants. [[337:338]] => <note help>Depuis la version 16.10 de Ubuntu, si le démarrage rapide de Windows n'a pas été désactivé, le montage est fait automatiquement avec accès en lecture seule. Il n'y a aucun message d'alerte pour signaler le problème. C'est seulement quand on veut enregistrer un doc après l'avoir modifié qu'on constate que la case "Enregistrer" est grisée. L'examen du résultat de la commande "mount" révèle que le montage de la partition NTFS est fait en "ro" (Read Only) au lieu de "rw"</note> <|> " => suggestions :  »”
57 Guillemets typographiques ouvrants. [[387:388]] => <note help>Depuis la version 16.10 de Ubuntu, si le démarrage rapide de Windows n'a pas été désactivé, le montage est fait automatiquement avec accès en lecture seule. Il n'y a aucun message d'alerte pour signaler le problème. C'est seulement quand on veut enregistrer un doc après l'avoir modifié qu'on constate que la case "Enregistrer" est grisée. L'examen du résultat de la commande "mount" révèle que le montage de la partition NTFS est fait en "ro" (Read Only) au lieu de "rw"</note> <|> " => suggestions : « “
57 Mot inconnu : mount [[388:393]] => <note help>Depuis la version 16.10 de Ubuntu, si le démarrage rapide de Windows n'a pas été désactivé, le montage est fait automatiquement avec accès en lecture seule. Il n'y a aucun message d'alerte pour signaler le problème. C'est seulement quand on veut enregistrer un doc après l'avoir modifié qu'on constate que la case "Enregistrer" est grisée. L'examen du résultat de la commande "mount" révèle que le montage de la partition NTFS est fait en "ro" (Read Only) au lieu de "rw"</note> <|> mount
57 Guillemets typographiques fermants. [[393:394]] => <note help>Depuis la version 16.10 de Ubuntu, si le démarrage rapide de Windows n'a pas été désactivé, le montage est fait automatiquement avec accès en lecture seule. Il n'y a aucun message d'alerte pour signaler le problème. C'est seulement quand on veut enregistrer un doc après l'avoir modifié qu'on constate que la case "Enregistrer" est grisée. L'examen du résultat de la commande "mount" révèle que le montage de la partition NTFS est fait en "ro" (Read Only) au lieu de "rw"</note> <|> " => suggestions :  »”
57 Guillemets typographiques ouvrants. [[450:451]] => <note help>Depuis la version 16.10 de Ubuntu, si le démarrage rapide de Windows n'a pas été désactivé, le montage est fait automatiquement avec accès en lecture seule. Il n'y a aucun message d'alerte pour signaler le problème. C'est seulement quand on veut enregistrer un doc après l'avoir modifié qu'on constate que la case "Enregistrer" est grisée. L'examen du résultat de la commande "mount" révèle que le montage de la partition NTFS est fait en "ro" (Read Only) au lieu de "rw"</note> <|> " => suggestions : « “
57 Mot inconnu : ro [[451:453]] => <note help>Depuis la version 16.10 de Ubuntu, si le démarrage rapide de Windows n'a pas été désactivé, le montage est fait automatiquement avec accès en lecture seule. Il n'y a aucun message d'alerte pour signaler le problème. C'est seulement quand on veut enregistrer un doc après l'avoir modifié qu'on constate que la case "Enregistrer" est grisée. L'examen du résultat de la commande "mount" révèle que le montage de la partition NTFS est fait en "ro" (Read Only) au lieu de "rw"</note> <|> ro
57 Guillemets typographiques fermants. [[453:454]] => <note help>Depuis la version 16.10 de Ubuntu, si le démarrage rapide de Windows n'a pas été désactivé, le montage est fait automatiquement avec accès en lecture seule. Il n'y a aucun message d'alerte pour signaler le problème. C'est seulement quand on veut enregistrer un doc après l'avoir modifié qu'on constate que la case "Enregistrer" est grisée. L'examen du résultat de la commande "mount" révèle que le montage de la partition NTFS est fait en "ro" (Read Only) au lieu de "rw"</note> <|> " => suggestions :  »”
57 Mot inconnu : Read [[456:460]] => <note help>Depuis la version 16.10 de Ubuntu, si le démarrage rapide de Windows n'a pas été désactivé, le montage est fait automatiquement avec accès en lecture seule. Il n'y a aucun message d'alerte pour signaler le problème. C'est seulement quand on veut enregistrer un doc après l'avoir modifié qu'on constate que la case "Enregistrer" est grisée. L'examen du résultat de la commande "mount" révèle que le montage de la partition NTFS est fait en "ro" (Read Only) au lieu de "rw"</note> <|> read
57 Mot inconnu : Only [[461:465]] => <note help>Depuis la version 16.10 de Ubuntu, si le démarrage rapide de Windows n'a pas été désactivé, le montage est fait automatiquement avec accès en lecture seule. Il n'y a aucun message d'alerte pour signaler le problème. C'est seulement quand on veut enregistrer un doc après l'avoir modifié qu'on constate que la case "Enregistrer" est grisée. L'examen du résultat de la commande "mount" révèle que le montage de la partition NTFS est fait en "ro" (Read Only) au lieu de "rw"</note> <|> only
57 Guillemets typographiques ouvrants. [[478:479]] => <note help>Depuis la version 16.10 de Ubuntu, si le démarrage rapide de Windows n'a pas été désactivé, le montage est fait automatiquement avec accès en lecture seule. Il n'y a aucun message d'alerte pour signaler le problème. C'est seulement quand on veut enregistrer un doc après l'avoir modifié qu'on constate que la case "Enregistrer" est grisée. L'examen du résultat de la commande "mount" révèle que le montage de la partition NTFS est fait en "ro" (Read Only) au lieu de "rw"</note> <|> " => suggestions : « “
57 Mot inconnu : rw [[479:481]] => <note help>Depuis la version 16.10 de Ubuntu, si le démarrage rapide de Windows n'a pas été désactivé, le montage est fait automatiquement avec accès en lecture seule. Il n'y a aucun message d'alerte pour signaler le problème. C'est seulement quand on veut enregistrer un doc après l'avoir modifié qu'on constate que la case "Enregistrer" est grisée. L'examen du résultat de la commande "mount" révèle que le montage de la partition NTFS est fait en "ro" (Read Only) au lieu de "rw"</note> <|> rw
57 Guillemets typographiques fermants. [[481:482]] => <note help>Depuis la version 16.10 de Ubuntu, si le démarrage rapide de Windows n'a pas été désactivé, le montage est fait automatiquement avec accès en lecture seule. Il n'y a aucun message d'alerte pour signaler le problème. C'est seulement quand on veut enregistrer un doc après l'avoir modifié qu'on constate que la case "Enregistrer" est grisée. L'examen du résultat de la commande "mount" révèle que le montage de la partition NTFS est fait en "ro" (Read Only) au lieu de "rw"</note> <|> " => suggestions :  »”
64 Mot inconnu : Win [[178:181]] =>   * Déplacez la souris dans le coin inférieur droit du bureau et cliquez sur l'icône **Rechercher**. Pour plus de simplicité, vous pouvez également utiliser le raccourci clavier Win+Q; <|> win

69 Mot inconnu : nfts [[49:53]] => Vous pourrez maintenant accéder à vos partitions nfts sans difficultés. <|> nfts

71 Guillemets typographiques ouvrants. [[46:47]] => <note tip>Il peut y avoir d'autres options de "démarrage rapide" à désélectionner. Si la procédure ci-dessus ne fonctionne pas, cherchez d'autres options d'alimentation où le démarrage rapide est encore activé.</note> <|> " => suggestions : « “
71 Guillemets typographiques fermants. [[63:64]] => <note tip>Il peut y avoir d'autres options de "démarrage rapide" à désélectionner. Si la procédure ci-dessus ne fonctionne pas, cherchez d'autres options d'alimentation où le démarrage rapide est encore activé.</note> <|> " => suggestions :  »”
78 Conjugaison erronée. Accord avec “Sélectionner”. Le verbe devrait être à la 3ᵉ personne du singulier. [[19:26]] =>   * Sélectionner **Options d'alimentation**. <|> options => suggestions : Optait

99 Mot inconnu : powercfg [[1:9]] => *powercfg -h off supprime le fichier hiberfile.sys, qui permet notamment la veille prolongée. Il est préférable de seulement désactiver le démarrage rapide. <|> powercfg
99 Il manque un espace à côté du tiret. [[9:11]] => *powercfg -h off supprime le fichier hiberfile.sys, qui permet notamment la veille prolongée. Il est préférable de seulement désactiver le démarrage rapide. <|>  - => suggestions :  –  — 
99 Mot inconnu : hiberfile [[37:46]] => *powercfg -h off supprime le fichier hiberfile.sys, qui permet notamment la veille prolongée. Il est préférable de seulement désactiver le démarrage rapide. <|> hiberfile
99 Mot inconnu : sys [[47:50]] => *powercfg -h off supprime le fichier hiberfile.sys, qui permet notamment la veille prolongée. Il est préférable de seulement désactiver le démarrage rapide. <|> sys
