
4 Mot inconnu : LVM => ====== Sauvegarder son système à chaud avec LVM ====== | lvm
61 Guillemets typographiques fermants. => Le volume de snapshot (temporaire) s'appelle "monsnapshot". En général, 2Go suffisent pour un snapshot de quelques heures de vie. Si le filesystem racine est beaucoup accédé/modifié, il faudra ajuster cette taille à la hausse. | " => suggestions : ['\xa0»', '”']
61 Mot inconnu : snapshot => Le volume de snapshot (temporaire) s'appelle "monsnapshot". En général, 2Go suffisent pour un snapshot de quelques heures de vie. Si le filesystem racine est beaucoup accédé/modifié, il faudra ajuster cette taille à la hausse. | snapshot
61 Mot inconnu : filesystem => Le volume de snapshot (temporaire) s'appelle "monsnapshot". En général, 2Go suffisent pour un snapshot de quelques heures de vie. Si le filesystem racine est beaucoup accédé/modifié, il faudra ajuster cette taille à la hausse. | filesystem

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Montage du snapshot |    => suggestions : ['']
63 Mot inconnu : snapshot =>   * Montage du snapshot | snapshot

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo mkdir /mon_snapshot |    => suggestions : ['']
65 Mot inconnu : sudo =>   sudo mkdir /mon_snapshot | sudo
65 Mot inconnu : mkdir =>   sudo mkdir /mon_snapshot | mkdir
65 Mot inconnu : mon_snapshot =>   sudo mkdir /mon_snapshot | mon_snapshot

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo mount /dev/corsair/monsnapshot /mon_snapshot |    => suggestions : ['']
66 Mot inconnu : sudo =>   sudo mount /dev/corsair/monsnapshot /mon_snapshot | sudo
66 Mot inconnu : mount =>   sudo mount /dev/corsair/monsnapshot /mon_snapshot | mount
66 Mot inconnu : mon_snapshot =>   sudo mount /dev/corsair/monsnapshot /mon_snapshot | mon_snapshot

68 Mot inconnu : mon_snapshot => Ici nous avons donc une image fixe de / qui se trouve dans /mon_snapshot, nous pouvons la copier. | mon_snapshot

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Copie des données |    => suggestions : ['']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo cp -ax /mon_snapshot/* /ma_sauvegarde/ |    => suggestions : ['']
72 Mot inconnu : sudo =>   sudo cp -ax /mon_snapshot/* /ma_sauvegarde/ | sudo
72 Mot inconnu : cp =>   sudo cp -ax /mon_snapshot/* /ma_sauvegarde/ | cp
72 Il manque un espace à côté du tiret. =>   sudo cp -ax /mon_snapshot/* /ma_sauvegarde/ |  - => suggestions : [' – ', ' — ']
72 Mot inconnu : ax =>   sudo cp -ax /mon_snapshot/* /ma_sauvegarde/ | ax
72 Mot inconnu : mon_snapshot =>   sudo cp -ax /mon_snapshot/* /ma_sauvegarde/ | mon_snapshot
72 Mot inconnu : ma_sauvegarde =>   sudo cp -ax /mon_snapshot/* /ma_sauvegarde/ | ma_sauvegarde

74 Mot inconnu : snapshot => Ici nous avons donc copié notre snapshot dans notre volume de sauvegarde ! | snapshot

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Suppression du snapshot |    => suggestions : ['']
76 Mot inconnu : snapshot =>   * Suppression du snapshot | snapshot

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo umount /mon_snapshot |    => suggestions : ['']
78 Mot inconnu : sudo =>   sudo umount /mon_snapshot | sudo
78 Mot inconnu : umount =>   sudo umount /mon_snapshot | umount
78 Mot inconnu : mon_snapshot =>   sudo umount /mon_snapshot | mon_snapshot

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo lvremove corsair/monsnapshot |    => suggestions : ['']
79 Mot inconnu : sudo =>   sudo lvremove corsair/monsnapshot | sudo
79 Mot inconnu : lvremove =>   sudo lvremove corsair/monsnapshot | lvremove
79 Mot inconnu : corsair =>   sudo lvremove corsair/monsnapshot | corsair
79 Mot inconnu : monsnapshot =>   sudo lvremove corsair/monsnapshot | monsnapshot

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Do you really want to remove active logical volume monsnapshot? [y/n]: y |    => suggestions : ['']
80 Mot inconnu : you =>   Do you really want to remove active logical volume monsnapshot? [y/n]: y | you
80 Mot inconnu : really =>   Do you really want to remove active logical volume monsnapshot? [y/n]: y | really
80 Mot inconnu : want =>   Do you really want to remove active logical volume monsnapshot? [y/n]: y | want
80 Mot inconnu : to =>   Do you really want to remove active logical volume monsnapshot? [y/n]: y | to
80 Mot inconnu : remove =>   Do you really want to remove active logical volume monsnapshot? [y/n]: y | remove
80 Mot inconnu : logical =>   Do you really want to remove active logical volume monsnapshot? [y/n]: y | logical
80 Mot inconnu : monsnapshot =>   Do you really want to remove active logical volume monsnapshot? [y/n]: y | monsnapshot

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Logical volume "monsnapshot" successfully removed |    => suggestions : ['']
81 Mot inconnu : Logical =>   Logical volume "monsnapshot" successfully removed | logical
81 Guillemets typographiques ouvrants. =>   Logical volume "monsnapshot" successfully removed | " => suggestions : ['«\xa0', '“']
81 Mot inconnu : monsnapshot =>   Logical volume "monsnapshot" successfully removed | monsnapshot
81 Guillemets typographiques fermants. =>   Logical volume "monsnapshot" successfully removed | " => suggestions : ['\xa0»', '”']
81 Mot inconnu : successfully =>   Logical volume "monsnapshot" successfully removed | successfully
81 Mot inconnu : removed =>   Logical volume "monsnapshot" successfully removed | removed

86 Guillemets typographiques ouvrants. => Les étapes précédentes nous permettent d'avoir un volume "monbackup" qui est une copie de la racine /. | " => suggestions : ['«\xa0', '“']
86 Mot inconnu : monbackup => Les étapes précédentes nous permettent d'avoir un volume "monbackup" qui est une copie de la racine /. | monbackup
86 Guillemets typographiques fermants. => Les étapes précédentes nous permettent d'avoir un volume "monbackup" qui est une copie de la racine /. | " => suggestions : ['\xa0»', '”']

88 Mot inconnu : bootable => Pour pouvoir rendre cette copie bootable, il faut rendre la  fstab cohérente : | bootable
88 Espace(s) surnuméraire(s) à supprimer. => Pour pouvoir rendre cette copie bootable, il faut rendre la  fstab cohérente : |    => suggestions : [' ']
88 Mot inconnu : fstab => Pour pouvoir rendre cette copie bootable, il faut rendre la  fstab cohérente : | fstab

90 Mot inconnu : fstab => Modifier la fstab et changer le nom du volume de / par celui de la sauvegarde. | fstab

91 Guillemets typographiques ouvrants. => Dans notre exemple, il faudra remplacer "maracine" par "monbackup" | " => suggestions : ['«\xa0', '“']
91 Mot inconnu : maracine => Dans notre exemple, il faudra remplacer "maracine" par "monbackup" | maracine
91 Guillemets typographiques fermants. => Dans notre exemple, il faudra remplacer "maracine" par "monbackup" | " => suggestions : ['\xa0»', '”']
91 Guillemets typographiques ouvrants. => Dans notre exemple, il faudra remplacer "maracine" par "monbackup" | " => suggestions : ['«\xa0', '“']
91 Mot inconnu : monbackup => Dans notre exemple, il faudra remplacer "maracine" par "monbackup" | monbackup
91 Guillemets typographiques fermants. => Dans notre exemple, il faudra remplacer "maracine" par "monbackup" | " => suggestions : ['\xa0»', '”']

93 Mot inconnu : Editer => Editer le fichier /ma_sauvegarde/etc/fstab : | editer
93 Mot inconnu : ma_sauvegarde => Editer le fichier /ma_sauvegarde/etc/fstab : | ma_sauvegarde

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /dev/mapper/corsair-monbackup /               ext4    errors=remount-ro 0       1 |    => suggestions : ['']
95 Mot inconnu : ext4 =>   /dev/mapper/corsair-monbackup /               ext4    errors=remount-ro 0       1 | ext4
95 Espace(s) surnuméraire(s) à supprimer. =>   /dev/mapper/corsair-monbackup /               ext4    errors=remount-ro 0       1 |      => suggestions : [' ']
95 Mot inconnu : errors =>   /dev/mapper/corsair-monbackup /               ext4    errors=remount-ro 0       1 | errors
95 Mot inconnu : remount-ro =>   /dev/mapper/corsair-monbackup /               ext4    errors=remount-ro 0       1 | remount-ro
95 Espace(s) surnuméraire(s) à supprimer. =>   /dev/mapper/corsair-monbackup /               ext4    errors=remount-ro 0       1 |         => suggestions : [' ']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

97 Mot inconnu : boot => Enfin, ajouter notre sauvegarde au menu boot de grub. | boot
97 Mot inconnu : grub => Enfin, ajouter notre sauvegarde au menu boot de grub. | grub

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo update-grub |    => suggestions : ['']
98 Mot inconnu : sudo =>   sudo update-grub | sudo
98 Mot inconnu : update-grub =>   sudo update-grub | update-grub

103 Mot inconnu : bootable => Nous avons sauvegardé notre système de fichiers racine / à chaud, et notre sauvegarde est même bootable ! | bootable
