
5 Mot inconnu : Mplayer => ====== Comment utiliser Mplayer en esclave ? ====== | mplayer
22 Mot inconnu : Let's => ===== Let's go ? ===== | let's

24 Mot inconnu : mplayer => Tout d'abord, il faut trouver la commande adéquate pour lancer mplayer. Le manuel nous informe qu'il faut utiliser l'argument -slave. | mplayer
24 Il manque un espace à côté du tiret. => Tout d'abord, il faut trouver la commande adéquate pour lancer mplayer. Le manuel nous informe qu'il faut utiliser l'argument -slave. |  - => suggestions : [' – ', ' — ']
26 Mot inconnu : cmdlist => NOTE : Voir −input cmdlist pour une liste des commandes esclaves, et DOCS/tech/slave.txt pour leur description.</code> | cmdlist
26 Mot inconnu : txt => NOTE : Voir −input cmdlist pour une liste des commandes esclaves, et DOCS/tech/slave.txt pour leur description.</code> | txt

29 Mot inconnu : NB => NB : l'argument -shuffle permet de rendre la playlist aléatoire ,-idle évite à mplayer de quitter si rien n'est joué et -playlist permet de préloader une playlist.  | nb
29 Il manque un espace à côté du tiret. => NB : l'argument -shuffle permet de rendre la playlist aléatoire ,-idle évite à mplayer de quitter si rien n'est joué et -playlist permet de préloader une playlist.  |  - => suggestions : [' – ', ' — ']
29 Mot inconnu : shuffle => NB : l'argument -shuffle permet de rendre la playlist aléatoire ,-idle évite à mplayer de quitter si rien n'est joué et -playlist permet de préloader une playlist.  | shuffle
29 Mot inconnu : idle => NB : l'argument -shuffle permet de rendre la playlist aléatoire ,-idle évite à mplayer de quitter si rien n'est joué et -playlist permet de préloader une playlist.  | idle
29 Mot inconnu : mplayer => NB : l'argument -shuffle permet de rendre la playlist aléatoire ,-idle évite à mplayer de quitter si rien n'est joué et -playlist permet de préloader une playlist.  | mplayer
29 Il manque un espace à côté du tiret. => NB : l'argument -shuffle permet de rendre la playlist aléatoire ,-idle évite à mplayer de quitter si rien n'est joué et -playlist permet de préloader une playlist.  |  - => suggestions : [' – ', ' — ']
29 Mot inconnu : préloader => NB : l'argument -shuffle permet de rendre la playlist aléatoire ,-idle évite à mplayer de quitter si rien n'est joué et -playlist permet de préloader une playlist.  | préloader
29 Espace(s) en fin de ligne à supprimer. => NB : l'argument -shuffle permet de rendre la playlist aléatoire ,-idle évite à mplayer de quitter si rien n'est joué et -playlist permet de préloader une playlist.  |   => suggestions : ['']

32 Mot inconnu : fifofile => Comme indiqué dans le man, cette commande implique l'utilisation d'un fifofile. C'est à dire un «fichier» qui servira à rediriger ce qui rentre dans son stdin vers celui de mplayer. Ainsi, les commandes passées au fifofile seront transmises à mplayer, qui les exécutera. Pour obtenir une liste des commandes disponibles, c'est : | fifofile
32 Il manque les traits d’union. => Comme indiqué dans le man, cette commande implique l'utilisation d'un fifofile. C'est à dire un «fichier» qui servira à rediriger ce qui rentre dans son stdin vers celui de mplayer. Ainsi, les commandes passées au fifofile seront transmises à mplayer, qui les exécutera. Pour obtenir une liste des commandes disponibles, c'est : | c'est à dire => suggestions : ['C’est-à-dire']
32 Mot inconnu : stdin => Comme indiqué dans le man, cette commande implique l'utilisation d'un fifofile. C'est à dire un «fichier» qui servira à rediriger ce qui rentre dans son stdin vers celui de mplayer. Ainsi, les commandes passées au fifofile seront transmises à mplayer, qui les exécutera. Pour obtenir une liste des commandes disponibles, c'est : | stdin
32 Mot inconnu : mplayer => Comme indiqué dans le man, cette commande implique l'utilisation d'un fifofile. C'est à dire un «fichier» qui servira à rediriger ce qui rentre dans son stdin vers celui de mplayer. Ainsi, les commandes passées au fifofile seront transmises à mplayer, qui les exécutera. Pour obtenir une liste des commandes disponibles, c'est : | mplayer
32 Mot inconnu : fifofile => Comme indiqué dans le man, cette commande implique l'utilisation d'un fifofile. C'est à dire un «fichier» qui servira à rediriger ce qui rentre dans son stdin vers celui de mplayer. Ainsi, les commandes passées au fifofile seront transmises à mplayer, qui les exécutera. Pour obtenir une liste des commandes disponibles, c'est : | fifofile
32 Mot inconnu : mplayer => Comme indiqué dans le man, cette commande implique l'utilisation d'un fifofile. C'est à dire un «fichier» qui servira à rediriger ce qui rentre dans son stdin vers celui de mplayer. Ainsi, les commandes passées au fifofile seront transmises à mplayer, qui les exécutera. Pour obtenir une liste des commandes disponibles, c'est : | mplayer

34 Mot inconnu : fifofile => Le principe est donc simple, il suffit de passer des commandes à notre fifofile ce qui influencera le comportement de mplayer. | fifofile
34 Mot inconnu : mplayer => Le principe est donc simple, il suffit de passer des commandes à notre fifofile ce qui influencera le comportement de mplayer. | mplayer

37 Accord de genre erroné entre « chemins » et « cités ». => <note tip>Les chemins cités ci-dessous ne sont pas obligatoires, ils ne font qu'office d'exemple. Adaptez les en fonction en vos besoins et envies.</note> | cités => suggestions : ['cités', 'citées']

39 Mot inconnu : fifofile => Nous allons tout d'abord créer notre fichier fifofile. Pour cela, simplement exécuter la commande "mkfifo". | fifofile
39 Guillemets typographiques ouvrants. => Nous allons tout d'abord créer notre fichier fifofile. Pour cela, simplement exécuter la commande "mkfifo". | " => suggestions : ['«\xa0', '“']
39 Mot inconnu : mkfifo => Nous allons tout d'abord créer notre fichier fifofile. Pour cela, simplement exécuter la commande "mkfifo". | mkfifo
39 Guillemets typographiques fermants. => Nous allons tout d'abord créer notre fichier fifofile. Pour cela, simplement exécuter la commande "mkfifo". | " => suggestions : ['\xa0»', '”']

43 Mot inconnu : stdout => Cependant, le stdout et le stderr nous intéressent, car ils permettent de récupérer le nom du titre joué, par exemple dans le cas d'une chanson (cf fixme). Nous allons donc les rediriger vers deux fichiers distincts. | stdout
43 Mot inconnu : stderr => Cependant, le stdout et le stderr nous intéressent, car ils permettent de récupérer le nom du titre joué, par exemple dans le cas d'une chanson (cf fixme). Nous allons donc les rediriger vers deux fichiers distincts. | stderr
43 Mot inconnu : fixme => Cependant, le stdout et le stderr nous intéressent, car ils permettent de récupérer le nom du titre joué, par exemple dans le cas d'une chanson (cf fixme). Nous allons donc les rediriger vers deux fichiers distincts. | fixme

46 Mot inconnu : mplayer => Pour contrôler mplayer, il suffit de rediriger le stdout d'un echo vers le stdin du fifofile. | mplayer
46 Mot inconnu : stdout => Pour contrôler mplayer, il suffit de rediriger le stdout d'un echo vers le stdin du fifofile. | stdout
46 Mot inconnu : echo => Pour contrôler mplayer, il suffit de rediriger le stdout d'un echo vers le stdin du fifofile. | echo
46 Mot inconnu : stdin => Pour contrôler mplayer, il suffit de rediriger le stdout d'un echo vers le stdin du fifofile. | stdin
46 Mot inconnu : fifofile => Pour contrôler mplayer, il suffit de rediriger le stdout d'un echo vers le stdin du fifofile. | fifofile

52 Mot inconnu : mplayer => Cela affichera la ligne suivante dans ~/.mplayer/mplayer.log | mplayer
52 Mot inconnu : mplayer => Cela affichera la ligne suivante dans ~/.mplayer/mplayer.log | mplayer
52 Il manque un espace. => Cela affichera la ligne suivante dans ~/.mplayer/mplayer.log | log => suggestions : [' log']

56 Mot inconnu : grep => Notez l'utilisation de tac, qui passe le fichier à grep en ordre inverse (dernière ligne en premier), c'est plus rapide que de démarrer au début. Une autre solution consiste à utiliser un fifo comme sortie de mplayer (au lieu du fichier .log), mais il est (très) difficile d'avoir le même script qui contrôle à la fois une fifo d'entrée et de sortie, donc il faudra avoir deux scripts (un qui envoie les commandes, un qui affiche les infos). | grep
56 Mot inconnu : fifo => Notez l'utilisation de tac, qui passe le fichier à grep en ordre inverse (dernière ligne en premier), c'est plus rapide que de démarrer au début. Une autre solution consiste à utiliser un fifo comme sortie de mplayer (au lieu du fichier .log), mais il est (très) difficile d'avoir le même script qui contrôle à la fois une fifo d'entrée et de sortie, donc il faudra avoir deux scripts (un qui envoie les commandes, un qui affiche les infos). | fifo
56 Mot inconnu : mplayer => Notez l'utilisation de tac, qui passe le fichier à grep en ordre inverse (dernière ligne en premier), c'est plus rapide que de démarrer au début. Une autre solution consiste à utiliser un fifo comme sortie de mplayer (au lieu du fichier .log), mais il est (très) difficile d'avoir le même script qui contrôle à la fois une fifo d'entrée et de sortie, donc il faudra avoir deux scripts (un qui envoie les commandes, un qui affiche les infos). | mplayer
56 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Notez l'utilisation de tac, qui passe le fichier à grep en ordre inverse (dernière ligne en premier), c'est plus rapide que de démarrer au début. Une autre solution consiste à utiliser un fifo comme sortie de mplayer (au lieu du fichier .log), mais il est (très) difficile d'avoir le même script qui contrôle à la fois une fifo d'entrée et de sortie, donc il faudra avoir deux scripts (un qui envoie les commandes, un qui affiche les infos). |  . => suggestions : ['. ', '.']
56 Mot inconnu : fifo => Notez l'utilisation de tac, qui passe le fichier à grep en ordre inverse (dernière ligne en premier), c'est plus rapide que de démarrer au début. Une autre solution consiste à utiliser un fifo comme sortie de mplayer (au lieu du fichier .log), mais il est (très) difficile d'avoir le même script qui contrôle à la fois une fifo d'entrée et de sortie, donc il faudra avoir deux scripts (un qui envoie les commandes, un qui affiche les infos). | fifo

77 Mot inconnu : get_meta_genre => get_meta_genre       # Genre</code> | get_meta_genre
77 Espace(s) surnuméraire(s) à supprimer. => get_meta_genre       # Genre</code> |         => suggestions : [' ']

80 Mot inconnu : mplayer => Cet aspect de mplayer nous permet de le contrôler via des scripts bash.  | mplayer
80 Mot inconnu : bash => Cet aspect de mplayer nous permet de le contrôler via des scripts bash.  | bash
80 Espace(s) en fin de ligne à supprimer. => Cet aspect de mplayer nous permet de le contrôler via des scripts bash.  |   => suggestions : ['']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    *de passer à la chanson suivante |     => suggestions : ['']

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    *de passer à la chanson précédente |     => suggestions : ['']

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    *de mettre mplayer en pause |     => suggestions : ['']
92 Mot inconnu : mplayer =>    *de mettre mplayer en pause | mplayer

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    *d'arrêter mplayer |     => suggestions : ['']
97 Mot inconnu : mplayer =>    *d'arrêter mplayer | mplayer

127 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A l'aide de [[../xbindkeys]], on peut facilement arriver à tout contrôler au clavier ! | a => suggestions : ['À']
127 Typographie : un ou trois points ? => A l'aide de [[../xbindkeys]], on peut facilement arriver à tout contrôler au clavier ! | .. => suggestions : ['…', '.']
127 Mot inconnu : xbindkeys => A l'aide de [[../xbindkeys]], on peut facilement arriver à tout contrôler au clavier ! | xbindkeys

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    *[[http://www.mplayerhq.hu|Le site officiel de mplayer]] |     => suggestions : ['']
128 Mot inconnu : mplayer =>    *[[http://www.mplayerhq.hu|Le site officiel de mplayer]] | mplayer

129 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    *[[http://www.mplayerhq.hu/DOCS/man/fr/mplayer.1.html|Des infos sur le mode "slave" et les commandes possibles]] |     => suggestions : ['']
129 Guillemets typographiques ouvrants. =>    *[[http://www.mplayerhq.hu/DOCS/man/fr/mplayer.1.html|Des infos sur le mode "slave" et les commandes possibles]] | " => suggestions : ['«\xa0', '“']
129 Guillemets typographiques fermants. =>    *[[http://www.mplayerhq.hu/DOCS/man/fr/mplayer.1.html|Des infos sur le mode "slave" et les commandes possibles]] | " => suggestions : ['\xa0»', '”']
