
3 Mot inconnu : OpenBox => ====== Comment gérer les fenêtres sous OpenBox ====== | openbox
170 Guillemets typographiques ouvrants. => <note important>Ne pas oublier le symbole **&** à la fin de la commande. Il permet de lancer l'application tout en "laissant libre" votre terminal. Ainsi, vous pouvez continuez à vous en servir, même si gdevilspie fonctionne.</note> | " => suggestions : ['«\xa0', '“']
170 Guillemets typographiques fermants. => <note important>Ne pas oublier le symbole **&** à la fin de la commande. Il permet de lancer l'application tout en "laissant libre" votre terminal. Ainsi, vous pouvez continuez à vous en servir, même si gdevilspie fonctionne.</note> | " => suggestions : ['\xa0»', '”']
170 S’il s’agit d’une action que le sujet peut accomplir, le verbe devrait être à l’infinitif. => <note important>Ne pas oublier le symbole **&** à la fin de la commande. Il permet de lancer l'application tout en "laissant libre" votre terminal. Ainsi, vous pouvez continuez à vous en servir, même si gdevilspie fonctionne.</note> | continuez => suggestions : ['continuer']
170 Mot inconnu : gdevilspie => <note important>Ne pas oublier le symbole **&** à la fin de la commande. Il permet de lancer l'application tout en "laissant libre" votre terminal. Ainsi, vous pouvez continuez à vous en servir, même si gdevilspie fonctionne.</note> | gdevilspie

172 Mot inconnu : gdevilspie => <note warning>Attention, au lancement de gdevilspie, il est possible que vous ayez un message vous demandant d'installer python-wnck. Pour résoudre ça, **[[apt>python-wnck|l'installer en un clic]]** ou ouvrir un terminal, et l'installer : | gdevilspie

174 Mot inconnu : sudo => //sudo apt-get install python-wnck//</note> | sudo
174 Mot inconnu : apt-get => //sudo apt-get install python-wnck//</note> | apt-get
174 Mot inconnu : install => //sudo apt-get install python-wnck//</note> | install
174 Mot inconnu : python-wnck => //sudo apt-get install python-wnck//</note> | python-wnck

177 Mot inconnu : GDevilspie => GDevilspie est très simple d'utilisation. | gdevilspie

179 Mot inconnu : tint2 => Néanmoins, pour vous éviter de chercher, voici la configuration à adopter pour (re)placer tint2 là où vous le voulez : | tint2

195 Mot inconnu : Raw => <note>L'onglet //Raw// n'est pas super utile. Il ne fait que montrer comment est transcrite la règle dans le fichier de configuration de devilspie.</note> | raw
195 Mot inconnu : devilspie => <note>L'onglet //Raw// n'est pas super utile. Il ne fait que montrer comment est transcrite la règle dans le fichier de configuration de devilspie.</note> | devilspie

200 Mot inconnu : tint2 => Normalement, tint2 à repris sa position d'origine. | tint2

205 Mot inconnu : GDevilspie => ==== GDevilspie ==== | gdevilspie

209 Mot inconnu : gdevilspie => Pour définir la taille de nos fenêtres, on va se servir encore une fois de gdevilspie. | gdevilspie

227 Mot inconnu : nautilus => Toutefois, si vous voulez que d'autres fenêtres aient les mêmes dimensions (nautilus, gedit...), gdevilspie est un peu dépassé... :-\ | nautilus
227 Mot inconnu : gedit => Toutefois, si vous voulez que d'autres fenêtres aient les mêmes dimensions (nautilus, gedit...), gdevilspie est un peu dépassé... :-\ | gedit
227 Typographie : points de suspension. Utilisez le caractère dédié. => Toutefois, si vous voulez que d'autres fenêtres aient les mêmes dimensions (nautilus, gedit...), gdevilspie est un peu dépassé... :-\ | ... => suggestions : ['…']
227 Mot inconnu : gdevilspie => Toutefois, si vous voulez que d'autres fenêtres aient les mêmes dimensions (nautilus, gedit...), gdevilspie est un peu dépassé... :-\ | gdevilspie
227 Typographie : points de suspension. Utilisez le caractère dédié. => Toutefois, si vous voulez que d'autres fenêtres aient les mêmes dimensions (nautilus, gedit...), gdevilspie est un peu dépassé... :-\ | ... => suggestions : ['…']

229 Mot inconnu : facilment => Pour palier facilment à ce problème, il va falloir passer par le fichier de configuration !! ^_^ Aller c'est parti !! | facilment
250 Guillemets typographiques ouvrants. => Ce code fonctionne de la manière suivante : //"Si le nom de l'application contient "Firefox" ou "File Manager" alors, la fenêtre créée aura une largeur de 1100 pixels, une hauteur de 800 pixels, et sera positionnée à 281 pixels du bord gauche et à 30 pixels du bord supérieur"//. | " => suggestions : ['«\xa0', '“']
250 Guillemets typographiques ouvrants. => Ce code fonctionne de la manière suivante : //"Si le nom de l'application contient "Firefox" ou "File Manager" alors, la fenêtre créée aura une largeur de 1100 pixels, une hauteur de 800 pixels, et sera positionnée à 281 pixels du bord gauche et à 30 pixels du bord supérieur"//. | " => suggestions : ['«\xa0', '“']
250 Guillemets typographiques fermants. => Ce code fonctionne de la manière suivante : //"Si le nom de l'application contient "Firefox" ou "File Manager" alors, la fenêtre créée aura une largeur de 1100 pixels, une hauteur de 800 pixels, et sera positionnée à 281 pixels du bord gauche et à 30 pixels du bord supérieur"//. | " => suggestions : ['\xa0»', '”']
250 Guillemets typographiques ouvrants. => Ce code fonctionne de la manière suivante : //"Si le nom de l'application contient "Firefox" ou "File Manager" alors, la fenêtre créée aura une largeur de 1100 pixels, une hauteur de 800 pixels, et sera positionnée à 281 pixels du bord gauche et à 30 pixels du bord supérieur"//. | " => suggestions : ['«\xa0', '“']
250 Guillemets typographiques fermants. => Ce code fonctionne de la manière suivante : //"Si le nom de l'application contient "Firefox" ou "File Manager" alors, la fenêtre créée aura une largeur de 1100 pixels, une hauteur de 800 pixels, et sera positionnée à 281 pixels du bord gauche et à 30 pixels du bord supérieur"//. | " => suggestions : ['\xa0»', '”']
250 Guillemets typographiques fermants. => Ce code fonctionne de la manière suivante : //"Si le nom de l'application contient "Firefox" ou "File Manager" alors, la fenêtre créée aura une largeur de 1100 pixels, une hauteur de 800 pixels, et sera positionnée à 281 pixels du bord gauche et à 30 pixels du bord supérieur"//. | " => suggestions : ['\xa0»', '”']

258 Mot inconnu : OpenBox => Voilà, maintenant vous savez comment gérer vos fenêtres sous OpenBox. | openbox
