
4 Mot inconnu : dvdrip => ====== Comment utiliser dvdrip/transcode en mode cluster ? ====== | dvdrip
22 Mot inconnu : clustering => Le clustering est une technique permettant de combiner plusieurs ordinateurs lorsque de nombreux calculs sont à effectuer, chaque machine connectée s'appelle « nœud » ou node en anglais. Dans notre cas, nous allons créer un réseau local NFS / SSH (réseau local classique Linux) et laisser le démon cluster répartir le travail sur tous les ordinateurs de ce réseau. Le temps d'encodage sera donc plus faible. À ma connaissance il n'y a pas de limite du nombre de PC connectés. | clustering
22 Mot inconnu : node => Le clustering est une technique permettant de combiner plusieurs ordinateurs lorsque de nombreux calculs sont à effectuer, chaque machine connectée s'appelle « nœud » ou node en anglais. Dans notre cas, nous allons créer un réseau local NFS / SSH (réseau local classique Linux) et laisser le démon cluster répartir le travail sur tous les ordinateurs de ce réseau. Le temps d'encodage sera donc plus faible. À ma connaissance il n'y a pas de limite du nombre de PC connectés. | node
22 Mot inconnu : NFS => Le clustering est une technique permettant de combiner plusieurs ordinateurs lorsque de nombreux calculs sont à effectuer, chaque machine connectée s'appelle « nœud » ou node en anglais. Dans notre cas, nous allons créer un réseau local NFS / SSH (réseau local classique Linux) et laisser le démon cluster répartir le travail sur tous les ordinateurs de ce réseau. Le temps d'encodage sera donc plus faible. À ma connaissance il n'y a pas de limite du nombre de PC connectés. | nfs
22 Mot inconnu : SSH => Le clustering est une technique permettant de combiner plusieurs ordinateurs lorsque de nombreux calculs sont à effectuer, chaque machine connectée s'appelle « nœud » ou node en anglais. Dans notre cas, nous allons créer un réseau local NFS / SSH (réseau local classique Linux) et laisser le démon cluster répartir le travail sur tous les ordinateurs de ce réseau. Le temps d'encodage sera donc plus faible. À ma connaissance il n'y a pas de limite du nombre de PC connectés. | ssh

24 Si “PC” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Voilà un aperçu de ce que l'on peut obtenir avec un réseau de 3 PC, les « nœuds » correspondant aux machines connectées.  | 3 pc => suggestions : ['3\xa0PC']
24 Espace(s) en fin de ligne à supprimer. => Voilà un aperçu de ce que l'on peut obtenir avec un réseau de 3 PC, les « nœuds » correspondant aux machines connectées.  |   => suggestions : ['']

35 Mot inconnu : _trucs_et_astuces => Vous pouvez utiliser des ordinateurs de puissance différente, même les vieilles machines qui traînent dans un coin de votre grenier. Tout le travail effectué par celles-ci, sera toujours ça de moins à faire par vos bêtes de course. Il est quand même préférable d'avoir un réseau homogène, constitué de PC de puissance égale, nous verrons plus tard [[#10._trucs_et_astuces|pourquoi]]. | _trucs_et_astuces

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Une carte réseau Fast Ethernet 10/100 Mbps reconnue et fonctionnelle sur chaque ordinateur. |    => suggestions : ['']
37 Mot inconnu : Fast =>   * Une carte réseau Fast Ethernet 10/100 Mbps reconnue et fonctionnelle sur chaque ordinateur. | fast
37 Mot inconnu : Mbps =>   * Une carte réseau Fast Ethernet 10/100 Mbps reconnue et fonctionnelle sur chaque ordinateur. | mbps

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un routeur ou un switch. |    => suggestions : ['']
38 Mot inconnu : switch =>   * Un routeur ou un switch. | switch

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le tout relié par des câbles Ethernet droits RJ45 |    => suggestions : ['']
39 Mot inconnu : RJ45 =>   * Le tout relié par des câbles Ethernet droits RJ45 | rj45

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Chaque ordinateur du réseau doit avoir une distribution Linux installée, de préférence la distribution Ubuntu Breezy ou Dapper.  |    => suggestions : ['']
44 Mot inconnu : Breezy =>   * Chaque ordinateur du réseau doit avoir une distribution Linux installée, de préférence la distribution Ubuntu Breezy ou Dapper.  | breezy
44 Mot inconnu : Dapper =>   * Chaque ordinateur du réseau doit avoir une distribution Linux installée, de préférence la distribution Ubuntu Breezy ou Dapper.  | dapper
44 Espace(s) en fin de ligne à supprimer. =>   * Chaque ordinateur du réseau doit avoir une distribution Linux installée, de préférence la distribution Ubuntu Breezy ou Dapper.  |   => suggestions : ['']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Votre réseau doit être correctement configuré pour que vos PC puissent communiquer librement.  |    => suggestions : ['']
45 Espace(s) en fin de ligne à supprimer. =>   * Votre réseau doit être correctement configuré pour que vos PC puissent communiquer librement.  |   => suggestions : ['']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Je ne prends pas en compte la présence d'un firewall, n'oubliez pas de régler le/les vôtres pour cette utilisation. |    => suggestions : ['']
46 Mot inconnu : firewall =>   * Je ne prends pas en compte la présence d'un firewall, n'oubliez pas de régler le/les vôtres pour cette utilisation. | firewall

52 Si “PC” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Voici un schéma qui représente globalement ce que nous souhaitons réaliser. Pour me faciliter la tâche je me suis basé sur mon propre réseau local, à savoir un réseau de 3 PC derrière un routeur et j'ai remplacé les noms de machines par **PC1** **PC2** et **PC3** et les noms d'utilisateurs par **tux1** **tux2** et **tux3** selon la machine. | 3 pc => suggestions : ['3\xa0PC']
52 Mot inconnu : PC1 => Voici un schéma qui représente globalement ce que nous souhaitons réaliser. Pour me faciliter la tâche je me suis basé sur mon propre réseau local, à savoir un réseau de 3 PC derrière un routeur et j'ai remplacé les noms de machines par **PC1** **PC2** et **PC3** et les noms d'utilisateurs par **tux1** **tux2** et **tux3** selon la machine. | pc1
52 Mot inconnu : PC2 => Voici un schéma qui représente globalement ce que nous souhaitons réaliser. Pour me faciliter la tâche je me suis basé sur mon propre réseau local, à savoir un réseau de 3 PC derrière un routeur et j'ai remplacé les noms de machines par **PC1** **PC2** et **PC3** et les noms d'utilisateurs par **tux1** **tux2** et **tux3** selon la machine. | pc2
52 Mot inconnu : PC3 => Voici un schéma qui représente globalement ce que nous souhaitons réaliser. Pour me faciliter la tâche je me suis basé sur mon propre réseau local, à savoir un réseau de 3 PC derrière un routeur et j'ai remplacé les noms de machines par **PC1** **PC2** et **PC3** et les noms d'utilisateurs par **tux1** **tux2** et **tux3** selon la machine. | pc3
52 Mot inconnu : tux1 => Voici un schéma qui représente globalement ce que nous souhaitons réaliser. Pour me faciliter la tâche je me suis basé sur mon propre réseau local, à savoir un réseau de 3 PC derrière un routeur et j'ai remplacé les noms de machines par **PC1** **PC2** et **PC3** et les noms d'utilisateurs par **tux1** **tux2** et **tux3** selon la machine. | tux1
52 Mot inconnu : tux2 => Voici un schéma qui représente globalement ce que nous souhaitons réaliser. Pour me faciliter la tâche je me suis basé sur mon propre réseau local, à savoir un réseau de 3 PC derrière un routeur et j'ai remplacé les noms de machines par **PC1** **PC2** et **PC3** et les noms d'utilisateurs par **tux1** **tux2** et **tux3** selon la machine. | tux2
52 Mot inconnu : tux3 => Voici un schéma qui représente globalement ce que nous souhaitons réaliser. Pour me faciliter la tâche je me suis basé sur mon propre réseau local, à savoir un réseau de 3 PC derrière un routeur et j'ai remplacé les noms de machines par **PC1** **PC2** et **PC3** et les noms d'utilisateurs par **tux1** **tux2** et **tux3** selon la machine. | tux3

54 Mot inconnu : PC1 => **PC1** sera le PC principal qui servira de serveur et de lieu de stockage, c'est sur ce PC qu'il y aura le plus gros du travail à réaliser. Concernant **PC2** et **PC3**, la configuration est assez rapide, à vous de rajouter autant de machines que vous pouvez, les réglages seront toujours les mêmes (**PC4**, **PC5**...). | pc1
54 Mot inconnu : PC2 => **PC1** sera le PC principal qui servira de serveur et de lieu de stockage, c'est sur ce PC qu'il y aura le plus gros du travail à réaliser. Concernant **PC2** et **PC3**, la configuration est assez rapide, à vous de rajouter autant de machines que vous pouvez, les réglages seront toujours les mêmes (**PC4**, **PC5**...). | pc2
54 Mot inconnu : PC3 => **PC1** sera le PC principal qui servira de serveur et de lieu de stockage, c'est sur ce PC qu'il y aura le plus gros du travail à réaliser. Concernant **PC2** et **PC3**, la configuration est assez rapide, à vous de rajouter autant de machines que vous pouvez, les réglages seront toujours les mêmes (**PC4**, **PC5**...). | pc3
54 Mot inconnu : PC4 => **PC1** sera le PC principal qui servira de serveur et de lieu de stockage, c'est sur ce PC qu'il y aura le plus gros du travail à réaliser. Concernant **PC2** et **PC3**, la configuration est assez rapide, à vous de rajouter autant de machines que vous pouvez, les réglages seront toujours les mêmes (**PC4**, **PC5**...). | pc4
54 Mot inconnu : PC5 => **PC1** sera le PC principal qui servira de serveur et de lieu de stockage, c'est sur ce PC qu'il y aura le plus gros du travail à réaliser. Concernant **PC2** et **PC3**, la configuration est assez rapide, à vous de rajouter autant de machines que vous pouvez, les réglages seront toujours les mêmes (**PC4**, **PC5**...). | pc5
54 Typographie : points de suspension. Utilisez le caractère dédié. => **PC1** sera le PC principal qui servira de serveur et de lieu de stockage, c'est sur ce PC qu'il y aura le plus gros du travail à réaliser. Concernant **PC2** et **PC3**, la configuration est assez rapide, à vous de rajouter autant de machines que vous pouvez, les réglages seront toujours les mêmes (**PC4**, **PC5**...). | ... => suggestions : ['…']

61 Mot inconnu : PC1 => ==== Sur PC1 ==== | pc1

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  Installer les paquets |   => suggestions : ['']
64 Mot inconnu : nfs-kernel-server => [[apt://nfs-kernel-server,nfs-common,ssh,imagemagick,ogmtools,xvid4conf,mjpegtools,transcode,dvdrip,mplayer-skins,mplayer-fonts,libdvdcss2,subtitleripper,libxvidcore4]] | nfs-kernel-server
64 Il manque un espace. => [[apt://nfs-kernel-server,nfs-common,ssh,imagemagick,ogmtools,xvid4conf,mjpegtools,transcode,dvdrip,mplayer-skins,mplayer-fonts,libdvdcss2,subtitleripper,libxvidcore4]] | nfs-common => suggestions : [' nfs-common']
64 Mot inconnu : nfs-common => [[apt://nfs-kernel-server,nfs-common,ssh,imagemagick,ogmtools,xvid4conf,mjpegtools,transcode,dvdrip,mplayer-skins,mplayer-fonts,libdvdcss2,subtitleripper,libxvidcore4]] | nfs-common
64 Mot inconnu : ssh => [[apt://nfs-kernel-server,nfs-common,ssh,imagemagick,ogmtools,xvid4conf,mjpegtools,transcode,dvdrip,mplayer-skins,mplayer-fonts,libdvdcss2,subtitleripper,libxvidcore4]] | ssh
64 Il manque un espace. => [[apt://nfs-kernel-server,nfs-common,ssh,imagemagick,ogmtools,xvid4conf,mjpegtools,transcode,dvdrip,mplayer-skins,mplayer-fonts,libdvdcss2,subtitleripper,libxvidcore4]] | imagemagick => suggestions : [' imagemagick']
64 Mot inconnu : imagemagick => [[apt://nfs-kernel-server,nfs-common,ssh,imagemagick,ogmtools,xvid4conf,mjpegtools,transcode,dvdrip,mplayer-skins,mplayer-fonts,libdvdcss2,subtitleripper,libxvidcore4]] | imagemagick
64 Mot inconnu : ogmtools => [[apt://nfs-kernel-server,nfs-common,ssh,imagemagick,ogmtools,xvid4conf,mjpegtools,transcode,dvdrip,mplayer-skins,mplayer-fonts,libdvdcss2,subtitleripper,libxvidcore4]] | ogmtools
64 Il manque un espace. => [[apt://nfs-kernel-server,nfs-common,ssh,imagemagick,ogmtools,xvid4conf,mjpegtools,transcode,dvdrip,mplayer-skins,mplayer-fonts,libdvdcss2,subtitleripper,libxvidcore4]] | xvid4conf => suggestions : [' xvid4conf']
64 Mot inconnu : xvid4conf => [[apt://nfs-kernel-server,nfs-common,ssh,imagemagick,ogmtools,xvid4conf,mjpegtools,transcode,dvdrip,mplayer-skins,mplayer-fonts,libdvdcss2,subtitleripper,libxvidcore4]] | xvid4conf
64 Mot inconnu : mjpegtools => [[apt://nfs-kernel-server,nfs-common,ssh,imagemagick,ogmtools,xvid4conf,mjpegtools,transcode,dvdrip,mplayer-skins,mplayer-fonts,libdvdcss2,subtitleripper,libxvidcore4]] | mjpegtools
64 Il manque un espace. => [[apt://nfs-kernel-server,nfs-common,ssh,imagemagick,ogmtools,xvid4conf,mjpegtools,transcode,dvdrip,mplayer-skins,mplayer-fonts,libdvdcss2,subtitleripper,libxvidcore4]] | transcode => suggestions : [' transcode']
64 Mot inconnu : dvdrip => [[apt://nfs-kernel-server,nfs-common,ssh,imagemagick,ogmtools,xvid4conf,mjpegtools,transcode,dvdrip,mplayer-skins,mplayer-fonts,libdvdcss2,subtitleripper,libxvidcore4]] | dvdrip
64 Il manque un espace. => [[apt://nfs-kernel-server,nfs-common,ssh,imagemagick,ogmtools,xvid4conf,mjpegtools,transcode,dvdrip,mplayer-skins,mplayer-fonts,libdvdcss2,subtitleripper,libxvidcore4]] | mplayer-skins => suggestions : [' mplayer-skins']
64 Mot inconnu : mplayer-skins => [[apt://nfs-kernel-server,nfs-common,ssh,imagemagick,ogmtools,xvid4conf,mjpegtools,transcode,dvdrip,mplayer-skins,mplayer-fonts,libdvdcss2,subtitleripper,libxvidcore4]] | mplayer-skins
64 Mot inconnu : mplayer-fonts => [[apt://nfs-kernel-server,nfs-common,ssh,imagemagick,ogmtools,xvid4conf,mjpegtools,transcode,dvdrip,mplayer-skins,mplayer-fonts,libdvdcss2,subtitleripper,libxvidcore4]] | mplayer-fonts
64 Il manque un espace. => [[apt://nfs-kernel-server,nfs-common,ssh,imagemagick,ogmtools,xvid4conf,mjpegtools,transcode,dvdrip,mplayer-skins,mplayer-fonts,libdvdcss2,subtitleripper,libxvidcore4]] | libdvdcss2 => suggestions : [' libdvdcss2']
64 Mot inconnu : libdvdcss2 => [[apt://nfs-kernel-server,nfs-common,ssh,imagemagick,ogmtools,xvid4conf,mjpegtools,transcode,dvdrip,mplayer-skins,mplayer-fonts,libdvdcss2,subtitleripper,libxvidcore4]] | libdvdcss2
64 Mot inconnu : subtitleripper => [[apt://nfs-kernel-server,nfs-common,ssh,imagemagick,ogmtools,xvid4conf,mjpegtools,transcode,dvdrip,mplayer-skins,mplayer-fonts,libdvdcss2,subtitleripper,libxvidcore4]] | subtitleripper
64 Il manque un espace. => [[apt://nfs-kernel-server,nfs-common,ssh,imagemagick,ogmtools,xvid4conf,mjpegtools,transcode,dvdrip,mplayer-skins,mplayer-fonts,libdvdcss2,subtitleripper,libxvidcore4]] | libxvidcore4 => suggestions : [' libxvidcore4']
64 Mot inconnu : libxvidcore4 => [[apt://nfs-kernel-server,nfs-common,ssh,imagemagick,ogmtools,xvid4conf,mjpegtools,transcode,dvdrip,mplayer-skins,mplayer-fonts,libdvdcss2,subtitleripper,libxvidcore4]] | libxvidcore4

66 Mot inconnu : PC2 => ==== Sur PC2, PC3... ==== | pc2
66 Mot inconnu : PC3 => ==== Sur PC2, PC3... ==== | pc3
66 Typographie : points de suspension. Utilisez le caractère dédié. => ==== Sur PC2, PC3... ==== | ... => suggestions : ['…']

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
71 Mot inconnu : ssh => [[apt://ssh,openssh-server,openssh-client,nfs-common,transcode,libdvdcss2,libxvidcore4,ogmtools]] | ssh
71 Il manque un espace. => [[apt://ssh,openssh-server,openssh-client,nfs-common,transcode,libdvdcss2,libxvidcore4,ogmtools]] | openssh-server => suggestions : [' openssh-server']
71 Mot inconnu : openssh-server => [[apt://ssh,openssh-server,openssh-client,nfs-common,transcode,libdvdcss2,libxvidcore4,ogmtools]] | openssh-server
71 Mot inconnu : openssh-client => [[apt://ssh,openssh-server,openssh-client,nfs-common,transcode,libdvdcss2,libxvidcore4,ogmtools]] | openssh-client
71 Il manque un espace. => [[apt://ssh,openssh-server,openssh-client,nfs-common,transcode,libdvdcss2,libxvidcore4,ogmtools]] | nfs-common => suggestions : [' nfs-common']
71 Mot inconnu : nfs-common => [[apt://ssh,openssh-server,openssh-client,nfs-common,transcode,libdvdcss2,libxvidcore4,ogmtools]] | nfs-common
71 Il manque un espace. => [[apt://ssh,openssh-server,openssh-client,nfs-common,transcode,libdvdcss2,libxvidcore4,ogmtools]] | libdvdcss2 => suggestions : [' libdvdcss2']
71 Mot inconnu : libdvdcss2 => [[apt://ssh,openssh-server,openssh-client,nfs-common,transcode,libdvdcss2,libxvidcore4,ogmtools]] | libdvdcss2
71 Mot inconnu : libxvidcore4 => [[apt://ssh,openssh-server,openssh-client,nfs-common,transcode,libdvdcss2,libxvidcore4,ogmtools]] | libxvidcore4
71 Il manque un espace. => [[apt://ssh,openssh-server,openssh-client,nfs-common,transcode,libdvdcss2,libxvidcore4,ogmtools]] | ogmtools => suggestions : [' ogmtools']
71 Mot inconnu : ogmtools => [[apt://ssh,openssh-server,openssh-client,nfs-common,transcode,libdvdcss2,libxvidcore4,ogmtools]] | ogmtools

77 Guillemets typographiques ouvrants. => Je rappelle que pour une question de clarté, j'ai choisi "tux" comme nom d'utilisateur suivi du numéro du PC auquel il appartient, tux1 pour pc1... à vous d'adapter selon vos noms d'utilisateurs. | " => suggestions : ['«\xa0', '“']
77 Mot inconnu : tux => Je rappelle que pour une question de clarté, j'ai choisi "tux" comme nom d'utilisateur suivi du numéro du PC auquel il appartient, tux1 pour pc1... à vous d'adapter selon vos noms d'utilisateurs. | tux
77 Guillemets typographiques fermants. => Je rappelle que pour une question de clarté, j'ai choisi "tux" comme nom d'utilisateur suivi du numéro du PC auquel il appartient, tux1 pour pc1... à vous d'adapter selon vos noms d'utilisateurs. | " => suggestions : ['\xa0»', '”']
77 Mot inconnu : tux1 => Je rappelle que pour une question de clarté, j'ai choisi "tux" comme nom d'utilisateur suivi du numéro du PC auquel il appartient, tux1 pour pc1... à vous d'adapter selon vos noms d'utilisateurs. | tux1
77 Mot inconnu : pc1 => Je rappelle que pour une question de clarté, j'ai choisi "tux" comme nom d'utilisateur suivi du numéro du PC auquel il appartient, tux1 pour pc1... à vous d'adapter selon vos noms d'utilisateurs. | pc1
77 Typographie : points de suspension. Utilisez le caractère dédié. => Je rappelle que pour une question de clarté, j'ai choisi "tux" comme nom d'utilisateur suivi du numéro du PC auquel il appartient, tux1 pour pc1... à vous d'adapter selon vos noms d'utilisateurs. | ... => suggestions : ['…']

79 Guillemets typographiques ouvrants. => Sur chaque PC, nous allons créer le dossier "Divx" situé dans /home/tux(1,2,3...)/ | " => suggestions : ['«\xa0', '“']
79 Mot inconnu : Divx => Sur chaque PC, nous allons créer le dossier "Divx" situé dans /home/tux(1,2,3...)/ | divx
79 Guillemets typographiques fermants. => Sur chaque PC, nous allons créer le dossier "Divx" situé dans /home/tux(1,2,3...)/ | " => suggestions : ['\xa0»', '”']
79 Il manque un espace avant la parenthèse. => Sur chaque PC, nous allons créer le dossier "Divx" situé dans /home/tux(1,2,3...)/ | ( => suggestions : [' (']
79 Typographie : points de suspension. Utilisez le caractère dédié. => Sur chaque PC, nous allons créer le dossier "Divx" situé dans /home/tux(1,2,3...)/ | ... => suggestions : ['…']

84 Mot inconnu : NFS => ===== Configuration du serveur NFS sur PC1 ===== | nfs
84 Mot inconnu : PC1 => ===== Configuration du serveur NFS sur PC1 ===== | pc1

86 Guillemets typographiques ouvrants. => Tous les fichiers à encoder seront stockés "réellement" dans /home/tux1/Divx.\\ | " => suggestions : ['«\xa0', '“']
86 Guillemets typographiques fermants. => Tous les fichiers à encoder seront stockés "réellement" dans /home/tux1/Divx.\\ | " => suggestions : ['\xa0»', '”']

87 Mot inconnu : PC2 => Il est donc primordial que **PC2** et **PC3** aient le droit d'écrire dans ce dossier en utilisant le partage de fichier NFS. | pc2
87 Mot inconnu : PC3 => Il est donc primordial que **PC2** et **PC3** aient le droit d'écrire dans ce dossier en utilisant le partage de fichier NFS. | pc3
87 Mot inconnu : NFS => Il est donc primordial que **PC2** et **PC3** aient le droit d'écrire dans ce dossier en utilisant le partage de fichier NFS. | nfs

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Il faut spécifier à **PC1**, quels PC (adresse IP de **PC2** et **PC3**) sont autorisés à communiquer avec lui : |    => suggestions : ['']
89 Mot inconnu : PC1 =>   * Il faut spécifier à **PC1**, quels PC (adresse IP de **PC2** et **PC3**) sont autorisés à communiquer avec lui : | pc1
89 Mot inconnu : PC2 =>   * Il faut spécifier à **PC1**, quels PC (adresse IP de **PC2** et **PC3**) sont autorisés à communiquer avec lui : | pc2
89 Mot inconnu : PC3 =>   * Il faut spécifier à **PC1**, quels PC (adresse IP de **PC2** et **PC3**) sont autorisés à communiquer avec lui : | pc3

96 Mot inconnu : statd => statd:192.168.2.3 192.168.2.4</code> | statd

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Nous allons autoriser **PC2** et **PC3** à avoir accés au dossier /home/tux1/Divx, toujours sur **PC1**\\ |    => suggestions : ['']
99 Mot inconnu : PC2 =>   * Nous allons autoriser **PC2** et **PC3** à avoir accés au dossier /home/tux1/Divx, toujours sur **PC1**\\ | pc2
99 Mot inconnu : PC3 =>   * Nous allons autoriser **PC2** et **PC3** à avoir accés au dossier /home/tux1/Divx, toujours sur **PC1**\\ | pc3
99 Mot inconnu : accés =>   * Nous allons autoriser **PC2** et **PC3** à avoir accés au dossier /home/tux1/Divx, toujours sur **PC1**\\ | accés
99 Mot inconnu : PC1 =>   * Nous allons autoriser **PC2** et **PC3** à avoir accés au dossier /home/tux1/Divx, toujours sur **PC1**\\ | pc1

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Maintenant que notre configuration est opérationnelle, on redémarre le serveur NFS |    => suggestions : ['']
105 Mot inconnu : NFS =>   * Maintenant que notre configuration est opérationnelle, on redémarre le serveur NFS | nfs

107 Mot inconnu : NFS => Voilà pour la configuration du serveur NFS sur **PC1**.\\  | nfs
107 Mot inconnu : PC1 => Voilà pour la configuration du serveur NFS sur **PC1**.\\  | pc1
107 Espace(s) en fin de ligne à supprimer. => Voilà pour la configuration du serveur NFS sur **PC1**.\\  |   => suggestions : ['']

115 Mot inconnu : SSH => ===== 6. Configuration du serveur SSH sur PC1 ===== | ssh
115 Mot inconnu : PC1 => ===== 6. Configuration du serveur SSH sur PC1 ===== | pc1

119 Mot inconnu : SSH => Le duo SSH / demon cluster peut être considéré comme le chef d'orchestre de toute cette organisation. Il va permettre de faire circuler l'information et de distribuer les différentes tâches. | ssh
119 Mot inconnu : demon => Le duo SSH / demon cluster peut être considéré comme le chef d'orchestre de toute cette organisation. Il va permettre de faire circuler l'information et de distribuer les différentes tâches. | demon

120 Mot inconnu : SSH => Grâce à SSH vous pouvez prendre le contrôle de la machine **PC2** tout en restant sur **PC1**. | ssh
120 Mot inconnu : PC2 => Grâce à SSH vous pouvez prendre le contrôle de la machine **PC2** tout en restant sur **PC1**. | pc2
120 Mot inconnu : PC1 => Grâce à SSH vous pouvez prendre le contrôle de la machine **PC2** tout en restant sur **PC1**. | pc1

124 Espace(s) en fin de ligne à supprimer. => Bien sûr, ce système fort pratique pour toutes manipulations à distance, nécessite l'entrée du mot de passe de l'utilisateur du PC distant. C'est ce qui nous gêne dans notre cas.  |   => suggestions : ['']

126 Mot inconnu : noeuds => Lors d'un encodage en mode cluster, le démon cluster interroge toutes les machines (noeuds) disponibles et répartit le travail sur chacun. Seulement il faut entrer le mot de passe à chaque nouvelle connexion et nouvelle portion de travail créée. Cela devient vite infernal voire impossible à gérer.  | noeuds
126 Espace(s) en fin de ligne à supprimer. => Lors d'un encodage en mode cluster, le démon cluster interroge toutes les machines (noeuds) disponibles et répartit le travail sur chacun. Seulement il faut entrer le mot de passe à chaque nouvelle connexion et nouvelle portion de travail créée. Cela devient vite infernal voire impossible à gérer.  |   => suggestions : ['']

134 Mot inconnu : PC1 => Tout se fait de **PC1** : | pc1

136 Espace(s) en fin de ligne à supprimer. => à la phrase\\  |   => suggestions : ['']

137 Guillemets typographiques ouvrants. => "Enter file in which to save the key (/home/tux1/.ssh/id_dsa)" faites juste Entrée\\ | " => suggestions : ['«\xa0', '“']
137 Mot inconnu : which => "Enter file in which to save the key (/home/tux1/.ssh/id_dsa)" faites juste Entrée\\ | which
137 Mot inconnu : to => "Enter file in which to save the key (/home/tux1/.ssh/id_dsa)" faites juste Entrée\\ | to
137 Mot inconnu : save => "Enter file in which to save the key (/home/tux1/.ssh/id_dsa)" faites juste Entrée\\ | save
137 Mot inconnu : the => "Enter file in which to save the key (/home/tux1/.ssh/id_dsa)" faites juste Entrée\\ | the
137 Mot inconnu : key => "Enter file in which to save the key (/home/tux1/.ssh/id_dsa)" faites juste Entrée\\ | key
137 Après le verbe “faire”, ce verbe devrait être à l’infinitif. => "Enter file in which to save the key (/home/tux1/.ssh/id_dsa)" faites juste Entrée\\ | entrée => suggestions : ['Entrer']

139 Guillemets typographiques ouvrants. => "Enter passphrase (empty for no passphrase):" entrer le mot de passe ou passphrase de votre choix (5 caractères minimum).\\ | " => suggestions : ['«\xa0', '“']
139 Mot inconnu : passphrase => "Enter passphrase (empty for no passphrase):" entrer le mot de passe ou passphrase de votre choix (5 caractères minimum).\\ | passphrase
139 Mot inconnu : empty => "Enter passphrase (empty for no passphrase):" entrer le mot de passe ou passphrase de votre choix (5 caractères minimum).\\ | empty
139 Mot inconnu : passphrase => "Enter passphrase (empty for no passphrase):" entrer le mot de passe ou passphrase de votre choix (5 caractères minimum).\\ | passphrase
