
3 Mot inconnu : Wine => ====== Wine et logiciels MIDI ====== | wine
50 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => # adaptez cette ligne selon le dossier où vous avez mis le .exe |  . => suggestions : ['. ', '.']
50 Mot inconnu : exe => # adaptez cette ligne selon le dossier où vous avez mis le .exe | exe

51 Mot inconnu : wine => wine ~/.wine/drive_c/Program\ Files/Synthesia.exe %@ | wine
51 Mot inconnu : wine => wine ~/.wine/drive_c/Program\ Files/Synthesia.exe %@ | wine
51 Mot inconnu : drive_c => wine ~/.wine/drive_c/Program\ Files/Synthesia.exe %@ | drive_c
51 Mot inconnu : Program => wine ~/.wine/drive_c/Program\ Files/Synthesia.exe %@ | program
51 Mot inconnu : Synthesia => wine ~/.wine/drive_c/Program\ Files/Synthesia.exe %@ | synthesia
51 Mot inconnu : exe => wine ~/.wine/drive_c/Program\ Files/Synthesia.exe %@ | exe

53 Mot inconnu : killall => killall timidity | killall
53 Mot inconnu : timidity => killall timidity | timidity
64 Guillemets typographiques ouvrants. => Parfait ! Maintenant si vous tapez "synthesia" dans une console, le logiciel devrait se lancer. Vous pourrez même créer un lanceur ! | " => suggestions : ['«\xa0', '“']
64 Mot inconnu : synthesia => Parfait ! Maintenant si vous tapez "synthesia" dans une console, le logiciel devrait se lancer. Vous pourrez même créer un lanceur ! | synthesia
64 Guillemets typographiques fermants. => Parfait ! Maintenant si vous tapez "synthesia" dans une console, le logiciel devrait se lancer. Vous pourrez même créer un lanceur ! | " => suggestions : ['\xa0»', '”']

70 Mot inconnu : Synthesia => Pour Synthesia c'est assez simple, vu qu' il affiche la configuration directos :) | synthesia
70 Apostrophe incorrecte. => Pour Synthesia c'est assez simple, vu qu' il affiche la configuration directos :) | qu'  => suggestions : ['qu’']
70 Guillemets typographiques fermants. => Pour Synthesia c'est assez simple, vu qu' il affiche la configuration directos :) | ' => suggestions : ['”', '’', '›']
70 Mot inconnu : directos => Pour Synthesia c'est assez simple, vu qu' il affiche la configuration directos :) | directos

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://wiki.winehq.org/MIDI#Linux|Page midi de wine hq]] |    => suggestions : ['']
77 Mot inconnu : wine =>   * [[https://wiki.winehq.org/MIDI#Linux|Page midi de wine hq]] | wine
77 Mot inconnu : hq =>   * [[https://wiki.winehq.org/MIDI#Linux|Page midi de wine hq]] | hq

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un tutoriel résumant ce qu'il est possible de faire en midi sous Linux, avec une grosse partie explicative sur Tmidity et NoteWorthy Composer :  |    => suggestions : ['']
78 Mot inconnu : Tmidity =>   * Un tutoriel résumant ce qu'il est possible de faire en midi sous Linux, avec une grosse partie explicative sur Tmidity et NoteWorthy Composer :  | tmidity
78 Mot inconnu : NoteWorthy =>   * Un tutoriel résumant ce qu'il est possible de faire en midi sous Linux, avec une grosse partie explicative sur Tmidity et NoteWorthy Composer :  | noteworthy
78 Espace(s) en fin de ligne à supprimer. =>   * Un tutoriel résumant ce qu'il est possible de faire en midi sous Linux, avec une grosse partie explicative sur Tmidity et NoteWorthy Composer :  |   => suggestions : ['']

81 Il manque un espace. => //Contributeurs:[[utilisateurs:guig0z]], [[utilisateurs:adam0509]], et [[utilisateurs:Fabien26]], [[utilisateurs:laden]]// | guig0z => suggestions : [' guig0z']
81 Il manque un espace. => //Contributeurs:[[utilisateurs:guig0z]], [[utilisateurs:adam0509]], et [[utilisateurs:Fabien26]], [[utilisateurs:laden]]// | adam0509 => suggestions : [' adam0509']
81 Il manque un espace. => //Contributeurs:[[utilisateurs:guig0z]], [[utilisateurs:adam0509]], et [[utilisateurs:Fabien26]], [[utilisateurs:laden]]// | fabien26 => suggestions : [' Fabien26']
81 Il manque un espace. => //Contributeurs:[[utilisateurs:guig0z]], [[utilisateurs:adam0509]], et [[utilisateurs:Fabien26]], [[utilisateurs:laden]]// | laden => suggestions : [' laden']
