
3 Mot inconnu : UFR => ====== Comment installer les pilotes génériques Canon UFR II-LT ====== | ufr
39 Espace(s) en fin de ligne à supprimer. =>   * **cndrvcups-common_3.00-1_amd64.deb**  |   => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **cndrvcups-ufr2lt-uk_1.10-1_amd64.deb** |    => suggestions : ['']
40 Mot inconnu : cndrvcups-ufr2lt-uk_1 =>   * **cndrvcups-ufr2lt-uk_1.10-1_amd64.deb** | cndrvcups-ufr2lt-uk_1
40 Mot inconnu : _amd64 =>   * **cndrvcups-ufr2lt-uk_1.10-1_amd64.deb** | _amd64
40 Mot inconnu : deb =>   * **cndrvcups-ufr2lt-uk_1.10-1_amd64.deb** | deb

43 Mot inconnu : cndrvcups-ufr2lt-uk_1 => Vous ferez ensuite un double-clic sur le paquet **cndrvcups-ufr2lt-uk_1.10-1_amd64.deb** afin de finaliser l'installation du pilote. | cndrvcups-ufr2lt-uk_1
43 Mot inconnu : _amd64 => Vous ferez ensuite un double-clic sur le paquet **cndrvcups-ufr2lt-uk_1.10-1_amd64.deb** afin de finaliser l'installation du pilote. | _amd64
43 Mot inconnu : deb => Vous ferez ensuite un double-clic sur le paquet **cndrvcups-ufr2lt-uk_1.10-1_amd64.deb** afin de finaliser l'installation du pilote. | deb

50 Accord de nombre erroné avec « plusieurs choix » : « possible » devrait être au pluriel. => Si vous avez plusieurs choix possible au moment de la detection de l'imprimante, prenez la ligne avec **USB#**. | possible => suggestions : ['possibles']
50 Mot inconnu : detection => Si vous avez plusieurs choix possible au moment de la detection de l'imprimante, prenez la ligne avec **USB#**. | detection
