
7 Mot inconnu : TPME => ====== Création d'un réseau d'entreprise pour une TPME ou une PME ====== <|> tpme
22 Guillemets typographiques fermants. => Comme vous pouvez vous en rendre compte, le réseau est somme toute fort classique. 2 Serveurs (PRIMARY et SECONDARY) ainsi que 2 WKS (CLIENT-1 "Windows" et CLIENT-2 "Ubuntu DESKTOP") et pour finir 2 switches (VSWITCH1 et VSWITCH2). Vous remarquerez également que tout ce joli petit monde est "émulé" ou "virtualisé". Nous verrons dans un instant comment réaliser tout cela. Bien entendu libre à vous d'utiliser des machines physiques pour réaliser l'installation. <|> " => suggestions : ['\xa0»', '”']
22 Mot inconnu : switches => Comme vous pouvez vous en rendre compte, le réseau est somme toute fort classique. 2 Serveurs (PRIMARY et SECONDARY) ainsi que 2 WKS (CLIENT-1 "Windows" et CLIENT-2 "Ubuntu DESKTOP") et pour finir 2 switches (VSWITCH1 et VSWITCH2). Vous remarquerez également que tout ce joli petit monde est "émulé" ou "virtualisé". Nous verrons dans un instant comment réaliser tout cela. Bien entendu libre à vous d'utiliser des machines physiques pour réaliser l'installation. <|> switches
22 Mot inconnu : VSWITCH1 => Comme vous pouvez vous en rendre compte, le réseau est somme toute fort classique. 2 Serveurs (PRIMARY et SECONDARY) ainsi que 2 WKS (CLIENT-1 "Windows" et CLIENT-2 "Ubuntu DESKTOP") et pour finir 2 switches (VSWITCH1 et VSWITCH2). Vous remarquerez également que tout ce joli petit monde est "émulé" ou "virtualisé". Nous verrons dans un instant comment réaliser tout cela. Bien entendu libre à vous d'utiliser des machines physiques pour réaliser l'installation. <|> vswitch1
22 Mot inconnu : VSWITCH2 => Comme vous pouvez vous en rendre compte, le réseau est somme toute fort classique. 2 Serveurs (PRIMARY et SECONDARY) ainsi que 2 WKS (CLIENT-1 "Windows" et CLIENT-2 "Ubuntu DESKTOP") et pour finir 2 switches (VSWITCH1 et VSWITCH2). Vous remarquerez également que tout ce joli petit monde est "émulé" ou "virtualisé". Nous verrons dans un instant comment réaliser tout cela. Bien entendu libre à vous d'utiliser des machines physiques pour réaliser l'installation. <|> vswitch2
22 Guillemets typographiques ouvrants. => Comme vous pouvez vous en rendre compte, le réseau est somme toute fort classique. 2 Serveurs (PRIMARY et SECONDARY) ainsi que 2 WKS (CLIENT-1 "Windows" et CLIENT-2 "Ubuntu DESKTOP") et pour finir 2 switches (VSWITCH1 et VSWITCH2). Vous remarquerez également que tout ce joli petit monde est "émulé" ou "virtualisé". Nous verrons dans un instant comment réaliser tout cela. Bien entendu libre à vous d'utiliser des machines physiques pour réaliser l'installation. <|> " => suggestions : ['«\xa0', '“']
22 Guillemets typographiques fermants. => Comme vous pouvez vous en rendre compte, le réseau est somme toute fort classique. 2 Serveurs (PRIMARY et SECONDARY) ainsi que 2 WKS (CLIENT-1 "Windows" et CLIENT-2 "Ubuntu DESKTOP") et pour finir 2 switches (VSWITCH1 et VSWITCH2). Vous remarquerez également que tout ce joli petit monde est "émulé" ou "virtualisé". Nous verrons dans un instant comment réaliser tout cela. Bien entendu libre à vous d'utiliser des machines physiques pour réaliser l'installation. <|> " => suggestions : ['\xa0»', '”']
22 Guillemets typographiques ouvrants. => Comme vous pouvez vous en rendre compte, le réseau est somme toute fort classique. 2 Serveurs (PRIMARY et SECONDARY) ainsi que 2 WKS (CLIENT-1 "Windows" et CLIENT-2 "Ubuntu DESKTOP") et pour finir 2 switches (VSWITCH1 et VSWITCH2). Vous remarquerez également que tout ce joli petit monde est "émulé" ou "virtualisé". Nous verrons dans un instant comment réaliser tout cela. Bien entendu libre à vous d'utiliser des machines physiques pour réaliser l'installation. <|> " => suggestions : ['«\xa0', '“']
22 Guillemets typographiques fermants. => Comme vous pouvez vous en rendre compte, le réseau est somme toute fort classique. 2 Serveurs (PRIMARY et SECONDARY) ainsi que 2 WKS (CLIENT-1 "Windows" et CLIENT-2 "Ubuntu DESKTOP") et pour finir 2 switches (VSWITCH1 et VSWITCH2). Vous remarquerez également que tout ce joli petit monde est "émulé" ou "virtualisé". Nous verrons dans un instant comment réaliser tout cela. Bien entendu libre à vous d'utiliser des machines physiques pour réaliser l'installation. <|> " => suggestions : ['\xa0»', '”']

28 Mot inconnu : virtualiseur => Pour exécuter ce projet, vous pouvez utiliser un virtualiseur comme VMWARE ou VIRTUALBOX. Ceci dit, de grosses différences séparent ces deux virtualiseurs et donc vous obligeront à plus ou moins de manipulations afin d'obtenir le même résultat. Celles-ci seront expliquées au fur et à mesure de l'évolution. <|> virtualiseur
28 Mot inconnu : VMWARE => Pour exécuter ce projet, vous pouvez utiliser un virtualiseur comme VMWARE ou VIRTUALBOX. Ceci dit, de grosses différences séparent ces deux virtualiseurs et donc vous obligeront à plus ou moins de manipulations afin d'obtenir le même résultat. Celles-ci seront expliquées au fur et à mesure de l'évolution. <|> vmware
28 Mot inconnu : VIRTUALBOX => Pour exécuter ce projet, vous pouvez utiliser un virtualiseur comme VMWARE ou VIRTUALBOX. Ceci dit, de grosses différences séparent ces deux virtualiseurs et donc vous obligeront à plus ou moins de manipulations afin d'obtenir le même résultat. Celles-ci seront expliquées au fur et à mesure de l'évolution. <|> virtualbox
28 Mot inconnu : virtualiseurs => Pour exécuter ce projet, vous pouvez utiliser un virtualiseur comme VMWARE ou VIRTUALBOX. Ceci dit, de grosses différences séparent ces deux virtualiseurs et donc vous obligeront à plus ou moins de manipulations afin d'obtenir le même résultat. Celles-ci seront expliquées au fur et à mesure de l'évolution. <|> virtualiseurs

32 Mot inconnu : Primary => ==== Primary Server ==== <|> primary
32 Mot inconnu : Server => ==== Primary Server ==== <|> server

34 Mot inconnu : Secondary => Sous cette appellation se trouve campée la clé de voute du système informatique. La plupart des services peuvent être secondés par un Secondary Server ou Backup Server. C'est d'ailleurs préférable, mais celui-ci ne vous permettra que de gagner du temps avant une chute inévitable. C'est pourquoi il est important d'apporter un maximum de soins aux scripts d'activations des services mais également à la structure même du réseau, clients compris. <|> secondary
34 Mot inconnu : Server => Sous cette appellation se trouve campée la clé de voute du système informatique. La plupart des services peuvent être secondés par un Secondary Server ou Backup Server. C'est d'ailleurs préférable, mais celui-ci ne vous permettra que de gagner du temps avant une chute inévitable. C'est pourquoi il est important d'apporter un maximum de soins aux scripts d'activations des services mais également à la structure même du réseau, clients compris. <|> server
34 Mot inconnu : Backup => Sous cette appellation se trouve campée la clé de voute du système informatique. La plupart des services peuvent être secondés par un Secondary Server ou Backup Server. C'est d'ailleurs préférable, mais celui-ci ne vous permettra que de gagner du temps avant une chute inévitable. C'est pourquoi il est important d'apporter un maximum de soins aux scripts d'activations des services mais également à la structure même du réseau, clients compris. <|> backup
34 Mot inconnu : Server => Sous cette appellation se trouve campée la clé de voute du système informatique. La plupart des services peuvent être secondés par un Secondary Server ou Backup Server. C'est d'ailleurs préférable, mais celui-ci ne vous permettra que de gagner du temps avant une chute inévitable. C'est pourquoi il est important d'apporter un maximum de soins aux scripts d'activations des services mais également à la structure même du réseau, clients compris. <|> server

36 Mot inconnu : Primary => Voici les fonctionnalités assumées par le Primary Server : <|> primary
36 Mot inconnu : Server => Voici les fonctionnalités assumées par le Primary Server : <|> server
39 Mot inconnu : Time =>   * Time Serveur <|> time
40 Mot inconnu : DOMAIN =>   * SAMBA DOMAIN Controleur Serveur <|> domain
40 Mot inconnu : Controleur =>   * SAMBA DOMAIN Controleur Serveur <|> controleur
41 Mot inconnu : LDAP =>   * LDAP Serveur <|> ldap

44 Mot inconnu : Secondary => ==== Secondary Serveur ==== <|> secondary

46 Mot inconnu : Secondary => Le Secondary server sera utilisé pour soulager certaines fonctions du Primary Serveur en jouant le rôle de Backup mais également en proposant des fonctions inédites dans votre réseau d'entreprise. <|> secondary
46 Mot inconnu : server => Le Secondary server sera utilisé pour soulager certaines fonctions du Primary Serveur en jouant le rôle de Backup mais également en proposant des fonctions inédites dans votre réseau d'entreprise. <|> server
46 Mot inconnu : Primary => Le Secondary server sera utilisé pour soulager certaines fonctions du Primary Serveur en jouant le rôle de Backup mais également en proposant des fonctions inédites dans votre réseau d'entreprise. <|> primary
46 Mot inconnu : Backup => Le Secondary server sera utilisé pour soulager certaines fonctions du Primary Serveur en jouant le rôle de Backup mais également en proposant des fonctions inédites dans votre réseau d'entreprise. <|> backup

48 Mot inconnu : Secondary => Voici les fonctionnalités assumées par le Secondary Serveur: <|> secondary
49 Mot inconnu : Backup =>   * Backup DNS Serveur <|> backup
50 Typographie : points de suspension. Utilisez le caractère dédié. =>   * ... (plus de détails à venir) <|> ... => suggestions : ['…']

57 Mot inconnu : virtualiseur => ===== L'installation du virtualiseur et sa configuration ===== <|> virtualiseur

60 Mot inconnu : VMWARE => ==== VMWARE ==== <|> vmware

62 Mot inconnu : VMWARE => VMWARE jouit d'une assez bonne réputation dans le monde professionnel. Longtemps avant les autres, cette entreprise a su occuper une niche dans le monde informatique en offrant la possibilité de réduire les coûts des infrastructures en entreprise dédiées aux tests et à la phase de Quality Acceptance. <|> vmware
62 Accord de nombre erroné avec « dédiées ». => VMWARE jouit d'une assez bonne réputation dans le monde professionnel. Longtemps avant les autres, cette entreprise a su occuper une niche dans le monde informatique en offrant la possibilité de réduire les coûts des infrastructures en entreprise dédiées aux tests et à la phase de Quality Acceptance. <|> entreprise => suggestions : ['entreprises']
62 Accord de nombre erroné avec « entreprise ». => VMWARE jouit d'une assez bonne réputation dans le monde professionnel. Longtemps avant les autres, cette entreprise a su occuper une niche dans le monde informatique en offrant la possibilité de réduire les coûts des infrastructures en entreprise dédiées aux tests et à la phase de Quality Acceptance. <|> dédiées => suggestions : ['dédiée']
62 Mot inconnu : Quality => VMWARE jouit d'une assez bonne réputation dans le monde professionnel. Longtemps avant les autres, cette entreprise a su occuper une niche dans le monde informatique en offrant la possibilité de réduire les coûts des infrastructures en entreprise dédiées aux tests et à la phase de Quality Acceptance. <|> quality
62 Mot inconnu : Acceptance => VMWARE jouit d'une assez bonne réputation dans le monde professionnel. Longtemps avant les autres, cette entreprise a su occuper une niche dans le monde informatique en offrant la possibilité de réduire les coûts des infrastructures en entreprise dédiées aux tests et à la phase de Quality Acceptance. <|> acceptance

64 Mot inconnu : VMWARE => === Installation de VMWARE === <|> vmware

70 Accord erroné : « virtuel » devrait être au féminin singulier. => Pour plus d'information sur la création d'une machine virtuel avec vmware, vous pouvez consulter ce lien.  <|> virtuel => suggestions : ['virtuelle']
70 Mot inconnu : vmware => Pour plus d'information sur la création d'une machine virtuel avec vmware, vous pouvez consulter ce lien.  <|> vmware

74 Accord de genre erroné : « une version » est féminin, « bêta » est masculin. => Sachez juste qu'à l'heure de l'écriture de ce document une version bêta 2.0 est déjà téléchargeable et installable. Je n'en parlerai pas volontairement ici. Je me contenterai d'utiliser la version 1.4 dite stable. <|> bêta => suggestions : []

78 Mot inconnu : VMWARE => Voilà une chose intéressante. VMWARE permet la configuration du subnet utilisé par chacune de ces cartes via une application en ligne de commande. Sous Windows cette opération est réalisée via un onglet dans le paramétrage de l'application. Pour quoi VMWARE n'a pas réédité la même logique, ... Bon retroussons nos manches et allons-y. <|> vmware
78 Mot inconnu : subnet => Voilà une chose intéressante. VMWARE permet la configuration du subnet utilisé par chacune de ces cartes via une application en ligne de commande. Sous Windows cette opération est réalisée via un onglet dans le paramétrage de l'application. Pour quoi VMWARE n'a pas réédité la même logique, ... Bon retroussons nos manches et allons-y. <|> subnet
78 Mot inconnu : VMWARE => Voilà une chose intéressante. VMWARE permet la configuration du subnet utilisé par chacune de ces cartes via une application en ligne de commande. Sous Windows cette opération est réalisée via un onglet dans le paramétrage de l'application. Pour quoi VMWARE n'a pas réédité la même logique, ... Bon retroussons nos manches et allons-y. <|> vmware
78 Une de ces ponctuations est superflue. => Voilà une chose intéressante. VMWARE permet la configuration du subnet utilisé par chacune de ces cartes via une application en ligne de commande. Sous Windows cette opération est réalisée via un onglet dans le paramétrage de l'application. Pour quoi VMWARE n'a pas réédité la même logique, ... Bon retroussons nos manches et allons-y. <|> , . => suggestions : [',', '.']
78 Typographie : points de suspension. Utilisez le caractère dédié. => Voilà une chose intéressante. VMWARE permet la configuration du subnet utilisé par chacune de ces cartes via une application en ligne de commande. Sous Windows cette opération est réalisée via un onglet dans le paramétrage de l'application. Pour quoi VMWARE n'a pas réédité la même logique, ... Bon retroussons nos manches et allons-y. <|> ... => suggestions : ['…']

82 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => <note important>toutes les questions qui vous seront posées peuvent soit être validée par défaut "la valeur entre []" avec la touche ENTER, soit par une nouvelle valeur. Si vous devez répondre spécifiquement à une de ces questions, je vous l'indiquerai</note> <|> toutes => suggestions : ['Toutes']
82 Guillemets typographiques ouvrants. => <note important>toutes les questions qui vous seront posées peuvent soit être validée par défaut "la valeur entre []" avec la touche ENTER, soit par une nouvelle valeur. Si vous devez répondre spécifiquement à une de ces questions, je vous l'indiquerai</note> <|> " => suggestions : ['«\xa0', '“']

177 Mot inconnu : VSWITCH-1 => Bien, vous voici en possession de deux nouvelles interfaces réseau virtuelles qui correspondent sur notre schéma d'implantation à VSWITCH-1 et VSWITCH-2. <|> vswitch-1
177 Mot inconnu : VSWITCH-2 => Bien, vous voici en possession de deux nouvelles interfaces réseau virtuelles qui correspondent sur notre schéma d'implantation à VSWITCH-1 et VSWITCH-2. <|> vswitch-2

178 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A ce stade vous pouvez créer votre machine virtuelle et ne connecter pour le moment qu'une seule carte réseau "eth0" qui sera connectée via un bridge "VMNET8" entre VMWARE et votre réseau local. Cela permettra de voir votre machine directement au travers de votre réseau comme s'il s'agissait d'une machine physique connectée à votre subnet. <|> a => suggestions : ['À']
178 Guillemets typographiques ouvrants. => A ce stade vous pouvez créer votre machine virtuelle et ne connecter pour le moment qu'une seule carte réseau "eth0" qui sera connectée via un bridge "VMNET8" entre VMWARE et votre réseau local. Cela permettra de voir votre machine directement au travers de votre réseau comme s'il s'agissait d'une machine physique connectée à votre subnet. <|> " => suggestions : ['«\xa0', '“']
178 Mot inconnu : eth0 => A ce stade vous pouvez créer votre machine virtuelle et ne connecter pour le moment qu'une seule carte réseau "eth0" qui sera connectée via un bridge "VMNET8" entre VMWARE et votre réseau local. Cela permettra de voir votre machine directement au travers de votre réseau comme s'il s'agissait d'une machine physique connectée à votre subnet. <|> eth0
178 Guillemets typographiques fermants. => A ce stade vous pouvez créer votre machine virtuelle et ne connecter pour le moment qu'une seule carte réseau "eth0" qui sera connectée via un bridge "VMNET8" entre VMWARE et votre réseau local. Cela permettra de voir votre machine directement au travers de votre réseau comme s'il s'agissait d'une machine physique connectée à votre subnet. <|> " => suggestions : ['\xa0»', '”']
178 Guillemets typographiques ouvrants. => A ce stade vous pouvez créer votre machine virtuelle et ne connecter pour le moment qu'une seule carte réseau "eth0" qui sera connectée via un bridge "VMNET8" entre VMWARE et votre réseau local. Cela permettra de voir votre machine directement au travers de votre réseau comme s'il s'agissait d'une machine physique connectée à votre subnet. <|> " => suggestions : ['«\xa0', '“']
178 Mot inconnu : VMNET8 => A ce stade vous pouvez créer votre machine virtuelle et ne connecter pour le moment qu'une seule carte réseau "eth0" qui sera connectée via un bridge "VMNET8" entre VMWARE et votre réseau local. Cela permettra de voir votre machine directement au travers de votre réseau comme s'il s'agissait d'une machine physique connectée à votre subnet. <|> vmnet8
178 Guillemets typographiques fermants. => A ce stade vous pouvez créer votre machine virtuelle et ne connecter pour le moment qu'une seule carte réseau "eth0" qui sera connectée via un bridge "VMNET8" entre VMWARE et votre réseau local. Cela permettra de voir votre machine directement au travers de votre réseau comme s'il s'agissait d'une machine physique connectée à votre subnet. <|> " => suggestions : ['\xa0»', '”']
178 Mot inconnu : VMWARE => A ce stade vous pouvez créer votre machine virtuelle et ne connecter pour le moment qu'une seule carte réseau "eth0" qui sera connectée via un bridge "VMNET8" entre VMWARE et votre réseau local. Cela permettra de voir votre machine directement au travers de votre réseau comme s'il s'agissait d'une machine physique connectée à votre subnet. <|> vmware
178 Mot inconnu : subnet => A ce stade vous pouvez créer votre machine virtuelle et ne connecter pour le moment qu'une seule carte réseau "eth0" qui sera connectée via un bridge "VMNET8" entre VMWARE et votre réseau local. Cela permettra de voir votre machine directement au travers de votre réseau comme s'il s'agissait d'une machine physique connectée à votre subnet. <|> subnet

185 Mot inconnu : VirtualBox => ==== VirtualBox ==== <|> virtualbox

189 Mot inconnu : VirtualBox => Plusieurs différences majeures sont à signaler entre les virtualiser VirtualBox et VMWare. <|> virtualbox
189 Mot inconnu : VMWare => Plusieurs différences majeures sont à signaler entre les virtualiser VirtualBox et VMWare. <|> vmware
191 Mot inconnu : Virtualbox =>   * Virtualbox: <|> virtualbox

197 Mot inconnu : VirtualBox => <note important>C'est une erreur, VirtualBox n'a pas forcément besoin d'une GUI : "VBoxHeadless -startvm toto" lance une vm qui attend une connexion rdesktop ...</note> <|> virtualbox
197 Accord de genre erroné : « GUI » est masculin. => <note important>C'est une erreur, VirtualBox n'a pas forcément besoin d'une GUI : "VBoxHeadless -startvm toto" lance une vm qui attend une connexion rdesktop ...</note> <|> une => suggestions : ['un']
197 Guillemets typographiques ouvrants. => <note important>C'est une erreur, VirtualBox n'a pas forcément besoin d'une GUI : "VBoxHeadless -startvm toto" lance une vm qui attend une connexion rdesktop ...</note> <|> " => suggestions : ['«\xa0', '“']
197 Mot inconnu : VBoxHeadless => <note important>C'est une erreur, VirtualBox n'a pas forcément besoin d'une GUI : "VBoxHeadless -startvm toto" lance une vm qui attend une connexion rdesktop ...</note> <|> vboxheadless
197 Il manque un espace à côté du tiret. => <note important>C'est une erreur, VirtualBox n'a pas forcément besoin d'une GUI : "VBoxHeadless -startvm toto" lance une vm qui attend une connexion rdesktop ...</note> <|>  - => suggestions : [' – ', ' — ']
197 Mot inconnu : startvm => <note important>C'est une erreur, VirtualBox n'a pas forcément besoin d'une GUI : "VBoxHeadless -startvm toto" lance une vm qui attend une connexion rdesktop ...</note> <|> startvm
197 Guillemets typographiques fermants. => <note important>C'est une erreur, VirtualBox n'a pas forcément besoin d'une GUI : "VBoxHeadless -startvm toto" lance une vm qui attend une connexion rdesktop ...</note> <|> " => suggestions : ['\xa0»', '”']
197 Mot inconnu : vm => <note important>C'est une erreur, VirtualBox n'a pas forcément besoin d'une GUI : "VBoxHeadless -startvm toto" lance une vm qui attend une connexion rdesktop ...</note> <|> vm
197 Mot inconnu : rdesktop => <note important>C'est une erreur, VirtualBox n'a pas forcément besoin d'une GUI : "VBoxHeadless -startvm toto" lance une vm qui attend une connexion rdesktop ...</note> <|> rdesktop
197 Typographie : points de suspension. Utilisez le caractère dédié. => <note important>C'est une erreur, VirtualBox n'a pas forcément besoin d'une GUI : "VBoxHeadless -startvm toto" lance une vm qui attend une connexion rdesktop ...</note> <|> ... => suggestions : ['…']
199 Mot inconnu : VMWare =>   * VMWare Serveur : <|> vmware

204 Mot inconnu : Server => ===== Installation d'Ubuntu Server 7.10 ===== <|> server

205 Après avoir, il faut un participe passé au masculin singulier (sauf si le COD se trouve avant le verbe, improbable dans ce cas de figure). => Démarrez votre machine virtuelle en ayant prit soins de modifier la configuration du cd-rom afin qu'il utilise soit un disque gravé contenant l'image de Ubuntu Server 7.10, soit de pointer directement sur l'image iso de l'Ubuntu Server 7.10 <|> prit => suggestions : ['pris']
205 Mot inconnu : Server => Démarrez votre machine virtuelle en ayant prit soins de modifier la configuration du cd-rom afin qu'il utilise soit un disque gravé contenant l'image de Ubuntu Server 7.10, soit de pointer directement sur l'image iso de l'Ubuntu Server 7.10 <|> server
205 Mot inconnu : iso => Démarrez votre machine virtuelle en ayant prit soins de modifier la configuration du cd-rom afin qu'il utilise soit un disque gravé contenant l'image de Ubuntu Server 7.10, soit de pointer directement sur l'image iso de l'Ubuntu Server 7.10 <|> iso
205 Mot inconnu : Server => Démarrez votre machine virtuelle en ayant prit soins de modifier la configuration du cd-rom afin qu'il utilise soit un disque gravé contenant l'image de Ubuntu Server 7.10, soit de pointer directement sur l'image iso de l'Ubuntu Server 7.10 <|> server

213 Mot inconnu : F4 => <note tip>Vous pouvez à tout moment de l'installation voir la progression détaillée en utilisant la combinaison de touche ALT+F4 et pour revenir à l'écran normal d'installation la combinaison ALT+F1</note> <|> f4

235 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - Activation du compte root <|> -  => suggestions : ['—\xa0', '–\xa0']
235 Mot inconnu : root => - Activation du compte root <|> root

238 Mot inconnu : root => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> root
238 Guillemets typographiques ouvrants. => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> " => suggestions : ['«\xa0', '“']
238 Mot inconnu : sudo => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> sudo
238 Guillemets typographiques fermants. => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> " => suggestions : ['\xa0»', '”']
238 Mot inconnu : root => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> root
238 Mot inconnu : root => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> root
238 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> a => suggestions : ['à']
238 Mot inconnu : ssh => <note warning> Activer le compte root est dangereux il est plus prudent d'utiliser "sudo" pour lancer les commandes root, si vous souhaiter activer le compte root pensez a lui interdire le login par ssh ( "sudo nano /etc/ssh/sshd_config"  et modifier la ligne "permitrootlogin yes" en "permitrootlogin no") comme ca vous pourrez vous connecter en root avec la commande "sudo login root" une fois que vous êtes connecté comme utilisateur </note> <|> ssh
