
9 Espace(s) en fin de ligne à supprimer. => **Notes importantes :**  |   => suggestions : ['']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * configurer NIS ? (LDAP me semble plus adapté mais fait parti de la LPIC 3 si je ne me trompe pas) |      => suggestions : ['']
44 Mot inconnu : NIS =>     * configurer NIS ? (LDAP me semble plus adapté mais fait parti de la LPIC 3 si je ne me trompe pas) | nis
44 Mot inconnu : LDAP =>     * configurer NIS ? (LDAP me semble plus adapté mais fait parti de la LPIC 3 si je ne me trompe pas) | ldap
44 Confusion. On écrit « faire partie ». =>     * configurer NIS ? (LDAP me semble plus adapté mais fait parti de la LPIC 3 si je ne me trompe pas) | parti => suggestions : ['partie']
44 Mot inconnu : LPIC =>     * configurer NIS ? (LDAP me semble plus adapté mais fait parti de la LPIC 3 si je ne me trompe pas) | lpic

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Savoir mettre en place du RAID |      => suggestions : ['']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Créer/mettre en place un schéma de sauvegarde |      => suggestions : ['']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * activer et désactiver des services durant l'amorçage (exemple : configurer les niveaux de démarrage) : |      => suggestions : ['']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>             * manuellement |              => suggestions : ['']

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>             * en utilisant « update-rc.d » |              => suggestions : ['']
57 Mot inconnu : update-rc =>             * en utilisant « update-rc.d » | update-rc

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * configurer le serveur de messagerie MTA |      => suggestions : ['']
61 Mot inconnu : MTA =>     * configurer le serveur de messagerie MTA | mta

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * configurer le serveur web |      => suggestions : ['']

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Faire les contrôles basiques de sécurité |      => suggestions : ['']

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Savoir interpréter les fichiers de journalisation |      => suggestions : ['']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * paramétrer le langage utilisateur (locales) |      => suggestions : ['']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * reporter un bogue |      => suggestions : ['']
