
5 Mot inconnu : iso => ====== Installer Ubuntu sans iso, avec l'image netboot ====== | iso
31 Mot inconnu : gz => Telecharger le kernel et l'initrd.gz de la distribution choisie en version netboot. | gz
31 Mot inconnu : netboot => Telecharger le kernel et l'initrd.gz de la distribution choisie en version netboot. | netboot

33 Guillemets typographiques ouvrants. => Seuls les fichiers "linux" et "initrd.gz" nous intéressent. | " => suggestions : ['«\xa0', '“']
33 Mot inconnu : linux => Seuls les fichiers "linux" et "initrd.gz" nous intéressent. | linux
33 Guillemets typographiques fermants. => Seuls les fichiers "linux" et "initrd.gz" nous intéressent. | " => suggestions : ['\xa0»', '”']
33 Guillemets typographiques ouvrants. => Seuls les fichiers "linux" et "initrd.gz" nous intéressent. | " => suggestions : ['«\xa0', '“']
33 Mot inconnu : initrd => Seuls les fichiers "linux" et "initrd.gz" nous intéressent. | initrd
33 Mot inconnu : gz => Seuls les fichiers "linux" et "initrd.gz" nous intéressent. | gz
33 Guillemets typographiques fermants. => Seuls les fichiers "linux" et "initrd.gz" nous intéressent. | " => suggestions : ['\xa0»', '”']

38 Mot inconnu : Wheezy => Pour Debian Wheezy | wheezy

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # sudo mount /dev/sda2 /mnt                       avec LVM :  #sudo mount /dev/mon_volume_group/volnetboot /mnt |    => suggestions : ['']
42 Mot inconnu : sudo =>   # sudo mount /dev/sda2 /mnt                       avec LVM :  #sudo mount /dev/mon_volume_group/volnetboot /mnt | sudo
42 Mot inconnu : mount =>   # sudo mount /dev/sda2 /mnt                       avec LVM :  #sudo mount /dev/mon_volume_group/volnetboot /mnt | mount
42 Espace(s) surnuméraire(s) à supprimer. =>   # sudo mount /dev/sda2 /mnt                       avec LVM :  #sudo mount /dev/mon_volume_group/volnetboot /mnt |                         => suggestions : [' ']
42 Mot inconnu : LVM =>   # sudo mount /dev/sda2 /mnt                       avec LVM :  #sudo mount /dev/mon_volume_group/volnetboot /mnt | lvm
42 Espace(s) surnuméraire(s) à supprimer. =>   # sudo mount /dev/sda2 /mnt                       avec LVM :  #sudo mount /dev/mon_volume_group/volnetboot /mnt |    => suggestions : [' ']
42 Mot inconnu : mount =>   # sudo mount /dev/sda2 /mnt                       avec LVM :  #sudo mount /dev/mon_volume_group/volnetboot /mnt | mount

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # sudo mv linux /mnt/ |    => suggestions : ['']
43 Mot inconnu : sudo =>   # sudo mv linux /mnt/ | sudo
43 Mot inconnu : mv =>   # sudo mv linux /mnt/ | mv
43 Mot inconnu : linux =>   # sudo mv linux /mnt/ | linux

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # sudo mv initrd.gz /mnt/ |    => suggestions : ['']
44 Mot inconnu : sudo =>   # sudo mv initrd.gz /mnt/ | sudo
44 Mot inconnu : mv =>   # sudo mv initrd.gz /mnt/ | mv
44 Mot inconnu : initrd =>   # sudo mv initrd.gz /mnt/ | initrd
44 Mot inconnu : gz =>   # sudo mv initrd.gz /mnt/ | gz

45 Mot inconnu : netboot => ===== Ajout de l'installation netboot dans grub2 ===== | netboot
45 Mot inconnu : grub2 => ===== Ajout de l'installation netboot dans grub2 ===== | grub2

52 Mot inconnu : menuentry => menuentry "netboot de ma distribution preferee" { | menuentry
52 Guillemets typographiques ouvrants. => menuentry "netboot de ma distribution preferee" { | " => suggestions : ['«\xa0', '“']
52 Mot inconnu : netboot => menuentry "netboot de ma distribution preferee" { | netboot
52 Mot inconnu : preferee => menuentry "netboot de ma distribution preferee" { | preferee
52 Guillemets typographiques fermants. => menuentry "netboot de ma distribution preferee" { | " => suggestions : ['\xa0»', '”']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      insmod part_msdos |       => suggestions : ['']
53 Mot inconnu : insmod =>      insmod part_msdos | insmod
53 Mot inconnu : part_msdos =>      insmod part_msdos | part_msdos

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      insmod ext2 |       => suggestions : ['']
54 Mot inconnu : insmod =>      insmod ext2 | insmod
54 Mot inconnu : ext2 =>      insmod ext2 | ext2

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      set root=(hd0,msdos2) |       => suggestions : ['']
55 Mot inconnu : root =>      set root=(hd0,msdos2) | root
55 Mot inconnu : hd0 =>      set root=(hd0,msdos2) | hd0
55 Il manque un espace. =>      set root=(hd0,msdos2) | msdos2 => suggestions : [' msdos2']
55 Mot inconnu : msdos2 =>      set root=(hd0,msdos2) | msdos2

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      linux /linux |       => suggestions : ['']
56 Mot inconnu : linux =>      linux /linux | linux
56 Mot inconnu : linux =>      linux /linux | linux

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      initrd /initrd.gz |       => suggestions : ['']
57 Mot inconnu : initrd =>      initrd /initrd.gz | initrd
57 Mot inconnu : initrd =>      initrd /initrd.gz | initrd
57 Mot inconnu : gz =>      initrd /initrd.gz | gz

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  } |   => suggestions : ['']

61 Mot inconnu : hd0 => <note> Ici (hd0,msdos2) dans le grub correspond au disque zéro, partition 2, ce qui correspond a /dev/sda2 </note> | hd0
61 Il manque un espace. => <note> Ici (hd0,msdos2) dans le grub correspond au disque zéro, partition 2, ce qui correspond a /dev/sda2 </note> | msdos2 => suggestions : [' msdos2']
61 Mot inconnu : msdos2 => <note> Ici (hd0,msdos2) dans le grub correspond au disque zéro, partition 2, ce qui correspond a /dev/sda2 </note> | msdos2
61 Mot inconnu : grub => <note> Ici (hd0,msdos2) dans le grub correspond au disque zéro, partition 2, ce qui correspond a /dev/sda2 </note> | grub

65 Mot inconnu : LVM => Avec un volume LVM : | lvm

68 Mot inconnu : menuentry => menuentry "netboot de ma distribution preferee" { | menuentry
68 Guillemets typographiques ouvrants. => menuentry "netboot de ma distribution preferee" { | " => suggestions : ['«\xa0', '“']
68 Mot inconnu : netboot => menuentry "netboot de ma distribution preferee" { | netboot
68 Mot inconnu : preferee => menuentry "netboot de ma distribution preferee" { | preferee
68 Guillemets typographiques fermants. => menuentry "netboot de ma distribution preferee" { | " => suggestions : ['\xa0»', '”']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      insmod lvm |       => suggestions : ['']
69 Mot inconnu : insmod =>      insmod lvm | insmod
69 Mot inconnu : lvm =>      insmod lvm | lvm

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      insmod part_msdos |       => suggestions : ['']
70 Mot inconnu : insmod =>      insmod part_msdos | insmod
70 Mot inconnu : part_msdos =>      insmod part_msdos | part_msdos

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      insmod ext2 |       => suggestions : ['']
71 Mot inconnu : insmod =>      insmod ext2 | insmod
71 Mot inconnu : ext2 =>      insmod ext2 | ext2

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      set root=(mon_volume_group-volnetboot) |       => suggestions : ['']
72 Mot inconnu : root =>      set root=(mon_volume_group-volnetboot) | root
72 Mot inconnu : mon_volume_group-volnetboot =>      set root=(mon_volume_group-volnetboot) | mon_volume_group-volnetboot

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      linux /linux |       => suggestions : ['']
73 Mot inconnu : linux =>      linux /linux | linux
73 Mot inconnu : linux =>      linux /linux | linux

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      initrd /initrd.gz |       => suggestions : ['']
74 Mot inconnu : initrd =>      initrd /initrd.gz | initrd
74 Mot inconnu : initrd =>      initrd /initrd.gz | initrd
74 Mot inconnu : gz =>      initrd /initrd.gz | gz

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  } |   => suggestions : ['']

78 Espace(s) surnuméraire(s) à supprimer. => <note> Dans les deux cas,  le kernel n'a pas besoin de paramètres ! (spécifique à une installation netboot uniquement)</note> |    => suggestions : [' ']
78 Mot inconnu : kernel => <note> Dans les deux cas,  le kernel n'a pas besoin de paramètres ! (spécifique à une installation netboot uniquement)</note> | kernel
78 Mot inconnu : netboot => <note> Dans les deux cas,  le kernel n'a pas besoin de paramètres ! (spécifique à une installation netboot uniquement)</note> | netboot

80 Mot inconnu : grub2 => Mettre à jour le grub2 avec la nouvelle entrée qu'on vient juste de créer : | grub2

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # sudo update-grub |    => suggestions : ['']
81 Mot inconnu : sudo =>   # sudo update-grub | sudo
81 Mot inconnu : update-grub =>   # sudo update-grub | update-grub

84 Mot inconnu : rebooter => Enfin, **rebooter**, sélectionner l'entrée "netboot de ma distribution préférée" : le tour est joué ! | rebooter
84 Guillemets typographiques ouvrants. => Enfin, **rebooter**, sélectionner l'entrée "netboot de ma distribution préférée" : le tour est joué ! | " => suggestions : ['«\xa0', '“']
84 Mot inconnu : netboot => Enfin, **rebooter**, sélectionner l'entrée "netboot de ma distribution préférée" : le tour est joué ! | netboot
84 Guillemets typographiques fermants. => Enfin, **rebooter**, sélectionner l'entrée "netboot de ma distribution préférée" : le tour est joué ! | " => suggestions : ['\xa0»', '”']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://help.ubuntu.com/community/Installation/NetbootInstallFromInternet|Wiki officiel]] |    => suggestions : ['']
