3 Mot inconnu : usb => ====== Gérer la sécurité d'une installation ubuntu avec une clé usb ====== | usb
59 Mot inconnu : démontezla => Puis démontezla clé. | démontezla

65 Mot inconnu : Etape => ==== Etape 2 : Préparer la séquence de démarrage ==== | etape

68 Mot inconnu : ntfs => Attention, si vous souhaitez utiliser ntfs, une mise à jour du fichier bootscript est disponible! (Etape 4) [2013/09/26] | ntfs
68 Mot inconnu : bootscript => Attention, si vous souhaitez utiliser ntfs, une mise à jour du fichier bootscript est disponible! (Etape 4) [2013/09/26] | bootscript
68 Mot inconnu : Etape => Attention, si vous souhaitez utiliser ntfs, une mise à jour du fichier bootscript est disponible! (Etape 4) [2013/09/26] | etape

74 Mot inconnu : Editez => Editez le fichier /etc/initramfs-tools/modules avec les droits root | editez
74 Mot inconnu : root => Editez le fichier /etc/initramfs-tools/modules avec les droits root | root

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si vous utilisez une carte SD: |    => suggestions : ['']
80 Mot inconnu : SD =>   * Si vous utilisez une carte SD: | sd

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si vous utilisez une clé USB: |    => suggestions : ['']

107 Mot inconnu : Etape => ==== Etape 3 : Paramétrer le démarrage ==== | etape

111 Mot inconnu : mount => mount /dev/sdb1 /mnt/usb</code> | mount

112 Accord de nombre erroné : « clé » devrait être au pluriel. => Ajoutez le fichier d'authentification aux clé connues | clé => suggestions : ['clés']

117 Mot inconnu : reboot => reboot</code> | reboot

118 Mot inconnu : Etape => ==== Etape 4 : Paramétrer le système ==== | etape

122 Mot inconnu : UUID => Notez l'UUID (identifiant de partition) de la partition contenant la clé (/dev/sdb1), obtenu par cette commande: | uuid

124 Mot inconnu : b6cb-80db-457b-8d46-fbb9fd33dxxb => (Nous prendrons ici **4645b6cb-80db-457b-8d46-fbb9fd33dxxb**. N'oubliez pas de le remplacer par le votre dans les commandes suivantes) | b6cb-80db-457b-8d46-fbb9fd33dxxb
124 Confusion : « votre possession », « la vôtre ». => (Nous prendrons ici **4645b6cb-80db-457b-8d46-fbb9fd33dxxb**. N'oubliez pas de le remplacer par le votre dans les commandes suivantes) | votre => suggestions : ['vôtre']

127 Mot inconnu : root => Éditez le fichier /etc/crypttab avec les droits root: | root

132 Mot inconnu : df4f-878ytju-ilk45q-gfbb9f-d33dxxb => **9df4f-878ytju-ilk45q-gfbb9f-d33dxxb** est l'UUID de la partition cryptée | df4f-878ytju-ilk45q-gfbb9f-d33dxxb
132 Mot inconnu : UUID => **9df4f-878ytju-ilk45q-gfbb9f-d33dxxb** est l'UUID de la partition cryptée | uuid

134 Accord de genre erroné : « none » est féminin. => Dupliquez la ligne et changez le **none** par **UUID=4645b6cb-80db-457b-8d46-fbb9fd33dxxb:.authkey**, et rajoutez **,tries=3,keyscript=/usr/local/sbin/bootkeyscript** à la fin de la ligne | le => suggestions : ['la']
134 Mot inconnu : UUID => Dupliquez la ligne et changez le **none** par **UUID=4645b6cb-80db-457b-8d46-fbb9fd33dxxb:.authkey**, et rajoutez **,tries=3,keyscript=/usr/local/sbin/bootkeyscript** à la fin de la ligne | uuid
134 Mot inconnu : b6cb-80db-457b-8d46-fbb9fd33dxxb => Dupliquez la ligne et changez le **none** par **UUID=4645b6cb-80db-457b-8d46-fbb9fd33dxxb:.authkey**, et rajoutez **,tries=3,keyscript=/usr/local/sbin/bootkeyscript** à la fin de la ligne | b6cb-80db-457b-8d46-fbb9fd33dxxb
134 Une de ces ponctuations est superflue. => Dupliquez la ligne et changez le **none** par **UUID=4645b6cb-80db-457b-8d46-fbb9fd33dxxb:.authkey**, et rajoutez **,tries=3,keyscript=/usr/local/sbin/bootkeyscript** à la fin de la ligne | :. => suggestions : [':', '.']
134 Mot inconnu : authkey => Dupliquez la ligne et changez le **none** par **UUID=4645b6cb-80db-457b-8d46-fbb9fd33dxxb:.authkey**, et rajoutez **,tries=3,keyscript=/usr/local/sbin/bootkeyscript** à la fin de la ligne | authkey
134 Incohérence. Ceci est un verbe à la 2ᵉ personne du singulier. Sujet (“tu” ou “toi qui”) introuvable. => Dupliquez la ligne et changez le **none** par **UUID=4645b6cb-80db-457b-8d46-fbb9fd33dxxb:.authkey**, et rajoutez **,tries=3,keyscript=/usr/local/sbin/bootkeyscript** à la fin de la ligne | tries => suggestions : ['trie']
134 Mot inconnu : keyscript => Dupliquez la ligne et changez le **none** par **UUID=4645b6cb-80db-457b-8d46-fbb9fd33dxxb:.authkey**, et rajoutez **,tries=3,keyscript=/usr/local/sbin/bootkeyscript** à la fin de la ligne | keyscript

136 Mot inconnu : luks => Soit après **luks** dans notre exemple. Attention à la virgule qui est importante, et à ne pas avoir de duplicata dans la ligne. | luks

141 Mot inconnu : sda2_crypt => sda2_crypt          UUID=9df4f-878ytju-ilk45q-gfbb9f-d33dxxb       none                                                                                                   luks</code> | sda2_crypt
141 Espace(s) surnuméraire(s) à supprimer. => sda2_crypt          UUID=9df4f-878ytju-ilk45q-gfbb9f-d33dxxb       none                                                                                                   luks</code> |            => suggestions : [' ']
141 Mot inconnu : UUID => sda2_crypt          UUID=9df4f-878ytju-ilk45q-gfbb9f-d33dxxb       none                                                                                                   luks</code> | uuid
141 Mot inconnu : df4f-878ytju-ilk45q-gfbb9f-d33dxxb => sda2_crypt          UUID=9df4f-878ytju-ilk45q-gfbb9f-d33dxxb       none                                                                                                   luks</code> | df4f-878ytju-ilk45q-gfbb9f-d33dxxb
141 Espace(s) surnuméraire(s) à supprimer. => sda2_crypt          UUID=9df4f-878ytju-ilk45q-gfbb9f-d33dxxb       none                                                                                                   luks</code> |         => suggestions : [' ']
141 Espace(s) surnuméraire(s) à supprimer. => sda2_crypt          UUID=9df4f-878ytju-ilk45q-gfbb9f-d33dxxb       none                                                                                                   luks</code> |                                                                                                     => suggestions : [' ']
141 Mot inconnu : luks => sda2_crypt          UUID=9df4f-878ytju-ilk45q-gfbb9f-d33dxxb       none                                                                                                   luks</code> | luks

143 S’il s’agit d’un impératif, mettez un trait d’union. => Téléchargez [[http://iutinfo2000.free.fr/Linux/bootkeyscript| ce script]] et placez le dans **/usr/local/sbin/bootkeyscript** à l'aide des droits root. | placez le => suggestions : ['placez-le']
143 Mot inconnu : root => Téléchargez [[http://iutinfo2000.free.fr/Linux/bootkeyscript| ce script]] et placez le dans **/usr/local/sbin/bootkeyscript** à l'aide des droits root. | root

145 Incohérence avec “de” : “changez” est une forme verbale conjuguée. => (N'oubliez pas de changez l'emplacement du fichier téléchargé si **~/Téléchargements/bootkeyscript** n'est pas sa localisation) | changez => suggestions : ['changes', 'change']

156 Mot inconnu : débguer => Si vous souhaitez débguer et afficher les messages de ce que fait le script, modifier la ligne **debug=0** en **debug=1** du fichier **/usr/local/sbin/bootkeyscript** | débguer
156 Mot inconnu : debug => Si vous souhaitez débguer et afficher les messages de ce que fait le script, modifier la ligne **debug=0** en **debug=1** du fichier **/usr/local/sbin/bootkeyscript** | debug
156 Mot inconnu : debug => Si vous souhaitez débguer et afficher les messages de ce que fait le script, modifier la ligne **debug=0** en **debug=1** du fichier **/usr/local/sbin/bootkeyscript** | debug

163 Guillemets typographiques ouvrants. => Si une erreur apparaît au démarrage indiquant quelque chose du genre "UUID=nf14k7-ui56gf-wzdf4gt1-yj3-61sd not found". | " => suggestions : ['«\xa0', '“']
163 Mot inconnu : UUID => Si une erreur apparaît au démarrage indiquant quelque chose du genre "UUID=nf14k7-ui56gf-wzdf4gt1-yj3-61sd not found". | uuid
163 Mot inconnu : nf14k7-ui56gf-wzdf4gt1-yj3-61sd => Si une erreur apparaît au démarrage indiquant quelque chose du genre "UUID=nf14k7-ui56gf-wzdf4gt1-yj3-61sd not found". | nf14k7-ui56gf-wzdf4gt1-yj3-61sd
163 Mot inconnu : not => Si une erreur apparaît au démarrage indiquant quelque chose du genre "UUID=nf14k7-ui56gf-wzdf4gt1-yj3-61sd not found". | not
163 Mot inconnu : found => Si une erreur apparaît au démarrage indiquant quelque chose du genre "UUID=nf14k7-ui56gf-wzdf4gt1-yj3-61sd not found". | found
163 Guillemets typographiques fermants. => Si une erreur apparaît au démarrage indiquant quelque chose du genre "UUID=nf14k7-ui56gf-wzdf4gt1-yj3-61sd not found". | " => suggestions : ['\xa0»', '”']

170 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Démarrez sur un live cd ou live usb |    => suggestions : ['']
170 Mot inconnu : usb =>   * Démarrez sur un live cd ou live usb | usb

171 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Identifiez les emplacements de la partition de boot et la partition root avec gparted ici respectivement **/dev/sda1** et **/dev/sda2** |    => suggestions : ['']
171 Mot inconnu : boot =>   * Identifiez les emplacements de la partition de boot et la partition root avec gparted ici respectivement **/dev/sda1** et **/dev/sda2** | boot
171 Mot inconnu : root =>   * Identifiez les emplacements de la partition de boot et la partition root avec gparted ici respectivement **/dev/sda1** et **/dev/sda2** | root
171 Mot inconnu : gparted =>   * Identifiez les emplacements de la partition de boot et la partition root avec gparted ici respectivement **/dev/sda1** et **/dev/sda2** | gparted

172 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Identifiez l'UUID de la partitino cryptée par un: |    => suggestions : ['']
172 Mot inconnu : UUID =>   * Identifiez l'UUID de la partitino cryptée par un: | uuid
172 Mot inconnu : partitino =>   * Identifiez l'UUID de la partitino cryptée par un: | partitino

174 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * créez le répertoire /tmproot: |    => suggestions : ['']
174 Mot inconnu : root =>   * créez le répertoire /tmproot: | root

176 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * montez les deux partitions: |    => suggestions : ['']

179 Mot inconnu : mount => mount /dev/sda1 /tmproot/boot</code> | mount
179 Mot inconnu : root => mount /dev/sda1 /tmproot/boot</code> | root

180 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Chrootez-vous dans le système: |    => suggestions : ['']
180 Mot inconnu : Chrootez-vous =>   * Chrootez-vous dans le système: | chrootez-vous

183 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Nous aurons donc, pour l'optimal: |    => suggestions : ['']

186 Mot inconnu : sda2_crypt => <note warning>ATTENTION, **sda2_crypt** doit correspondre avec le nom de la partition montée en root listée dans le fichier /etc/fstab! | sda2_crypt
186 Mot inconnu : root => <note warning>ATTENTION, **sda2_crypt** doit correspondre avec le nom de la partition montée en root listée dans le fichier /etc/fstab! | root

189 Accord de genre erroné : « none » est féminin. => Logiquement, vous n'avez pas à y toucher à n'importe quel moment du tutoriel. Seul le "none" et la partie "luks" sont à modifier dans l'étape 4!</note>  | le => suggestions : ['la']
189 Guillemets typographiques ouvrants. => Logiquement, vous n'avez pas à y toucher à n'importe quel moment du tutoriel. Seul le "none" et la partie "luks" sont à modifier dans l'étape 4!</note>  | " => suggestions : ['«\xa0', '“']
189 Guillemets typographiques fermants. => Logiquement, vous n'avez pas à y toucher à n'importe quel moment du tutoriel. Seul le "none" et la partie "luks" sont à modifier dans l'étape 4!</note>  | " => suggestions : ['\xa0»', '”']
189 Guillemets typographiques ouvrants. => Logiquement, vous n'avez pas à y toucher à n'importe quel moment du tutoriel. Seul le "none" et la partie "luks" sont à modifier dans l'étape 4!</note>  | " => suggestions : ['«\xa0', '“']
189 Mot inconnu : luks => Logiquement, vous n'avez pas à y toucher à n'importe quel moment du tutoriel. Seul le "none" et la partie "luks" sont à modifier dans l'étape 4!</note>  | luks
189 Guillemets typographiques fermants. => Logiquement, vous n'avez pas à y toucher à n'importe quel moment du tutoriel. Seul le "none" et la partie "luks" sont à modifier dans l'étape 4!</note>  | " => suggestions : ['\xa0»', '”']
189 Espace(s) en fin de ligne à supprimer. => Logiquement, vous n'avez pas à y toucher à n'importe quel moment du tutoriel. Seul le "none" et la partie "luks" sont à modifier dans l'étape 4!</note>  |   => suggestions : ['']

191 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Enregistrez et réactualisez la configuration: |    => suggestions : ['']

193 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Redemarrez |    => suggestions : ['']
193 Mot inconnu : Redemarrez =>   * Redemarrez | redemarrez

199 Accord de genre erroné : « résultat » est masculin. => Vous devrez obtenir une résultat similaire: | une => suggestions : ['un']

207 Mot inconnu : Device => Bus 002 Device 004: ID 035f:0945 Microsoft Corp. Nano Transceiver v1.0 for Bluetooth</code> | device
207 Il manque un espace. => Bus 002 Device 004: ID 035f:0945 Microsoft Corp. Nano Transceiver v1.0 for Bluetooth</code> | 0945 => suggestions : [' 0945']
207 Mot inconnu : Corp => Bus 002 Device 004: ID 035f:0945 Microsoft Corp. Nano Transceiver v1.0 for Bluetooth</code> | corp
207 Mot inconnu : Nano => Bus 002 Device 004: ID 035f:0945 Microsoft Corp. Nano Transceiver v1.0 for Bluetooth</code> | nano
207 Mot inconnu : Transceiver => Bus 002 Device 004: ID 035f:0945 Microsoft Corp. Nano Transceiver v1.0 for Bluetooth</code> | transceiver
207 Mot inconnu : v1 => Bus 002 Device 004: ID 035f:0945 Microsoft Corp. Nano Transceiver v1.0 for Bluetooth</code> | v1

209 Guillemets typographiques ouvrants. => Nous choisirons ici la clé "PNY". | " => suggestions : ['«\xa0', '“']
209 Mot inconnu : PNY => Nous choisirons ici la clé "PNY". | pny
209 Guillemets typographiques fermants. => Nous choisirons ici la clé "PNY". | " => suggestions : ['\xa0»', '”']

210 Mot inconnu : materiel => Retenez donc la section ID qui précède le nom du materiel. Ici: | materiel

212 Il manque un espace. => **ID 114b:085b PNY** | 085b => suggestions : [' 085b']
212 Mot inconnu : PNY => **ID 114b:085b PNY** | pny
216 Mot inconnu : xscreensaver => Installez **[[apt>xscreensaver]]** (requis) | xscreensaver

219 Mot inconnu : autoLock => Créez un script dans le répertoire **~/** (votre home) appelé **.autoLock** | autolock

220 Mot inconnu : gedit => Éditez avec gedit: | gedit

222 Mot inconnu : gedit => gedit ~/.autoLock</code> | gedit
222 Mot inconnu : autoLock => gedit ~/.autoLock</code> | autolock

223 Incohérence avec “on” : “copie” devrait être un verbe, un pronom objet, un adverbe de négation, etc. => Et on copie/colle le code suivant: | copie => suggestions : []

274 Mot inconnu : done => done</code> | done

276 Il manque un espace. => **ATTENTION** On n'oubliera pas de remplacer **ID 114b:085b PNY** par votre **ID** | 085b => suggestions : [' 085b']
276 Mot inconnu : PNY => **ATTENTION** On n'oubliera pas de remplacer **ID 114b:085b PNY** par votre **ID** | pny

278 Mot inconnu : execution => Puis donnez-lui les droits d'execution: | execution

280 Mot inconnu : cron => ==== Ajouter aux tâches cron ==== | cron

285 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Enregistrez (ctrl + o) |    => suggestions : ['']
285 Mot inconnu : ctrl =>   * Enregistrez (ctrl + o) | ctrl

286 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Quittez (ctrl + x) |    => suggestions : ['']
286 Mot inconnu : ctrl =>   * Quittez (ctrl + x) | ctrl

288 Mot inconnu : cron => Redémarrez cron: | cron

292 Confusion. Pour un COD, utilisez “la”. Ou, si ce “là” signifie “ici”, ne mettez pas de trait d’union. => Remettez-là, L'écran se déverrouillera! | remettez-là => suggestions : ['Remettez-la', 'Remettez là']

298 Forme interrogative ? Mettez un trait d’union. => Si problème il y a, loguez vous en console tty1 (ctrl + alt + 1), et déplacez le fichier exécutable: | loguez vous => suggestions : ['loguez-vous']
298 Mot inconnu : tty1 => Si problème il y a, loguez vous en console tty1 (ctrl + alt + 1), et déplacez le fichier exécutable: | tty1
298 Mot inconnu : ctrl => Si problème il y a, loguez vous en console tty1 (ctrl + alt + 1), et déplacez le fichier exécutable: | ctrl
298 Mot inconnu : alt => Si problème il y a, loguez vous en console tty1 (ctrl + alt + 1), et déplacez le fichier exécutable: | alt
300 Mot inconnu : cron => Puis redémarrez! N'oubliez pas de supprimer la tâche de cron tab si vous ne souhaitez plus cette fonctionnalité! | cron
300 Mot inconnu : tab => Puis redémarrez! N'oubliez pas de supprimer la tâche de cron tab si vous ne souhaitez plus cette fonctionnalité! | tab

304 Mot inconnu : petaramesh => [[http://web.archive.org/web/20100110234521/http://petaramesh.org/post/2007/11/29/Une-cle-de-contact-pour-votre-portable-chiffre]] | petaramesh
310 Mot inconnu : malabarth => //Contributeurs: malabarth// | malabarth
