
11 Si vous parlez de la langue, pas de majuscule. => ===== Principe de l'écriture en Japonais ===== | japonais => suggestions : ['japonais']
98 Mot inconnu : layout => Modifiez l'élément xml nommé //layout//. Par exemple, si vous voulez utiliser un clavier fr-bepo vous devrez avoir: | layout
98 Mot inconnu : fr-bepo => Modifiez l'élément xml nommé //layout//. Par exemple, si vous voulez utiliser un clavier fr-bepo vous devrez avoir: | fr-bepo

100 Mot inconnu : fr-bepo => //<layout>fr-bepo</layout>// | fr-bepo

104 Accord de nombre erroné : « changements » est au pluriel. => <note>Notez que vous devez redémarrer une session pour que le changements prennent effet.</note> | le => suggestions : ['les']
104 Accord de nombre erroné : « changements » devrait être au singulier. => <note>Notez que vous devez redémarrer une session pour que le changements prennent effet.</note> | changements => suggestions : ['changement']

109 Si vous parlez de la langue, pas de majuscule. => Vous êtes maintenant en mesure de saisir des textes en Japonais. | japonais => suggestions : ['japonais']

111 Mot inconnu : MOZC => =====Rudiments sur MOZC===== | mozc

113 Mot inconnu : Mozc => <note>Nous vous donnons ici un bref aperçu de la façon dont Mozc se configure. En pratique, vous n'avez rien à modifier mais juste à consulter la configuration de base pour apprendre les principaux raccourcis clavier. </note> | mozc

128 Mot inconnu : General => Il n'y a rien de bien intéressant à changer dans l'onglet **General**. Passons les choses en revue: | general
139 Mot inconnu : ATOK => Viennent ensuite les différents raccourcis clavier: Vous pouvez choisir des ensembles prédéfinis ATOK, Kotoeri,MS-IME ou créer votre ensemble de raccourcis personnalisé. Dans la suite de l'explication nous supposerons que nous avons choisi ATOK. | atok
139 Mot inconnu : Kotoeri => Viennent ensuite les différents raccourcis clavier: Vous pouvez choisir des ensembles prédéfinis ATOK, Kotoeri,MS-IME ou créer votre ensemble de raccourcis personnalisé. Dans la suite de l'explication nous supposerons que nous avons choisi ATOK. | kotoeri
139 Il manque un espace. => Viennent ensuite les différents raccourcis clavier: Vous pouvez choisir des ensembles prédéfinis ATOK, Kotoeri,MS-IME ou créer votre ensemble de raccourcis personnalisé. Dans la suite de l'explication nous supposerons que nous avons choisi ATOK. | ms-ime => suggestions : [' MS-IME']
139 Mot inconnu : MS-IME => Viennent ensuite les différents raccourcis clavier: Vous pouvez choisir des ensembles prédéfinis ATOK, Kotoeri,MS-IME ou créer votre ensemble de raccourcis personnalisé. Dans la suite de l'explication nous supposerons que nous avons choisi ATOK. | ms-ime
139 Mot inconnu : ATOK => Viennent ensuite les différents raccourcis clavier: Vous pouvez choisir des ensembles prédéfinis ATOK, Kotoeri,MS-IME ou créer votre ensemble de raccourcis personnalisé. Dans la suite de l'explication nous supposerons que nous avons choisi ATOK. | atok

145 Mot inconnu : Mozc => Une fois que vous avez sélectionné la méthode d'entrée **Mozc** avec la combinaison de touches **<super>space**, il vous faut encore choisir le mode d'entrée. Pour cela　vous devez, cliquer sur l'icône de la méthode de saisie dans la zone de notification et choisir　**Input Mode** (mode d'entrée) puis sélectionner **hiragana**. | mozc
145 Mot inconnu : space => Une fois que vous avez sélectionné la méthode d'entrée **Mozc** avec la combinaison de touches **<super>space**, il vous faut encore choisir le mode d'entrée. Pour cela　vous devez, cliquer sur l'icône de la méthode de saisie dans la zone de notification et choisir　**Input Mode** (mode d'entrée) puis sélectionner **hiragana**. | space
147 Mot inconnu : あ => <note>Notez que l'icône de la méthode d'entrée, évolue avec les choix que vous avez faits: A, あ, ア, etc. </note> | あ
147 Mot inconnu : ア => <note>Notez que l'icône de la méthode d'entrée, évolue avec les choix que vous avez faits: A, あ, ア, etc. </note> | ア
150 Mot inconnu : __ => Lorsque vous avez choisi le mode **hiragana** et que vous commencez à taper, le mot tapé apparaît d'abord en hiragana et souligné, par exemple: __**にほんご**__. | __
150 Mot inconnu : にほんご => Lorsque vous avez choisi le mode **hiragana** et que vous commencez à taper, le mot tapé apparaît d'abord en hiragana et souligné, par exemple: __**にほんご**__. | にほんご
150 Mot inconnu : __ => Lorsque vous avez choisi le mode **hiragana** et que vous commencez à taper, le mot tapé apparaît d'abord en hiragana et souligné, par exemple: __**にほんご**__. | __

155 Mot inconnu : Backspace => <note>Notez que tant que vous n'avez pas fixé définitivement le choix du candidat avec la touche **Entrée**, vous pouvez toujours revenir au mot en hiragana avec la touche **Backspace**(Retour arrière)</note> | backspace

164 Espace(s) surnuméraire(s) à supprimer. => <note>Il est fort peu probable que la liste des candidats se répète de façon identique lorsque vous entrez à nouveau la même chaîne phonétique. Cette liste dépend en effet de nombreux facteurs tels que le dictionnaire utilisé, l'historique de vos saisies et le contexte. C'est justement la pertinence de l'ordre dans lequel sont présentés les candidats qui fait toute la performance du moteur de saisie.  </note> |    => suggestions : [' ']

166 Mot inconnu : Mozc => ====Quelques trucs spécifiques à Mozc==== | mozc

168 Mot inconnu : ima => Si vous tapez **ima** (maintenant) dans la liste des candidats, vous verrez apparaître l'heure dans différents formats , par exemple: | ima
168 Pas d’espace avant une virgule. => Si vous tapez **ima** (maintenant) dans la liste des candidats, vous verrez apparaître l'heure dans différents formats , par exemple: |  , => suggestions : [',']

172 Mot inconnu : kyou => Si vous tapez **kyou** (aujourd'hui) vous verrez apparaître dans la liste des candidats la date du jour dans différents formats et ères, par exemple:    | kyou
172 Espace(s) en fin de ligne à supprimer. => Si vous tapez **kyou** (aujourd'hui) vous verrez apparaître dans la liste des candidats la date du jour dans différents formats et ères, par exemple:    |     => suggestions : ['']

177 Mot inconnu : kinou => Les choses se passeront de la même façon avec kinou (hier), ashita (demain) etc. | kinou
177 Mot inconnu : ashita => Les choses se passeront de la même façon avec kinou (hier), ashita (demain) etc. | ashita

179 Mot inconnu : Mozc => Certains noms de pays sont le plus souvent écrits en katakana même s'il existe une équivalence en kanji. Mozc présente ces équivalents: | mozc

184 Mot inconnu : 顔文字 => Il est possible de saisir des émoticônes (顔文字) en saisissant **kaomoji**, en le convertissant,　et en déployant la liste des candidats. | 顔文字
184 Mot inconnu : kaomoji => Il est possible de saisir des émoticônes (顔文字) en saisissant **kaomoji**, en le convertissant,　et en déployant la liste des candidats. | kaomoji
