
15 Mot inconnu : Developers => ===== Ubuntu Prospective Developers (Ubunteros) ===== | developers
48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous pouvez répondre aux questions des autres développeurs afin d'améliorer leur compréhension de la création de paquets. |    => suggestions : ['']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous pouvez aider les futurs développeurs relativement à leurs soucis techniques. |    => suggestions : ['']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous êtes vivement encouragé à: |    => suggestions : ['']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * rejoindre l'équipe [[https://launchpad.net/~ubuntu-universe-sponsors|ubuntu-universe-sponsors]] (devenir un sponsor) |      => suggestions : ['']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * devenir un mentor ([[https://wiki.ubuntu.com/MOTU/Mentoring|MOTU Mentors]]) afin d'aider, de former les débutants à l'usage des différents outils utilisés par les développeurs Ubuntu et bien plus encore. |      => suggestions : ['']
52 Mot inconnu : MOTU =>     * devenir un mentor ([[https://wiki.ubuntu.com/MOTU/Mentoring|MOTU Mentors]]) afin d'aider, de former les débutants à l'usage des différents outils utilisés par les développeurs Ubuntu et bien plus encore. | motu

54 Mot inconnu : Core => ===== Ubuntu Core Developers ===== | core
54 Mot inconnu : Developers => ===== Ubuntu Core Developers ===== | developers

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Maintenir les paquets des dépôts principaux //main// et //restricted// |    => suggestions : ['']
59 Mot inconnu : restricted =>   * Maintenir les paquets des dépôts principaux //main// et //restricted// | restricted

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Connaissance approfondie des concepts et techniques de packaging, basée sur une forte expérience. |    => suggestions : ['']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Connaissance des procédures de travail du projet Ubuntu, principalement celles concernant les processus de publication des nouvelles versions et la responsabilité de supporter ces versions dans la durée, et une profonde compréhension de leur existence. |    => suggestions : ['']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pouvoir appliquer ces connaissances à une variété de paquets et de sous-systèmes. |    => suggestions : ['']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Prendre la direction du développement d'un nouveau projet pour améliorer Ubuntu. |    => suggestions : ['']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Décrire, développer, et déployer de nouvelles fonctionnalités pour l'installation basique d'Ubuntu. |    => suggestions : ['']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Être méticuleux dans leur travail, en comprenant que ces efforts ont un impact direct sur le travail des autres, à savoir: |    => suggestions : ['']

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * chaque utilisateur d'Ubuntu |      => suggestions : ['']

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * l'équipe chargée des sorties d'Ubuntu |      => suggestions : ['']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * les partenaires professionnels |      => suggestions : ['']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Se sentir fier et responsable de la qualité des versions d'Ubuntu et de la satisfaction des utilisateurs. |    => suggestions : ['']

74 Mot inconnu : __ => __**Pourquoi contribuer à Ubuntu, et pas à Debian ?**__ | __
74 Mot inconnu : __ => __**Pourquoi contribuer à Ubuntu, et pas à Debian ?**__ | __

78 Mot inconnu : __ => __**Le paquet XXX est très vieux dans Ubuntu Dapper, comment je corrige ça ?**__ | __
78 Mot inconnu : Dapper => __**Le paquet XXX est très vieux dans Ubuntu Dapper, comment je corrige ça ?**__ | dapper
78 Mot inconnu : __ => __**Le paquet XXX est très vieux dans Ubuntu Dapper, comment je corrige ça ?**__ | __
80 Mot inconnu : Dapper => C'est difficile : Dapper est une version stable d'Ubuntu. Pour qu'un paquet y soit mis à jour (via le dépôt dapper-updates), il faut qu'il y ait vraiment une bonne raison (problème de sécurité, gros bug, etc). Par contre, il existe un dépôt officiel appelé //dapper-backports// par lequel peuvent être backportés des paquets dans Dapper. Mais les paquets dans //dapper-backports// doivent être aussi proches que possible de leur version dans //edgy//, donc il faut commencer par intégrer le paquet dans //edgy//. | dapper
80 Mot inconnu : dapper-updates => C'est difficile : Dapper est une version stable d'Ubuntu. Pour qu'un paquet y soit mis à jour (via le dépôt dapper-updates), il faut qu'il y ait vraiment une bonne raison (problème de sécurité, gros bug, etc). Par contre, il existe un dépôt officiel appelé //dapper-backports// par lequel peuvent être backportés des paquets dans Dapper. Mais les paquets dans //dapper-backports// doivent être aussi proches que possible de leur version dans //edgy//, donc il faut commencer par intégrer le paquet dans //edgy//. | dapper-updates
80 Mot inconnu : dapper-backports => C'est difficile : Dapper est une version stable d'Ubuntu. Pour qu'un paquet y soit mis à jour (via le dépôt dapper-updates), il faut qu'il y ait vraiment une bonne raison (problème de sécurité, gros bug, etc). Par contre, il existe un dépôt officiel appelé //dapper-backports// par lequel peuvent être backportés des paquets dans Dapper. Mais les paquets dans //dapper-backports// doivent être aussi proches que possible de leur version dans //edgy//, donc il faut commencer par intégrer le paquet dans //edgy//. | dapper-backports
80 Mot inconnu : backportés => C'est difficile : Dapper est une version stable d'Ubuntu. Pour qu'un paquet y soit mis à jour (via le dépôt dapper-updates), il faut qu'il y ait vraiment une bonne raison (problème de sécurité, gros bug, etc). Par contre, il existe un dépôt officiel appelé //dapper-backports// par lequel peuvent être backportés des paquets dans Dapper. Mais les paquets dans //dapper-backports// doivent être aussi proches que possible de leur version dans //edgy//, donc il faut commencer par intégrer le paquet dans //edgy//. | backportés
80 Mot inconnu : Dapper => C'est difficile : Dapper est une version stable d'Ubuntu. Pour qu'un paquet y soit mis à jour (via le dépôt dapper-updates), il faut qu'il y ait vraiment une bonne raison (problème de sécurité, gros bug, etc). Par contre, il existe un dépôt officiel appelé //dapper-backports// par lequel peuvent être backportés des paquets dans Dapper. Mais les paquets dans //dapper-backports// doivent être aussi proches que possible de leur version dans //edgy//, donc il faut commencer par intégrer le paquet dans //edgy//. | dapper
80 Mot inconnu : dapper-backports => C'est difficile : Dapper est une version stable d'Ubuntu. Pour qu'un paquet y soit mis à jour (via le dépôt dapper-updates), il faut qu'il y ait vraiment une bonne raison (problème de sécurité, gros bug, etc). Par contre, il existe un dépôt officiel appelé //dapper-backports// par lequel peuvent être backportés des paquets dans Dapper. Mais les paquets dans //dapper-backports// doivent être aussi proches que possible de leur version dans //edgy//, donc il faut commencer par intégrer le paquet dans //edgy//. | dapper-backports
80 Mot inconnu : edgy => C'est difficile : Dapper est une version stable d'Ubuntu. Pour qu'un paquet y soit mis à jour (via le dépôt dapper-updates), il faut qu'il y ait vraiment une bonne raison (problème de sécurité, gros bug, etc). Par contre, il existe un dépôt officiel appelé //dapper-backports// par lequel peuvent être backportés des paquets dans Dapper. Mais les paquets dans //dapper-backports// doivent être aussi proches que possible de leur version dans //edgy//, donc il faut commencer par intégrer le paquet dans //edgy//. | edgy
80 Mot inconnu : edgy => C'est difficile : Dapper est une version stable d'Ubuntu. Pour qu'un paquet y soit mis à jour (via le dépôt dapper-updates), il faut qu'il y ait vraiment une bonne raison (problème de sécurité, gros bug, etc). Par contre, il existe un dépôt officiel appelé //dapper-backports// par lequel peuvent être backportés des paquets dans Dapper. Mais les paquets dans //dapper-backports// doivent être aussi proches que possible de leur version dans //edgy//, donc il faut commencer par intégrer le paquet dans //edgy//. | edgy

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://wiki.ubuntu.com/UbuntuDevelopment]] (en) |    => suggestions : ['']

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://wiki.ubuntu.com/UbuntuDevelopers]] (en) (source des informations de cette page) |    => suggestions : ['']
