
5 Mot inconnu : Sharp => ====== Installer une imprimante Sharp ====== | sharp
37 Mot inconnu : ACCOUNTNUMBER => *JCLPasscode 1111: "@PJL SET ACCOUNTNUMBER = \"1111\"<0A>" | accountnumber
37 Guillemets typographiques ouvrants. => *JCLPasscode 1111: "@PJL SET ACCOUNTNUMBER = \"1111\"<0A>" | " => suggestions : ['«\xa0', '“']

38 Mot inconnu : JCLPasscode => *JCLPasscode 2222: "@PJL SET ACCOUNTNUMBER = \"2222\"<0A>" | jclpasscode
38 Mot inconnu : ACCOUNTNUMBER => *JCLPasscode 2222: "@PJL SET ACCOUNTNUMBER = \"2222\"<0A>" | accountnumber
38 Guillemets typographiques ouvrants. => *JCLPasscode 2222: "@PJL SET ACCOUNTNUMBER = \"2222\"<0A>" | " => suggestions : ['«\xa0', '“']

39 Mot inconnu : JCLPasscode => *JCLPasscode 3333: "@PJL SET ACCOUNTNUMBER = \"3333\"<0A>" | jclpasscode
39 Mot inconnu : ACCOUNTNUMBER => *JCLPasscode 3333: "@PJL SET ACCOUNTNUMBER = \"3333\"<0A>" | accountnumber
39 Guillemets typographiques ouvrants. => *JCLPasscode 3333: "@PJL SET ACCOUNTNUMBER = \"3333\"<0A>" | " => suggestions : ['«\xa0', '“']

40 Mot inconnu : CloseUI => *CloseUI: *JCLPasscode | closeui
40 Mot inconnu : JCLPasscode => *CloseUI: *JCLPasscode | jclpasscode

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

42 Mot inconnu : JCL => *% Custom JCL key code option  | jcl
42 Mot inconnu : key => *% Custom JCL key code option  | key
42 Espace(s) en fin de ligne à supprimer. => *% Custom JCL key code option  |   => suggestions : ['']

43 Mot inconnu : CustomJCLPasscode => *CustomJCLPasscode True: "@PJL SET ACCOUNTNUMBER = \"\1\"<0A>" | customjclpasscode
43 Mot inconnu : True => *CustomJCLPasscode True: "@PJL SET ACCOUNTNUMBER = \"\1\"<0A>" | true
43 Mot inconnu : ACCOUNTNUMBER => *CustomJCLPasscode True: "@PJL SET ACCOUNTNUMBER = \"\1\"<0A>" | accountnumber

44 Mot inconnu : ParamCustomJCLPasscode => *ParamCustomJCLPasscode Code/Key Code: 1 passcode 1 8 | paramcustomjclpasscode
44 Mot inconnu : Key => *ParamCustomJCLPasscode Code/Key Code: 1 passcode 1 8 | key
44 Mot inconnu : passcode => *ParamCustomJCLPasscode Code/Key Code: 1 passcode 1 8 | passcode

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

46 Mot inconnu : CloseGroup => *CloseGroup: Authentication | closegroup
46 Mot inconnu : Authentication => *CloseGroup: Authentication | authentication
