
5 Mot inconnu : Mirroring => ====== Mirroring sur deux serveurs ====== | mirroring
25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * haute disponibilité |    => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * client |    => suggestions : ['']

34 Mot inconnu : Heartbeat => ==== Heartbeat ==== | heartbeat

36 Mot inconnu : Heartbeat => Heartbeat gère la haute disponibilité de services qui peuvent être fournis par plusieurs serveurs (2 au minimum). Pour ce faire, chacun des serveurs est surveillé //via// un //battement de cœur// (heartbeat) diffusé sur le réseau. Au départ les services sont démarrés sur l'un des serveurs, et si celui-ci n'émet plus de battement de cœur((c'est qu'il est mort !)), un autre serveur prend la relève. | heartbeat
36 Mot inconnu : heartbeat => Heartbeat gère la haute disponibilité de services qui peuvent être fournis par plusieurs serveurs (2 au minimum). Pour ce faire, chacun des serveurs est surveillé //via// un //battement de cœur// (heartbeat) diffusé sur le réseau. Au départ les services sont démarrés sur l'un des serveurs, et si celui-ci n'émet plus de battement de cœur((c'est qu'il est mort !)), un autre serveur prend la relève. | heartbeat
36 Il manque un espace avant la parenthèse. => Heartbeat gère la haute disponibilité de services qui peuvent être fournis par plusieurs serveurs (2 au minimum). Pour ce faire, chacun des serveurs est surveillé //via// un //battement de cœur// (heartbeat) diffusé sur le réseau. Au départ les services sont démarrés sur l'un des serveurs, et si celui-ci n'émet plus de battement de cœur((c'est qu'il est mort !)), un autre serveur prend la relève. | ( => suggestions : [' (']

38 Mot inconnu : Heartbeat => Le cas qui est certainement le plus répandu est la mise en place de Heartbeat sur deux serveurs, ce qui est le cas dans ce tutoriel. | heartbeat

40 Mot inconnu : DrBD => ==== DrBD ==== | drbd

42 Mot inconnu : DrBD => DrBD permet de synchroniser //en temps réel//((allez voir les [[http://www.drbd.org/users-guide-emb/users-guide.html|détails sur le site]])) des données entre deux ordinateurs. | drbd

44 Mot inconnu : DrBD => DrBD est constitué d'un module du noyau et d'outils de gestion. | drbd

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les deux serveurs : |    => suggestions : ['']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * ''serv1'' avec adresse IP 192.168.214.10 : serveur primaire |      => suggestions : ['']
49 Guillemets typographiques ouvrants. =>     * ''serv1'' avec adresse IP 192.168.214.10 : serveur primaire | '' => suggestions : ['«\xa0', '“']
49 Mot inconnu : serv1 =>     * ''serv1'' avec adresse IP 192.168.214.10 : serveur primaire | serv1
49 Guillemets typographiques fermants. =>     * ''serv1'' avec adresse IP 192.168.214.10 : serveur primaire | '' => suggestions : ['\xa0»', '”']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * ''serv2'' avec adresse IP 192.168.214.11 : serveur secondaire |      => suggestions : ['']
50 Guillemets typographiques ouvrants. =>     * ''serv2'' avec adresse IP 192.168.214.11 : serveur secondaire | '' => suggestions : ['«\xa0', '“']
50 Mot inconnu : serv2 =>     * ''serv2'' avec adresse IP 192.168.214.11 : serveur secondaire | serv2
50 Guillemets typographiques fermants. =>     * ''serv2'' avec adresse IP 192.168.214.11 : serveur secondaire | '' => suggestions : ['\xa0»', '”']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * sur chacun des deux serveurs, la partition **/dev/sda6** est celle que ''drbd'' duplique. Il s'agit d'une partition **non-formatée**((si vous ne pouvez pas faire autrement que de réutiliser une partition ayant été formatée et ayant contenu des données, il faudra utiliser la commande __''shred -zvf -n 1 /dev/sda6''__ afin de //vider// (remplir avec des zéros) la partition. Attention, l'opération peut prendre du temps, mais elle peut être stoppée après les 10 premiers pourcents ([CTRL]+[C]).)). Toutes les données de cette partition seront perdues. |    => suggestions : ['']
51 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * sur chacun des deux serveurs, la partition **/dev/sda6** est celle que ''drbd'' duplique. Il s'agit d'une partition **non-formatée**((si vous ne pouvez pas faire autrement que de réutiliser une partition ayant été formatée et ayant contenu des données, il faudra utiliser la commande __''shred -zvf -n 1 /dev/sda6''__ afin de //vider// (remplir avec des zéros) la partition. Attention, l'opération peut prendre du temps, mais elle peut être stoppée après les 10 premiers pourcents ([CTRL]+[C]).)). Toutes les données de cette partition seront perdues. | sur => suggestions : ['Sur']
51 Guillemets typographiques ouvrants. =>   * sur chacun des deux serveurs, la partition **/dev/sda6** est celle que ''drbd'' duplique. Il s'agit d'une partition **non-formatée**((si vous ne pouvez pas faire autrement que de réutiliser une partition ayant été formatée et ayant contenu des données, il faudra utiliser la commande __''shred -zvf -n 1 /dev/sda6''__ afin de //vider// (remplir avec des zéros) la partition. Attention, l'opération peut prendre du temps, mais elle peut être stoppée après les 10 premiers pourcents ([CTRL]+[C]).)). Toutes les données de cette partition seront perdues. | '' => suggestions : ['«\xa0', '“']
51 Mot inconnu : drbd =>   * sur chacun des deux serveurs, la partition **/dev/sda6** est celle que ''drbd'' duplique. Il s'agit d'une partition **non-formatée**((si vous ne pouvez pas faire autrement que de réutiliser une partition ayant été formatée et ayant contenu des données, il faudra utiliser la commande __''shred -zvf -n 1 /dev/sda6''__ afin de //vider// (remplir avec des zéros) la partition. Attention, l'opération peut prendre du temps, mais elle peut être stoppée après les 10 premiers pourcents ([CTRL]+[C]).)). Toutes les données de cette partition seront perdues. | drbd
51 Guillemets typographiques fermants. =>   * sur chacun des deux serveurs, la partition **/dev/sda6** est celle que ''drbd'' duplique. Il s'agit d'une partition **non-formatée**((si vous ne pouvez pas faire autrement que de réutiliser une partition ayant été formatée et ayant contenu des données, il faudra utiliser la commande __''shred -zvf -n 1 /dev/sda6''__ afin de //vider// (remplir avec des zéros) la partition. Attention, l'opération peut prendre du temps, mais elle peut être stoppée après les 10 premiers pourcents ([CTRL]+[C]).)). Toutes les données de cette partition seront perdues. | '' => suggestions : ['\xa0»', '”']
51 Mot inconnu : __ =>   * sur chacun des deux serveurs, la partition **/dev/sda6** est celle que ''drbd'' duplique. Il s'agit d'une partition **non-formatée**((si vous ne pouvez pas faire autrement que de réutiliser une partition ayant été formatée et ayant contenu des données, il faudra utiliser la commande __''shred -zvf -n 1 /dev/sda6''__ afin de //vider// (remplir avec des zéros) la partition. Attention, l'opération peut prendre du temps, mais elle peut être stoppée après les 10 premiers pourcents ([CTRL]+[C]).)). Toutes les données de cette partition seront perdues. | __
51 Mot inconnu : shred =>   * sur chacun des deux serveurs, la partition **/dev/sda6** est celle que ''drbd'' duplique. Il s'agit d'une partition **non-formatée**((si vous ne pouvez pas faire autrement que de réutiliser une partition ayant été formatée et ayant contenu des données, il faudra utiliser la commande __''shred -zvf -n 1 /dev/sda6''__ afin de //vider// (remplir avec des zéros) la partition. Attention, l'opération peut prendre du temps, mais elle peut être stoppée après les 10 premiers pourcents ([CTRL]+[C]).)). Toutes les données de cette partition seront perdues. | shred
51 Il manque un espace à côté du tiret. =>   * sur chacun des deux serveurs, la partition **/dev/sda6** est celle que ''drbd'' duplique. Il s'agit d'une partition **non-formatée**((si vous ne pouvez pas faire autrement que de réutiliser une partition ayant été formatée et ayant contenu des données, il faudra utiliser la commande __''shred -zvf -n 1 /dev/sda6''__ afin de //vider// (remplir avec des zéros) la partition. Attention, l'opération peut prendre du temps, mais elle peut être stoppée après les 10 premiers pourcents ([CTRL]+[C]).)). Toutes les données de cette partition seront perdues. |  - => suggestions : [' – ', ' — ']
51 Mot inconnu : zvf =>   * sur chacun des deux serveurs, la partition **/dev/sda6** est celle que ''drbd'' duplique. Il s'agit d'une partition **non-formatée**((si vous ne pouvez pas faire autrement que de réutiliser une partition ayant été formatée et ayant contenu des données, il faudra utiliser la commande __''shred -zvf -n 1 /dev/sda6''__ afin de //vider// (remplir avec des zéros) la partition. Attention, l'opération peut prendre du temps, mais elle peut être stoppée après les 10 premiers pourcents ([CTRL]+[C]).)). Toutes les données de cette partition seront perdues. | zvf
51 Guillemets typographiques ouvrants. =>   * sur chacun des deux serveurs, la partition **/dev/sda6** est celle que ''drbd'' duplique. Il s'agit d'une partition **non-formatée**((si vous ne pouvez pas faire autrement que de réutiliser une partition ayant été formatée et ayant contenu des données, il faudra utiliser la commande __''shred -zvf -n 1 /dev/sda6''__ afin de //vider// (remplir avec des zéros) la partition. Attention, l'opération peut prendre du temps, mais elle peut être stoppée après les 10 premiers pourcents ([CTRL]+[C]).)). Toutes les données de cette partition seront perdues. | '' => suggestions : ['«\xa0', '“']
51 Mot inconnu : __ =>   * sur chacun des deux serveurs, la partition **/dev/sda6** est celle que ''drbd'' duplique. Il s'agit d'une partition **non-formatée**((si vous ne pouvez pas faire autrement que de réutiliser une partition ayant été formatée et ayant contenu des données, il faudra utiliser la commande __''shred -zvf -n 1 /dev/sda6''__ afin de //vider// (remplir avec des zéros) la partition. Attention, l'opération peut prendre du temps, mais elle peut être stoppée après les 10 premiers pourcents ([CTRL]+[C]).)). Toutes les données de cette partition seront perdues. | __

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * l'adresse mail de l'administrateur à contacter((en supposant que les deux serveurs sachent envoyer un mail (avec ''ssmtp'' par exemple) )) est ''admin@domain.fr''((à personnaliser)). |    => suggestions : ['']
52 Il manque un espace avant la parenthèse. =>   * l'adresse mail de l'administrateur à contacter((en supposant que les deux serveurs sachent envoyer un mail (avec ''ssmtp'' par exemple) )) est ''admin@domain.fr''((à personnaliser)). | ( => suggestions : [' (']
52 Guillemets typographiques ouvrants. =>   * l'adresse mail de l'administrateur à contacter((en supposant que les deux serveurs sachent envoyer un mail (avec ''ssmtp'' par exemple) )) est ''admin@domain.fr''((à personnaliser)). | '' => suggestions : ['«\xa0', '“']
52 Mot inconnu : ssmtp =>   * l'adresse mail de l'administrateur à contacter((en supposant que les deux serveurs sachent envoyer un mail (avec ''ssmtp'' par exemple) )) est ''admin@domain.fr''((à personnaliser)). | ssmtp
52 Guillemets typographiques fermants. =>   * l'adresse mail de l'administrateur à contacter((en supposant que les deux serveurs sachent envoyer un mail (avec ''ssmtp'' par exemple) )) est ''admin@domain.fr''((à personnaliser)). | '' => suggestions : ['\xa0»', '”']
52 Pas d’espace avant ce signe. =>   * l'adresse mail de l'administrateur à contacter((en supposant que les deux serveurs sachent envoyer un mail (avec ''ssmtp'' par exemple) )) est ''admin@domain.fr''((à personnaliser)). |  ) => suggestions : [')']
52 Guillemets typographiques ouvrants. =>   * l'adresse mail de l'administrateur à contacter((en supposant que les deux serveurs sachent envoyer un mail (avec ''ssmtp'' par exemple) )) est ''admin@domain.fr''((à personnaliser)). | '' => suggestions : ['«\xa0', '“']

54 Guillemets typographiques ouvrants. => Pour que la reprise de service soit //transparente// pour les clients, nous utiliserons une fonctionnalité de ''heartbeat'', celle de la gestion d'une adresse flottante. Cette adresse est définie à 192.168.214.20.\\ | '' => suggestions : ['«\xa0', '“']
54 Mot inconnu : heartbeat => Pour que la reprise de service soit //transparente// pour les clients, nous utiliserons une fonctionnalité de ''heartbeat'', celle de la gestion d'une adresse flottante. Cette adresse est définie à 192.168.214.20.\\ | heartbeat
54 Guillemets typographiques fermants. => Pour que la reprise de service soit //transparente// pour les clients, nous utiliserons une fonctionnalité de ''heartbeat'', celle de la gestion d'une adresse flottante. Cette adresse est définie à 192.168.214.20.\\ | '' => suggestions : ['\xa0»', '”']

55 Guillemets typographiques ouvrants. => De plus ''samba'' sera configuré pour //passer// par cette adresse flottante et pour donner un nom NetBios indépendant du nom du serveur sur lequel il est exécuté. Ce nom est "serveur". | '' => suggestions : ['«\xa0', '“']
55 Guillemets typographiques fermants. => De plus ''samba'' sera configuré pour //passer// par cette adresse flottante et pour donner un nom NetBios indépendant du nom du serveur sur lequel il est exécuté. Ce nom est "serveur". | '' => suggestions : ['\xa0»', '”']
55 Mot inconnu : NetBios => De plus ''samba'' sera configuré pour //passer// par cette adresse flottante et pour donner un nom NetBios indépendant du nom du serveur sur lequel il est exécuté. Ce nom est "serveur". | netbios
55 Guillemets typographiques ouvrants. => De plus ''samba'' sera configuré pour //passer// par cette adresse flottante et pour donner un nom NetBios indépendant du nom du serveur sur lequel il est exécuté. Ce nom est "serveur". | " => suggestions : ['«\xa0', '“']
55 Guillemets typographiques fermants. => De plus ''samba'' sera configuré pour //passer// par cette adresse flottante et pour donner un nom NetBios indépendant du nom du serveur sur lequel il est exécuté. Ce nom est "serveur". | " => suggestions : ['\xa0»', '”']

59 Mot inconnu : DrBD => L'ordre d'installation à respecter concerne surtout DrBD qui doit être installé après Heartbeat. | drbd
59 Mot inconnu : Heartbeat => L'ordre d'installation à respecter concerne surtout DrBD qui doit être installé après Heartbeat. | heartbeat

65 Mot inconnu : Heartbeat => Dans l'optique d'une gestion de Samba avec Heartbeat, il faut laisser le soin à ce dernier de démarrer Samba, il faut donc faire en sorte que Samba ne soit pas lancé au démarrage : | heartbeat

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   update-rc.d -f samba remove |    => suggestions : ['']
67 Mot inconnu : update-rc =>   update-rc.d -f samba remove | update-rc
67 Mot inconnu : remove =>   update-rc.d -f samba remove | remove

69 Guillemets typographiques ouvrants. => Il faut ensuite arrêter le service ''samba'' : | '' => suggestions : ['«\xa0', '“']
69 Guillemets typographiques fermants. => Il faut ensuite arrêter le service ''samba'' : | '' => suggestions : ['\xa0»', '”']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /etc/init.d/smb stop |    => suggestions : ['']

73 Mot inconnu : Heartbeat => ==== Heartbeat ==== | heartbeat

77 Mot inconnu : DrBD => ==== DrBD ==== | drbd

79 Guillemets typographiques ouvrants. => <note>Le module ''drbd'' est disponible avec le noyau ''server'' « de base » depuis au moins Hardy Heron((à vrai dire, je ne sais pas si c'était déjà le cas pour les versions précédentes)). Cependant, afin d'avoir un système récent avec un minimum de bug et de faille de sécurité, on passera au noyau ''server'' le plus récent.</note> | '' => suggestions : ['«\xa0', '“']
79 Mot inconnu : drbd => <note>Le module ''drbd'' est disponible avec le noyau ''server'' « de base » depuis au moins Hardy Heron((à vrai dire, je ne sais pas si c'était déjà le cas pour les versions précédentes)). Cependant, afin d'avoir un système récent avec un minimum de bug et de faille de sécurité, on passera au noyau ''server'' le plus récent.</note> | drbd
79 Guillemets typographiques fermants. => <note>Le module ''drbd'' est disponible avec le noyau ''server'' « de base » depuis au moins Hardy Heron((à vrai dire, je ne sais pas si c'était déjà le cas pour les versions précédentes)). Cependant, afin d'avoir un système récent avec un minimum de bug et de faille de sécurité, on passera au noyau ''server'' le plus récent.</note> | '' => suggestions : ['\xa0»', '”']
79 Guillemets typographiques ouvrants. => <note>Le module ''drbd'' est disponible avec le noyau ''server'' « de base » depuis au moins Hardy Heron((à vrai dire, je ne sais pas si c'était déjà le cas pour les versions précédentes)). Cependant, afin d'avoir un système récent avec un minimum de bug et de faille de sécurité, on passera au noyau ''server'' le plus récent.</note> | '' => suggestions : ['«\xa0', '“']
79 Mot inconnu : server => <note>Le module ''drbd'' est disponible avec le noyau ''server'' « de base » depuis au moins Hardy Heron((à vrai dire, je ne sais pas si c'était déjà le cas pour les versions précédentes)). Cependant, afin d'avoir un système récent avec un minimum de bug et de faille de sécurité, on passera au noyau ''server'' le plus récent.</note> | server
79 Guillemets typographiques fermants. => <note>Le module ''drbd'' est disponible avec le noyau ''server'' « de base » depuis au moins Hardy Heron((à vrai dire, je ne sais pas si c'était déjà le cas pour les versions précédentes)). Cependant, afin d'avoir un système récent avec un minimum de bug et de faille de sécurité, on passera au noyau ''server'' le plus récent.</note> | '' => suggestions : ['\xa0»', '”']
79 Mot inconnu : Heron => <note>Le module ''drbd'' est disponible avec le noyau ''server'' « de base » depuis au moins Hardy Heron((à vrai dire, je ne sais pas si c'était déjà le cas pour les versions précédentes)). Cependant, afin d'avoir un système récent avec un minimum de bug et de faille de sécurité, on passera au noyau ''server'' le plus récent.</note> | heron
79 Il manque un espace avant la parenthèse. => <note>Le module ''drbd'' est disponible avec le noyau ''server'' « de base » depuis au moins Hardy Heron((à vrai dire, je ne sais pas si c'était déjà le cas pour les versions précédentes)). Cependant, afin d'avoir un système récent avec un minimum de bug et de faille de sécurité, on passera au noyau ''server'' le plus récent.</note> | ( => suggestions : [' (']
79 Guillemets typographiques ouvrants. => <note>Le module ''drbd'' est disponible avec le noyau ''server'' « de base » depuis au moins Hardy Heron((à vrai dire, je ne sais pas si c'était déjà le cas pour les versions précédentes)). Cependant, afin d'avoir un système récent avec un minimum de bug et de faille de sécurité, on passera au noyau ''server'' le plus récent.</note> | '' => suggestions : ['«\xa0', '“']
79 Mot inconnu : server => <note>Le module ''drbd'' est disponible avec le noyau ''server'' « de base » depuis au moins Hardy Heron((à vrai dire, je ne sais pas si c'était déjà le cas pour les versions précédentes)). Cependant, afin d'avoir un système récent avec un minimum de bug et de faille de sécurité, on passera au noyau ''server'' le plus récent.</note> | server
79 Guillemets typographiques fermants. => <note>Le module ''drbd'' est disponible avec le noyau ''server'' « de base » depuis au moins Hardy Heron((à vrai dire, je ne sais pas si c'était déjà le cas pour les versions précédentes)). Cependant, afin d'avoir un système récent avec un minimum de bug et de faille de sécurité, on passera au noyau ''server'' le plus récent.</note> | '' => suggestions : ['\xa0»', '”']

86 Guillemets typographiques ouvrants. => Vérification de la présence du module ''drbd'' : | '' => suggestions : ['«\xa0', '“']
86 Mot inconnu : drbd => Vérification de la présence du module ''drbd'' : | drbd
86 Guillemets typographiques fermants. => Vérification de la présence du module ''drbd'' : | '' => suggestions : ['\xa0»', '”']

88 Mot inconnu : cat => <file>cat: /proc/drbd: Aucun fichier ou répertoire de ce type</file> | cat
88 Mot inconnu : proc => <file>cat: /proc/drbd: Aucun fichier ou répertoire de ce type</file> | proc
88 Mot inconnu : drbd => <file>cat: /proc/drbd: Aucun fichier ou répertoire de ce type</file> | drbd

90 Mot inconnu : cat => cat /proc/drbd</code> | cat
90 Mot inconnu : proc => cat /proc/drbd</code> | proc
90 Mot inconnu : drbd => cat /proc/drbd</code> | drbd
91 Il manque un espace. => <file>version: 8.2.6 (api:88/proto:86-88) | 88 => suggestions : [' 88']
91 Il manque un espace. => <file>version: 8.2.6 (api:88/proto:86-88) | 86-88 => suggestions : [' 86-88']

92 Mot inconnu : GIT-hash => GIT-hash: 3e69822d3bb4920a8c1bfdf7d647169eba7d2eb4 build by phil@fat-tyre, 2008-05-30 12:59:17</file> | git-hash
92 Mot inconnu : e69822d3bb4920a8c1bfdf7d647169eba7d2eb4 => GIT-hash: 3e69822d3bb4920a8c1bfdf7d647169eba7d2eb4 build by phil@fat-tyre, 2008-05-30 12:59:17</file> | e69822d3bb4920a8c1bfdf7d647169eba7d2eb4
92 Mot inconnu : by => GIT-hash: 3e69822d3bb4920a8c1bfdf7d647169eba7d2eb4 build by phil@fat-tyre, 2008-05-30 12:59:17</file> | by
92 Mot inconnu : phil => GIT-hash: 3e69822d3bb4920a8c1bfdf7d647169eba7d2eb4 build by phil@fat-tyre, 2008-05-30 12:59:17</file> | phil

93 Mot inconnu : Heron => Sous Hardy Heron, la version du module et des outils est la 8.0.11. | heron
96 Guillemets typographiques ouvrants. => Un paquet suggéré : ''heartbeat'' : tout le monde est sur la même longueur d'onde...  | '' => suggestions : ['«\xa0', '“']
96 Mot inconnu : heartbeat => Un paquet suggéré : ''heartbeat'' : tout le monde est sur la même longueur d'onde...  | heartbeat
96 Guillemets typographiques fermants. => Un paquet suggéré : ''heartbeat'' : tout le monde est sur la même longueur d'onde...  | '' => suggestions : ['\xa0»', '”']
96 Typographie : points de suspension. Utilisez le caractère dédié. => Un paquet suggéré : ''heartbeat'' : tout le monde est sur la même longueur d'onde...  | ... => suggestions : ['…']
96 Espace(s) en fin de ligne à supprimer. => Un paquet suggéré : ''heartbeat'' : tout le monde est sur la même longueur d'onde...  |   => suggestions : ['']

98 Guillemets typographiques ouvrants. => <note important>Il faut que le service ''drbd'' démarre, sinon le script de démarrage de ''drbd'' lancé par ''heartbeat'' ne fonctionne pas. Il faut donc lancer la commande : | '' => suggestions : ['«\xa0', '“']
98 Mot inconnu : drbd => <note important>Il faut que le service ''drbd'' démarre, sinon le script de démarrage de ''drbd'' lancé par ''heartbeat'' ne fonctionne pas. Il faut donc lancer la commande : | drbd
98 Guillemets typographiques fermants. => <note important>Il faut que le service ''drbd'' démarre, sinon le script de démarrage de ''drbd'' lancé par ''heartbeat'' ne fonctionne pas. Il faut donc lancer la commande : | '' => suggestions : ['\xa0»', '”']
98 Guillemets typographiques ouvrants. => <note important>Il faut que le service ''drbd'' démarre, sinon le script de démarrage de ''drbd'' lancé par ''heartbeat'' ne fonctionne pas. Il faut donc lancer la commande : | '' => suggestions : ['«\xa0', '“']
98 Mot inconnu : drbd => <note important>Il faut que le service ''drbd'' démarre, sinon le script de démarrage de ''drbd'' lancé par ''heartbeat'' ne fonctionne pas. Il faut donc lancer la commande : | drbd
98 Guillemets typographiques fermants. => <note important>Il faut que le service ''drbd'' démarre, sinon le script de démarrage de ''drbd'' lancé par ''heartbeat'' ne fonctionne pas. Il faut donc lancer la commande : | '' => suggestions : ['\xa0»', '”']
98 Guillemets typographiques ouvrants. => <note important>Il faut que le service ''drbd'' démarre, sinon le script de démarrage de ''drbd'' lancé par ''heartbeat'' ne fonctionne pas. Il faut donc lancer la commande : | '' => suggestions : ['«\xa0', '“']
98 Mot inconnu : heartbeat => <note important>Il faut que le service ''drbd'' démarre, sinon le script de démarrage de ''drbd'' lancé par ''heartbeat'' ne fonctionne pas. Il faut donc lancer la commande : | heartbeat
98 Guillemets typographiques fermants. => <note important>Il faut que le service ''drbd'' démarre, sinon le script de démarrage de ''drbd'' lancé par ''heartbeat'' ne fonctionne pas. Il faut donc lancer la commande : | '' => suggestions : ['\xa0»', '”']

102 Guillemets typographiques ouvrants. => Finalisation pour faire en sorte que les outils ''heartbeat'' fonctionnent : | '' => suggestions : ['«\xa0', '“']
102 Mot inconnu : heartbeat => Finalisation pour faire en sorte que les outils ''heartbeat'' fonctionnent : | heartbeat
102 Guillemets typographiques fermants. => Finalisation pour faire en sorte que les outils ''heartbeat'' fonctionnent : | '' => suggestions : ['\xa0»', '”']

109 Mot inconnu : chmod => chmod u+s /sbin/drbdmeta</code> | chmod

111 Mot inconnu : drbd => ===== Configuration et mise en place de drbd ===== | drbd

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   usage-count no; |    => suggestions : ['']
114 Mot inconnu : usage-count =>   usage-count no; | usage-count

117 Mot inconnu : common => common { | common

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   protocol C; |    => suggestions : ['']
118 Mot inconnu : protocol =>   protocol C; | protocol

