
3 Mot inconnu : boot => ====== Double boot Windows/Linux sur des machines chiffrées avec PBA ====== | boot
13 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - WINDOWS (ntfs) : OS éponyme |  -  => suggestions : [' – ', ' — ', ' − ']
13 Mot inconnu : ntfs =>   - WINDOWS (ntfs) : OS éponyme | ntfs

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - *_RECOVERY (ntfs) : partition de restauration complète de l'OS |    => suggestions : ['']
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - *_RECOVERY (ntfs) : partition de restauration complète de l'OS |  -  => suggestions : [' – ', ' — ', ' − ']
14 Mot inconnu : _RECOVERY =>   - *_RECOVERY (ntfs) : partition de restauration complète de l'OS | _recovery
14 Mot inconnu : ntfs =>   - *_RECOVERY (ntfs) : partition de restauration complète de l'OS | ntfs

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - *_TOOLS (fat16) : outils du constructeur, utilisée aussi par WinMagic |    => suggestions : ['']
15 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - *_TOOLS (fat16) : outils du constructeur, utilisée aussi par WinMagic |  -  => suggestions : [' – ', ' — ', ' − ']
15 Mot inconnu : _TOOLS =>   - *_TOOLS (fat16) : outils du constructeur, utilisée aussi par WinMagic | _tools
15 Mot inconnu : fat16 =>   - *_TOOLS (fat16) : outils du constructeur, utilisée aussi par WinMagic | fat16
15 Mot inconnu : WinMagic =>   - *_TOOLS (fat16) : outils du constructeur, utilisée aussi par WinMagic | winmagic

19 Mot inconnu : VM => Un système Linux peut être installé en tant que VM au sein de VirtualBox par exemple. Si ceci permet un usage d'autres outils que ceux du monde Windows, les performances d'une machine virtuelle restent limitées du fait de : | vm
19 Mot inconnu : VirtualBox => Un système Linux peut être installé en tant que VM au sein de VirtualBox par exemple. Si ceci permet un usage d'autres outils que ceux du monde Windows, les performances d'une machine virtuelle restent limitées du fait de : | virtualbox

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * la couche de stockage virtualisée plus lente, elle même stockée sur un stockage Windows dégradé en performance du fait du chiffrement de l'hôte |    => suggestions : ['']
20 Il manque un trait d’union si “même” se rapporte à “elle”. =>   * la couche de stockage virtualisée plus lente, elle même stockée sur un stockage Windows dégradé en performance du fait du chiffrement de l'hôte | elle même => suggestions : ['elle-même']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * la mémoire disponible réduite à cause de la part prise par l'hôte |    => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * l'accélération graphique limitée |    => suggestions : ['']

24 Mot inconnu : boot => Il peut donc être souhaitable d'utiliser un système Linux utilisé en double boot avec Windows. | boot

26 Mot inconnu : WinMagic => ===== WinMagic ===== | winmagic

28 Mot inconnu : WinMagic => Voici les données importantes utilisées par WinMagic : | winmagic

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * programme dans la MBR |    => suggestions : ['']
29 Mot inconnu : MBR =>   * programme dans la MBR | mbr

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * fichiers WinMagicSECURDOC.WMG et WinMagic/SECURDOC.PH1, présent à priori dans une partition non chiffrée : ils contiennent probablement le programme complet WinMagic chargé en relai depuis la MBR, et la clef de déchiffrement (protégé par mot de passe comme LUKS ?) des partitions Windows chiffrées |    => suggestions : ['']
30 Mot inconnu : WinMagicSECURDOC =>   * fichiers WinMagicSECURDOC.WMG et WinMagic/SECURDOC.PH1, présent à priori dans une partition non chiffrée : ils contiennent probablement le programme complet WinMagic chargé en relai depuis la MBR, et la clef de déchiffrement (protégé par mot de passe comme LUKS ?) des partitions Windows chiffrées | winmagicsecurdoc
30 Mot inconnu : WMG =>   * fichiers WinMagicSECURDOC.WMG et WinMagic/SECURDOC.PH1, présent à priori dans une partition non chiffrée : ils contiennent probablement le programme complet WinMagic chargé en relai depuis la MBR, et la clef de déchiffrement (protégé par mot de passe comme LUKS ?) des partitions Windows chiffrées | wmg
30 Mot inconnu : WinMagic =>   * fichiers WinMagicSECURDOC.WMG et WinMagic/SECURDOC.PH1, présent à priori dans une partition non chiffrée : ils contiennent probablement le programme complet WinMagic chargé en relai depuis la MBR, et la clef de déchiffrement (protégé par mot de passe comme LUKS ?) des partitions Windows chiffrées | winmagic
30 Mot inconnu : SECURDOC =>   * fichiers WinMagicSECURDOC.WMG et WinMagic/SECURDOC.PH1, présent à priori dans une partition non chiffrée : ils contiennent probablement le programme complet WinMagic chargé en relai depuis la MBR, et la clef de déchiffrement (protégé par mot de passe comme LUKS ?) des partitions Windows chiffrées | securdoc
30 Mot inconnu : PH1 =>   * fichiers WinMagicSECURDOC.WMG et WinMagic/SECURDOC.PH1, présent à priori dans une partition non chiffrée : ils contiennent probablement le programme complet WinMagic chargé en relai depuis la MBR, et la clef de déchiffrement (protégé par mot de passe comme LUKS ?) des partitions Windows chiffrées | ph1
30 Mot inconnu : WinMagic =>   * fichiers WinMagicSECURDOC.WMG et WinMagic/SECURDOC.PH1, présent à priori dans une partition non chiffrée : ils contiennent probablement le programme complet WinMagic chargé en relai depuis la MBR, et la clef de déchiffrement (protégé par mot de passe comme LUKS ?) des partitions Windows chiffrées | winmagic
30 Mot inconnu : MBR =>   * fichiers WinMagicSECURDOC.WMG et WinMagic/SECURDOC.PH1, présent à priori dans une partition non chiffrée : ils contiennent probablement le programme complet WinMagic chargé en relai depuis la MBR, et la clef de déchiffrement (protégé par mot de passe comme LUKS ?) des partitions Windows chiffrées | mbr
30 Mot inconnu : LUKS =>   * fichiers WinMagicSECURDOC.WMG et WinMagic/SECURDOC.PH1, présent à priori dans une partition non chiffrée : ils contiennent probablement le programme complet WinMagic chargé en relai depuis la MBR, et la clef de déchiffrement (protégé par mot de passe comme LUKS ?) des partitions Windows chiffrées | luks

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * partiton SYSTEM : Boot/BCD : le chargeur d'amorçage de Windows légèrement patché pour le déchiffrement |    => suggestions : ['']
31 Mot inconnu : partiton =>   * partiton SYSTEM : Boot/BCD : le chargeur d'amorçage de Windows légèrement patché pour le déchiffrement | partiton
31 Mot inconnu : SYSTEM =>   * partiton SYSTEM : Boot/BCD : le chargeur d'amorçage de Windows légèrement patché pour le déchiffrement | system
31 Mot inconnu : Boot =>   * partiton SYSTEM : Boot/BCD : le chargeur d'amorçage de Windows légèrement patché pour le déchiffrement | boot
31 Mot inconnu : BCD =>   * partiton SYSTEM : Boot/BCD : le chargeur d'amorçage de Windows légèrement patché pour le déchiffrement | bcd
35 Mot inconnu : sudo => **Précaution** : il est souhaitable de faire une image **complète** du disque, en vue d'une restauration ultérieure en cas de souci (sudo dd if=/dev/sda bs=16M | gzip -c > image.gz). | sudo
35 Mot inconnu : dd => **Précaution** : il est souhaitable de faire une image **complète** du disque, en vue d'une restauration ultérieure en cas de souci (sudo dd if=/dev/sda bs=16M | gzip -c > image.gz). | dd
35 Mot inconnu : bs => **Précaution** : il est souhaitable de faire une image **complète** du disque, en vue d'une restauration ultérieure en cas de souci (sudo dd if=/dev/sda bs=16M | gzip -c > image.gz). | bs
35 Mot inconnu : gzip => **Précaution** : il est souhaitable de faire une image **complète** du disque, en vue d'une restauration ultérieure en cas de souci (sudo dd if=/dev/sda bs=16M | gzip -c > image.gz). | gzip
35 Il manque un espace à côté du tiret. => **Précaution** : il est souhaitable de faire une image **complète** du disque, en vue d'une restauration ultérieure en cas de souci (sudo dd if=/dev/sda bs=16M | gzip -c > image.gz). |  - => suggestions : [' – ', ' — ']
35 Mot inconnu : gz => **Précaution** : il est souhaitable de faire une image **complète** du disque, en vue d'une restauration ultérieure en cas de souci (sudo dd if=/dev/sda bs=16M | gzip -c > image.gz). | gz

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * déchiffrement de la partition Windows si elle a été chiffrée |    => suggestions : ['']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * démarrage sur le média d'installation de Linux |    => suggestions : ['']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * partitionnement : |    => suggestions : ['']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * si 4 partitions primaires : suppression de la partition <constructeur>_recovery inutile (faire au besoin une sauvegarde avec un dd de la partition) |      => suggestions : ['']
43 Mot inconnu : _recovery =>     * si 4 partitions primaires : suppression de la partition <constructeur>_recovery inutile (faire au besoin une sauvegarde avec un dd de la partition) | _recovery
43 Mot inconnu : dd =>     * si 4 partitions primaires : suppression de la partition <constructeur>_recovery inutile (faire au besoin une sauvegarde avec un dd de la partition) | dd

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * réduction de la taille de la partition Windows |      => suggestions : ['']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * création d'une partition étendu dans l'espace libéré |      => suggestions : ['']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * création d'une partition logique pour le système Linux (10Go, brtfs) |      => suggestions : ['']
46 Mot inconnu : brtfs =>     * création d'une partition logique pour le système Linux (10Go, brtfs) | brtfs

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * création d'une partition logique pour le swap (2G) |      => suggestions : ['']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * création d'une partition logique non formatée, qui contiendra le home chiffré (le reste) |      => suggestions : ['']

57 Espace(s) en fin de ligne à supprimer. => Installation Linux à la suite de l'opération précédente, en affectant les points de montage aux partitions.  |   => suggestions : ['']

59 Mot inconnu : boot => Le double boot se fait automatiquement, avec Grub. | boot
59 Mot inconnu : Grub => Le double boot se fait automatiquement, avec Grub. | grub

61 Mot inconnu : linux => Pour déchiffrer le home au démarrage de linux, | linux

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * identifier l'UUID de la partition home chiffrée <code bash>sudo blkid | grep LUKS</code> |    => suggestions : ['']
62 Mot inconnu : UUID =>   * identifier l'UUID de la partition home chiffrée <code bash>sudo blkid | grep LUKS</code> | uuid

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ajouter la ligne appropriée dans /etc/crypttab <file>home_crypt        UUID=12345678-9abc-def012345-6789abcdef01     none      luks</file> |    => suggestions : ['']
63 Mot inconnu : home_crypt =>   * ajouter la ligne appropriée dans /etc/crypttab <file>home_crypt        UUID=12345678-9abc-def012345-6789abcdef01     none      luks</file> | home_crypt
63 Espace(s) surnuméraire(s) à supprimer. =>   * ajouter la ligne appropriée dans /etc/crypttab <file>home_crypt        UUID=12345678-9abc-def012345-6789abcdef01     none      luks</file> |          => suggestions : [' ']
63 Mot inconnu : UUID =>   * ajouter la ligne appropriée dans /etc/crypttab <file>home_crypt        UUID=12345678-9abc-def012345-6789abcdef01     none      luks</file> | uuid
63 Mot inconnu : abc-def012345-6789abcdef01 =>   * ajouter la ligne appropriée dans /etc/crypttab <file>home_crypt        UUID=12345678-9abc-def012345-6789abcdef01     none      luks</file> | abc-def012345-6789abcdef01
63 Espace(s) surnuméraire(s) à supprimer. =>   * ajouter la ligne appropriée dans /etc/crypttab <file>home_crypt        UUID=12345678-9abc-def012345-6789abcdef01     none      luks</file> |       => suggestions : [' ']
63 Espace(s) surnuméraire(s) à supprimer. =>   * ajouter la ligne appropriée dans /etc/crypttab <file>home_crypt        UUID=12345678-9abc-def012345-6789abcdef01     none      luks</file> |        => suggestions : [' ']
63 Mot inconnu : luks =>   * ajouter la ligne appropriée dans /etc/crypttab <file>home_crypt        UUID=12345678-9abc-def012345-6789abcdef01     none      luks</file> | luks

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * éditer les montages dans /etc/fstab <file>/dev/mapper/home_crypt        /home           ext4    defaults        0       2</file> |    => suggestions : ['']
64 Espace(s) surnuméraire(s) à supprimer. =>   * éditer les montages dans /etc/fstab <file>/dev/mapper/home_crypt        /home           ext4    defaults        0       2</file> |          => suggestions : [' ']
64 Espace(s) surnuméraire(s) à supprimer. =>   * éditer les montages dans /etc/fstab <file>/dev/mapper/home_crypt        /home           ext4    defaults        0       2</file> |             => suggestions : [' ']
64 Mot inconnu : ext4 =>   * éditer les montages dans /etc/fstab <file>/dev/mapper/home_crypt        /home           ext4    defaults        0       2</file> | ext4
64 Espace(s) surnuméraire(s) à supprimer. =>   * éditer les montages dans /etc/fstab <file>/dev/mapper/home_crypt        /home           ext4    defaults        0       2</file> |      => suggestions : [' ']
64 Mot inconnu : defaults =>   * éditer les montages dans /etc/fstab <file>/dev/mapper/home_crypt        /home           ext4    defaults        0       2</file> | defaults
64 Espace(s) surnuméraire(s) à supprimer. =>   * éditer les montages dans /etc/fstab <file>/dev/mapper/home_crypt        /home           ext4    defaults        0       2</file> |          => suggestions : [' ']
64 Espace(s) surnuméraire(s) à supprimer. =>   * éditer les montages dans /etc/fstab <file>/dev/mapper/home_crypt        /home           ext4    defaults        0       2</file> |         => suggestions : [' ']

70 Mot inconnu : WinMagic => Ensuite, il faut prendre quelques précautions supplémentaires pour éviter une perte totale de données en cas de réinstallation de Linux. En effet, la solution WinMagic : | winmagic

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * se positionne dans la MBR à la place du chargement d'amorçage normal, avant de passer le relais au chargeur d'amorçage |    => suggestions : ['']
71 Mot inconnu : MBR =>   * se positionne dans la MBR à la place du chargement d'amorçage normal, avant de passer le relais au chargeur d'amorçage | mbr

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * sert en particulier à accéder à la clef de chiffrement de la partition Windows |    => suggestions : ['']
72 S’il s’agit d’un impératif, la terminaison est “is”, non “it”. =>   * sert en particulier à accéder à la clef de chiffrement de la partition Windows | sert => suggestions : ['sers']

73 Mot inconnu : MBR => Aussi la réinstallation de Linux viendra réécrire la MBR ce qui aura pour effet la __perte totale de l'accès aux données chiffrées Windows__. | mbr
73 Mot inconnu : __perte => Aussi la réinstallation de Linux viendra réécrire la MBR ce qui aura pour effet la __perte totale de l'accès aux données chiffrées Windows__. | __perte
73 Mot inconnu : Windows__ => Aussi la réinstallation de Linux viendra réécrire la MBR ce qui aura pour effet la __perte totale de l'accès aux données chiffrées Windows__. | windows__

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **indispensable** : la MBR : <code bash>sudo dd if=/dev/sda of=~/mbr-backup-512.bin bs=512 count=1</code> |    => suggestions : ['']
78 Mot inconnu : MBR =>   * **indispensable** : la MBR : <code bash>sudo dd if=/dev/sda of=~/mbr-backup-512.bin bs=512 count=1</code> | mbr

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * éventuellement les fichiers décrit précédemment |    => suggestions : ['']
79 Accord avec “les fichiers…” incorrect. Conjugaison erronée ou accord nom/adjectif incorrect. =>   * éventuellement les fichiers décrit précédemment | décrit => suggestions : ['décrivaient', 'décrivent', 'décrivirent', 'décrits']

81 Mot inconnu : Grub => ==== Réglage de Grub ==== | grub

83 Mot inconnu : grub => La partition Windows étant chiffrée, grub n'est plus en mesure de la détecter lors de la génération de son fichier de configuration. \\ | grub

84 Mot inconnu : WinMagic => Néanmoins il suffit peut l'amorcer normalement, le programme WinMagic ayant auparavant préparer ce qu'il faut pour la déchiffrer. | winmagic
84 Incohérence probable avec “ayant” : “préparer” n’est pas un participe passé. => Néanmoins il suffit peut l'amorcer normalement, le programme WinMagic ayant auparavant préparer ce qu'il faut pour la déchiffrer. | préparer => suggestions : ['préparé']

88 Mot inconnu : menuentry => menuentry 'Windows 7 (loader) (chiffré sur /dev/sda2)' --class windows --class os { | menuentry
88 Guillemets typographiques ouvrants. => menuentry 'Windows 7 (loader) (chiffré sur /dev/sda2)' --class windows --class os { | ' => suggestions : ['“', '‘', '‹']
88 Mot inconnu : class => menuentry 'Windows 7 (loader) (chiffré sur /dev/sda2)' --class windows --class os { | class
88 Mot inconnu : class => menuentry 'Windows 7 (loader) (chiffré sur /dev/sda2)' --class windows --class os { | class

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         insmod part_msdos |          => suggestions : ['']
89 Mot inconnu : insmod =>         insmod part_msdos | insmod
89 Mot inconnu : part_msdos =>         insmod part_msdos | part_msdos

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         insmod ntfs |          => suggestions : ['']
90 Mot inconnu : insmod =>         insmod ntfs | insmod
90 Mot inconnu : ntfs =>         insmod ntfs | ntfs

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         set root='hd0,msdos2' |          => suggestions : ['']
91 Mot inconnu : root =>         set root='hd0,msdos2' | root
91 Mot inconnu : hd0 =>         set root='hd0,msdos2' | hd0
91 Il manque un espace. =>         set root='hd0,msdos2' | msdos2 => suggestions : [' msdos2']
91 Mot inconnu : msdos2 =>         set root='hd0,msdos2' | msdos2
91 Guillemets typographiques fermants. =>         set root='hd0,msdos2' | ' => suggestions : ['”', '’', '›']

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         chainloader +1 |          => suggestions : ['']
92 Mot inconnu : chainloader =>         chainloader +1 | chainloader

95 Mot inconnu : Regénérer => Regénérer ensuite la configuration de grub : <code bash>sudo update-grub2</code> | regénérer

99 Mot inconnu : grub => En cas de réinstallation de grub, ou d'un autre linux, sans avoir déchiffrer les données de Windows | grub
99 Mot inconnu : linux => En cas de réinstallation de grub, ou d'un autre linux, sans avoir déchiffrer les données de Windows | linux
99 Incohérence probable avec “avoir” : “déchiffrer” n’est pas un participe passé. => En cas de réinstallation de grub, ou d'un autre linux, sans avoir déchiffrer les données de Windows | déchiffrer => suggestions : ['déchiffré']

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * restaurer le programme d'amorçage WinMagic dans la MBR : <code bash>sudo dd if=~/mbr-backup-512.bin of=/dev/sda bs=446 count=1</code> |    => suggestions : ['']
100 Mot inconnu : WinMagic =>   * restaurer le programme d'amorçage WinMagic dans la MBR : <code bash>sudo dd if=~/mbr-backup-512.bin of=/dev/sda bs=446 count=1</code> | winmagic
100 Mot inconnu : MBR =>   * restaurer le programme d'amorçage WinMagic dans la MBR : <code bash>sudo dd if=~/mbr-backup-512.bin of=/dev/sda bs=446 count=1</code> | mbr
