
4 Mot inconnu : Groff => ====== Groff  tutoriel====== | groff
37 Apostrophe incorrecte. => Groff n' indique bien sûr que les erreurs de commandes, pas les erreurs d'orthographe ou de grammaire.  | n'  => suggestions : ['n’']
37 Guillemets typographiques fermants. => Groff n' indique bien sûr que les erreurs de commandes, pas les erreurs d'orthographe ou de grammaire.  | ' => suggestions : ['”', '’', '›']
37 Espace(s) en fin de ligne à supprimer. => Groff n' indique bien sûr que les erreurs de commandes, pas les erreurs d'orthographe ou de grammaire.  |   => suggestions : ['']

44 Mot inconnu : groff => Par défaut, groff travaille dans le répertoire courant, c'est à dire la racine de votre dossier personnel. Il est donc pratique de placer les fichiers sur lesquels vous travaillez directement dans votre dossier personnel,  et non dans un sous-répertoire.  | groff
44 Il manque les traits d’union. => Par défaut, groff travaille dans le répertoire courant, c'est à dire la racine de votre dossier personnel. Il est donc pratique de placer les fichiers sur lesquels vous travaillez directement dans votre dossier personnel,  et non dans un sous-répertoire.  | c'est à dire => suggestions : ['c’est-à-dire']
44 Espace(s) surnuméraire(s) à supprimer. => Par défaut, groff travaille dans le répertoire courant, c'est à dire la racine de votre dossier personnel. Il est donc pratique de placer les fichiers sur lesquels vous travaillez directement dans votre dossier personnel,  et non dans un sous-répertoire.  |    => suggestions : [' ']
44 Espace(s) en fin de ligne à supprimer. => Par défaut, groff travaille dans le répertoire courant, c'est à dire la racine de votre dossier personnel. Il est donc pratique de placer les fichiers sur lesquels vous travaillez directement dans votre dossier personnel,  et non dans un sous-répertoire.  |   => suggestions : ['']

46 Accord de nombre erroné : « fichier » devrait être au pluriel. => Si vous voulez placer vos fichier destinés à groff ailleurs, par exemple dans le sous-répertoire "Documents", deux solutions se présentent: | fichier => suggestions : ['fichiers']
46 Mot inconnu : groff => Si vous voulez placer vos fichier destinés à groff ailleurs, par exemple dans le sous-répertoire "Documents", deux solutions se présentent: | groff
46 Guillemets typographiques ouvrants. => Si vous voulez placer vos fichier destinés à groff ailleurs, par exemple dans le sous-répertoire "Documents", deux solutions se présentent: | " => suggestions : ['«\xa0', '“']
46 Guillemets typographiques fermants. => Si vous voulez placer vos fichier destinés à groff ailleurs, par exemple dans le sous-répertoire "Documents", deux solutions se présentent: | " => suggestions : ['\xa0»', '”']

48 Mot inconnu : groff => 1. Indiquer à groff le chemin complet du fichier, par ex. | groff

50 Espace(s) surnuméraire(s) à supprimer. => Ce qui fait quand même de longues commandes à taper  :-\ . |    => suggestions : [' ']

54 Mot inconnu : groff => groff votre_fichier > votre_fichier.ps</code> | groff
54 Mot inconnu : votre_fichier => groff votre_fichier > votre_fichier.ps</code> | votre_fichier
54 Mot inconnu : votre_fichier => groff votre_fichier > votre_fichier.ps</code> | votre_fichier
54 Il manque un espace. => groff votre_fichier > votre_fichier.ps</code> | ps => suggestions : [' ps']

59 Mot inconnu : gedit => ====gedit==== | gedit

64 Mot inconnu : gedit => Puis ouvrez gedit: \\ | gedit

65 Mot inconnu : Edition => Edition > Préférences  > Greffons, cochez "Terminal intégré"\\ | edition
65 Espace(s) surnuméraire(s) à supprimer. => Edition > Préférences  > Greffons, cochez "Terminal intégré"\\ |    => suggestions : [' ']
65 Guillemets typographiques ouvrants. => Edition > Préférences  > Greffons, cochez "Terminal intégré"\\ | " => suggestions : ['«\xa0', '“']
65 Guillemets typographiques fermants. => Edition > Préférences  > Greffons, cochez "Terminal intégré"\\ | " => suggestions : ['\xa0»', '”']

66 Guillemets typographiques ouvrants. => Ensuite allez à "affichage" et cochez "panneau inférieur". | " => suggestions : ['«\xa0', '“']
66 Guillemets typographiques fermants. => Ensuite allez à "affichage" et cochez "panneau inférieur". | " => suggestions : ['\xa0»', '”']
66 Guillemets typographiques ouvrants. => Ensuite allez à "affichage" et cochez "panneau inférieur". | " => suggestions : ['«\xa0', '“']
66 Guillemets typographiques fermants. => Ensuite allez à "affichage" et cochez "panneau inférieur". | " => suggestions : ['\xa0»', '”']

68 Mot inconnu : Gedit => Gedit avec console intégrée:  | gedit
68 Espace(s) en fin de ligne à supprimer. => Gedit avec console intégrée:  |   => suggestions : ['']

74 Espace(s) surnuméraire(s) à supprimer. => <note tip>Il  est possible que votre terminal intégré écrive blanc sur blanc, ce qui n'est pas très lisible :-/. Il y a de quoi réparer ce bug ici:  |    => suggestions : [' ']
74 Espace(s) en fin de ligne à supprimer. => <note tip>Il  est possible que votre terminal intégré écrive blanc sur blanc, ce qui n'est pas très lisible :-/. Il y a de quoi réparer ce bug ici:  |   => suggestions : ['']

76 Écriture épicène. Utilisez un point médian. => Veillez à faire rigoureusement ce qui est décrit. Abstenez-vous si vous n'êtes pas tout à fait sûr(e) d'avoir compris.</note> | sûr(e) => suggestions : ['sûr·e']

78 Mot inconnu : gedit => Un autre avantage de gedit est qu'il peut vérifier l'orthographe: Outils > Vérification orthographique. | gedit

81 Mot inconnu : emacs => ====emacs==== | emacs

87 Guillemets typographiques ouvrants. => Par "Tool > shell command on Region" il est même possible d'appliquer la commande groff à une sélection seulement. Il n'est même pas nécessaire de mettre la sélection en argument de la commande groff, entrez simplement | " => suggestions : ['«\xa0', '“']
87 Mot inconnu : Tool => Par "Tool > shell command on Region" il est même possible d'appliquer la commande groff à une sélection seulement. Il n'est même pas nécessaire de mettre la sélection en argument de la commande groff, entrez simplement | tool
87 Mot inconnu : command => Par "Tool > shell command on Region" il est même possible d'appliquer la commande groff à une sélection seulement. Il n'est même pas nécessaire de mettre la sélection en argument de la commande groff, entrez simplement | command
87 Mot inconnu : Region => Par "Tool > shell command on Region" il est même possible d'appliquer la commande groff à une sélection seulement. Il n'est même pas nécessaire de mettre la sélection en argument de la commande groff, entrez simplement | region
87 Guillemets typographiques fermants. => Par "Tool > shell command on Region" il est même possible d'appliquer la commande groff à une sélection seulement. Il n'est même pas nécessaire de mettre la sélection en argument de la commande groff, entrez simplement | " => suggestions : ['\xa0»', '”']
87 Mot inconnu : groff => Par "Tool > shell command on Region" il est même possible d'appliquer la commande groff à une sélection seulement. Il n'est même pas nécessaire de mettre la sélection en argument de la commande groff, entrez simplement | groff
87 Mot inconnu : groff => Par "Tool > shell command on Region" il est même possible d'appliquer la commande groff à une sélection seulement. Il n'est même pas nécessaire de mettre la sélection en argument de la commande groff, entrez simplement | groff

89 Il manque un espace. => et récupérez le fichier sel.ps dans votre dossier personnel. | ps => suggestions : [' ps']

92 Espace(s) surnuméraire(s) à supprimer. => Nous sommes prêts maintenant à formater des textes. Pour commencer, il sera très utile  de  connaître quelques unes des requêtes générales, qui sont valables quelque soit la "boîte à outils" que vous choisirez (voir chap. 3). Ces requêtes générales permettront déjà entre autre de |    => suggestions : [' ']
92 Espace(s) surnuméraire(s) à supprimer. => Nous sommes prêts maintenant à formater des textes. Pour commencer, il sera très utile  de  connaître quelques unes des requêtes générales, qui sont valables quelque soit la "boîte à outils" que vous choisirez (voir chap. 3). Ces requêtes générales permettront déjà entre autre de |    => suggestions : [' ']
92 Il manque un trait d’union. => Nous sommes prêts maintenant à formater des textes. Pour commencer, il sera très utile  de  connaître quelques unes des requêtes générales, qui sont valables quelque soit la "boîte à outils" que vous choisirez (voir chap. 3). Ces requêtes générales permettront déjà entre autre de | quelques unes => suggestions : ['quelques-unes']
92 Confusion : “quelque” est un déterminant. => Nous sommes prêts maintenant à formater des textes. Pour commencer, il sera très utile  de  connaître quelques unes des requêtes générales, qui sont valables quelque soit la "boîte à outils" que vous choisirez (voir chap. 3). Ces requêtes générales permettront déjà entre autre de | quelque soit => suggestions : ['quel que soit', 'quelle que soit', 'quels que soient', 'quelles que soient']
92 Guillemets typographiques ouvrants. => Nous sommes prêts maintenant à formater des textes. Pour commencer, il sera très utile  de  connaître quelques unes des requêtes générales, qui sont valables quelque soit la "boîte à outils" que vous choisirez (voir chap. 3). Ces requêtes générales permettront déjà entre autre de | " => suggestions : ['«\xa0', '“']
92 Guillemets typographiques fermants. => Nous sommes prêts maintenant à formater des textes. Pour commencer, il sera très utile  de  connaître quelques unes des requêtes générales, qui sont valables quelque soit la "boîte à outils" que vous choisirez (voir chap. 3). Ces requêtes générales permettront déjà entre autre de | " => suggestions : ['\xa0»', '”']
92 La locution “entre autres”, toujours au pluriel. => Nous sommes prêts maintenant à formater des textes. Pour commencer, il sera très utile  de  connaître quelques unes des requêtes générales, qui sont valables quelque soit la "boîte à outils" que vous choisirez (voir chap. 3). Ces requêtes générales permettront déjà entre autre de | autre => suggestions : ['autres']

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * varier la taille ou la police de caractère |    => suggestions : ['']

94 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * sauter une ou plusieurs lignes |    => suggestions : ['']

95 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * justifier ou non les lignes |    => suggestions : ['']

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * indenter le texte |    => suggestions : ['']

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * changer l'espacement des lignes |    => suggestions : ['']

101 Mot inconnu : groff => Comme groff est un troff (GNU-troff), vous pouvez sauter tous les passages relatifs à nroff, ditroff... | groff
101 Mot inconnu : troff => Comme groff est un troff (GNU-troff), vous pouvez sauter tous les passages relatifs à nroff, ditroff... | troff
101 Mot inconnu : GNU-troff => Comme groff est un troff (GNU-troff), vous pouvez sauter tous les passages relatifs à nroff, ditroff... | gnu-troff
101 Mot inconnu : nroff => Comme groff est un troff (GNU-troff), vous pouvez sauter tous les passages relatifs à nroff, ditroff... | nroff
101 Mot inconnu : ditroff => Comme groff est un troff (GNU-troff), vous pouvez sauter tous les passages relatifs à nroff, ditroff... | ditroff
101 Typographie : points de suspension. Utilisez le caractère dédié. => Comme groff est un troff (GNU-troff), vous pouvez sauter tous les passages relatifs à nroff, ditroff... | ... => suggestions : ['…']

103 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => <note>A partir d'ici, les balises (requêtes) seront indiquées en caractères machine comme ''ceci''</note>. | a => suggestions : ['À']
103 Guillemets typographiques ouvrants. => <note>A partir d'ici, les balises (requêtes) seront indiquées en caractères machine comme ''ceci''</note>. | '' => suggestions : ['«\xa0', '“']
103 Guillemets typographiques fermants. => <note>A partir d'ici, les balises (requêtes) seront indiquées en caractères machine comme ''ceci''</note>. | '' => suggestions : ['\xa0»', '”']

106 Mot inconnu : groff => Comment changer la police de caractères dans groff? Cette question mérite d'être développée. | groff

107 Mot inconnu : font-family => Tout d'abord, il existe une dizaine de familles de polices. Par famille de police (font-family), on entend: une police normale (Roman), sa variante en gras (Bold), sa variante italique (Oblique) et bien sûr sa variante gras-oblique (BoldOblique). Si vous choisissez la famille Palatino, la famille est consitiuée de : | font-family
107 Mot inconnu : Bold => Tout d'abord, il existe une dizaine de familles de polices. Par famille de police (font-family), on entend: une police normale (Roman), sa variante en gras (Bold), sa variante italique (Oblique) et bien sûr sa variante gras-oblique (BoldOblique). Si vous choisissez la famille Palatino, la famille est consitiuée de : | bold
107 Mot inconnu : BoldOblique => Tout d'abord, il existe une dizaine de familles de polices. Par famille de police (font-family), on entend: une police normale (Roman), sa variante en gras (Bold), sa variante italique (Oblique) et bien sûr sa variante gras-oblique (BoldOblique). Si vous choisissez la famille Palatino, la famille est consitiuée de : | boldoblique
107 Mot inconnu : Palatino => Tout d'abord, il existe une dizaine de familles de polices. Par famille de police (font-family), on entend: une police normale (Roman), sa variante en gras (Bold), sa variante italique (Oblique) et bien sûr sa variante gras-oblique (BoldOblique). Si vous choisissez la famille Palatino, la famille est consitiuée de : | palatino
107 Mot inconnu : consitiuée => Tout d'abord, il existe une dizaine de familles de polices. Par famille de police (font-family), on entend: une police normale (Roman), sa variante en gras (Bold), sa variante italique (Oblique) et bien sûr sa variante gras-oblique (BoldOblique). Si vous choisissez la famille Palatino, la famille est consitiuée de : | consitiuée

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * PR: Palatino-Roman |    => suggestions : ['']
108 Mot inconnu : Palatino-Roman =>   * PR: Palatino-Roman | palatino-roman

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * PB: Palatino-Bold |    => suggestions : ['']
109 Mot inconnu : PB =>   * PB: Palatino-Bold | pb
109 Mot inconnu : Palatino-Bold =>   * PB: Palatino-Bold | palatino-bold

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * PI: Palatino-Italic |    => suggestions : ['']
110 Mot inconnu : Palatino-Italic =>   * PI: Palatino-Italic | palatino-italic

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * PBI: Palatino_BoldItalic |    => suggestions : ['']
111 Mot inconnu : PBI =>   * PBI: Palatino_BoldItalic | pbi
111 Mot inconnu : Palatino_BoldItalic =>   * PBI: Palatino_BoldItalic | palatino_bolditalic

114 Mot inconnu : usr => usr/share/doc/groff/examples/hdtbl/fonts_x.ps.gz | usr
114 Mot inconnu : share => usr/share/doc/groff/examples/hdtbl/fonts_x.ps.gz | share
114 Mot inconnu : groff => usr/share/doc/groff/examples/hdtbl/fonts_x.ps.gz | groff
114 Mot inconnu : examples => usr/share/doc/groff/examples/hdtbl/fonts_x.ps.gz | examples
114 Mot inconnu : hdtbl => usr/share/doc/groff/examples/hdtbl/fonts_x.ps.gz | hdtbl
114 Il manque un espace. => usr/share/doc/groff/examples/hdtbl/fonts_x.ps.gz | ps => suggestions : [' ps']

116 Guillemets fermants. => Dans votre texte, vous pouvez à tout moment changer de police avec la balise ''.ft''. |  '' => suggestions : ['\xa0»', '”']
116 Guillemets typographiques fermants. => Dans votre texte, vous pouvez à tout moment changer de police avec la balise ''.ft''. | '' => suggestions : ['\xa0»', '”']

119 Guillemets fermants. => Vous pouvez changer de famille de police à l'aide de la requête ''.fam''. Par exemple:\\ |  '' => suggestions : ['\xa0»', '”']
119 Mot inconnu : fam => Vous pouvez changer de famille de police à l'aide de la requête ''.fam''. Par exemple:\\ | fam
119 Guillemets typographiques fermants. => Vous pouvez changer de famille de police à l'aide de la requête ''.fam''. Par exemple:\\ | '' => suggestions : ['\xa0»', '”']

120 Mot inconnu : Helvetica => Passer en Helvetica:  ''.fam H''  \\ | helvetica
120 Espace(s) surnuméraire(s) à supprimer. => Passer en Helvetica:  ''.fam H''  \\ |    => suggestions : [' ']
120 Guillemets fermants. => Passer en Helvetica:  ''.fam H''  \\ |  '' => suggestions : ['\xa0»', '”']
120 Mot inconnu : fam => Passer en Helvetica:  ''.fam H''  \\ | fam
120 Guillemets typographiques fermants. => Passer en Helvetica:  ''.fam H''  \\ | '' => suggestions : ['\xa0»', '”']
121 Guillemets fermants. => Revenir au réglage par défaut: ''.fam'' |  '' => suggestions : ['\xa0»', '”']
121 Mot inconnu : fam => Revenir au réglage par défaut: ''.fam'' | fam
121 Guillemets typographiques fermants. => Revenir au réglage par défaut: ''.fam'' | '' => suggestions : ['\xa0»', '”']

123 Guillemets fermants. => Vous pouvez changer de famille et de police avec la requête ''.ft'' . \\ |  '' => suggestions : ['\xa0»', '”']
123 Guillemets typographiques fermants. => Vous pouvez changer de famille et de police avec la requête ''.ft'' . \\ | '' => suggestions : ['\xa0»', '”']
123 Pas d’espace avant un point. => Vous pouvez changer de famille et de police avec la requête ''.ft'' . \\ |  . => suggestions : ['.']

125 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Passer en italique :'' .ft I''\\ |  . => suggestions : ['. ', '.']
125 Guillemets typographiques fermants. => Passer en italique :'' .ft I''\\ | '' => suggestions : ['\xa0»', '”']
126 Guillemets fermants. => Revenir à roman: ''.ft'' (''.ft'' sans argument revient au réglage précédent). |  '' => suggestions : ['\xa0»', '”']
126 Guillemets typographiques fermants. => Revenir à roman: ''.ft'' (''.ft'' sans argument revient au réglage précédent). | '' => suggestions : ['\xa0»', '”']
126 Guillemets typographiques fermants. => Revenir à roman: ''.ft'' (''.ft'' sans argument revient au réglage précédent). | '' => suggestions : ['\xa0»', '”']

129 Mot inconnu : Helvetica => Passer en Helvetica Italique: ''.ft HI''\\ | helvetica
129 Guillemets fermants. => Passer en Helvetica Italique: ''.ft HI''\\ |  '' => suggestions : ['\xa0»', '”']
129 Guillemets typographiques fermants. => Passer en Helvetica Italique: ''.ft HI''\\ | '' => suggestions : ['\xa0»', '”']

130 Mot inconnu : Times => Revenir à Times Italique:'' .ft  TI''\\ | times
130 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Revenir à Times Italique:'' .ft  TI''\\ |  . => suggestions : ['. ', '.']
130 Espace(s) surnuméraire(s) à supprimer. => Revenir à Times Italique:'' .ft  TI''\\ |    => suggestions : [' ']
130 Guillemets typographiques fermants. => Revenir à Times Italique:'' .ft  TI''\\ | '' => suggestions : ['\xa0»', '”']

131 Mot inconnu : Times => Revenir à Times Roman: ''.ft TR'' | times
131 Guillemets fermants. => Revenir à Times Roman: ''.ft TR'' |  '' => suggestions : ['\xa0»', '”']
131 Guillemets typographiques fermants. => Revenir à Times Roman: ''.ft TR'' | '' => suggestions : ['\xa0»', '”']

135 Pas d’espace avant un point. => À l'intérieur d'un mot ou d'une phrase, vous pouvez changer à l'intérieur d'une famille à l'aide d'une **séquence d'échappement** . Pour passer en carctères gras '' \fB'' et pour retourner sur "roman"  ''\fP'' |  . => suggestions : ['.']
135 Mot inconnu : carctères => À l'intérieur d'un mot ou d'une phrase, vous pouvez changer à l'intérieur d'une famille à l'aide d'une **séquence d'échappement** . Pour passer en carctères gras '' \fB'' et pour retourner sur "roman"  ''\fP'' | carctères
135 Guillemets isolés. => À l'intérieur d'un mot ou d'une phrase, vous pouvez changer à l'intérieur d'une famille à l'aide d'une **séquence d'échappement** . Pour passer en carctères gras '' \fB'' et pour retourner sur "roman"  ''\fP'' |  ''  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
135 Mot inconnu : fB => À l'intérieur d'un mot ou d'une phrase, vous pouvez changer à l'intérieur d'une famille à l'aide d'une **séquence d'échappement** . Pour passer en carctères gras '' \fB'' et pour retourner sur "roman"  ''\fP'' | fb
135 Guillemets typographiques fermants. => À l'intérieur d'un mot ou d'une phrase, vous pouvez changer à l'intérieur d'une famille à l'aide d'une **séquence d'échappement** . Pour passer en carctères gras '' \fB'' et pour retourner sur "roman"  ''\fP'' | '' => suggestions : ['\xa0»', '”']
135 Guillemets typographiques ouvrants. => À l'intérieur d'un mot ou d'une phrase, vous pouvez changer à l'intérieur d'une famille à l'aide d'une **séquence d'échappement** . Pour passer en carctères gras '' \fB'' et pour retourner sur "roman"  ''\fP'' | " => suggestions : ['«\xa0', '“']
135 Guillemets typographiques fermants. => À l'intérieur d'un mot ou d'une phrase, vous pouvez changer à l'intérieur d'une famille à l'aide d'une **séquence d'échappement** . Pour passer en carctères gras '' \fB'' et pour retourner sur "roman"  ''\fP'' | " => suggestions : ['\xa0»', '”']
135 Mot inconnu : fP => À l'intérieur d'un mot ou d'une phrase, vous pouvez changer à l'intérieur d'une famille à l'aide d'une **séquence d'échappement** . Pour passer en carctères gras '' \fB'' et pour retourner sur "roman"  ''\fP'' | fp
135 Guillemets typographiques fermants. => À l'intérieur d'un mot ou d'une phrase, vous pouvez changer à l'intérieur d'une famille à l'aide d'une **séquence d'échappement** . Pour passer en carctères gras '' \fB'' et pour retourner sur "roman"  ''\fP'' | '' => suggestions : ['\xa0»', '”']

140 Guillemets typographiques ouvrants. => Ce chapitre présente les "outils" qui vont vous rendre véritablement capable de donner forme à un texte: faire des titres, des chapitres, des sous-chapitres,  faire des notes en bas de pages, des en-têtes, des références, etc..  | " => suggestions : ['«\xa0', '“']
140 Guillemets typographiques fermants. => Ce chapitre présente les "outils" qui vont vous rendre véritablement capable de donner forme à un texte: faire des titres, des chapitres, des sous-chapitres,  faire des notes en bas de pages, des en-têtes, des références, etc..  | " => suggestions : ['\xa0»', '”']
140 Espace(s) surnuméraire(s) à supprimer. => Ce chapitre présente les "outils" qui vont vous rendre véritablement capable de donner forme à un texte: faire des titres, des chapitres, des sous-chapitres,  faire des notes en bas de pages, des en-têtes, des références, etc..  |    => suggestions : [' ']
140 Typographie : un ou trois points ? => Ce chapitre présente les "outils" qui vont vous rendre véritablement capable de donner forme à un texte: faire des titres, des chapitres, des sous-chapitres,  faire des notes en bas de pages, des en-têtes, des références, etc..  | .. => suggestions : ['…', '.']
140 Espace(s) en fin de ligne à supprimer. => Ce chapitre présente les "outils" qui vont vous rendre véritablement capable de donner forme à un texte: faire des titres, des chapitres, des sous-chapitres,  faire des notes en bas de pages, des en-têtes, des références, etc..  |   => suggestions : ['']

142 Guillemets typographiques ouvrants. => Il y a 5 "boîtes à outils" à choix: -me, -ms, -mm, -mom  ou -man. On les appelle aussi "paquets de macros". Les [[wp>macros]] sont des macro-instructions indiquant au système comment formater un texte. Un paquet de macros est un ensemble de macro-instructions cohérent, permettant de formater des textes. | " => suggestions : ['«\xa0', '“']
