
4 Mot inconnu : DC => ====== Samba AD DC - Intégration de machines au domaine ====== | dc
96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         idmap config *:range = 40000-49999 |          => suggestions : ['']
96 Mot inconnu : idmap =>         idmap config *:range = 40000-49999 | idmap

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         winbind nss info = rfc2307 |          => suggestions : ['']
98 Mot inconnu : winbind =>         winbind nss info = rfc2307 | winbind
98 Mot inconnu : nss =>         winbind nss info = rfc2307 | nss
98 Mot inconnu : rfc2307 =>         winbind nss info = rfc2307 | rfc2307

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         winbind trusted domains only = no |          => suggestions : ['']
99 Mot inconnu : winbind =>         winbind trusted domains only = no | winbind
99 Mot inconnu : trusted =>         winbind trusted domains only = no | trusted
99 Mot inconnu : domains =>         winbind trusted domains only = no | domains
99 Mot inconnu : only =>         winbind trusted domains only = no | only

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         winbind use default domain = yes |          => suggestions : ['']
100 Mot inconnu : winbind =>         winbind use default domain = yes | winbind
100 Mot inconnu : default =>         winbind use default domain = yes | default
100 Mot inconnu : domain =>         winbind use default domain = yes | domain
100 Mot inconnu : yes =>         winbind use default domain = yes | yes

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         winbind enum users = yes |          => suggestions : ['']
101 Mot inconnu : winbind =>         winbind enum users = yes | winbind
101 Mot inconnu : enum =>         winbind enum users = yes | enum
101 Mot inconnu : users =>         winbind enum users = yes | users
101 Mot inconnu : yes =>         winbind enum users = yes | yes

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         winbind enum groups = yes |          => suggestions : ['']
102 Mot inconnu : winbind =>         winbind enum groups = yes | winbind
102 Mot inconnu : enum =>         winbind enum groups = yes | enum
102 Mot inconnu : groups =>         winbind enum groups = yes | groups
102 Mot inconnu : yes =>         winbind enum groups = yes | yes

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         winbind refresh tickets = yes |          => suggestions : ['']
103 Mot inconnu : winbind =>         winbind refresh tickets = yes | winbind
103 Mot inconnu : refresh =>         winbind refresh tickets = yes | refresh
103 Mot inconnu : yes =>         winbind refresh tickets = yes | yes

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                  |                  => suggestions : ['']

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         kerberos method = system keytab |          => suggestions : ['']
105 Mot inconnu : kerberos =>         kerberos method = system keytab | kerberos
105 Mot inconnu : method =>         kerberos method = system keytab | method
105 Mot inconnu : system =>         kerberos method = system keytab | system
105 Mot inconnu : keytab =>         kerberos method = system keytab | keytab

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * A partir d'Ubuntu 17.10 (à partir de Samba 4.6) |    => suggestions : ['']
107 S’il s’agit de la préposition « à », il faut accentuer la majuscule. =>   * A partir d'Ubuntu 17.10 (à partir de Samba 4.6) | a => suggestions : ['À']

109 Mot inconnu : parameters => # Global parameters                                                                          | parameters
109 Espace(s) en fin de ligne à supprimer. => # Global parameters                                                                          |                                                                           => suggestions : ['']

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         workgroup = EXAMPLE |          => suggestions : ['']
111 Mot inconnu : workgroup =>         workgroup = EXAMPLE | workgroup
111 Mot inconnu : EXAMPLE =>         workgroup = EXAMPLE | example

112 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         realm = EXAMPLE.COM |          => suggestions : ['']
112 Mot inconnu : realm =>         realm = EXAMPLE.COM | realm
112 Mot inconnu : EXAMPLE =>         realm = EXAMPLE.COM | example

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         netbios name = ubnwks01 |          => suggestions : ['']
113 Mot inconnu : netbios =>         netbios name = ubnwks01 | netbios
113 Mot inconnu : name =>         netbios name = ubnwks01 | name
113 Mot inconnu : ubnwks01 =>         netbios name = ubnwks01 | ubnwks01

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         security = ADS |          => suggestions : ['']
114 Mot inconnu : security =>         security = ADS | security
114 Mot inconnu : ADS =>         security = ADS | ads

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         encrypt passwords = yes |          => suggestions : ['']
115 Mot inconnu : encrypt =>         encrypt passwords = yes | encrypt
115 Mot inconnu : passwords =>         encrypt passwords = yes | passwords
115 Mot inconnu : yes =>         encrypt passwords = yes | yes

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         idmap config EXAMPLE:backend = ad |          => suggestions : ['']
117 Mot inconnu : idmap =>         idmap config EXAMPLE:backend = ad | idmap
117 Mot inconnu : EXAMPLE =>         idmap config EXAMPLE:backend = ad | example
117 Il manque un espace. =>         idmap config EXAMPLE:backend = ad | backend => suggestions : [' backend']
117 Mot inconnu : backend =>         idmap config EXAMPLE:backend = ad | backend

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         idmap config EXAMPLE:schema_mode = rfc2307 |          => suggestions : ['']
118 Mot inconnu : idmap =>         idmap config EXAMPLE:schema_mode = rfc2307 | idmap
118 Mot inconnu : EXAMPLE =>         idmap config EXAMPLE:schema_mode = rfc2307 | example
118 Il manque un espace. =>         idmap config EXAMPLE:schema_mode = rfc2307 | schema_mode => suggestions : [' schema_mode']
118 Mot inconnu : schema_mode =>         idmap config EXAMPLE:schema_mode = rfc2307 | schema_mode
118 Mot inconnu : rfc2307 =>         idmap config EXAMPLE:schema_mode = rfc2307 | rfc2307

119 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         idmap config EXAMPLE:range = 10000-39999 |          => suggestions : ['']
119 Mot inconnu : idmap =>         idmap config EXAMPLE:range = 10000-39999 | idmap
119 Mot inconnu : EXAMPLE =>         idmap config EXAMPLE:range = 10000-39999 | example
119 Il manque un espace. =>         idmap config EXAMPLE:range = 10000-39999 | range => suggestions : [' range']

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         idmap config EXAMPLE:unix_nss_info = yes |          => suggestions : ['']
120 Mot inconnu : idmap =>         idmap config EXAMPLE:unix_nss_info = yes | idmap
120 Mot inconnu : EXAMPLE =>         idmap config EXAMPLE:unix_nss_info = yes | example
120 Il manque un espace. =>         idmap config EXAMPLE:unix_nss_info = yes | unix_nss_info => suggestions : [' unix_nss_info']
120 Mot inconnu : unix_nss_info =>         idmap config EXAMPLE:unix_nss_info = yes | unix_nss_info
120 Mot inconnu : yes =>         idmap config EXAMPLE:unix_nss_info = yes | yes

122 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         idmap config *:backend = tdb |          => suggestions : ['']
122 Mot inconnu : idmap =>         idmap config *:backend = tdb | idmap
122 Mot inconnu : backend =>         idmap config *:backend = tdb | backend
122 Mot inconnu : tdb =>         idmap config *:backend = tdb | tdb

123 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         idmap config *:range = 40000-49999 |          => suggestions : ['']
123 Mot inconnu : idmap =>         idmap config *:range = 40000-49999 | idmap

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         winbind trusted domains only = no |          => suggestions : ['']
125 Mot inconnu : winbind =>         winbind trusted domains only = no | winbind
125 Mot inconnu : trusted =>         winbind trusted domains only = no | trusted
125 Mot inconnu : domains =>         winbind trusted domains only = no | domains
125 Mot inconnu : only =>         winbind trusted domains only = no | only

126 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         winbind use default domain = yes |          => suggestions : ['']
126 Mot inconnu : winbind =>         winbind use default domain = yes | winbind
126 Mot inconnu : default =>         winbind use default domain = yes | default
126 Mot inconnu : domain =>         winbind use default domain = yes | domain
126 Mot inconnu : yes =>         winbind use default domain = yes | yes

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         winbind enum users = yes |          => suggestions : ['']
127 Mot inconnu : winbind =>         winbind enum users = yes | winbind
127 Mot inconnu : enum =>         winbind enum users = yes | enum
127 Mot inconnu : users =>         winbind enum users = yes | users
127 Mot inconnu : yes =>         winbind enum users = yes | yes

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         winbind enum groups = yes |          => suggestions : ['']
128 Mot inconnu : winbind =>         winbind enum groups = yes | winbind
128 Mot inconnu : enum =>         winbind enum groups = yes | enum
128 Mot inconnu : groups =>         winbind enum groups = yes | groups
128 Mot inconnu : yes =>         winbind enum groups = yes | yes

129 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         winbind refresh tickets = yes |          => suggestions : ['']
129 Mot inconnu : winbind =>         winbind refresh tickets = yes | winbind
129 Mot inconnu : refresh =>         winbind refresh tickets = yes | refresh
129 Mot inconnu : yes =>         winbind refresh tickets = yes | yes

130 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                  |                  => suggestions : ['']

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         kerberos method = system keytab |          => suggestions : ['']
131 Mot inconnu : kerberos =>         kerberos method = system keytab | kerberos
131 Mot inconnu : method =>         kerberos method = system keytab | method
131 Mot inconnu : system =>         kerberos method = system keytab | system
131 Mot inconnu : keytab =>         kerberos method = system keytab | keytab

133 Mot inconnu : idmap => Les lignes //idmap config EXAMPLE ...// sont très importantes. Elles définissent le backend (méthode d'accès) AD (Active Directory), le schéma rfc2307 (contenant les extensions NIS utiles pour les systèmes Linux et UNIX) et la plage d'identifiants numériques pour les utilisateurs et groupes du domaine EXAMPLE. Cette plage doit être définie dans la politique du domaine. Afin d'éviter des usurpations d'identité et de droits, il faut garantir que ces numéros soient uniques. Ils ne peuvent donc pas être utilisés localement (sur aucune machine du domaine). | idmap
133 Mot inconnu : EXAMPLE => Les lignes //idmap config EXAMPLE ...// sont très importantes. Elles définissent le backend (méthode d'accès) AD (Active Directory), le schéma rfc2307 (contenant les extensions NIS utiles pour les systèmes Linux et UNIX) et la plage d'identifiants numériques pour les utilisateurs et groupes du domaine EXAMPLE. Cette plage doit être définie dans la politique du domaine. Afin d'éviter des usurpations d'identité et de droits, il faut garantir que ces numéros soient uniques. Ils ne peuvent donc pas être utilisés localement (sur aucune machine du domaine). | example
133 Typographie : points de suspension. Utilisez le caractère dédié. => Les lignes //idmap config EXAMPLE ...// sont très importantes. Elles définissent le backend (méthode d'accès) AD (Active Directory), le schéma rfc2307 (contenant les extensions NIS utiles pour les systèmes Linux et UNIX) et la plage d'identifiants numériques pour les utilisateurs et groupes du domaine EXAMPLE. Cette plage doit être définie dans la politique du domaine. Afin d'éviter des usurpations d'identité et de droits, il faut garantir que ces numéros soient uniques. Ils ne peuvent donc pas être utilisés localement (sur aucune machine du domaine). | ... => suggestions : ['…']
133 Mot inconnu : backend => Les lignes //idmap config EXAMPLE ...// sont très importantes. Elles définissent le backend (méthode d'accès) AD (Active Directory), le schéma rfc2307 (contenant les extensions NIS utiles pour les systèmes Linux et UNIX) et la plage d'identifiants numériques pour les utilisateurs et groupes du domaine EXAMPLE. Cette plage doit être définie dans la politique du domaine. Afin d'éviter des usurpations d'identité et de droits, il faut garantir que ces numéros soient uniques. Ils ne peuvent donc pas être utilisés localement (sur aucune machine du domaine). | backend
133 Mot inconnu : Directory => Les lignes //idmap config EXAMPLE ...// sont très importantes. Elles définissent le backend (méthode d'accès) AD (Active Directory), le schéma rfc2307 (contenant les extensions NIS utiles pour les systèmes Linux et UNIX) et la plage d'identifiants numériques pour les utilisateurs et groupes du domaine EXAMPLE. Cette plage doit être définie dans la politique du domaine. Afin d'éviter des usurpations d'identité et de droits, il faut garantir que ces numéros soient uniques. Ils ne peuvent donc pas être utilisés localement (sur aucune machine du domaine). | directory
133 Mot inconnu : rfc2307 => Les lignes //idmap config EXAMPLE ...// sont très importantes. Elles définissent le backend (méthode d'accès) AD (Active Directory), le schéma rfc2307 (contenant les extensions NIS utiles pour les systèmes Linux et UNIX) et la plage d'identifiants numériques pour les utilisateurs et groupes du domaine EXAMPLE. Cette plage doit être définie dans la politique du domaine. Afin d'éviter des usurpations d'identité et de droits, il faut garantir que ces numéros soient uniques. Ils ne peuvent donc pas être utilisés localement (sur aucune machine du domaine). | rfc2307
133 Mot inconnu : NIS => Les lignes //idmap config EXAMPLE ...// sont très importantes. Elles définissent le backend (méthode d'accès) AD (Active Directory), le schéma rfc2307 (contenant les extensions NIS utiles pour les systèmes Linux et UNIX) et la plage d'identifiants numériques pour les utilisateurs et groupes du domaine EXAMPLE. Cette plage doit être définie dans la politique du domaine. Afin d'éviter des usurpations d'identité et de droits, il faut garantir que ces numéros soient uniques. Ils ne peuvent donc pas être utilisés localement (sur aucune machine du domaine). | nis
133 Mot inconnu : EXAMPLE => Les lignes //idmap config EXAMPLE ...// sont très importantes. Elles définissent le backend (méthode d'accès) AD (Active Directory), le schéma rfc2307 (contenant les extensions NIS utiles pour les systèmes Linux et UNIX) et la plage d'identifiants numériques pour les utilisateurs et groupes du domaine EXAMPLE. Cette plage doit être définie dans la politique du domaine. Afin d'éviter des usurpations d'identité et de droits, il faut garantir que ces numéros soient uniques. Ils ne peuvent donc pas être utilisés localement (sur aucune machine du domaine). | example

