
3 Mot inconnu : apache2 => ====== Configurer un domaine sur un serveur avec apache2 et bind9 ====== | apache2
85 Mot inconnu : allow-transfer =>   allow-transfer { localhost; cloudns; }; | allow-transfer
85 Mot inconnu : localhost =>   allow-transfer { localhost; cloudns; }; | localhost
85 Mot inconnu : cloudns =>   allow-transfer { localhost; cloudns; }; | cloudns

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   allow-query { any; }; |    => suggestions : ['']
86 Mot inconnu : allow-query =>   allow-query { any; }; | allow-query
86 Mot inconnu : any =>   allow-query { any; }; | any

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   notify yes; |    => suggestions : ['']
87 Mot inconnu : notify =>   notify yes; | notify
87 Mot inconnu : yes =>   notify yes; | yes

94 Espace(s) en fin de ligne à supprimer. => Vous trouverez ci-dessous un fichier de configuration de zone tout prêt.  |   => suggestions : ['']

96 Espace(s) surnuméraire(s) à supprimer. => $TTL    86400 |      => suggestions : [' ']
96 Formatage des grands nombres. => $TTL    86400 | 86400 => suggestions : ['86\xa0400']

97 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => mydomain.tdl.   IN      SOA     myserver.adomain.tdl. myemail.mailprovider.tdl. ( | mydomain => suggestions : ['Mydomain']
97 Mot inconnu : mydomain => mydomain.tdl.   IN      SOA     myserver.adomain.tdl. myemail.mailprovider.tdl. ( | mydomain
97 Mot inconnu : tdl => mydomain.tdl.   IN      SOA     myserver.adomain.tdl. myemail.mailprovider.tdl. ( | tdl
97 Espace(s) surnuméraire(s) à supprimer. => mydomain.tdl.   IN      SOA     myserver.adomain.tdl. myemail.mailprovider.tdl. ( |     => suggestions : [' ']
97 Espace(s) surnuméraire(s) à supprimer. => mydomain.tdl.   IN      SOA     myserver.adomain.tdl. myemail.mailprovider.tdl. ( |        => suggestions : [' ']
97 Mot inconnu : SOA => mydomain.tdl.   IN      SOA     myserver.adomain.tdl. myemail.mailprovider.tdl. ( | soa
97 Espace(s) surnuméraire(s) à supprimer. => mydomain.tdl.   IN      SOA     myserver.adomain.tdl. myemail.mailprovider.tdl. ( |       => suggestions : [' ']

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                         2012092401 ; Numero |                          => suggestions : ['']
98 Formatage des grands nombres. =>                         2012092401 ; Numero | 2012092401 => suggestions : ['2\xa0012\xa0092\xa0401', '2012\xa0092-401']
98 Mot inconnu : Numero =>                         2012092401 ; Numero | numero

99 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                         28800      ; refresh |                          => suggestions : ['']
99 Formatage des grands nombres. =>                         28800      ; refresh | 28800 => suggestions : ['28\xa0800']
99 Espace(s) surnuméraire(s) à supprimer. =>                         28800      ; refresh |        => suggestions : [' ']
99 Mot inconnu : refresh =>                         28800      ; refresh | refresh

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                         14400      ; Retry |                          => suggestions : ['']
100 Formatage des grands nombres. =>                         14400      ; Retry | 14400 => suggestions : ['14\xa0400']
100 Espace(s) surnuméraire(s) à supprimer. =>                         14400      ; Retry |        => suggestions : [' ']
100 Mot inconnu : Retry =>                         14400      ; Retry | retry

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                         604800     ; Expire |                          => suggestions : ['']
101 Formatage des grands nombres. =>                         604800     ; Expire | 604800 => suggestions : ['604\xa0800']
101 Espace(s) surnuméraire(s) à supprimer. =>                         604800     ; Expire |       => suggestions : [' ']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>                         86400 )    ; Minimum |                          => suggestions : ['']
102 Formatage des grands nombres. =>                         86400 )    ; Minimum | 86400 => suggestions : ['86\xa0400']
102 Pas d’espace avant ce signe. =>                         86400 )    ; Minimum |  ) => suggestions : [')']

104 Mot inconnu : Default => ; Default IP adress of the domain | default
104 Mot inconnu : adress => ; Default IP adress of the domain | adress
104 Mot inconnu : of => ; Default IP adress of the domain | of
104 Mot inconnu : the => ; Default IP adress of the domain | the
104 Mot inconnu : domain => ; Default IP adress of the domain | domain

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         IN          A       12.345.678.9 |          => suggestions : ['']
105 Espace(s) surnuméraire(s) à supprimer. =>         IN          A       12.345.678.9 |            => suggestions : [' ']
105 Espace(s) surnuméraire(s) à supprimer. =>         IN          A       12.345.678.9 |         => suggestions : [' ']

107 Mot inconnu : Name => ; Name servers for the domain | name
107 Mot inconnu : servers => ; Name servers for the domain | servers
107 Mot inconnu : the => ; Name servers for the domain | the
107 Mot inconnu : domain => ; Name servers for the domain | domain

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         IN          NS      myserver.adomain.tdl. |          => suggestions : ['']
108 Espace(s) surnuméraire(s) à supprimer. =>         IN          NS      myserver.adomain.tdl. |            => suggestions : [' ']
108 Espace(s) surnuméraire(s) à supprimer. =>         IN          NS      myserver.adomain.tdl. |        => suggestions : [' ']

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         IN          NS      dns1.domain.tdl. |          => suggestions : ['']
109 Espace(s) surnuméraire(s) à supprimer. =>         IN          NS      dns1.domain.tdl. |            => suggestions : [' ']
109 Espace(s) surnuméraire(s) à supprimer. =>         IN          NS      dns1.domain.tdl. |        => suggestions : [' ']

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         IN          NS      dns2.domain.tdl. |          => suggestions : ['']
110 Espace(s) surnuméraire(s) à supprimer. =>         IN          NS      dns2.domain.tdl. |            => suggestions : [' ']
110 Espace(s) surnuméraire(s) à supprimer. =>         IN          NS      dns2.domain.tdl. |        => suggestions : [' ']

112 Mot inconnu : server => ; Mail server | server

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         IN          MX      1   mx.myserver.adomain.tdl. |          => suggestions : ['']
113 Confusion possible : pour le déterminant désignant quelque chose, écrivez “un”. =>         IN          MX      1   mx.myserver.adomain.tdl. | in => suggestions : ['UN']
113 Espace(s) surnuméraire(s) à supprimer. =>         IN          MX      1   mx.myserver.adomain.tdl. |            => suggestions : [' ']
113 Espace(s) surnuméraire(s) à supprimer. =>         IN          MX      1   mx.myserver.adomain.tdl. |        => suggestions : [' ']
113 Espace(s) surnuméraire(s) à supprimer. =>         IN          MX      1   mx.myserver.adomain.tdl. |     => suggestions : [' ']

115 Mot inconnu : Nodes => ; Nodes in domain | nodes
115 Mot inconnu : domain => ; Nodes in domain | domain

116 Mot inconnu : mx => mx                  IN      A    12.345.678.9 | mx
116 Espace(s) surnuméraire(s) à supprimer. => mx                  IN      A    12.345.678.9 |                    => suggestions : [' ']
116 Espace(s) surnuméraire(s) à supprimer. => mx                  IN      A    12.345.678.9 |        => suggestions : [' ']
116 Espace(s) surnuméraire(s) à supprimer. => mx                  IN      A    12.345.678.9 |      => suggestions : [' ']

117 Espace(s) surnuméraire(s) à supprimer. => ftp                 IN      A    12.345.678.9 |                   => suggestions : [' ']
117 Espace(s) surnuméraire(s) à supprimer. => ftp                 IN      A    12.345.678.9 |        => suggestions : [' ']
117 Espace(s) surnuméraire(s) à supprimer. => ftp                 IN      A    12.345.678.9 |      => suggestions : [' ']

118 Espace(s) surnuméraire(s) à supprimer. => @                   IN      A    12.345.678.9 |        => suggestions : [' ']
118 Espace(s) surnuméraire(s) à supprimer. => @                   IN      A    12.345.678.9 |      => suggestions : [' ']

119 Espace(s) surnuméraire(s) à supprimer. => www                 IN      A    12.345.678.9 |                   => suggestions : [' ']
119 Espace(s) surnuméraire(s) à supprimer. => www                 IN      A    12.345.678.9 |        => suggestions : [' ']
119 Espace(s) surnuméraire(s) à supprimer. => www                 IN      A    12.345.678.9 |      => suggestions : [' ']

121 Mot inconnu : Aliases => ; Aliases | aliases

122 Espace(s) surnuméraire(s) à supprimer. => blog                IN      CNAME   www |                  => suggestions : [' ']
122 Espace(s) surnuméraire(s) à supprimer. => blog                IN      CNAME   www |        => suggestions : [' ']
122 Mot inconnu : CNAME => blog                IN      CNAME   www | cname
122 Espace(s) surnuméraire(s) à supprimer. => blog                IN      CNAME   www |     => suggestions : [' ']

125 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  Le numéro identifiant la version de votre zone est très important. Ici il s'agit de **2012021601**. Il permet aux serveurs de noms de savoir si il y a une nouvelle version de ce fichier. **À chaque modification de votre zone vous devrez mettre à jour ce numéro** (notez qu'il est au format yyyymmddnn)! |    => suggestions : ['']
125 Formatage des grands nombres. =>   *  Le numéro identifiant la version de votre zone est très important. Ici il s'agit de **2012021601**. Il permet aux serveurs de noms de savoir si il y a une nouvelle version de ce fichier. **À chaque modification de votre zone vous devrez mettre à jour ce numéro** (notez qu'il est au format yyyymmddnn)! | 2012021601 => suggestions : ['2\xa0012\xa0021\xa0601', '2012\xa0021-601']
125 Il faut élider “si” et l’accoler au pronom. =>   *  Le numéro identifiant la version de votre zone est très important. Ici il s'agit de **2012021601**. Il permet aux serveurs de noms de savoir si il y a une nouvelle version de ce fichier. **À chaque modification de votre zone vous devrez mettre à jour ce numéro** (notez qu'il est au format yyyymmddnn)! | si  => suggestions : ['s’']
125 Mot inconnu : yyyymmddnn =>   *  Le numéro identifiant la version de votre zone est très important. Ici il s'agit de **2012021601**. Il permet aux serveurs de noms de savoir si il y a une nouvelle version de ce fichier. **À chaque modification de votre zone vous devrez mettre à jour ce numéro** (notez qu'il est au format yyyymmddnn)! | yyyymmddnn

127 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *  La partie //Name servers for the domain// liste les serveurs de noms qui s'occupe de cette zone. En l’occurrence ici, le serveur actuel //myserver.adomain.tdl//, ainsi que deux autres: //dns1.domain.tdl// et //dns2.domain.tdl//.\\ Dans votre cas vous n'aurez peut-être pas deux serveurs mais un seul, voire plus. En réalité cela dépend uniquement de combien de serveurs DNS secondaires vous disposez. Par exemple, l' [[#Déclarations|étape précédente]] qui fait appel aux serveurs de cloudns montre que beaucoup y sont à disposition. |    => suggestions : ['']
127 Mot inconnu : Name =>   *  La partie //Name servers for the domain// liste les serveurs de noms qui s'occupe de cette zone. En l’occurrence ici, le serveur actuel //myserver.adomain.tdl//, ainsi que deux autres: //dns1.domain.tdl// et //dns2.domain.tdl//.\\ Dans votre cas vous n'aurez peut-être pas deux serveurs mais un seul, voire plus. En réalité cela dépend uniquement de combien de serveurs DNS secondaires vous disposez. Par exemple, l' [[#Déclarations|étape précédente]] qui fait appel aux serveurs de cloudns montre que beaucoup y sont à disposition. | name
127 Mot inconnu : servers =>   *  La partie //Name servers for the domain// liste les serveurs de noms qui s'occupe de cette zone. En l’occurrence ici, le serveur actuel //myserver.adomain.tdl//, ainsi que deux autres: //dns1.domain.tdl// et //dns2.domain.tdl//.\\ Dans votre cas vous n'aurez peut-être pas deux serveurs mais un seul, voire plus. En réalité cela dépend uniquement de combien de serveurs DNS secondaires vous disposez. Par exemple, l' [[#Déclarations|étape précédente]] qui fait appel aux serveurs de cloudns montre que beaucoup y sont à disposition. | servers
127 Mot inconnu : the =>   *  La partie //Name servers for the domain// liste les serveurs de noms qui s'occupe de cette zone. En l’occurrence ici, le serveur actuel //myserver.adomain.tdl//, ainsi que deux autres: //dns1.domain.tdl// et //dns2.domain.tdl//.\\ Dans votre cas vous n'aurez peut-être pas deux serveurs mais un seul, voire plus. En réalité cela dépend uniquement de combien de serveurs DNS secondaires vous disposez. Par exemple, l' [[#Déclarations|étape précédente]] qui fait appel aux serveurs de cloudns montre que beaucoup y sont à disposition. | the
127 Mot inconnu : domain =>   *  La partie //Name servers for the domain// liste les serveurs de noms qui s'occupe de cette zone. En l’occurrence ici, le serveur actuel //myserver.adomain.tdl//, ainsi que deux autres: //dns1.domain.tdl// et //dns2.domain.tdl//.\\ Dans votre cas vous n'aurez peut-être pas deux serveurs mais un seul, voire plus. En réalité cela dépend uniquement de combien de serveurs DNS secondaires vous disposez. Par exemple, l' [[#Déclarations|étape précédente]] qui fait appel aux serveurs de cloudns montre que beaucoup y sont à disposition. | domain
127 Guillemets typographiques fermants. =>   *  La partie //Name servers for the domain// liste les serveurs de noms qui s'occupe de cette zone. En l’occurrence ici, le serveur actuel //myserver.adomain.tdl//, ainsi que deux autres: //dns1.domain.tdl// et //dns2.domain.tdl//.\\ Dans votre cas vous n'aurez peut-être pas deux serveurs mais un seul, voire plus. En réalité cela dépend uniquement de combien de serveurs DNS secondaires vous disposez. Par exemple, l' [[#Déclarations|étape précédente]] qui fait appel aux serveurs de cloudns montre que beaucoup y sont à disposition. | ' => suggestions : ['”', '’', '›']
127 Mot inconnu : cloudns =>   *  La partie //Name servers for the domain// liste les serveurs de noms qui s'occupe de cette zone. En l’occurrence ici, le serveur actuel //myserver.adomain.tdl//, ainsi que deux autres: //dns1.domain.tdl// et //dns2.domain.tdl//.\\ Dans votre cas vous n'aurez peut-être pas deux serveurs mais un seul, voire plus. En réalité cela dépend uniquement de combien de serveurs DNS secondaires vous disposez. Par exemple, l' [[#Déclarations|étape précédente]] qui fait appel aux serveurs de cloudns montre que beaucoup y sont à disposition. | cloudns

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * La partie //Nodes in domain//  fait correspondre une ip à chaque sous-domaines. |      => suggestions : ['']
131 Mot inconnu : Nodes =>     * La partie //Nodes in domain//  fait correspondre une ip à chaque sous-domaines. | nodes
131 Mot inconnu : domain =>     * La partie //Nodes in domain//  fait correspondre une ip à chaque sous-domaines. | domain
131 Mot inconnu : ip =>     * La partie //Nodes in domain//  fait correspondre une ip à chaque sous-domaines. | ip

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * La partie //Aliases// déclare les alias. Ici le sous-réseau **blog** est un alias de **www**, donc aura la même ip. |      => suggestions : ['']
133 Mot inconnu : Aliases =>     * La partie //Aliases// déclare les alias. Ici le sous-réseau **blog** est un alias de **www**, donc aura la même ip. | aliases
133 Mot inconnu : ip =>     * La partie //Aliases// déclare les alias. Ici le sous-réseau **blog** est un alias de **www**, donc aura la même ip. | ip

134 Mot inconnu : Backup => ==== Backup des zones ==== | backup

144 Il faut élider “si” et l’accoler au pronom. => Si il y a une erreur dans votre zone, vous verrez plutôt quelque chose comme ça: | si  => suggestions : ['S’']

156 Mot inconnu : ip => Vous devez maintenant aller configurer vos serveurs DNS secondaires. Cette démarche dépendant du service de serveur de nom secondaire que vous utilisez, elle ne peut pas être expliquée dans ce tutoriel. Mais typiquement vous aurez à informer ces serveurs DNS secondaires de l'ip de votre serveur DNS principal.  | ip
156 Espace(s) en fin de ligne à supprimer. => Vous devez maintenant aller configurer vos serveurs DNS secondaires. Cette démarche dépendant du service de serveur de nom secondaire que vous utilisez, elle ne peut pas être expliquée dans ce tutoriel. Mais typiquement vous aurez à informer ces serveurs DNS secondaires de l'ip de votre serveur DNS principal.  |   => suggestions : ['']

158 Confusion : “coté” est le participe passé du verbe “coter”. => Une fois la procédure effectuée du coté de vos serveurs de nom secondaire, le tour devrait être joué. Mais il faut tout de même vérifier tout ça ... | coté => suggestions : ['côté']
158 Typographie : points de suspension. Utilisez le caractère dédié. => Une fois la procédure effectuée du coté de vos serveurs de nom secondaire, le tour devrait être joué. Mais il faut tout de même vérifier tout ça ... | ... => suggestions : ['…']

160 Confusion : « votre possession », « la vôtre ». => Sur votre serveur, entrez cette commande afin de récupérer les informations de zone auprès de la machine DNS principale (c'est-à-dire la votre) | votre => suggestions : ['vôtre']

164 Une de ces ponctuations est superflue. => Vous devriez normalement voir votre configuration de zone. Repérez surtout le numéro dans **;; ANSWER SECTION:** il doit correspondre à votre numéro (le plus récent bien entendu). | ;; => suggestions : [';', ';']
164 Mot inconnu : ANSWER => Vous devriez normalement voir votre configuration de zone. Repérez surtout le numéro dans **;; ANSWER SECTION:** il doit correspondre à votre numéro (le plus récent bien entendu). | answer

166 Mot inconnu : ip => Mais vous pouvez également vous assurer que les serveurs de noms secondaires connaissent bien votre zone et/ou sont bien à jour (en repérant le numéro). Pour cela entrez cette commande (**ou l'ip correspond à l'ip d'un/du serveur DNS secondaire**) | ip
