
5 Mot inconnu : Call [[7:11]] => ====== Call Of Duty 4 :Modern Warfare ====== <|> call
78 Guillemets typographiques fermants. [[65:66]] => Dans cet onglet "applications", dans le champ "version de windows" selectionnez "Windows 2000" <|> " => suggestions : ['\xa0»', '”']
78 Mot inconnu : selectionnez [[67:79]] => Dans cet onglet "applications", dans le champ "version de windows" selectionnez "Windows 2000" <|> selectionnez
78 Guillemets typographiques ouvrants. [[80:81]] => Dans cet onglet "applications", dans le champ "version de windows" selectionnez "Windows 2000" <|> " => suggestions : ['«\xa0', '“']
78 Guillemets typographiques fermants. [[93:94]] => Dans cet onglet "applications", dans le champ "version de windows" selectionnez "Windows 2000" <|> " => suggestions : ['\xa0»', '”']

80 Guillemets typographiques ouvrants. [[43:44]] => Dans l'onglet bibliothèques, dans le champ "Nouveau surclassage pour" selectionnez "acledit" et cliquez sur "ajouter" <|> " => suggestions : ['«\xa0', '“']
80 Mot inconnu : surclassage [[52:63]] => Dans l'onglet bibliothèques, dans le champ "Nouveau surclassage pour" selectionnez "acledit" et cliquez sur "ajouter" <|> surclassage
80 Guillemets typographiques fermants. [[68:69]] => Dans l'onglet bibliothèques, dans le champ "Nouveau surclassage pour" selectionnez "acledit" et cliquez sur "ajouter" <|> " => suggestions : ['\xa0»', '”']
80 Mot inconnu : selectionnez [[70:82]] => Dans l'onglet bibliothèques, dans le champ "Nouveau surclassage pour" selectionnez "acledit" et cliquez sur "ajouter" <|> selectionnez
80 Guillemets typographiques ouvrants. [[83:84]] => Dans l'onglet bibliothèques, dans le champ "Nouveau surclassage pour" selectionnez "acledit" et cliquez sur "ajouter" <|> " => suggestions : ['«\xa0', '“']
80 Mot inconnu : acledit [[84:91]] => Dans l'onglet bibliothèques, dans le champ "Nouveau surclassage pour" selectionnez "acledit" et cliquez sur "ajouter" <|> acledit
80 Guillemets typographiques fermants. [[91:92]] => Dans l'onglet bibliothèques, dans le champ "Nouveau surclassage pour" selectionnez "acledit" et cliquez sur "ajouter" <|> " => suggestions : ['\xa0»', '”']
80 Guillemets typographiques ouvrants. [[108:109]] => Dans l'onglet bibliothèques, dans le champ "Nouveau surclassage pour" selectionnez "acledit" et cliquez sur "ajouter" <|> " => suggestions : ['«\xa0', '“']
80 Guillemets typographiques fermants. [[116:117]] => Dans l'onglet bibliothèques, dans le champ "Nouveau surclassage pour" selectionnez "acledit" et cliquez sur "ajouter" <|> " => suggestions : ['\xa0»', '”']

82 Guillemets typographiques ouvrants. [[23:24]] => Maintenant cliquez sur "OK" <|> " => suggestions : ['«\xa0', '“']
82 Guillemets typographiques fermants. [[26:27]] => Maintenant cliquez sur "OK" <|> " => suggestions : ['\xa0»', '”']

88 Mot inconnu : boutton [[15:22]] => Cliquez sur le boutton "Rechercher" et dans la recherche mettez : "acledit" <|> boutton
88 Guillemets typographiques ouvrants. [[23:24]] => Cliquez sur le boutton "Rechercher" et dans la recherche mettez : "acledit" <|> " => suggestions : ['«\xa0', '“']
88 Guillemets typographiques fermants. [[34:35]] => Cliquez sur le boutton "Rechercher" et dans la recherche mettez : "acledit" <|> " => suggestions : ['\xa0»', '”']
88 Guillemets typographiques ouvrants. [[66:67]] => Cliquez sur le boutton "Rechercher" et dans la recherche mettez : "acledit" <|> " => suggestions : ['«\xa0', '“']
88 Mot inconnu : acledit [[67:74]] => Cliquez sur le boutton "Rechercher" et dans la recherche mettez : "acledit" <|> acledit
88 Guillemets typographiques fermants. [[74:75]] => Cliquez sur le boutton "Rechercher" et dans la recherche mettez : "acledit" <|> " => suggestions : ['\xa0»', '”']

90 Il manque probablement un trait d’union. [[16:24]] => Remplacez cette ligne là qui se trouve en dessous de "[Software\\Wine\\DllOverrides] xxxxxxxxxx" par tout ca : <|> ligne là => suggestions : ['ligne-là']
90 Mot inconnu : DllOverrides [[71:83]] => Remplacez cette ligne là qui se trouve en dessous de "[Software\\Wine\\DllOverrides] xxxxxxxxxx" par tout ca : <|> dlloverrides
90 Mot inconnu : xxxxxxxxxx [[85:95]] => Remplacez cette ligne là qui se trouve en dessous de "[Software\\Wine\\DllOverrides] xxxxxxxxxx" par tout ca : <|> xxxxxxxxxx
90 Guillemets typographiques fermants. [[95:96]] => Remplacez cette ligne là qui se trouve en dessous de "[Software\\Wine\\DllOverrides] xxxxxxxxxx" par tout ca : <|> " => suggestions : ['\xa0»', '”']
90 Mot inconnu : ca [[106:108]] => Remplacez cette ligne là qui se trouve en dessous de "[Software\\Wine\\DllOverrides] xxxxxxxxxx" par tout ca : <|> ca

143 Guillemets typographiques ouvrants. [[69:70]] => Dans la barre d'Ubuntu en haut (pour ceux qui ont gnome) Cliquez sur "Raccourcis" puis "Dossier Personnel", allez dans le dossier "wine" et créez un fichier qui se nommera directx.reg dans lequel vous y mettez ceci : <|> " => suggestions : ['«\xa0', '“']
143 Guillemets typographiques fermants. [[80:81]] => Dans la barre d'Ubuntu en haut (pour ceux qui ont gnome) Cliquez sur "Raccourcis" puis "Dossier Personnel", allez dans le dossier "wine" et créez un fichier qui se nommera directx.reg dans lequel vous y mettez ceci : <|> " => suggestions : ['\xa0»', '”']
143 Guillemets typographiques ouvrants. [[87:88]] => Dans la barre d'Ubuntu en haut (pour ceux qui ont gnome) Cliquez sur "Raccourcis" puis "Dossier Personnel", allez dans le dossier "wine" et créez un fichier qui se nommera directx.reg dans lequel vous y mettez ceci : <|> " => suggestions : ['«\xa0', '“']
143 Guillemets typographiques fermants. [[105:106]] => Dans la barre d'Ubuntu en haut (pour ceux qui ont gnome) Cliquez sur "Raccourcis" puis "Dossier Personnel", allez dans le dossier "wine" et créez un fichier qui se nommera directx.reg dans lequel vous y mettez ceci : <|> " => suggestions : ['\xa0»', '”']
143 Guillemets typographiques ouvrants. [[130:131]] => Dans la barre d'Ubuntu en haut (pour ceux qui ont gnome) Cliquez sur "Raccourcis" puis "Dossier Personnel", allez dans le dossier "wine" et créez un fichier qui se nommera directx.reg dans lequel vous y mettez ceci : <|> " => suggestions : ['«\xa0', '“']
143 Guillemets typographiques fermants. [[135:136]] => Dans la barre d'Ubuntu en haut (pour ceux qui ont gnome) Cliquez sur "Raccourcis" puis "Dossier Personnel", allez dans le dossier "wine" et créez un fichier qui se nommera directx.reg dans lequel vous y mettez ceci : <|> " => suggestions : ['\xa0»', '”']
143 Il manque un espace. [[180:183]] => Dans la barre d'Ubuntu en haut (pour ceux qui ont gnome) Cliquez sur "Raccourcis" puis "Dossier Personnel", allez dans le dossier "wine" et créez un fichier qui se nommera directx.reg dans lequel vous y mettez ceci : <|> reg => suggestions : [' reg']

152 Mot inconnu : xxx [[15:18]] => Vous remplacez xxx par la taille de la ram de votre carte graphique. <|> xxx
152 Mot inconnu : ram [[39:42]] => Vous remplacez xxx par la taille de la ram de votre carte graphique. <|> ram
158 Guillemets typographiques ouvrants. [[30:31]] => Récupérez la DLL qui se nomme "ddrawex.dll" sur ce site (et enregistrez le sur le Bureau) : https://www.dlldump.com/download-dll-files_new.php/dllfiles/D/ddrawex.dll/5.03.2600.2180/download.html <|> " => suggestions : ['«\xa0', '“']
158 Mot inconnu : ddrawex [[31:38]] => Récupérez la DLL qui se nomme "ddrawex.dll" sur ce site (et enregistrez le sur le Bureau) : https://www.dlldump.com/download-dll-files_new.php/dllfiles/D/ddrawex.dll/5.03.2600.2180/download.html <|> ddrawex
158 Guillemets typographiques fermants. [[42:43]] => Récupérez la DLL qui se nomme "ddrawex.dll" sur ce site (et enregistrez le sur le Bureau) : https://www.dlldump.com/download-dll-files_new.php/dllfiles/D/ddrawex.dll/5.03.2600.2180/download.html <|> " => suggestions : ['\xa0»', '”']
164 Mot inconnu : COD4 [[57:61]] => ===== Maintenant installons DirectX 9c avant d'installer COD4 ===== <|> cod4

173 Mot inconnu : dx [[85:87]] => Sélectionnez l'endroit ou le décompresser en sélectionnant le Bureau puis rajoutez "\dx\" à la fin. Ca devrait ressembler à ceci : <|> dx
173 Mot inconnu : Ca [[100:102]] => Sélectionnez l'endroit ou le décompresser en sélectionnant le Bureau puis rajoutez "\dx\" à la fin. Ca devrait ressembler à ceci : <|> ca

177 Mot inconnu : xxxxx [[3:8]] => Où xxxxx est votre nom de login Ubuntu puis faites "OK" <|> xxxxx
177 Guillemets typographiques ouvrants. [[51:52]] => Où xxxxx est votre nom de login Ubuntu puis faites "OK" <|> " => suggestions : ['«\xa0', '“']
177 Guillemets typographiques fermants. [[54:55]] => Où xxxxx est votre nom de login Ubuntu puis faites "OK" <|> " => suggestions : ['\xa0»', '”']

183 Typographie : points de suspension. Utilisez le caractère dédié. [[24:27]] => finissez l'installation ... <|> ... => suggestions : ['…']

191 Guillemets typographiques ouvrants. [[16:17]] => Dans cet onglet "applications", dans le champ "version de windows" selectionnez "Windows XP" et faites "OK" <|> " => suggestions : ['«\xa0', '“']
191 Guillemets typographiques fermants. [[29:30]] => Dans cet onglet "applications", dans le champ "version de windows" selectionnez "Windows XP" et faites "OK" <|> " => suggestions : ['\xa0»', '”']
191 Guillemets typographiques ouvrants. [[46:47]] => Dans cet onglet "applications", dans le champ "version de windows" selectionnez "Windows XP" et faites "OK" <|> " => suggestions : ['«\xa0', '“']
191 Guillemets typographiques fermants. [[65:66]] => Dans cet onglet "applications", dans le champ "version de windows" selectionnez "Windows XP" et faites "OK" <|> " => suggestions : ['\xa0»', '”']
191 Mot inconnu : selectionnez [[67:79]] => Dans cet onglet "applications", dans le champ "version de windows" selectionnez "Windows XP" et faites "OK" <|> selectionnez
191 Guillemets typographiques ouvrants. [[80:81]] => Dans cet onglet "applications", dans le champ "version de windows" selectionnez "Windows XP" et faites "OK" <|> " => suggestions : ['«\xa0', '“']
191 Guillemets typographiques fermants. [[91:92]] => Dans cet onglet "applications", dans le champ "version de windows" selectionnez "Windows XP" et faites "OK" <|> " => suggestions : ['\xa0»', '”']
191 Guillemets typographiques ouvrants. [[103:104]] => Dans cet onglet "applications", dans le champ "version de windows" selectionnez "Windows XP" et faites "OK" <|> " => suggestions : ['«\xa0', '“']
191 Guillemets typographiques fermants. [[106:107]] => Dans cet onglet "applications", dans le champ "version de windows" selectionnez "Windows XP" et faites "OK" <|> " => suggestions : ['\xa0»', '”']

193 Mot inconnu : COD4 [[22:26]] => ===== Installation de COD4 ===== <|> cod4

195 Mot inconnu : COD4 [[36:40]] => Faites maintenant l'installation de COD4 comme si vous étiez sous Windows ... <|> cod4
195 Typographie : points de suspension. Utilisez le caractère dédié. [[74:77]] => Faites maintenant l'installation de COD4 comme si vous étiez sous Windows ... <|> ... => suggestions : ['…']

203 Accord de genre erroné : « cd » est féminin. [[28:30]] => Ou si vous l'installez avec le cd : <|> le => suggestions : ['la']

207 Guillemets typographiques ouvrants. [[3:4]] => Où "nom_cd" est le nom du média. <|> " => suggestions : ['«\xa0', '“']
207 Mot inconnu : nom_cd [[4:10]] => Où "nom_cd" est le nom du média. <|> nom_cd
207 Guillemets typographiques fermants. [[10:11]] => Où "nom_cd" est le nom du média. <|> " => suggestions : ['\xa0»', '”']

209 Mot inconnu : COD4 [[65:69]] => Il vous suffira d'entrer la clé qui se trouve dans votre boitier COD4 puis de suivre l'installation exactement comme sous Windows ... <|> cod4
209 Typographie : points de suspension. Utilisez le caractère dédié. [[130:133]] => Il vous suffira d'entrer la clé qui se trouve dans votre boitier COD4 puis de suivre l'installation exactement comme sous Windows ... <|> ... => suggestions : ['…']

211 Mot inconnu : Enjoy [[0:5]] => Enjoy, GL & HF ;-) <|> enjoy
211 Mot inconnu : HF [[12:14]] => Enjoy, GL & HF ;-) <|> hf
