
4 Mot inconnu : Boot-Info => ====== Créer un rapport Boot-Info ====== | boot-info
56 Accord de nombre erroné : « bios » devrait être au singulier. => Dans le premier mode de boot (LEGACY), l'utilisateur a indiqué au bios l'ordre des disques à utiliser.   Ce logiciel ne permet pas de savoir lequel est utilisé.  C'est une des raisons pour laquelle, lorsqu'il est utilisé en réparation, il écrit sur la totalité des disques. Il est souvent préférable d'avoir des contenus différents permettant un choix plus vaste. | bios => suggestions : ['bio']
56 Espace(s) surnuméraire(s) à supprimer. => Dans le premier mode de boot (LEGACY), l'utilisateur a indiqué au bios l'ordre des disques à utiliser.   Ce logiciel ne permet pas de savoir lequel est utilisé.  C'est une des raisons pour laquelle, lorsqu'il est utilisé en réparation, il écrit sur la totalité des disques. Il est souvent préférable d'avoir des contenus différents permettant un choix plus vaste. |     => suggestions : [' ']
56 Espace(s) surnuméraire(s) à supprimer. => Dans le premier mode de boot (LEGACY), l'utilisateur a indiqué au bios l'ordre des disques à utiliser.   Ce logiciel ne permet pas de savoir lequel est utilisé.  C'est une des raisons pour laquelle, lorsqu'il est utilisé en réparation, il écrit sur la totalité des disques. Il est souvent préférable d'avoir des contenus différents permettant un choix plus vaste. |    => suggestions : [' ']

58 Espace(s) surnuméraire(s) à supprimer. => Si le  MBR est renseigné, la décodification est tentée. Si la décodification trouve une structure de boot GRUB, elle  indique alors l'endroit de la première partie du boot LEGACY. Cet endroit est aussi analysé pour indiquer quel fichier final de  boot sera activé. Cette décodification peut aussi indiquer que la structure de boot est cassée. |    => suggestions : [' ']
58 Mot inconnu : MBR => Si le  MBR est renseigné, la décodification est tentée. Si la décodification trouve une structure de boot GRUB, elle  indique alors l'endroit de la première partie du boot LEGACY. Cet endroit est aussi analysé pour indiquer quel fichier final de  boot sera activé. Cette décodification peut aussi indiquer que la structure de boot est cassée. | mbr
58 Mot inconnu : décodification => Si le  MBR est renseigné, la décodification est tentée. Si la décodification trouve une structure de boot GRUB, elle  indique alors l'endroit de la première partie du boot LEGACY. Cet endroit est aussi analysé pour indiquer quel fichier final de  boot sera activé. Cette décodification peut aussi indiquer que la structure de boot est cassée. | décodification
58 Mot inconnu : décodification => Si le  MBR est renseigné, la décodification est tentée. Si la décodification trouve une structure de boot GRUB, elle  indique alors l'endroit de la première partie du boot LEGACY. Cet endroit est aussi analysé pour indiquer quel fichier final de  boot sera activé. Cette décodification peut aussi indiquer que la structure de boot est cassée. | décodification
58 Mot inconnu : boot => Si le  MBR est renseigné, la décodification est tentée. Si la décodification trouve une structure de boot GRUB, elle  indique alors l'endroit de la première partie du boot LEGACY. Cet endroit est aussi analysé pour indiquer quel fichier final de  boot sera activé. Cette décodification peut aussi indiquer que la structure de boot est cassée. | boot
58 Mot inconnu : GRUB => Si le  MBR est renseigné, la décodification est tentée. Si la décodification trouve une structure de boot GRUB, elle  indique alors l'endroit de la première partie du boot LEGACY. Cet endroit est aussi analysé pour indiquer quel fichier final de  boot sera activé. Cette décodification peut aussi indiquer que la structure de boot est cassée. | grub
58 Espace(s) surnuméraire(s) à supprimer. => Si le  MBR est renseigné, la décodification est tentée. Si la décodification trouve une structure de boot GRUB, elle  indique alors l'endroit de la première partie du boot LEGACY. Cet endroit est aussi analysé pour indiquer quel fichier final de  boot sera activé. Cette décodification peut aussi indiquer que la structure de boot est cassée. |    => suggestions : [' ']
58 Mot inconnu : boot => Si le  MBR est renseigné, la décodification est tentée. Si la décodification trouve une structure de boot GRUB, elle  indique alors l'endroit de la première partie du boot LEGACY. Cet endroit est aussi analysé pour indiquer quel fichier final de  boot sera activé. Cette décodification peut aussi indiquer que la structure de boot est cassée. | boot
58 Mot inconnu : LEGACY => Si le  MBR est renseigné, la décodification est tentée. Si la décodification trouve une structure de boot GRUB, elle  indique alors l'endroit de la première partie du boot LEGACY. Cet endroit est aussi analysé pour indiquer quel fichier final de  boot sera activé. Cette décodification peut aussi indiquer que la structure de boot est cassée. | legacy
58 Espace(s) surnuméraire(s) à supprimer. => Si le  MBR est renseigné, la décodification est tentée. Si la décodification trouve une structure de boot GRUB, elle  indique alors l'endroit de la première partie du boot LEGACY. Cet endroit est aussi analysé pour indiquer quel fichier final de  boot sera activé. Cette décodification peut aussi indiquer que la structure de boot est cassée. |    => suggestions : [' ']
58 Mot inconnu : boot => Si le  MBR est renseigné, la décodification est tentée. Si la décodification trouve une structure de boot GRUB, elle  indique alors l'endroit de la première partie du boot LEGACY. Cet endroit est aussi analysé pour indiquer quel fichier final de  boot sera activé. Cette décodification peut aussi indiquer que la structure de boot est cassée. | boot
58 Mot inconnu : décodification => Si le  MBR est renseigné, la décodification est tentée. Si la décodification trouve une structure de boot GRUB, elle  indique alors l'endroit de la première partie du boot LEGACY. Cet endroit est aussi analysé pour indiquer quel fichier final de  boot sera activé. Cette décodification peut aussi indiquer que la structure de boot est cassée. | décodification
58 Mot inconnu : boot => Si le  MBR est renseigné, la décodification est tentée. Si la décodification trouve une structure de boot GRUB, elle  indique alors l'endroit de la première partie du boot LEGACY. Cet endroit est aussi analysé pour indiquer quel fichier final de  boot sera activé. Cette décodification peut aussi indiquer que la structure de boot est cassée. | boot

60 Espace(s) surnuméraire(s) à supprimer. => La grosse erreur d'interprétation  est d'oublier de regarder s'il est utile de consulter cette information. Il faut d'abord s'assurer que le boot se fait bien en mode LEGACY. (Voir plus loin.) En effet lorsque le boot s'exécute dans le nouveau mode de boot (EFI), la lecture du début d'un disque n'est pas prise en compte. //C'est dommages  que boot-info ne pense pas à indiquer  la nature du boot dès le début du rapport)// |    => suggestions : [' ']
60 Mot inconnu : boot => La grosse erreur d'interprétation  est d'oublier de regarder s'il est utile de consulter cette information. Il faut d'abord s'assurer que le boot se fait bien en mode LEGACY. (Voir plus loin.) En effet lorsque le boot s'exécute dans le nouveau mode de boot (EFI), la lecture du début d'un disque n'est pas prise en compte. //C'est dommages  que boot-info ne pense pas à indiquer  la nature du boot dès le début du rapport)// | boot
60 Mot inconnu : LEGACY => La grosse erreur d'interprétation  est d'oublier de regarder s'il est utile de consulter cette information. Il faut d'abord s'assurer que le boot se fait bien en mode LEGACY. (Voir plus loin.) En effet lorsque le boot s'exécute dans le nouveau mode de boot (EFI), la lecture du début d'un disque n'est pas prise en compte. //C'est dommages  que boot-info ne pense pas à indiquer  la nature du boot dès le début du rapport)// | legacy
60 Mot inconnu : boot => La grosse erreur d'interprétation  est d'oublier de regarder s'il est utile de consulter cette information. Il faut d'abord s'assurer que le boot se fait bien en mode LEGACY. (Voir plus loin.) En effet lorsque le boot s'exécute dans le nouveau mode de boot (EFI), la lecture du début d'un disque n'est pas prise en compte. //C'est dommages  que boot-info ne pense pas à indiquer  la nature du boot dès le début du rapport)// | boot
60 Mot inconnu : boot => La grosse erreur d'interprétation  est d'oublier de regarder s'il est utile de consulter cette information. Il faut d'abord s'assurer que le boot se fait bien en mode LEGACY. (Voir plus loin.) En effet lorsque le boot s'exécute dans le nouveau mode de boot (EFI), la lecture du début d'un disque n'est pas prise en compte. //C'est dommages  que boot-info ne pense pas à indiquer  la nature du boot dès le début du rapport)// | boot
60 Mot inconnu : EFI => La grosse erreur d'interprétation  est d'oublier de regarder s'il est utile de consulter cette information. Il faut d'abord s'assurer que le boot se fait bien en mode LEGACY. (Voir plus loin.) En effet lorsque le boot s'exécute dans le nouveau mode de boot (EFI), la lecture du début d'un disque n'est pas prise en compte. //C'est dommages  que boot-info ne pense pas à indiquer  la nature du boot dès le début du rapport)// | efi
60 Confusion. Exemples : c’est facile ; ces chats (désignation) ; ses chats (possession)… => La grosse erreur d'interprétation  est d'oublier de regarder s'il est utile de consulter cette information. Il faut d'abord s'assurer que le boot se fait bien en mode LEGACY. (Voir plus loin.) En effet lorsque le boot s'exécute dans le nouveau mode de boot (EFI), la lecture du début d'un disque n'est pas prise en compte. //C'est dommages  que boot-info ne pense pas à indiquer  la nature du boot dès le début du rapport)// | c'est => suggestions : ['Ces', 'Ses']
60 Accord avec le sujet “C’” : “dommages” devrait être au masculin singulier. => La grosse erreur d'interprétation  est d'oublier de regarder s'il est utile de consulter cette information. Il faut d'abord s'assurer que le boot se fait bien en mode LEGACY. (Voir plus loin.) En effet lorsque le boot s'exécute dans le nouveau mode de boot (EFI), la lecture du début d'un disque n'est pas prise en compte. //C'est dommages  que boot-info ne pense pas à indiquer  la nature du boot dès le début du rapport)// | dommages => suggestions : ['dommage']
60 Espace(s) surnuméraire(s) à supprimer. => La grosse erreur d'interprétation  est d'oublier de regarder s'il est utile de consulter cette information. Il faut d'abord s'assurer que le boot se fait bien en mode LEGACY. (Voir plus loin.) En effet lorsque le boot s'exécute dans le nouveau mode de boot (EFI), la lecture du début d'un disque n'est pas prise en compte. //C'est dommages  que boot-info ne pense pas à indiquer  la nature du boot dès le début du rapport)// |    => suggestions : [' ']
60 Mot inconnu : boot-info => La grosse erreur d'interprétation  est d'oublier de regarder s'il est utile de consulter cette information. Il faut d'abord s'assurer que le boot se fait bien en mode LEGACY. (Voir plus loin.) En effet lorsque le boot s'exécute dans le nouveau mode de boot (EFI), la lecture du début d'un disque n'est pas prise en compte. //C'est dommages  que boot-info ne pense pas à indiquer  la nature du boot dès le début du rapport)// | boot-info
60 Espace(s) surnuméraire(s) à supprimer. => La grosse erreur d'interprétation  est d'oublier de regarder s'il est utile de consulter cette information. Il faut d'abord s'assurer que le boot se fait bien en mode LEGACY. (Voir plus loin.) En effet lorsque le boot s'exécute dans le nouveau mode de boot (EFI), la lecture du début d'un disque n'est pas prise en compte. //C'est dommages  que boot-info ne pense pas à indiquer  la nature du boot dès le début du rapport)// |    => suggestions : [' ']
60 Mot inconnu : boot => La grosse erreur d'interprétation  est d'oublier de regarder s'il est utile de consulter cette information. Il faut d'abord s'assurer que le boot se fait bien en mode LEGACY. (Voir plus loin.) En effet lorsque le boot s'exécute dans le nouveau mode de boot (EFI), la lecture du début d'un disque n'est pas prise en compte. //C'est dommages  que boot-info ne pense pas à indiquer  la nature du boot dès le début du rapport)// | boot

62 Mot inconnu : booter => Ensuite, toutes les partitions sont analysées. Les fichiers servant à booter soit en mode LEGACY. (leur nom doit exactement être connu par boot-info) soit en mode EFI  (terminaison normalisée **.EFI**) sont listés.  | booter
62 Mot inconnu : LEGACY => Ensuite, toutes les partitions sont analysées. Les fichiers servant à booter soit en mode LEGACY. (leur nom doit exactement être connu par boot-info) soit en mode EFI  (terminaison normalisée **.EFI**) sont listés.  | legacy
62 Mot inconnu : boot-info => Ensuite, toutes les partitions sont analysées. Les fichiers servant à booter soit en mode LEGACY. (leur nom doit exactement être connu par boot-info) soit en mode EFI  (terminaison normalisée **.EFI**) sont listés.  | boot-info
62 Mot inconnu : EFI => Ensuite, toutes les partitions sont analysées. Les fichiers servant à booter soit en mode LEGACY. (leur nom doit exactement être connu par boot-info) soit en mode EFI  (terminaison normalisée **.EFI**) sont listés.  | efi
62 Espace(s) surnuméraire(s) à supprimer. => Ensuite, toutes les partitions sont analysées. Les fichiers servant à booter soit en mode LEGACY. (leur nom doit exactement être connu par boot-info) soit en mode EFI  (terminaison normalisée **.EFI**) sont listés.  |    => suggestions : [' ']
62 Mot inconnu : EFI => Ensuite, toutes les partitions sont analysées. Les fichiers servant à booter soit en mode LEGACY. (leur nom doit exactement être connu par boot-info) soit en mode EFI  (terminaison normalisée **.EFI**) sont listés.  | efi
62 Espace(s) en fin de ligne à supprimer. => Ensuite, toutes les partitions sont analysées. Les fichiers servant à booter soit en mode LEGACY. (leur nom doit exactement être connu par boot-info) soit en mode EFI  (terminaison normalisée **.EFI**) sont listés.  |   => suggestions : ['']

64 Mot inconnu : detected => == OS detected == | detected

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

66 Sigle. Il est recommandé d’ôter les points pour les sigles. (S’il s’agit d’un prénom et d’un nom, mettez un espace.) => Tous les O.S. rencontrés sont listés avec quelques caractéristiques. Celui qui est utilisé est indiqué.     Cette partie permet de savoir si le rapport est produit à partir d'un support d'installation ou d'un système opérationnel. | o.s. => suggestions : ['OS', 'O.\u202fS.']
66 Espace(s) surnuméraire(s) à supprimer. => Tous les O.S. rencontrés sont listés avec quelques caractéristiques. Celui qui est utilisé est indiqué.     Cette partie permet de savoir si le rapport est produit à partir d'un support d'installation ou d'un système opérationnel. |       => suggestions : [' ']

68 Mot inconnu : Host => == Architecture/Host Info == | host

72 Espace(s) surnuméraire(s) à supprimer. => Cette partie indique aussi le noyau technique utilisé  pour effectuer le rapport sans préciser la version commerciale. |    => suggestions : [' ']

74 Mot inconnu : UEFI => == UEFI == | uefi

76 Mot inconnu : boot => Permet de savoir si le boot a eu lieu en EFI ou pas. | boot
76 Mot inconnu : EFI => Permet de savoir si le boot a eu lieu en EFI ou pas. | efi

78 Mot inconnu : boot => Notons que si le boot ne s'est pas fait en mode EFI, il est possible que, malgré tout, l'ordinateur dispose d'une possibilité de booter en EFI.  Le propriétaire peut ne pas la mettre  prioritaire pour ce boot. | boot
78 Mot inconnu : EFI => Notons que si le boot ne s'est pas fait en mode EFI, il est possible que, malgré tout, l'ordinateur dispose d'une possibilité de booter en EFI.  Le propriétaire peut ne pas la mettre  prioritaire pour ce boot. | efi
78 Mot inconnu : booter => Notons que si le boot ne s'est pas fait en mode EFI, il est possible que, malgré tout, l'ordinateur dispose d'une possibilité de booter en EFI.  Le propriétaire peut ne pas la mettre  prioritaire pour ce boot. | booter
78 Mot inconnu : EFI => Notons que si le boot ne s'est pas fait en mode EFI, il est possible que, malgré tout, l'ordinateur dispose d'une possibilité de booter en EFI.  Le propriétaire peut ne pas la mettre  prioritaire pour ce boot. | efi
78 Espace(s) surnuméraire(s) à supprimer. => Notons que si le boot ne s'est pas fait en mode EFI, il est possible que, malgré tout, l'ordinateur dispose d'une possibilité de booter en EFI.  Le propriétaire peut ne pas la mettre  prioritaire pour ce boot. |    => suggestions : [' ']
78 Espace(s) surnuméraire(s) à supprimer. => Notons que si le boot ne s'est pas fait en mode EFI, il est possible que, malgré tout, l'ordinateur dispose d'une possibilité de booter en EFI.  Le propriétaire peut ne pas la mettre  prioritaire pour ce boot. |    => suggestions : [' ']
78 Mot inconnu : boot => Notons que si le boot ne s'est pas fait en mode EFI, il est possible que, malgré tout, l'ordinateur dispose d'une possibilité de booter en EFI.  Le propriétaire peut ne pas la mettre  prioritaire pour ce boot. | boot

80 Mot inconnu : boot => Cette dualité est souvent cause d'une mauvaise installation en contexte dual boot ou la totalité des O.S. doit être installée avec le même choix qui est celui de la première installation. | boot
80 Sigle. Il est recommandé d’ôter les points pour les sigles. (S’il s’agit d’un prénom et d’un nom, mettez un espace.) => Cette dualité est souvent cause d'une mauvaise installation en contexte dual boot ou la totalité des O.S. doit être installée avec le même choix qui est celui de la première installation. | o.s. => suggestions : ['OS', 'O.\u202fS.']

82 Mot inconnu : boot => Si le boot est fait en EFI, le contenu de la structure de boot EFI (NVRAM) est  listé. | boot
82 Mot inconnu : EFI => Si le boot est fait en EFI, le contenu de la structure de boot EFI (NVRAM) est  listé. | efi
82 Mot inconnu : boot => Si le boot est fait en EFI, le contenu de la structure de boot EFI (NVRAM) est  listé. | boot
82 Mot inconnu : EFI => Si le boot est fait en EFI, le contenu de la structure de boot EFI (NVRAM) est  listé. | efi
82 Mot inconnu : NVRAM => Si le boot est fait en EFI, le contenu de la structure de boot EFI (NVRAM) est  listé. | nvram
82 Espace(s) surnuméraire(s) à supprimer. => Si le boot est fait en EFI, le contenu de la structure de boot EFI (NVRAM) est  listé. |    => suggestions : [' ']

84 Espace(s) en fin de ligne à supprimer. => Souvent, il n'y a que quelques lignes //et le nombre maxima de lignes dépasse rarement 128//  |   => suggestions : ['']

86 Mot inconnu : boot => C'est en jonglant dans cette liste que le choix de boot doit être fait prioritairement. | boot

88 Mot inconnu : EFI => Cependant trop d'ordinateurs EFI présentent mal la liste, il devient alors plus simple d'utiliser un autre outil pour mieux présenter le choix (//GRUB, REFIND,  SG2D....//..)  | efi
88 Mot inconnu : GRUB => Cependant trop d'ordinateurs EFI présentent mal la liste, il devient alors plus simple d'utiliser un autre outil pour mieux présenter le choix (//GRUB, REFIND,  SG2D....//..)  | grub
88 Mot inconnu : REFIND => Cependant trop d'ordinateurs EFI présentent mal la liste, il devient alors plus simple d'utiliser un autre outil pour mieux présenter le choix (//GRUB, REFIND,  SG2D....//..)  | refind
88 Espace(s) surnuméraire(s) à supprimer. => Cependant trop d'ordinateurs EFI présentent mal la liste, il devient alors plus simple d'utiliser un autre outil pour mieux présenter le choix (//GRUB, REFIND,  SG2D....//..)  |    => suggestions : [' ']
88 Mot inconnu : SG2D => Cependant trop d'ordinateurs EFI présentent mal la liste, il devient alors plus simple d'utiliser un autre outil pour mieux présenter le choix (//GRUB, REFIND,  SG2D....//..)  | sg2d
88 Typographie : points de suspension. Utilisez le caractère dédié. => Cependant trop d'ordinateurs EFI présentent mal la liste, il devient alors plus simple d'utiliser un autre outil pour mieux présenter le choix (//GRUB, REFIND,  SG2D....//..)  | .... => suggestions : ['…']
88 Typographie : un ou trois points ? => Cependant trop d'ordinateurs EFI présentent mal la liste, il devient alors plus simple d'utiliser un autre outil pour mieux présenter le choix (//GRUB, REFIND,  SG2D....//..)  | .. => suggestions : ['…', '.']
88 Espace(s) en fin de ligne à supprimer. => Cependant trop d'ordinateurs EFI présentent mal la liste, il devient alors plus simple d'utiliser un autre outil pour mieux présenter le choix (//GRUB, REFIND,  SG2D....//..)  |   => suggestions : ['']

90 Mot inconnu : bootables => Tous les fichiers bootables sont listés. Ils sont précédés de leur "cheksum". | bootables
90 Guillemets typographiques ouvrants. => Tous les fichiers bootables sont listés. Ils sont précédés de leur "cheksum". | " => suggestions : ['«\xa0', '“']
90 Mot inconnu : cheksum => Tous les fichiers bootables sont listés. Ils sont précédés de leur "cheksum". | cheksum
90 Guillemets typographiques fermants. => Tous les fichiers bootables sont listés. Ils sont précédés de leur "cheksum". | " => suggestions : ['\xa0»', '”']

92 Espace(s) surnuméraire(s) à supprimer. => Deux noms  identiques avec  des checksums différents signifient des versions différentes  de logiciel. |    => suggestions : [' ']
92 Espace(s) surnuméraire(s) à supprimer. => Deux noms  identiques avec  des checksums différents signifient des versions différentes  de logiciel. |    => suggestions : [' ']
92 Mot inconnu : checksums => Deux noms  identiques avec  des checksums différents signifient des versions différentes  de logiciel. | checksums
92 Espace(s) surnuméraire(s) à supprimer. => Deux noms  identiques avec  des checksums différents signifient des versions différentes  de logiciel. |    => suggestions : [' ']

94 Mot inconnu : checksums => Deux checksums identiques avec des noms différents signifient une même version de logiciel.  | checksums
94 Espace(s) en fin de ligne à supprimer. => Deux checksums identiques avec des noms différents signifient une même version de logiciel.  |   => suggestions : ['']

98 Espace(s) surnuméraire(s) à supprimer. => Cette section  fait un "tableau de synthèse" avec des mots clés. |    => suggestions : [' ']
98 Guillemets typographiques ouvrants. => Cette section  fait un "tableau de synthèse" avec des mots clés. | " => suggestions : ['«\xa0', '“']
98 Guillemets typographiques fermants. => Cette section  fait un "tableau de synthèse" avec des mots clés. | " => suggestions : ['\xa0»', '”']

100 Espace(s) en fin de ligne à supprimer. => Listes non exhaustives dont l'interprétation reste à faire ou à confirmer.   |    => suggestions : ['']

166 Espace(s) surnuméraire(s) à supprimer. => == Environnement de l'ordinateur  == |    => suggestions : [' ']

168 Mot inconnu : boot => Des informations plus détaillées et épurées d'informations n'ayant pas de rapport avec le boot   sont fournies en utilisant ces commandes  | boot
168 Espace(s) surnuméraire(s) à supprimer. => Des informations plus détaillées et épurées d'informations n'ayant pas de rapport avec le boot   sont fournies en utilisant ces commandes  |     => suggestions : [' ']
168 Espace(s) en fin de ligne à supprimer. => Des informations plus détaillées et épurées d'informations n'ayant pas de rapport avec le boot   sont fournies en utilisant ces commandes  |   => suggestions : ['']

175 Espace(s) en fin de ligne à supprimer. => == Contenu de certains fichiers ==  |   => suggestions : ['']

181 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

182 Mot inconnu : Unknown => == Unknown MBRs/Boot Sectors == | unknown
182 Mot inconnu : MBRs => == Unknown MBRs/Boot Sectors == | mbrs
182 Mot inconnu : Sectors => == Unknown MBRs/Boot Sectors == | sectors

183 Mot inconnu : boot-info => Le vidage en hexadécimal pour tous les débuts de partitions que boot-info n'a pas su identifier.  | boot-info
183 Espace(s) en fin de ligne à supprimer. => Le vidage en hexadécimal pour tous les débuts de partitions que boot-info n'a pas su identifier.  |   => suggestions : ['']

185 Mot inconnu : Suggested => == Suggested repair == | suggested
185 Mot inconnu : repair => == Suggested repair == | repair

186 Espace(s) surnuméraire(s) à supprimer. => Des idées de réparations  pertinentes  adaptées à la nature de boot faite (EFI/LEGACY) ainsi qu'à la présence de windows ou non. Elles peuvent pas couvrir la totalité des contextes de réparation de boot en EFI . |    => suggestions : [' ']
186 Espace(s) surnuméraire(s) à supprimer. => Des idées de réparations  pertinentes  adaptées à la nature de boot faite (EFI/LEGACY) ainsi qu'à la présence de windows ou non. Elles peuvent pas couvrir la totalité des contextes de réparation de boot en EFI . |    => suggestions : [' ']
186 Mot inconnu : boot => Des idées de réparations  pertinentes  adaptées à la nature de boot faite (EFI/LEGACY) ainsi qu'à la présence de windows ou non. Elles peuvent pas couvrir la totalité des contextes de réparation de boot en EFI . | boot
186 Mot inconnu : EFI => Des idées de réparations  pertinentes  adaptées à la nature de boot faite (EFI/LEGACY) ainsi qu'à la présence de windows ou non. Elles peuvent pas couvrir la totalité des contextes de réparation de boot en EFI . | efi
186 Mot inconnu : LEGACY => Des idées de réparations  pertinentes  adaptées à la nature de boot faite (EFI/LEGACY) ainsi qu'à la présence de windows ou non. Elles peuvent pas couvrir la totalité des contextes de réparation de boot en EFI . | legacy
186 Mot inconnu : boot => Des idées de réparations  pertinentes  adaptées à la nature de boot faite (EFI/LEGACY) ainsi qu'à la présence de windows ou non. Elles peuvent pas couvrir la totalité des contextes de réparation de boot en EFI . | boot
186 Mot inconnu : EFI => Des idées de réparations  pertinentes  adaptées à la nature de boot faite (EFI/LEGACY) ainsi qu'à la présence de windows ou non. Elles peuvent pas couvrir la totalité des contextes de réparation de boot en EFI . | efi

188 Espace(s) surnuméraire(s) à supprimer. => Elles  peuvent devenir mauvaises si l'utilisateur a booté dans le mauvais mode de boot. |    => suggestions : [' ']
188 Mot inconnu : booté => Elles  peuvent devenir mauvaises si l'utilisateur a booté dans le mauvais mode de boot. | booté
188 Mot inconnu : boot => Elles  peuvent devenir mauvaises si l'utilisateur a booté dans le mauvais mode de boot. | boot

192 Mot inconnu : boot-repair => Pour supprimer cette application, il suffit de supprimer le paquet boot-repair. Selon la méthode choisie, la configuration globale de l'application est conservée ou supprimée. Les journaux du système, et les fichiers de préférence des utilisateurs dans leurs dossiers personnels sont toujours conservés. | boot-repair

200 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

201 Mot inconnu : Boot-info => [[https://forum.ubuntu-fr.org/viewtopic.php?id=509791&p=79|Discussion à propos du développement de Boot-info sur le forum ubuntu-fr]] (pour des demandes d'aides, merci de créer une nouvelle discussion [[https://forum.ubuntu-fr.org/post.php?fid=10|ICI]]) | boot-info
201 Mot inconnu : ubuntu-fr => [[https://forum.ubuntu-fr.org/viewtopic.php?id=509791&p=79|Discussion à propos du développement de Boot-info sur le forum ubuntu-fr]] (pour des demandes d'aides, merci de créer une nouvelle discussion [[https://forum.ubuntu-fr.org/post.php?fid=10|ICI]]) | ubuntu-fr
