
3 Mot inconnu : PDA => ====== Comment utiliser son PDA Ipaq hx4700 sous Ångström avec Ubuntu ====== | pda
16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Prise casque stéréo. |    => suggestions : ['']
16 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Prise casque stéréo. |  -  => suggestions : [' – ', ' — ', ' − ']

18 Mot inconnu : PDA => ==== Corps du PDA ==== | pda

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Haut parleur |    => suggestions : ['']
20 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Haut parleur |  -  => suggestions : [' – ', ' — ', ' − ']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Écran tactile couleur 640×480 du PDA. |    => suggestions : ['']
21 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Écran tactile couleur 640×480 du PDA. |  -  => suggestions : [' – ', ' — ', ' − ']
21 Mot inconnu : PDA =>   - Écran tactile couleur 640×480 du PDA. | pda

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Bouton messagerie. |    => suggestions : ['']
22 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Bouton messagerie. |  -  => suggestions : [' – ', ' — ', ' − ']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Bouton itache. |    => suggestions : ['']
23 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Bouton itache. |  -  => suggestions : [' – ', ' — ', ' − ']
23 Mot inconnu : itache =>   - Bouton itache. | itache

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Clavier flèches de déplacements. |    => suggestions : ['']
24 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Clavier flèches de déplacements. |  -  => suggestions : [' – ', ' — ', ' − ']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Bouton calendrier. |    => suggestions : ['']
25 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Bouton calendrier. |  -  => suggestions : [' – ', ' — ', ' − ']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Bouton contacts. |    => suggestions : ['']
26 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Bouton contacts. |  -  => suggestions : [' – ', ' — ', ' − ']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Capteur de lumière. |    => suggestions : ['']
27 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Capteur de lumière. |  -  => suggestions : [' – ', ' — ', ' − ']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Diode électro luminescente énergie et notifications (orange). |    => suggestions : ['']
28 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Diode électro luminescente énergie et notifications (orange). |  -  => suggestions : [' – ', ' — ', ' − ']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Diode électro luminescente Wifi (bleu). |    => suggestions : ['']
29 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Diode électro luminescente Wifi (bleu). |  -  => suggestions : [' – ', ' — ', ' − ']

30 Confusion : “coté” est le participe passé du verbe “coter”. => Remarque sur le coté gauche du PDA, en haut, se trouve un bouton pour sélectionner l'enregistrement audio. | coté => suggestions : ['côté']
30 Mot inconnu : PDA => Remarque sur le coté gauche du PDA, en haut, se trouve un bouton pour sélectionner l'enregistrement audio. | pda

32 Mot inconnu : PDA => === Bas du PDA === | pda

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Bouton de réinitialisation à utiliser avec le stylet. |    => suggestions : ['']
34 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Bouton de réinitialisation à utiliser avec le stylet. |  -  => suggestions : [' – ', ' — ', ' − ']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Connecteur activesync. |    => suggestions : ['']
35 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Connecteur activesync. |  -  => suggestions : [' – ', ' — ', ' − ']
35 Mot inconnu : activesync =>   - Connecteur activesync. | activesync

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Transmission infrarouge. |    => suggestions : ['']
36 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Transmission infrarouge. |  -  => suggestions : [' – ', ' — ', ' − ']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Blocage du couvercle de la batterie. |    => suggestions : ['']
37 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Blocage du couvercle de la batterie. |  -  => suggestions : [' – ', ' — ', ' − ']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ouvrir le couvercle de la batterie. |    => suggestions : ['']
38 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ouvrir le couvercle de la batterie. |  -  => suggestions : [' – ', ' — ', ' − ']

40 Mot inconnu : PDA => ===== Configuration du PDA Ipaq hx4700 pour fonctionner avec Ångström ===== | pda
40 Mot inconnu : Ipaq => ===== Configuration du PDA Ipaq hx4700 pour fonctionner avec Ångström ===== | ipaq
40 Mot inconnu : hx4700 => ===== Configuration du PDA Ipaq hx4700 pour fonctionner avec Ångström ===== | hx4700

42 Mot inconnu : hx4700 => ==== Sauvegarde du hx4700 ==== | hx4700

44 Euphonie : “ce” devient “cet” devant un mot commençant par une voyelle. => Sauvegarder le système d'exploitation Windows CE original du hx4700 | ce => suggestions : ['CET']
44 Mot inconnu : hx4700 => Sauvegarder le système d'exploitation Windows CE original du hx4700 | hx4700

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Une carte SD d'une taille minimum de 256Mo et maximum de 1Go. |    => suggestions : ['']
47 Mot inconnu : SD =>   * Une carte SD d'une taille minimum de 256Mo et maximum de 1Go. | sd

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le support USB avec son alimentation du hx4700. |    => suggestions : ['']
48 Mot inconnu : hx4700 =>   * Le support USB avec son alimentation du hx4700. | hx4700

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le PDA Ipaq hx4700. |    => suggestions : ['']
49 Mot inconnu : PDA =>   * Le PDA Ipaq hx4700. | pda
49 Mot inconnu : Ipaq =>   * Le PDA Ipaq hx4700. | ipaq
49 Mot inconnu : hx4700 =>   * Le PDA Ipaq hx4700. | hx4700

53 Mot inconnu : hx4700 => == Mettre le hx4700 en mode connexion série == | hx4700

55 Mot inconnu : PDA => Chargez électriquement le PDA avec son alimentation secteur ou sur le socle. | pda

57 Mot inconnu : PDA => Mettre sous tension le PDA | pda

60 Mot inconnu : itache => Appuyez sur les touches **contacts (touche 7)** et **itache (touche 4)** simultanément  | itache
60 Espace(s) en fin de ligne à supprimer. => Appuyez sur les touches **contacts (touche 7)** et **itache (touche 4)** simultanément  |   => suggestions : ['']

63 Mot inconnu : reset => puis avec le stylet **faire un reset (emplacement 1)** au bas du hx4700 | reset
63 Mot inconnu : hx4700 => puis avec le stylet **faire un reset (emplacement 1)** au bas du hx4700 | hx4700

65 Mot inconnu : PDA => Le PDA n'est pas rétro-éclairé mais il affiche | pda
65 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => Le PDA n'est pas rétro-éclairé mais il affiche |  mais => suggestions : [', mais']

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   "serial". |    => suggestions : ['']
66 Guillemets typographiques ouvrants. =>   "serial". | " => suggestions : ['«\xa0', '“']
66 Mot inconnu : serial =>   "serial". | serial
66 Guillemets typographiques fermants. =>   "serial". | " => suggestions : ['\xa0»', '”']

70 Mot inconnu : pda => Le pda affiche maintenant | pda

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   "usb" |    => suggestions : ['']
71 Guillemets typographiques ouvrants. =>   "usb" | " => suggestions : ['«\xa0', '“']
71 Mot inconnu : usb =>   "usb" | usb
71 Guillemets typographiques fermants. =>   "usb" | " => suggestions : ['\xa0»', '”']

78 Mot inconnu : SD => **Mettre la carte SD dans le PDA.** (Taille maximale 1Go) | sd
78 Mot inconnu : PDA => **Mettre la carte SD dans le PDA.** (Taille maximale 1Go) | pda
80 Mot inconnu : SD => Attention ! toutes les données contenues sur la carte SD seront effacées. | sd

82 Mot inconnu : minicom => == Installation de minicom == | minicom

85 Mot inconnu : minicom => == Configuration de minicom == | minicom

94 Mot inconnu : minicom => Pour configurer minicom **tapez Ctrl+a puis o** | minicom
99 Formatage des grands nombres. => Vérifier que **«Débit/Parité/Bits»** est **115200 8N1** | 115200 => suggestions : ['115\xa0200']
99 Mot inconnu : N1 => Vérifier que **«Débit/Parité/Bits»** est **115200 8N1** | n1

113 Mot inconnu : minicom => == Exécution de minicom == | minicom

119 Mot inconnu : SD => == Sauvegarde sur la SD == | sd

128 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>          |          => suggestions : ['']

133 Mot inconnu : minicom => minicom affiche : | minicom

144 Espace(s) en fin de ligne à supprimer. => </code>       |        => suggestions : ['']

146 Mot inconnu : hx4700 => Le hx4700 affiche | hx4700

152 Mot inconnu : SD => Retirer la SD et faire un reset du PDA avec le stylet. | sd
152 Mot inconnu : reset => Retirer la SD et faire un reset du PDA avec le stylet. | reset
152 Mot inconnu : PDA => Retirer la SD et faire un reset du PDA avec le stylet. | pda

154 Mot inconnu : minicom => Si l'espace est insuffisant (<256Mo) pour la sauvegarde minicom affiche : | minicom

166 Mot inconnu : PDA => Et le PDA affiche | pda

172 Mot inconnu : SD => Pour un problème de carte SD supérieure à 1Go minicom affiche | sd
172 Mot inconnu : minicom => Pour un problème de carte SD supérieure à 1Go minicom affiche | minicom

186 Mot inconnu : PDA => Et le PDA affiche | pda

192 Mot inconnu : SD => == Sauvegarde du contenu de la SD dans votre poste Ubuntu == | sd

201 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>          |          => suggestions : ['']

202 Mot inconnu : hx4700 => ==== Restauration de Windows CE sur le hx4700 ==== | hx4700

203 Mot inconnu : SD => === Rétablir la sauvegarde de Windows CE sur une carte SD === | sd

211 Mot inconnu : SD => === Avec la sauvegarde de Windows CE sur la carte SD === | sd

213 Mot inconnu : PDA => Chargez électriquement le PDA avec son alimentation secteur ou sur le socle. | pda

215 Mot inconnu : SD => Mettre la carte SD dans le PDA.  | sd
215 Mot inconnu : PDA => Mettre la carte SD dans le PDA.  | pda
215 Espace(s) en fin de ligne à supprimer. => Mettre la carte SD dans le PDA.  |   => suggestions : ['']

217 Mot inconnu : PDA => Mettre sous tension le PDA | pda

220 Mot inconnu : itache => Appuyez sur les touches **contacts (touche 7)** et **itache (touche 4)** simultanément  | itache
220 Espace(s) en fin de ligne à supprimer. => Appuyez sur les touches **contacts (touche 7)** et **itache (touche 4)** simultanément  |   => suggestions : ['']

223 Mot inconnu : reset => puis avec le stylet **faire un reset (emplacement 1)** au bas du hx4700 | reset
223 Mot inconnu : hx4700 => puis avec le stylet **faire un reset (emplacement 1)** au bas du hx4700 | hx4700

225 Mot inconnu : PDA => Le PDA n'est pas rétro-éclairé mais il affiche | pda
225 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => Le PDA n'est pas rétro-éclairé mais il affiche |  mais => suggestions : [', mais']

239 Mot inconnu : PDA => Puis le PDA affiche | pda

258 Mot inconnu : PDA => Lorsque la restauration du PDA est terminée, le PDA affiche | pda
258 Mot inconnu : PDA => Lorsque la restauration du PDA est terminée, le PDA affiche | pda

277 Mot inconnu : SD => **Retirer la carte SD** | sd

280 Mot inconnu : reset => puis avec le stylet **faire un reset (emplacement 1)** au bas du PDA | reset
280 Mot inconnu : PDA => puis avec le stylet **faire un reset (emplacement 1)** au bas du PDA | pda

282 Mot inconnu : PDA => ==== Tester Ångström avec le PDA ==== | pda

284 Accord de genre erroné : « la carte » est féminin, « Compact » est masculin. => Récupérer **Angstrom-Octoprint-image-glibc-ipk-v2016.06-hx4700.rootfs.tar.gz** l'[[https://dominion.thruhere.net/angstrom/nightlies/v2016.06/hx4700/Angstrom-Octoprint-image-glibc-ipk-v2016.06-hx4700.rootfs.tar.gz|image à décompresser sur la carte Compact flash]]. | compact => suggestions : ['Compacte']

286 Mot inconnu : zImage-hx4700 => Récupérer **zImage-hx4700.bin** l'[[https://dominion.thruhere.net/angstrom/nightlies/v2016.06/hx4700/zImage-hx4700.bin|image du noyau linux]] à installer sur la carte SD. | zimage-hx4700
286 Mot inconnu : bin => Récupérer **zImage-hx4700.bin** l'[[https://dominion.thruhere.net/angstrom/nightlies/v2016.06/hx4700/zImage-hx4700.bin|image du noyau linux]] à installer sur la carte SD. | bin
286 Mot inconnu : linux => Récupérer **zImage-hx4700.bin** l'[[https://dominion.thruhere.net/angstrom/nightlies/v2016.06/hx4700/zImage-hx4700.bin|image du noyau linux]] à installer sur la carte SD. | linux
286 Mot inconnu : SD => Récupérer **zImage-hx4700.bin** l'[[https://dominion.thruhere.net/angstrom/nightlies/v2016.06/hx4700/zImage-hx4700.bin|image du noyau linux]] à installer sur la carte SD. | sd

291 Mot inconnu : périfériques => === Déterminer les périfériques SD et Compact flash pour votre poste de travail Ubuntu === | périfériques
291 Mot inconnu : SD => === Déterminer les périfériques SD et Compact flash pour votre poste de travail Ubuntu === | sd

293 Mot inconnu : SD => Mon portable dispose d'un lecteur SD, et j'utilise un adaptateur USB lecteur compact flash. | sd

314 Mot inconnu : SD => Donc pour mon lecteur de carte SD natif le périphérique est **/dev/mmcblk0**, et pour ma carte compact flash c'est **/dev/sdb1** | sd
314 Accord de genre erroné : « ma carte » est féminin, « compact » est masculin. => Donc pour mon lecteur de carte SD natif le périphérique est **/dev/mmcblk0**, et pour ma carte compact flash c'est **/dev/sdb1** | compact => suggestions : ['compacte']

316 Accord de genre erroné : « compact » est masculin. => === Décompresser le système Ångström dans la compact flash === | la => suggestions : ['le']
316 Accord de genre erroné : « la » est un déterminant féminin. => === Décompresser le système Ångström dans la compact flash === | compact => suggestions : ['compacte']

318 Accord erroné : « Compact » devrait être au féminin singulier. => Décompresser à la racine de la carte Compact flash l'image **Angstrom-Octoprint-image-glibc-ipk-v2016.06-hx4700.rootfs.tar.gz** | compact => suggestions : ['Compacte']

328 Mot inconnu : SD => === Installer Haret sur la carte SD === | sd

332 Mot inconnu : SD => === Copier l'image du noyau sur la SD === | sd

334 Mot inconnu : zImage-hx4700 => Installer l'image Linux **zImage-hx4700.bin** dans la SD | zimage-hx4700
334 Mot inconnu : bin => Installer l'image Linux **zImage-hx4700.bin** dans la SD | bin
334 Mot inconnu : SD => Installer l'image Linux **zImage-hx4700.bin** dans la SD | sd

340 Mot inconnu : hx4700 => ==== Configuration du hx4700 pour faire fonctionner la distribution Ångström ==== | hx4700

345 Mot inconnu : hx4700 => ===== Configuration de la connexion internet du hx4700 sous Ubuntu ===== | hx4700

354 Mot inconnu : lo => auto lo | lo

355 Mot inconnu : iface => iface lo inet loopback | iface
355 Mot inconnu : lo => iface lo inet loopback | lo
355 Mot inconnu : inet => iface lo inet loopback | inet
355 Mot inconnu : loopback => iface lo inet loopback | loopback

358 Mot inconnu : eth0 => auto eth0 | eth0

359 Mot inconnu : iface => iface eth0 inet manual | iface
359 Mot inconnu : eth0 => iface eth0 inet manual | eth0
359 Mot inconnu : inet => iface eth0 inet manual | inet
359 Mot inconnu : manual => iface eth0 inet manual | manual

361 Mot inconnu : hx4700 => # L'interface réseau du hx4700 | hx4700

362 Mot inconnu : usb0 => auto usb0 | usb0

363 Mot inconnu : iface => iface usb0 inet manual | iface
363 Mot inconnu : usb0 => iface usb0 inet manual | usb0
363 Mot inconnu : inet => iface usb0 inet manual | inet
363 Mot inconnu : manual => iface usb0 inet manual | manual

365 Mot inconnu : usb0 => # L'interface du pont virtuel liant usb0 à eth0 | usb0
365 Mot inconnu : eth0 => # L'interface du pont virtuel liant usb0 à eth0 | eth0

366 Mot inconnu : br0 => auto br0 | br0

367 Mot inconnu : iface => iface br0 inet dhcp | iface
367 Mot inconnu : br0 => iface br0 inet dhcp | br0
367 Mot inconnu : inet => iface br0 inet dhcp | inet
367 Mot inconnu : dhcp => iface br0 inet dhcp | dhcp

368 Mot inconnu : bridge_ports => bridge_ports eth0 usb0 | bridge_ports
368 Mot inconnu : eth0 => bridge_ports eth0 usb0 | eth0
368 Mot inconnu : usb0 => bridge_ports eth0 usb0 | usb0

370 Mot inconnu : hx4700 => ==== Configuration de la connexion réseau du hx4700 ==== | hx4700

371 Mot inconnu : Opie => === Opie === | opie

373 Mot inconnu : GPE => === GPE === | gpe

378 Mot inconnu : PDA => ===== Création d'images Ångström avec Ubuntu pour le PDA IPAQ hx4700 ===== | pda
378 Mot inconnu : IPAQ => ===== Création d'images Ångström avec Ubuntu pour le PDA IPAQ hx4700 ===== | ipaq
378 Mot inconnu : hx4700 => ===== Création d'images Ångström avec Ubuntu pour le PDA IPAQ hx4700 ===== | hx4700

381 Mot inconnu : vm => Vérifier que la valeur de vm.mmap_min_addr est nulle. | vm
381 Mot inconnu : mmap_min_addr => Vérifier que la valeur de vm.mmap_min_addr est nulle. | mmap_min_addr

393 Mot inconnu : vm => vm.mmap_min_addr = 0 | vm
393 Mot inconnu : mmap_min_addr => vm.mmap_min_addr = 0 | mmap_min_addr

402 Mot inconnu : hx4700 => Créer le répertoire qui va contenir tous les outils pour créer une image Ångström du hx4700 | hx4700

410 Mot inconnu : dash => Configurez dash pour qu'il ne soit pas le Shell par défaut (Préférer Bash) | dash
410 Mot inconnu : Bash => Configurez dash pour qu'il ne soit pas le Shell par défaut (Préférer Bash) | bash

415 Guillemets typographiques ouvrants. => Répondre "no" à la question posée | " => suggestions : ['«\xa0', '“']
415 Guillemets typographiques fermants. => Répondre "no" à la question posée | " => suggestions : ['\xa0»', '”']

434 Mot inconnu : hx4700 => Puis configurez votre environnement pour le hx4700 | hx4700

449 Forme interrogative ? Mettez un trait d’union. => Puis déconnectez vous de votre session graphique et reconnectez vous pour valider les changements | déconnectez vous => suggestions : ['déconnectez-vous']
449 Forme interrogative ? Mettez un trait d’union. => Puis déconnectez vous de votre session graphique et reconnectez vous pour valider les changements | reconnectez vous => suggestions : ['reconnectez-vous']

451 Mot inconnu : Opie => ==== Création d'une Image Ångström Opie pour le hx4700 ==== | opie
451 Mot inconnu : hx4700 => ==== Création d'une Image Ångström Opie pour le hx4700 ==== | hx4700

454 Mot inconnu : opie => Compiler l'image opie du hx4700 | opie
454 Mot inconnu : hx4700 => Compiler l'image opie du hx4700 | hx4700

480 Mot inconnu : GPE => ==== Création d'une Image Ångström GPE pour le hx4700 ==== | gpe
480 Mot inconnu : hx4700 => ==== Création d'une Image Ångström GPE pour le hx4700 ==== | hx4700

482 Mot inconnu : hx4700 => ==== Création d'une Image Ångström Gnome pour le hx4700 ==== | hx4700

484 Mot inconnu : E17 => ==== Création d'une Image Ångström E17 pour le hx4700 ==== | e17
484 Mot inconnu : hx4700 => ==== Création d'une Image Ångström E17 pour le hx4700 ==== | hx4700

487 Mot inconnu : hx4700 => ==== Création d'une Image Ångström Ubuntu pour le hx4700 ==== | hx4700
