
5 Mot inconnu : LAMP => ====== Serveur LAMP - Créer un/des répertoires de travail ====== | lamp
81 Guillemets typographiques ouvrants. => Ce //VirtualHost// ne possède pas de directive ''ServerName'' ou ''ServerAlias''. Il sera donc utilisé par défaut pour les requêtes sur le port 80 si aucun autre //VirtualHost// ne correspond exactement au nom de domaine appelé. Pour qu'il soit pris en compte il faut par contre désactiver l'hôte virtuel par défaut d'Apache, qui arrive en priorité en suivant l'alphabet : | '' => suggestions : ['«\xa0', '“']
81 Mot inconnu : ServerAlias => Ce //VirtualHost// ne possède pas de directive ''ServerName'' ou ''ServerAlias''. Il sera donc utilisé par défaut pour les requêtes sur le port 80 si aucun autre //VirtualHost// ne correspond exactement au nom de domaine appelé. Pour qu'il soit pris en compte il faut par contre désactiver l'hôte virtuel par défaut d'Apache, qui arrive en priorité en suivant l'alphabet : | serveralias
81 Guillemets typographiques fermants. => Ce //VirtualHost// ne possède pas de directive ''ServerName'' ou ''ServerAlias''. Il sera donc utilisé par défaut pour les requêtes sur le port 80 si aucun autre //VirtualHost// ne correspond exactement au nom de domaine appelé. Pour qu'il soit pris en compte il faut par contre désactiver l'hôte virtuel par défaut d'Apache, qui arrive en priorité en suivant l'alphabet : | '' => suggestions : ['\xa0»', '”']
81 Mot inconnu : VirtualHost => Ce //VirtualHost// ne possède pas de directive ''ServerName'' ou ''ServerAlias''. Il sera donc utilisé par défaut pour les requêtes sur le port 80 si aucun autre //VirtualHost// ne correspond exactement au nom de domaine appelé. Pour qu'il soit pris en compte il faut par contre désactiver l'hôte virtuel par défaut d'Apache, qui arrive en priorité en suivant l'alphabet : | virtualhost

98 Mot inconnu : chmod => chmod 750 /var/www/private</code> | chmod

100 Guillemets typographiques ouvrants. => Pour cet exemple nous n'allons pas créer de fichier index, mais seulement un fichier ''test.txt'' : | '' => suggestions : ['«\xa0', '“']
100 Mot inconnu : txt => Pour cet exemple nous n'allons pas créer de fichier index, mais seulement un fichier ''test.txt'' : | txt
100 Guillemets typographiques fermants. => Pour cet exemple nous n'allons pas créer de fichier index, mais seulement un fichier ''test.txt'' : | '' => suggestions : ['\xa0»', '”']

112 Mot inconnu : ServerName => 	ServerName private.localhost | servername
112 Mot inconnu : private => 	ServerName private.localhost | private
112 Mot inconnu : localhost => 	ServerName private.localhost | localhost

113 Mot inconnu : DocumentRoot => 	DocumentRoot "/var/www/private" | documentroot

115 Mot inconnu : FollowSymLinks => 		Options +FollowSymLinks +Indexes | followsymlinks

116 Mot inconnu : AllowOverride => 		AllowOverride all | allowoverride
116 Mot inconnu : all => 		AllowOverride all | all

117 Mot inconnu : Require => 		Require ip ::1 127.0.0.1 192.168 | require
117 Mot inconnu : ip => 		Require ip ::1 127.0.0.1 192.168 | ip
117 Une de ces ponctuations est superflue. => 		Require ip ::1 127.0.0.1 192.168 | :: => suggestions : [':', ':']
117 Grands nombres : utilisez des espaces insécables plutôt que des points. => 		Require ip ::1 127.0.0.1 192.168 | 192.168 => suggestions : ['192\xa0168']

119 Mot inconnu : ErrorLog => 	ErrorLog /var/log/apache2/error.private.log | errorlog

120 Mot inconnu : CustomLog => 	CustomLog /var/log/apache2/access.private.log combined | customlog
120 Mot inconnu : combined => 	CustomLog /var/log/apache2/access.private.log combined | combined

127 Mot inconnu : sudo => sudo systemctl restart apache2</code> | sudo
127 Mot inconnu : systemctl => sudo systemctl restart apache2</code> | systemctl
127 Mot inconnu : restart => sudo systemctl restart apache2</code> | restart
127 Mot inconnu : apache2 => sudo systemctl restart apache2</code> | apache2

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cet hôte virtuel ne sera appelé que pour le nom de domaine ''private.localhost'', tel que défini par la directive ''ServerName''. |    => suggestions : ['']
131 Guillemets typographiques ouvrants. =>   * Cet hôte virtuel ne sera appelé que pour le nom de domaine ''private.localhost'', tel que défini par la directive ''ServerName''. | '' => suggestions : ['«\xa0', '“']
131 Mot inconnu : private =>   * Cet hôte virtuel ne sera appelé que pour le nom de domaine ''private.localhost'', tel que défini par la directive ''ServerName''. | private
131 Mot inconnu : localhost =>   * Cet hôte virtuel ne sera appelé que pour le nom de domaine ''private.localhost'', tel que défini par la directive ''ServerName''. | localhost
131 Guillemets typographiques fermants. =>   * Cet hôte virtuel ne sera appelé que pour le nom de domaine ''private.localhost'', tel que défini par la directive ''ServerName''. | '' => suggestions : ['\xa0»', '”']
131 Guillemets typographiques ouvrants. =>   * Cet hôte virtuel ne sera appelé que pour le nom de domaine ''private.localhost'', tel que défini par la directive ''ServerName''. | '' => suggestions : ['«\xa0', '“']
131 Mot inconnu : ServerName =>   * Cet hôte virtuel ne sera appelé que pour le nom de domaine ''private.localhost'', tel que défini par la directive ''ServerName''. | servername
131 Guillemets typographiques fermants. =>   * Cet hôte virtuel ne sera appelé que pour le nom de domaine ''private.localhost'', tel que défini par la directive ''ServerName''. | '' => suggestions : ['\xa0»', '”']

133 Guillemets typographiques ouvrants. => L'espace privé sera alors accessible depuis cette machine à l'adresse [[http://private.localhost/]] et listera les fichiers présents dans le répertoire ''/var/www/private'', en l'occurrence notre fichier ''test.txt''. | '' => suggestions : ['«\xa0', '“']
133 Mot inconnu : txt => L'espace privé sera alors accessible depuis cette machine à l'adresse [[http://private.localhost/]] et listera les fichiers présents dans le répertoire ''/var/www/private'', en l'occurrence notre fichier ''test.txt''. | txt
133 Guillemets typographiques fermants. => L'espace privé sera alors accessible depuis cette machine à l'adresse [[http://private.localhost/]] et listera les fichiers présents dans le répertoire ''/var/www/private'', en l'occurrence notre fichier ''test.txt''. | '' => suggestions : ['\xa0»', '”']
