
3 Mot inconnu : Konica => ====== Konica Minolta Bizhub C284 avec authentification par code ====== <|> konica
44 Mot inconnu : Printer =>   * Cliquer sur le bouton //Ajouter une imprimante (Add Printer)//. <|> printer
50 Guillemets typographiques ouvrants. =>   * Toujours dans "Options Installed" de la page affichée par votre navigateur Internet, dans "Paper Source Unit", sélectionner //PC-110// et dans "Finisher", sélectionner //FS-533//. <|> " => suggestions : ['«\xa0', '“']
50 Mot inconnu : Installed =>   * Toujours dans "Options Installed" de la page affichée par votre navigateur Internet, dans "Paper Source Unit", sélectionner //PC-110// et dans "Finisher", sélectionner //FS-533//. <|> installed
50 Guillemets typographiques fermants. =>   * Toujours dans "Options Installed" de la page affichée par votre navigateur Internet, dans "Paper Source Unit", sélectionner //PC-110// et dans "Finisher", sélectionner //FS-533//. <|> " => suggestions : ['\xa0»', '”']
50 Guillemets typographiques ouvrants. =>   * Toujours dans "Options Installed" de la page affichée par votre navigateur Internet, dans "Paper Source Unit", sélectionner //PC-110// et dans "Finisher", sélectionner //FS-533//. <|> " => suggestions : ['«\xa0', '“']
50 Mot inconnu : Paper =>   * Toujours dans "Options Installed" de la page affichée par votre navigateur Internet, dans "Paper Source Unit", sélectionner //PC-110// et dans "Finisher", sélectionner //FS-533//. <|> paper
50 Guillemets typographiques fermants. =>   * Toujours dans "Options Installed" de la page affichée par votre navigateur Internet, dans "Paper Source Unit", sélectionner //PC-110// et dans "Finisher", sélectionner //FS-533//. <|> " => suggestions : ['\xa0»', '”']
50 Guillemets typographiques ouvrants. =>   * Toujours dans "Options Installed" de la page affichée par votre navigateur Internet, dans "Paper Source Unit", sélectionner //PC-110// et dans "Finisher", sélectionner //FS-533//. <|> " => suggestions : ['«\xa0', '“']
50 Mot inconnu : Finisher =>   * Toujours dans "Options Installed" de la page affichée par votre navigateur Internet, dans "Paper Source Unit", sélectionner //PC-110// et dans "Finisher", sélectionner //FS-533//. <|> finisher
50 Guillemets typographiques fermants. =>   * Toujours dans "Options Installed" de la page affichée par votre navigateur Internet, dans "Paper Source Unit", sélectionner //PC-110// et dans "Finisher", sélectionner //FS-533//. <|> " => suggestions : ['\xa0»', '”']
52 Mot inconnu : Default =>   * cliquer sur //Définir les options par défaut (Set Default Options)//. <|> default
57 Guillemets typographiques ouvrants. =>   * Cliquer ensuite dans le menu déroulant à droite de "Maintenance" et sélectionner //Définir les Options de l'imprimante (ou "Set default Options")//, puis cliquer sur le lien "Account Track" en haut à droite de la page affichée par votre navigateur Internet, puis : <|> " => suggestions : ['«\xa0', '“']
57 Guillemets typographiques fermants. =>   * Cliquer ensuite dans le menu déroulant à droite de "Maintenance" et sélectionner //Définir les Options de l'imprimante (ou "Set default Options")//, puis cliquer sur le lien "Account Track" en haut à droite de la page affichée par votre navigateur Internet, puis : <|> " => suggestions : ['\xa0»', '”']
57 Guillemets typographiques ouvrants. =>   * Cliquer ensuite dans le menu déroulant à droite de "Maintenance" et sélectionner //Définir les Options de l'imprimante (ou "Set default Options")//, puis cliquer sur le lien "Account Track" en haut à droite de la page affichée par votre navigateur Internet, puis : <|> " => suggestions : ['«\xa0', '“']
57 Mot inconnu : default =>   * Cliquer ensuite dans le menu déroulant à droite de "Maintenance" et sélectionner //Définir les Options de l'imprimante (ou "Set default Options")//, puis cliquer sur le lien "Account Track" en haut à droite de la page affichée par votre navigateur Internet, puis : <|> default
57 Guillemets typographiques fermants. =>   * Cliquer ensuite dans le menu déroulant à droite de "Maintenance" et sélectionner //Définir les Options de l'imprimante (ou "Set default Options")//, puis cliquer sur le lien "Account Track" en haut à droite de la page affichée par votre navigateur Internet, puis : <|> " => suggestions : ['\xa0»', '”']
57 Guillemets typographiques ouvrants. =>   * Cliquer ensuite dans le menu déroulant à droite de "Maintenance" et sélectionner //Définir les Options de l'imprimante (ou "Set default Options")//, puis cliquer sur le lien "Account Track" en haut à droite de la page affichée par votre navigateur Internet, puis : <|> " => suggestions : ['«\xa0', '“']
57 Mot inconnu : Account =>   * Cliquer ensuite dans le menu déroulant à droite de "Maintenance" et sélectionner //Définir les Options de l'imprimante (ou "Set default Options")//, puis cliquer sur le lien "Account Track" en haut à droite de la page affichée par votre navigateur Internet, puis : <|> account
57 Mot inconnu : Track =>   * Cliquer ensuite dans le menu déroulant à droite de "Maintenance" et sélectionner //Définir les Options de l'imprimante (ou "Set default Options")//, puis cliquer sur le lien "Account Track" en haut à droite de la page affichée par votre navigateur Internet, puis : <|> track
57 Guillemets typographiques fermants. =>   * Cliquer ensuite dans le menu déroulant à droite de "Maintenance" et sélectionner //Définir les Options de l'imprimante (ou "Set default Options")//, puis cliquer sur le lien "Account Track" en haut à droite de la page affichée par votre navigateur Internet, puis : <|> " => suggestions : ['\xa0»', '”']
59 Accord de nombre erroné : « champs » est au pluriel. =>   * Ne rien changer dans le champs "Departement Code" (laisser la valeur "None"). <|> le => suggestions : ['les']
59 Accord de nombre erroné : « champs » devrait être au singulier. =>   * Ne rien changer dans le champs "Departement Code" (laisser la valeur "None"). <|> champs => suggestions : ['champ']
59 Guillemets typographiques ouvrants. =>   * Ne rien changer dans le champs "Departement Code" (laisser la valeur "None"). <|> " => suggestions : ['«\xa0', '“']
59 Mot inconnu : Departement =>   * Ne rien changer dans le champs "Departement Code" (laisser la valeur "None"). <|> departement
59 Guillemets typographiques fermants. =>   * Ne rien changer dans le champs "Departement Code" (laisser la valeur "None"). <|> " => suggestions : ['\xa0»', '”']
59 Guillemets typographiques ouvrants. =>   * Ne rien changer dans le champs "Departement Code" (laisser la valeur "None"). <|> " => suggestions : ['«\xa0', '“']
59 Guillemets typographiques fermants. =>   * Ne rien changer dans le champs "Departement Code" (laisser la valeur "None"). <|> " => suggestions : ['\xa0»', '”']
60 Accord de nombre erroné : « champs » est au pluriel. =>   * Sélectionner dans le champs "Password" la valeur //Custom//, <|> le => suggestions : ['les']
60 Accord de nombre erroné : « champs » devrait être au singulier. =>   * Sélectionner dans le champs "Password" la valeur //Custom//, <|> champs => suggestions : ['champ']
60 Guillemets typographiques ouvrants. =>   * Sélectionner dans le champs "Password" la valeur //Custom//, <|> " => suggestions : ['«\xa0', '“']
60 Mot inconnu : Password =>   * Sélectionner dans le champs "Password" la valeur //Custom//, <|> password
60 Guillemets typographiques fermants. =>   * Sélectionner dans le champs "Password" la valeur //Custom//, <|> " => suggestions : ['\xa0»', '”']
61 Accord de nombre erroné : « champs » est au pluriel. =>   * Puis dans le champs "Key", entrer les 4 numéros que l'administrateur de l'imprimante vous a attribué pour utiliser les imprimantes mutualisées. <|> le => suggestions : ['les']
61 Accord de nombre erroné : « champs » devrait être au singulier. =>   * Puis dans le champs "Key", entrer les 4 numéros que l'administrateur de l'imprimante vous a attribué pour utiliser les imprimantes mutualisées. <|> champs => suggestions : ['champ']
61 Guillemets typographiques ouvrants. =>   * Puis dans le champs "Key", entrer les 4 numéros que l'administrateur de l'imprimante vous a attribué pour utiliser les imprimantes mutualisées. <|> " => suggestions : ['«\xa0', '“']
61 Mot inconnu : Key =>   * Puis dans le champs "Key", entrer les 4 numéros que l'administrateur de l'imprimante vous a attribué pour utiliser les imprimantes mutualisées. <|> key
61 Guillemets typographiques fermants. =>   * Puis dans le champs "Key", entrer les 4 numéros que l'administrateur de l'imprimante vous a attribué pour utiliser les imprimantes mutualisées. <|> " => suggestions : ['\xa0»', '”']
62 Mot inconnu : Default =>   * Cliquer sur le bouton //Définir les options par défaut (Set Default Options)//. <|> default

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <|>   => suggestions : ['']
68 Guillemets typographiques ouvrants. => Note : Ce pilote ne fournit aucun menu "Account Track" permettant de rentrer des codes d'identification dans les propriétés de l'imprimante mais seulement dans l'interface navigateur "Web" de CUPS (%%http://localhost:631/admin%%), comme indiqué dans la documentation. <|> " => suggestions : ['«\xa0', '“']
68 Mot inconnu : Account => Note : Ce pilote ne fournit aucun menu "Account Track" permettant de rentrer des codes d'identification dans les propriétés de l'imprimante mais seulement dans l'interface navigateur "Web" de CUPS (%%http://localhost:631/admin%%), comme indiqué dans la documentation. <|> account
68 Mot inconnu : Track => Note : Ce pilote ne fournit aucun menu "Account Track" permettant de rentrer des codes d'identification dans les propriétés de l'imprimante mais seulement dans l'interface navigateur "Web" de CUPS (%%http://localhost:631/admin%%), comme indiqué dans la documentation. <|> track
68 Guillemets typographiques fermants. => Note : Ce pilote ne fournit aucun menu "Account Track" permettant de rentrer des codes d'identification dans les propriétés de l'imprimante mais seulement dans l'interface navigateur "Web" de CUPS (%%http://localhost:631/admin%%), comme indiqué dans la documentation. <|> " => suggestions : ['\xa0»', '”']
68 Guillemets typographiques ouvrants. => Note : Ce pilote ne fournit aucun menu "Account Track" permettant de rentrer des codes d'identification dans les propriétés de l'imprimante mais seulement dans l'interface navigateur "Web" de CUPS (%%http://localhost:631/admin%%), comme indiqué dans la documentation. <|> " => suggestions : ['«\xa0', '“']
68 Guillemets typographiques fermants. => Note : Ce pilote ne fournit aucun menu "Account Track" permettant de rentrer des codes d'identification dans les propriétés de l'imprimante mais seulement dans l'interface navigateur "Web" de CUPS (%%http://localhost:631/admin%%), comme indiqué dans la documentation. <|> " => suggestions : ['\xa0»', '”']
68 Mot inconnu : CUPS => Note : Ce pilote ne fournit aucun menu "Account Track" permettant de rentrer des codes d'identification dans les propriétés de l'imprimante mais seulement dans l'interface navigateur "Web" de CUPS (%%http://localhost:631/admin%%), comme indiqué dans la documentation. <|> cups
68 Il manque un espace. => Note : Ce pilote ne fournit aucun menu "Account Track" permettant de rentrer des codes d'identification dans les propriétés de l'imprimante mais seulement dans l'interface navigateur "Web" de CUPS (%%http://localhost:631/admin%%), comme indiqué dans la documentation. <|> http: => suggestions : [' __URL']
74 Mot inconnu : installer_imprimante_konica =>   * [[tutoriel/installer_imprimante_konica|Installation d'une imprimante Konica]] <|> installer_imprimante_konica
74 Mot inconnu : Konica =>   * [[tutoriel/installer_imprimante_konica|Installation d'une imprimante Konica]] <|> konica
78 Mot inconnu : FIXME => Contributeurs: FIXME <|> fixme
