
4 Mot inconnu : linux => ====== Les commandes de base en console linux ====== <|> linux
26 Mot inconnu : NomDuFichier => user@mulet:/srv $ mv /home/user/MonFichier '/home/user/Nouveau NomDuFichier' <|> nomdufichier
26 Guillemets typographiques fermants. => user@mulet:/srv $ mv /home/user/MonFichier '/home/user/Nouveau NomDuFichier' <|> ' => suggestions : ['”', '’', '›']

31 Typographie : un ou trois points ? => Les caractères spéciaux **~**,  **.** et **..** correspondent respectivement au répertoire personnel de l'utilisateur, au répertoire courant et au répertoire parent. Ils permettent tous les trois de simplifier l'expression de références absolues. \\ <|> .. => suggestions : ['…', '.']

32 Mot inconnu : UnRep => Ainsi pour déplacer le fichier **/UnRep/MonFichier** respectivement dans le répertoire de l'utilisateur (/home/user), le répertoire courant (/rep1/sousrep2) ou le sous-répertoire toto du répertoire parent (/rep1/toto), on pourra utiliser les commandes ci-dessous : <|> unrep
32 Mot inconnu : MonFichier => Ainsi pour déplacer le fichier **/UnRep/MonFichier** respectivement dans le répertoire de l'utilisateur (/home/user), le répertoire courant (/rep1/sousrep2) ou le sous-répertoire toto du répertoire parent (/rep1/toto), on pourra utiliser les commandes ci-dessous : <|> monfichier
32 Mot inconnu : rep1 => Ainsi pour déplacer le fichier **/UnRep/MonFichier** respectivement dans le répertoire de l'utilisateur (/home/user), le répertoire courant (/rep1/sousrep2) ou le sous-répertoire toto du répertoire parent (/rep1/toto), on pourra utiliser les commandes ci-dessous : <|> rep1
32 Mot inconnu : sousrep2 => Ainsi pour déplacer le fichier **/UnRep/MonFichier** respectivement dans le répertoire de l'utilisateur (/home/user), le répertoire courant (/rep1/sousrep2) ou le sous-répertoire toto du répertoire parent (/rep1/toto), on pourra utiliser les commandes ci-dessous : <|> sousrep2
32 Mot inconnu : rep1 => Ainsi pour déplacer le fichier **/UnRep/MonFichier** respectivement dans le répertoire de l'utilisateur (/home/user), le répertoire courant (/rep1/sousrep2) ou le sous-répertoire toto du répertoire parent (/rep1/toto), on pourra utiliser les commandes ci-dessous : <|> rep1

34 Mot inconnu : rep1 => user@mulet:/rep1/sousrep2 $ mv /UnRep/MonFichier ~ <|> rep1
34 Mot inconnu : sousrep2 => user@mulet:/rep1/sousrep2 $ mv /UnRep/MonFichier ~ <|> sousrep2
34 Mot inconnu : mv => user@mulet:/rep1/sousrep2 $ mv /UnRep/MonFichier ~ <|> mv
34 Mot inconnu : UnRep => user@mulet:/rep1/sousrep2 $ mv /UnRep/MonFichier ~ <|> unrep
34 Mot inconnu : MonFichier => user@mulet:/rep1/sousrep2 $ mv /UnRep/MonFichier ~ <|> monfichier

37 Mot inconnu : rep1 => user@mulet:/rep1/sousrep2 $ mv /UnRep/MonFichier . <|> rep1
37 Mot inconnu : sousrep2 => user@mulet:/rep1/sousrep2 $ mv /UnRep/MonFichier . <|> sousrep2
37 Mot inconnu : mv => user@mulet:/rep1/sousrep2 $ mv /UnRep/MonFichier . <|> mv
37 Mot inconnu : UnRep => user@mulet:/rep1/sousrep2 $ mv /UnRep/MonFichier . <|> unrep
37 Mot inconnu : MonFichier => user@mulet:/rep1/sousrep2 $ mv /UnRep/MonFichier . <|> monfichier

40 Mot inconnu : rep1 => user@mulet:/rep1/sousrep2 $ mv /UnRep/MonFichier ../toto/ <|> rep1
40 Mot inconnu : sousrep2 => user@mulet:/rep1/sousrep2 $ mv /UnRep/MonFichier ../toto/ <|> sousrep2
40 Mot inconnu : mv => user@mulet:/rep1/sousrep2 $ mv /UnRep/MonFichier ../toto/ <|> mv
40 Mot inconnu : UnRep => user@mulet:/rep1/sousrep2 $ mv /UnRep/MonFichier ../toto/ <|> unrep
40 Mot inconnu : MonFichier => user@mulet:/rep1/sousrep2 $ mv /UnRep/MonFichier ../toto/ <|> monfichier
40 Typographie : un ou trois points ? => user@mulet:/rep1/sousrep2 $ mv /UnRep/MonFichier ../toto/ <|> .. => suggestions : ['…', '.']
50 Mot inconnu : help =>   * Équivalent Windows : help <|> help
51 Mot inconnu : manual =>   * Signification : //manual// <|> manual
56 Guillemets typographiques ouvrants. =>   * 'q' pour quitter. <|> ' => suggestions : ['“', '‘', '‹']
56 Guillemets typographiques fermants. =>   * 'q' pour quitter. <|> ' => suggestions : ['”', '’', '›']

59 Mot inconnu : ls => ==== ls ==== <|> ls
60 Mot inconnu : dir =>   * Équivalent Windows : dir <|> dir
61 Mot inconnu : list =>   * Signification : //list// <|> list

76 Mot inconnu : dir => Il existe également une commande **dir** quasi identique à la commande **ls**. Elle s'utilise de la même façon, avec les mêmes options, et les pages man (manuel) les 2 commandes sont d'ailleurs identiques. <|> dir
76 Mot inconnu : ls => Il existe également une commande **dir** quasi identique à la commande **ls**. Elle s'utilise de la même façon, avec les mêmes options, et les pages man (manuel) les 2 commandes sont d'ailleurs identiques. <|> ls

77 Mot inconnu : dir => Seul l'affichage par défaut de la sortie est différent avec **dir** :  <|> dir
78 Mot inconnu : color =>   * par défaut la sortie n'est pas en couleur (il faut utiliser l'option **%%--color%%** pour obtenir une sortie en couleur avec dir) ; <|> color
78 Mot inconnu : dir =>   * par défaut la sortie n'est pas en couleur (il faut utiliser l'option **%%--color%%** pour obtenir une sortie en couleur avec dir) ; <|> dir
79 Mot inconnu : backslash =>   * les caractères spéciaux tels que les espaces dans les noms des fichiers et dossiers sont précédés d'un caractère \ (backslash). <|> backslash

80 Mot inconnu : ls => La commande << **ls -C -b** >> produira une sortie identique à la commande **dir** employée sans options. <|> ls
80 Il manque un espace à côté du tiret. => La commande << **ls -C -b** >> produira une sortie identique à la commande **dir** employée sans options. <|>  - => suggestions : [' – ', ' — ']
80 Mot inconnu : dir => La commande << **ls -C -b** >> produira une sortie identique à la commande **dir** employée sans options. <|> dir
84 Mot inconnu : directory =>   * Signification : //change directory// <|> directory

93 Mot inconnu : mv => ==== mv ==== <|> mv
94 Mot inconnu : move =>   * Équivalent Windows : move / ren <|> move
94 Mot inconnu : ren =>   * Équivalent Windows : move / ren <|> ren
95 Mot inconnu : move =>   * Signification : //move// <|> move

106 Mot inconnu : cp => ==== cp ==== <|> cp
107 Mot inconnu : copy =>   * Équivalent Windows : copy / xcopy <|> copy
107 Mot inconnu : xcopy =>   * Équivalent Windows : copy / xcopy <|> xcopy
108 Mot inconnu : copy =>   * Signification : //copy// <|> copy

122 Mot inconnu : rm => ==== rm ==== <|> rm
125 Mot inconnu : del =>   * Équivalent Windows : del / erase <|> del
125 Mot inconnu : erase =>   * Équivalent Windows : del / erase <|> erase
126 Mot inconnu : remove =>   * Signification : //remove// <|> remove

137 Mot inconnu : mkdir => ==== mkdir ==== <|> mkdir
138 Mot inconnu : mkdir =>   * Équivalent Windows : mkdir / md <|> mkdir
138 Mot inconnu : md =>   * Équivalent Windows : mkdir / md <|> md
139 Mot inconnu : make =>   * Signification : //make directory// <|> make
139 Mot inconnu : directory =>   * Signification : //make directory// <|> directory

146 Mot inconnu : rmdir => ==== rmdir ==== <|> rmdir
147 Mot inconnu : rmdir =>   * Équivalent Windows : rmdir / rd <|> rmdir
147 Mot inconnu : rd =>   * Équivalent Windows : rmdir / rd <|> rd
148 Mot inconnu : remove =>   * Signification : //remove directory// <|> remove
148 Mot inconnu : directory =>   * Signification : //remove directory// <|> directory
157 Pas d’espace après ce signe. =>   * La combinaison des touches [ Majuscules + M ] permet de classer en fonction de l'occupation de la mémoire.  <|> [  => suggestions : ['[']
157 Pas d’espace avant ce signe. =>   * La combinaison des touches [ Majuscules + M ] permet de classer en fonction de l'occupation de la mémoire.  <|>  ] => suggestions : [']']
158 Pas d’espace après ce signe. =>   * La combinaison des touches [ Majuscules + P ] classe en fonction de l'occupation du CPU. <|> [  => suggestions : ['[']
158 Pas d’espace avant ce signe. =>   * La combinaison des touches [ Majuscules + P ] classe en fonction de l'occupation du CPU. <|>  ] => suggestions : [']']
159 Pas d’espace après ce signe. =>   * La combinaison des touches [ Majuscules + W ] permet de conserver ces préférences <|> [  => suggestions : ['[']
159 Pas d’espace avant ce signe. =>   * La combinaison des touches [ Majuscules + W ] permet de conserver ces préférences <|>  ] => suggestions : [']']
160 Pas d’espace après ce signe. =>   * La touche [ k ] permet de tuer directement un processus en rentrant son PID <|> [  => suggestions : ['[']
160 Pas d’espace avant ce signe. =>   * La touche [ k ] permet de tuer directement un processus en rentrant son PID <|>  ] => suggestions : [']']
160 Mot inconnu : PID =>   * La touche [ k ] permet de tuer directement un processus en rentrant son PID <|> pid
161 Pas d’espace après ce signe. =>   * La touche [ q ] permet de quitter le programme <|> [  => suggestions : ['[']
161 Pas d’espace avant ce signe. =>   * La touche [ q ] permet de quitter le programme <|>  ] => suggestions : [']']
167 Guillemets typographiques ouvrants. =>   *  'q' pour quitter. <|> ' => suggestions : ['“', '‘', '‹']
167 Guillemets typographiques fermants. =>   *  'q' pour quitter. <|> ' => suggestions : ['”', '’', '›']

170 Mot inconnu : pwd => ==== pwd ==== <|> pwd
171 Mot inconnu : chdir =>   * Équivalent Windows : chdir <|> chdir
172 Mot inconnu : print =>   * Signification : //print working directory// <|> print
172 Mot inconnu : working =>   * Signification : //print working directory// <|> working
172 Mot inconnu : directory =>   * Signification : //print working directory// <|> directory
175 Mot inconnu : link =>   * Signification : //link// <|> link

187 Mot inconnu : find => ==== find ==== <|> find
188 Mot inconnu : find =>   * Équivalent Windows : find <|> find
189 Mot inconnu : find =>   * Signification : //find// <|> find
190 Typographie : points de suspension. Utilisez le caractère dédié. =>   * Permet de chercher des fichiers et éventuellement d'exécuter des commandes sur ceux-ci ; la recherche est //récursive// c'est-à-dire qu'elle concerne le répertoire de départ et toute sa descendance (sous-répertoires ainsi que toute leur descendance ...) <|> ... => suggestions : ['…']

228 Mot inconnu : grep => ==== grep ==== <|> grep
229 Mot inconnu : find =>   * Équivalent Windows : find <|> find
230 Mot inconnu : regular =>   * Signification : //global regular expression print// <|> regular
230 Mot inconnu : print =>   * Signification : //global regular expression print// <|> print

244 Mot inconnu : locate => ==== locate ==== <|> locate

245 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Son utilisation - très simple - est détaillée ici : <|>  -  => suggestions : [' – ', ' — ', ' − ']
245 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Son utilisation - très simple - est détaillée ici : <|>  -  => suggestions : [' – ', ' — ', ' − ']

248 Mot inconnu : cat => ==== cat ==== <|> cat
250 Mot inconnu : concatenate =>   * Signification : //concatenate// <|> concatenate

270 Mot inconnu : less => ==== less ==== <|> less
271 Mot inconnu : less =>   * Équivalent Windows : less <|> less
272 Mot inconnu : less =>   * Signification : //less// <|> less
273 Mot inconnu : vi =>   * Affiche un fichier en permettant la navigation, ainsi que certaines possibilités de vi (par ex: la recherche) <|> vi

285 Accord de genre erroné entre « informations » et « utilisateur ». => La commande **id** affiche les informations utilisateur et de groupe pour un utilisateur spécifié, ou si aucun utilisateur n'est spécifié, elle affiche les informations sur l'utilisateur courant <|> utilisateur => suggestions : ['utilisatrices']

293 Mot inconnu : chmod => ==== chmod ==== <|> chmod
294 Mot inconnu : cacls =>   * Équivalent Windows : cacls <|> cacls

319 Mot inconnu : chown => ==== chown ==== <|> chown
320 Mot inconnu : cacls =>   * Équivalent Windows : cacls <|> cacls
321 Mot inconnu : owner =>   * Signification : //change owner// <|> owner

329 Mot inconnu : chgrp => ==== chgrp ==== <|> chgrp

340 Mot inconnu : free => ==== free ==== <|> free
341 Mot inconnu : free =>   * Signification : //free// <|> free

355 Mot inconnu : mount => ==== mount ==== <|> mount
356 Mot inconnu : mount =>   * Signification : //mount// <|> mount

384 Mot inconnu : umount => ==== umount ==== <|> umount
385 Mot inconnu : unmout =>   * Signification : //unmout// <|> unmout

398 Mot inconnu : sudo => ==== sudo ==== <|> sudo
399 Mot inconnu : runas =>   * Équivalent Windows : runas <|> runas
400 Mot inconnu : substitute =>   * Signification : //substitute user do// <|> substitute
413 Mot inconnu : tasklist =>   * Équivalent Windows : tasklist <|> tasklist
414 Mot inconnu : processes =>   * Signification : //processes snapshot// <|> processes
414 Mot inconnu : snapshot =>   * Signification : //processes snapshot// <|> snapshot
425 Il manque un espace à côté du tiret. => Avec l'utilisation de grep une ligne supplémentaire apparaît contenant: //grep -E --color=auto tuxpaint// correspondant à l'action de la recherche avec grep, à ignorer. Si vous ne voulez pas que ça apparaisse: <code bash>ps aux | egrep '[t]uxpaint'</code> </note> <|>  - => suggestions : [' – ', ' — ']
425 Mot inconnu : color => Avec l'utilisation de grep une ligne supplémentaire apparaît contenant: //grep -E --color=auto tuxpaint// correspondant à l'action de la recherche avec grep, à ignorer. Si vous ne voulez pas que ça apparaisse: <code bash>ps aux | egrep '[t]uxpaint'</code> </note> <|> color
425 Mot inconnu : tuxpaint => Avec l'utilisation de grep une ligne supplémentaire apparaît contenant: //grep -E --color=auto tuxpaint// correspondant à l'action de la recherche avec grep, à ignorer. Si vous ne voulez pas que ça apparaisse: <code bash>ps aux | egrep '[t]uxpaint'</code> </note> <|> tuxpaint

427 Mot inconnu : kill => ==== kill / killall ==== <|> kill
428 Mot inconnu : taskkill =>   * Équivalent Windows : taskkill <|> taskkill
429 Mot inconnu : kill =>   * Signification : //kill// / //kill all// <|> kill
429 Mot inconnu : kill =>   * Signification : //kill// / //kill all// <|> kill
429 Mot inconnu : all =>   * Signification : //kill// / //kill all// <|> all
430 Mot inconnu : kill =>   * Permet d'envoyer un signal à un processus ; **kill** ne comprend que les PID (Process Identifier, numéro d'ordre du processus), **killall** quant à lui comprend le nom du processus. <|> kill
430 Mot inconnu : PID =>   * Permet d'envoyer un signal à un processus ; **kill** ne comprend que les PID (Process Identifier, numéro d'ordre du processus), **killall** quant à lui comprend le nom du processus. <|> pid
434 Mot inconnu : HUP =>   * Les signaux les plus courants sont : \\  **HUP** signal **1** : signal de fin d'exécution où le processus doit relire son fichier de configuration. \\  **TERM** signal **15** : Le signal Terminate indique à un processus qu'il doit s'arrêter. \\  **KILL** signal **9** :  Le signal Kill indique au système qu'il doit arrêter un processus qui ne répond plus. <|> hup
434 Mot inconnu : TERM =>   * Les signaux les plus courants sont : \\  **HUP** signal **1** : signal de fin d'exécution où le processus doit relire son fichier de configuration. \\  **TERM** signal **15** : Le signal Terminate indique à un processus qu'il doit s'arrêter. \\  **KILL** signal **9** :  Le signal Kill indique au système qu'il doit arrêter un processus qui ne répond plus. <|> term
434 Mot inconnu : Terminate =>   * Les signaux les plus courants sont : \\  **HUP** signal **1** : signal de fin d'exécution où le processus doit relire son fichier de configuration. \\  **TERM** signal **15** : Le signal Terminate indique à un processus qu'il doit s'arrêter. \\  **KILL** signal **9** :  Le signal Kill indique au système qu'il doit arrêter un processus qui ne répond plus. <|> terminate
434 Mot inconnu : KILL =>   * Les signaux les plus courants sont : \\  **HUP** signal **1** : signal de fin d'exécution où le processus doit relire son fichier de configuration. \\  **TERM** signal **15** : Le signal Terminate indique à un processus qu'il doit s'arrêter. \\  **KILL** signal **9** :  Le signal Kill indique au système qu'il doit arrêter un processus qui ne répond plus. <|> kill
434 Mot inconnu : Kill =>   * Les signaux les plus courants sont : \\  **HUP** signal **1** : signal de fin d'exécution où le processus doit relire son fichier de configuration. \\  **TERM** signal **15** : Le signal Terminate indique à un processus qu'il doit s'arrêter. \\  **KILL** signal **9** :  Le signal Kill indique au système qu'il doit arrêter un processus qui ne répond plus. <|> kill
444 Mot inconnu : diagnosticable =>   * Ça ne marche pas ? Deux possibilités, diagnosticable à l'aide de la commande **ps aux|grep nom_du_process** : <|> diagnosticable
444 Mot inconnu : grep =>   * Ça ne marche pas ? Deux possibilités, diagnosticable à l'aide de la commande **ps aux|grep nom_du_process** : <|> grep
444 Mot inconnu : nom_du_process =>   * Ça ne marche pas ? Deux possibilités, diagnosticable à l'aide de la commande **ps aux|grep nom_du_process** : <|> nom_du_process

447 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <|>   => suggestions : ['']

448 Mot inconnu : shutdown => ==== shutdown ==== <|> shutdown
449 Mot inconnu : shutdown =>   * Équivalent Windows : shutdown <|> shutdown
450 Mot inconnu : shutdown =>   * Signification : //shutdown// <|> shutdown
451 Mot inconnu : now =>   * Permet d'éteindre ou relancer la machine au bout d'un temps déterminé (requis : on peut mettre now pour éteindre immédiatement). Les nouvelles connexions seront bloquées quelques minutes avant l'extinction et les utilisateurs connectés sont prévenus à l'avance. <|> now
451 Pléonasme. =>   * Permet d'éteindre ou relancer la machine au bout d'un temps déterminé (requis : on peut mettre now pour éteindre immédiatement). Les nouvelles connexions seront bloquées quelques minutes avant l'extinction et les utilisateurs connectés sont prévenus à l'avance. <|> prévenus à l'avance => suggestions : ['prévenus']

464 Mot inconnu : shutdown => <note tip>Il semblerait que shutdown now ne fonctionne plus, ni sur Ubuntu, ni sur OpenBSD (du moins sur les miens). Cependant, la commande **shutdown -P now** fonctionne.</note> <|> shutdown
464 Mot inconnu : now => <note tip>Il semblerait que shutdown now ne fonctionne plus, ni sur Ubuntu, ni sur OpenBSD (du moins sur les miens). Cependant, la commande **shutdown -P now** fonctionne.</note> <|> now
464 Mot inconnu : shutdown => <note tip>Il semblerait que shutdown now ne fonctionne plus, ni sur Ubuntu, ni sur OpenBSD (du moins sur les miens). Cependant, la commande **shutdown -P now** fonctionne.</note> <|> shutdown
464 Il manque un espace à côté du tiret. => <note tip>Il semblerait que shutdown now ne fonctionne plus, ni sur Ubuntu, ni sur OpenBSD (du moins sur les miens). Cependant, la commande **shutdown -P now** fonctionne.</note> <|>  - => suggestions : [' – ', ' — ']
464 Mot inconnu : now => <note tip>Il semblerait que shutdown now ne fonctionne plus, ni sur Ubuntu, ni sur OpenBSD (du moins sur les miens). Cependant, la commande **shutdown -P now** fonctionne.</note> <|> now

466 Guillemets typographiques ouvrants. => <note tip>En effet, il suffit de remplacer "now" par "0" soit 0 minutes et le tour est joué.</note> <|> " => suggestions : ['«\xa0', '“']
466 Mot inconnu : now => <note tip>En effet, il suffit de remplacer "now" par "0" soit 0 minutes et le tour est joué.</note> <|> now
466 Guillemets typographiques fermants. => <note tip>En effet, il suffit de remplacer "now" par "0" soit 0 minutes et le tour est joué.</note> <|> " => suggestions : ['\xa0»', '”']
466 Guillemets typographiques ouvrants. => <note tip>En effet, il suffit de remplacer "now" par "0" soit 0 minutes et le tour est joué.</note> <|> " => suggestions : ['«\xa0', '“']
466 Guillemets typographiques fermants. => <note tip>En effet, il suffit de remplacer "now" par "0" soit 0 minutes et le tour est joué.</note> <|> " => suggestions : ['\xa0»', '”']

468 Mot inconnu : passwd => ==== passwd ==== <|> passwd
469 Mot inconnu : password =>   * Signification : //password// <|> password

476 Mot inconnu : groups => ==== groups ==== <|> groups
477 Mot inconnu : groups =>   * Signification : //groups// <|> groups

483 Mot inconnu : adduser => ==== adduser ==== <|> adduser
484 Mot inconnu : add =>   * Signification ​: //add user// <|> add

501 Mot inconnu : deluser => ==== deluser ==== <|> deluser
502 Mot inconnu : delete =>   * Signification : //delete user// <|> delete

512 Mot inconnu : usermod => ==== usermod ==== <|> usermod

523 Mot inconnu : df => ==== df ==== <|> df
524 Mot inconnu : disk =>   * Signification : //disk free// <|> disk
524 Mot inconnu : free =>   * Signification : //disk free// <|> free

537 Mot inconnu : fdisk => ==== fdisk ==== <|> fdisk
538 Mot inconnu : fdisk =>   * Équivalent Windows : fdisk <|> fdisk
539 Mot inconnu : disk =>   * Signification : //format disk// <|> disk
548 Mot inconnu : dir =>   * Équivalent Windows : dir <|> dir
549 Mot inconnu : disk =>   * Signification : //disk usage// <|> disk

562 Mot inconnu : uptime => ==== uptime ==== <|> uptime
563 Mot inconnu : uptime =>   * Signification : //uptime// <|> uptime

568 Mot inconnu : lspci => ==== lspci ==== <|> lspci
569 Mot inconnu : list =>   * Signification : //list peripheral component interconnect// <|> list
569 Mot inconnu : peripheral =>   * Signification : //list peripheral component interconnect// <|> peripheral
569 Mot inconnu : component =>   * Signification : //list peripheral component interconnect// <|> component
569 Mot inconnu : interconnect =>   * Signification : //list peripheral component interconnect// <|> interconnect
570 Mot inconnu : PCI =>   * Liste tous les périphériques PCI <|> pci

576 Mot inconnu : lsusb => ==== lsusb ==== <|> lsusb
577 Mot inconnu : list =>   * Signification : //list universal serial bus// <|> list
577 Mot inconnu : universal =>   * Signification : //list universal serial bus// <|> universal
577 Mot inconnu : serial =>   * Signification : //list universal serial bus// <|> serial

584 Mot inconnu : uname => ==== uname ==== <|> uname
585 Mot inconnu : unix =>   * Signification : //unix name// <|> unix
585 Mot inconnu : name =>   * Signification : //unix name// <|> name

598 Mot inconnu : apt-get => ==== apt-get ==== <|> apt-get
599 Mot inconnu : avanced =>   * Signification : //avanced package tool - get// <|> avanced
599 Mot inconnu : tool =>   * Signification : //avanced package tool - get// <|> tool
599 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * Signification : //avanced package tool - get// <|>  -  => suggestions : [' – ', ' — ', ' − ']
599 Mot inconnu : get =>   * Signification : //avanced package tool - get// <|> get

628 Mot inconnu : apt-cache => ==== apt-cache ====  <|> apt-cache
629 Mot inconnu : avanced =>   * Signification : //avanced package tool - cache// <|> avanced
629 Mot inconnu : tool =>   * Signification : //avanced package tool - cache// <|> tool
629 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * Signification : //avanced package tool - cache// <|>  -  => suggestions : [' – ', ' — ', ' − ']

657 Mot inconnu : systemctl => ==== systemctl ==== <|> systemctl
659 Mot inconnu : system =>   * Signification : //system control// <|> system
659 Mot inconnu : control =>   * Signification : //system control// <|> control
660 Mot inconnu : sc =>   * Équivalent Windows : net / sc <|> sc

692 Mot inconnu : Soualem =>   * Le site de Nadir Soualem très pédagogique dédié à Linux [[http://www.math-linux.com]], on y trouve des tutos très clairs, notamment[[http://www.math-linux.com/article.php3?id_article=22|une introduction à la console]] <|> soualem
693 Mot inconnu : systeme =>   * [[https://debian-facile.org/doc:systeme:commandes:gnu_linux|Les commandes GNU/Linux]] sur le Wiki de [[http://debian-facile.org/|Debian-Facile]] <|> systeme
693 Il manque un espace. =>   * [[https://debian-facile.org/doc:systeme:commandes:gnu_linux|Les commandes GNU/Linux]] sur le Wiki de [[http://debian-facile.org/|Debian-Facile]] <|> commandes => suggestions : [' commandes']
693 Mot inconnu : gnu_linux =>   * [[https://debian-facile.org/doc:systeme:commandes:gnu_linux|Les commandes GNU/Linux]] sur le Wiki de [[http://debian-facile.org/|Debian-Facile]] <|> gnu_linux
694 Mot inconnu : Barralis =>   * [[http://jp.barralis.com/linux-man/|Les pages de manuel en français sur le site de Jean-Philippe Barralis]] <|> barralis

703 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  --- //Contributeurs : [[utilisateurs:CyberSDF]]// <|>   => suggestions : ['']
