
5 Mot inconnu : NFS => ===== Un simple partage NFS ===== | nfs
32 Guillemets typographiques fermants. => Dans le terminal lancer « ifconfig », l'adresse est à la ligne « ''inet adr:'' », paragraphe « ''eth'' (ou enp2s0 ou enp3s0 ou enpxxxxx ) » si vous êtes connecté en Ethernet, « ''wlan''  ou "wlpxxx" » pour une connexion Wi-Fi. | " => suggestions : ['\xa0»', '”']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Serveur : **192.168.1.1** |    => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Client : **192.168.1.2** |    => suggestions : ['']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Soit directement d'[[http://forum.ubuntu-fr.org/viewtopic.php?pid=1152502#p1152502|Ubuntu]] . |    => suggestions : ['']

51 Espace(s) surnuméraire(s) à supprimer. => ^ Les machines        ^ IP locales              ^ Points de montage des fichiers                                ^ |          => suggestions : [' ']
51 Espace(s) surnuméraire(s) à supprimer. => ^ Les machines        ^ IP locales              ^ Points de montage des fichiers                                ^ |                => suggestions : [' ']
51 Espace(s) surnuméraire(s) à supprimer. => ^ Les machines        ^ IP locales              ^ Points de montage des fichiers                                ^ |                                  => suggestions : [' ']

52 Mot inconnu : alain-pc => | **alain-pc**         | **192.168.1.12**         | **/home/alain/partage**                          | | alain-pc

54 Mot inconnu : m-therese-pc => | **m-therese-pc**          |** 192.168.1.15**         | **/home/m-therese/partage**                              | | m-therese-pc

59 Mot inconnu : NFS => ==== Installer NFS ==== | nfs

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour Serveur, **[[apt>nfs-kernel-server]]** et **[[apt>nfs-common]]**. |    => suggestions : ['']
63 Mot inconnu : nfs-kernel-server =>   * Pour Serveur, **[[apt>nfs-kernel-server]]** et **[[apt>nfs-common]]**. | nfs-kernel-server
63 Mot inconnu : nfs-common =>   * Pour Serveur, **[[apt>nfs-kernel-server]]** et **[[apt>nfs-common]]**. | nfs-common

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour Client, seulement **[[apt>nfs-common]]**. |    => suggestions : ['']
64 Mot inconnu : nfs-common =>   * Pour Client, seulement **[[apt>nfs-common]]**. | nfs-common

65 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => =====Étape 1 - Serveur donne à Client le droit de lire et écrire sur ses fichiers===== |  -  => suggestions : [' – ', ' — ', ' − ']

72 Mot inconnu : Fichiers_à_partager_sur_Serveur => /Fichiers_à_partager_sur_Serveur/ 192.168.1.2(rw,all_squash,anonuid=1000,anongid=1000,sync) | fichiers_à_partager_sur_serveur
72 Il manque un espace avant la parenthèse. => /Fichiers_à_partager_sur_Serveur/ 192.168.1.2(rw,all_squash,anonuid=1000,anongid=1000,sync) | ( => suggestions : [' (']
72 Mot inconnu : rw => /Fichiers_à_partager_sur_Serveur/ 192.168.1.2(rw,all_squash,anonuid=1000,anongid=1000,sync) | rw
72 Il manque un espace. => /Fichiers_à_partager_sur_Serveur/ 192.168.1.2(rw,all_squash,anonuid=1000,anongid=1000,sync) | all_squash => suggestions : [' all_squash']
72 Mot inconnu : all_squash => /Fichiers_à_partager_sur_Serveur/ 192.168.1.2(rw,all_squash,anonuid=1000,anongid=1000,sync) | all_squash
72 Mot inconnu : anonuid => /Fichiers_à_partager_sur_Serveur/ 192.168.1.2(rw,all_squash,anonuid=1000,anongid=1000,sync) | anonuid
72 Mot inconnu : anongid => /Fichiers_à_partager_sur_Serveur/ 192.168.1.2(rw,all_squash,anonuid=1000,anongid=1000,sync) | anongid
72 Mot inconnu : sync => /Fichiers_à_partager_sur_Serveur/ 192.168.1.2(rw,all_squash,anonuid=1000,anongid=1000,sync) | sync

78 Mot inconnu : __Attention => __Attention : l'IP://192.168.1.2// est celle du client autorisé à recevoir le partage__ | __attention
78 Mot inconnu : partage__ => __Attention : l'IP://192.168.1.2// est celle du client autorisé à recevoir le partage__ | partage__

80 Espace(s) en fin de ligne à supprimer. => <note important>  |   => suggestions : ['']

83 Mot inconnu : rw => Pour ne donner l'accès qu'en lecture seule, il suffit de supprimer l'option **//rw//** de **///etc/exports//**. | rw

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /Fichiers_à_partager_sur_Serveur/ 192.168.0.0/255.255.0.0(rw,all_squash,anonuid=1000,anongid=1000,sync) |    => suggestions : ['']
87 Mot inconnu : Fichiers_à_partager_sur_Serveur =>   /Fichiers_à_partager_sur_Serveur/ 192.168.0.0/255.255.0.0(rw,all_squash,anonuid=1000,anongid=1000,sync) | fichiers_à_partager_sur_serveur
87 Il manque un espace avant la parenthèse. =>   /Fichiers_à_partager_sur_Serveur/ 192.168.0.0/255.255.0.0(rw,all_squash,anonuid=1000,anongid=1000,sync) | ( => suggestions : [' (']
87 Mot inconnu : rw =>   /Fichiers_à_partager_sur_Serveur/ 192.168.0.0/255.255.0.0(rw,all_squash,anonuid=1000,anongid=1000,sync) | rw
87 Il manque un espace. =>   /Fichiers_à_partager_sur_Serveur/ 192.168.0.0/255.255.0.0(rw,all_squash,anonuid=1000,anongid=1000,sync) | all_squash => suggestions : [' all_squash']
87 Mot inconnu : all_squash =>   /Fichiers_à_partager_sur_Serveur/ 192.168.0.0/255.255.0.0(rw,all_squash,anonuid=1000,anongid=1000,sync) | all_squash
87 Mot inconnu : anonuid =>   /Fichiers_à_partager_sur_Serveur/ 192.168.0.0/255.255.0.0(rw,all_squash,anonuid=1000,anongid=1000,sync) | anonuid
87 Mot inconnu : anongid =>   /Fichiers_à_partager_sur_Serveur/ 192.168.0.0/255.255.0.0(rw,all_squash,anonuid=1000,anongid=1000,sync) | anongid
87 Mot inconnu : sync =>   /Fichiers_à_partager_sur_Serveur/ 192.168.0.0/255.255.0.0(rw,all_squash,anonuid=1000,anongid=1000,sync) | sync

88 Espace(s) en fin de ligne à supprimer. => </note>   |    => suggestions : ['']

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

90 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => <note>A noter que pour avoir les accès complets (lecture et écriture) sur tous les postes du réseau, il faut que les utilisateurs possèdent le même uid (ici 1000). Un fichier créé avec un uid utilisateur 1001 sera en lecture seule pour tous les utilisateurs du réseau ayant un uid différent, y compris pour les administrateurs. | a => suggestions : ['À']
90 Mot inconnu : uid => <note>A noter que pour avoir les accès complets (lecture et écriture) sur tous les postes du réseau, il faut que les utilisateurs possèdent le même uid (ici 1000). Un fichier créé avec un uid utilisateur 1001 sera en lecture seule pour tous les utilisateurs du réseau ayant un uid différent, y compris pour les administrateurs. | uid
90 Mot inconnu : uid => <note>A noter que pour avoir les accès complets (lecture et écriture) sur tous les postes du réseau, il faut que les utilisateurs possèdent le même uid (ici 1000). Un fichier créé avec un uid utilisateur 1001 sera en lecture seule pour tous les utilisateurs du réseau ayant un uid différent, y compris pour les administrateurs. | uid
90 Mot inconnu : uid => <note>A noter que pour avoir les accès complets (lecture et écriture) sur tous les postes du réseau, il faut que les utilisateurs possèdent le même uid (ici 1000). Un fichier créé avec un uid utilisateur 1001 sera en lecture seule pour tous les utilisateurs du réseau ayant un uid différent, y compris pour les administrateurs. | uid

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ou en créant autant de lignes dans le fichier ///etc/exports// de Serveur que de dossiers à partager et en adaptant en conséquence la configuration de Client. |    => suggestions : ['']

99 Mot inconnu : NFS => Il faut ensuite démarrer le serveur NFS (toujours sur Serveur) : | nfs

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo /etc/init.d/nfs-kernel-server start |    => suggestions : ['']
101 Mot inconnu : sudo =>   sudo /etc/init.d/nfs-kernel-server start | sudo
101 Mot inconnu : start =>   sudo /etc/init.d/nfs-kernel-server start | start
104 Mot inconnu : NFS => Si vous modifiez le fichier « /etc/exports » n'oubliez pas de relancer le serveur NFS par la commande suivante : | nfs

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo /etc/init.d/nfs-kernel-server restart |    => suggestions : ['']
105 Mot inconnu : sudo =>   sudo /etc/init.d/nfs-kernel-server restart | sudo
105 Mot inconnu : restart =>   sudo /etc/init.d/nfs-kernel-server restart | restart

110 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => =====Étape 2 - Client se prépare à recevoir les fichiers de Serveurs===== |  -  => suggestions : [' – ', ' — ', ' − ']

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo mkdir /Point_de_montage_sur_Client |    => suggestions : ['']
115 Mot inconnu : sudo =>   sudo mkdir /Point_de_montage_sur_Client | sudo
115 Mot inconnu : mkdir =>   sudo mkdir /Point_de_montage_sur_Client | mkdir
115 Mot inconnu : Point_de_montage_sur_Client =>   sudo mkdir /Point_de_montage_sur_Client | point_de_montage_sur_client

120 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo mkdir /home/Nom_d'Utilisateur_sur_le_Client/Partage |    => suggestions : ['']
120 Mot inconnu : sudo =>   sudo mkdir /home/Nom_d'Utilisateur_sur_le_Client/Partage | sudo
120 Mot inconnu : mkdir =>   sudo mkdir /home/Nom_d'Utilisateur_sur_le_Client/Partage | mkdir
120 Guillemets typographiques ouvrants. =>   sudo mkdir /home/Nom_d'Utilisateur_sur_le_Client/Partage | ' => suggestions : ['“', '‘', '‹']
120 Mot inconnu : Utilisateur_sur_le_Client =>   sudo mkdir /home/Nom_d'Utilisateur_sur_le_Client/Partage | utilisateur_sur_le_client

134 Mot inconnu : fstab => Le fichier //fstab// est un fichier très important pour le bon fonctionnement de votre ordinateur. | fstab

140 Mot inconnu : Fichiers_à_partager_sur_Serveur => 192.168.1.1:/Fichiers_à_partager_sur_Serveur   /Point_de_montage_sur_Client   nfs    user,noauto    0   0 | fichiers_à_partager_sur_serveur
140 Espace(s) surnuméraire(s) à supprimer. => 192.168.1.1:/Fichiers_à_partager_sur_Serveur   /Point_de_montage_sur_Client   nfs    user,noauto    0   0 |     => suggestions : [' ']
140 Mot inconnu : Point_de_montage_sur_Client => 192.168.1.1:/Fichiers_à_partager_sur_Serveur   /Point_de_montage_sur_Client   nfs    user,noauto    0   0 | point_de_montage_sur_client
140 Espace(s) surnuméraire(s) à supprimer. => 192.168.1.1:/Fichiers_à_partager_sur_Serveur   /Point_de_montage_sur_Client   nfs    user,noauto    0   0 |     => suggestions : [' ']
140 Mot inconnu : nfs => 192.168.1.1:/Fichiers_à_partager_sur_Serveur   /Point_de_montage_sur_Client   nfs    user,noauto    0   0 | nfs
140 Espace(s) surnuméraire(s) à supprimer. => 192.168.1.1:/Fichiers_à_partager_sur_Serveur   /Point_de_montage_sur_Client   nfs    user,noauto    0   0 |      => suggestions : [' ']
140 Il manque un espace. => 192.168.1.1:/Fichiers_à_partager_sur_Serveur   /Point_de_montage_sur_Client   nfs    user,noauto    0   0 | noauto => suggestions : [' noauto']
140 Mot inconnu : noauto => 192.168.1.1:/Fichiers_à_partager_sur_Serveur   /Point_de_montage_sur_Client   nfs    user,noauto    0   0 | noauto
140 Espace(s) surnuméraire(s) à supprimer. => 192.168.1.1:/Fichiers_à_partager_sur_Serveur   /Point_de_montage_sur_Client   nfs    user,noauto    0   0 |      => suggestions : [' ']
140 Espace(s) surnuméraire(s) à supprimer. => 192.168.1.1:/Fichiers_à_partager_sur_Serveur   /Point_de_montage_sur_Client   nfs    user,noauto    0   0 |     => suggestions : [' ']

143 Mot inconnu : noauto => L'option **//noauto//** interdit le montage automatique. | noauto

151 Mot inconnu : noauto => Dans le cadre de ce tutoriel, les options **//noauto//** et **//user//** sont obligatoires pour l'automatisation du montage à l'ouverture de la session, telle que détaillée dans un prochain chapitre. | noauto
157 Espace(s) en fin de ligne à supprimer. => Pour les versions 12.04 et supérieure, pensez à bien écrire les chemins du point de montage exactement comme c'est indiqué (sans les / à la fin). Pour les versions antérieures, les deux syntaxes sont possibles:  |   => suggestions : ['']

159 Mot inconnu : Fichiers_à_partager_sur_Serveur => 192.168.1.1:/Fichiers_à_partager_sur_Serveur     /Point_de_montage_sur_Client | fichiers_à_partager_sur_serveur
159 Espace(s) surnuméraire(s) à supprimer. => 192.168.1.1:/Fichiers_à_partager_sur_Serveur     /Point_de_montage_sur_Client |       => suggestions : [' ']
159 Mot inconnu : Point_de_montage_sur_Client => 192.168.1.1:/Fichiers_à_partager_sur_Serveur     /Point_de_montage_sur_Client | point_de_montage_sur_client

164 Mot inconnu : Fichiers_à_partager_sur_Serveur => 192.168.1.1:/Fichiers_à_partager_sur_Serveur/    /Point_de_montage_sur_Client/ | fichiers_à_partager_sur_serveur
164 Mot inconnu : Point_de_montage_sur_Client => 192.168.1.1:/Fichiers_à_partager_sur_Serveur/    /Point_de_montage_sur_Client/ | point_de_montage_sur_client

168 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => =====Étape 3 - Serveur règle la sécurité du partage===== |  -  => suggestions : [' – ', ' — ', ' − ']

176 Espace(s) surnuméraire(s) à supprimer. => # Tout interdire sur  portmap, nfsd et mountd |    => suggestions : [' ']
176 Mot inconnu : portmap => # Tout interdire sur  portmap, nfsd et mountd | portmap
176 Mot inconnu : nfsd => # Tout interdire sur  portmap, nfsd et mountd | nfsd
176 Mot inconnu : mountd => # Tout interdire sur  portmap, nfsd et mountd | mountd

177 Mot inconnu : portmap => portmap:ALL | portmap
177 Il manque un espace. => portmap:ALL | all => suggestions : [' ALL']
177 Mot inconnu : ALL => portmap:ALL | all

178 Mot inconnu : nfsd => nfsd:ALL | nfsd
178 Il manque un espace. => nfsd:ALL | all => suggestions : [' ALL']
178 Mot inconnu : ALL => nfsd:ALL | all

179 Mot inconnu : mountd => mountd:ALL | mountd
179 Il manque un espace. => mountd:ALL | all => suggestions : [' ALL']
179 Mot inconnu : ALL => mountd:ALL | all
187 Mot inconnu : portmap => #Autoriser ce client à se connecter aux services (essentiellement : portmap, nfsd et mountd) : | portmap
187 Mot inconnu : nfsd => #Autoriser ce client à se connecter aux services (essentiellement : portmap, nfsd et mountd) : | nfsd
187 Mot inconnu : mountd => #Autoriser ce client à se connecter aux services (essentiellement : portmap, nfsd et mountd) : | mountd

188 Mot inconnu : portmap => portmap: 192.168.1.2 | portmap

189 Mot inconnu : lockd => lockd: 192.168.1.2 | lockd

190 Mot inconnu : nfsd => nfsd: 192.168.1.2 | nfsd

191 Mot inconnu : mountd => mountd: 192.168.1.2 | mountd

192 Mot inconnu : rquotad => rquotad: 192.168.1.2 | rquotad

193 Mot inconnu : statd => statd: 192.168.1.2 </file> | statd

197 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * En définissant une plage, par exemple : ''192.168.0.0/192.168.0.20'' |    => suggestions : ['']

198 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * En listant les IP locales autorisées (séparées par des espaces), comme par exemple : ''192.168.0.1 192.168.0.3 192.168.0.8'' |    => suggestions : ['']
198 Pléonasme. =>   * En listant les IP locales autorisées (séparées par des espaces), comme par exemple : ''192.168.0.1 192.168.0.3 192.168.0.8'' | comme par exemple => suggestions : ['comme', 'par exemple']

199 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ou encore en utilisant la syntaxe ''192.168.'' qui autorise toutes les machines dont l'IP locale commence par 192.168. à se connecter. |    => suggestions : ['']
199 Guillemets typographiques ouvrants. =>   * Ou encore en utilisant la syntaxe ''192.168.'' qui autorise toutes les machines dont l'IP locale commence par 192.168. à se connecter. | '' => suggestions : ['«\xa0', '“']
199 Grands nombres : utilisez des espaces insécables plutôt que des points. =>   * Ou encore en utilisant la syntaxe ''192.168.'' qui autorise toutes les machines dont l'IP locale commence par 192.168. à se connecter. | 192.168 => suggestions : ['192\xa0168']
199 Guillemets typographiques fermants. =>   * Ou encore en utilisant la syntaxe ''192.168.'' qui autorise toutes les machines dont l'IP locale commence par 192.168. à se connecter. | '' => suggestions : ['\xa0»', '”']
199 Grands nombres : utilisez des espaces insécables plutôt que des points. =>   * Ou encore en utilisant la syntaxe ''192.168.'' qui autorise toutes les machines dont l'IP locale commence par 192.168. à se connecter. | 192.168 => suggestions : ['192\xa0168']
202 Mot inconnu : debian => Remarque : certaines installations (debian squeeze par exemple) limitent les accès portmap en local. Pour modifier cette configuration : dpkg-reconfigure portmap | debian
202 Mot inconnu : portmap => Remarque : certaines installations (debian squeeze par exemple) limitent les accès portmap en local. Pour modifier cette configuration : dpkg-reconfigure portmap | portmap
202 Mot inconnu : dpkg-reconfigure => Remarque : certaines installations (debian squeeze par exemple) limitent les accès portmap en local. Pour modifier cette configuration : dpkg-reconfigure portmap | dpkg-reconfigure
202 Mot inconnu : portmap => Remarque : certaines installations (debian squeeze par exemple) limitent les accès portmap en local. Pour modifier cette configuration : dpkg-reconfigure portmap | portmap

204 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => =====Étape 4 - Client automatise l'accès aux fichiers de Serveurs===== |  -  => suggestions : [' – ', ' — ', ' − ']

207 Mot inconnu : Point_de_montage_sur_Client => Pour que le montage de ///Point_de_montage_sur_Client// fonctionne, il faut bien sûr que Serveur soit allumé et que Client et Serveur soient connectés. | point_de_montage_sur_client

215 Mot inconnu : sleep => sleep 15 | sleep

216 Mot inconnu : mount => mount /Point_de_montage_sur_Client | mount
216 Mot inconnu : Point_de_montage_sur_Client => mount /Point_de_montage_sur_Client | point_de_montage_sur_client

221 Mot inconnu : sudo => $ sudo chmod 755 /usr/bin/Monter_le_partage_NFS | sudo
221 Mot inconnu : chmod => $ sudo chmod 755 /usr/bin/Monter_le_partage_NFS | chmod

225 Mot inconnu : sleep => La commande **//sleep//** sert à retarder l'action, de manière à ce que la connexion de Client ait le temps de s'activer, ce qui peut être pertinent, en particulier dans le cas d'une connexion sans fil. | sleep

230 Mot inconnu : FIXME => FIXME Pour que le montage soit vraiment automatique il suffit d'ajouter la commande ''/usr/bin/Monter_le_partage_NFS'' aux programmes qui sont lancés automatiquement à l'ouverture de session. Ce qui se fait en mode graphique de manières différentes selon les versions d'Ubuntu. À chercher donc dans les préférences du système ou de la session de Client. | fixme

235 Mot inconnu : sudo => sudo leafpad /etc/xdg/lxsession/Lubuntu/autostart | sudo
235 Mot inconnu : leafpad => sudo leafpad /etc/xdg/lxsession/Lubuntu/autostart | leafpad

244 Mot inconnu : Xubuntu => ** Pour Xubuntu** | xubuntu

246 Accord de nombre erroné : « Gestionnaires » est au pluriel. => Allez dans le Gestionnaires de paramètres → Sytème / Session et démarrage → onglet Démarrage automatique → Ajouter | le => suggestions : ['les']
246 Accord de nombre erroné : « Gestionnaires » devrait être au singulier. => Allez dans le Gestionnaires de paramètres → Sytème / Session et démarrage → onglet Démarrage automatique → Ajouter | gestionnaires => suggestions : ['Gestionnaire']
246 Mot inconnu : Sytème => Allez dans le Gestionnaires de paramètres → Sytème / Session et démarrage → onglet Démarrage automatique → Ajouter | sytème

250 Mot inconnu : Ce_que_vous_voulez => . Nom = Ce_que_vous_voulez | ce_que_vous_voulez

253 Mot inconnu : ionnel => . Description = //optionnel// | ionnel

256 Mot inconnu : usr => . Commande = usr/bin/Monter_le_partage_NFS  | usr
256 Espace(s) en fin de ligne à supprimer. => . Commande = usr/bin/Monter_le_partage_NFS  |   => suggestions : ['']

279 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * N'ai-je pas oublié une majuscule ? |    => suggestions : ['']

280 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * N'y a-t-il pas eu échange de rôle entre Client et Serveur (//cause fréquente d'erreurs//) ? |    => suggestions : ['']

281 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ai-je bien mis tous les points des adresses IP ? |    => suggestions : ['']

282 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * N'ai-je pas échangé un 0 pour un 1 dans cette IP-là ? |    => suggestions : ['']

283 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ne manque-t-il pas une espace ici ? |    => suggestions : ['']

286 Mot inconnu : NFS => ==2. Relancer le serveur NFS de Serveur.== | nfs

290 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo service nfs-kernel-server restart |    => suggestions : ['']
290 Mot inconnu : sudo =>   sudo service nfs-kernel-server restart | sudo
290 Mot inconnu : nfs-kernel-server =>   sudo service nfs-kernel-server restart | nfs-kernel-server
290 Mot inconnu : restart =>   sudo service nfs-kernel-server restart | restart

295 Mot inconnu : exportfs => <file> exportfs: /etc/exports [1]: Neither 'subtree_check' or 'no_subtree_check' specified for export "192.168.1.2:/Fichiers_à_partager_sur_Serveur/ </file> | exportfs
295 Mot inconnu : Neither => <file> exportfs: /etc/exports [1]: Neither 'subtree_check' or 'no_subtree_check' specified for export "192.168.1.2:/Fichiers_à_partager_sur_Serveur/ </file> | neither
295 Guillemets typographiques ouvrants. => <file> exportfs: /etc/exports [1]: Neither 'subtree_check' or 'no_subtree_check' specified for export "192.168.1.2:/Fichiers_à_partager_sur_Serveur/ </file> | ' => suggestions : ['“', '‘', '‹']
295 Mot inconnu : subtree_check => <file> exportfs: /etc/exports [1]: Neither 'subtree_check' or 'no_subtree_check' specified for export "192.168.1.2:/Fichiers_à_partager_sur_Serveur/ </file> | subtree_check
295 Guillemets typographiques fermants. => <file> exportfs: /etc/exports [1]: Neither 'subtree_check' or 'no_subtree_check' specified for export "192.168.1.2:/Fichiers_à_partager_sur_Serveur/ </file> | ' => suggestions : ['”', '’', '›']
295 Guillemets typographiques ouvrants. => <file> exportfs: /etc/exports [1]: Neither 'subtree_check' or 'no_subtree_check' specified for export "192.168.1.2:/Fichiers_à_partager_sur_Serveur/ </file> | ' => suggestions : ['“', '‘', '‹']
