
11 Mot inconnu : Unity => ==== Sur Ubuntu (Unity) ==== <|> unity
67 Mot inconnu : halt => Il est possible de différer l'arrêt ou le redémarrage du système avec la commande **shutdown** selon différentes modalités. C'est l'option **-h** ou **-r** qui définit si l'on souhaite l'arrêt (-h pour halt) ou le redémarrage (-r pour reboot). <|> halt
67 Mot inconnu : reboot => Il est possible de différer l'arrêt ou le redémarrage du système avec la commande **shutdown** selon différentes modalités. C'est l'option **-h** ou **-r** qui définit si l'on souhaite l'arrêt (-h pour halt) ou le redémarrage (-r pour reboot). <|> reboot

71 Mot inconnu : hh => ou **hh:mm** représente l'heure et dans lequel **hh** est l'heure (1  ou  2  chiffres)  et  **mm**  la minute de l'heure (sur deux chiffres). <|> hh
71 Il manque un espace. => ou **hh:mm** représente l'heure et dans lequel **hh** est l'heure (1  ou  2  chiffres)  et  **mm**  la minute de l'heure (sur deux chiffres). <|> mm => suggestions : [' mm']
71 Mot inconnu : hh => ou **hh:mm** représente l'heure et dans lequel **hh** est l'heure (1  ou  2  chiffres)  et  **mm**  la minute de l'heure (sur deux chiffres). <|> hh

75 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => ou **+m** est le nombre de minutes à attendre. Le mot **now** est un synonyme pour +0. <|> ou => suggestions : ['Ou']
75 Mot inconnu : now => ou **+m** est le nombre de minutes à attendre. Le mot **now** est un synonyme pour +0. <|> now

77 Mot inconnu : shutdown => <note important>Beaucoup d'utilisateurs oublient de donner le paramètre **heure** à la commande **shutdown** et sont ensuite intrigués par le message d'erreur produit par shutdown. Le paramètre heure est obligatoire ; dans 90 % des cas, ce sera le mot **now**.</note> <|> shutdown
77 Mot inconnu : shutdown => <note important>Beaucoup d'utilisateurs oublient de donner le paramètre **heure** à la commande **shutdown** et sont ensuite intrigués par le message d'erreur produit par shutdown. Le paramètre heure est obligatoire ; dans 90 % des cas, ce sera le mot **now**.</note> <|> shutdown
77 Mot inconnu : now => <note important>Beaucoup d'utilisateurs oublient de donner le paramètre **heure** à la commande **shutdown** et sont ensuite intrigués par le message d'erreur produit par shutdown. Le paramètre heure est obligatoire ; dans 90 % des cas, ce sera le mot **now**.</note> <|> now

87 Accord de genre erroné : « une option » est féminin, « lié » est masculin. => Sur certains portables il est nécessaire de désactiver une option lié à l'USB3 dans le Bios pour que l'ordinateur s'éteigne correctement. <|> lié => suggestions : ['liée']
87 Mot inconnu : USB3 => Sur certains portables il est nécessaire de désactiver une option lié à l'USB3 dans le Bios pour que l'ordinateur s'éteigne correctement. <|> usb3
87 Accord de nombre erroné : « Bios » est au pluriel. => Sur certains portables il est nécessaire de désactiver une option lié à l'USB3 dans le Bios pour que l'ordinateur s'éteigne correctement. <|> le => suggestions : ['les']
87 Accord de nombre erroné : « Bios » devrait être au singulier. => Sur certains portables il est nécessaire de désactiver une option lié à l'USB3 dans le Bios pour que l'ordinateur s'éteigne correctement. <|> bios => suggestions : ['Bio']

91 Mot inconnu : ECHAP => Ou bien appuyez sur ECHAP au moment où ça bloque.\\ <|> echap

98 Mot inconnu : grub => Et pour terminer, éteindre, puis allumer l'ordinateur (le rajout à grub ne sera efficace qu'au prochain démarrage, inutile donc de vouloir redémarrer au risque de figer l'ordinateur). <|> grub
