
5 Mot inconnu : Philips => ====== Philips MCW770 & TwonkyMediaServer sur Debian/Ubuntu ====== | philips
54 Typographie : points de suspension. Utilisez le caractère dédié. => <note important>Le ZD1201 ne supporte pas le WPA/WPA2...pour le connecter à Internet, il vous faudra passer par une connexion non sécurisée ou utilisant le chiffrement WEP</note> Selon la disponibilité ou non d'une carte réseau filaire connectée sur votre machine, vous pouvez l'installer directement ou au moyen d'une clé USB. Avant toute chose, débranchez le bouchon du serveur. | ... => suggestions : ['…']
54 Mot inconnu : WEP => <note important>Le ZD1201 ne supporte pas le WPA/WPA2...pour le connecter à Internet, il vous faudra passer par une connexion non sécurisée ou utilisant le chiffrement WEP</note> Selon la disponibilité ou non d'une carte réseau filaire connectée sur votre machine, vous pouvez l'installer directement ou au moyen d'une clé USB. Avant toute chose, débranchez le bouchon du serveur. | wep

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#fdisk -l |    => suggestions : ['']
60 Mot inconnu : debian-ms =>   debian-ms:~#fdisk -l | debian-ms
60 Il manque un espace à côté du tiret. =>   debian-ms:~#fdisk -l |  - => suggestions : [' – ', ' — ']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#mkdir /media/usbkey |    => suggestions : ['']
62 Mot inconnu : debian-ms =>   debian-ms:~#mkdir /media/usbkey | debian-ms
62 Mot inconnu : usbkey =>   debian-ms:~#mkdir /media/usbkey | usbkey

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#mount /dev/sda1 /media/usbkey  \\ (si votre clé se trouve en /dev/sda1) |    => suggestions : ['']
63 Mot inconnu : debian-ms =>   debian-ms:~#mount /dev/sda1 /media/usbkey  \\ (si votre clé se trouve en /dev/sda1) | debian-ms
63 Mot inconnu : usbkey =>   debian-ms:~#mount /dev/sda1 /media/usbkey  \\ (si votre clé se trouve en /dev/sda1) | usbkey
63 Espace(s) surnuméraire(s) à supprimer. =>   debian-ms:~#mount /dev/sda1 /media/usbkey  \\ (si votre clé se trouve en /dev/sda1) |    => suggestions : [' ']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#cp -v /media/usbkey/*.fw /lib/firmware |    => suggestions : ['']
65 Mot inconnu : debian-ms =>   debian-ms:~#cp -v /media/usbkey/*.fw /lib/firmware | debian-ms
65 Il manque un espace à côté du tiret. =>   debian-ms:~#cp -v /media/usbkey/*.fw /lib/firmware |  - => suggestions : [' – ', ' — ']
65 Mot inconnu : usbkey =>   debian-ms:~#cp -v /media/usbkey/*.fw /lib/firmware | usbkey
65 Mot inconnu : fw =>   debian-ms:~#cp -v /media/usbkey/*.fw /lib/firmware | fw

66 Guillemets typographiques ouvrants. => Installez le paquet ''wireless-tools'' (il se trouve sur l'ISO) : | '' => suggestions : ['«\xa0', '“']
66 Mot inconnu : wireless-tools => Installez le paquet ''wireless-tools'' (il se trouve sur l'ISO) : | wireless-tools
66 Guillemets typographiques fermants. => Installez le paquet ''wireless-tools'' (il se trouve sur l'ISO) : | '' => suggestions : ['\xa0»', '”']

67 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#apt-get update |    => suggestions : ['']
67 Mot inconnu : debian-ms =>   debian-ms:~#apt-get update | debian-ms
67 Mot inconnu : update =>   debian-ms:~#apt-get update | update

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#apt-get install wireless-tools |    => suggestions : ['']
68 Mot inconnu : debian-ms =>   debian-ms:~#apt-get install wireless-tools | debian-ms
68 Mot inconnu : install =>   debian-ms:~#apt-get install wireless-tools | install
68 Mot inconnu : wireless-tools =>   debian-ms:~#apt-get install wireless-tools | wireless-tools

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#modprobe zd1201 |    => suggestions : ['']
70 Mot inconnu : debian-ms =>   debian-ms:~#modprobe zd1201 | debian-ms
70 Mot inconnu : zd1201 =>   debian-ms:~#modprobe zd1201 | zd1201

71 Mot inconnu : wlan0 => Vérifiez que votre bouchon est reconnu (''wlan0'' chez moi) : | wlan0
71 Guillemets typographiques fermants. => Vérifiez que votre bouchon est reconnu (''wlan0'' chez moi) : | '' => suggestions : ['\xa0»', '”']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#ifconfig |    => suggestions : ['']
72 Mot inconnu : debian-ms =>   debian-ms:~#ifconfig | debian-ms

75 Mot inconnu : RJ45 => Si votre machine a une carte Ethernet reconnue, branchez le câble RJ45 et activez l'interface : | rj45

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#ifconfig eth0 up  \\ (si votre carte est reconnue en eth0) |    => suggestions : ['']
76 Mot inconnu : debian-ms =>   debian-ms:~#ifconfig eth0 up  \\ (si votre carte est reconnue en eth0) | debian-ms
76 Mot inconnu : eth0 =>   debian-ms:~#ifconfig eth0 up  \\ (si votre carte est reconnue en eth0) | eth0
76 Mot inconnu : up =>   debian-ms:~#ifconfig eth0 up  \\ (si votre carte est reconnue en eth0) | up
76 Espace(s) surnuméraire(s) à supprimer. =>   debian-ms:~#ifconfig eth0 up  \\ (si votre carte est reconnue en eth0) |    => suggestions : [' ']
76 Mot inconnu : eth0 =>   debian-ms:~#ifconfig eth0 up  \\ (si votre carte est reconnue en eth0) | eth0

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#dhclient eth0 |    => suggestions : ['']
78 Mot inconnu : debian-ms =>   debian-ms:~#dhclient eth0 | debian-ms
78 Mot inconnu : eth0 =>   debian-ms:~#dhclient eth0 | eth0

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#wget 'http://sourceforge.net/projects/linux-lc100020/files/%28NEW%29%20zd1201%20driver/zd1201-0.14-fw.tar.gz/download' |    => suggestions : ['']
80 Mot inconnu : debian-ms =>   debian-ms:~#wget 'http://sourceforge.net/projects/linux-lc100020/files/%28NEW%29%20zd1201%20driver/zd1201-0.14-fw.tar.gz/download' | debian-ms
80 Guillemets typographiques ouvrants. =>   debian-ms:~#wget 'http://sourceforge.net/projects/linux-lc100020/files/%28NEW%29%20zd1201%20driver/zd1201-0.14-fw.tar.gz/download' | ' => suggestions : ['“', '‘', '‹']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#tar xvf zd1201-0.14-fw.tar.gz |    => suggestions : ['']
82 Mot inconnu : debian-ms =>   debian-ms:~#tar xvf zd1201-0.14-fw.tar.gz | debian-ms
82 Mot inconnu : xvf =>   debian-ms:~#tar xvf zd1201-0.14-fw.tar.gz | xvf
82 Mot inconnu : zd1201-0 =>   debian-ms:~#tar xvf zd1201-0.14-fw.tar.gz | zd1201-0

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#cp -v zd1201-0.14-fw/*.fw /lib/firmware |    => suggestions : ['']
83 Mot inconnu : debian-ms =>   debian-ms:~#cp -v zd1201-0.14-fw/*.fw /lib/firmware | debian-ms
83 Il manque un espace à côté du tiret. =>   debian-ms:~#cp -v zd1201-0.14-fw/*.fw /lib/firmware |  - => suggestions : [' – ', ' — ']
83 Mot inconnu : zd1201-0 =>   debian-ms:~#cp -v zd1201-0.14-fw/*.fw /lib/firmware | zd1201-0
83 Mot inconnu : fw =>   debian-ms:~#cp -v zd1201-0.14-fw/*.fw /lib/firmware | fw
83 Mot inconnu : fw =>   debian-ms:~#cp -v zd1201-0.14-fw/*.fw /lib/firmware | fw

84 Guillemets typographiques ouvrants. => Installez le paquet ''wireless-tools'' (il se trouve sur l'ISO) : | '' => suggestions : ['«\xa0', '“']
84 Mot inconnu : wireless-tools => Installez le paquet ''wireless-tools'' (il se trouve sur l'ISO) : | wireless-tools
84 Guillemets typographiques fermants. => Installez le paquet ''wireless-tools'' (il se trouve sur l'ISO) : | '' => suggestions : ['\xa0»', '”']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#apt-get update |    => suggestions : ['']
85 Mot inconnu : debian-ms =>   debian-ms:~#apt-get update | debian-ms
85 Mot inconnu : update =>   debian-ms:~#apt-get update | update

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#apt-get install wireless-tools |    => suggestions : ['']
86 Mot inconnu : debian-ms =>   debian-ms:~#apt-get install wireless-tools | debian-ms
86 Mot inconnu : install =>   debian-ms:~#apt-get install wireless-tools | install
86 Mot inconnu : wireless-tools =>   debian-ms:~#apt-get install wireless-tools | wireless-tools

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#modprobe zd1201 |    => suggestions : ['']
88 Mot inconnu : debian-ms =>   debian-ms:~#modprobe zd1201 | debian-ms
88 Mot inconnu : zd1201 =>   debian-ms:~#modprobe zd1201 | zd1201

89 Mot inconnu : wlan0 => Vérifiez que votre bouchon est reconnu (''wlan0'' chez moi) : | wlan0
89 Guillemets typographiques fermants. => Vérifiez que votre bouchon est reconnu (''wlan0'' chez moi) : | '' => suggestions : ['\xa0»', '”']

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#ifconfig |    => suggestions : ['']
90 Mot inconnu : debian-ms =>   debian-ms:~#ifconfig | debian-ms

92 Mot inconnu : ssh => ==== Mise en place d'un serveur ssh ==== | ssh

93 Guillemets typographiques ouvrants. => Si votre machine dispose d'une carte Ethernet et que dorénavant vous voulez la gérer à partir d'un autre PC, vous pouvez passer par ''ssh''. Cela vous permettra d'enlever l'écran que vous avez éventuellement utilisé pour effectuer les étapes précédentes. | '' => suggestions : ['«\xa0', '“']
93 Mot inconnu : ssh => Si votre machine dispose d'une carte Ethernet et que dorénavant vous voulez la gérer à partir d'un autre PC, vous pouvez passer par ''ssh''. Cela vous permettra d'enlever l'écran que vous avez éventuellement utilisé pour effectuer les étapes précédentes. | ssh
93 Guillemets typographiques fermants. => Si votre machine dispose d'une carte Ethernet et que dorénavant vous voulez la gérer à partir d'un autre PC, vous pouvez passer par ''ssh''. Cela vous permettra d'enlever l'écran que vous avez éventuellement utilisé pour effectuer les étapes précédentes. | '' => suggestions : ['\xa0»', '”']

95 Guillemets typographiques ouvrants. => Pour ce faire, installez ''openssh-server'' sur votre machine (il peut être necessaire de rajouter des dépôts dans ''/etc/apt/sources.list'') : | '' => suggestions : ['«\xa0', '“']
95 Mot inconnu : openssh-server => Pour ce faire, installez ''openssh-server'' sur votre machine (il peut être necessaire de rajouter des dépôts dans ''/etc/apt/sources.list'') : | openssh-server
95 Guillemets typographiques fermants. => Pour ce faire, installez ''openssh-server'' sur votre machine (il peut être necessaire de rajouter des dépôts dans ''/etc/apt/sources.list'') : | '' => suggestions : ['\xa0»', '”']
95 Mot inconnu : necessaire => Pour ce faire, installez ''openssh-server'' sur votre machine (il peut être necessaire de rajouter des dépôts dans ''/etc/apt/sources.list'') : | necessaire

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#apt-get install openssh-server |    => suggestions : ['']
96 Mot inconnu : debian-ms =>   debian-ms:~#apt-get install openssh-server | debian-ms
96 Mot inconnu : install =>   debian-ms:~#apt-get install openssh-server | install
96 Mot inconnu : openssh-server =>   debian-ms:~#apt-get install openssh-server | openssh-server

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debian-ms:~#vi /etc/network/interfaces |    => suggestions : ['']
98 Mot inconnu : debian-ms =>   debian-ms:~#vi /etc/network/interfaces | debian-ms

100 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #/etc/network/interfaces |    => suggestions : ['']

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   auto l0 |    => suggestions : ['']
102 Mot inconnu : l0 =>   auto l0 | l0

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   iface lo inet loopback |    => suggestions : ['']
103 Mot inconnu : iface =>   iface lo inet loopback | iface
103 Mot inconnu : lo =>   iface lo inet loopback | lo
103 Mot inconnu : inet =>   iface lo inet loopback | inet
103 Mot inconnu : loopback =>   iface lo inet loopback | loopback

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

105 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   auto eth0 |    => suggestions : ['']
105 Mot inconnu : eth0 =>   auto eth0 | eth0

106 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   iface eth0 inet static |    => suggestions : ['']
106 Mot inconnu : iface =>   iface eth0 inet static | iface
106 Mot inconnu : eth0 =>   iface eth0 inet static | eth0
106 Mot inconnu : inet =>   iface eth0 inet static | inet
106 Mot inconnu : static =>   iface eth0 inet static | static

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   address 192.168.3.56   \\IP de eth0 sur le serveur |    => suggestions : ['']
107 Mot inconnu : address =>   address 192.168.3.56   \\IP de eth0 sur le serveur | address
107 Espace(s) surnuméraire(s) à supprimer. =>   address 192.168.3.56   \\IP de eth0 sur le serveur |     => suggestions : [' ']
107 Élision de l’article devant un mot commençant par une voyelle. =>   address 192.168.3.56   \\IP de eth0 sur le serveur | de  => suggestions : ['d’']
107 Mot inconnu : eth0 =>   address 192.168.3.56   \\IP de eth0 sur le serveur | eth0

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   netmask 255.255.255.0 |    => suggestions : ['']
108 Mot inconnu : netmask =>   netmask 255.255.255.0 | netmask

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   network 192.168.3.0 |    => suggestions : ['']
109 Mot inconnu : network =>   network 192.168.3.0 | network

110 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   broadcast 192.168.3.255 |    => suggestions : ['']
110 Mot inconnu : broadcast =>   broadcast 192.168.3.255 | broadcast

111 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   gateway 192.168.3.55   \\IP de la passerelle = du pc qui gèrera le serveur |    => suggestions : ['']
111 Mot inconnu : gateway =>   gateway 192.168.3.55   \\IP de la passerelle = du pc qui gèrera le serveur | gateway
111 Espace(s) surnuméraire(s) à supprimer. =>   gateway 192.168.3.55   \\IP de la passerelle = du pc qui gèrera le serveur |     => suggestions : [' ']
112 Guillemets typographiques ouvrants. => Voilà qui est fait côté machine, si tout se passe bien vous n'aurez plus besoin de votre écran à partir de maintenant. Paramétrez la carte réseau filaire du « PC maître » de manière réciproque à celle du serveur. Puis accédez à votre serveur via ''ssh'' par : | '' => suggestions : ['«\xa0', '“']
112 Mot inconnu : ssh => Voilà qui est fait côté machine, si tout se passe bien vous n'aurez plus besoin de votre écran à partir de maintenant. Paramétrez la carte réseau filaire du « PC maître » de manière réciproque à celle du serveur. Puis accédez à votre serveur via ''ssh'' par : | ssh
112 Guillemets typographiques fermants. => Voilà qui est fait côté machine, si tout se passe bien vous n'aurez plus besoin de votre écran à partir de maintenant. Paramétrez la carte réseau filaire du « PC maître » de manière réciproque à celle du serveur. Puis accédez à votre serveur via ''ssh'' par : | '' => suggestions : ['\xa0»', '”']

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debhub:~#ssh root@192.168.3.56   \\si vous voulez être sous la session 'root' du serveur |    => suggestions : ['']
113 Mot inconnu : debhub =>   debhub:~#ssh root@192.168.3.56   \\si vous voulez être sous la session 'root' du serveur | debhub
113 Espace(s) surnuméraire(s) à supprimer. =>   debhub:~#ssh root@192.168.3.56   \\si vous voulez être sous la session 'root' du serveur |     => suggestions : [' ']
113 Guillemets typographiques ouvrants. =>   debhub:~#ssh root@192.168.3.56   \\si vous voulez être sous la session 'root' du serveur | ' => suggestions : ['“', '‘', '‹']
113 Mot inconnu : root =>   debhub:~#ssh root@192.168.3.56   \\si vous voulez être sous la session 'root' du serveur | root
113 Guillemets typographiques fermants. =>   debhub:~#ssh root@192.168.3.56   \\si vous voulez être sous la session 'root' du serveur | ' => suggestions : ['”', '’', '›']

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   OU |    => suggestions : ['']

115 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debhub:~#ssh <user>@192.168.3.56   \\si vous voulez être sous la session de l'utilisateur <user> |    => suggestions : ['']
115 Mot inconnu : debhub =>   debhub:~#ssh <user>@192.168.3.56   \\si vous voulez être sous la session de l'utilisateur <user> | debhub
115 Espace(s) surnuméraire(s) à supprimer. =>   debhub:~#ssh <user>@192.168.3.56   \\si vous voulez être sous la session de l'utilisateur <user> |     => suggestions : [' ']

116 Guillemets typographiques ouvrants. => À tout moment, vous pourrez mettre fin à la connexion ''ssh'' par la commande : | '' => suggestions : ['«\xa0', '“']
116 Mot inconnu : ssh => À tout moment, vous pourrez mettre fin à la connexion ''ssh'' par la commande : | ssh
116 Guillemets typographiques fermants. => À tout moment, vous pourrez mettre fin à la connexion ''ssh'' par la commande : | '' => suggestions : ['\xa0»', '”']

117 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   debhub:~#logout |    => suggestions : ['']
117 Mot inconnu : debhub =>   debhub:~#logout | debhub

118 Guillemets typographiques ouvrants. => Par la suite, quand le serveur de musique sera paramétré, vous pourrez y ajouter vos musiques via ''ssh'' par la commande ''scp''. Pour plus d'infos sur les possibilités offertes par ''scp'', [[http://cc.in2p3.fr/docenligne/134|rendez-vous ici]]. | '' => suggestions : ['«\xa0', '“']
118 Mot inconnu : ssh => Par la suite, quand le serveur de musique sera paramétré, vous pourrez y ajouter vos musiques via ''ssh'' par la commande ''scp''. Pour plus d'infos sur les possibilités offertes par ''scp'', [[http://cc.in2p3.fr/docenligne/134|rendez-vous ici]]. | ssh
118 Guillemets typographiques fermants. => Par la suite, quand le serveur de musique sera paramétré, vous pourrez y ajouter vos musiques via ''ssh'' par la commande ''scp''. Pour plus d'infos sur les possibilités offertes par ''scp'', [[http://cc.in2p3.fr/docenligne/134|rendez-vous ici]]. | '' => suggestions : ['\xa0»', '”']
118 Guillemets typographiques ouvrants. => Par la suite, quand le serveur de musique sera paramétré, vous pourrez y ajouter vos musiques via ''ssh'' par la commande ''scp''. Pour plus d'infos sur les possibilités offertes par ''scp'', [[http://cc.in2p3.fr/docenligne/134|rendez-vous ici]]. | '' => suggestions : ['«\xa0', '“']
118 Mot inconnu : scp => Par la suite, quand le serveur de musique sera paramétré, vous pourrez y ajouter vos musiques via ''ssh'' par la commande ''scp''. Pour plus d'infos sur les possibilités offertes par ''scp'', [[http://cc.in2p3.fr/docenligne/134|rendez-vous ici]]. | scp
118 Guillemets typographiques fermants. => Par la suite, quand le serveur de musique sera paramétré, vous pourrez y ajouter vos musiques via ''ssh'' par la commande ''scp''. Pour plus d'infos sur les possibilités offertes par ''scp'', [[http://cc.in2p3.fr/docenligne/134|rendez-vous ici]]. | '' => suggestions : ['\xa0»', '”']
118 Guillemets typographiques ouvrants. => Par la suite, quand le serveur de musique sera paramétré, vous pourrez y ajouter vos musiques via ''ssh'' par la commande ''scp''. Pour plus d'infos sur les possibilités offertes par ''scp'', [[http://cc.in2p3.fr/docenligne/134|rendez-vous ici]]. | '' => suggestions : ['«\xa0', '“']
118 Mot inconnu : scp => Par la suite, quand le serveur de musique sera paramétré, vous pourrez y ajouter vos musiques via ''ssh'' par la commande ''scp''. Pour plus d'infos sur les possibilités offertes par ''scp'', [[http://cc.in2p3.fr/docenligne/134|rendez-vous ici]]. | scp
118 Guillemets typographiques fermants. => Par la suite, quand le serveur de musique sera paramétré, vous pourrez y ajouter vos musiques via ''ssh'' par la commande ''scp''. Pour plus d'infos sur les possibilités offertes par ''scp'', [[http://cc.in2p3.fr/docenligne/134|rendez-vous ici]]. | '' => suggestions : ['\xa0»', '”']

120 Mot inconnu : autoconnexion => ==== Paramétrage d'une autoconnexion ==== | autoconnexion

