11 Mot inconnu : install [[16:23]] =>   * Ubuntu-base install (ubuntu-server va très bien) <|> install
106 Espace(s) en fin de ligne à supprimer. [[288:289]] => L'installeur redémarre après l'installation classique, ce qui signifie qu'il sera relancé. Bien sur nous ne voulons pas ça, c'est pourquoi il est nécessaire de créer un système d'enregistrement. Comme vous pouvez le voir dans le fichier pressed, la ligne preseed/late-command correspond à  <|>  

108 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  Ceci ne fait rien sur le client, mais le script PHP créé un fichier de boot PXE pour cette machine, qui force le démarrage depuis le disque dur local. Si vous désirez réinstaller une machine, il vous suffit de supprimer le fichier de boot PXE associé, et l'installation se relancera. <|>  
108 Mot inconnu : PXE [[77:80]] =>  Ceci ne fait rien sur le client, mais le script PHP créé un fichier de boot PXE pour cette machine, qui force le démarrage depuis le disque dur local. Si vous désirez réinstaller une machine, il vous suffit de supprimer le fichier de boot PXE associé, et l'installation se relancera. <|> pxe
108 Mot inconnu : PXE [[240:243]] =>  Ceci ne fait rien sur le client, mais le script PHP créé un fichier de boot PXE pour cette machine, qui force le démarrage depuis le disque dur local. Si vous désirez réinstaller une machine, il vous suffit de supprimer le fichier de boot PXE associé, et l'installation se relancera. <|> pxe

115 Mot inconnu : register [[27:35]] => Voici le contenu du script register.php à enregistrer dans   <|> register
115 Espace(s) en fin de ligne à supprimer. [[58:60]] => Voici le contenu du script register.php à enregistrer dans   <|>   

118 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

127 Mot inconnu : Etape [[4:9]] => === Etape 6: Après l'installation === <|> etape

129 Mot inconnu : postinstall [[47:58]] => Le script exécuté après l'installation (appelé postinstall) peut être utilisé pour tout faire. Je l'ai utilisé pour installer un nis correct et faire une bonne configuration, et quelques trucs en raport avec le démarrage. <|> postinstall
129 Mot inconnu : nis [[129:132]] => Le script exécuté après l'installation (appelé postinstall) peut être utilisé pour tout faire. Je l'ai utilisé pour installer un nis correct et faire une bonne configuration, et quelques trucs en raport avec le démarrage. <|> nis
129 Mot inconnu : raport [[196:202]] => Le script exécuté après l'installation (appelé postinstall) peut être utilisé pour tout faire. Je l'ai utilisé pour installer un nis correct et faire une bonne configuration, et quelques trucs en raport avec le démarrage. <|> raport

131 Mot inconnu : NIS [[21:24]] => Pour créer un paquet NIS correct, voici comment faire (depuis breezy ce n'est plus nécessaire: le paquet a été corrigé). <|> nis

151 S’il s’agit d’un impératif, mettez un trait d’union. [[0:9]] => Copiez le .deb (qui se trouve dans le dossier nispackage) a un endroit ou les clients peuvent y accéder (soit par wget ou via un montage nfs) <|> copiez le => suggestions : Copiez-le
151 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[9:11]] => Copiez le .deb (qui se trouve dans le dossier nispackage) a un endroit ou les clients peuvent y accéder (soit par wget ou via un montage nfs) <|>  . => suggestions : .. 
151 Mot inconnu : nispackage [[46:56]] => Copiez le .deb (qui se trouve dans le dossier nispackage) a un endroit ou les clients peuvent y accéder (soit par wget ou via un montage nfs) <|> nispackage
151 Mot inconnu : wget [[114:118]] => Copiez le .deb (qui se trouve dans le dossier nispackage) a un endroit ou les clients peuvent y accéder (soit par wget ou via un montage nfs) <|> wget

153 Mot inconnu : post-install [[10:22]] => Le script post-install doit être placé dans /var/www <|> post-install

199 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  
