
5 Mot inconnu : Kernel => ====== Comment compiler un noyau de Kernel.org ====== | kernel
32 Guillemets typographiques fermants. => EDIT : afin de pouvoir compiler les derniers noyaux provenant de kernel.org (version > 3.14), il faut installer la dernière version de "kernel-package" et non celle ci-dessus issue des dépôts, car elle crée des bugs pendant la compilation, et ne produit pas au final les paquets .deb) | " => suggestions : ['\xa0»', '”']
32 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => EDIT : afin de pouvoir compiler les derniers noyaux provenant de kernel.org (version > 3.14), il faut installer la dernière version de "kernel-package" et non celle ci-dessus issue des dépôts, car elle crée des bugs pendant la compilation, et ne produit pas au final les paquets .deb) |  . => suggestions : ['. ', '.']
32 Mot inconnu : deb => EDIT : afin de pouvoir compiler les derniers noyaux provenant de kernel.org (version > 3.14), il faut installer la dernière version de "kernel-package" et non celle ci-dessus issue des dépôts, car elle crée des bugs pendant la compilation, et ne produit pas au final les paquets .deb) | deb

36 Il manque un trait d’union. => (le paragraphe juste au dessus semble être faux puisque la commande installe kernel-package_13.014) | au dessus => suggestions : ['au-dessus']
36 Mot inconnu : kernel-package_13 => (le paragraphe juste au dessus semble être faux puisque la commande installe kernel-package_13.014) | kernel-package_13

37 Guillemets fermants. => ==== Paquets pour créer le ".config" ==== |  " => suggestions : ['\xa0»', '”']
37 Guillemets typographiques fermants. => ==== Paquets pour créer le ".config" ==== | " => suggestions : ['\xa0»', '”']

39 Guillemets typographiques fermants. => ".config", c'est le fichier de configuration contenant les instructions de compilation qui peut être créé au choix via: | " => suggestions : ['\xa0»', '”']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * si vous souhaitez vérifier simplement que tout est prêt pour la compilation sans rentrer dans la complication les fichiers de configuration. |    => suggestions : ['']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * si vous avez un noyau (exemple ci-dessous avec une version 5.10) sur laquelle vous souhaitez **simplement appliquer un patch** sans autre modification |    => suggestions : ['']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   uname -r |    => suggestions : ['']
53 Mot inconnu : uname =>   uname -r | uname
53 Il manque un espace à côté du tiret. =>   uname -r |  - => suggestions : [' – ', ' — ']

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt install -y git build-essential kernel-package fakeroot libncurses5-dev libssl-dev ccache |    => suggestions : ['']
57 Mot inconnu : sudo =>   sudo apt install -y git build-essential kernel-package fakeroot libncurses5-dev libssl-dev ccache | sudo
57 Mot inconnu : install =>   sudo apt install -y git build-essential kernel-package fakeroot libncurses5-dev libssl-dev ccache | install
57 Il manque un espace à côté du tiret. =>   sudo apt install -y git build-essential kernel-package fakeroot libncurses5-dev libssl-dev ccache |  - => suggestions : [' – ', ' — ']
57 Mot inconnu : build-essential =>   sudo apt install -y git build-essential kernel-package fakeroot libncurses5-dev libssl-dev ccache | build-essential
57 Mot inconnu : kernel-package =>   sudo apt install -y git build-essential kernel-package fakeroot libncurses5-dev libssl-dev ccache | kernel-package
57 Mot inconnu : fakeroot =>   sudo apt install -y git build-essential kernel-package fakeroot libncurses5-dev libssl-dev ccache | fakeroot
57 Mot inconnu : libncurses5-dev =>   sudo apt install -y git build-essential kernel-package fakeroot libncurses5-dev libssl-dev ccache | libncurses5-dev
57 Mot inconnu : libssl-dev =>   sudo apt install -y git build-essential kernel-package fakeroot libncurses5-dev libssl-dev ccache | libssl-dev
57 Mot inconnu : ccache =>   sudo apt install -y git build-essential kernel-package fakeroot libncurses5-dev libssl-dev ccache | ccache
59 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Récupération du noyau ; la liste des branches est visible ici https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git ; ne pas chercher à modifier le .y à la fin du nom ! |  . => suggestions : ['. ', '.']
59 Confusion probable : “à” est une préposition. Pour le verbe avoir, écrivez “a”. => Récupération du noyau ; la liste des branches est visible ici https://git.kernel.org/pub/scm/linux/kernel/git/stable/linux.git ; ne pas chercher à modifier le .y à la fin du nom ! | à => suggestions : ['a']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mkdir ~/NOYAU |    => suggestions : ['']
61 Mot inconnu : mkdir =>   mkdir ~/NOYAU | mkdir

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd ~/NOYAU |    => suggestions : ['']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git clone --depth=1 -b linux-5.10.y git://git.kernel.org/pub/scm/linux/kernel/git/stable/linux-stable.git |    => suggestions : ['']
63 Mot inconnu : depth =>   git clone --depth=1 -b linux-5.10.y git://git.kernel.org/pub/scm/linux/kernel/git/stable/linux-stable.git | depth
63 Il manque un espace à côté du tiret. =>   git clone --depth=1 -b linux-5.10.y git://git.kernel.org/pub/scm/linux/kernel/git/stable/linux-stable.git |  - => suggestions : [' – ', ' — ']
63 Mot inconnu : linux-5 =>   git clone --depth=1 -b linux-5.10.y git://git.kernel.org/pub/scm/linux/kernel/git/stable/linux-stable.git | linux-5
63 Il manque un espace. =>   git clone --depth=1 -b linux-5.10.y git://git.kernel.org/pub/scm/linux/kernel/git/stable/linux-stable.git | git => suggestions : [' git']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #                    ^ modifier ici selon la branche dont vous avez besoin |    => suggestions : ['']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo chmod -R 0755 linux-stable |    => suggestions : ['']
68 Mot inconnu : sudo =>   sudo chmod -R 0755 linux-stable | sudo
68 Mot inconnu : chmod =>   sudo chmod -R 0755 linux-stable | chmod
68 Il manque un espace à côté du tiret. =>   sudo chmod -R 0755 linux-stable |  - => suggestions : [' – ', ' — ']
68 Mot inconnu : linux-stable =>   sudo chmod -R 0755 linux-stable | linux-stable

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd linux-stable |    => suggestions : ['']
69 Mot inconnu : linux-stable =>   cd linux-stable | linux-stable

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   patch -p1 --dry-run <[fichier-patch] (pour tester qu'il n'y a pas d'erreur sans appliquer) |    => suggestions : ['']
73 Il manque un espace à côté du tiret. =>   patch -p1 --dry-run <[fichier-patch] (pour tester qu'il n'y a pas d'erreur sans appliquer) |  - => suggestions : [' – ', ' — ']
73 Mot inconnu : p1 =>   patch -p1 --dry-run <[fichier-patch] (pour tester qu'il n'y a pas d'erreur sans appliquer) | p1
73 Mot inconnu : dry-run =>   patch -p1 --dry-run <[fichier-patch] (pour tester qu'il n'y a pas d'erreur sans appliquer) | dry-run

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   patch -p1 < [fichier_de_patch] (pour appliquer le patch) |    => suggestions : ['']
74 Il manque un espace à côté du tiret. =>   patch -p1 < [fichier_de_patch] (pour appliquer le patch) |  - => suggestions : [' – ', ' — ']
74 Mot inconnu : p1 =>   patch -p1 < [fichier_de_patch] (pour appliquer le patch) | p1
74 Mot inconnu : fichier_de_patch =>   patch -p1 < [fichier_de_patch] (pour appliquer le patch) | fichier_de_patch

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   patch -R < [fichier_de_patch] (pour retirer le patch) |    => suggestions : ['']
75 Il manque un espace à côté du tiret. =>   patch -R < [fichier_de_patch] (pour retirer le patch) |  - => suggestions : [' – ', ' — ']
75 Mot inconnu : fichier_de_patch =>   patch -R < [fichier_de_patch] (pour retirer le patch) | fichier_de_patch

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cp /boot/config-`uname -r` .config |    => suggestions : ['']
78 Mot inconnu : cp =>   cp /boot/config-`uname -r` .config | cp
78 Mot inconnu : uname =>   cp /boot/config-`uname -r` .config | uname
78 Il manque un espace à côté du tiret. =>   cp /boot/config-`uname -r` .config |  - => suggestions : [' – ', ' — ']
78 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>   cp /boot/config-`uname -r` .config |  . => suggestions : ['. ', '.']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   yes '' | make oldconfig |    => suggestions : ['']
82 Mot inconnu : yes =>   yes '' | make oldconfig | yes
82 Guillemets isolés. =>   yes '' | make oldconfig |  ''  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
82 Mot inconnu : make =>   yes '' | make oldconfig | make
82 Mot inconnu : oldconfig =>   yes '' | make oldconfig | oldconfig

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   make clean |    => suggestions : ['']
83 Mot inconnu : make =>   make clean | make

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   make -j$(nproc) deb-pkg LOCALVERSION=-custom |    => suggestions : ['']
84 Mot inconnu : make =>   make -j$(nproc) deb-pkg LOCALVERSION=-custom | make
84 Il manque un espace à côté du tiret. =>   make -j$(nproc) deb-pkg LOCALVERSION=-custom |  - => suggestions : [' – ', ' — ']
84 Mot inconnu : nproc =>   make -j$(nproc) deb-pkg LOCALVERSION=-custom | nproc
84 Mot inconnu : deb-pkg =>   make -j$(nproc) deb-pkg LOCALVERSION=-custom | deb-pkg
84 Mot inconnu : LOCALVERSION =>   make -j$(nproc) deb-pkg LOCALVERSION=-custom | localversion

88 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   rm vmlinux-gdb.py |    => suggestions : ['']
88 Mot inconnu : rm =>   rm vmlinux-gdb.py | rm
88 Mot inconnu : vmlinux-gdb =>   rm vmlinux-gdb.py | vmlinux-gdb
88 Mot inconnu : py =>   rm vmlinux-gdb.py | py

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

90 Incohérence. Ceci est un verbe à la 2ᵉ personne du singulier. Sujet (“tu” ou “toi qui”) introuvable. => Installer les fichiers crées dans ~/NOYAU avec | crées => suggestions : ['crée']

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo dpkg -i *.deb |    => suggestions : ['']
92 Mot inconnu : sudo =>   sudo dpkg -i *.deb | sudo
92 Mot inconnu : dpkg =>   sudo dpkg -i *.deb | dpkg
92 Il manque un espace à côté du tiret. =>   sudo dpkg -i *.deb |  - => suggestions : [' – ', ' — ']
92 Mot inconnu : deb =>   sudo dpkg -i *.deb | deb

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git clone --depth=1 git://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git |    => suggestions : ['']
97 Mot inconnu : depth =>   git clone --depth=1 git://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git | depth
97 Il manque un espace. =>   git clone --depth=1 git://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git | git => suggestions : [' git']

103 Conjugaison erronée. Accord avec « tout ». Le verbe devrait être à la 3ᵉ personne du singulier. => Tout d'abord téléchargez les sources du noyau depuis Kernel.org:\\ | téléchargez => suggestions : ['télécharge']
103 Mot inconnu : Kernel => Tout d'abord téléchargez les sources du noyau depuis Kernel.org:\\ | kernel

104 Mot inconnu : kernel => [[http://www.kernel.org/pub/linux/kernel/|Lien vers les sources sur kernel.org]] | kernel

111 Incohérence avec “par” : “git” est une forme verbale conjuguée. => <note tip>Il est possible de récupérer les sources par git (voir paragraphe précédent) </note> | git => suggestions : ['gisant']

117 Mot inconnu : FIXME => FIXME cette partie est totalement dépassée, peut être n'est-elle plus nécessaire, en tout cas aucune de ces infos ne sont encore garanties de fonctionner. | fixme
117 Conjugaison erronée. Accord avec “aucune”. Le verbe devrait être à la 3ᵉ personne du singulier. => FIXME cette partie est totalement dépassée, peut être n'est-elle plus nécessaire, en tout cas aucune de ces infos ne sont encore garanties de fonctionner. | sont => suggestions : ['est']

125 Mot inconnu : How-To => Voir [[https://ubuntuforums.org/showthread.php?t=441013|ce How-To]] (en). | how-to

139 Mot inconnu : nvidia-kernel => Vous devriez avoir un dossier **/modules/nvidia-kernel** (ou nvidia-kernel-legacy ou nvidia-kernel-new selon le paquet installé). | nvidia-kernel
139 Mot inconnu : nvidia-kernel-legacy => Vous devriez avoir un dossier **/modules/nvidia-kernel** (ou nvidia-kernel-legacy ou nvidia-kernel-new selon le paquet installé). | nvidia-kernel-legacy
139 Mot inconnu : nvidia-kernel-new => Vous devriez avoir un dossier **/modules/nvidia-kernel** (ou nvidia-kernel-legacy ou nvidia-kernel-new selon le paquet installé). | nvidia-kernel-new

149 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => === Avec le .run du site === |  . => suggestions : ['. ', '.']
149 Mot inconnu : run => === Avec le .run du site === | run

153 Mot inconnu : ATI => ==== ATI ==== | ati

157 Mot inconnu : FIXME => FIXME (Méthodes non-testée) | fixme

161 Mot inconnu : How-To => Voir [[https://ubuntuforums.org/showthread.php?t=441013|ce How-To]] (en). | how-to

165 Mot inconnu : FIXME => FIXME J'imagine que ça doit être comme pour NVidia avec le paquet **fglrx-kernel-source** ? | fixme
165 Mot inconnu : NVidia => FIXME J'imagine que ça doit être comme pour NVidia avec le paquet **fglrx-kernel-source** ? | nvidia
165 Mot inconnu : fglrx-kernel-source => FIXME J'imagine que ça doit être comme pour NVidia avec le paquet **fglrx-kernel-source** ? | fglrx-kernel-source

186 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une [[#Interface de configuration QT - Recommandé]] |    => suggestions : ['']
186 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * une [[#Interface de configuration QT - Recommandé]] |  -  => suggestions : [' – ', ' — ', ' − ']

187 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une [[#Interface de configuration en Mode console]] |    => suggestions : ['']

188 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une [[#Interface de configuration en Mode semi-graphique (menu bleu)]] |    => suggestions : ['']

189 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * une [[#Interface de configuration en GTK+ (interface GNOME -elle n'est pas bien finie...)]] |    => suggestions : ['']
189 Il manque un espace à côté du tiret. =>   * une [[#Interface de configuration en GTK+ (interface GNOME -elle n'est pas bien finie...)]] |  - => suggestions : [' – ', ' — ']
189 Typographie : points de suspension. Utilisez le caractère dédié. =>   * une [[#Interface de configuration en GTK+ (interface GNOME -elle n'est pas bien finie...)]] | ... => suggestions : ['…']
191 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ==== Interface de configuration QT - Recommandé ==== |  -  => suggestions : [' – ', ' — ', ' − ']

197 Guillemets typographiques ouvrants. => **Si la commande précédente retourne une erreur du type "qconf: cannot connect to X server", essayez :** | " => suggestions : ['«\xa0', '“']
197 Mot inconnu : qconf => **Si la commande précédente retourne une erreur du type "qconf: cannot connect to X server", essayez :** | qconf
197 Mot inconnu : cannot => **Si la commande précédente retourne une erreur du type "qconf: cannot connect to X server", essayez :** | cannot
197 Mot inconnu : connect => **Si la commande précédente retourne une erreur du type "qconf: cannot connect to X server", essayez :** | connect
197 Mot inconnu : to => **Si la commande précédente retourne une erreur du type "qconf: cannot connect to X server", essayez :** | to
197 Mot inconnu : server => **Si la commande précédente retourne une erreur du type "qconf: cannot connect to X server", essayez :** | server
197 Guillemets typographiques fermants. => **Si la commande précédente retourne une erreur du type "qconf: cannot connect to X server", essayez :** | " => suggestions : ['\xa0»', '”']
222 Il manque un espace à côté du tiret. => ==== Interface de configuration en GTK+ (interface GNOME -elle n'est pas bien finie...) ==== |  - => suggestions : [' – ', ' — ']
222 Typographie : points de suspension. Utilisez le caractère dédié. => ==== Interface de configuration en GTK+ (interface GNOME -elle n'est pas bien finie...) ==== | ... => suggestions : ['…']

237 Mot inconnu : make-kpkg => <note important>Cette partie décrit la plupart des options possibles pour **make-kpkg**, et il y en a plein, les connaître ne vous servira pas à grand chose, **si vous voulez simplement créer un noyau classique rapidement, allez directement à la partie [[#Compilation basique]].**</note> | make-kpkg
237 Il manque un trait d’union. => <note important>Cette partie décrit la plupart des options possibles pour **make-kpkg**, et il y en a plein, les connaître ne vous servira pas à grand chose, **si vous voulez simplement créer un noyau classique rapidement, allez directement à la partie [[#Compilation basique]].**</note> | grand chose => suggestions : ['grand-chose']

239 Mot inconnu : make-kpkg => La compilation se fait avec **make-kpkg** qui automatise en fait plusieurs commandes : | make-kpkg

241 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //make dep// - établit les dépendances entre fichiers constitutifs du code noyau |    => suggestions : ['']
241 Mot inconnu : make =>   * //make dep// - établit les dépendances entre fichiers constitutifs du code noyau | make
241 Mot inconnu : dep =>   * //make dep// - établit les dépendances entre fichiers constitutifs du code noyau | dep
241 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * //make dep// - établit les dépendances entre fichiers constitutifs du code noyau |  -  => suggestions : [' – ', ' — ', ' − ']

242 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //make clean// - supprime les objets résultant d'une compilation antérieure du noyau (si elle a eu lieu) |    => suggestions : ['']
242 Mot inconnu : make =>   * //make clean// - supprime les objets résultant d'une compilation antérieure du noyau (si elle a eu lieu) | make
242 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * //make clean// - supprime les objets résultant d'une compilation antérieure du noyau (si elle a eu lieu) |  -  => suggestions : [' – ', ' — ', ' − ']

243 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //make bzImage// - produit l'image compressée qui servira à l'amorçage |    => suggestions : ['']
243 Mot inconnu : make =>   * //make bzImage// - produit l'image compressée qui servira à l'amorçage | make
243 Mot inconnu : bzImage =>   * //make bzImage// - produit l'image compressée qui servira à l'amorçage | bzimage
243 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * //make bzImage// - produit l'image compressée qui servira à l'amorçage |  -  => suggestions : [' – ', ' — ', ' − ']

244 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //make modules// - compile les modules |    => suggestions : ['']
244 Mot inconnu : make =>   * //make modules// - compile les modules | make
244 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * //make modules// - compile les modules |  -  => suggestions : [' – ', ' — ', ' − ']

254 Mot inconnu : make-kpkg => Il existe différents arguments à //make-kpkg//: | make-kpkg

258 Il manque les traits d’union. => Cet argument **totalement facultatif** permet de choisir le nombre de Threads, c'est à dire le nombre de processus simultané, que le CPU traitera pendant la compilation. En résumé ça ne sert qu'à augmenter la vitesse à laquelle votre ordinateur va créer votre nouveau noyau, si votre CPU à plusieurs cœurs. | c'est à dire => suggestions : ['c’est-à-dire']

266 Mot inconnu : initrd => === --initrd === | initrd
268 Mot inconnu : initrd => Le plus important: crée un fichier **initrd** qui permet d'utiliser des modules directement à l'amorçage du noyau. | initrd

270 Mot inconnu : rootcmd => === --rootcmd=fakeroot|sudo === | rootcmd
270 Mot inconnu : fakeroot => === --rootcmd=fakeroot|sudo === | fakeroot
270 Mot inconnu : sudo => === --rootcmd=fakeroot|sudo === | sudo

272 Mot inconnu : make-kpkg => Vous propose de choisir avec quelle méthode vous permettez à //make-kpkg// d'utiliser les ressources de root. | make-kpkg
272 Mot inconnu : root => Vous propose de choisir avec quelle méthode vous permettez à //make-kpkg// d'utiliser les ressources de root. | root

274 Mot inconnu : added_modules => === --added_modules === | added_modules

276 Mot inconnu : alsa => Pour ajouter des modules (alsa, nvidia/ATI, etc...). Pour en mettre plusieurs, séparez avec une virgule : | alsa
276 Mot inconnu : nvidia => Pour ajouter des modules (alsa, nvidia/ATI, etc...). Pour en mettre plusieurs, séparez avec une virgule : | nvidia
276 Mot inconnu : ATI => Pour ajouter des modules (alsa, nvidia/ATI, etc...). Pour en mettre plusieurs, séparez avec une virgule : | ati
276 Un seul point après « etc. » => Pour ajouter des modules (alsa, nvidia/ATI, etc...). Pour en mettre plusieurs, séparez avec une virgule : | etc... => suggestions : ['etc.']

285 Mot inconnu : buildpackage => === buildpackage === | buildpackage

287 Guillemets typographiques ouvrants. => Cela a pour conséquence d'utiliser la cible "clean"et "binary" décrite ci-dessous.  | " => suggestions : ['«\xa0', '“']
287 Guillemets typographiques ouvrants. => Cela a pour conséquence d'utiliser la cible "clean"et "binary" décrite ci-dessous.  | " => suggestions : ['«\xa0', '“']
287 Mot inconnu : binary => Cela a pour conséquence d'utiliser la cible "clean"et "binary" décrite ci-dessous.  | binary
287 Guillemets typographiques fermants. => Cela a pour conséquence d'utiliser la cible "clean"et "binary" décrite ci-dessous.  | " => suggestions : ['\xa0»', '”']
287 Espace(s) en fin de ligne à supprimer. => Cela a pour conséquence d'utiliser la cible "clean"et "binary" décrite ci-dessous.  |   => suggestions : ['']
291 Il manque un trait d’union. => Permet de « nettoyer le répertoire des sources du noyau de tous les fichiers créés par l'invocation de l'une des cibles données ci dessous, et effectue un make distclean » ((traduction de la partie du manuel consacré à cette cible et accessible en saisissant ''man make-kpkg'')). | ci dessous => suggestions : ['ci-dessous']
291 Mot inconnu : make => Permet de « nettoyer le répertoire des sources du noyau de tous les fichiers créés par l'invocation de l'une des cibles données ci dessous, et effectue un make distclean » ((traduction de la partie du manuel consacré à cette cible et accessible en saisissant ''man make-kpkg'')). | make
291 Mot inconnu : distclean => Permet de « nettoyer le répertoire des sources du noyau de tous les fichiers créés par l'invocation de l'une des cibles données ci dessous, et effectue un make distclean » ((traduction de la partie du manuel consacré à cette cible et accessible en saisissant ''man make-kpkg'')). | distclean
291 Guillemets typographiques ouvrants. => Permet de « nettoyer le répertoire des sources du noyau de tous les fichiers créés par l'invocation de l'une des cibles données ci dessous, et effectue un make distclean » ((traduction de la partie du manuel consacré à cette cible et accessible en saisissant ''man make-kpkg'')). | '' => suggestions : ['«\xa0', '“']
291 Mot inconnu : make-kpkg => Permet de « nettoyer le répertoire des sources du noyau de tous les fichiers créés par l'invocation de l'une des cibles données ci dessous, et effectue un make distclean » ((traduction de la partie du manuel consacré à cette cible et accessible en saisissant ''man make-kpkg'')). | make-kpkg
291 Guillemets typographiques fermants. => Permet de « nettoyer le répertoire des sources du noyau de tous les fichiers créés par l'invocation de l'une des cibles données ci dessous, et effectue un make distclean » ((traduction de la partie du manuel consacré à cette cible et accessible en saisissant ''man make-kpkg'')). | '' => suggestions : ['\xa0»', '”']

293 Mot inconnu : binary => === binary === | binary
295 Mot inconnu : kernel_source => Cette cible « construit les quatre paquets Debian du noyau en utilisant les cibles kernel_source, kernel_headers, kernel_doc et kernel_image ((traduction de la partie du manuel consacré à cette cible et accessible en saisissant ''man make-kpkg'')). | kernel_source
295 Mot inconnu : kernel_headers => Cette cible « construit les quatre paquets Debian du noyau en utilisant les cibles kernel_source, kernel_headers, kernel_doc et kernel_image ((traduction de la partie du manuel consacré à cette cible et accessible en saisissant ''man make-kpkg'')). | kernel_headers
295 Mot inconnu : kernel_doc => Cette cible « construit les quatre paquets Debian du noyau en utilisant les cibles kernel_source, kernel_headers, kernel_doc et kernel_image ((traduction de la partie du manuel consacré à cette cible et accessible en saisissant ''man make-kpkg'')). | kernel_doc
295 Mot inconnu : kernel_image => Cette cible « construit les quatre paquets Debian du noyau en utilisant les cibles kernel_source, kernel_headers, kernel_doc et kernel_image ((traduction de la partie du manuel consacré à cette cible et accessible en saisissant ''man make-kpkg'')). | kernel_image
295 Guillemets typographiques ouvrants. => Cette cible « construit les quatre paquets Debian du noyau en utilisant les cibles kernel_source, kernel_headers, kernel_doc et kernel_image ((traduction de la partie du manuel consacré à cette cible et accessible en saisissant ''man make-kpkg'')). | '' => suggestions : ['«\xa0', '“']
295 Mot inconnu : make-kpkg => Cette cible « construit les quatre paquets Debian du noyau en utilisant les cibles kernel_source, kernel_headers, kernel_doc et kernel_image ((traduction de la partie du manuel consacré à cette cible et accessible en saisissant ''man make-kpkg'')). | make-kpkg
