2 Mot inconnu : À_RECYCLER => {{tag>tutoriel matériel installation À_RECYCLER}}

5 Il manque un espace insécable. => ====== Tutoriel : Ajouter un disque dur ======

8 Guillemets typographiques ouvrants. => <note important>Le mieux serait d'apporter ses connaissances au lieu de laisser les autres dans l'ignorance surtout avec des commentaires inutiles et dans une doc de partage, "Largement obsolète" ne veut rien dire sans arguments, merci. </note>
8 Guillemets typographiques fermants. => <note important>Le mieux serait d'apporter ses connaissances au lieu de laisser les autres dans l'ignorance surtout avec des commentaires inutiles et dans une doc de partage, "Largement obsolète" ne veut rien dire sans arguments, merci. </note>

12 Mot inconnu : hd => Avec GNU/Linux, tout comme avec Unix, tout est fichier. Le système interprète donc vos périphériques en tant que fichiers. Les disques durs n'échappent pas à cette règle et se retrouvent donc dans le dossier /dev. Traditionnellement les périphériques IDE répondent à une appellation commençant par hd (pour Hard Disk) suivi d'une lettre correspondant à la position logique du disque (maître, esclave etc.) suivi d'un chiffre identifiant la partition.
12 Mot inconnu : Disk => Avec GNU/Linux, tout comme avec Unix, tout est fichier. Le système interprète donc vos périphériques en tant que fichiers. Les disques durs n'échappent pas à cette règle et se retrouvent donc dans le dossier /dev. Traditionnellement les périphériques IDE répondent à une appellation commençant par hd (pour Hard Disk) suivi d'une lettre correspondant à la position logique du disque (maître, esclave etc.) suivi d'un chiffre identifiant la partition.
12 Avant « etc. », il faut mettre une virgule. => Avec GNU/Linux, tout comme avec Unix, tout est fichier. Le système interprète donc vos périphériques en tant que fichiers. Les disques durs n'échappent pas à cette règle et se retrouvent donc dans le dossier /dev. Traditionnellement les périphériques IDE répondent à une appellation commençant par hd (pour Hard Disk) suivi d'une lettre correspondant à la position logique du disque (maître, esclave etc.) suivi d'un chiffre identifiant la partition.

14 Mot inconnu : hda1 => Par exemple, la première partition du premier disque dur (disque maître du bus IDE primaire) s'appelle donc hda1 et c'est généralement sur celle-ci qu'est installé votre système d'exploitation.

16 Mot inconnu : Serial => Malheureusement cette nomenclature devient plus complexe dès lors que l'on utilise des contrôleurs Serial ATA ou RAID et que l'on se retrouve avec beaucoup de disques dans le même ordinateur. Je vais, dans cet article, essayer de vous faciliter la vie mais si vous désirez vraiment savoir comment ça fonctionne je vous invite à consulter cette page : [[http://www.linux-wizard.net/faq.php?section=0&key=hd_naming]] ...
16 Mot inconnu : ATA => Malheureusement cette nomenclature devient plus complexe dès lors que l'on utilise des contrôleurs Serial ATA ou RAID et que l'on se retrouve avec beaucoup de disques dans le même ordinateur. Je vais, dans cet article, essayer de vous faciliter la vie mais si vous désirez vraiment savoir comment ça fonctionne je vous invite à consulter cette page : [[http://www.linux-wizard.net/faq.php?section=0&key=hd_naming]] ...
16 Il manque un espace insécable. => Malheureusement cette nomenclature devient plus complexe dès lors que l'on utilise des contrôleurs Serial ATA ou RAID et que l'on se retrouve avec beaucoup de disques dans le même ordinateur. Je vais, dans cet article, essayer de vous faciliter la vie mais si vous désirez vraiment savoir comment ça fonctionne je vous invite à consulter cette page : [[http://www.linux-wizard.net/faq.php?section=0&key=hd_naming]] ...
16 Typographie : points de suspension. Utilisez le caractère dédié. => Malheureusement cette nomenclature devient plus complexe dès lors que l'on utilise des contrôleurs Serial ATA ou RAID et que l'on se retrouve avec beaucoup de disques dans le même ordinateur. Je vais, dans cet article, essayer de vous faciliter la vie mais si vous désirez vraiment savoir comment ça fonctionne je vous invite à consulter cette page : [[http://www.linux-wizard.net/faq.php?section=0&key=hd_naming]] ...

19 Mot inconnu : sdx => <note help>Depuis quelques années la notation des disques a été simplifiée. Ils se nomment tous sdx (où x est une lettre) par exemple hda devient sda, hdb devient sdb. </note>
19 Mot inconnu : hda => <note help>Depuis quelques années la notation des disques a été simplifiée. Ils se nomment tous sdx (où x est une lettre) par exemple hda devient sda, hdb devient sdb. </note>
19 Mot inconnu : sda => <note help>Depuis quelques années la notation des disques a été simplifiée. Ils se nomment tous sdx (où x est une lettre) par exemple hda devient sda, hdb devient sdb. </note>
19 Mot inconnu : hdb => <note help>Depuis quelques années la notation des disques a été simplifiée. Ils se nomment tous sdx (où x est une lettre) par exemple hda devient sda, hdb devient sdb. </note>
19 Mot inconnu : sdb => <note help>Depuis quelques années la notation des disques a été simplifiée. Ils se nomment tous sdx (où x est une lettre) par exemple hda devient sda, hdb devient sdb. </note>

24 Espace(s) surnuméraire(s) à supprimer. => === En ligne  de commandes ===
71 Mot inconnu : DMA =>   ide0: BM-DMA at 0xe000-0xe007, BIOS settings: hda:DMA, hdb:DMA
71 Mot inconnu : hdb =>   ide0: BM-DMA at 0xe000-0xe007, BIOS settings: hda:DMA, hdb:DMA
71 Il manque un espace. =>   ide0: BM-DMA at 0xe000-0xe007, BIOS settings: hda:DMA, hdb:DMA
71 Mot inconnu : DMA =>   ide0: BM-DMA at 0xe000-0xe007, BIOS settings: hda:DMA, hdb:DMA

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ide1: BM-DMA at 0xe008-0xe00f, BIOS settings: hdc:DMA, hdd:DMA
72 Mot inconnu : ide1 =>   ide1: BM-DMA at 0xe008-0xe00f, BIOS settings: hdc:DMA, hdd:DMA
72 Il manque un espace insécable. =>   ide1: BM-DMA at 0xe008-0xe00f, BIOS settings: hdc:DMA, hdd:DMA
72 Mot inconnu : BM-DMA =>   ide1: BM-DMA at 0xe008-0xe00f, BIOS settings: hdc:DMA, hdd:DMA
72 Mot inconnu : at =>   ide1: BM-DMA at 0xe008-0xe00f, BIOS settings: hdc:DMA, hdd:DMA
72 Mot inconnu : xe008-0xe00f =>   ide1: BM-DMA at 0xe008-0xe00f, BIOS settings: hdc:DMA, hdd:DMA
72 Mot inconnu : settings =>   ide1: BM-DMA at 0xe008-0xe00f, BIOS settings: hdc:DMA, hdd:DMA
72 Il manque un espace insécable. =>   ide1: BM-DMA at 0xe008-0xe00f, BIOS settings: hdc:DMA, hdd:DMA
72 Mot inconnu : hdc =>   ide1: BM-DMA at 0xe008-0xe00f, BIOS settings: hdc:DMA, hdd:DMA
72 Il manque un espace. =>   ide1: BM-DMA at 0xe008-0xe00f, BIOS settings: hdc:DMA, hdd:DMA
72 Mot inconnu : DMA =>   ide1: BM-DMA at 0xe008-0xe00f, BIOS settings: hdc:DMA, hdd:DMA
72 Mot inconnu : hdd =>   ide1: BM-DMA at 0xe008-0xe00f, BIOS settings: hdc:DMA, hdd:DMA
72 Il manque un espace. =>   ide1: BM-DMA at 0xe008-0xe00f, BIOS settings: hdc:DMA, hdd:DMA
72 Mot inconnu : DMA =>   ide1: BM-DMA at 0xe008-0xe00f, BIOS settings: hdc:DMA, hdd:DMA

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   hda: WDC WD200BB-00AUA1, ATA DISK drive
73 Mot inconnu : hda =>   hda: WDC WD200BB-00AUA1, ATA DISK drive
73 Il manque un espace insécable. =>   hda: WDC WD200BB-00AUA1, ATA DISK drive
73 Mot inconnu : WDC =>   hda: WDC WD200BB-00AUA1, ATA DISK drive
73 Mot inconnu : WD200BB-00AUA1 =>   hda: WDC WD200BB-00AUA1, ATA DISK drive
73 Mot inconnu : ATA =>   hda: WDC WD200BB-00AUA1, ATA DISK drive
73 Mot inconnu : DISK =>   hda: WDC WD200BB-00AUA1, ATA DISK drive

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   hdb: Maxtor 51024U2, ATA DISK drive
74 Mot inconnu : hdb =>   hdb: Maxtor 51024U2, ATA DISK drive
74 Il manque un espace insécable. =>   hdb: Maxtor 51024U2, ATA DISK drive
74 Mot inconnu : Maxtor =>   hdb: Maxtor 51024U2, ATA DISK drive
74 Mot inconnu : U2 =>   hdb: Maxtor 51024U2, ATA DISK drive
74 Mot inconnu : ATA =>   hdb: Maxtor 51024U2, ATA DISK drive
74 Mot inconnu : DISK =>   hdb: Maxtor 51024U2, ATA DISK drive

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   hda: max request size: 128KiB
75 Mot inconnu : hda =>   hda: max request size: 128KiB
75 Il manque un espace insécable. =>   hda: max request size: 128KiB
75 Mot inconnu : request =>   hda: max request size: 128KiB
75 Mot inconnu : size =>   hda: max request size: 128KiB
75 Il manque un espace insécable. =>   hda: max request size: 128KiB
75 Mot inconnu : KiB =>   hda: max request size: 128KiB

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   hda: 39102336 sectors (20020 MB) w/2048KiB Cache, CHS=38792/16/63, UDMA(100)
76 Mot inconnu : hda =>   hda: 39102336 sectors (20020 MB) w/2048KiB Cache, CHS=38792/16/63, UDMA(100)
76 Il manque un espace insécable. =>   hda: 39102336 sectors (20020 MB) w/2048KiB Cache, CHS=38792/16/63, UDMA(100)
76 Si “sectors” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   hda: 39102336 sectors (20020 MB) w/2048KiB Cache, CHS=38792/16/63, UDMA(100)
76 Mot inconnu : sectors =>   hda: 39102336 sectors (20020 MB) w/2048KiB Cache, CHS=38792/16/63, UDMA(100)
76 Si “MB” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   hda: 39102336 sectors (20020 MB) w/2048KiB Cache, CHS=38792/16/63, UDMA(100)
76 Mot inconnu : MB =>   hda: 39102336 sectors (20020 MB) w/2048KiB Cache, CHS=38792/16/63, UDMA(100)
76 Mot inconnu : KiB =>   hda: 39102336 sectors (20020 MB) w/2048KiB Cache, CHS=38792/16/63, UDMA(100)
76 Mot inconnu : CHS =>   hda: 39102336 sectors (20020 MB) w/2048KiB Cache, CHS=38792/16/63, UDMA(100)
76 Formatage des grands nombres. =>   hda: 39102336 sectors (20020 MB) w/2048KiB Cache, CHS=38792/16/63, UDMA(100)
76 Mot inconnu : UDMA =>   hda: 39102336 sectors (20020 MB) w/2048KiB Cache, CHS=38792/16/63, UDMA(100)
76 Il manque un espace avant la parenthèse. =>   hda: 39102336 sectors (20020 MB) w/2048KiB Cache, CHS=38792/16/63, UDMA(100)

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   hda: cache flushes not supported
77 Mot inconnu : hda =>   hda: cache flushes not supported
77 Il manque un espace insécable. =>   hda: cache flushes not supported
77 Mot inconnu : not =>   hda: cache flushes not supported
77 Mot inconnu : supported =>   hda: cache flushes not supported

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   hdb: max request size: 128KiB
78 Mot inconnu : hdb =>   hdb: max request size: 128KiB
78 Il manque un espace insécable. =>   hdb: max request size: 128KiB
78 Mot inconnu : request =>   hdb: max request size: 128KiB
78 Mot inconnu : size =>   hdb: max request size: 128KiB
78 Il manque un espace insécable. =>   hdb: max request size: 128KiB
78 Mot inconnu : KiB =>   hdb: max request size: 128KiB

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   hdb: 20010816 sectors (10245 MB) w/2048KiB Cache, CHS=19852/16/63, UDMA(66)
79 Mot inconnu : hdb =>   hdb: 20010816 sectors (10245 MB) w/2048KiB Cache, CHS=19852/16/63, UDMA(66)
79 Il manque un espace insécable. =>   hdb: 20010816 sectors (10245 MB) w/2048KiB Cache, CHS=19852/16/63, UDMA(66)
79 Si “sectors” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   hdb: 20010816 sectors (10245 MB) w/2048KiB Cache, CHS=19852/16/63, UDMA(66)
79 Mot inconnu : sectors =>   hdb: 20010816 sectors (10245 MB) w/2048KiB Cache, CHS=19852/16/63, UDMA(66)
79 Si “MB” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>   hdb: 20010816 sectors (10245 MB) w/2048KiB Cache, CHS=19852/16/63, UDMA(66)
79 Mot inconnu : MB =>   hdb: 20010816 sectors (10245 MB) w/2048KiB Cache, CHS=19852/16/63, UDMA(66)
79 Mot inconnu : KiB =>   hdb: 20010816 sectors (10245 MB) w/2048KiB Cache, CHS=19852/16/63, UDMA(66)
79 Mot inconnu : CHS =>   hdb: 20010816 sectors (10245 MB) w/2048KiB Cache, CHS=19852/16/63, UDMA(66)
79 Formatage des grands nombres. =>   hdb: 20010816 sectors (10245 MB) w/2048KiB Cache, CHS=19852/16/63, UDMA(66)
79 Mot inconnu : UDMA =>   hdb: 20010816 sectors (10245 MB) w/2048KiB Cache, CHS=19852/16/63, UDMA(66)

80 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   hdb: cache flushes not supported
80 Mot inconnu : hdb =>   hdb: cache flushes not supported
80 Il manque un espace insécable. =>   hdb: cache flushes not supported
80 Mot inconnu : not =>   hdb: cache flushes not supported
80 Mot inconnu : supported =>   hdb: cache flushes not supported

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   hdc: HITACHI DVD-ROM GD-5000, ATAPI CD/DVD-ROM drive
81 Mot inconnu : hdc =>   hdc: HITACHI DVD-ROM GD-5000, ATAPI CD/DVD-ROM drive
81 Il manque un espace insécable. =>   hdc: HITACHI DVD-ROM GD-5000, ATAPI CD/DVD-ROM drive
81 Mot inconnu : GD-5000 =>   hdc: HITACHI DVD-ROM GD-5000, ATAPI CD/DVD-ROM drive
81 Mot inconnu : ATAPI =>   hdc: HITACHI DVD-ROM GD-5000, ATAPI CD/DVD-ROM drive

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   hdd: HL-DT-ST GCE-8526B, ATAPI CD/DVD-ROM drive
82 Mot inconnu : hdd =>   hdd: HL-DT-ST GCE-8526B, ATAPI CD/DVD-ROM drive
82 Il manque un espace insécable. =>   hdd: HL-DT-ST GCE-8526B, ATAPI CD/DVD-ROM drive
82 Mot inconnu : HL-DT-ST =>   hdd: HL-DT-ST GCE-8526B, ATAPI CD/DVD-ROM drive
82 Mot inconnu : GCE-8526B =>   hdd: HL-DT-ST GCE-8526B, ATAPI CD/DVD-ROM drive
82 Mot inconnu : ATAPI =>   hdd: HL-DT-ST GCE-8526B, ATAPI CD/DVD-ROM drive

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Adding 746980k swap on /dev/hda5.  Priority:-1 extents:1
83 Mot inconnu : Adding =>   Adding 746980k swap on /dev/hda5.  Priority:-1 extents:1
83 Espace(s) surnuméraire(s) à supprimer. =>   Adding 746980k swap on /dev/hda5.  Priority:-1 extents:1
83 Mot inconnu : Priority =>   Adding 746980k swap on /dev/hda5.  Priority:-1 extents:1
83 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. =>   Adding 746980k swap on /dev/hda5.  Priority:-1 extents:1
83 Mot inconnu : extents =>   Adding 746980k swap on /dev/hda5.  Priority:-1 extents:1
83 Il manque un espace. =>   Adding 746980k swap on /dev/hda5.  Priority:-1 extents:1

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   EXT3 FS on hda1, internal journal
84 Mot inconnu : EXT3 =>   EXT3 FS on hda1, internal journal
84 Mot inconnu : hda1 =>   EXT3 FS on hda1, internal journal
84 Mot inconnu : internal =>   EXT3 FS on hda1, internal journal

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   hdc: ATAPI 40X DVD-ROM drive, 512kB Cache
85 Mot inconnu : hdc =>   hdc: ATAPI 40X DVD-ROM drive, 512kB Cache
85 Il manque un espace insécable. =>   hdc: ATAPI 40X DVD-ROM drive, 512kB Cache
85 Mot inconnu : ATAPI =>   hdc: ATAPI 40X DVD-ROM drive, 512kB Cache
85 Mot inconnu : kB =>   hdc: ATAPI 40X DVD-ROM drive, 512kB Cache

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   hdd: ATAPI 52X CD-ROM CD-R/RW drive, 2048kB Cache
86 Mot inconnu : hdd =>   hdd: ATAPI 52X CD-ROM CD-R/RW drive, 2048kB Cache
86 Il manque un espace insécable. =>   hdd: ATAPI 52X CD-ROM CD-R/RW drive, 2048kB Cache
86 Mot inconnu : ATAPI =>   hdd: ATAPI 52X CD-ROM CD-R/RW drive, 2048kB Cache
86 Mot inconnu : RW =>   hdd: ATAPI 52X CD-ROM CD-R/RW drive, 2048kB Cache
86 Mot inconnu : kB =>   hdd: ATAPI 52X CD-ROM CD-R/RW drive, 2048kB Cache

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   EXT3 FS on hdb1, internal journal
87 Mot inconnu : EXT3 =>   EXT3 FS on hdb1, internal journal
87 Mot inconnu : hdb1 =>   EXT3 FS on hdb1, internal journal
87 Mot inconnu : internal =>   EXT3 FS on hdb1, internal journal

89 Il manque un espace insécable. => Dans cet exemple on remarque facilement ces périphériques :

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -           hda Disque dur primaire Western Digital de 20Go
90 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   -           hda Disque dur primaire Western Digital de 20Go
90 Mot inconnu : hda =>   -           hda Disque dur primaire Western Digital de 20Go

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -           hdb Disque dur secondaire Maxtor de 10Go
91 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   -           hdb Disque dur secondaire Maxtor de 10Go
91 Mot inconnu : hdb =>   -           hdb Disque dur secondaire Maxtor de 10Go
91 Mot inconnu : Maxtor =>   -           hdb Disque dur secondaire Maxtor de 10Go

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -           hdc Lecteur DVD-ROM Hitachi
92 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   -           hdc Lecteur DVD-ROM Hitachi
92 Mot inconnu : hdc =>   -           hdc Lecteur DVD-ROM Hitachi

93 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   -           hdd Graveur CD-RW
93 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   -           hdd Graveur CD-RW
