2 Espace(s) en fin de ligne à supprimer. => ----  |   => suggestions : ['']
60 Guillemets typographiques fermants. => C'est la balise à utiliser pour afficher de longs messages d'erreurs, des contenus de fichiers de configuration, des commandes à taper, etc.  Elle permet des messages plus "compacts", et est moins ambiguë que d'autres polices sur certains caractères. | " => suggestions : ['\xa0»', '”']

61 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [code] |    => suggestions : ['']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   #une suite de commandes |    => suggestions : ['']

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   commande a b c fichier |    => suggestions : ['']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   commande2 etc. |    => suggestions : ['']
64 Mot inconnu : commande2 =>   commande2 etc. | commande2
64 Avant « etc. », il faut mettre une virgule. =>   commande2 etc. |  etc. => suggestions : [', etc.']

65 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [/code] |    => suggestions : ['']

67 Mot inconnu : QUOTE => ====Balise [QUOTE] : Citation==== | quote

68 Guillemets typographiques ouvrants. => Le texte entre les balises est considéré comme une citation. Cette balise est automatiquement utilisée par le bouton "Citer" (voir plus bas). La citation est placée dans un cadre blanc indenté. | " => suggestions : ['«\xa0', '“']
68 Guillemets typographiques fermants. => Le texte entre les balises est considéré comme une citation. Cette balise est automatiquement utilisée par le bouton "Citer" (voir plus bas). La citation est placée dans un cadre blanc indenté. | " => suggestions : ['\xa0»', '”']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [QUOTE=auteur]  citation  [/QUOTE] |    => suggestions : ['']
71 Mot inconnu : QUOTE =>   [QUOTE=auteur]  citation  [/QUOTE] | quote
71 Espace(s) surnuméraire(s) à supprimer. =>   [QUOTE=auteur]  citation  [/QUOTE] |    => suggestions : [' ']
71 Mot inconnu : QUOTE =>   [QUOTE=auteur]  citation  [/QUOTE] | quote

74 Mot inconnu : VIDEO => ====Balise [VIDEO]==== | video

75 Mot inconnu : HTML5 => Cette balise permet d'afficher directement dans le message une vidéo au format géré par la balise vidéo HTML5. | html5

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  * Firefox et Chromium gèrent assez bien la balise vidéo, dans les formats vidéo usuels et libres  (WebM et Ogg-Theora). |   => suggestions : ['']
76 Mot inconnu : Chromium =>  * Firefox et Chromium gèrent assez bien la balise vidéo, dans les formats vidéo usuels et libres  (WebM et Ogg-Theora). | chromium
76 Espace(s) surnuméraire(s) à supprimer. =>  * Firefox et Chromium gèrent assez bien la balise vidéo, dans les formats vidéo usuels et libres  (WebM et Ogg-Theora). |    => suggestions : [' ']
76 Mot inconnu : WebM =>  * Firefox et Chromium gèrent assez bien la balise vidéo, dans les formats vidéo usuels et libres  (WebM et Ogg-Theora). | webm
76 Mot inconnu : Ogg-Theora =>  * Firefox et Chromium gèrent assez bien la balise vidéo, dans les formats vidéo usuels et libres  (WebM et Ogg-Theora). | ogg-theora

77 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * si la personne consultant le message n'a pas un navigateur compatible avec le format ou la balise vidéo, elle ne pourra voir la vidéo (un carré monochrome apparaîtra à la place). |    => suggestions : ['']

78 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * En fonction du navigateur, certains bugs peuvent apparaître. |    => suggestions : ['']

79 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * cette balise est donc **à utiliser avec modération**, les risques de plantage du navigateur n'étant pas exclus. Plusieurs vidéos de ce type sur une page rendent également le chargement de celle-ci excessivement lourd et lent. |    => suggestions : ['']
79 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * cette balise est donc **à utiliser avec modération**, les risques de plantage du navigateur n'étant pas exclus. Plusieurs vidéos de ce type sur une page rendent également le chargement de celle-ci excessivement lourd et lent. | cette => suggestions : ['Cette']

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [APT]  nom du paquet  [/APT] |    => suggestions : ['']
83 Espace(s) surnuméraire(s) à supprimer. =>   [APT]  nom du paquet  [/APT] |    => suggestions : [' ']

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si le paquet est sur un dépôt non activé par l'utilisateur, rien ne sera installé. |    => suggestions : ['']

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * À utiliser avec précaution. |    => suggestions : ['']

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [DOC]  Thunderbird  [/DOC] |    => suggestions : ['']
91 Espace(s) surnuméraire(s) à supprimer. =>   [DOC]  Thunderbird  [/DOC] |    => suggestions : [' ']

94 Mot inconnu : LIST => ====Balise [LIST] et [*] : Mise en forme de listes==== | list

96 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [LIST=type de liste] délimite la liste et défini son type : à puces, numérique ou alphabétique. |    => suggestions : ['']
96 Mot inconnu : LIST =>   * [LIST=type de liste] délimite la liste et défini son type : à puces, numérique ou alphabétique. | list

97 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [*] délimite chaque item de la liste |    => suggestions : ['']

98 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * les items encadrés par [*] et [/*] doivent se trouver entre balises [LIST] |    => suggestions : ['']
98 Mot inconnu : LIST =>   * les items encadrés par [*] et [/*] doivent se trouver entre balises [LIST] | list

101 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[COLOR=couleur]** : permet d'afficher un texte en couleur. Sont acceptées les noms de couleurs en anglais, ainsi que les codes RGB hexadécimaux. |    => suggestions : ['']
101 Mot inconnu : COLOR =>   * **[COLOR=couleur]** : permet d'afficher un texte en couleur. Sont acceptées les noms de couleurs en anglais, ainsi que les codes RGB hexadécimaux. | color
101 Mot inconnu : RGB =>   * **[COLOR=couleur]** : permet d'afficher un texte en couleur. Sont acceptées les noms de couleurs en anglais, ainsi que les codes RGB hexadécimaux. | rgb

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[S]** : Texte barré. Permet d'afficher un texte comme barré, pour, par exemple, bien insister sur une modification ou une erreur à ne pas commettre. |    => suggestions : ['']

103 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[LEFT] [RIGHT] [CENTER] [JUSTIFY]** : l'alignement agit comme sur un traitement de texte, en alignant à gauche (par défaut), à droite, en centrant ou en justifiant. |    => suggestions : ['']
103 Mot inconnu : LEFT =>   * **[LEFT] [RIGHT] [CENTER] [JUSTIFY]** : l'alignement agit comme sur un traitement de texte, en alignant à gauche (par défaut), à droite, en centrant ou en justifiant. | left
103 Mot inconnu : RIGHT =>   * **[LEFT] [RIGHT] [CENTER] [JUSTIFY]** : l'alignement agit comme sur un traitement de texte, en alignant à gauche (par défaut), à droite, en centrant ou en justifiant. | right
103 Mot inconnu : JUSTIFY =>   * **[LEFT] [RIGHT] [CENTER] [JUSTIFY]** : l'alignement agit comme sur un traitement de texte, en alignant à gauche (par défaut), à droite, en centrant ou en justifiant. | justify

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * d'autres balises BBCode existent, mais ne sont pas actives sur le forum. |    => suggestions : ['']
104 Mot inconnu : BBCode =>   * d'autres balises BBCode existent, mais ne sont pas actives sur le forum. | bbcode

107 Mot inconnu : Émoticones => =====Smileys / Émoticones===== | émoticones

108 Mot inconnu : émoticones => Les émoticones (ou "binettes", ou encore "smileys") permettent d'égayer un message, et de rendre à l'écrit certaines émotions ou intentions propres à l'expression orale. | émoticones
108 Guillemets typographiques ouvrants. => Les émoticones (ou "binettes", ou encore "smileys") permettent d'égayer un message, et de rendre à l'écrit certaines émotions ou intentions propres à l'expression orale. | " => suggestions : ['«\xa0', '“']
108 Guillemets typographiques fermants. => Les émoticones (ou "binettes", ou encore "smileys") permettent d'égayer un message, et de rendre à l'écrit certaines émotions ou intentions propres à l'expression orale. | " => suggestions : ['\xa0»', '”']
108 Guillemets typographiques ouvrants. => Les émoticones (ou "binettes", ou encore "smileys") permettent d'égayer un message, et de rendre à l'écrit certaines émotions ou intentions propres à l'expression orale. | " => suggestions : ['«\xa0', '“']
108 Guillemets typographiques fermants. => Les émoticones (ou "binettes", ou encore "smileys") permettent d'égayer un message, et de rendre à l'écrit certaines émotions ou intentions propres à l'expression orale. | " => suggestions : ['\xa0»', '”']

110 Mot inconnu : émoticones => Les émoticones disponibles sont au dessus du champ de saisie de message ; il suffit de cliquer dessus pour en insérer une. | émoticones
110 Il manque un trait d’union. => Les émoticones disponibles sont au dessus du champ de saisie de message ; il suffit de cliquer dessus pour en insérer une. | au dessus => suggestions : ['au-dessus']

113 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pensez à les utiliser lorsque vous employez l'ironie, le double-sens, etc. bref, pour toute phrase pouvant être mal interprétée. |    => suggestions : ['']

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * N'en abusez pas non plus, ça devient très vite lourd, surtout lorsqu'un message se résume à des émoticones. |    => suggestions : ['']
114 Mot inconnu : émoticones =>   * N'en abusez pas non plus, ça devient très vite lourd, surtout lorsqu'un message se résume à des émoticones. | émoticones
