
6 Mot inconnu : Partimage => ====== Sauvegarde d'une partition avec Partimage ====== | partimage
49 Espace(s) en fin de ligne à supprimer. => Partimage est un logiciel graphiquement simple, mais graphique tout de même. (cependant très puissant), un "générique" de Ghost.  |   => suggestions : ['']

51 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. => == 1er écran == | 1er => suggestions : ['1ᵉʳ']

56 Il manque un espace à côté du tiret. => 1- La partition concernée | -  => suggestions : [' – ', ' — ']

57 Il manque un espace à côté du tiret. => 2- Le fichier de sauvegarde ou de restauration  | -  => suggestions : [' – ', ' — ']
57 Espace(s) en fin de ligne à supprimer. => 2- Le fichier de sauvegarde ou de restauration  |   => suggestions : ['']

58 Il manque un espace à côté du tiret. => 3- Sauvegarder ou restaurer | -  => suggestions : [' – ', ' — ']

59 Il manque un espace à côté du tiret. => 4- Serveur (nous utiliserons un partage samba mais sans passer par ici)  | -  => suggestions : [' – ', ' — ']
59 Espace(s) en fin de ligne à supprimer. => 4- Serveur (nous utiliserons un partage samba mais sans passer par ici)  |   => suggestions : ['']
71 Espace(s) en fin de ligne à supprimer. => Une fois que le nom du fichier à sauvegarder est saisi :  |   => suggestions : ['']

72 Mot inconnu : F5 => sélectionner <suivant> ou F5  | f5
72 Espace(s) en fin de ligne à supprimer. => sélectionner <suivant> ou F5  |   => suggestions : ['']
74 Espace(s) en fin de ligne à supprimer. => Ici, nous choisissons de garder la configuration par défaut :  |   => suggestions : ['']

75 Mot inconnu : F5 => faite <suivant> ou F5 et sélectionner OK jusqu'à la fin.  | f5
75 Espace(s) en fin de ligne à supprimer. => faite <suivant> ou F5 et sélectionner OK jusqu'à la fin.  |   => suggestions : ['']

77 Mot inconnu : NTFS => (le support NTFS expérimental ne pose vraisemblablement pas de problème) | ntfs

79 Mot inconnu : Gzip => <note tip>**Message d'erreur lors de la restauration d'une sauvegarde au format Gzip** | gzip

81 Guillemets typographiques ouvrants. => Vous sélectionnez le fichier à restaurer "nom_fichier.000" et appuyez sur F5, Partimage vous dit "Invalid Compression level"... | " => suggestions : ['«\xa0', '“']
81 Mot inconnu : nom_fichier => Vous sélectionnez le fichier à restaurer "nom_fichier.000" et appuyez sur F5, Partimage vous dit "Invalid Compression level"... | nom_fichier
81 Guillemets typographiques fermants. => Vous sélectionnez le fichier à restaurer "nom_fichier.000" et appuyez sur F5, Partimage vous dit "Invalid Compression level"... | " => suggestions : ['\xa0»', '”']
81 Mot inconnu : F5 => Vous sélectionnez le fichier à restaurer "nom_fichier.000" et appuyez sur F5, Partimage vous dit "Invalid Compression level"... | f5
81 Mot inconnu : Partimage => Vous sélectionnez le fichier à restaurer "nom_fichier.000" et appuyez sur F5, Partimage vous dit "Invalid Compression level"... | partimage
81 Guillemets typographiques ouvrants. => Vous sélectionnez le fichier à restaurer "nom_fichier.000" et appuyez sur F5, Partimage vous dit "Invalid Compression level"... | " => suggestions : ['«\xa0', '“']
81 Mot inconnu : Invalid => Vous sélectionnez le fichier à restaurer "nom_fichier.000" et appuyez sur F5, Partimage vous dit "Invalid Compression level"... | invalid
81 Mot inconnu : level => Vous sélectionnez le fichier à restaurer "nom_fichier.000" et appuyez sur F5, Partimage vous dit "Invalid Compression level"... | level
81 Guillemets typographiques fermants. => Vous sélectionnez le fichier à restaurer "nom_fichier.000" et appuyez sur F5, Partimage vous dit "Invalid Compression level"... | " => suggestions : ['\xa0»', '”']
81 Typographie : points de suspension. Utilisez le caractère dédié. => Vous sélectionnez le fichier à restaurer "nom_fichier.000" et appuyez sur F5, Partimage vous dit "Invalid Compression level"... | ... => suggestions : ['…']

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo mv nom_fichier.000 nom_fichier.000.gz |     => suggestions : ['']
86 Mot inconnu : sudo =>    sudo mv nom_fichier.000 nom_fichier.000.gz | sudo
86 Mot inconnu : mv =>    sudo mv nom_fichier.000 nom_fichier.000.gz | mv
86 Mot inconnu : nom_fichier =>    sudo mv nom_fichier.000 nom_fichier.000.gz | nom_fichier

89 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo gunzip nom_fichier.000.gz |     => suggestions : ['']
89 Mot inconnu : sudo =>    sudo gunzip nom_fichier.000.gz | sudo
89 Mot inconnu : gunzip =>    sudo gunzip nom_fichier.000.gz | gunzip

91 Mot inconnu : Gzip => Gzip va recréer l'archive correctement. | gzip
95 Mot inconnu : boot => ===== Sauvegarde de Windows à partir d'Ubuntu (ex : montage en dual boot) ===== | boot
97 Espace(s) en fin de ligne à supprimer. => Cela peut être utile afin de restaurer votre partition windows à partir d'Ubuntu.  |   => suggestions : ['']

99 Il manque un espace après la parenthèse. => Pour commencer, il nous faut démonter (dans le cas où il est monté bien sûr)le volume correspondant à la partition à sauvegarder :  | ) => suggestions : [') ']
99 Espace(s) en fin de ligne à supprimer. => Pour commencer, il nous faut démonter (dans le cas où il est monté bien sûr)le volume correspondant à la partition à sauvegarder :  |   => suggestions : ['']
101 Espace(s) en fin de ligne à supprimer. => si windows est installé sur la première partition du disque dur :  |   => suggestions : ['']

102 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo umount /dev/hda1  |    => suggestions : ['']
102 Mot inconnu : sudo =>   sudo umount /dev/hda1  | sudo
102 Mot inconnu : umount =>   sudo umount /dev/hda1  | umount
102 Espace(s) en fin de ligne à supprimer. =>   sudo umount /dev/hda1  |   => suggestions : ['']
103 Espace(s) en fin de ligne à supprimer. => s'il est installé sur un second disque dur :  |   => suggestions : ['']

104 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo umount /dev/hdb1 |    => suggestions : ['']
104 Mot inconnu : sudo =>   sudo umount /dev/hdb1 | sudo
104 Mot inconnu : umount =>   sudo umount /dev/hdb1 | umount

106 Mot inconnu : partimage => Installer partimage directement sur votre Ubuntu, vous pouvez l'installer en utilisant la commande (dans un terminal, la mise à jour du système aura été réalisée au préalable) : | partimage

107 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install partimage |    => suggestions : ['']
107 Mot inconnu : sudo =>   sudo apt-get install partimage | sudo
107 Mot inconnu : apt-get =>   sudo apt-get install partimage | apt-get
107 Mot inconnu : install =>   sudo apt-get install partimage | install
107 Mot inconnu : partimage =>   sudo apt-get install partimage | partimage
108 Espace(s) en fin de ligne à supprimer. => Vous pouvez lancer l'application de la manière suivante :  |   => suggestions : ['']

109 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo partimage |    => suggestions : ['']
109 Mot inconnu : sudo =>   sudo partimage | sudo
109 Mot inconnu : partimage =>   sudo partimage | partimage

112 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A partir de là, notez que la navigation s'effectue à partir des flèches, la sélection avec la barre d'espace, la validation avec la touche entrée. | a => suggestions : ['À']

114 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

115 Guillemets typographiques ouvrants. => **Dans "Partition à sauvegarder/restaurer" sélectionner la partition à sauvegarder ou à restaurer** | " => suggestions : ['«\xa0', '“']
115 Guillemets typographiques fermants. => **Dans "Partition à sauvegarder/restaurer" sélectionner la partition à sauvegarder ou à restaurer** | " => suggestions : ['\xa0»', '”']
119 Espace(s) en fin de ligne à supprimer. => C'est le point essentiel : il se compose du chemin permettant d'accéder au fichier avec le fichier qui va être créé, soit :  |   => suggestions : ['']

121 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /"dossier existant"/"dossier existant"/..../nom_choisi_pour_le_fichier_image |    => suggestions : ['']
121 Guillemets typographiques ouvrants. =>   /"dossier existant"/"dossier existant"/..../nom_choisi_pour_le_fichier_image | " => suggestions : ['«\xa0', '“']
121 Guillemets typographiques fermants. =>   /"dossier existant"/"dossier existant"/..../nom_choisi_pour_le_fichier_image | " => suggestions : ['\xa0»', '”']
121 Guillemets typographiques ouvrants. =>   /"dossier existant"/"dossier existant"/..../nom_choisi_pour_le_fichier_image | " => suggestions : ['«\xa0', '“']
121 Guillemets typographiques fermants. =>   /"dossier existant"/"dossier existant"/..../nom_choisi_pour_le_fichier_image | " => suggestions : ['\xa0»', '”']
121 Typographie : points de suspension. Utilisez le caractère dédié. =>   /"dossier existant"/"dossier existant"/..../nom_choisi_pour_le_fichier_image | .... => suggestions : ['…']
121 Mot inconnu : nom_choisi_pour_le_fichier_image =>   /"dossier existant"/"dossier existant"/..../nom_choisi_pour_le_fichier_image | nom_choisi_pour_le_fichier_image

128 Espace(s) en fin de ligne à supprimer. => Pour plus de commodité, nous choisissons d'enregistrer dans le dossier /root/partition (à titre d'exemple)  |   => suggestions : ['']

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd /root |    => suggestions : ['']

132 Conjugaison erronée. Accord avec “On”. Le verbe devrait être à la 3ᵉ personne du singulier. => On créé le répertoire partition  | créé => suggestions : ['créait', 'créa', 'crée']
132 Espace(s) en fin de ligne à supprimer. => On créé le répertoire partition  |   => suggestions : ['']

133 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo mkdir partition  |    => suggestions : ['']
133 Mot inconnu : sudo =>   sudo mkdir partition  | sudo
133 Mot inconnu : mkdir =>   sudo mkdir partition  | mkdir
133 Espace(s) en fin de ligne à supprimer. =>   sudo mkdir partition  |   => suggestions : ['']

135 Mot inconnu : ctition => Le ctition/"exemple:sauvegarde_windows.000" | ctition
135 Guillemets typographiques ouvrants. => Le ctition/"exemple:sauvegarde_windows.000" | " => suggestions : ['«\xa0', '“']
135 Il manque un espace. => Le ctition/"exemple:sauvegarde_windows.000" | sauvegarde_windows => suggestions : [' sauvegarde_windows']
135 Mot inconnu : sauvegarde_windows => Le ctition/"exemple:sauvegarde_windows.000" | sauvegarde_windows
135 Guillemets typographiques fermants. => Le ctition/"exemple:sauvegarde_windows.000" | " => suggestions : ['\xa0»', '”']

137 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

140 Mot inconnu : usb => ====  Cas d'un enregistrement sur un disque dur externe usb ==== | usb
143 Guillemets typographiques ouvrants. => Par exemple : Le chemin et le fichier dans "image à créer/utiliser" est le suivant : | " => suggestions : ['«\xa0', '“']
143 Guillemets typographiques fermants. => Par exemple : Le chemin et le fichier dans "image à créer/utiliser" est le suivant : | " => suggestions : ['\xa0»', '”']

144 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /media/disk/"mon_fichier_à_créer" |    => suggestions : ['']
144 Mot inconnu : disk =>   /media/disk/"mon_fichier_à_créer" | disk
144 Guillemets typographiques ouvrants. =>   /media/disk/"mon_fichier_à_créer" | " => suggestions : ['«\xa0', '“']
144 Mot inconnu : mon_fichier_à_créer =>   /media/disk/"mon_fichier_à_créer" | mon_fichier_à_créer
144 Guillemets typographiques fermants. =>   /media/disk/"mon_fichier_à_créer" | " => suggestions : ['\xa0»', '”']
145 Espace(s) en fin de ligne à supprimer. => pour restaurer :  |   => suggestions : ['']

146 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /media/disk/"mon_fichier_créer.000" |    => suggestions : ['']
146 Mot inconnu : disk =>   /media/disk/"mon_fichier_créer.000" | disk
146 Guillemets typographiques ouvrants. =>   /media/disk/"mon_fichier_créer.000" | " => suggestions : ['«\xa0', '“']
146 Mot inconnu : mon_fichier_créer =>   /media/disk/"mon_fichier_créer.000" | mon_fichier_créer
146 Guillemets typographiques fermants. =>   /media/disk/"mon_fichier_créer.000" | " => suggestions : ['\xa0»', '”']
150 Espace(s) en fin de ligne à supprimer. => Une fois que le nom du fichier à sauvegarder est saisi :  |   => suggestions : ['']

151 Mot inconnu : F5 => sélectionner <suivant> ou F5 | f5
153 Espace(s) en fin de ligne à supprimer. => Ici, nous choisissons de garder la configuration par défaut :  |   => suggestions : ['']

154 Mot inconnu : F5 => faire <suivant> ou F5 et sélectionner OK jusqu'à la fin.  | f5
154 Espace(s) en fin de ligne à supprimer. => faire <suivant> ou F5 et sélectionner OK jusqu'à la fin.  |   => suggestions : ['']

156 Mot inconnu : NTFS => (le support NTFS expérimental ne pose vraisemblablement pas de problème) | ntfs

176 Mot inconnu : liveCD => ===== Sauvegarde d'une partition à partir d'un liveCD ===== | livecd

178 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

179 Espace(s) en fin de ligne à supprimer. => Ce cas s'applique à toutes les partitions.  |   => suggestions : ['']

180 Mot inconnu : Gparted => Dans notre cas, nous utilisons un live-cd (quelconque) Le dernier Gparted semble très bien (tous inclus) : http://switch.dl.sourceforge.net/sourceforge/gparted/gparted-livecd-0.3.4-6.iso | gparted
182 Mot inconnu : boot => Le principe est simple : on boot à partir du cd, on installe partimage (si le live-cd ne le propose pas déjà), on monte l'espace de sauvegarde à partir du live cd, puis on lance partimage. | boot
182 Accord de genre erroné : « cd » est féminin. => Le principe est simple : on boot à partir du cd, on installe partimage (si le live-cd ne le propose pas déjà), on monte l'espace de sauvegarde à partir du live cd, puis on lance partimage. | du => suggestions : ['de la']
182 Mot inconnu : partimage => Le principe est simple : on boot à partir du cd, on installe partimage (si le live-cd ne le propose pas déjà), on monte l'espace de sauvegarde à partir du live cd, puis on lance partimage. | partimage
182 Mot inconnu : partimage => Le principe est simple : on boot à partir du cd, on installe partimage (si le live-cd ne le propose pas déjà), on monte l'espace de sauvegarde à partir du live cd, puis on lance partimage. | partimage

184 Espace(s) en fin de ligne à supprimer. => on sélectionne la partition à sauvegarder / restaurer  |   => suggestions : ['']

186 Mot inconnu : partimage => on désigne le chemin comprenant le fichier qui sera créé par partimage | partimage

188 Mot inconnu : F5 => on complète et valide l'ensemble par F5, ... OK  | f5
188 Une de ces ponctuations est superflue. => on complète et valide l'ensemble par F5, ... OK  | , . => suggestions : [',', '.']
188 Typographie : points de suspension. Utilisez le caractère dédié. => on complète et valide l'ensemble par F5, ... OK  | ... => suggestions : ['…']
188 Espace(s) en fin de ligne à supprimer. => on complète et valide l'ensemble par F5, ... OK  |   => suggestions : ['']

205 Mot inconnu : usb => ==== Cas d'un enregistrement sur un disque dur externe (usb) ==== | usb

208 Mot inconnu : Gparted => Nous allons utiliser le live cd Gparted ( http://gparted.sourceforge.net/livecd.php ) afin de repérer l'espace de sauvegarde. Cependant System Rescue Cd fonctionne tout aussi bien http://www.sysresccd.org/Index.fr.php.  | gparted
208 Pas d’espace après ce signe. => Nous allons utiliser le live cd Gparted ( http://gparted.sourceforge.net/livecd.php ) afin de repérer l'espace de sauvegarde. Cependant System Rescue Cd fonctionne tout aussi bien http://www.sysresccd.org/Index.fr.php.  | (  => suggestions : ['(']
208 Pas d’espace avant ce signe. => Nous allons utiliser le live cd Gparted ( http://gparted.sourceforge.net/livecd.php ) afin de repérer l'espace de sauvegarde. Cependant System Rescue Cd fonctionne tout aussi bien http://www.sysresccd.org/Index.fr.php.  |  ) => suggestions : [')']
208 Mot inconnu : System => Nous allons utiliser le live cd Gparted ( http://gparted.sourceforge.net/livecd.php ) afin de repérer l'espace de sauvegarde. Cependant System Rescue Cd fonctionne tout aussi bien http://www.sysresccd.org/Index.fr.php.  | system
208 Mot inconnu : Rescue => Nous allons utiliser le live cd Gparted ( http://gparted.sourceforge.net/livecd.php ) afin de repérer l'espace de sauvegarde. Cependant System Rescue Cd fonctionne tout aussi bien http://www.sysresccd.org/Index.fr.php.  | rescue
208 Espace(s) en fin de ligne à supprimer. => Nous allons utiliser le live cd Gparted ( http://gparted.sourceforge.net/livecd.php ) afin de repérer l'espace de sauvegarde. Cependant System Rescue Cd fonctionne tout aussi bien http://www.sysresccd.org/Index.fr.php.  |   => suggestions : ['']

210 Mot inconnu : boot => Après gravure du fichier ISO, on boot avec le CD.  | boot
210 Espace(s) en fin de ligne à supprimer. => Après gravure du fichier ISO, on boot avec le CD.  |   => suggestions : ['']
212 Espace(s) en fin de ligne à supprimer. => Dans notre cas, on repère le disque dur externe destiné à la future sauvegarde : /dev/sda  |   => suggestions : ['']

214 Espace(s) en fin de ligne à supprimer. => Ouvrir le terminal  |   => suggestions : ['']

215 Conjugaison erronée. Accord avec “On”. Le verbe devrait être à la 3ᵉ personne du singulier. => On créé un dossier partition dans /root,  | créé => suggestions : ['créait', 'créa', 'crée']
215 Espace(s) en fin de ligne à supprimer. => On créé un dossier partition dans /root,  |   => suggestions : ['']

216 Mot inconnu : root => Pour cela on se place dans le répertoire root | root

217 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd /root |    => suggestions : ['']

218 Conjugaison erronée. Accord avec “On”. Le verbe devrait être à la 3ᵉ personne du singulier. => On créé un dossier nommé "partition" (ou "tartuf") | créé => suggestions : ['créait', 'créa', 'crée']
218 Guillemets typographiques ouvrants. => On créé un dossier nommé "partition" (ou "tartuf") | " => suggestions : ['«\xa0', '“']
218 Guillemets typographiques fermants. => On créé un dossier nommé "partition" (ou "tartuf") | " => suggestions : ['\xa0»', '”']
218 Guillemets typographiques ouvrants. => On créé un dossier nommé "partition" (ou "tartuf") | " => suggestions : ['«\xa0', '“']
218 Mot inconnu : tartuf => On créé un dossier nommé "partition" (ou "tartuf") | tartuf
218 Guillemets typographiques fermants. => On créé un dossier nommé "partition" (ou "tartuf") | " => suggestions : ['\xa0»', '”']

219 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mkdir partition |    => suggestions : ['']
219 Mot inconnu : mkdir =>   mkdir partition | mkdir

220 Espace(s) en fin de ligne à supprimer. => On monte le disque dur externe  |   => suggestions : ['']

221 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   mount /dev/sda1 /root/partition |    => suggestions : ['']
221 Mot inconnu : mount =>   mount /dev/sda1 /root/partition | mount

223 Mot inconnu : partimage => On lance partimage  | partimage
223 Espace(s) en fin de ligne à supprimer. => On lance partimage  |   => suggestions : ['']

224 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   partimage |    => suggestions : ['']
224 Mot inconnu : partimage =>   partimage | partimage

226 Guillemets typographiques ouvrants. => Dans la partie "fichiers de sauvegarde" | " => suggestions : ['«\xa0', '“']
226 Guillemets typographiques fermants. => Dans la partie "fichiers de sauvegarde" | " => suggestions : ['\xa0»', '”']

227 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /root/partition/"fichier_image_qui_sera_créé" |    => suggestions : ['']
227 Guillemets typographiques ouvrants. =>   /root/partition/"fichier_image_qui_sera_créé" | " => suggestions : ['«\xa0', '“']
227 Mot inconnu : fichier_image_qui_sera_créé =>   /root/partition/"fichier_image_qui_sera_créé" | fichier_image_qui_sera_créé
227 Guillemets typographiques fermants. =>   /root/partition/"fichier_image_qui_sera_créé" | " => suggestions : ['\xa0»', '”']

229 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /root/partition/"fichier_image_qui_sera_créé.000" |    => suggestions : ['']
229 Guillemets typographiques ouvrants. =>   /root/partition/"fichier_image_qui_sera_créé.000" | " => suggestions : ['«\xa0', '“']
229 Mot inconnu : fichier_image_qui_sera_créé =>   /root/partition/"fichier_image_qui_sera_créé.000" | fichier_image_qui_sera_créé
229 Guillemets typographiques fermants. =>   /root/partition/"fichier_image_qui_sera_créé.000" | " => suggestions : ['\xa0»', '”']
231 Espace(s) en fin de ligne à supprimer. => Nous aurions pu le placer dans un dossier sur le disque externe :  |   => suggestions : ['']

232 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /root/partition/"dossier_sur_le_DDE"/"fichier_image_qui_sera_créé" |    => suggestions : ['']
232 Guillemets typographiques ouvrants. =>   /root/partition/"dossier_sur_le_DDE"/"fichier_image_qui_sera_créé" | " => suggestions : ['«\xa0', '“']
232 Mot inconnu : dossier_sur_le_DDE =>   /root/partition/"dossier_sur_le_DDE"/"fichier_image_qui_sera_créé" | dossier_sur_le_dde
232 Guillemets typographiques fermants. =>   /root/partition/"dossier_sur_le_DDE"/"fichier_image_qui_sera_créé" | " => suggestions : ['\xa0»', '”']
232 Guillemets typographiques ouvrants. =>   /root/partition/"dossier_sur_le_DDE"/"fichier_image_qui_sera_créé" | " => suggestions : ['«\xa0', '“']
232 Mot inconnu : fichier_image_qui_sera_créé =>   /root/partition/"dossier_sur_le_DDE"/"fichier_image_qui_sera_créé" | fichier_image_qui_sera_créé
232 Guillemets typographiques fermants. =>   /root/partition/"dossier_sur_le_DDE"/"fichier_image_qui_sera_créé" | " => suggestions : ['\xa0»', '”']
260 Pas d’espace après ce signe. => ==== Cas d'un enregistrement sur un partage windows ( samba ) sur le réseau  ==== | (  => suggestions : ['(']
260 Pas d’espace avant ce signe. => ==== Cas d'un enregistrement sur un partage windows ( samba ) sur le réseau  ==== |  ) => suggestions : [')']
260 Espace(s) surnuméraire(s) à supprimer. => ==== Cas d'un enregistrement sur un partage windows ( samba ) sur le réseau  ==== |    => suggestions : [' ']

262 Mot inconnu : root => Le partage samba doit être fonctionnel, pare-feu configuré, l'utilisateur root a accès au partage par un code d'accès (sur le pc offrant le partage : dans un terminal :   | root
262 Espace(s) en fin de ligne à supprimer. => Le partage samba doit être fonctionnel, pare-feu configuré, l'utilisateur root a accès au partage par un code d'accès (sur le pc offrant le partage : dans un terminal :   |    => suggestions : ['']

263 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   smbpasswd root        |    => suggestions : ['']
263 Mot inconnu : smbpasswd =>   smbpasswd root        | smbpasswd
263 Mot inconnu : root =>   smbpasswd root        | root
263 Espace(s) en fin de ligne à supprimer. =>   smbpasswd root        |         => suggestions : ['']

265 Espace(s) en fin de ligne à supprimer. => Nous utilisons ici un live-CD, un choix personnel s'impose.  |   => suggestions : ['']

267 Mot inconnu : partimage => Nous utilisons pour notre exemple partimage sur " ping 1.11 " http://www.windowsdream.com/ping/download.html bien que system rescue CD soit très bien aussi http://www.sysresccd.org/Main_Page (mais il plante aujourd'hui) | partimage
267 Guillemets isolés. => Nous utilisons pour notre exemple partimage sur " ping 1.11 " http://www.windowsdream.com/ping/download.html bien que system rescue CD soit très bien aussi http://www.sysresccd.org/Main_Page (mais il plante aujourd'hui) |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
267 Mot inconnu : ping => Nous utilisons pour notre exemple partimage sur " ping 1.11 " http://www.windowsdream.com/ping/download.html bien que system rescue CD soit très bien aussi http://www.sysresccd.org/Main_Page (mais il plante aujourd'hui) | ping
267 Guillemets isolés. => Nous utilisons pour notre exemple partimage sur " ping 1.11 " http://www.windowsdream.com/ping/download.html bien que system rescue CD soit très bien aussi http://www.sysresccd.org/Main_Page (mais il plante aujourd'hui) |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
267 Mot inconnu : system => Nous utilisons pour notre exemple partimage sur " ping 1.11 " http://www.windowsdream.com/ping/download.html bien que system rescue CD soit très bien aussi http://www.sysresccd.org/Main_Page (mais il plante aujourd'hui) | system
267 Mot inconnu : rescue => Nous utilisons pour notre exemple partimage sur " ping 1.11 " http://www.windowsdream.com/ping/download.html bien que system rescue CD soit très bien aussi http://www.sysresccd.org/Main_Page (mais il plante aujourd'hui) | rescue

269 Mot inconnu : boot => On boot directement sur le CD.   | boot
269 Espace(s) en fin de ligne à supprimer. => On boot directement sur le CD.   |    => suggestions : ['']

270 Guillemets typographiques ouvrants. => et on choisit le shell et non "ping 1.11"  | " => suggestions : ['«\xa0', '“']
270 Mot inconnu : ping => et on choisit le shell et non "ping 1.11"  | ping
270 Guillemets typographiques fermants. => et on choisit le shell et non "ping 1.11"  | " => suggestions : ['\xa0»', '”']
270 Espace(s) en fin de ligne à supprimer. => et on choisit le shell et non "ping 1.11"  |   => suggestions : ['']

272 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   x         ## puis taper <entrée> |    => suggestions : ['']
272 Espace(s) surnuméraire(s) à supprimer. =>   x         ## puis taper <entrée> |           => suggestions : [' ']

273 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Linux login: root |    => suggestions : ['']
273 Mot inconnu : root =>   Linux login: root | root
276 Espace(s) surnuméraire(s) à supprimer. => == La ligne de commande vous tend les bras :  == |    => suggestions : [' ']

278 Espace(s) en fin de ligne à supprimer. => **On configure le réseau**  |   => suggestions : ['']
280 Espace(s) en fin de ligne à supprimer. => En mode automatique :  |   => suggestions : ['']

