1 Mot inconnu : Nautilus-scripts => ====== Mes Nautilus-scripts ====== | nautilus-scripts
128 Mot inconnu : nautilus =>   * Allez dans le dossier des scripts nautilus | nautilus

129 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Créez-y le fichier //pyrenamit// ou //pyrenamall//, au choix |    => suggestions : ['']
129 Mot inconnu : pyrenamit =>   * Créez-y le fichier //pyrenamit// ou //pyrenamall//, au choix | pyrenamit
129 Mot inconnu : pyrenamall =>   * Créez-y le fichier //pyrenamit// ou //pyrenamall//, au choix | pyrenamall

130 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Rendez le exécutable, pour ne pas avoir à le faire après |    => suggestions : ['']
130 Élision de l’article devant un mot commençant par une voyelle. =>   * Rendez le exécutable, pour ne pas avoir à le faire après | le  => suggestions : ['l’']

131 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Éditez-le et copiez-collez-y le code suivant |    => suggestions : ['']

236 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le script vérifie le chemin d'execution du script pyrenamit |    => suggestions : ['']
236 Mot inconnu : execution =>   * le script vérifie le chemin d'execution du script pyrenamit | execution
236 Mot inconnu : pyrenamit =>   * le script vérifie le chemin d'execution du script pyrenamit | pyrenamit

237 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le chemin est vide, le script lui assigne le dossier courant d'execution ... |    => suggestions : ['']
237 Mot inconnu : execution =>   * le chemin est vide, le script lui assigne le dossier courant d'execution ... | execution
237 Typographie : points de suspension. Utilisez le caractère dédié. =>   * le chemin est vide, le script lui assigne le dossier courant d'execution ... | ... => suggestions : ['…']

238 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le chemin n'est pas vide, le script vérifie si c'est un fichier ou un dossier |    => suggestions : ['']

239 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * si c'est un dossier, le script lancera pyrenamer avec le nom du dossier selectionné et son chemin complet |    => suggestions : ['']
239 Mot inconnu : pyrenamer =>   * si c'est un dossier, le script lancera pyrenamer avec le nom du dossier selectionné et son chemin complet | pyrenamer
239 Mot inconnu : selectionné =>   * si c'est un dossier, le script lancera pyrenamer avec le nom du dossier selectionné et son chemin complet | selectionné

240 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * si c'est un fichier, le script lancera pyrenamer avec le dossier contenant le fichier selectionné |    => suggestions : ['']
240 Mot inconnu : pyrenamer =>   * si c'est un fichier, le script lancera pyrenamer avec le dossier contenant le fichier selectionné | pyrenamer
240 Mot inconnu : selectionné =>   * si c'est un fichier, le script lancera pyrenamer avec le dossier contenant le fichier selectionné | selectionné

241 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * le script prend en compte les espaces et les caracteres accentués |    => suggestions : ['']
241 Mot inconnu : caracteres =>   * le script prend en compte les espaces et les caracteres accentués | caracteres

243 Mot inconnu : __Lire => __Lire les commentaires du code__ | __lire
243 Mot inconnu : code__ => __Lire les commentaires du code__ | code__
