2 Mot inconnu : seb73 [[7:12]] => ====== seb73 ====== <|> seb73
21 Accord de nombre erroné : « événement » devrait être au pluriel. [[231:240]] => Je Souhaite rencontrer virtuellement et dans la vie du monde utilisant Ubuntu j'ai besoin de partager avec d'autre utilisateurs, je souhaite également participer a des évènements au tour du libre si vous avez déjà participez a ces événement  je suis preneur d'infos ;) <|> événement => suggestions : None
21 Espace(s) surnuméraire(s) à supprimer. [[240:242]] => Je Souhaite rencontrer virtuellement et dans la vie du monde utilisant Ubuntu j'ai besoin de partager avec d'autre utilisateurs, je souhaite également participer a des évènements au tour du libre si vous avez déjà participez a ces événement  je suis preneur d'infos ;) <|>    => suggestions : None

24 Accord de nombre erroné : « serveur » devrait être au pluriel. [[76:83]] => Il y en a pas mal bon puisque je suis la bien évidement l'informatique, les serveur j'ai un serveur dédier sur ovh, mais suis en train de me faire une jolie config dans mon garage avec bien sûre WebMin pour moi webmin c'est la cerise sur Ubuntu le plus que parfait existe ;) <|> serveur => suggestions : None
24 Mot inconnu : ovh [[111:114]] => Il y en a pas mal bon puisque je suis la bien évidement l'informatique, les serveur j'ai un serveur dédier sur ovh, mais suis en train de me faire une jolie config dans mon garage avec bien sûre WebMin pour moi webmin c'est la cerise sur Ubuntu le plus que parfait existe ;) <|> ovh
24 Mot inconnu : WebMin [[195:201]] => Il y en a pas mal bon puisque je suis la bien évidement l'informatique, les serveur j'ai un serveur dédier sur ovh, mais suis en train de me faire une jolie config dans mon garage avec bien sûre WebMin pour moi webmin c'est la cerise sur Ubuntu le plus que parfait existe ;) <|> webmin
24 Mot inconnu : webmin [[211:217]] => Il y en a pas mal bon puisque je suis la bien évidement l'informatique, les serveur j'ai un serveur dédier sur ovh, mais suis en train de me faire une jolie config dans mon garage avec bien sûre WebMin pour moi webmin c'est la cerise sur Ubuntu le plus que parfait existe ;) <|> webmin

26 Mot inconnu : music [[31:36]] => Je fais du Saxophone j'aime la music, la montagne, la peinture, <|> music

28 Mot inconnu : théatre [[3:10]] => Le théatre mes pièces favorite son les créations de Wajdi Mouawad: <|> théatre
28 Accord de nombre erroné avec « mes pièces » : « favorite » devrait être au pluriel. [[22:30]] => Le théatre mes pièces favorite son les créations de Wajdi Mouawad: <|> favorite => suggestions : None
28 Mot inconnu : Wajdi [[52:57]] => Le théatre mes pièces favorite son les créations de Wajdi Mouawad: <|> wajdi
28 Mot inconnu : Mouawad [[58:65]] => Le théatre mes pièces favorite son les créations de Wajdi Mouawad: <|> mouawad

30 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. [[0:1]] => -Incendies <|> - => suggestions : None

31 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. [[0:1]] => -Forêts <|> - => suggestions : None

32 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. [[0:1]] => -Seul</note> <|> - => suggestions : None

36 Espace(s) en fin de ligne à supprimer. [[31:32]] => <note>-le noir est une couleur,  <|>   => suggestions : None

37 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. [[0:1]] => -les yeux du dragon,  <|> - => suggestions : None
37 Espace(s) en fin de ligne à supprimer. [[20:21]] => -les yeux du dragon,  <|>   => suggestions : None

38 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. [[0:1]] => -lettre à un jeune poète,  <|> - => suggestions : None
38 Espace(s) en fin de ligne à supprimer. [[25:26]] => -lettre à un jeune poète,  <|>   => suggestions : None

39 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. [[0:1]] => -comment je vois le monde d'albert einstein,  <|> - => suggestions : None
39 Mot inconnu : albert [[28:34]] => -comment je vois le monde d'albert einstein,  <|> albert
39 Mot inconnu : einstein [[35:43]] => -comment je vois le monde d'albert einstein,  <|> einstein
39 Espace(s) en fin de ligne à supprimer. [[44:45]] => -comment je vois le monde d'albert einstein,  <|>   => suggestions : None

40 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. [[0:1]] => -l'acrobatie aérienne de confucius,  <|> - => suggestions : None
40 Mot inconnu : confucius [[25:34]] => -l'acrobatie aérienne de confucius,  <|> confucius
40 Espace(s) en fin de ligne à supprimer. [[35:36]] => -l'acrobatie aérienne de confucius,  <|>   => suggestions : None

41 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. [[0:1]] => -Algérie le temps des regard de Claude Allemand,  <|> - => suggestions : None
41 Accord de nombre erroné : « regard » devrait être au pluriel. [[22:28]] => -Algérie le temps des regard de Claude Allemand,  <|> regard => suggestions : None
41 Espace(s) en fin de ligne à supprimer. [[48:49]] => -Algérie le temps des regard de Claude Allemand,  <|>   => suggestions : None

42 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. [[0:1]] => -Khalil Gibran Le Prophète,  <|> - => suggestions : None
42 Mot inconnu : Gibran [[8:14]] => -Khalil Gibran Le Prophète,  <|> gibran
42 Espace(s) en fin de ligne à supprimer. [[27:28]] => -Khalil Gibran Le Prophète,  <|>   => suggestions : None

43 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. [[0:1]] => -C.G. Jung Dialectique du moi et de l'inconscient,  <|> - => suggestions : None
43 Espace(s) en fin de ligne à supprimer. [[50:51]] => -C.G. Jung Dialectique du moi et de l'inconscient,  <|>   => suggestions : None

44 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. [[0:1]] => -C.G. Jung "Ma vie" Souvenir, rêves et pensées,  <|> - => suggestions : None
44 Guillemets typographiques ouvrants. [[11:12]] => -C.G. Jung "Ma vie" Souvenir, rêves et pensées,  <|> " => suggestions : None
44 Guillemets typographiques fermants. [[18:19]] => -C.G. Jung "Ma vie" Souvenir, rêves et pensées,  <|> " => suggestions : None
44 Espace(s) en fin de ligne à supprimer. [[47:48]] => -C.G. Jung "Ma vie" Souvenir, rêves et pensées,  <|>   => suggestions : None

45 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. [[0:1]] => -L'éclectisme,  <|> - => suggestions : None
45 Espace(s) en fin de ligne à supprimer. [[14:15]] => -L'éclectisme,  <|>   => suggestions : None

46 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. [[0:1]] => -Les rivières de plomb </note> <|> - => suggestions : None

51 Accord de nombre erroné : « mail » devrait être au pluriel. [[19:23]] => |Par mail pour les mail Jabber pour l'instantané ;)| <|> mail => suggestions : None
