1 Mot inconnu : Canigou [[7:14]] => ====== Canigou 66 ====== <|> canigou
74 Mot inconnu : fr_FR [[4:9]] =>   * fr_FR.UTF-8 French | Français <|> fr_fr
81 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[12:15]] =>   * Français - Français (azerty) <|>  -  => suggestions :  –  —  − 

85 Mot inconnu : clonezilla [[17:27]] => === Démarrage de clonezilla === <|> clonezilla
86 Mot inconnu : Start_Clonezilla [[4:20]] =>   * Start_Clonezilla  Démarrage de Clonezilla <|> start_clonezilla
86 Espace(s) surnuméraire(s) à supprimer. [[20:22]] =>   * Start_Clonezilla  Démarrage de Clonezilla <|>    => suggestions :  
86 Mot inconnu : Clonezilla [[35:45]] =>   * Start_Clonezilla  Démarrage de Clonezilla <|> clonezilla
90 Mot inconnu : Device-image [[4:16]] =>   * Device-image  disque/partition vers/depuis image <|> device-image
90 Espace(s) surnuméraire(s) à supprimer. [[16:18]] =>   * Device-image  disque/partition vers/depuis image <|>    => suggestions :  
94 Mot inconnu : local_dev [[4:13]] =>   * local_dev    Monter un périphérique local (p. ex. : disque dur, clef USB) <|> local_dev
94 Espace(s) surnuméraire(s) à supprimer. [[13:17]] =>   * local_dev    Monter un périphérique local (p. ex. : disque dur, clef USB) <|>      => suggestions :  

104 Typographie : points de suspension. Utilisez le caractère dédié. [[11:14]] => === Message... === <|> ... => suggestions : …
105 Mot inconnu : Update [[4:10]] =>   * Update periodically. Press Ctrl-C to exit this windows <|> update
105 Mot inconnu : periodically [[11:23]] =>   * Update periodically. Press Ctrl-C to exit this windows <|> periodically
105 Mot inconnu : Press [[25:30]] =>   * Update periodically. Press Ctrl-C to exit this windows <|> press
105 Mot inconnu : to [[38:40]] =>   * Update periodically. Press Ctrl-C to exit this windows <|> to
105 Mot inconnu : this [[46:50]] =>   * Update periodically. Press Ctrl-C to exit this windows <|> this

109 Mot inconnu : saugegardée [[58:69]] => === Choix de la partition où vous avez enregistré l'image saugegardée === <|> saugegardée
117 Mettez des guillemets fermants plutôt qu’ouvrants. [[16:18]] =>   * sélectionner «..   Répertoire-parent » <|>  « => suggestions :  »”
117 Typographie : un ou trois points ? [[18:20]] =>   * sélectionner «..   Répertoire-parent » <|> .. => suggestions : .…
117 Espace(s) surnuméraire(s) à supprimer. [[20:23]] =>   * sélectionner «..   Répertoire-parent » <|>     => suggestions :  
118 Mot inconnu : Done [[47:51]] =>   * puis 2 fois Tabulation pour sélectionner « Done » puis Entrée <|> done
124 Mot inconnu : Beginner [[4:12]] =>   * Beginner Mode débutant : Accepter les options par défaut <|> beginner
128 Mot inconnu : Restoreparts [[4:16]] =>   * Restoreparts restaurer une image vers les partitions locales \\ ou <|> restoreparts
129 Mot inconnu : Restoredisk [[4:15]] =>   * Restoredisk restaurer une image vers le disque local <|> restoredisk

137 Confusion probable. Écrivez “là” si vous voulez dire “ici”. [[17:19]] => === Sélection de la ou des partitions ou du disque à restaurer === <|> la => suggestions : là
140 Mot inconnu : sda2 [[17:21]] =>   * Par exemple, sda2 et sda3 (si on a choisi "Restoreparts" précédemment)\\ ou <|> sda2
140 Mot inconnu : sda3 [[25:29]] =>   * Par exemple, sda2 et sda3 (si on a choisi "Restoreparts" précédemment)\\ ou <|> sda3
140 Guillemets typographiques ouvrants. [[46:47]] =>   * Par exemple, sda2 et sda3 (si on a choisi "Restoreparts" précédemment)\\ ou <|> " => suggestions : « “
140 Mot inconnu : Restoreparts [[47:59]] =>   * Par exemple, sda2 et sda3 (si on a choisi "Restoreparts" précédemment)\\ ou <|> restoreparts
140 Guillemets typographiques fermants. [[59:60]] =>   * Par exemple, sda2 et sda3 (si on a choisi "Restoreparts" précédemment)\\ ou <|> " => suggestions :  »”
141 Mot inconnu : sda [[17:20]] =>   * Par exemple, sda (si on a choisi "Restoredisk" précédemment) <|> sda
141 Guillemets typographiques ouvrants. [[37:38]] =>   * Par exemple, sda (si on a choisi "Restoredisk" précédemment) <|> " => suggestions : « “
141 Mot inconnu : Restoredisk [[38:49]] =>   * Par exemple, sda (si on a choisi "Restoredisk" précédemment) <|> restoredisk
141 Guillemets typographiques fermants. [[49:50]] =>   * Par exemple, sda (si on a choisi "Restoredisk" précédemment) <|> " => suggestions :  »”

142 Incohérence : espace et tabulation. [[0:2]] => 	  <|> 	  => suggestions : 	 
142 Espace(s) en fin de ligne à supprimer. [[1:2]] => 	  <|>  

145 Guillemets typographiques ouvrants. [[0:1]] => "Deux partitions ou plus ont été sélectionnées dans le répertoire image. La restauration sur le disque cible n'est possible que pour les même partitions. <|> " => suggestions : « “
145 Accord de nombre erroné : « même » devrait être au pluriel. [[137:141]] => "Deux partitions ou plus ont été sélectionnées dans le répertoire image. La restauration sur le disque cible n'est possible que pour les même partitions. <|> même => suggestions : mêmes

146 Guillemets typographiques ouvrants. [[12:13]] => Appuyez sur "Entrée" pour continuer…" <|> " => suggestions : « “
146 Guillemets typographiques fermants. [[19:20]] => Appuyez sur "Entrée" pour continuer…" <|> " => suggestions :  »”
146 Guillemets typographiques fermants. [[36:37]] => Appuyez sur "Entrée" pour continuer…" <|> " => suggestions :  »”
147 Après le verbe “faire”, ce verbe devrait être à l’infinitif. [[10:16]] =>   * Faire Entrée <|> entrée => suggestions : Entrer
154 Mot inconnu : poweroff [[7:15]] =>   * -p poweroff    Arrêter <|> poweroff
154 Espace(s) surnuméraire(s) à supprimer. [[15:19]] =>   * -p poweroff    Arrêter <|>      => suggestions :  
155 Après le verbe “faire”, ce verbe devrait être à l’infinitif. [[10:16]] =>   * Faire Entrée <|> entrée => suggestions : Entrer
158 Typographie : points de suspension. Utilisez le caractère dédié. [[41:44]] =>   * Appuyer sur « Entrée » pour continuer... <|> ... => suggestions : …
159 Après le verbe “faire”, ce verbe devrait être à l’infinitif. [[10:16]] =>   * Faire Entrée <|> entrée => suggestions : Entrer
162 Typographie : points de suspension. Utilisez le caractère dédié. [[13:16]] =>   * Patienter... <|> ... => suggestions : …

165 Écriture invariable. Utilisez un point médian. [[45:57]] => ATTENTION. LES DONNÉES EXISTANTES SUR LA/LES PARTITION(S) OU LE DISQUE  <|> partition(s) => suggestions : PARTITION·S
165 Espace(s) en fin de ligne à supprimer. [[70:71]] => ATTENTION. LES DONNÉES EXISTANTES SUR LA/LES PARTITION(S) OU LE DISQUE  <|>  

166 Typographie : points de suspension. Utilisez le caractère dédié. [[18:21]] => VONT ÊTRE ÉCRASÉES... <|> ... => suggestions : …
168 Guillemets typographiques ouvrants. [[11:12]] =>   * Saisir "y", puis faites "Entrée" <|> " => suggestions : « “
168 Guillemets typographiques fermants. [[13:14]] =>   * Saisir "y", puis faites "Entrée" <|> " => suggestions :  »”
168 Guillemets typographiques ouvrants. [[28:29]] =>   * Saisir "y", puis faites "Entrée" <|> " => suggestions : « “
168 Après le verbe “faire”, ce verbe devrait être à l’infinitif. [[29:35]] =>   * Saisir "y", puis faites "Entrée" <|> entrée => suggestions : Entrer
168 Guillemets typographiques fermants. [[35:36]] =>   * Saisir "y", puis faites "Entrée" <|> " => suggestions :  »”
172 Guillemets typographiques ouvrants. [[11:12]] =>   * Saisir "y", puis faites "Entrée" <|> " => suggestions : « “
172 Guillemets typographiques fermants. [[13:14]] =>   * Saisir "y", puis faites "Entrée" <|> " => suggestions :  »”
172 Guillemets typographiques ouvrants. [[28:29]] =>   * Saisir "y", puis faites "Entrée" <|> " => suggestions : « “
172 Après le verbe “faire”, ce verbe devrait être à l’infinitif. [[29:35]] =>   * Saisir "y", puis faites "Entrée" <|> entrée => suggestions : Entrer
172 Guillemets typographiques fermants. [[35:36]] =>   * Saisir "y", puis faites "Entrée" <|> " => suggestions :  »”
177 Guillemets typographiques ouvrants. [[11:12]] =>   * faites "Entrée" et votre machine s’éteint <|> " => suggestions : « “
177 Après le verbe “faire”, ce verbe devrait être à l’infinitif. [[12:18]] =>   * faites "Entrée" et votre machine s’éteint <|> entrée => suggestions : Entrer
177 Guillemets typographiques fermants. [[18:19]] =>   * faites "Entrée" et votre machine s’éteint <|> " => suggestions :  »”
