1 Mot inconnu : Scid => ====== Scid ====== | scid
20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo bunzip2 scid-3.6.26.tar.bz2; tar -xvf scid-3.6.26.tar //unzip & untar la source |     => suggestions : ['']
20 Mot inconnu : sudo =>    sudo bunzip2 scid-3.6.26.tar.bz2; tar -xvf scid-3.6.26.tar //unzip & untar la source | sudo
20 Mot inconnu : bunzip2 =>    sudo bunzip2 scid-3.6.26.tar.bz2; tar -xvf scid-3.6.26.tar //unzip & untar la source | bunzip2
20 Mot inconnu : scid-3 =>    sudo bunzip2 scid-3.6.26.tar.bz2; tar -xvf scid-3.6.26.tar //unzip & untar la source | scid-3
20 Mot inconnu : tar =>    sudo bunzip2 scid-3.6.26.tar.bz2; tar -xvf scid-3.6.26.tar //unzip & untar la source | tar
20 Il manque un espace à côté du tiret. =>    sudo bunzip2 scid-3.6.26.tar.bz2; tar -xvf scid-3.6.26.tar //unzip & untar la source |  - => suggestions : [' – ', ' — ']
20 Mot inconnu : xvf =>    sudo bunzip2 scid-3.6.26.tar.bz2; tar -xvf scid-3.6.26.tar //unzip & untar la source | xvf
20 Mot inconnu : scid-3 =>    sudo bunzip2 scid-3.6.26.tar.bz2; tar -xvf scid-3.6.26.tar //unzip & untar la source | scid-3
20 Mot inconnu : unzip =>    sudo bunzip2 scid-3.6.26.tar.bz2; tar -xvf scid-3.6.26.tar //unzip & untar la source | unzip
20 Mot inconnu : untar =>    sudo bunzip2 scid-3.6.26.tar.bz2; tar -xvf scid-3.6.26.tar //unzip & untar la source | untar

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo cd scid |     => suggestions : ['']
21 Mot inconnu : sudo =>    sudo cd scid | sudo
21 Mot inconnu : scid =>    sudo cd scid | scid

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo ./configure |     => suggestions : ['']
22 Mot inconnu : sudo =>    sudo ./configure | sudo

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo make |     => suggestions : ['']
23 Mot inconnu : sudo =>    sudo make | sudo
23 Mot inconnu : make =>    sudo make | make

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo make install |     => suggestions : ['']
24 Mot inconnu : sudo =>    sudo make install | sudo
24 Mot inconnu : make =>    sudo make install | make
24 Mot inconnu : install =>    sudo make install | install

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    mv ~/.scid ~/.scid_old_config déplace ancienne configuration Scid si necessaire |     => suggestions : ['']
25 Mot inconnu : mv =>    mv ~/.scid ~/.scid_old_config déplace ancienne configuration Scid si necessaire | mv
25 Mot inconnu : scid =>    mv ~/.scid ~/.scid_old_config déplace ancienne configuration Scid si necessaire | scid
25 Mot inconnu : scid_old_config =>    mv ~/.scid ~/.scid_old_config déplace ancienne configuration Scid si necessaire | scid_old_config
25 Mot inconnu : Scid =>    mv ~/.scid ~/.scid_old_config déplace ancienne configuration Scid si necessaire | scid
25 Mot inconnu : necessaire =>    mv ~/.scid ~/.scid_old_config déplace ancienne configuration Scid si necessaire | necessaire

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     |     => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    scid & //lance scid  |     => suggestions : ['']
30 Mot inconnu : scid =>    scid & //lance scid  | scid
30 Mot inconnu : scid =>    scid & //lance scid  | scid
30 Espace(s) en fin de ligne à supprimer. =>    scid & //lance scid  |   => suggestions : ['']

34 Espace(s) en fin de ligne à supprimer. => Pour supprimer cette application, il suffit de  |   => suggestions : ['']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo cd scid    |     => suggestions : ['']
36 Mot inconnu : sudo =>    sudo cd scid    | sudo
36 Mot inconnu : scid =>    sudo cd scid    | scid
36 Espace(s) en fin de ligne à supprimer. =>    sudo cd scid    |     => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    sudo make uninstall |     => suggestions : ['']
37 Mot inconnu : sudo =>    sudo make uninstall | sudo
37 Mot inconnu : make =>    sudo make uninstall | make
37 Mot inconnu : uninstall =>    sudo make uninstall | uninstall

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://scid.sourceforge.net/index.html/|Site officiel de Scid]] |    => suggestions : ['']
41 Mot inconnu : Scid =>   * **(en)** [[http://scid.sourceforge.net/index.html/|Site officiel de Scid]] | scid

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(fr, en)** [[http://prolinux.free.fr/scid/fr/|Site sur Scid (modifié par Pascal Georges)]] |    => suggestions : ['']
42 Mot inconnu : Scid =>   * **(fr, en)** [[http://prolinux.free.fr/scid/fr/|Site sur Scid (modifié par Pascal Georges)]] | scid
