1 Mot inconnu : Bogoris => ====== Bogoris ====== | bogoris
16 Le verbe devrait être à l’infinitif. => J'ai remarqué qu'il n'y avait qu'une partition pour / et ça me faisait stresser, j'ai donc mis le liveCD d'Ubuntu 6.10, j'ai redimensionné la partition à 15 Go. Je regrette d'ailleurs de n'avoir pas mis seulement 10 Go, voire 8 Go, n'ayant que 6,56 Go d'occupé pour l'instant, avec pourtant déjà pas mal de programmes d'installés, et en sachant que les programmes Windows qu'on fait tourner avec Wine sont mis dans la partition /home. J'ai alloué le reste de l'espace à une partition /home nouvellement créée. À noter que, je ne sais pour quelle raison, cette étape a étonnement pris pas mal de temps. | occupé => suggestions : ['occuper']
16 Le verbe devrait être à l’infinitif. => J'ai remarqué qu'il n'y avait qu'une partition pour / et ça me faisait stresser, j'ai donc mis le liveCD d'Ubuntu 6.10, j'ai redimensionné la partition à 15 Go. Je regrette d'ailleurs de n'avoir pas mis seulement 10 Go, voire 8 Go, n'ayant que 6,56 Go d'occupé pour l'instant, avec pourtant déjà pas mal de programmes d'installés, et en sachant que les programmes Windows qu'on fait tourner avec Wine sont mis dans la partition /home. J'ai alloué le reste de l'espace à une partition /home nouvellement créée. À noter que, je ne sais pour quelle raison, cette étape a étonnement pris pas mal de temps. | installés => suggestions : ['installer']
16 Mot inconnu : Wine => J'ai remarqué qu'il n'y avait qu'une partition pour / et ça me faisait stresser, j'ai donc mis le liveCD d'Ubuntu 6.10, j'ai redimensionné la partition à 15 Go. Je regrette d'ailleurs de n'avoir pas mis seulement 10 Go, voire 8 Go, n'ayant que 6,56 Go d'occupé pour l'instant, avec pourtant déjà pas mal de programmes d'installés, et en sachant que les programmes Windows qu'on fait tourner avec Wine sont mis dans la partition /home. J'ai alloué le reste de l'espace à une partition /home nouvellement créée. À noter que, je ne sais pour quelle raison, cette étape a étonnement pris pas mal de temps. | wine
16 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. => J'ai remarqué qu'il n'y avait qu'une partition pour / et ça me faisait stresser, j'ai donc mis le liveCD d'Ubuntu 6.10, j'ai redimensionné la partition à 15 Go. Je regrette d'ailleurs de n'avoir pas mis seulement 10 Go, voire 8 Go, n'ayant que 6,56 Go d'occupé pour l'instant, avec pourtant déjà pas mal de programmes d'installés, et en sachant que les programmes Windows qu'on fait tourner avec Wine sont mis dans la partition /home. J'ai alloué le reste de l'espace à une partition /home nouvellement créée. À noter que, je ne sais pour quelle raison, cette étape a étonnement pris pas mal de temps. | a => suggestions : ['à']
18 Espace(s) en fin de ligne à supprimer. => J'ai ensuite redémarré, monté ma nouvelle partition de 56 Go via le Poste de travail, j'ai créé un dossier avec mon nom d'utilisateur via  |   => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo mkdir /media/disk/bogoris |    => suggestions : ['']
19 Mot inconnu : sudo =>   sudo mkdir /media/disk/bogoris | sudo
19 Mot inconnu : mkdir =>   sudo mkdir /media/disk/bogoris | mkdir
19 Mot inconnu : disk =>   sudo mkdir /media/disk/bogoris | disk
19 Mot inconnu : bogoris =>   sudo mkdir /media/disk/bogoris | bogoris
22 Espace(s) en fin de ligne à supprimer. => J'ai ensuite édité le fichier /etc/fstab pour que ma nouvelle partition soit montée sur /home au démarrage, j'ai donc fait :  |   => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo gedit /etc/fstab |    => suggestions : ['']
23 Mot inconnu : sudo =>   sudo gedit /etc/fstab | sudo
23 Mot inconnu : gedit =>   sudo gedit /etc/fstab | gedit
24 Espace(s) en fin de ligne à supprimer. => et j'ai rajouté les deux lignes suivantes à la fin du fichier :  |   => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   # /dev/sda7 |    => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   UUID=6db8ab21-f420-4817-b631-4a49415abb27 /home           ext3         defaults,errors=remount-to  0       1 |    => suggestions : ['']
26 Mot inconnu : UUID =>   UUID=6db8ab21-f420-4817-b631-4a49415abb27 /home           ext3         defaults,errors=remount-to  0       1 | uuid
26 Mot inconnu : db8ab21-f420-4817-b631-4a49415abb27 =>   UUID=6db8ab21-f420-4817-b631-4a49415abb27 /home           ext3         defaults,errors=remount-to  0       1 | db8ab21-f420-4817-b631-4a49415abb27
26 Espace(s) surnuméraire(s) à supprimer. =>   UUID=6db8ab21-f420-4817-b631-4a49415abb27 /home           ext3         defaults,errors=remount-to  0       1 |             => suggestions : [' ']
26 Mot inconnu : ext3 =>   UUID=6db8ab21-f420-4817-b631-4a49415abb27 /home           ext3         defaults,errors=remount-to  0       1 | ext3
26 Espace(s) surnuméraire(s) à supprimer. =>   UUID=6db8ab21-f420-4817-b631-4a49415abb27 /home           ext3         defaults,errors=remount-to  0       1 |           => suggestions : [' ']
26 Mot inconnu : defaults =>   UUID=6db8ab21-f420-4817-b631-4a49415abb27 /home           ext3         defaults,errors=remount-to  0       1 | defaults
26 Il manque un espace. =>   UUID=6db8ab21-f420-4817-b631-4a49415abb27 /home           ext3         defaults,errors=remount-to  0       1 | errors => suggestions : [' errors']
26 Mot inconnu : errors =>   UUID=6db8ab21-f420-4817-b631-4a49415abb27 /home           ext3         defaults,errors=remount-to  0       1 | errors
26 Mot inconnu : remount-to =>   UUID=6db8ab21-f420-4817-b631-4a49415abb27 /home           ext3         defaults,errors=remount-to  0       1 | remount-to
26 Espace(s) surnuméraire(s) à supprimer. =>   UUID=6db8ab21-f420-4817-b631-4a49415abb27 /home           ext3         defaults,errors=remount-to  0       1 |    => suggestions : [' ']
26 Espace(s) surnuméraire(s) à supprimer. =>   UUID=6db8ab21-f420-4817-b631-4a49415abb27 /home           ext3         defaults,errors=remount-to  0       1 |         => suggestions : [' ']

28 Mot inconnu : UUID => Mon UUID, je l'ai connu en faisant  | uuid
28 Espace(s) en fin de ligne à supprimer. => Mon UUID, je l'ai connu en faisant  |   => suggestions : ['']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo vol_id -u /dev/sda7 |    => suggestions : ['']
29 Mot inconnu : sudo =>   sudo vol_id -u /dev/sda7 | sudo
29 Mot inconnu : vol_id =>   sudo vol_id -u /dev/sda7 | vol_id
29 Il manque un espace à côté du tiret. =>   sudo vol_id -u /dev/sda7 |  - => suggestions : [' – ', ' — ']

30 Guillemets typographiques ouvrants. => Il faut bien entendu connaitre préalablement le label de sa partition (je l'ai noté quand j'ai créé la partition avec "Gnome Partition Editor" (gparted). | " => suggestions : ['«\xa0', '“']
30 Mot inconnu : Editor => Il faut bien entendu connaitre préalablement le label de sa partition (je l'ai noté quand j'ai créé la partition avec "Gnome Partition Editor" (gparted). | editor
30 Guillemets typographiques fermants. => Il faut bien entendu connaitre préalablement le label de sa partition (je l'ai noté quand j'ai créé la partition avec "Gnome Partition Editor" (gparted). | " => suggestions : ['\xa0»', '”']
30 Mot inconnu : gparted => Il faut bien entendu connaitre préalablement le label de sa partition (je l'ai noté quand j'ai créé la partition avec "Gnome Partition Editor" (gparted). | gparted

35 Mot inconnu : user-dirs => Il faut en fait éditer le fichier ~/.config/user-dirs.dir et remplacer XDG_DESKTOP_DIR="$HOME/" par XDG_DESKTOP_DIR="$HOME/Desktop" | user-dirs
35 Mot inconnu : dir => Il faut en fait éditer le fichier ~/.config/user-dirs.dir et remplacer XDG_DESKTOP_DIR="$HOME/" par XDG_DESKTOP_DIR="$HOME/Desktop" | dir
35 Mot inconnu : XDG_DESKTOP_DIR => Il faut en fait éditer le fichier ~/.config/user-dirs.dir et remplacer XDG_DESKTOP_DIR="$HOME/" par XDG_DESKTOP_DIR="$HOME/Desktop" | xdg_desktop_dir
35 Mot inconnu : XDG_DESKTOP_DIR => Il faut en fait éditer le fichier ~/.config/user-dirs.dir et remplacer XDG_DESKTOP_DIR="$HOME/" par XDG_DESKTOP_DIR="$HOME/Desktop" | xdg_desktop_dir
35 Mot inconnu : Desktop => Il faut en fait éditer le fichier ~/.config/user-dirs.dir et remplacer XDG_DESKTOP_DIR="$HOME/" par XDG_DESKTOP_DIR="$HOME/Desktop" | desktop
35 Guillemets typographiques fermants. => Il faut en fait éditer le fichier ~/.config/user-dirs.dir et remplacer XDG_DESKTOP_DIR="$HOME/" par XDG_DESKTOP_DIR="$HOME/Desktop" | " => suggestions : ['\xa0»', '”']

37 Espace(s) en fin de ligne à supprimer. => Il ne restait plus qu'à redémarrer et c'était bon :)  |   => suggestions : ['']
41 Espace(s) en fin de ligne à supprimer. => Comme indiqué [[http://forum.ubuntu-fr.org/viewtopic.php?pid=1307566#p1307566|ici]], il se peut qu'il soit utile d'éditer le fichier /etc/X11/xorg.conf via :  |   => suggestions : ['']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo gedit /etc/X11/xorg.conf |    => suggestions : ['']
42 Mot inconnu : sudo =>   sudo gedit /etc/X11/xorg.conf | sudo
42 Mot inconnu : gedit =>   sudo gedit /etc/X11/xorg.conf | gedit
45 Espace(s) en fin de ligne à supprimer. => Cherchez la section :  |   => suggestions : ['']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Section "InputDevice" |    => suggestions : ['']
46 Guillemets typographiques ouvrants. =>   Section "InputDevice" | " => suggestions : ['«\xa0', '“']
46 Mot inconnu : InputDevice =>   Section "InputDevice" | inputdevice
46 Guillemets typographiques fermants. =>   Section "InputDevice" | " => suggestions : ['\xa0»', '”']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   	Identifier	"Generic Keyboard" |    => suggestions : ['']
47 Incohérence : espace et tabulation. =>   	Identifier	"Generic Keyboard" |  	 => suggestions : [' ', '\t']
47 Guillemets typographiques ouvrants. =>   	Identifier	"Generic Keyboard" | " => suggestions : ['«\xa0', '“']
47 Mot inconnu : Generic =>   	Identifier	"Generic Keyboard" | generic
47 Mot inconnu : Keyboard =>   	Identifier	"Generic Keyboard" | keyboard
47 Guillemets typographiques fermants. =>   	Identifier	"Generic Keyboard" | " => suggestions : ['\xa0»', '”']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   [...] |    => suggestions : ['']
48 Typographie : points de suspension. Utilisez le caractère dédié. =>   [...] | ... => suggestions : ['…']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   EndSection |    => suggestions : ['']
49 Mot inconnu : EndSection =>   EndSection | endsection
50 Espace(s) en fin de ligne à supprimer. => Commentez là en rajoutant des dièses devant chaque ligne, et copiez-collez juste dessous le code ci-dessous :  |   => suggestions : ['']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Section "InputDevice" |    => suggestions : ['']
51 Guillemets typographiques ouvrants. =>   Section "InputDevice" | " => suggestions : ['«\xa0', '“']
51 Mot inconnu : InputDevice =>   Section "InputDevice" | inputdevice
51 Guillemets typographiques fermants. =>   Section "InputDevice" | " => suggestions : ['\xa0»', '”']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   	Identifier	"Generic Keyboard" |    => suggestions : ['']
52 Incohérence : espace et tabulation. =>   	Identifier	"Generic Keyboard" |  	 => suggestions : [' ', '\t']
52 Guillemets typographiques ouvrants. =>   	Identifier	"Generic Keyboard" | " => suggestions : ['«\xa0', '“']
52 Mot inconnu : Generic =>   	Identifier	"Generic Keyboard" | generic
52 Mot inconnu : Keyboard =>   	Identifier	"Generic Keyboard" | keyboard
52 Guillemets typographiques fermants. =>   	Identifier	"Generic Keyboard" | " => suggestions : ['\xa0»', '”']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   	Driver		"kbd" |    => suggestions : ['']
53 Incohérence : espace et tabulation. =>   	Driver		"kbd" |  	 => suggestions : [' ', '\t']
53 Guillemets typographiques ouvrants. =>   	Driver		"kbd" | " => suggestions : ['«\xa0', '“']
53 Mot inconnu : kbd =>   	Driver		"kbd" | kbd
53 Guillemets typographiques fermants. =>   	Driver		"kbd" | " => suggestions : ['\xa0»', '”']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   	Option		"CoreKeyboard" |    => suggestions : ['']
54 Incohérence : espace et tabulation. =>   	Option		"CoreKeyboard" |  	 => suggestions : [' ', '\t']
54 Guillemets typographiques ouvrants. =>   	Option		"CoreKeyboard" | " => suggestions : ['«\xa0', '“']
54 Mot inconnu : CoreKeyboard =>   	Option		"CoreKeyboard" | corekeyboard
54 Guillemets typographiques fermants. =>   	Option		"CoreKeyboard" | " => suggestions : ['\xa0»', '”']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   	Option		"XkbRules" "xorg" |    => suggestions : ['']
55 Incohérence : espace et tabulation. =>   	Option		"XkbRules" "xorg" |  	 => suggestions : [' ', '\t']
55 Guillemets typographiques ouvrants. =>   	Option		"XkbRules" "xorg" | " => suggestions : ['«\xa0', '“']
55 Mot inconnu : XkbRules =>   	Option		"XkbRules" "xorg" | xkbrules
55 Guillemets typographiques fermants. =>   	Option		"XkbRules" "xorg" | " => suggestions : ['\xa0»', '”']
55 Guillemets typographiques ouvrants. =>   	Option		"XkbRules" "xorg" | " => suggestions : ['«\xa0', '“']
55 Mot inconnu : xorg =>   	Option		"XkbRules" "xorg" | xorg
55 Guillemets typographiques fermants. =>   	Option		"XkbRules" "xorg" | " => suggestions : ['\xa0»', '”']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   	Option		"XkbModel" "inspiron" |    => suggestions : ['']
56 Incohérence : espace et tabulation. =>   	Option		"XkbModel" "inspiron" |  	 => suggestions : [' ', '\t']
56 Guillemets typographiques ouvrants. =>   	Option		"XkbModel" "inspiron" | " => suggestions : ['«\xa0', '“']
56 Mot inconnu : XkbModel =>   	Option		"XkbModel" "inspiron" | xkbmodel
56 Guillemets typographiques fermants. =>   	Option		"XkbModel" "inspiron" | " => suggestions : ['\xa0»', '”']
56 Guillemets typographiques ouvrants. =>   	Option		"XkbModel" "inspiron" | " => suggestions : ['«\xa0', '“']
56 Mot inconnu : inspiron =>   	Option		"XkbModel" "inspiron" | inspiron
56 Guillemets typographiques fermants. =>   	Option		"XkbModel" "inspiron" | " => suggestions : ['\xa0»', '”']

57 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   	Option		"XkbLayout" "fr" |    => suggestions : ['']
57 Incohérence : espace et tabulation. =>   	Option		"XkbLayout" "fr" |  	 => suggestions : [' ', '\t']
57 Guillemets typographiques ouvrants. =>   	Option		"XkbLayout" "fr" | " => suggestions : ['«\xa0', '“']
57 Mot inconnu : XkbLayout =>   	Option		"XkbLayout" "fr" | xkblayout
57 Guillemets typographiques fermants. =>   	Option		"XkbLayout" "fr" | " => suggestions : ['\xa0»', '”']
57 Guillemets typographiques ouvrants. =>   	Option		"XkbLayout" "fr" | " => suggestions : ['«\xa0', '“']
57 Guillemets typographiques fermants. =>   	Option		"XkbLayout" "fr" | " => suggestions : ['\xa0»', '”']

58 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   	Option		"XkbVariant" "latin9" |    => suggestions : ['']
58 Incohérence : espace et tabulation. =>   	Option		"XkbVariant" "latin9" |  	 => suggestions : [' ', '\t']
58 Guillemets typographiques ouvrants. =>   	Option		"XkbVariant" "latin9" | " => suggestions : ['«\xa0', '“']
58 Mot inconnu : XkbVariant =>   	Option		"XkbVariant" "latin9" | xkbvariant
58 Guillemets typographiques fermants. =>   	Option		"XkbVariant" "latin9" | " => suggestions : ['\xa0»', '”']
58 Guillemets typographiques ouvrants. =>   	Option		"XkbVariant" "latin9" | " => suggestions : ['«\xa0', '“']
58 Mot inconnu : latin9 =>   	Option		"XkbVariant" "latin9" | latin9
58 Guillemets typographiques fermants. =>   	Option		"XkbVariant" "latin9" | " => suggestions : ['\xa0»', '”']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   	Option		"XkbOptions" "lv3:ralt_switch" |    => suggestions : ['']
59 Incohérence : espace et tabulation. =>   	Option		"XkbOptions" "lv3:ralt_switch" |  	 => suggestions : [' ', '\t']
59 Guillemets typographiques ouvrants. =>   	Option		"XkbOptions" "lv3:ralt_switch" | " => suggestions : ['«\xa0', '“']
59 Mot inconnu : XkbOptions =>   	Option		"XkbOptions" "lv3:ralt_switch" | xkboptions
59 Guillemets typographiques fermants. =>   	Option		"XkbOptions" "lv3:ralt_switch" | " => suggestions : ['\xa0»', '”']
59 Guillemets typographiques ouvrants. =>   	Option		"XkbOptions" "lv3:ralt_switch" | " => suggestions : ['«\xa0', '“']
59 Mot inconnu : lv3 =>   	Option		"XkbOptions" "lv3:ralt_switch" | lv3
59 Il manque un espace. =>   	Option		"XkbOptions" "lv3:ralt_switch" | ralt_switch => suggestions : [' ralt_switch']
59 Mot inconnu : ralt_switch =>   	Option		"XkbOptions" "lv3:ralt_switch" | ralt_switch
59 Guillemets typographiques fermants. =>   	Option		"XkbOptions" "lv3:ralt_switch" | " => suggestions : ['\xa0»', '”']

60 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   EndSection |    => suggestions : ['']
60 Mot inconnu : EndSection =>   EndSection | endsection

62 Mot inconnu : Backspace => Vous n'avez plus qu'à enregistrer le fichier, fermer toutes vos applications et tuer le serveur graphique via Ctrl + Alt + Backspace (la flèche <- pour effacer au dessus de Entrée). | backspace
62 Il manque un trait d’union. => Vous n'avez plus qu'à enregistrer le fichier, fermer toutes vos applications et tuer le serveur graphique via Ctrl + Alt + Backspace (la flèche <- pour effacer au dessus de Entrée). | au dessus => suggestions : ['au-dessus']

69 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Enregistrement en multipiste avec Audacity presque impossible (trop de latence :-() et encore pire avec Ardour. J'ai bien vérifié : ça ne vient ni de mon micro, ni de mon préampli, ni de ma version d'Audacity, car j'ai essayé en gardant tout ça mais en changeant de PC (sur mon PC de bureau vieux de plus de trois ans déjà) et tout marchait bien. |    => suggestions : ['']
69 Mot inconnu : multipiste =>   * Enregistrement en multipiste avec Audacity presque impossible (trop de latence :-() et encore pire avec Ardour. J'ai bien vérifié : ça ne vient ni de mon micro, ni de mon préampli, ni de ma version d'Audacity, car j'ai essayé en gardant tout ça mais en changeant de PC (sur mon PC de bureau vieux de plus de trois ans déjà) et tout marchait bien. | multipiste
69 Mot inconnu : Audacity =>   * Enregistrement en multipiste avec Audacity presque impossible (trop de latence :-() et encore pire avec Ardour. J'ai bien vérifié : ça ne vient ni de mon micro, ni de mon préampli, ni de ma version d'Audacity, car j'ai essayé en gardant tout ça mais en changeant de PC (sur mon PC de bureau vieux de plus de trois ans déjà) et tout marchait bien. | audacity
69 Mot inconnu : Ardour =>   * Enregistrement en multipiste avec Audacity presque impossible (trop de latence :-() et encore pire avec Ardour. J'ai bien vérifié : ça ne vient ni de mon micro, ni de mon préampli, ni de ma version d'Audacity, car j'ai essayé en gardant tout ça mais en changeant de PC (sur mon PC de bureau vieux de plus de trois ans déjà) et tout marchait bien. | ardour
69 Mot inconnu : préampli =>   * Enregistrement en multipiste avec Audacity presque impossible (trop de latence :-() et encore pire avec Ardour. J'ai bien vérifié : ça ne vient ni de mon micro, ni de mon préampli, ni de ma version d'Audacity, car j'ai essayé en gardant tout ça mais en changeant de PC (sur mon PC de bureau vieux de plus de trois ans déjà) et tout marchait bien. | préampli
69 Mot inconnu : Audacity =>   * Enregistrement en multipiste avec Audacity presque impossible (trop de latence :-() et encore pire avec Ardour. J'ai bien vérifié : ça ne vient ni de mon micro, ni de mon préampli, ni de ma version d'Audacity, car j'ai essayé en gardant tout ça mais en changeant de PC (sur mon PC de bureau vieux de plus de trois ans déjà) et tout marchait bien. | audacity

70 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Impossibilité de jouer à Counter-Strike 1.6 (le jeu se lance mais ne tient qu'entre 1 seconde et 3 minutes). |    => suggestions : ['']
70 Mot inconnu : Counter-Strike =>   * Impossibilité de jouer à Counter-Strike 1.6 (le jeu se lance mais ne tient qu'entre 1 seconde et 3 minutes). | counter-strike
