1 Mot inconnu : Metalseb => ====== Metalseb ====== | metalseb
16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **Disque Dur :** Seagate Baracuda 160 Go SATA II 8 Mo de cache |      => suggestions : ['']
16 Mot inconnu : Baracuda =>     * **Disque Dur :** Seagate Baracuda 160 Go SATA II 8 Mo de cache | baracuda
16 Si “Go” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>     * **Disque Dur :** Seagate Baracuda 160 Go SATA II 8 Mo de cache | 160 go => suggestions : ['160\xa0Go']
16 Mot inconnu : SATA =>     * **Disque Dur :** Seagate Baracuda 160 Go SATA II 8 Mo de cache | sata
16 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. =>     * **Disque Dur :** Seagate Baracuda 160 Go SATA II 8 Mo de cache | 8 mo => suggestions : ['8\xa0Mo']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **Lecteurs :** Samsung SH-182D (Double couche, multiformat, il fait tout !) |      => suggestions : ['']
17 Mot inconnu : SH-182D =>     * **Lecteurs :** Samsung SH-182D (Double couche, multiformat, il fait tout !) | sh-182d
17 Mot inconnu : multiformat =>     * **Lecteurs :** Samsung SH-182D (Double couche, multiformat, il fait tout !) | multiformat

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * **Ecran :** NEOXEO LCD 19" |      => suggestions : ['']
18 Mot inconnu : Ecran =>     * **Ecran :** NEOXEO LCD 19" | ecran
18 Mot inconnu : NEOXEO =>     * **Ecran :** NEOXEO LCD 19" | neoxeo
18 Guillemets typographiques fermants. =>     * **Ecran :** NEOXEO LCD 19" | " => suggestions : ['\xa0»', '”']
