1 Mot inconnu : cocoonezmoi [[7:18]] => ====== cocoonezmoi ====== <|> cocoonezmoi
55 Mot inconnu : Synaptic [[62:70]] => Dans Synaptic (Système>Administration>Gestionnaire de paquets Synaptic)  vérifier que les paquets de son imprimante soient bien présents; les charger si nécessaire et brancher l'imprimante qui est reconnue et installée automatiquement. <|> synaptic

78 Incohérence avec “de” : “téléchargez” est une forme verbale conjuguée. [[11:22]] => Choisir de téléchargez les fichiers .deb (comme debian) de préférence qui s'installent tout seuls. <|> téléchargez => suggestions : None
78 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[35:37]] => Choisir de téléchargez les fichiers .deb (comme debian) de préférence qui s'installent tout seuls. <|>  . => suggestions : None

80 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[42:44]] => Pour les autres, si vous ne trouvez pas en .deb, suivre les manipulations çi-dessous:  <|>  . => suggestions : None
80 Mot inconnu : çi-dessous [[74:84]] => Pour les autres, si vous ne trouvez pas en .deb, suivre les manipulations çi-dessous:  <|> çi-dessous
80 Espace(s) en fin de ligne à supprimer. [[85:86]] => Pour les autres, si vous ne trouvez pas en .deb, suivre les manipulations çi-dessous:  <|>   => suggestions : None

82 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[7:9]] => Fichier .bin:  télécharger le fichier. <|>  . => suggestions : None
82 Mot inconnu : bin [[9:12]] => Fichier .bin:  télécharger le fichier. <|> bin
82 Espace(s) surnuméraire(s) à supprimer. [[13:15]] => Fichier .bin:  télécharger le fichier. <|>    => suggestions : None
83 Il manque un espace. [[63:72]] => Faire clic droit sur le fichier: Propriétés>Permissions>cocher:Autoriser l'exécution du fichier comme un programme.  <|> autoriser => suggestions : None
83 Espace(s) en fin de ligne à supprimer. [[115:116]] => Faire clic droit sur le fichier: Propriétés>Permissions>cocher:Autoriser l'exécution du fichier comme un programme.  <|>   => suggestions : None
84 Mot inconnu : sudo [[24:28]] => Taper dans une console: sudo /home///votrenom///Bureau///application//.bin <|> sudo
84 Mot inconnu : votrenom [[37:45]] => Taper dans une console: sudo /home///votrenom///Bureau///application//.bin <|> votrenom
84 Mot inconnu : bin [[71:74]] => Taper dans une console: sudo /home///votrenom///Bureau///application//.bin <|> bin

89 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[57:59]] => ==== Applications issues du monde Windows™. (logiciels en .exe)==== <|>  . => suggestions : None
96 Mot inconnu : Winetricks [[2:12]] => « Winetricks » est maintenant téléchargé en module complémentaire de ce paquet, on trouve le raccourci dans Wine une fois celui-ci installé et  avec winetricks on peut ajouter des logiciels ou des compléments par "install a app" ce qui permet d'installer Safari par exemple et par "Select the default wineprefix" et "Install a Windows DLL or component" vcrun6sp6 (ça permet de lancer l'autorun d'Adobe) et jet 40 (pour faire fonctionner Access2003) et aussi certains autres logiciels. <|> winetricks
96 Espace(s) surnuméraire(s) à supprimer. [[142:144]] => « Winetricks » est maintenant téléchargé en module complémentaire de ce paquet, on trouve le raccourci dans Wine une fois celui-ci installé et  avec winetricks on peut ajouter des logiciels ou des compléments par "install a app" ce qui permet d'installer Safari par exemple et par "Select the default wineprefix" et "Install a Windows DLL or component" vcrun6sp6 (ça permet de lancer l'autorun d'Adobe) et jet 40 (pour faire fonctionner Access2003) et aussi certains autres logiciels. <|>    => suggestions : None
96 Mot inconnu : winetricks [[149:159]] => « Winetricks » est maintenant téléchargé en module complémentaire de ce paquet, on trouve le raccourci dans Wine une fois celui-ci installé et  avec winetricks on peut ajouter des logiciels ou des compléments par "install a app" ce qui permet d'installer Safari par exemple et par "Select the default wineprefix" et "Install a Windows DLL or component" vcrun6sp6 (ça permet de lancer l'autorun d'Adobe) et jet 40 (pour faire fonctionner Access2003) et aussi certains autres logiciels. <|> winetricks
96 Guillemets typographiques ouvrants. [[213:214]] => « Winetricks » est maintenant téléchargé en module complémentaire de ce paquet, on trouve le raccourci dans Wine une fois celui-ci installé et  avec winetricks on peut ajouter des logiciels ou des compléments par "install a app" ce qui permet d'installer Safari par exemple et par "Select the default wineprefix" et "Install a Windows DLL or component" vcrun6sp6 (ça permet de lancer l'autorun d'Adobe) et jet 40 (pour faire fonctionner Access2003) et aussi certains autres logiciels. <|> " => suggestions : None
96 Mot inconnu : install [[214:221]] => « Winetricks » est maintenant téléchargé en module complémentaire de ce paquet, on trouve le raccourci dans Wine une fois celui-ci installé et  avec winetricks on peut ajouter des logiciels ou des compléments par "install a app" ce qui permet d'installer Safari par exemple et par "Select the default wineprefix" et "Install a Windows DLL or component" vcrun6sp6 (ça permet de lancer l'autorun d'Adobe) et jet 40 (pour faire fonctionner Access2003) et aussi certains autres logiciels. <|> install
96 Mot inconnu : app [[224:227]] => « Winetricks » est maintenant téléchargé en module complémentaire de ce paquet, on trouve le raccourci dans Wine une fois celui-ci installé et  avec winetricks on peut ajouter des logiciels ou des compléments par "install a app" ce qui permet d'installer Safari par exemple et par "Select the default wineprefix" et "Install a Windows DLL or component" vcrun6sp6 (ça permet de lancer l'autorun d'Adobe) et jet 40 (pour faire fonctionner Access2003) et aussi certains autres logiciels. <|> app
96 Guillemets typographiques fermants. [[227:228]] => « Winetricks » est maintenant téléchargé en module complémentaire de ce paquet, on trouve le raccourci dans Wine une fois celui-ci installé et  avec winetricks on peut ajouter des logiciels ou des compléments par "install a app" ce qui permet d'installer Safari par exemple et par "Select the default wineprefix" et "Install a Windows DLL or component" vcrun6sp6 (ça permet de lancer l'autorun d'Adobe) et jet 40 (pour faire fonctionner Access2003) et aussi certains autres logiciels. <|> " => suggestions : None
96 Guillemets typographiques ouvrants. [[281:282]] => « Winetricks » est maintenant téléchargé en module complémentaire de ce paquet, on trouve le raccourci dans Wine une fois celui-ci installé et  avec winetricks on peut ajouter des logiciels ou des compléments par "install a app" ce qui permet d'installer Safari par exemple et par "Select the default wineprefix" et "Install a Windows DLL or component" vcrun6sp6 (ça permet de lancer l'autorun d'Adobe) et jet 40 (pour faire fonctionner Access2003) et aussi certains autres logiciels. <|> " => suggestions : None
96 Mot inconnu : the [[289:292]] => « Winetricks » est maintenant téléchargé en module complémentaire de ce paquet, on trouve le raccourci dans Wine une fois celui-ci installé et  avec winetricks on peut ajouter des logiciels ou des compléments par "install a app" ce qui permet d'installer Safari par exemple et par "Select the default wineprefix" et "Install a Windows DLL or component" vcrun6sp6 (ça permet de lancer l'autorun d'Adobe) et jet 40 (pour faire fonctionner Access2003) et aussi certains autres logiciels. <|> the
96 Mot inconnu : default [[293:300]] => « Winetricks » est maintenant téléchargé en module complémentaire de ce paquet, on trouve le raccourci dans Wine une fois celui-ci installé et  avec winetricks on peut ajouter des logiciels ou des compléments par "install a app" ce qui permet d'installer Safari par exemple et par "Select the default wineprefix" et "Install a Windows DLL or component" vcrun6sp6 (ça permet de lancer l'autorun d'Adobe) et jet 40 (pour faire fonctionner Access2003) et aussi certains autres logiciels. <|> default
96 Mot inconnu : wineprefix [[301:311]] => « Winetricks » est maintenant téléchargé en module complémentaire de ce paquet, on trouve le raccourci dans Wine une fois celui-ci installé et  avec winetricks on peut ajouter des logiciels ou des compléments par "install a app" ce qui permet d'installer Safari par exemple et par "Select the default wineprefix" et "Install a Windows DLL or component" vcrun6sp6 (ça permet de lancer l'autorun d'Adobe) et jet 40 (pour faire fonctionner Access2003) et aussi certains autres logiciels. <|> wineprefix
96 Guillemets typographiques fermants. [[311:312]] => « Winetricks » est maintenant téléchargé en module complémentaire de ce paquet, on trouve le raccourci dans Wine une fois celui-ci installé et  avec winetricks on peut ajouter des logiciels ou des compléments par "install a app" ce qui permet d'installer Safari par exemple et par "Select the default wineprefix" et "Install a Windows DLL or component" vcrun6sp6 (ça permet de lancer l'autorun d'Adobe) et jet 40 (pour faire fonctionner Access2003) et aussi certains autres logiciels. <|> " => suggestions : None
96 Guillemets typographiques ouvrants. [[316:317]] => « Winetricks » est maintenant téléchargé en module complémentaire de ce paquet, on trouve le raccourci dans Wine une fois celui-ci installé et  avec winetricks on peut ajouter des logiciels ou des compléments par "install a app" ce qui permet d'installer Safari par exemple et par "Select the default wineprefix" et "Install a Windows DLL or component" vcrun6sp6 (ça permet de lancer l'autorun d'Adobe) et jet 40 (pour faire fonctionner Access2003) et aussi certains autres logiciels. <|> " => suggestions : None
96 Mot inconnu : Install [[317:324]] => « Winetricks » est maintenant téléchargé en module complémentaire de ce paquet, on trouve le raccourci dans Wine une fois celui-ci installé et  avec winetricks on peut ajouter des logiciels ou des compléments par "install a app" ce qui permet d'installer Safari par exemple et par "Select the default wineprefix" et "Install a Windows DLL or component" vcrun6sp6 (ça permet de lancer l'autorun d'Adobe) et jet 40 (pour faire fonctionner Access2003) et aussi certains autres logiciels. <|> install
96 Mot inconnu : component [[342:351]] => « Winetricks » est maintenant téléchargé en module complémentaire de ce paquet, on trouve le raccourci dans Wine une fois celui-ci installé et  avec winetricks on peut ajouter des logiciels ou des compléments par "install a app" ce qui permet d'installer Safari par exemple et par "Select the default wineprefix" et "Install a Windows DLL or component" vcrun6sp6 (ça permet de lancer l'autorun d'Adobe) et jet 40 (pour faire fonctionner Access2003) et aussi certains autres logiciels. <|> component
96 Guillemets typographiques fermants. [[351:352]] => « Winetricks » est maintenant téléchargé en module complémentaire de ce paquet, on trouve le raccourci dans Wine une fois celui-ci installé et  avec winetricks on peut ajouter des logiciels ou des compléments par "install a app" ce qui permet d'installer Safari par exemple et par "Select the default wineprefix" et "Install a Windows DLL or component" vcrun6sp6 (ça permet de lancer l'autorun d'Adobe) et jet 40 (pour faire fonctionner Access2003) et aussi certains autres logiciels. <|> " => suggestions : None
96 Mot inconnu : vcrun6sp6 [[353:362]] => « Winetricks » est maintenant téléchargé en module complémentaire de ce paquet, on trouve le raccourci dans Wine une fois celui-ci installé et  avec winetricks on peut ajouter des logiciels ou des compléments par "install a app" ce qui permet d'installer Safari par exemple et par "Select the default wineprefix" et "Install a Windows DLL or component" vcrun6sp6 (ça permet de lancer l'autorun d'Adobe) et jet 40 (pour faire fonctionner Access2003) et aussi certains autres logiciels. <|> vcrun6sp6
96 Mot inconnu : autorun [[386:393]] => « Winetricks » est maintenant téléchargé en module complémentaire de ce paquet, on trouve le raccourci dans Wine une fois celui-ci installé et  avec winetricks on peut ajouter des logiciels ou des compléments par "install a app" ce qui permet d'installer Safari par exemple et par "Select the default wineprefix" et "Install a Windows DLL or component" vcrun6sp6 (ça permet de lancer l'autorun d'Adobe) et jet 40 (pour faire fonctionner Access2003) et aussi certains autres logiciels. <|> autorun
96 Mot inconnu : Access2003 [[437:447]] => « Winetricks » est maintenant téléchargé en module complémentaire de ce paquet, on trouve le raccourci dans Wine une fois celui-ci installé et  avec winetricks on peut ajouter des logiciels ou des compléments par "install a app" ce qui permet d'installer Safari par exemple et par "Select the default wineprefix" et "Install a Windows DLL or component" vcrun6sp6 (ça permet de lancer l'autorun d'Adobe) et jet 40 (pour faire fonctionner Access2003) et aussi certains autres logiciels. <|> access2003

99 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[41:43]] => Maintenant un clic droit sur les fichiers .exe…propriétés… onglet permission et cocher autoriser l'exécution du fichier comme un programme ensuite tous les programmes Windows™ s'installent comme sur Windows™  <|>  . => suggestions : None
99 Espace(s) en fin de ligne à supprimer. [[207:208]] => Maintenant un clic droit sur les fichiers .exe…propriétés… onglet permission et cocher autoriser l'exécution du fichier comme un programme ensuite tous les programmes Windows™ s'installent comme sur Windows™  <|>   => suggestions : None

114 Mot inconnu : X52J [[322:326]] => <note help>Avec cela, il est possible de travailler aisément avec Ubuntu, sans Windows™, plus de 4 fois plus rapide au démarrage (31 secondes pour Ubuntu 11.04 et 139 secondes pour Windows™7) et plus de 3 fois plus rapide à l'arrêt (5 secondes pour Ubuntu 11.04 et 18 secondes pour Windows™7) sur un même ordinateur (Asus X52J)</note> <|> x52j
