1 Mot inconnu : LinuXp0wer [[8:18]] => ======  LinuXp0wer ====== <|> linuxp0wer
14 Si “Mo” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[214:220]] => Le second HP Pavilion dv6000 series, modèle dv6164ea, dual-boot Windows XP/Ubuntu 7.10 . (le dual-boot c'est mon père qui me l'a demandé car il a besoin de XP...) . D-Core Centrino 1,66 gHz, nVidia Geforce Go 7400 512 Mo, DD Sata 120 GO, etc. <|> 512 mo => suggestions : None
14 Mot inconnu : DD [[222:224]] => Le second HP Pavilion dv6000 series, modèle dv6164ea, dual-boot Windows XP/Ubuntu 7.10 . (le dual-boot c'est mon père qui me l'a demandé car il a besoin de XP...) . D-Core Centrino 1,66 gHz, nVidia Geforce Go 7400 512 Mo, DD Sata 120 GO, etc. <|> dd
14 Mot inconnu : Sata [[225:229]] => Le second HP Pavilion dv6000 series, modèle dv6164ea, dual-boot Windows XP/Ubuntu 7.10 . (le dual-boot c'est mon père qui me l'a demandé car il a besoin de XP...) . D-Core Centrino 1,66 gHz, nVidia Geforce Go 7400 512 Mo, DD Sata 120 GO, etc. <|> sata
14 Si “GO” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[230:236]] => Le second HP Pavilion dv6000 series, modèle dv6164ea, dual-boot Windows XP/Ubuntu 7.10 . (le dual-boot c'est mon père qui me l'a demandé car il a besoin de XP...) . D-Core Centrino 1,66 gHz, nVidia Geforce Go 7400 512 Mo, DD Sata 120 GO, etc. <|> 120 go => suggestions : None
20 Mot inconnu : moultes [[96:103]] => Il a de ça 2 ans maintenant, je découvris Linux et Ubuntu un soir de juillet lorsque je faisais moultes recherches sur Internet. Coup de foudre dès le premier contact avec le LiveCd commandé et reçu très rapidement (merci Canonical !) et installé dès sa réception sur mon premier pc qui avait besoin d'une nouvelle vie. Et il en a une belle maintenant !  <|> moultes
20 Mot inconnu : LiveCd [[175:181]] => Il a de ça 2 ans maintenant, je découvris Linux et Ubuntu un soir de juillet lorsque je faisais moultes recherches sur Internet. Coup de foudre dès le premier contact avec le LiveCd commandé et reçu très rapidement (merci Canonical !) et installé dès sa réception sur mon premier pc qui avait besoin d'une nouvelle vie. Et il en a une belle maintenant !  <|> livecd
20 Espace(s) en fin de ligne à supprimer. [[353:354]] => Il a de ça 2 ans maintenant, je découvris Linux et Ubuntu un soir de juillet lorsque je faisais moultes recherches sur Internet. Coup de foudre dès le premier contact avec le LiveCd commandé et reçu très rapidement (merci Canonical !) et installé dès sa réception sur mon premier pc qui avait besoin d'une nouvelle vie. Et il en a une belle maintenant !  <|>   => suggestions : None

21 Mot inconnu : dual-boot [[41:50]] => Depuis, installation sur mon autre pc en dual-boot en cohabitation avec Windows XP, aucun souci, vraiment **génial** Ubuntu !  <|> dual-boot
21 Espace(s) en fin de ligne à supprimer. [[125:126]] => Depuis, installation sur mon autre pc en dual-boot en cohabitation avec Windows XP, aucun souci, vraiment **génial** Ubuntu !  <|>   => suggestions : None

27 Pléonasme. [[21:33]] => Passer mon BAC déjà, puis ensuite envisager une prépa et une école d'ingénieur informatique. En tout cas, un métier dans l'informatique !  <|> puis ensuite => suggestions : None
27 Espace(s) en fin de ligne à supprimer. [[137:138]] => Passer mon BAC déjà, puis ensuite envisager une prépa et une école d'ingénieur informatique. En tout cas, un métier dans l'informatique !  <|>   => suggestions : None

30 Mot inconnu : The [[0:3]] => The end =)  <|> the
30 Mot inconnu : end [[4:7]] => The end =)  <|> end
30 Espace(s) en fin de ligne à supprimer. [[10:11]] => The end =)  <|>   => suggestions : None

31 Mot inconnu : Power [[6:11]] => Linux Power !  <|> power
31 Espace(s) en fin de ligne à supprimer. [[13:14]] => Linux Power !  <|>   => suggestions : None
