2 Mot inconnu : morgen_stern [[7:19]] => ====== morgen_stern ====== <|> morgen_stern
8 Mot inconnu : asus [[168:172]] =>  * Dès sa sortie, j'ai acheté un eeepc 701, le principe du netbook m'avais conquis. Mais rapidement, j'ai été déçu par l'os du 701, une version de xandros modifiée par asus. En effet les dépôts officiels n'étaient vraiment pas à jour, pour installer un logiciel il fallait jongler avec les dépôts debian et tuxfamily (je sais c'est pas bien ;-)... ne faites jamais ça chez vous.). <|> asus
8 Mot inconnu : debian [[297:303]] =>  * Dès sa sortie, j'ai acheté un eeepc 701, le principe du netbook m'avais conquis. Mais rapidement, j'ai été déçu par l'os du 701, une version de xandros modifiée par asus. En effet les dépôts officiels n'étaient vraiment pas à jour, pour installer un logiciel il fallait jongler avec les dépôts debian et tuxfamily (je sais c'est pas bien ;-)... ne faites jamais ça chez vous.). <|> debian
8 Mot inconnu : tuxfamily [[307:316]] =>  * Dès sa sortie, j'ai acheté un eeepc 701, le principe du netbook m'avais conquis. Mais rapidement, j'ai été déçu par l'os du 701, une version de xandros modifiée par asus. En effet les dépôts officiels n'étaient vraiment pas à jour, pour installer un logiciel il fallait jongler avec les dépôts debian et tuxfamily (je sais c'est pas bien ;-)... ne faites jamais ça chez vous.). <|> tuxfamily
8 Typographie : points de suspension. Utilisez le caractère dédié. [[344:347]] =>  * Dès sa sortie, j'ai acheté un eeepc 701, le principe du netbook m'avais conquis. Mais rapidement, j'ai été déçu par l'os du 701, une version de xandros modifiée par asus. En effet les dépôts officiels n'étaient vraiment pas à jour, pour installer un logiciel il fallait jongler avec les dépôts debian et tuxfamily (je sais c'est pas bien ;-)... ne faites jamais ça chez vous.). <|> ... => suggestions : ['…']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  * Ainsi, après quelques reformatages, (eh oui s'amuser avec les .deb non officiels n'est pas toujours bon pour le système). J'ai décidé de tester ubuntu. J'ai alors installer ubuntu eee - en fait il s'agissait d'hardy avec l'interface netbook remix et skype - renommée depuis easy peasy. <|>   => suggestions : ['']
10 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[64:66]] =>  * Ainsi, après quelques reformatages, (eh oui s'amuser avec les .deb non officiels n'est pas toujours bon pour le système). J'ai décidé de tester ubuntu. J'ai alors installer ubuntu eee - en fait il s'agissait d'hardy avec l'interface netbook remix et skype - renommée depuis easy peasy. <|>  . => suggestions : ['. ', '.']
10 Mot inconnu : deb [[66:69]] =>  * Ainsi, après quelques reformatages, (eh oui s'amuser avec les .deb non officiels n'est pas toujours bon pour le système). J'ai décidé de tester ubuntu. J'ai alors installer ubuntu eee - en fait il s'agissait d'hardy avec l'interface netbook remix et skype - renommée depuis easy peasy. <|> deb
10 Incohérence probable avec “ai” : “installer” n’est pas un participe passé. [[166:175]] =>  * Ainsi, après quelques reformatages, (eh oui s'amuser avec les .deb non officiels n'est pas toujours bon pour le système). J'ai décidé de tester ubuntu. J'ai alors installer ubuntu eee - en fait il s'agissait d'hardy avec l'interface netbook remix et skype - renommée depuis easy peasy. <|> installer => suggestions : ['installé']
10 Mot inconnu : eee [[183:186]] =>  * Ainsi, après quelques reformatages, (eh oui s'amuser avec les .deb non officiels n'est pas toujours bon pour le système). J'ai décidé de tester ubuntu. J'ai alors installer ubuntu eee - en fait il s'agissait d'hardy avec l'interface netbook remix et skype - renommée depuis easy peasy. <|> eee
10 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[186:189]] =>  * Ainsi, après quelques reformatages, (eh oui s'amuser avec les .deb non officiels n'est pas toujours bon pour le système). J'ai décidé de tester ubuntu. J'ai alors installer ubuntu eee - en fait il s'agissait d'hardy avec l'interface netbook remix et skype - renommée depuis easy peasy. <|>  -  => suggestions : [' – ', ' — ', ' − ']
10 Mot inconnu : hardy [[213:218]] =>  * Ainsi, après quelques reformatages, (eh oui s'amuser avec les .deb non officiels n'est pas toujours bon pour le système). J'ai décidé de tester ubuntu. J'ai alors installer ubuntu eee - en fait il s'agissait d'hardy avec l'interface netbook remix et skype - renommée depuis easy peasy. <|> hardy
10 Mot inconnu : netbook [[236:243]] =>  * Ainsi, après quelques reformatages, (eh oui s'amuser avec les .deb non officiels n'est pas toujours bon pour le système). J'ai décidé de tester ubuntu. J'ai alors installer ubuntu eee - en fait il s'agissait d'hardy avec l'interface netbook remix et skype - renommée depuis easy peasy. <|> netbook
10 Mot inconnu : skype [[253:258]] =>  * Ainsi, après quelques reformatages, (eh oui s'amuser avec les .deb non officiels n'est pas toujours bon pour le système). J'ai décidé de tester ubuntu. J'ai alors installer ubuntu eee - en fait il s'agissait d'hardy avec l'interface netbook remix et skype - renommée depuis easy peasy. <|> skype
10 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[258:261]] =>  * Ainsi, après quelques reformatages, (eh oui s'amuser avec les .deb non officiels n'est pas toujours bon pour le système). J'ai décidé de tester ubuntu. J'ai alors installer ubuntu eee - en fait il s'agissait d'hardy avec l'interface netbook remix et skype - renommée depuis easy peasy. <|>  -  => suggestions : [' – ', ' — ', ' − ']
10 Mot inconnu : easy [[277:281]] =>  * Ainsi, après quelques reformatages, (eh oui s'amuser avec les .deb non officiels n'est pas toujours bon pour le système). J'ai décidé de tester ubuntu. J'ai alors installer ubuntu eee - en fait il s'agissait d'hardy avec l'interface netbook remix et skype - renommée depuis easy peasy. <|> easy
10 Mot inconnu : peasy [[282:287]] =>  * Ainsi, après quelques reformatages, (eh oui s'amuser avec les .deb non officiels n'est pas toujours bon pour le système). J'ai décidé de tester ubuntu. J'ai alors installer ubuntu eee - en fait il s'agissait d'hardy avec l'interface netbook remix et skype - renommée depuis easy peasy. <|> peasy

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  * A la sortie d'intrepid, j'ai installé la version "officielle" et depuis je fais les mises à niveaux directement. <|>   => suggestions : ['']
12 S’il s’agit de la préposition « à », il faut accentuer la majuscule. [[3:4]] =>  * A la sortie d'intrepid, j'ai installé la version "officielle" et depuis je fais les mises à niveaux directement. <|> a => suggestions : ['À']
12 Mot inconnu : intrepid [[17:25]] =>  * A la sortie d'intrepid, j'ai installé la version "officielle" et depuis je fais les mises à niveaux directement. <|> intrepid
12 Guillemets typographiques ouvrants. [[52:53]] =>  * A la sortie d'intrepid, j'ai installé la version "officielle" et depuis je fais les mises à niveaux directement. <|> " => suggestions : ['«\xa0', '“']
12 Guillemets typographiques fermants. [[63:64]] =>  * A la sortie d'intrepid, j'ai installé la version "officielle" et depuis je fais les mises à niveaux directement. <|> " => suggestions : ['\xa0»', '”']
15 Mot inconnu : openbox [[26:33]] =>   * J'utilise ubuntu avec openbox comme gestionnaire de fenêtres, tint2 pour la barre de tâches et conky. Ce sont toutes les 3 des solutions légères et peu gourmandes en ressources, qui correspondent parfaitement à mes besoins. <|> openbox
15 Mot inconnu : tint2 [[66:71]] =>   * J'utilise ubuntu avec openbox comme gestionnaire de fenêtres, tint2 pour la barre de tâches et conky. Ce sont toutes les 3 des solutions légères et peu gourmandes en ressources, qui correspondent parfaitement à mes besoins. <|> tint2
15 Mot inconnu : conky [[99:104]] =>   * J'utilise ubuntu avec openbox comme gestionnaire de fenêtres, tint2 pour la barre de tâches et conky. Ce sont toutes les 3 des solutions légères et peu gourmandes en ressources, qui correspondent parfaitement à mes besoins. <|> conky

26 Mot inconnu : morgen_stern [[6:18]] => |Mail|morgen_stern à ymail dot com| <|> morgen_stern
26 Mot inconnu : ymail [[21:26]] => |Mail|morgen_stern à ymail dot com| <|> ymail

27 Mot inconnu : morgenstern [[24:35]] => |Messagerie instantanée|morgenstern à jabber dot fr| <|> morgenstern
27 Mot inconnu : jabber [[38:44]] => |Messagerie instantanée|morgenstern à jabber dot fr| <|> jabber
