1 Mot inconnu : Fabux [[7:12]] => ====== Fabux ====== <|> fabux
9 Confusion : employez un participe passé. [[194:198]] => Pour "ne pas faire comme tout le monde", je cherchais et utilisais des logiciels gratuits (mais pas tous forcément libre). J'ai fini par tomber sur Netscape (peu de temps avant Firefox) qui m'a fais découvrir la notion d'open source. Il me semble que c'est vers la même époque que j'ai tenté, sans succès, l'installation d'une Mandrake. Tout ceci m'a entrainé vers la notion de libre.\\ <|> fais => suggestions : ['fait']
10 Mot inconnu : Edge [[22:26]] => C'est un live-CD Edgy Edge, qui m'a permis de récupérer quelques données sur des postes windows crashés (euphémisme :-)), qui m'a vraiment permis de faire une réelle approche d'une distribution GNU/linux.\\ <|> edge

11 Incohérence : « utilisant » n’est pas un participe présent. [[2:11]] => N'utilisant/installant plus (ou presque) que des logiciels libres, lorsque j'ai eu ma machine à moi toute neuve il m'a paru naturel de sauter le pas et de passer sur GNU/linux avec Ubuntu Gutsy Gibbon. <|> utilisant => suggestions : []

19 Mot inconnu : Shuttle [[7:14]] => === PC Shuttle SS21T === <|> shuttle
19 Mot inconnu : SS21T [[15:20]] => === PC Shuttle SS21T === <|> ss21t

27 Mot inconnu : C400 [[27:31]] => === Portable Dell Latitude C400 === <|> c400

31 Mot inconnu : Thinkpad [[17:25]] => === Portable IBM Thinkpad A31 === <|> thinkpad
31 Mot inconnu : A31 [[26:29]] => === Portable IBM Thinkpad A31 === <|> a31

38 Mot inconnu : Undesk [[7:13]] => === PC Undesk === <|> undesk

40 Mot inconnu : shuttle [[14:21]] => Remplaçant du shuttle SS21T qui à fini par rendre l'âme après de loyaux service. En fait c'est un no-name car monté moi-même.\\ <|> shuttle
40 Mot inconnu : SS21T [[22:27]] => Remplaçant du shuttle SS21T qui à fini par rendre l'âme après de loyaux service. En fait c'est un no-name car monté moi-même.\\ <|> ss21t
40 Confusion : “à” est une préposition. Pour le verbe avoir, écrivez “a”. [[32:33]] => Remplaçant du shuttle SS21T qui à fini par rendre l'âme après de loyaux service. En fait c'est un no-name car monté moi-même.\\ <|> à => suggestions : ['a']
40 Accord de nombre erroné avec « service ». [[65:71]] => Remplaçant du shuttle SS21T qui à fini par rendre l'âme après de loyaux service. En fait c'est un no-name car monté moi-même.\\ <|> loyaux => suggestions : ['loyal']
40 Accord de nombre erroné avec « loyaux ». [[72:79]] => Remplaçant du shuttle SS21T qui à fini par rendre l'âme après de loyaux service. En fait c'est un no-name car monté moi-même.\\ <|> service => suggestions : ['services']
40 Mot inconnu : no-name [[98:105]] => Remplaçant du shuttle SS21T qui à fini par rendre l'âme après de loyaux service. En fait c'est un no-name car monté moi-même.\\ <|> no-name

44 Mot inconnu : Netbook [[4:11]] => === Netbook Samsung N140 === <|> netbook
44 Mot inconnu : N140 [[20:24]] => === Netbook Samsung N140 === <|> n140

46 Mot inconnu : netbook [[3:10]] => Le netbook de Madame.\\ <|> netbook

48 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. [[0:3]] => 1er Boot: l'installe windows n'était pas finalisée (en même temps c'est finalisé quand l'installe windows? il manque toujours qqch...), flemme de prendre des photos pour passer 15 jours pour essayer de tenter de se faire rembourser ce put.. de racket. 2ème boot après tour dans le bios, live-usb démarré, formatage/partition avec gparted, installé, terminé on utilise la machine (quel bonheur pas de driver à la c.. à télécharger je ne sais où, d'anti-ceci anti-cela...).  <|> 1er => suggestions : ['1ᵉʳ']
48 Mot inconnu : qqch [[126:130]] => 1er Boot: l'installe windows n'était pas finalisée (en même temps c'est finalisé quand l'installe windows? il manque toujours qqch...), flemme de prendre des photos pour passer 15 jours pour essayer de tenter de se faire rembourser ce put.. de racket. 2ème boot après tour dans le bios, live-usb démarré, formatage/partition avec gparted, installé, terminé on utilise la machine (quel bonheur pas de driver à la c.. à télécharger je ne sais où, d'anti-ceci anti-cela...).  <|> qqch
48 Typographie : points de suspension. Utilisez le caractère dédié. [[130:133]] => 1er Boot: l'installe windows n'était pas finalisée (en même temps c'est finalisé quand l'installe windows? il manque toujours qqch...), flemme de prendre des photos pour passer 15 jours pour essayer de tenter de se faire rembourser ce put.. de racket. 2ème boot après tour dans le bios, live-usb démarré, formatage/partition avec gparted, installé, terminé on utilise la machine (quel bonheur pas de driver à la c.. à télécharger je ne sais où, d'anti-ceci anti-cela...).  <|> ... => suggestions : ['…']
48 Typographie : un ou trois points ? [[238:240]] => 1er Boot: l'installe windows n'était pas finalisée (en même temps c'est finalisé quand l'installe windows? il manque toujours qqch...), flemme de prendre des photos pour passer 15 jours pour essayer de tenter de se faire rembourser ce put.. de racket. 2ème boot après tour dans le bios, live-usb démarré, formatage/partition avec gparted, installé, terminé on utilise la machine (quel bonheur pas de driver à la c.. à télécharger je ne sais où, d'anti-ceci anti-cela...).  <|> .. => suggestions : ['…', '.']
48 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… [[252:256]] => 1er Boot: l'installe windows n'était pas finalisée (en même temps c'est finalisé quand l'installe windows? il manque toujours qqch...), flemme de prendre des photos pour passer 15 jours pour essayer de tenter de se faire rembourser ce put.. de racket. 2ème boot après tour dans le bios, live-usb démarré, formatage/partition avec gparted, installé, terminé on utilise la machine (quel bonheur pas de driver à la c.. à télécharger je ne sais où, d'anti-ceci anti-cela...).  <|> 2ème => suggestions : ['2ᵉ']
48 Accord de nombre erroné : « bios » est au pluriel. [[278:280]] => 1er Boot: l'installe windows n'était pas finalisée (en même temps c'est finalisé quand l'installe windows? il manque toujours qqch...), flemme de prendre des photos pour passer 15 jours pour essayer de tenter de se faire rembourser ce put.. de racket. 2ème boot après tour dans le bios, live-usb démarré, formatage/partition avec gparted, installé, terminé on utilise la machine (quel bonheur pas de driver à la c.. à télécharger je ne sais où, d'anti-ceci anti-cela...).  <|> le => suggestions : ['les']
48 Accord de nombre erroné : « bios » devrait être au singulier. [[281:285]] => 1er Boot: l'installe windows n'était pas finalisée (en même temps c'est finalisé quand l'installe windows? il manque toujours qqch...), flemme de prendre des photos pour passer 15 jours pour essayer de tenter de se faire rembourser ce put.. de racket. 2ème boot après tour dans le bios, live-usb démarré, formatage/partition avec gparted, installé, terminé on utilise la machine (quel bonheur pas de driver à la c.. à télécharger je ne sais où, d'anti-ceci anti-cela...).  <|> bios => suggestions : ['bio']
48 Mot inconnu : live-usb [[287:295]] => 1er Boot: l'installe windows n'était pas finalisée (en même temps c'est finalisé quand l'installe windows? il manque toujours qqch...), flemme de prendre des photos pour passer 15 jours pour essayer de tenter de se faire rembourser ce put.. de racket. 2ème boot après tour dans le bios, live-usb démarré, formatage/partition avec gparted, installé, terminé on utilise la machine (quel bonheur pas de driver à la c.. à télécharger je ne sais où, d'anti-ceci anti-cela...).  <|> live-usb
48 Mot inconnu : gparted [[330:337]] => 1er Boot: l'installe windows n'était pas finalisée (en même temps c'est finalisé quand l'installe windows? il manque toujours qqch...), flemme de prendre des photos pour passer 15 jours pour essayer de tenter de se faire rembourser ce put.. de racket. 2ème boot après tour dans le bios, live-usb démarré, formatage/partition avec gparted, installé, terminé on utilise la machine (quel bonheur pas de driver à la c.. à télécharger je ne sais où, d'anti-ceci anti-cela...).  <|> gparted
48 Accord de genre erroné : « c » est masculin. [[409:411]] => 1er Boot: l'installe windows n'était pas finalisée (en même temps c'est finalisé quand l'installe windows? il manque toujours qqch...), flemme de prendre des photos pour passer 15 jours pour essayer de tenter de se faire rembourser ce put.. de racket. 2ème boot après tour dans le bios, live-usb démarré, formatage/partition avec gparted, installé, terminé on utilise la machine (quel bonheur pas de driver à la c.. à télécharger je ne sais où, d'anti-ceci anti-cela...).  <|> la => suggestions : ['le']
48 Typographie : un ou trois points ? [[413:415]] => 1er Boot: l'installe windows n'était pas finalisée (en même temps c'est finalisé quand l'installe windows? il manque toujours qqch...), flemme de prendre des photos pour passer 15 jours pour essayer de tenter de se faire rembourser ce put.. de racket. 2ème boot après tour dans le bios, live-usb démarré, formatage/partition avec gparted, installé, terminé on utilise la machine (quel bonheur pas de driver à la c.. à télécharger je ne sais où, d'anti-ceci anti-cela...).  <|> .. => suggestions : ['…', '.']
48 Typographie : points de suspension. Utilisez le caractère dédié. [[466:469]] => 1er Boot: l'installe windows n'était pas finalisée (en même temps c'est finalisé quand l'installe windows? il manque toujours qqch...), flemme de prendre des photos pour passer 15 jours pour essayer de tenter de se faire rembourser ce put.. de racket. 2ème boot après tour dans le bios, live-usb démarré, formatage/partition avec gparted, installé, terminé on utilise la machine (quel bonheur pas de driver à la c.. à télécharger je ne sais où, d'anti-ceci anti-cela...).  <|> ... => suggestions : ['…']
48 Espace(s) en fin de ligne à supprimer. [[471:472]] => 1er Boot: l'installe windows n'était pas finalisée (en même temps c'est finalisé quand l'installe windows? il manque toujours qqch...), flemme de prendre des photos pour passer 15 jours pour essayer de tenter de se faire rembourser ce put.. de racket. 2ème boot après tour dans le bios, live-usb démarré, formatage/partition avec gparted, installé, terminé on utilise la machine (quel bonheur pas de driver à la c.. à télécharger je ne sais où, d'anti-ceci anti-cela...).  <|>   => suggestions : ['']

51 Mot inconnu : Ultrabook [[4:13]] => === Ultrabook Asus S56CB-XO302H === <|> ultrabook
51 Mot inconnu : S56CB-XO302H [[19:31]] => === Ultrabook Asus S56CB-XO302H === <|> s56cb-xo302h

56 Mot inconnu : RasPI [[4:9]] => === RasPI === <|> raspi

58 Mot inconnu : Raspbbery [[6:15]] => Petit Raspbbery qui me sert pour lire sur mon vidéo-projecteur (ou ma télé selon l'humeur) divers fichiers disponibles sur toutes ces machines et mon NAS. \\ <|> raspbbery
68 Typographie : points de suspension. Utilisez le caractère dédié. [[4:8]] =>   * ....en fait il y en a plein <|> .... => suggestions : ['…']

89 Conjugaison erronée. Accord avec “j’”. Le verbe devrait être à la 1ʳᵉ personne du singulier. [[44:50]] => Je mettrais ici mes divers réglages (si j'y penses) <|> penses => suggestions : ['pense']

91 Mot inconnu : Screen [[9:15]] => ==== Mon Screen.rc ==== <|> screen
91 Mot inconnu : rc [[16:18]] => ==== Mon Screen.rc ==== <|> rc

147 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[8:10]] => ==== Mon .Xdefaults ==== <|>  . => suggestions : ['. ', '.']
147 Mot inconnu : Xdefaults [[10:19]] => ==== Mon .Xdefaults ==== <|> xdefaults

224 Pas d’espace avant ce signe. [[69:71]] => Pour utiliser un proxy (et éviter de chercher partout dans la doc :-) ) modifier <|>  ) => suggestions : [')']

248 S’il s’agit d’un impératif, mettez un trait d’union. [[19:29]] => En agissant ainsi, dites vous que votre souci pourrait ne pas être un cas isolé et que sa résolution éventuelle pourrait servir à d'autres.\\ <|> dites vous => suggestions : ['dites-vous']
