1 Mot inconnu : Babyubuntu [[7:17]] => ====== Babyubuntu ====== <|> babyubuntu
11 Mot inconnu : Suse [[332:336]] => Mon vielle oncle est venu à la maison avec un cd gravé avec inscrit KAELLA knoopix 1.2 et boom le pc à démarrer sans disque dur j'en croyé pas mes yeux. Plus tard j'ai pu dépanner windo et sauver beaucoup de données avec ce précieux CD. En 2005, mon oncle et revenu plusieurs fois avec des cd de type Aurox Linux 10.2, Knoppix 3.7, Suse Linux 9.2 FTP, Mandrake Linux 10.1 Community, mais étant gros joueur et sans internet à l'époque j'en avait pas l'utilité. Un jour j'ai perdu une partition sur une instal de Mandriva alors j'ai abandonné.  <|> suse
11 Mot inconnu : Community [[372:381]] => Mon vielle oncle est venu à la maison avec un cd gravé avec inscrit KAELLA knoopix 1.2 et boom le pc à démarrer sans disque dur j'en croyé pas mes yeux. Plus tard j'ai pu dépanner windo et sauver beaucoup de données avec ce précieux CD. En 2005, mon oncle et revenu plusieurs fois avec des cd de type Aurox Linux 10.2, Knoppix 3.7, Suse Linux 9.2 FTP, Mandrake Linux 10.1 Community, mais étant gros joueur et sans internet à l'époque j'en avait pas l'utilité. Un jour j'ai perdu une partition sur une instal de Mandriva alors j'ai abandonné.  <|> community
11 Conjugaison erronée. Accord avec “j’”. Le verbe devrait être à la 1ʳᵉ personne du singulier. [[439:444]] => Mon vielle oncle est venu à la maison avec un cd gravé avec inscrit KAELLA knoopix 1.2 et boom le pc à démarrer sans disque dur j'en croyé pas mes yeux. Plus tard j'ai pu dépanner windo et sauver beaucoup de données avec ce précieux CD. En 2005, mon oncle et revenu plusieurs fois avec des cd de type Aurox Linux 10.2, Knoppix 3.7, Suse Linux 9.2 FTP, Mandrake Linux 10.1 Community, mais étant gros joueur et sans internet à l'époque j'en avait pas l'utilité. Un jour j'ai perdu une partition sur une instal de Mandriva alors j'ai abandonné.  <|> avait => suggestions : ['avais']
11 Mot inconnu : instal [[501:507]] => Mon vielle oncle est venu à la maison avec un cd gravé avec inscrit KAELLA knoopix 1.2 et boom le pc à démarrer sans disque dur j'en croyé pas mes yeux. Plus tard j'ai pu dépanner windo et sauver beaucoup de données avec ce précieux CD. En 2005, mon oncle et revenu plusieurs fois avec des cd de type Aurox Linux 10.2, Knoppix 3.7, Suse Linux 9.2 FTP, Mandrake Linux 10.1 Community, mais étant gros joueur et sans internet à l'époque j'en avait pas l'utilité. Un jour j'ai perdu une partition sur une instal de Mandriva alors j'ai abandonné.  <|> instal
11 Espace(s) en fin de ligne à supprimer. [[541:542]] => Mon vielle oncle est venu à la maison avec un cd gravé avec inscrit KAELLA knoopix 1.2 et boom le pc à démarrer sans disque dur j'en croyé pas mes yeux. Plus tard j'ai pu dépanner windo et sauver beaucoup de données avec ce précieux CD. En 2005, mon oncle et revenu plusieurs fois avec des cd de type Aurox Linux 10.2, Knoppix 3.7, Suse Linux 9.2 FTP, Mandrake Linux 10.1 Community, mais étant gros joueur et sans internet à l'époque j'en avait pas l'utilité. Un jour j'ai perdu une partition sur une instal de Mandriva alors j'ai abandonné.  <|>   => suggestions : ['']

13 Mot inconnu : pti [[31:34]] => En 2008, on m'avait parlé d'un pti linux (ubuntu 8.04) qui fonctionnais très bien et avec plus de compatibilité et de reconnaissance des drivers matériel que Knoppix.  <|> pti
13 Incohérence. Le sujet de cette forme verbale est introuvable. [[59:71]] => En 2008, on m'avait parlé d'un pti linux (ubuntu 8.04) qui fonctionnais très bien et avec plus de compatibilité et de reconnaissance des drivers matériel que Knoppix.  <|> fonctionnais => suggestions : ['fonctionnait']
13 Mot inconnu : Knoppix [[158:165]] => En 2008, on m'avait parlé d'un pti linux (ubuntu 8.04) qui fonctionnais très bien et avec plus de compatibilité et de reconnaissance des drivers matériel que Knoppix.  <|> knoppix
13 Espace(s) en fin de ligne à supprimer. [[166:167]] => En 2008, on m'avait parlé d'un pti linux (ubuntu 8.04) qui fonctionnais très bien et avec plus de compatibilité et de reconnaissance des drivers matériel que Knoppix.  <|>   => suggestions : ['']

16 Mot inconnu : passphrase [[16:26]] => ==== une petite passphrase pour bien débuter ===== <|> passphrase
18 Incohérence probable avec “ai” : “décider” n’est pas un participe passé. [[248:255]] => Comme beaucoup, un beau jour de printemps, alors que j’utilisais mon pc, à l'époque en dual boot, pour aller sur internet, je me suis sauvagement énervé sur la lenteur de mon pc tout neuf avec le disque dur qui n’arrêtait pas de gratter. J'ai donc décider de retourner sur le même site (de réseau social) mais sous ubuntu cette fois, et là miracle mon ordinateur était rapide comme l'éclair. Deux jours plus tard je convertissais ma petite famille à linux. Depuis, 2012 est passé, et le ciel ne nous est toujours pas tombé dessus, alors qu'en est-il des logiciels libres ? <|> décider => suggestions : ['décidé']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  ==== expérience utilisateur ===== <|>   => suggestions : ['']

22 Guillemets typographiques ouvrants. [[0:1]] => 'Souvent on confond vitesse du processeur avec ce que j'appellerai **rapidité ergonomique d'utilisation** ( 10 secondes un mot de passe 1 clic et nous voila sur google), rien à voir avec un core i7 cadencé à 32Ghz 8000Go de Ram et un système qui rame, qui rame, mais qui ne plante pas c'est déjà ça !! 1h pour trouver le bureau lors du premier lancement certain appel cela de l'ergonomie de type Androïd ice cream sandwish hum ... vous savez de quoi je parle, sans vouloir en rajouter on se trouverait même dans la même situation que lors de la sorti de Vis t'a ?...   L'utilisateur est pris dans un boyau de chat impossible d'en sortir, ni même de s'en sortir sans payer le moindre petit soft ( attention je parle bien là d'une utilisation video/text/image/internet/). Certe, la philosophie du libre change mais les enjeux économique de ces mêmes systèmes évolue plus rapidement !  <|> ' => suggestions : ['“', '‘', '‹']
22 Pas d’espace après ce signe. [[106:108]] => 'Souvent on confond vitesse du processeur avec ce que j'appellerai **rapidité ergonomique d'utilisation** ( 10 secondes un mot de passe 1 clic et nous voila sur google), rien à voir avec un core i7 cadencé à 32Ghz 8000Go de Ram et un système qui rame, qui rame, mais qui ne plante pas c'est déjà ça !! 1h pour trouver le bureau lors du premier lancement certain appel cela de l'ergonomie de type Androïd ice cream sandwish hum ... vous savez de quoi je parle, sans vouloir en rajouter on se trouverait même dans la même situation que lors de la sorti de Vis t'a ?...   L'utilisateur est pris dans un boyau de chat impossible d'en sortir, ni même de s'en sortir sans payer le moindre petit soft ( attention je parle bien là d'une utilisation video/text/image/internet/). Certe, la philosophie du libre change mais les enjeux économique de ces mêmes systèmes évolue plus rapidement !  <|> (  => suggestions : ['(']
22 Mot inconnu : core [[190:194]] => 'Souvent on confond vitesse du processeur avec ce que j'appellerai **rapidité ergonomique d'utilisation** ( 10 secondes un mot de passe 1 clic et nous voila sur google), rien à voir avec un core i7 cadencé à 32Ghz 8000Go de Ram et un système qui rame, qui rame, mais qui ne plante pas c'est déjà ça !! 1h pour trouver le bureau lors du premier lancement certain appel cela de l'ergonomie de type Androïd ice cream sandwish hum ... vous savez de quoi je parle, sans vouloir en rajouter on se trouverait même dans la même situation que lors de la sorti de Vis t'a ?...   L'utilisateur est pris dans un boyau de chat impossible d'en sortir, ni même de s'en sortir sans payer le moindre petit soft ( attention je parle bien là d'une utilisation video/text/image/internet/). Certe, la philosophie du libre change mais les enjeux économique de ces mêmes systèmes évolue plus rapidement !  <|> core
22 Mot inconnu : i7 [[195:197]] => 'Souvent on confond vitesse du processeur avec ce que j'appellerai **rapidité ergonomique d'utilisation** ( 10 secondes un mot de passe 1 clic et nous voila sur google), rien à voir avec un core i7 cadencé à 32Ghz 8000Go de Ram et un système qui rame, qui rame, mais qui ne plante pas c'est déjà ça !! 1h pour trouver le bureau lors du premier lancement certain appel cela de l'ergonomie de type Androïd ice cream sandwish hum ... vous savez de quoi je parle, sans vouloir en rajouter on se trouverait même dans la même situation que lors de la sorti de Vis t'a ?...   L'utilisateur est pris dans un boyau de chat impossible d'en sortir, ni même de s'en sortir sans payer le moindre petit soft ( attention je parle bien là d'une utilisation video/text/image/internet/). Certe, la philosophie du libre change mais les enjeux économique de ces mêmes systèmes évolue plus rapidement !  <|> i7
22 Mot inconnu : Ghz [[210:213]] => 'Souvent on confond vitesse du processeur avec ce que j'appellerai **rapidité ergonomique d'utilisation** ( 10 secondes un mot de passe 1 clic et nous voila sur google), rien à voir avec un core i7 cadencé à 32Ghz 8000Go de Ram et un système qui rame, qui rame, mais qui ne plante pas c'est déjà ça !! 1h pour trouver le bureau lors du premier lancement certain appel cela de l'ergonomie de type Androïd ice cream sandwish hum ... vous savez de quoi je parle, sans vouloir en rajouter on se trouverait même dans la même situation que lors de la sorti de Vis t'a ?...   L'utilisateur est pris dans un boyau de chat impossible d'en sortir, ni même de s'en sortir sans payer le moindre petit soft ( attention je parle bien là d'une utilisation video/text/image/internet/). Certe, la philosophie du libre change mais les enjeux économique de ces mêmes systèmes évolue plus rapidement !  <|> ghz
22 Mot inconnu : Ram [[224:227]] => 'Souvent on confond vitesse du processeur avec ce que j'appellerai **rapidité ergonomique d'utilisation** ( 10 secondes un mot de passe 1 clic et nous voila sur google), rien à voir avec un core i7 cadencé à 32Ghz 8000Go de Ram et un système qui rame, qui rame, mais qui ne plante pas c'est déjà ça !! 1h pour trouver le bureau lors du premier lancement certain appel cela de l'ergonomie de type Androïd ice cream sandwish hum ... vous savez de quoi je parle, sans vouloir en rajouter on se trouverait même dans la même situation que lors de la sorti de Vis t'a ?...   L'utilisateur est pris dans un boyau de chat impossible d'en sortir, ni même de s'en sortir sans payer le moindre petit soft ( attention je parle bien là d'une utilisation video/text/image/internet/). Certe, la philosophie du libre change mais les enjeux économique de ces mêmes systèmes évolue plus rapidement !  <|> ram
22 Mot inconnu : Androïd [[396:403]] => 'Souvent on confond vitesse du processeur avec ce que j'appellerai **rapidité ergonomique d'utilisation** ( 10 secondes un mot de passe 1 clic et nous voila sur google), rien à voir avec un core i7 cadencé à 32Ghz 8000Go de Ram et un système qui rame, qui rame, mais qui ne plante pas c'est déjà ça !! 1h pour trouver le bureau lors du premier lancement certain appel cela de l'ergonomie de type Androïd ice cream sandwish hum ... vous savez de quoi je parle, sans vouloir en rajouter on se trouverait même dans la même situation que lors de la sorti de Vis t'a ?...   L'utilisateur est pris dans un boyau de chat impossible d'en sortir, ni même de s'en sortir sans payer le moindre petit soft ( attention je parle bien là d'une utilisation video/text/image/internet/). Certe, la philosophie du libre change mais les enjeux économique de ces mêmes systèmes évolue plus rapidement !  <|> androïd
22 Mot inconnu : ice [[404:407]] => 'Souvent on confond vitesse du processeur avec ce que j'appellerai **rapidité ergonomique d'utilisation** ( 10 secondes un mot de passe 1 clic et nous voila sur google), rien à voir avec un core i7 cadencé à 32Ghz 8000Go de Ram et un système qui rame, qui rame, mais qui ne plante pas c'est déjà ça !! 1h pour trouver le bureau lors du premier lancement certain appel cela de l'ergonomie de type Androïd ice cream sandwish hum ... vous savez de quoi je parle, sans vouloir en rajouter on se trouverait même dans la même situation que lors de la sorti de Vis t'a ?...   L'utilisateur est pris dans un boyau de chat impossible d'en sortir, ni même de s'en sortir sans payer le moindre petit soft ( attention je parle bien là d'une utilisation video/text/image/internet/). Certe, la philosophie du libre change mais les enjeux économique de ces mêmes systèmes évolue plus rapidement !  <|> ice
22 Mot inconnu : cream [[408:413]] => 'Souvent on confond vitesse du processeur avec ce que j'appellerai **rapidité ergonomique d'utilisation** ( 10 secondes un mot de passe 1 clic et nous voila sur google), rien à voir avec un core i7 cadencé à 32Ghz 8000Go de Ram et un système qui rame, qui rame, mais qui ne plante pas c'est déjà ça !! 1h pour trouver le bureau lors du premier lancement certain appel cela de l'ergonomie de type Androïd ice cream sandwish hum ... vous savez de quoi je parle, sans vouloir en rajouter on se trouverait même dans la même situation que lors de la sorti de Vis t'a ?...   L'utilisateur est pris dans un boyau de chat impossible d'en sortir, ni même de s'en sortir sans payer le moindre petit soft ( attention je parle bien là d'une utilisation video/text/image/internet/). Certe, la philosophie du libre change mais les enjeux économique de ces mêmes systèmes évolue plus rapidement !  <|> cream
22 Mot inconnu : sandwish [[414:422]] => 'Souvent on confond vitesse du processeur avec ce que j'appellerai **rapidité ergonomique d'utilisation** ( 10 secondes un mot de passe 1 clic et nous voila sur google), rien à voir avec un core i7 cadencé à 32Ghz 8000Go de Ram et un système qui rame, qui rame, mais qui ne plante pas c'est déjà ça !! 1h pour trouver le bureau lors du premier lancement certain appel cela de l'ergonomie de type Androïd ice cream sandwish hum ... vous savez de quoi je parle, sans vouloir en rajouter on se trouverait même dans la même situation que lors de la sorti de Vis t'a ?...   L'utilisateur est pris dans un boyau de chat impossible d'en sortir, ni même de s'en sortir sans payer le moindre petit soft ( attention je parle bien là d'une utilisation video/text/image/internet/). Certe, la philosophie du libre change mais les enjeux économique de ces mêmes systèmes évolue plus rapidement !  <|> sandwish
22 Typographie : points de suspension. Utilisez le caractère dédié. [[427:430]] => 'Souvent on confond vitesse du processeur avec ce que j'appellerai **rapidité ergonomique d'utilisation** ( 10 secondes un mot de passe 1 clic et nous voila sur google), rien à voir avec un core i7 cadencé à 32Ghz 8000Go de Ram et un système qui rame, qui rame, mais qui ne plante pas c'est déjà ça !! 1h pour trouver le bureau lors du premier lancement certain appel cela de l'ergonomie de type Androïd ice cream sandwish hum ... vous savez de quoi je parle, sans vouloir en rajouter on se trouverait même dans la même situation que lors de la sorti de Vis t'a ?...   L'utilisateur est pris dans un boyau de chat impossible d'en sortir, ni même de s'en sortir sans payer le moindre petit soft ( attention je parle bien là d'une utilisation video/text/image/internet/). Certe, la philosophie du libre change mais les enjeux économique de ces mêmes systèmes évolue plus rapidement !  <|> ... => suggestions : ['…']
22 Accord de genre erroné : « sorti » est masculin. [[542:544]] => 'Souvent on confond vitesse du processeur avec ce que j'appellerai **rapidité ergonomique d'utilisation** ( 10 secondes un mot de passe 1 clic et nous voila sur google), rien à voir avec un core i7 cadencé à 32Ghz 8000Go de Ram et un système qui rame, qui rame, mais qui ne plante pas c'est déjà ça !! 1h pour trouver le bureau lors du premier lancement certain appel cela de l'ergonomie de type Androïd ice cream sandwish hum ... vous savez de quoi je parle, sans vouloir en rajouter on se trouverait même dans la même situation que lors de la sorti de Vis t'a ?...   L'utilisateur est pris dans un boyau de chat impossible d'en sortir, ni même de s'en sortir sans payer le moindre petit soft ( attention je parle bien là d'une utilisation video/text/image/internet/). Certe, la philosophie du libre change mais les enjeux économique de ces mêmes systèmes évolue plus rapidement !  <|> la => suggestions : ['le']
22 Accord de genre erroné : « la » est un déterminant féminin. [[545:550]] => 'Souvent on confond vitesse du processeur avec ce que j'appellerai **rapidité ergonomique d'utilisation** ( 10 secondes un mot de passe 1 clic et nous voila sur google), rien à voir avec un core i7 cadencé à 32Ghz 8000Go de Ram et un système qui rame, qui rame, mais qui ne plante pas c'est déjà ça !! 1h pour trouver le bureau lors du premier lancement certain appel cela de l'ergonomie de type Androïd ice cream sandwish hum ... vous savez de quoi je parle, sans vouloir en rajouter on se trouverait même dans la même situation que lors de la sorti de Vis t'a ?...   L'utilisateur est pris dans un boyau de chat impossible d'en sortir, ni même de s'en sortir sans payer le moindre petit soft ( attention je parle bien là d'une utilisation video/text/image/internet/). Certe, la philosophie du libre change mais les enjeux économique de ces mêmes systèmes évolue plus rapidement !  <|> sorti => suggestions : ['sortie']
22 Typographie : points de suspension. Utilisez le caractère dédié. [[563:566]] => 'Souvent on confond vitesse du processeur avec ce que j'appellerai **rapidité ergonomique d'utilisation** ( 10 secondes un mot de passe 1 clic et nous voila sur google), rien à voir avec un core i7 cadencé à 32Ghz 8000Go de Ram et un système qui rame, qui rame, mais qui ne plante pas c'est déjà ça !! 1h pour trouver le bureau lors du premier lancement certain appel cela de l'ergonomie de type Androïd ice cream sandwish hum ... vous savez de quoi je parle, sans vouloir en rajouter on se trouverait même dans la même situation que lors de la sorti de Vis t'a ?...   L'utilisateur est pris dans un boyau de chat impossible d'en sortir, ni même de s'en sortir sans payer le moindre petit soft ( attention je parle bien là d'une utilisation video/text/image/internet/). Certe, la philosophie du libre change mais les enjeux économique de ces mêmes systèmes évolue plus rapidement !  <|> ... => suggestions : ['…']
22 Espace(s) surnuméraire(s) à supprimer. [[566:569]] => 'Souvent on confond vitesse du processeur avec ce que j'appellerai **rapidité ergonomique d'utilisation** ( 10 secondes un mot de passe 1 clic et nous voila sur google), rien à voir avec un core i7 cadencé à 32Ghz 8000Go de Ram et un système qui rame, qui rame, mais qui ne plante pas c'est déjà ça !! 1h pour trouver le bureau lors du premier lancement certain appel cela de l'ergonomie de type Androïd ice cream sandwish hum ... vous savez de quoi je parle, sans vouloir en rajouter on se trouverait même dans la même situation que lors de la sorti de Vis t'a ?...   L'utilisateur est pris dans un boyau de chat impossible d'en sortir, ni même de s'en sortir sans payer le moindre petit soft ( attention je parle bien là d'une utilisation video/text/image/internet/). Certe, la philosophie du libre change mais les enjeux économique de ces mêmes systèmes évolue plus rapidement !  <|>     => suggestions : [' ']
22 Pas d’espace après ce signe. [[694:696]] => 'Souvent on confond vitesse du processeur avec ce que j'appellerai **rapidité ergonomique d'utilisation** ( 10 secondes un mot de passe 1 clic et nous voila sur google), rien à voir avec un core i7 cadencé à 32Ghz 8000Go de Ram et un système qui rame, qui rame, mais qui ne plante pas c'est déjà ça !! 1h pour trouver le bureau lors du premier lancement certain appel cela de l'ergonomie de type Androïd ice cream sandwish hum ... vous savez de quoi je parle, sans vouloir en rajouter on se trouverait même dans la même situation que lors de la sorti de Vis t'a ?...   L'utilisateur est pris dans un boyau de chat impossible d'en sortir, ni même de s'en sortir sans payer le moindre petit soft ( attention je parle bien là d'une utilisation video/text/image/internet/). Certe, la philosophie du libre change mais les enjeux économique de ces mêmes systèmes évolue plus rapidement !  <|> (  => suggestions : ['(']
22 Mot inconnu : video [[741:746]] => 'Souvent on confond vitesse du processeur avec ce que j'appellerai **rapidité ergonomique d'utilisation** ( 10 secondes un mot de passe 1 clic et nous voila sur google), rien à voir avec un core i7 cadencé à 32Ghz 8000Go de Ram et un système qui rame, qui rame, mais qui ne plante pas c'est déjà ça !! 1h pour trouver le bureau lors du premier lancement certain appel cela de l'ergonomie de type Androïd ice cream sandwish hum ... vous savez de quoi je parle, sans vouloir en rajouter on se trouverait même dans la même situation que lors de la sorti de Vis t'a ?...   L'utilisateur est pris dans un boyau de chat impossible d'en sortir, ni même de s'en sortir sans payer le moindre petit soft ( attention je parle bien là d'une utilisation video/text/image/internet/). Certe, la philosophie du libre change mais les enjeux économique de ces mêmes systèmes évolue plus rapidement !  <|> video
22 Mot inconnu : text [[747:751]] => 'Souvent on confond vitesse du processeur avec ce que j'appellerai **rapidité ergonomique d'utilisation** ( 10 secondes un mot de passe 1 clic et nous voila sur google), rien à voir avec un core i7 cadencé à 32Ghz 8000Go de Ram et un système qui rame, qui rame, mais qui ne plante pas c'est déjà ça !! 1h pour trouver le bureau lors du premier lancement certain appel cela de l'ergonomie de type Androïd ice cream sandwish hum ... vous savez de quoi je parle, sans vouloir en rajouter on se trouverait même dans la même situation que lors de la sorti de Vis t'a ?...   L'utilisateur est pris dans un boyau de chat impossible d'en sortir, ni même de s'en sortir sans payer le moindre petit soft ( attention je parle bien là d'une utilisation video/text/image/internet/). Certe, la philosophie du libre change mais les enjeux économique de ces mêmes systèmes évolue plus rapidement !  <|> text
22 Mot inconnu : Certe [[770:775]] => 'Souvent on confond vitesse du processeur avec ce que j'appellerai **rapidité ergonomique d'utilisation** ( 10 secondes un mot de passe 1 clic et nous voila sur google), rien à voir avec un core i7 cadencé à 32Ghz 8000Go de Ram et un système qui rame, qui rame, mais qui ne plante pas c'est déjà ça !! 1h pour trouver le bureau lors du premier lancement certain appel cela de l'ergonomie de type Androïd ice cream sandwish hum ... vous savez de quoi je parle, sans vouloir en rajouter on se trouverait même dans la même situation que lors de la sorti de Vis t'a ?...   L'utilisateur est pris dans un boyau de chat impossible d'en sortir, ni même de s'en sortir sans payer le moindre petit soft ( attention je parle bien là d'une utilisation video/text/image/internet/). Certe, la philosophie du libre change mais les enjeux économique de ces mêmes systèmes évolue plus rapidement !  <|> certe
22 Accord de nombre erroné avec « les enjeux » : « économique » devrait être au pluriel. [[824:834]] => 'Souvent on confond vitesse du processeur avec ce que j'appellerai **rapidité ergonomique d'utilisation** ( 10 secondes un mot de passe 1 clic et nous voila sur google), rien à voir avec un core i7 cadencé à 32Ghz 8000Go de Ram et un système qui rame, qui rame, mais qui ne plante pas c'est déjà ça !! 1h pour trouver le bureau lors du premier lancement certain appel cela de l'ergonomie de type Androïd ice cream sandwish hum ... vous savez de quoi je parle, sans vouloir en rajouter on se trouverait même dans la même situation que lors de la sorti de Vis t'a ?...   L'utilisateur est pris dans un boyau de chat impossible d'en sortir, ni même de s'en sortir sans payer le moindre petit soft ( attention je parle bien là d'une utilisation video/text/image/internet/). Certe, la philosophie du libre change mais les enjeux économique de ces mêmes systèmes évolue plus rapidement !  <|> économique => suggestions : ['économiques']
