1 Mot inconnu : zHt => ====== zHt ====== | zht
33 Mot inconnu : inconvéniant => Le seul inconvéniant de cette méthode, c'est qu'elle peut décourager certains utilisateur qui peuvent penser que cela est compliqué. Certes également, mais on ne se lance pas dans linux sans en avoir l'envie non? | inconvéniant
33 Accord de nombre erroné : « utilisateur » devrait être au pluriel. => Le seul inconvéniant de cette méthode, c'est qu'elle peut décourager certains utilisateur qui peuvent penser que cela est compliqué. Certes également, mais on ne se lance pas dans linux sans en avoir l'envie non? | utilisateur => suggestions : ['utilisateurs']
33 Mot inconnu : linux => Le seul inconvéniant de cette méthode, c'est qu'elle peut décourager certains utilisateur qui peuvent penser que cela est compliqué. Certes également, mais on ne se lance pas dans linux sans en avoir l'envie non? | linux

37 Accord de nombre erroné : « sections » devrait être au singulier. => Dans un second temps, il faudrait rajouter une sections "Questions sur Ubuntu ou GNU/Linux". Ainsi, quand on a une question, on la pose au lieu de faire des recherches ou on peut parfois ne pas trouver une réponse pertinente. | sections => suggestions : ['section']
37 Guillemets typographiques ouvrants. => Dans un second temps, il faudrait rajouter une sections "Questions sur Ubuntu ou GNU/Linux". Ainsi, quand on a une question, on la pose au lieu de faire des recherches ou on peut parfois ne pas trouver une réponse pertinente. | " => suggestions : ['«\xa0', '“']
37 Guillemets typographiques fermants. => Dans un second temps, il faudrait rajouter une sections "Questions sur Ubuntu ou GNU/Linux". Ainsi, quand on a une question, on la pose au lieu de faire des recherches ou on peut parfois ne pas trouver une réponse pertinente. | " => suggestions : ['\xa0»', '”']

40 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => Voilà donc ma façon de penser. A vous de la critiquer positivement... ou pas. | a => suggestions : ['À']
40 Typographie : points de suspension. Utilisez le caractère dédié. => Voilà donc ma façon de penser. A vous de la critiquer positivement... ou pas. | ... => suggestions : ['…']

46 Guillemets typographiques ouvrants. => J'ai testé un grand nombre de distribution GNU/Linux, et je ne vais pas m'arrêter là. Je vais vous citer toutes celles que j'ai testées, et celles que j'ai gardées dans ma "short-list", et qui ronronnent sur mon disque dur, dans une partition que je leur loue en testing... Ou pas. | " => suggestions : ['«\xa0', '“']
46 Mot inconnu : short-list => J'ai testé un grand nombre de distribution GNU/Linux, et je ne vais pas m'arrêter là. Je vais vous citer toutes celles que j'ai testées, et celles que j'ai gardées dans ma "short-list", et qui ronronnent sur mon disque dur, dans une partition que je leur loue en testing... Ou pas. | short-list
46 Guillemets typographiques fermants. => J'ai testé un grand nombre de distribution GNU/Linux, et je ne vais pas m'arrêter là. Je vais vous citer toutes celles que j'ai testées, et celles que j'ai gardées dans ma "short-list", et qui ronronnent sur mon disque dur, dans une partition que je leur loue en testing... Ou pas. | " => suggestions : ['\xa0»', '”']
46 Mot inconnu : testing => J'ai testé un grand nombre de distribution GNU/Linux, et je ne vais pas m'arrêter là. Je vais vous citer toutes celles que j'ai testées, et celles que j'ai gardées dans ma "short-list", et qui ronronnent sur mon disque dur, dans une partition que je leur loue en testing... Ou pas. | testing
46 Typographie : points de suspension. Utilisez le caractère dédié. => J'ai testé un grand nombre de distribution GNU/Linux, et je ne vais pas m'arrêter là. Je vais vous citer toutes celles que j'ai testées, et celles que j'ai gardées dans ma "short-list", et qui ronronnent sur mon disque dur, dans une partition que je leur loue en testing... Ou pas. | ... => suggestions : ['…']
53 Mot inconnu : KDE3 => Kubuntu: J'ai ensuite décidé de me tourner vers l'une des variantes d'Ubuntu, sous KDE3, nettement plus jolie que GNOME, et un peut plus dans mon style =). | kde3
53 Confusion : « peut » est une conjugaison de “pouvoir”, utilisez “peu” pour dire “pas beaucoup”. => Kubuntu: J'ai ensuite décidé de me tourner vers l'une des variantes d'Ubuntu, sous KDE3, nettement plus jolie que GNOME, et un peut plus dans mon style =). | peut => suggestions : ['peu']

54 Ce verbe ne devrait pas être au subjonctif. => Je l'aie délaissé pendant un bon moment, mais je l'ai repris depuis KDE4, même si j'utilise toujours plus Fedora. | aie => suggestions : ['ai', 'eus', 'avais', 'aurai']
54 Mot inconnu : KDE4 => Je l'aie délaissé pendant un bon moment, mais je l'ai repris depuis KDE4, même si j'utilise toujours plus Fedora. | kde4

57 Mot inconnu : NuTyx => NuTyx: Etant encore un grand débutant sous Linux, un ami m'a parlé de NuTyx, distribution française, toute jeune, pas très connue du tout, mais qui commence a se stabiliser et même a surpasser certaines distributions comme... Ubuntu. Je parle au niveau pratique, certaines personnes délaissent leurs distributions de longue date pour prendre une NuTyx. | nutyx
57 Mot inconnu : Etant => NuTyx: Etant encore un grand débutant sous Linux, un ami m'a parlé de NuTyx, distribution française, toute jeune, pas très connue du tout, mais qui commence a se stabiliser et même a surpasser certaines distributions comme... Ubuntu. Je parle au niveau pratique, certaines personnes délaissent leurs distributions de longue date pour prendre une NuTyx. | etant
57 Mot inconnu : NuTyx => NuTyx: Etant encore un grand débutant sous Linux, un ami m'a parlé de NuTyx, distribution française, toute jeune, pas très connue du tout, mais qui commence a se stabiliser et même a surpasser certaines distributions comme... Ubuntu. Je parle au niveau pratique, certaines personnes délaissent leurs distributions de longue date pour prendre une NuTyx. | nutyx
57 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => NuTyx: Etant encore un grand débutant sous Linux, un ami m'a parlé de NuTyx, distribution française, toute jeune, pas très connue du tout, mais qui commence a se stabiliser et même a surpasser certaines distributions comme... Ubuntu. Je parle au niveau pratique, certaines personnes délaissent leurs distributions de longue date pour prendre une NuTyx. | a => suggestions : ['à']
57 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => NuTyx: Etant encore un grand débutant sous Linux, un ami m'a parlé de NuTyx, distribution française, toute jeune, pas très connue du tout, mais qui commence a se stabiliser et même a surpasser certaines distributions comme... Ubuntu. Je parle au niveau pratique, certaines personnes délaissent leurs distributions de longue date pour prendre une NuTyx. | a => suggestions : ['à']
57 Incohérence probable avec “a” : “surpasser” n’est pas un participe passé. => NuTyx: Etant encore un grand débutant sous Linux, un ami m'a parlé de NuTyx, distribution française, toute jeune, pas très connue du tout, mais qui commence a se stabiliser et même a surpasser certaines distributions comme... Ubuntu. Je parle au niveau pratique, certaines personnes délaissent leurs distributions de longue date pour prendre une NuTyx. | surpasser => suggestions : ['surpassé']
57 Typographie : points de suspension. Utilisez le caractère dédié. => NuTyx: Etant encore un grand débutant sous Linux, un ami m'a parlé de NuTyx, distribution française, toute jeune, pas très connue du tout, mais qui commence a se stabiliser et même a surpasser certaines distributions comme... Ubuntu. Je parle au niveau pratique, certaines personnes délaissent leurs distributions de longue date pour prendre une NuTyx. | ... => suggestions : ['…']
57 Mot inconnu : NuTyx => NuTyx: Etant encore un grand débutant sous Linux, un ami m'a parlé de NuTyx, distribution française, toute jeune, pas très connue du tout, mais qui commence a se stabiliser et même a surpasser certaines distributions comme... Ubuntu. Je parle au niveau pratique, certaines personnes délaissent leurs distributions de longue date pour prendre une NuTyx. | nutyx

58 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. => Mais il fallait être plus expérimenté que je ne l'était: j'ai donc décidé de supprimer NuTyx et d'y revenir plus tard. Chose que j'ai faite récemment. | était => suggestions : ['étais']
58 Mot inconnu : NuTyx => Mais il fallait être plus expérimenté que je ne l'était: j'ai donc décidé de supprimer NuTyx et d'y revenir plus tard. Chose que j'ai faite récemment. | nutyx
61 Mot inconnu : coeur => Fedora: Toujours sous Kubuntu, j'ai installé Fedora sur ma partition de test. Coup de coeur pour moi au niveau graphisme (j'ai été graphiste un moment), et au niveau du gestionnaire de paquets, yum! Je le trouvait plus pratique que Synaptic sous tous les points de vues, mais particulièrement au niveau du mode texte: plus rapide, plus efficace, plus simple. | coeur
61 Mot inconnu : yum => Fedora: Toujours sous Kubuntu, j'ai installé Fedora sur ma partition de test. Coup de coeur pour moi au niveau graphisme (j'ai été graphiste un moment), et au niveau du gestionnaire de paquets, yum! Je le trouvait plus pratique que Synaptic sous tous les points de vues, mais particulièrement au niveau du mode texte: plus rapide, plus efficace, plus simple. | yum
61 Conjugaison erronée. Accord avec “Je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. => Fedora: Toujours sous Kubuntu, j'ai installé Fedora sur ma partition de test. Coup de coeur pour moi au niveau graphisme (j'ai été graphiste un moment), et au niveau du gestionnaire de paquets, yum! Je le trouvait plus pratique que Synaptic sous tous les points de vues, mais particulièrement au niveau du mode texte: plus rapide, plus efficace, plus simple. | trouvait => suggestions : ['trouvais']
61 Mot inconnu : Synaptic => Fedora: Toujours sous Kubuntu, j'ai installé Fedora sur ma partition de test. Coup de coeur pour moi au niveau graphisme (j'ai été graphiste un moment), et au niveau du gestionnaire de paquets, yum! Je le trouvait plus pratique que Synaptic sous tous les points de vues, mais particulièrement au niveau du mode texte: plus rapide, plus efficace, plus simple. | synaptic
61 Dans un “point de vue”, “vue” est toujours au féminin singulier. => Fedora: Toujours sous Kubuntu, j'ai installé Fedora sur ma partition de test. Coup de coeur pour moi au niveau graphisme (j'ai été graphiste un moment), et au niveau du gestionnaire de paquets, yum! Je le trouvait plus pratique que Synaptic sous tous les points de vues, mais particulièrement au niveau du mode texte: plus rapide, plus efficace, plus simple. | vues => suggestions : ['vue']

62 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. => Et aussi sous l'ensemble, Fedora était au goût du jour, certes parfois instable (Fedora 10), mais ça s'améliore au fur et a mesure qu'une nouvelle version sort. Je suis principalement sous Fedora depuis Fedora 9, mais j'ai tout de même gardé mon /home et Kubuntu, que j'utilisais de moins en moins... | a => suggestions : ['à']
62 Typographie : points de suspension. Utilisez le caractère dédié. => Et aussi sous l'ensemble, Fedora était au goût du jour, certes parfois instable (Fedora 10), mais ça s'améliore au fur et a mesure qu'une nouvelle version sort. Je suis principalement sous Fedora depuis Fedora 9, mais j'ai tout de même gardé mon /home et Kubuntu, que j'utilisais de moins en moins... | ... => suggestions : ['…']
65 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => OpenSUSE: Distribution sympathique, mais trop compliquée et trop différente des autres distributions au niveau de la configuration (fichiers .conf)et gestionnaire de paquets pas très a mon goût. Je ne suis pas resté plus de 3 mois sur cette distribution, malgré qu'elle m'aie bien plu tout de même. |  . => suggestions : ['. ', '.']
65 Il manque un espace après la parenthèse. => OpenSUSE: Distribution sympathique, mais trop compliquée et trop différente des autres distributions au niveau de la configuration (fichiers .conf)et gestionnaire de paquets pas très a mon goût. Je ne suis pas resté plus de 3 mois sur cette distribution, malgré qu'elle m'aie bien plu tout de même. | ) => suggestions : [') ']
65 Avec une unité de mesure, mettez un espace insécable. => OpenSUSE: Distribution sympathique, mais trop compliquée et trop différente des autres distributions au niveau de la configuration (fichiers .conf)et gestionnaire de paquets pas très a mon goût. Je ne suis pas resté plus de 3 mois sur cette distribution, malgré qu'elle m'aie bien plu tout de même. | 3 mois => suggestions : ['3\xa0mois']
65 “Malgré que” est une tournure populaire. Utilisez “bien que” ou “quoique”. => OpenSUSE: Distribution sympathique, mais trop compliquée et trop différente des autres distributions au niveau de la configuration (fichiers .conf)et gestionnaire de paquets pas très a mon goût. Je ne suis pas resté plus de 3 mois sur cette distribution, malgré qu'elle m'aie bien plu tout de même. | malgré qu' => suggestions : ['bien qu’', 'quoiqu’']
65 Conjugaison erronée. Accord avec “elle”. Le verbe devrait être à la 3ᵉ personne du singulier. => OpenSUSE: Distribution sympathique, mais trop compliquée et trop différente des autres distributions au niveau de la configuration (fichiers .conf)et gestionnaire de paquets pas très a mon goût. Je ne suis pas resté plus de 3 mois sur cette distribution, malgré qu'elle m'aie bien plu tout de même. | aie => suggestions : ['ait']

68 Mot inconnu : Frugalware => Frugalware: Je voulais tester. Installeur insupportable, impossible de démarrer après installation: kdm n'était pas installé malgré que j'avais installé kde3... Et ça ne s'est pas arrangé au fil des versions, croyez moi, même sous gnome, il fallait installer gdm/kdm manuellement, et je me heurtait encore et encore au même message d'erreur... Je ne suis pas resté plus d'une semaine avec Frugalware :-/ | frugalware
68 Mot inconnu : kdm => Frugalware: Je voulais tester. Installeur insupportable, impossible de démarrer après installation: kdm n'était pas installé malgré que j'avais installé kde3... Et ça ne s'est pas arrangé au fil des versions, croyez moi, même sous gnome, il fallait installer gdm/kdm manuellement, et je me heurtait encore et encore au même message d'erreur... Je ne suis pas resté plus d'une semaine avec Frugalware :-/ | kdm
68 “Malgré que” est une tournure populaire. Utilisez “bien que” ou “quoique”. => Frugalware: Je voulais tester. Installeur insupportable, impossible de démarrer après installation: kdm n'était pas installé malgré que j'avais installé kde3... Et ça ne s'est pas arrangé au fil des versions, croyez moi, même sous gnome, il fallait installer gdm/kdm manuellement, et je me heurtait encore et encore au même message d'erreur... Je ne suis pas resté plus d'une semaine avec Frugalware :-/ | malgré que => suggestions : ['bien que', 'quoique']
68 Après “malgré que”, ce verbe devrait être au subjonctif. => Frugalware: Je voulais tester. Installeur insupportable, impossible de démarrer après installation: kdm n'était pas installé malgré que j'avais installé kde3... Et ça ne s'est pas arrangé au fil des versions, croyez moi, même sous gnome, il fallait installer gdm/kdm manuellement, et je me heurtait encore et encore au même message d'erreur... Je ne suis pas resté plus d'une semaine avec Frugalware :-/ | avais => suggestions : ['eusse', 'aie']
68 Mot inconnu : kde3 => Frugalware: Je voulais tester. Installeur insupportable, impossible de démarrer après installation: kdm n'était pas installé malgré que j'avais installé kde3... Et ça ne s'est pas arrangé au fil des versions, croyez moi, même sous gnome, il fallait installer gdm/kdm manuellement, et je me heurtait encore et encore au même message d'erreur... Je ne suis pas resté plus d'une semaine avec Frugalware :-/ | kde3
68 Typographie : points de suspension. Utilisez le caractère dédié. => Frugalware: Je voulais tester. Installeur insupportable, impossible de démarrer après installation: kdm n'était pas installé malgré que j'avais installé kde3... Et ça ne s'est pas arrangé au fil des versions, croyez moi, même sous gnome, il fallait installer gdm/kdm manuellement, et je me heurtait encore et encore au même message d'erreur... Je ne suis pas resté plus d'une semaine avec Frugalware :-/ | ... => suggestions : ['…']
68 S’il s’agit d’un impératif, mettez un trait d’union. => Frugalware: Je voulais tester. Installeur insupportable, impossible de démarrer après installation: kdm n'était pas installé malgré que j'avais installé kde3... Et ça ne s'est pas arrangé au fil des versions, croyez moi, même sous gnome, il fallait installer gdm/kdm manuellement, et je me heurtait encore et encore au même message d'erreur... Je ne suis pas resté plus d'une semaine avec Frugalware :-/ | croyez moi => suggestions : ['croyez-moi']
68 Mot inconnu : gdm => Frugalware: Je voulais tester. Installeur insupportable, impossible de démarrer après installation: kdm n'était pas installé malgré que j'avais installé kde3... Et ça ne s'est pas arrangé au fil des versions, croyez moi, même sous gnome, il fallait installer gdm/kdm manuellement, et je me heurtait encore et encore au même message d'erreur... Je ne suis pas resté plus d'une semaine avec Frugalware :-/ | gdm
68 Mot inconnu : kdm => Frugalware: Je voulais tester. Installeur insupportable, impossible de démarrer après installation: kdm n'était pas installé malgré que j'avais installé kde3... Et ça ne s'est pas arrangé au fil des versions, croyez moi, même sous gnome, il fallait installer gdm/kdm manuellement, et je me heurtait encore et encore au même message d'erreur... Je ne suis pas resté plus d'une semaine avec Frugalware :-/ | kdm
68 Conjugaison erronée. Accord avec “je”. Le verbe devrait être à la 1ʳᵉ personne du singulier. => Frugalware: Je voulais tester. Installeur insupportable, impossible de démarrer après installation: kdm n'était pas installé malgré que j'avais installé kde3... Et ça ne s'est pas arrangé au fil des versions, croyez moi, même sous gnome, il fallait installer gdm/kdm manuellement, et je me heurtait encore et encore au même message d'erreur... Je ne suis pas resté plus d'une semaine avec Frugalware :-/ | heurtait => suggestions : ['heurtais']
68 Typographie : points de suspension. Utilisez le caractère dédié. => Frugalware: Je voulais tester. Installeur insupportable, impossible de démarrer après installation: kdm n'était pas installé malgré que j'avais installé kde3... Et ça ne s'est pas arrangé au fil des versions, croyez moi, même sous gnome, il fallait installer gdm/kdm manuellement, et je me heurtait encore et encore au même message d'erreur... Je ne suis pas resté plus d'une semaine avec Frugalware :-/ | ... => suggestions : ['…']
68 Mot inconnu : Frugalware => Frugalware: Je voulais tester. Installeur insupportable, impossible de démarrer après installation: kdm n'était pas installé malgré que j'avais installé kde3... Et ça ne s'est pas arrangé au fil des versions, croyez moi, même sous gnome, il fallait installer gdm/kdm manuellement, et je me heurtait encore et encore au même message d'erreur... Je ne suis pas resté plus d'une semaine avec Frugalware :-/ | frugalware

71 Mot inconnu : Mandriva => Mandriva: J'ai été attiré par la manière de penser de Mandriva. J'ai donc installé dans un premier temps une Mandriva One, puis une Mandriva Free. Néanmoins, cette distribution me rappellait un peu trop la façon de Windows de faire son faux-cul. Alors je ne l'ai pas beaucoup utilisée. Mais j'ai su trouvé les qualités de cette distribution, et je suis en train de télécharger l'iso ;-) | mandriva
71 Mot inconnu : Mandriva => Mandriva: J'ai été attiré par la manière de penser de Mandriva. J'ai donc installé dans un premier temps une Mandriva One, puis une Mandriva Free. Néanmoins, cette distribution me rappellait un peu trop la façon de Windows de faire son faux-cul. Alors je ne l'ai pas beaucoup utilisée. Mais j'ai su trouvé les qualités de cette distribution, et je suis en train de télécharger l'iso ;-) | mandriva
71 Mot inconnu : Mandriva => Mandriva: J'ai été attiré par la manière de penser de Mandriva. J'ai donc installé dans un premier temps une Mandriva One, puis une Mandriva Free. Néanmoins, cette distribution me rappellait un peu trop la façon de Windows de faire son faux-cul. Alors je ne l'ai pas beaucoup utilisée. Mais j'ai su trouvé les qualités de cette distribution, et je suis en train de télécharger l'iso ;-) | mandriva
71 Mot inconnu : One => Mandriva: J'ai été attiré par la manière de penser de Mandriva. J'ai donc installé dans un premier temps une Mandriva One, puis une Mandriva Free. Néanmoins, cette distribution me rappellait un peu trop la façon de Windows de faire son faux-cul. Alors je ne l'ai pas beaucoup utilisée. Mais j'ai su trouvé les qualités de cette distribution, et je suis en train de télécharger l'iso ;-) | one
71 Mot inconnu : Mandriva => Mandriva: J'ai été attiré par la manière de penser de Mandriva. J'ai donc installé dans un premier temps une Mandriva One, puis une Mandriva Free. Néanmoins, cette distribution me rappellait un peu trop la façon de Windows de faire son faux-cul. Alors je ne l'ai pas beaucoup utilisée. Mais j'ai su trouvé les qualités de cette distribution, et je suis en train de télécharger l'iso ;-) | mandriva
71 Mot inconnu : rappellait => Mandriva: J'ai été attiré par la manière de penser de Mandriva. J'ai donc installé dans un premier temps une Mandriva One, puis une Mandriva Free. Néanmoins, cette distribution me rappellait un peu trop la façon de Windows de faire son faux-cul. Alors je ne l'ai pas beaucoup utilisée. Mais j'ai su trouvé les qualités de cette distribution, et je suis en train de télécharger l'iso ;-) | rappellait
71 S’il s’agit d’une action que le sujet sait accomplir, le verbe devrait être à l’infinitif. => Mandriva: J'ai été attiré par la manière de penser de Mandriva. J'ai donc installé dans un premier temps une Mandriva One, puis une Mandriva Free. Néanmoins, cette distribution me rappellait un peu trop la façon de Windows de faire son faux-cul. Alors je ne l'ai pas beaucoup utilisée. Mais j'ai su trouvé les qualités de cette distribution, et je suis en train de télécharger l'iso ;-) | trouvé => suggestions : ['trouver']
71 Mot inconnu : iso => Mandriva: J'ai été attiré par la manière de penser de Mandriva. J'ai donc installé dans un premier temps une Mandriva One, puis une Mandriva Free. Néanmoins, cette distribution me rappellait un peu trop la façon de Windows de faire son faux-cul. Alors je ne l'ai pas beaucoup utilisée. Mais j'ai su trouvé les qualités de cette distribution, et je suis en train de télécharger l'iso ;-) | iso
74 Mot inconnu : notebook => Debian: Installée dans un premier temps sur mon notebook puisqu'Ubuntu faisait des siennes, j'ai apprécié sa stabilité, mais je suis plutôt du style de Fedora, et j'aurai aimé avoir KDE4, mais il fallait passer en instable, et j'installais Debian pour sa stabilité... Du coup je me suis fait un Gnome a la sauce KDE :-)que j'utilise de temps en temps.  | notebook
74 Pour un souhait passé, utilisez le conditionnel passé et non le futur antérieur. Exemple pour le futur antérieur : « quand j’aurai fini… » => Debian: Installée dans un premier temps sur mon notebook puisqu'Ubuntu faisait des siennes, j'ai apprécié sa stabilité, mais je suis plutôt du style de Fedora, et j'aurai aimé avoir KDE4, mais il fallait passer en instable, et j'installais Debian pour sa stabilité... Du coup je me suis fait un Gnome a la sauce KDE :-)que j'utilise de temps en temps.  | aurai => suggestions : ['aurais', 'eusse']
74 Mot inconnu : KDE4 => Debian: Installée dans un premier temps sur mon notebook puisqu'Ubuntu faisait des siennes, j'ai apprécié sa stabilité, mais je suis plutôt du style de Fedora, et j'aurai aimé avoir KDE4, mais il fallait passer en instable, et j'installais Debian pour sa stabilité... Du coup je me suis fait un Gnome a la sauce KDE :-)que j'utilise de temps en temps.  | kde4
74 Typographie : points de suspension. Utilisez le caractère dédié. => Debian: Installée dans un premier temps sur mon notebook puisqu'Ubuntu faisait des siennes, j'ai apprécié sa stabilité, mais je suis plutôt du style de Fedora, et j'aurai aimé avoir KDE4, mais il fallait passer en instable, et j'installais Debian pour sa stabilité... Du coup je me suis fait un Gnome a la sauce KDE :-)que j'utilise de temps en temps.  | ... => suggestions : ['…']
74 Mot inconnu : KDE => Debian: Installée dans un premier temps sur mon notebook puisqu'Ubuntu faisait des siennes, j'ai apprécié sa stabilité, mais je suis plutôt du style de Fedora, et j'aurai aimé avoir KDE4, mais il fallait passer en instable, et j'installais Debian pour sa stabilité... Du coup je me suis fait un Gnome a la sauce KDE :-)que j'utilise de temps en temps.  | kde
74 Il manque un espace après la parenthèse. => Debian: Installée dans un premier temps sur mon notebook puisqu'Ubuntu faisait des siennes, j'ai apprécié sa stabilité, mais je suis plutôt du style de Fedora, et j'aurai aimé avoir KDE4, mais il fallait passer en instable, et j'installais Debian pour sa stabilité... Du coup je me suis fait un Gnome a la sauce KDE :-)que j'utilise de temps en temps.  | ) => suggestions : [') ']
74 Espace(s) en fin de ligne à supprimer. => Debian: Installée dans un premier temps sur mon notebook puisqu'Ubuntu faisait des siennes, j'ai apprécié sa stabilité, mais je suis plutôt du style de Fedora, et j'aurai aimé avoir KDE4, mais il fallait passer en instable, et j'installais Debian pour sa stabilité... Du coup je me suis fait un Gnome a la sauce KDE :-)que j'utilise de temps en temps.  |   => suggestions : ['']

79 Confusion probable : “a” est la conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => Nouveau dans la programmation, mon matos se limite a un ordinateur HP Pavilion m8000 m8079.fr, avec le schéma suivant: | a => suggestions : ['à']
79 Mot inconnu : HP => Nouveau dans la programmation, mon matos se limite a un ordinateur HP Pavilion m8000 m8079.fr, avec le schéma suivant: | hp
79 Mot inconnu : Pavilion => Nouveau dans la programmation, mon matos se limite a un ordinateur HP Pavilion m8000 m8079.fr, avec le schéma suivant: | pavilion
79 Mot inconnu : m8000 => Nouveau dans la programmation, mon matos se limite a un ordinateur HP Pavilion m8000 m8079.fr, avec le schéma suivant: | m8000
79 Mot inconnu : m8079 => Nouveau dans la programmation, mon matos se limite a un ordinateur HP Pavilion m8000 m8079.fr, avec le schéma suivant: | m8079
81 Si “Go” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => /dev/sda : 320 Go | 320 go => suggestions : ['320\xa0Go']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /dev/sda1  : Windows Vista |    => suggestions : ['']
82 Espace(s) surnuméraire(s) à supprimer. =>   /dev/sda1  : Windows Vista |    => suggestions : [' ']
82 Mot inconnu : Vista =>   /dev/sda1  : Windows Vista | vista

83 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /dev/sda2  : Partition Données |    => suggestions : ['']
83 Espace(s) surnuméraire(s) à supprimer. =>   /dev/sda2  : Partition Données |    => suggestions : [' ']
83 Accord de nombre erroné avec « Données ». =>   /dev/sda2  : Partition Données | partition => suggestions : ['Partitions']
83 Accord de nombre erroné avec « Partition ». =>   /dev/sda2  : Partition Données | données => suggestions : ['Donnée']

84 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /dev/sda3  : Partition Programmes Windows |    => suggestions : ['']
84 Espace(s) surnuméraire(s) à supprimer. =>   /dev/sda3  : Partition Programmes Windows |    => suggestions : [' ']

85 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /dev/sda4  : Partition Recovery Vista |    => suggestions : ['']
85 Espace(s) surnuméraire(s) à supprimer. =>   /dev/sda4  : Partition Recovery Vista |    => suggestions : [' ']
85 Mot inconnu : Recovery =>   /dev/sda4  : Partition Recovery Vista | recovery
85 Mot inconnu : Vista =>   /dev/sda4  : Partition Recovery Vista | vista
88 Si “Go” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => /dev/sdb : 500 Go | 500 go => suggestions : ['500\xa0Go']

90 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   /dev/sdb1 : Partition EXTENDED |    => suggestions : ['']
90 Mot inconnu : EXTENDED =>   /dev/sdb1 : Partition EXTENDED | extended

91 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     /dev/sdb5  : Partition Système Fedora "/" |      => suggestions : ['']
91 Espace(s) surnuméraire(s) à supprimer. =>     /dev/sdb5  : Partition Système Fedora "/" |    => suggestions : [' ']

92 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     /dev/sdb6  : Partition Système Kubuntu "/" |      => suggestions : ['']
