1 Espace(s) en fin de ligne à supprimer. [[8:9]] => Bonjour.  <|>   => suggestions : ['']
13 Confusion probable. Pour la préposition, écrivez “dès”. [[143:146]] => Personellement, je n'ai point eut le temps d'en faire usage encore, mais j'aimerais bien essayer. Mon patron devrait m'introduire a ce systeme des demain, avec espoir. <|> des => suggestions : ['dès']

15 Mot inconnu : details [[19:26]] => Si vous auriez des details specifiques que vous souhaiteriez que mon patron mentionne lors de son prochain discours, laissez-les nous savoir. Mon adresse email est arturckeim@paris-elysee.fr <|> details
15 Mot inconnu : specifiques [[27:38]] => Si vous auriez des details specifiques que vous souhaiteriez que mon patron mentionne lors de son prochain discours, laissez-les nous savoir. Mon adresse email est arturckeim@paris-elysee.fr <|> specifiques
15 Mot inconnu : arturckeim [[164:174]] => Si vous auriez des details specifiques que vous souhaiteriez que mon patron mentionne lors de son prochain discours, laissez-les nous savoir. Mon adresse email est arturckeim@paris-elysee.fr <|> arturckeim

17 Mot inconnu : jglefevre [[28:37]] => L'adresse de mon patron est jglefevre@paris-elysee.fr <|> jglefevre

19 Incohérence avec “mon” : “associe” est un verbe. [[17:24]] => l'adresse de mon associe, la vice-presidente des programmes, Laure Madonna, est lmadonna@paris-elysee.fr <|> associe => suggestions : ['associés', 'associées', 'associée', 'associé']
19 Mot inconnu : vice-presidente [[29:44]] => l'adresse de mon associe, la vice-presidente des programmes, Laure Madonna, est lmadonna@paris-elysee.fr <|> vice-presidente
19 Mot inconnu : Madonna [[67:74]] => l'adresse de mon associe, la vice-presidente des programmes, Laure Madonna, est lmadonna@paris-elysee.fr <|> madonna
19 Mot inconnu : lmadonna [[80:88]] => l'adresse de mon associe, la vice-presidente des programmes, Laure Madonna, est lmadonna@paris-elysee.fr <|> lmadonna
